,https://roic.ai/company/RAVE,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,33000,23000,13000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4103000,2376000
61,Total Liabilities,- -,- -,- -,16300000,13090000,10860000,12530000,17200000,19010000,21685000,15390000,12190000,11350000,15490000,4420000,4181000,4010000,3960000,5310000,6190000,6466000,5730000,6761000,9102000,11625000,4687000,5992000,9202000,7612000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,130000,130000,150000,150000,150000,150000,150000,150000,150000,150000,150000,151000,150000,150000,150000,150000,153000,160000,174000,175000,178000,222000,222000,225000,251000
64,Retained Earnings,- -,- -,- -,4300000,7030000,5880000,14380000,13160000,14200000,15338000,18140000,20380000,20580000,14590000,14800000,17624000,18800000,19960000,21320000,21640000,20378000,18810000,16972000,8086000,-4405000,-2493000,-4483000,-8716000,-7196000
65,Other Comprehensive Income/Loss,- -,- -,- -,-2500000,-3490000,-4150000,-4770000,-4500000,-4800000,-7189000,-2440000,-600000,-380000,-20000,-2220000,- -,-2330000,-2680000,-2040000,-2920000,-4954000,-4990000,-6697000,- -,- -,- -,-1611000,-1723000,- -
66,Other Total Stockholders Equity,- -,- -,- -,6300000,7550000,9060000,- -,- -,- -,- -,-10443000,-11213000,-11444000,-11208000,-8953000,- -,-13568000,-13049000,-13589000,-12562000,-9508000,-3738000,6761000,1142000,2148000,8570000,10306000,10717000,12678000
67,Total Stockholders Equity,- -,- -,- -,8100000,11220000,10920000,6060000,490000,870000,2929000,5407000,8717000,8906000,3512000,3777000,3654000,3052000,4381000,5841000,6308000,6069000,10242000,17210000,9403000,-2079000,6299000,4434000,503000,5733000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,24400000,24310000,21780000,18590000,17690000,19880000,24614000,20797000,20907000,20256000,19002000,8197000,7835000,7062000,8341000,11151000,12498000,12535000,15972000,23971000,18505000,9546000,10986000,10426000,9705000,13345000
69,Minority Interest,- -,- -,- -,- -,- -,-10000,- -,- -,-10000,- -,3000,3000,4000,-2000,-7000,- -,-2000,-1000,-1000,2000,- -,-2000,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,24400000,24310000,21770000,18590000,17690000,19870000,24614000,20800000,20910000,20260000,19000000,8190000,7835000,7060000,8340000,11150000,12500000,12535000,15970000,23971000,18505000,9546000,10986000,10426000,9705000,13345000
71,SEC Link,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/718332/000071833296000017/0000718332-96-000017-index.html,https://www.sec.gov/Archives/edgar/data/718332/000071833297000010/0000718332-97-000010-index.html,https://www.sec.gov/Archives/edgar/data/718332/000071833298000008/0000718332-98-000008-index.html,https://www.sec.gov/Archives/edgar/data/718332/000071833299000008/0000718332-99-000008-index.html,https://www.sec.gov/Archives/edgar/data/718332/000071833200000010/0000718332-00-000010-index.html,https://www.sec.gov/Archives/edgar/data/718332/000071833201500012/0000718332-01-500012-index.html,https://www.sec.gov/Archives/edgar/data/718332/000071833202000013/0000718332-02-000013-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/718332/000095013407020276/0000950134-07-020276-index.htm,- -,https://www.sec.gov/Archives/edgar/data/718332/000101054909000655/0001010549-09-000655-index.htm,https://www.sec.gov/Archives/edgar/data/718332/000101054910000572/0001010549-10-000572-index.htm,https://www.sec.gov/Archives/edgar/data/718332/000101054911001055/0001010549-11-001055-index.htm,https://www.sec.gov/Archives/edgar/data/718332/000101054912001023/0001010549-12-001023-index.htm,https://www.sec.gov/Archives/edgar/data/718332/000101054913000584/0001010549-13-000584-index.htm,https://www.sec.gov/Archives/edgar/data/718332/000101054914000497/0001010549-14-000497-index.htm,https://www.sec.gov/Archives/edgar/data/718332/000101054915000286/0001010549-15-000286-index.htm,https://www.sec.gov/Archives/edgar/data/718332/000101054916000713/0001010549-16-000713-index.htm,https://www.sec.gov/Archives/edgar/data/718332/000101054917000349/0001010549-17-000349-index.htm,https://www.sec.gov/Archives/edgar/data/718332/000101054918000340/0001010549-18-000340-index.htm,https://www.sec.gov/Archives/edgar/data/718332/000114036119017524/0001140361-19-017524-index.htm,https://www.sec.gov/Archives/edgar/data/718332/000114036120021733/0001140361-20-021733-index.htm,https://www.sec.gov/Archives/edgar/data/718332/000114036121031888/0001140361-21-031888-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
