,https://roic.ai/company/CYTR,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
17,Operating Income,-3100000,-5700000,-4300000,-1000000,2200000,-2600000,-3300000,-7900000,-9500000,-7000000,-7300000,-8700000,-16058000,-1147457,-931341,-4447302,-11284396,-16611782,-15544111,-17600266,-26459135,-23769097,-7644762,-16750596,-22653987,- -,-27594444,- -,- -,- -,- -,- -,- -,-6829151,-12076990
18,Operating Income ratio,-4.4286,-6.3333,-8.6000,-0.9091,0.4583,-1.0400,-0.7333,-3.1600,-3.8000,-2.4138,-0.5105,-6.6923,-19.5115,-0.3448,-0.2117,-3.3142,-120.0468,-38.7977,-84.3139,-8.5202,-3.5473,-3.7933,-0.8047,-167.5060,-90.6159,- -,-91.9815,- -,- -,- -,- -,- -,- -,-Infinity,-Infinity
19,Total Other Income Expenses (Gains),900000,300000,- -,100000,300000,2400000,- -,- -,-1100000,1200000,1400000,1200000,1069000,- -,- -,-1728334,-6662031,-3021952,163604,993442,4609192,-2404021,2325296,17159056,8327438,3089456,-19889393,19488453,4691833,1487422,-2114214,-830335,339643,129345,-13164586010
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-931341,- -,- -,- -,- -,-16606824,-21849943,-26173118,-5319466,408460,-14326549,-17962273,-47483837,-30117180,-58586390,-50770421,-34985632,-9078599,-7522022,-6699806,-13176663000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-0.2117,- -,- -,- -,- -,-8.0393,-2.9293,-4.1769,-0.5599,4.0846,-57.3062,-179.6227,-158.2795,-301.1718,-585.8639,-253.8521,-349.8563,-36.3144,-Infinity,-Infinity,-Infinity
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,145000,40000,873003,-519158,- -,97996,1600,1600,800,800,800,800,800,800,800,- -
23,Net Income,-2100000,-4700000,-4800000,-900000,2500000,-100000,-3200000,-7700000,-10700000,-5800000,-6000000,-6300000,-15041000,-348102,-931341,-6175636,-17844600,-16392189,-15092860,-16751824,-21889943,-27046121,-4800308,408460,-14424545,-17963873,-47485437,-30117980,-58587190,-50771221,-34986432,-12713608,-7162689,-6700606,-13176663000
24,Net Income ratio,-3.0000,-5.2222,-9.6000,-0.8182,0.5208,-0.0400,-0.7111,-3.0800,-4.2800,-2.0000,-0.4196,-4.8462,-18.2758,-0.1046,-0.2117,-4.6021,-189.8362,-38.2848,-81.8662,-8.1095,-2.9347,-4.3162,-0.5053,4.0846,-57.6982,-179.6387,-158.2848,-301.1798,-585.8719,-253.8561,-349.8643,-50.8544,-Infinity,-Infinity,-Infinity
25,EPS,-16.80,-48.72,-47.04,-8.40,20.16,-0.53,-17.22,-39.48,-56.70,-31.50,-34.44,-28.14,-82.32,-1.68,-3.78,-16.38,-27.30,-20.16,-11.34,-10.50,-10.92,-12.60,-2.10,0.16,-4.62,-4.68,-8.64,-3.30,-5.82,-3.78,-1.46,-0.41,-0.22,-0.19,-0.35
26,EPS Diluted,-16.80,-48.72,-47.04,-8.40,20.16,-0.53,-17.22,-39.48,-56.70,-31.50,-34.44,-28.14,-82.32,-1.68,-3.78,-16.38,-27.30,-20.16,-11.34,-10.50,-10.92,-12.60,-2.10,0.15,-4.62,-4.68,-8.64,-3.30,-5.82,-3.78,-1.46,-0.41,-0.22,-0.19,-0.35
27,Weighted Average Shares Outstanding,125000,96470,102041,107143,124008,178572,185831,195036,188713,184127,176770,181561,182196,224376,246628,381051,650590,817277,1353629,1621564,2000162,2175810,2380433,2606776,2989318,3828991,5481877,9061876,10080545,13510655,24042293,30947650,33261938,34651334,37584695
28,Weighted Average Shares Outstanding Diluted,125000,96470,102041,107143,124008,178572,185831,195036,191799,184127,176770,190476,182196,224376,246628,381051,650590,817277,1353629,1621564,2000162,2175810,2380433,2653390,2989318,3828991,5481877,9061876,10080545,13510655,24042293,30947650,33261938,34651334,37584695
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/799698/000079969896000005/0000799698-96-000005-index.html,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/799698/000089843003002249/0000898430-03-002249-index.htm,https://www.sec.gov/Archives/edgar/data/799698/000095014804000929/0000950148-04-000929-index.htm,https://www.sec.gov/Archives/edgar/data/799698/000095012905003063/0000950129-05-003063-index.htm,https://www.sec.gov/Archives/edgar/data/799698/000095013406006504/0000950134-06-006504-index.htm,https://www.sec.gov/Archives/edgar/data/799698/000095014807000070/0000950148-07-000070-index.htm,https://www.sec.gov/Archives/edgar/data/799698/000095012408001691/0000950124-08-001691-index.htm,https://www.sec.gov/Archives/edgar/data/799698/000079969809000006/0000799698-09-000006-index.htm,https://www.sec.gov/Archives/edgar/data/799698/000079969810000003/0000799698-10-000003-index.htm,https://www.sec.gov/Archives/edgar/data/799698/000079969811000005/0000799698-11-000005-index.htm,https://www.sec.gov/Archives/edgar/data/799698/000079969812000009/0000799698-12-000009-index.htm,https://www.sec.gov/Archives/edgar/data/799698/000079969813000005/0000799698-13-000005-index.htm,https://www.sec.gov/Archives/edgar/data/799698/000079969814000004/0000799698-14-000004-index.htm,https://www.sec.gov/Archives/edgar/data/799698/000079969815000004/0000799698-15-000004-index.htm,https://www.sec.gov/Archives/edgar/data/799698/000079969816000030/0000799698-16-000030-index.htm,https://www.sec.gov/Archives/edgar/data/799698/000079969817000012/0000799698-17-000012-index.htm,https://www.sec.gov/Archives/edgar/data/799698/000079969818000002/0000799698-18-000002-index.htm,https://www.sec.gov/Archives/edgar/data/799698/000149315219004165/0001493152-19-004165-index.htm,https://www.sec.gov/Archives/edgar/data/799698/000149315220004848/0001493152-20-004848-index.htm,https://www.sec.gov/Archives/edgar/data/799698/000149315221006668/0001493152-21-006668-index.htm,https://www.sec.gov/Archives/edgar/data/799698/000149315222007485/0001493152-22-007485-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,7800000,8200000,200000,1100000,22700000,4600000,6900000,3400000,16600000,1600000,5900000,8900000,3032000,3779376,5272914,387314,11644446,1987595,8299390,30381393,50498261,25041772,9893590,6324430,17988590,14344088,11483112,32218905,22261372,56959485,37643404,21373273,16130410,10003375,6769603
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1401358,- -,1011814,- -,- -,9951548,- -,22750000,20567861,18057672,24000000,27084980,45621593,35035420,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,7800000,8200000,200000,1100000,22700000,4600000,6900000,3400000,16600000,1600000,5900000,8900000,3032000,3779376,5272914,1788672,11644446,2999409,8299390,30381393,60449809,25041772,32643590,26892291,36046262,38344088,38568092,77840498,57296792,56959485,37643404,21373273,16130410,10003375,6769603
34,Net Receivables,200000,200000,200000,- -,100000,100000,100000,100000,100000,600000,1900000,400000,174000,54160,150467,233820,- -,- -,172860,105930,101217,342903,789617,895788,216979,136319,125991,2123920,4621605,183703,7529032,148527,7628,325105,- -
35,Inventory,500000,500000,500000,- -,- -,- -,- -,- -,- -,- -,2300000,- -,6000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,100000,500000,8500000,- -,- -,46600000,37900000,27900000,8900000,10900000,- -,6400000,203000,34171,23238,123498,236349,956146,315606,233323,930596,486609,1161708,8185748,1017799,1212041,2329742,3250355,2373708,3434238,1914077,994344,1066497,1094675,1510382
37,Total Current Assets,8600000,9400000,9400000,1100000,22800000,51300000,44900000,31400000,25600000,13100000,10100000,15700000,3415000,3867707,5446619,2145990,11880795,3955555,8787856,30720646,61481622,25871284,34594915,35973827,37281040,39692448,41023825,83214773,64292105,60577426,47086513,22516144,17204535,11423155,8279985
38,PP&E,1500000,1900000,1900000,100000,100000,300000,3300000,5600000,5100000,5000000,4700000,200000,2642000,2331977,1745728,1084,227413,447579,725614,252719,1573290,1938934,174959,319191,266335,253000,175000,971000,1468000,1960000,1043000,44000,43000,620236,397172
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,183780,183780,183780,183780,183780,183780,183780,183780,183780,183780,183780,183780,- -,- -,- -,- -
40,Intangible Assets,1300000,1100000,1100000,500000,800000,1200000,1500000,1400000,- -,- -,4100000,600000,- -,- -,- -,6644492,- -,447567,183780,283460,193946,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,1300000,1100000,1100000,500000,800000,1200000,1500000,1400000,- -,- -,4100000,600000,- -,- -,- -,6644492,- -,447567,183780,467240,377726,183780,183780,183780,183780,183780,183780,183780,183780,183780,183780,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,100000,- -,100000,300000,300000,6200000,6000000,100000,71000,659554,418249,492018,216076,198055,241660,195835,713398,330032,323235,220292,123268,102271,116998,1323029,1080553,48578,34226,365495,7483,16836,49620
45,Total Non-Current Assets,2800000,3000000,3000000,600000,1000000,1500000,4900000,7300000,5400000,11200000,14800000,900000,2713000,2991531,2163977,7137594,443489,1093201,1151054,915794,2664414,2452746,681974,723263,573383,539051,475778,2477809,2732333,2192358,1261006,409495,50483,637072,446792
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,11400000,12400000,12400000,1700000,23800000,52800000,49800000,38700000,31000000,24300000,24900000,16600000,6128000,6859238,7610596,9283584,12324284,5048756,9938910,31636440,64146036,28324030,35276889,36697090,37854423,40231499,41499603,85692582,67024438,62769784,48347519,22925639,17255018,12060227,8726777
48,Accounts Payable,- -,- -,800000,100000,300000,200000,800000,300000,300000,600000,1300000,500000,630000,298236,178777,79947,738135,1661104,815626,955156,1946215,668422,1066055,1027924,2074463,3060516,3853531,6655962,8058624,6406445,4122017,1234762,887835,1402054,1470652
49,Short-Term Debt,- -,2200000,2200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5481656,10599795,- -,- -,181103,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6733350,8399167,1817600,- -,- -,- -,- -,- -,- -,- -,- -,6924353,- -,- -,- -,- -
52,Other Current Liabilities,800000,1200000,400000,600000,800000,1400000,1300000,300000,900000,1400000,1700000,1400000,2122000,942188,849068,428490,381977,1074146,1639922,2722478,3700866,2556904,5863151,5101191,11525890,7005419,26985157,11125157,14886816,7619889,8556299,1328904,1162471,1190910,2263325
53,Total Current Liabilities,800000,3400000,3400000,700000,1100000,1600000,2100000,600000,1200000,2000000,3000000,1900000,2752000,1240424,1027845,508437,1120112,2735250,2455548,10410984,14046248,5042926,6929206,6129115,13600353,10065935,30838688,17781119,22945440,19507990,30202464,2563666,2050306,2774067,3733977
54,Long-Term Debt,700000,600000,600000,200000,- -,- -,- -,- -,- -,- -,2000000,- -,650000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18484510,- -,- -,- -,- -,216381
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7582797,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,400000,4400000,- -,- -,- -,- -,- -,100000,- -,- -,100000,- -,1693000,- -,- -,815800,681269,547743,275000,16075117,7167381,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,415200,- -
58,Total Non-Current Liabilities,1100000,5000000,600000,200000,- -,- -,- -,100000,- -,- -,2100000,- -,2343000,- -,- -,815800,681269,547743,275000,16075117,7167381,7582797,- -,- -,- -,- -,- -,- -,- -,18484510,- -,- -,- -,415200,216381
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,596303,- -
61,Total Liabilities,1900000,8400000,4000000,900000,1100000,1600000,2100000,700000,1200000,2000000,5100000,1900000,5095000,1240424,1027845,1324237,1801381,3282993,2730548,26486101,21213629,12625723,6929206,6129115,13600353,10065935,30838688,17781119,22945440,37992500,30202464,2563666,2050306,3189267,3950358
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3108000,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8000,10734,11459,22144,34392,40190,59284,70789,90398,93978,109539,109840,149057,30608,42118,55924,66480,111321,28037,33637,33637,36480,38780
64,Retained Earnings,-3000000,-7700000,-7700000,-13400000,-10900000,-10900000,-14200000,-21900000,-32500000,-38300000,-44400000,-49500000,-64502000,-64850421,-65781762,-71957398,-89801998,-106194187,-121287047,-139602869,-161492812,-192123901,-196924209,-196515749,-210940294,-228904167,-276389604,-306507584,-365094774,-415865995,-450852427,-456864085,-464026774,-470727380,-484075711
65,Other Comprehensive Income/Loss,-200000,-500000,-500000,-200000,-300000,-400000,-600000,-900000,-1400000,-2000000,-2700000,-2700000,-2700000,-774000,-1360000,-2494,-2494,-2494,-323000,-249000,-392000,-1114000,-159000,-79000,-164000,-230000,-338000,-446000,-375000,-851000,-1169000,-91000,-72000,- -,- -
66,Other Total Stockholders Equity,12700000,12200000,16600000,14400000,33900000,62500000,62500000,60800000,63700000,62600000,66900000,66900000,68227000,71232501,73713054,79897095,99962716,107751583,128759125,144931419,202018453,208842230,225321353,227052884,235209307,259269400,287346853,374809123,409482292,438274958,470138445,477283747,479269849,479561860,484790650
67,Total Stockholders Equity,9500000,4000000,8400000,800000,22700000,51200000,47700000,38000000,29800000,22300000,19800000,14700000,1033000,5618814,6582751,7959347,10192616,1595092,7208362,5150339,40224039,15698307,28347683,30567975,24254070,30165841,10661367,67911463,44078998,24777284,18145055,20362299,15204712,8870960,753719
68,Total Liabilities And Stockholders Equity,11400000,12400000,12400000,1700000,23800000,52800000,49800000,38700000,31000000,24300000,24900000,16600000,6128000,6859238,7610596,9283584,11993997,4878085,9938910,31636440,61437668,28324030,35276889,36697090,37854423,40231776,41500055,85692582,67024438,62769784,48347519,22925965,17255018,12060227,4704077
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,330287,170671,- -,- -,2708368,- -,- -,- -,- -,-277,-452,- -,- -,- -,- -,-326,- -,- -,4022700
70,Total Liabilities & Equity,11400000,12400000,12400000,1700000,23800000,52800000,49800000,38700000,31000000,24300000,24900000,16600000,6128000,6859238,7610596,9283584,12324284,5048756,9938910,31636440,64146036,28324030,35276889,36697090,37854423,40231499,41499603,85692582,67024438,62769784,48347519,22925639,17255018,12060227,8726777
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/799698/000079969896000005/0000799698-96-000005-index.html,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/799698/000089843003002249/0000898430-03-002249-index.htm,https://www.sec.gov/Archives/edgar/data/799698/000095014804000929/0000950148-04-000929-index.htm,https://www.sec.gov/Archives/edgar/data/799698/000095012905003063/0000950129-05-003063-index.htm,https://www.sec.gov/Archives/edgar/data/799698/000095013406006504/0000950134-06-006504-index.htm,https://www.sec.gov/Archives/edgar/data/799698/000095014807000070/0000950148-07-000070-index.htm,https://www.sec.gov/Archives/edgar/data/799698/000095012408001691/0000950124-08-001691-index.htm,https://www.sec.gov/Archives/edgar/data/799698/000079969809000006/0000799698-09-000006-index.htm,https://www.sec.gov/Archives/edgar/data/799698/000079969810000003/0000799698-10-000003-index.htm,https://www.sec.gov/Archives/edgar/data/799698/000079969811000005/0000799698-11-000005-index.htm,https://www.sec.gov/Archives/edgar/data/799698/000079969812000009/0000799698-12-000009-index.htm,https://www.sec.gov/Archives/edgar/data/799698/000079969813000005/0000799698-13-000005-index.htm,https://www.sec.gov/Archives/edgar/data/799698/000079969814000004/0000799698-14-000004-index.htm,https://www.sec.gov/Archives/edgar/data/799698/000079969815000004/0000799698-15-000004-index.htm,https://www.sec.gov/Archives/edgar/data/799698/000079969816000030/0000799698-16-000030-index.htm,https://www.sec.gov/Archives/edgar/data/799698/000079969817000012/0000799698-17-000012-index.htm,https://www.sec.gov/Archives/edgar/data/799698/000079969818000002/0000799698-18-000002-index.htm,https://www.sec.gov/Archives/edgar/data/799698/000149315219004165/0001493152-19-004165-index.htm,https://www.sec.gov/Archives/edgar/data/799698/000149315220004848/0001493152-20-004848-index.htm,https://www.sec.gov/Archives/edgar/data/799698/000149315221006668/0001493152-21-006668-index.htm,https://www.sec.gov/Archives/edgar/data/799698/000149315222007485/0001493152-22-007485-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,-4800000,-900000,2500000,-100000,-3200000,-7700000,-10700000,-5800000,-6000000,-6300000,-15041000,-348102,-931341,-6175636,-17844600,-16392189,-15092860,-16751824,-21889943,-27046121,-4800308,408460,-14424545,-17963873,-47485437,-30117980,-58587190,-50771221,-34986432,-12713608,-7162689,-6700606,-13176663000
74,Depreciation and Amortization,- -,- -,500000,100000,100000,100000,200000,400000,600000,700000,800000,500000,68000,317850,586249,1128612,2130,103851,217095,227704,272229,624980,475316,107666,95517,113936,120399,182927,317649,536631,629312,29423,20659,230140,13978
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1436840,2391529,3985106,6596248,7384656,6735576,3344520,1621266,2007774,327854,- -
77,Change in Working Capital,- -,- -,600000,-5600000,21300000,28000000,-6900000,-12000000,-6400000,-13300000,-4000000,6700000,-13137000,1964283,1791491,-2781221,9123130,-9540378,5112003,13977354,27125712,-26607016,6837351,2179003,-6164025,5945826,-19441376,55248517,-24086989,-277229,-24185387,3068429,-4798249,-6505141,-4103080
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,238131,-12400,-119326,83302,65902,-835,-1901766,-2574182,4412097,-7344941,7356229,- -,7628,- -
79,Inventory,- -,- -,-100000,- -,- -,- -,- -,- -,- -,- -,-2300000,1000000,4000,3585,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1181116,397633,-38131,1046539,984547,789655,2779409,916919,-1672631,-2286416,-2831236,-346927,189114,68598
81,Other Working Capital,- -,- -,6000000,400000,21700000,49700000,42800000,30800000,24400000,11100000,7100000,13800000,663000,2627283,4418774,1637553,10760683,1220305,6332308,20309662,47435374,20828358,27665709,29844712,23680687,29626513,10185137,65433654,41346665,41069436,16884049,19952478,15154229,8649088,4546008
82,Other Non-Cash Items,- -,- -,-200000,5400000,-21300000,-28000000,7100000,10800000,8600000,12300000,3100000,-7800000,16564000,-3284153,-407205,4300429,4426185,13475524,-4735353,11906351,-27861826,33618213,-14626623,-17239219,2384830,-9532068,39070325,-72465519,27389427,-6074109,28000419,-2872989,4214158,6507620,13168443212
83,Cash Provided by Operating Activities,- -,- -,-3900000,-1000000,2600000,- -,-2800000,-8500000,-7900000,-6100000,-6100000,-6900000,-11546000,-1350122,1039194,-3527816,-4293155,-12353192,-14499115,9359585,-22353828,-19409944,-12114264,-14544090,-16671383,-19044650,-23750983,-40555807,-47582447,-49850352,-27197568,-10867479,-5718347,-6140133,-12308890
84,CAPEX,- -,- -,-100000,- -,-100000,-300000,-3100000,-2900000,-300000,-500000,-300000,- -,-2515000,-28032,- -,- -,-228459,-771584,- -,- -,-1269313,-994326,-195449,-315751,-52868,-141639,-41809,-956286,-331328,-1020441,-134598,-11478,-24658,-25902,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-41133,- -,-16029027,1224951,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,-600000,-100000,- -,-46400000,- -,-34100000,-9600000,-11800000,-22100000,-6400000,- -,- -,- -,-1401358,- -,-961765,- -,- -,-9779493,- -,-22750000,- -,-23134292,-29067770,-27084980,-57121593,-65958146,- -,- -,- -,- -,- -,9175790
87,Sales/Maturities of Investments,- -,- -,3500000,- -,100000,- -,8800000,41900000,31100000,5000000,32400000,5300000,6417000,- -,- -,- -,1401358,- -,1011814,- -,- -,10000000,- -,2255773,32583084,23125442,24000000,38584980,76544319,35035420,- -,- -,- -,- -,- -
