,https://roic.ai/company/SXI,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6532000,3624000,2107000,2280000,2469000,2249000,3161000,2871000,4043000,8030000,10760000,7475000,5992000
14,Depreciation and Amortization,8400000,9700000,10700000,10800000,11300000,12000000,11900000,12900000,12500000,12400000,12500000,12800000,13900000,13800000,13621846,14081000,13281000,- -,11484000,11944000,12033000,15198000,17113000,15541000,14407000,14160000,13490000,15547000,14591000,16684000,17953000,20315000,29163000,30881000,32294000,33241000
15,EBITDA,36600000,39400000,33100000,46500000,46000000,44600000,45500000,50300000,54700000,70200000,60600000,56300000,46900000,65300000,60475128,56546000,39387000,21163000,31946000,47567000,46204000,43051000,46082000,18262000,58166000,65591000,62587000,78774000,77760000,95462000,89175000,86258000,114417000,127979000,73017000,89863000
16,EBITDA ratio,0.0973,0.0963,0.0770,0.1048,0.1000,0.0926,0.0953,0.0993,0.1033,0.1233,0.1077,0.0997,0.0761,0.1018,0.0949,0.0942,0.0686,0.0368,0.0553,0.0714,0.0783,0.0693,0.0661,0.0301,0.1006,0.1035,0.0986,0.1123,0.1086,0.1236,0.1186,0.1142,0.1318,0.1617,0.1208,0.1369
17,Operating Income,30200000,33400000,37500000,40000000,39400000,39200000,38100000,42500000,46300000,59600000,56400000,50000000,54900000,60900000,60137227,54063000,38563000,27661000,36996000,42641000,38751000,30097000,38929000,6021000,42266000,52427000,64580000,63829000,65868000,78644000,70344000,65026000,84039000,78117000,60528000,59165000
18,Operating Income ratio,0.0803,0.0816,0.0873,0.0901,0.0856,0.0814,0.0798,0.0839,0.0875,0.1047,0.1002,0.0886,0.0891,0.0949,0.0944,0.0901,0.0672,0.0481,0.0641,0.0640,0.0657,0.0484,0.0558,0.0099,0.0731,0.0827,0.1018,0.0910,0.0920,0.1019,0.0936,0.0861,0.0968,0.0987,0.1001,0.0902
19,Total Other Income Expenses (Gains),-2000000,-3700000,-15100000,-4300000,-4700000,-6600000,-4500000,-5100000,-4100000,-1800000,-8300000,-6500000,-21900000,-9400000,-13283945,-11598000,-8678000,-6810000,-5060000,-5970000,-6788000,-7561000,-9186000,-6317000,-2870000,-2322000,-1761000,-2597000,1935000,-2527000,-1819000,-3094000,-6787000,-12504000,-6454000,-6465000
20,Income Before Tax,28200000,29700000,22400000,35700000,34700000,32600000,33600000,37400000,42200000,57800000,48100000,43500000,33000000,51500000,46853282,42465000,29885000,20851000,31936000,36671000,31963000,22536000,29743000,-296000,39396000,50105000,62819000,61232000,67803000,76117000,68525000,61932000,77252000,65613000,54074000,52700000
21,Income Before Tax Ratio,0.0749,0.0726,0.0521,0.0804,0.0754,0.0677,0.0704,0.0739,0.0797,0.1015,0.0855,0.0770,0.0536,0.0803,0.0735,0.0708,0.0521,0.0363,0.0553,0.0550,0.0542,0.0363,0.0426,-0.0005,0.0681,0.0791,0.0990,0.0873,0.0947,0.0986,0.0912,0.0820,0.0890,0.0829,0.0894,0.0803
22,Income Tax expense (Gain),12600000,12300000,9300000,13300000,13000000,12400000,11700000,13400000,15100000,19500000,17400000,16600000,12900000,20100000,19150000,17568000,9488000,7014000,9857000,11980000,11028000,6611000,10459000,1594000,11436000,13957000,15912000,15910000,18054000,20874000,16295000,15355000,40620000,18424000,13060000,14157000
23,Net Income,15600000,17400000,13100000,22400000,21700000,20200000,21900000,24000000,27100000,38300000,30700000,26900000,20100000,31400000,27703282,24897000,16618000,14149000,10605000,23643000,23143000,21242000,18510000,-5405000,28699000,35367000,30905000,44848000,42866000,54743000,52056000,46545000,36604000,67914000,20188000,36473000
24,Net Income ratio,0.0415,0.0425,0.0305,0.0505,0.0472,0.0419,0.0459,0.0474,0.0512,0.0673,0.0546,0.0476,0.0326,0.0490,0.0435,0.0415,0.0290,0.0246,0.0184,0.0355,0.0392,0.0342,0.0265,-0.0089,0.0496,0.0558,0.0487,0.0640,0.0599,0.0709,0.0693,0.0616,0.0422,0.0858,0.0334,0.0556
25,EPS,0.60,0.71,0.55,1.01,1.07,1.05,1.23,1.47,1.78,2.64,2.21,2.00,1.54,2.42,2.19,2.05,1.37,1.17,0.87,1.93,1.89,1.74,1.51,-0.44,2.31,2.84,2.47,3.57,3.39,4.33,4.11,3.68,2.88,5.40,1.64,3.00
26,EPS Diluted,0.60,0.71,0.55,1.01,1.07,1.05,1.23,1.47,1.78,2.64,2.21,2.00,1.52,2.41,2.17,2.02,1.35,1.16,0.86,1.91,1.85,1.71,1.49,-0.44,2.26,2.77,2.42,3.51,3.35,4.27,4.08,3.65,2.86,5.38,1.63,2.97
27,Weighted Average Shares Outstanding,26000000,24507042,23818182,22178218,20280374,19238095,17804878,16326531,15224719,14507576,13891403,13450000,13051948,12975207,12649900,12144878,12129927,12093162,12189655,12250259,12244974,12208046,12291000,12326000,12440000,12453169,12517000,12561000,12644838,12655000,12682000,12666000,12698000,12574000,12324000,12156000
28,Weighted Average Shares Outstanding Diluted,26000000,24507042,23818182,22178218,20280374,19238095,17804878,16326531,15312500,14595960,13953488,13469388,13223684,13029046,12766489,12325248,12309630,12197414,12331395,12378534,12509730,12422222,12395000,12326000,12685000,12767870,12787000,12780000,12795821,12805000,12784000,12768000,12788000,12633000,12387000,12258000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/310354/000031035494000013/0000310354-94-000013-index.html,https://www.sec.gov/Archives/edgar/data/310354/000031035495000018/0000310354-95-000018-index.html,https://www.sec.gov/Archives/edgar/data/310354/000031035496000013/0000310354-96-000013-index.html,https://www.sec.gov/Archives/edgar/data/310354/000031035497000010/0000310354-97-000010-index.html,https://www.sec.gov/Archives/edgar/data/310354/000031035498000026/0000310354-98-000026-index.html,https://www.sec.gov/Archives/edgar/data/310354/000031035499000038/0000310354-99-000038-index.html,https://www.sec.gov/Archives/edgar/data/310354/000031035400000053/0000310354-00-000053-index.html,https://www.sec.gov/Archives/edgar/data/310354/000031035401500062/0000310354-01-500062-index.html,https://www.sec.gov/Archives/edgar/data/310354/000031035402000033/0000310354-02-000033-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/310354/000031035405000050/f10kdocumentedgarfinal.htm,https://www.sec.gov/Archives/edgar/data/310354/000031035406000053/colleenfinal10kdocumentv3.htm,https://www.sec.gov/Archives/edgar/data/310354/000031035407000044/0000310354-07-000044-index.html,https://www.sec.gov/Archives/edgar/data/310354/000031035408000045/0000310354-08-000045-index.html,- -,https://www.sec.gov/Archives/edgar/data/310354/000031035410000023/0000310354-10-000023-index.html,https://www.sec.gov/Archives/edgar/data/310354/000031035411000034/0000310354-11-000034-index.html,https://www.sec.gov/Archives/edgar/data/310354/000031035412000025/0000310354-12-000025-index.html,https://www.sec.gov/Archives/edgar/data/310354/000031035413000023/0000310354-13-000023-index.html,https://www.sec.gov/Archives/edgar/data/310354/000031035414000040/0000310354-14-000040-index.html,https://www.sec.gov/Archives/edgar/data/310354/000031035415000025/0000310354-15-000025-index.html,https://www.sec.gov/Archives/edgar/data/310354/000031035416000077/f10k.htm,https://www.sec.gov/Archives/edgar/data/310354/000031035417000023/0000310354-17-000023-index.html,https://www.sec.gov/Archives/edgar/data/310354/000031035418000016/0000310354-18-000016-index.html,- -,https://www.sec.gov/Archives/edgar/data/310354/000143774920018688/0001437749-20-018688-index.htm,https://www.sec.gov/Archives/edgar/data/310354/000143774921019845/0001437749-21-019845-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,8100000,9400000,12200000,7900000,8000000,7300000,10900000,7500000,5000000,9500000,5100000,6100000,9300000,5900000,10437856,8955000,8092000,11509000,17504000,23691000,32590000,24057000,28657000,8984000,33630000,14407000,54749000,51064000,74260000,96128000,121988000,88566000,109602000,93145000,118809000,136367000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,8100000,9400000,12200000,7900000,8000000,7300000,10900000,7500000,5000000,9500000,5100000,6100000,9300000,5900000,10437856,8955000,8092000,11509000,17504000,23691000,32590000,24057000,28657000,8984000,33630000,14407000,54749000,51064000,74260000,96128000,121988000,88566000,109602000,93145000,118809000,136367000
34,Net Receivables,52800000,58100000,63200000,69600000,73100000,75100000,75800000,75500000,83400000,90500000,88600000,86900000,98500000,97900000,104430867,98470000,93219000,91714000,89435000,93676000,92798000,106116000,104038000,84079000,96154000,102220000,103000000,102268000,108596000,111225000,105299000,129529000,136576000,121211000,106351000,122633000
35,Inventory,78800000,87900000,85700000,88800000,97300000,90700000,94800000,95500000,104600000,116400000,109700000,109500000,122900000,120000000,112200601,102674000,92931000,82530000,85787000,86836000,75751000,91301000,87619000,75634000,69554000,83578000,73076000,84956000,97065000,108305000,105402000,119401000,127223000,88645000,85031000,91862000
36,Other Current Assets,3800000,3900000,3500000,3400000,3700000,4100000,4000000,3900000,4000000,3900000,4000000,4600000,4500000,4700000,4316186,4845000,4570000,5343000,3792000,20999000,41910000,14855000,16369000,16008000,17697000,20344000,18445000,20013000,20015000,19744000,23160000,23388000,10558000,30872000,21806000,23504000
37,Total Current Assets,143500000,159300000,164600000,169700000,182100000,177200000,185500000,182400000,197000000,220300000,207400000,207100000,235200000,228500000,231385510,214944000,198812000,191096000,196518000,225202000,243049000,236329000,236683000,184705000,217035000,220549000,249270000,258301000,299936000,335402000,355849000,360884000,383959000,333873000,331997000,374366000
38,PP&E,79200000,85600000,83300000,82000000,85900000,86200000,94900000,90900000,89700000,84500000,86600000,85600000,103000000,104800000,112137026,113844000,112892000,111597000,104128000,97613000,97072000,122315000,116565000,108612000,93227000,96334000,82563000,95020000,96697000,108536000,106686000,133160000,144570000,148024000,177321000,170649000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,36250000,- -,- -,- -,73272000,118911000,120650000,101722000,102804000,117373000,100633000,111905000,125965000,154732000,157354000,242690000,251762000,281503000,271221000,278054000
40,Intangible Assets,11900000,12500000,12600000,15600000,17400000,18400000,19300000,17300000,16300000,15300000,14700000,15200000,33100000,32100000,31184247,41069000,- -,50002000,63415000,66910000,- -,31228000,27473000,20450000,17791000,22554000,19818000,25837000,31490000,38048000,40412000,102503000,98075000,118660000,106412000,98929000
41,Intangible Assets,11900000,12500000,12600000,15600000,17400000,18400000,19300000,17300000,16300000,15300000,14700000,15200000,33100000,32100000,31184247,41069000,36250000,50002000,63415000,66910000,73272000,150139000,148123000,122172000,120595000,139927000,120451000,137742000,157455000,192780000,197766000,345193000,349837000,400163000,377633000,376983000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,21564000,20610000,- -,- -,- -,- -,- -,- -,- -,6618000,- -,878000,917000,11361000,1135000,7447000,14140000,17322000,9566000
44,Other Non-Current Assets,7000000,9600000,15700000,9800000,12400000,15600000,16900000,18000000,20700000,22600000,26600000,33100000,39900000,45000000,49493216,54407000,58085000,48221000,58022000,52581000,65280000,31117000,21663000,18220000,15422000,18095000,20909000,19510000,23194000,22706000,18795000,27304000,31124000,25689000,26605000,30659000
45,Total Non-Current Assets,98100000,107700000,111600000,107400000,115700000,120200000,131100000,126200000,126700000,122400000,127900000,133900000,176000000,181900000,192814489,209320000,207227000,231384000,246175000,217104000,235624000,303571000,286351000,249004000,229244000,254356000,230541000,252272000,278224000,324939000,334608000,506792000,532978000,588016000,598881000,587857000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,241600000,267000000,276200000,277100000,297800000,297400000,316600000,308600000,323700000,342700000,335300000,341000000,411200000,410400000,424199999,424264000,406039000,422480000,442693000,442306000,478673000,539900000,523034000,433709000,446279000,474905000,479811000,510573000,578160000,660341000,690457000,867676000,916937000,921889000,930878000,962223000
48,Accounts Payable,- -,- -,- -,- -,27100000,25800000,29000000,28200000,28700000,36400000,29200000,31400000,37700000,36000000,36494649,33554000,35209000,41241000,54252000,58379000,54534000,65977000,66174000,58802000,58514000,72795000,62113000,69854000,85206000,80764000,77099000,96487000,89707000,72603000,54910000,74756000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,9600000,3300000,5300000,2000000,3000000,4000000,2356563,2532000,82221000,910000,746000,52213000,3873000,4162000,28579000,- -,- -,5100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,7933000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3404000,3548000,1638000,4926000,10285000,4695000,4783000,6059000,5744000,7428000,7236000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,47200000,49400000,57000000,61900000,39700000,47100000,45500000,45000000,31800000,37500000,34000000,36700000,45600000,42000000,47525211,39051000,37349000,43148000,56409000,49877000,57403000,50191000,52987000,40445000,43002000,50242000,54672000,48619000,55964000,58027000,57008000,63477000,71634000,69012000,67967000,61020000
53,Total Current Liabilities,47200000,49400000,57000000,61900000,66800000,72900000,74500000,73200000,70100000,77200000,68500000,70100000,86300000,82000000,86376423,75137000,154779000,85299000,111407000,160469000,115810000,120330000,147740000,99247000,101516000,128137000,116785000,118473000,141170000,138791000,134107000,159964000,161341000,141615000,122877000,143709000
54,Long-Term Debt,37200000,45900000,48800000,65000000,73000000,70100000,86700000,94400000,112900000,111800000,113800000,112300000,163400000,148100000,153436016,153019000,50087000,109019000,108786000,53300000,113729000,164158000,106086000,94300000,93300000,46500000,50000000,50072000,45056000,103031000,92114000,191976000,193772000,197610000,199150000,228531000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,9200000,9800000,11700000,8900000,9700000,10800000,12400000,13000000,13800000,12100000,12600000,13800000,11900000,14700000,16610000,19831000,18909000,18205000,10457000,15361000,16538000,23896000,23858000,4859000,2261000,13030000,4644000,7838000,10853000,7368000,5941000,24986000,26816000,22824000,- -,- -
57,Other Non-Current Liabilities,1200000,2200000,2300000,4200000,5900000,4900000,6000000,6500000,8000000,9200000,5700000,3600000,3400000,3300000,2962701,4103000,3832000,48035000,48509000,37623000,32301000,27085000,22192000,59017000,57139000,41625000,65475000,43202000,40355000,62581000,88336000,82086000,84213000,95527000,147219000,83558000
58,Total Non-Current Liabilities,47600000,57900000,62800000,78100000,88600000,85800000,105100000,113900000,134700000,133100000,132100000,129700000,178700000,166100000,173008717,176953000,72828000,175259000,167752000,106284000,162568000,215139000,152136000,158176000,152700000,101155000,120119000,101112000,96264000,172980000,186391000,299048000,304801000,315961000,346369000,312089000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,36293000,36974000
61,Total Liabilities,94800000,107300000,119800000,140000000,155400000,158700000,179600000,187100000,204800000,210300000,200600000,199800000,265000000,248100000,259385140,252090000,227607000,260558000,279159000,266753000,278378000,335469000,299876000,257423000,254216000,229292000,236904000,219585000,237434000,311771000,320498000,459012000,466142000,457576000,469246000,455798000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,42000000,41976417,41976000,41976000,41976000,41976000,41976000,41976000,41976000,41976000,41976000,41976000,41976000,41976000,41976000,41976000,41976000,41976000,41976000,41976000,41976000,41976000,41976000
64,Retained Earnings,146300000,157300000,163800000,179600000,195500000,209000000,224300000,227400000,246700000,276000000,297000000,313900000,324100000,345600000,363303156,378075000,384589000,388593000,388919000,402322000,415205000,426171000,433435000,419157000,445313000,477726000,505163000,546031000,584014000,632864000,678002000,716605000,761430000,818282000,827656000,852489000
65,Other Comprehensive Income/Loss,-67100000,-76200000,-78800000,-85100000,-96700000,-102400000,-110000000,-116500000,-123900000,-125600000,-130900000,-137900000,-149400000,-144100000,-147505496,-149769000,-160738000,-31918000,-28487000,-30468000,-21000000,-26533000,-17531000,-52591000,-66456000,-44928000,-75125000,-65280000,-55819000,-93017000,-117975000,-115938000,-121859000,-137278000,-147659000,-116140000
66,Other Total Stockholders Equity,67600000,78600000,71400000,42600000,43600000,32100000,22700000,10600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-236729000,-238874000,-238277000,-235886000,-237183000,-234722000,- -,-228770000,-229161000,-229107000,-231739000,-229445000,-233253000,-232044000,-233979000,-230752000,- -,-260341000,-271900000
67,Total Stockholders Equity,146800000,159700000,156400000,137100000,142400000,138700000,137000000,121500000,118900000,132400000,134700000,141200000,146200000,162300000,164814859,172174000,178432000,161922000,163534000,175553000,200295000,204431000,223158000,176286000,192063000,245613000,242907000,290988000,340726000,348570000,369959000,408664000,450795000,464313000,461632000,506425000
68,Total Liabilities And Stockholders Equity,241600000,267000000,276200000,277100000,297800000,297400000,316600000,308600000,323700000,342700000,335300000,341000000,411200000,410400000,424199999,424264000,406039000,422480000,442693000,442306000,478673000,539900000,523034000,433709000,446279000,474905000,479811000,510573000,578160000,660341000,690457000,867676000,916937000,921889000,930878000,962223000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,241600000,267000000,276200000,277100000,297800000,297400000,316600000,308600000,323700000,342700000,335300000,341000000,411200000,410400000,424199999,424264000,406039000,422480000,442693000,442306000,478673000,539900000,523034000,433709000,446279000,474905000,479811000,510573000,578160000,660341000,690457000,867676000,916937000,921889000,930878000,962223000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/310354/000031035494000013/0000310354-94-000013-index.html,https://www.sec.gov/Archives/edgar/data/310354/000031035495000018/0000310354-95-000018-index.html,https://www.sec.gov/Archives/edgar/data/310354/000031035496000013/0000310354-96-000013-index.html,https://www.sec.gov/Archives/edgar/data/310354/000031035497000010/0000310354-97-000010-index.html,https://www.sec.gov/Archives/edgar/data/310354/000031035498000026/0000310354-98-000026-index.html,https://www.sec.gov/Archives/edgar/data/310354/000031035499000038/0000310354-99-000038-index.html,https://www.sec.gov/Archives/edgar/data/310354/000031035400000053/0000310354-00-000053-index.html,https://www.sec.gov/Archives/edgar/data/310354/000031035401500062/0000310354-01-500062-index.html,https://www.sec.gov/Archives/edgar/data/310354/000031035402000033/0000310354-02-000033-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/310354/000031035405000050/f10kdocumentedgarfinal.htm,https://www.sec.gov/Archives/edgar/data/310354/000031035406000053/colleenfinal10kdocumentv3.htm,https://www.sec.gov/Archives/edgar/data/310354/000031035407000044/0000310354-07-000044-index.html,https://www.sec.gov/Archives/edgar/data/310354/000031035408000045/0000310354-08-000045-index.html,- -,https://www.sec.gov/Archives/edgar/data/310354/000031035410000023/0000310354-10-000023-index.html,https://www.sec.gov/Archives/edgar/data/310354/000031035411000034/0000310354-11-000034-index.html,https://www.sec.gov/Archives/edgar/data/310354/000031035412000025/0000310354-12-000025-index.html,https://www.sec.gov/Archives/edgar/data/310354/000031035413000023/0000310354-13-000023-index.html,https://www.sec.gov/Archives/edgar/data/310354/000031035414000040/0000310354-14-000040-index.html,https://www.sec.gov/Archives/edgar/data/310354/000031035415000025/0000310354-15-000025-index.html,https://www.sec.gov/Archives/edgar/data/310354/000031035416000077/f10k.htm,https://www.sec.gov/Archives/edgar/data/310354/000031035417000023/0000310354-17-000023-index.html,https://www.sec.gov/Archives/edgar/data/310354/000031035418000016/0000310354-18-000016-index.html,- -,https://www.sec.gov/Archives/edgar/data/310354/000143774920018688/0001437749-20-018688-index.htm,https://www.sec.gov/Archives/edgar/data/310354/000143774921019845/0001437749-21-019845-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,21700000,20200000,21900000,24000000,27100000,38300000,30700000,26900000,20100000,31400000,27703282,24897000,16618000,14149000,10605000,23643000,23143000,21242000,18510000,-5405000,28699000,35367000,30905000,44848000,42866000,54743000,52056000,46545000,36604000,67914000,20188000,36473000
74,Depreciation and Amortization,- -,- -,- -,- -,11300000,12000000,11900000,12900000,12500000,12400000,12500000,12800000,13900000,13800000,13621846,14081000,13281000,- -,11484000,11944000,12033000,15198000,17113000,15541000,14407000,14160000,13490000,15547000,14591000,16684000,17953000,20315000,29163000,30881000,32294000,33241000
75,Deferred Income Tax,- -,- -,- -,- -,300000,1000000,700000,600000,800000,-1700000,500000,1200000,-1900000,2800000,1874000,3118000,-432000,-704000,-1882000,7425000,-2173000,1133000,-467000,-3563000,5320000,-416000,2376000,-2402000,-3343000,-249000,-6756000,-121000,7391000,-3509000,5635000,836000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2398000,3845000,3805000,3768000,3343000,6630000,3764000,5089000,5023000,4962000,4350000,7026000,8368000
77,Change in Working Capital,- -,- -,- -,- -,-8300000,-11000000,6700000,-1800000,17700000,16200000,-4200000,-1900000,11900000,-2400000,-1490913,-5202087,-95774000,61764000,-20686000,-20378000,62506000,-11240000,-27056000,-3485000,30061000,-23107000,40073000,7343000,18938000,37845000,25131000,-20822000,21698000,-30360000,16862000,21537000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18360000,-12022000,-2994000,-5883000,3001000,-6614000,-5564000,4144000,-6013000,-3440000,7647000,2325000,-5542000
79,Inventory,- -,- -,- -,- -,-5700000,5200000,-3300000,-1500000,-9300000,-15100000,6700000,-400000,-5100000,-200000,7924044,10867000,9760000,9805000,-10562000,-1227000,-5622000,-4261000,4299000,11605000,5393000,-9362000,876000,-215000,-10041000,-6073000,1729000,-3796000,-6814000,18223000,-9050000,-7717000
