,https://roic.ai/company/GBR,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
28,Weighted Average Shares Outstanding Diluted,211940,325000,377778,353900,525900,658200,735849,751400,751400,806000,718000,706000,977000,977000,987000,987000,1737000,1947000,1947000,1947000,1947000,1947000,1947000,1947000,1947000,2037000,2358000,5132000,5132000,5132000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/105744/000110465900000092/0001104659-00-000092-index.html,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/105744/000101054907000280/0001010549-07-000280-index.html,https://www.sec.gov/Archives/edgar/data/105744/000101054908000238/0001010549-08-000238-index.htm,https://www.sec.gov/Archives/edgar/data/105744/000101054909000262/0001010549-09-000262-index.htm,https://www.sec.gov/Archives/edgar/data/105744/000101054910000189/0001010549-10-000189-index.htm,https://www.sec.gov/Archives/edgar/data/105744/000101054911000295/0001010549-11-000295-index.htm,https://www.sec.gov/Archives/edgar/data/105744/000101054912000349/0001010549-12-000349-index.htm,https://www.sec.gov/Archives/edgar/data/105744/000101054913000197/0001010549-13-000197-index.htm,https://www.sec.gov/Archives/edgar/data/105744/000101054914000133/0001010549-14-000133-index.htm,https://www.sec.gov/Archives/edgar/data/105744/000101054915000106/0001010549-15-000106-index.htm,https://www.sec.gov/Archives/edgar/data/105744/000101054916000535/0001010549-16-000535-index.htm,https://www.sec.gov/Archives/edgar/data/105744/000101054917000128/0001010549-17-000128-index.htm,https://www.sec.gov/Archives/edgar/data/105744/000101054918000126/0001010549-18-000126-index.htm,https://www.sec.gov/Archives/edgar/data/105744/000101054919000054/0001010549-19-000054-index.htm,https://www.sec.gov/Archives/edgar/data/105744/000101054920000045/0001010549-20-000045-index.htm,https://www.sec.gov/Archives/edgar/data/105744/000101054921000057/0001010549-21-000057-index.htm,https://www.sec.gov/Archives/edgar/data/105744/000101054922000079/0001010549-22-000079-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,7200000,2800000,- -,6000000,8814000,2287000,1246000,661000,688000,1352000,650000,324000,172000,190000,155000,59000,109000,398000,1621000,300000,473000,113000,419000,361000,22000,27000,252000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,1098000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,7200000,2800000,- -,6000000,8814000,2287000,2344000,661000,688000,1352000,650000,324000,172000,190000,155000,59000,109000,398000,1621000,300000,473000,113000,419000,361000,22000,27000,252000
34,Net Receivables,- -,- -,- -,- -,600000,23200000,400000,182000,470000,417000,1260000,2535000,1872000,645000,1459000,2200000,10985000,11409000,223000,167000,210000,195000,216000,141000,119000,103000,4135000,4119000,- -,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1166000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,3700000,6000000,1300000,1900000,848000,1105000,1113000,323000,198000,4649000,179000,71000,8000,527000,567000,101000,20000,2000,203000,182000,37000,206000,- -,- -,- -,3775000,3560000
37,Total Current Assets,- -,- -,- -,10900000,9400000,24500000,8300000,9844000,3862000,3874000,2244000,3421000,9039000,1474000,1854000,2380000,11702000,12131000,383000,296000,610000,2019000,698000,651000,438000,522000,4496000,4141000,3802000,3812000
38,PP&E,- -,- -,- -,2600000,85500000,98100000,93800000,84725000,79644000,33741000,6633000,12613000,32098000,8260000,6833000,131000,12128000,1486000,13253000,12777000,11331000,10815000,10447000,6851000,6339000,3382000,3135000,1435000,- -,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,1200000,12100000,12500000,10439000,9347000,- -,- -,- -,8339000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,1200000,12100000,12500000,10439000,9347000,- -,- -,- -,8339000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,2350000,1161000,1161000,- -,1161000,491000,250000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,16300000,20600000,16500000,15800000,14900000,9735000,4057000,2586000,936000,1037000,9185000,524000,7025000,228000,11504000,10431000,377000,543000,474000,1129000,1373000,401000,301000,251000,214000,- -,643000
45,Total Non-Current Assets,- -,- -,- -,18900000,107300000,126700000,122100000,110064000,98726000,40148000,10380000,14710000,41474000,18606000,7848000,7406000,12356000,12990000,23684000,13154000,11874000,11289000,11576000,8224000,6740000,3683000,3386000,1649000,- -,643000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,809000,- -
47,Total Assets,- -,- -,- -,29800000,116700000,151200000,130400000,119908000,102588000,44022000,12624000,18131000,50513000,20080000,9702000,9786000,24058000,25121000,24067000,13450000,12484000,13308000,12274000,8875000,7178000,4205000,7882000,5790000,4611000,4455000
48,Accounts Payable,- -,- -,- -,400000,3800000,1900000,1800000,2072000,1445000,1042000,405000,503000,3887000,842000,500000,90000,202000,154000,83000,422000,38000,121000,673000,241000,238000,446000,59000,355000,80000,- -
49,Short-Term Debt,- -,- -,- -,- -,3400000,14900000,2300000,3317000,2538000,4316000,113000,10261000,9603000,2383000,135000,- -,- -,- -,- -,- -,- -,185000,881000,831000,96000,81000,59000,44000,52000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,500000,4700000,5100000,3700000,2023000,2602000,1583000,1035000,1564000,11290000,1607000,492000,175000,1944000,2711000,156000,417000,173000,965000,229000,151000,59000,29000,32000,35000,32000,60000
53,Total Current Liabilities,- -,- -,- -,900000,11900000,21900000,7800000,7412000,6585000,6941000,1553000,12328000,24780000,4832000,1127000,265000,2146000,2865000,239000,839000,211000,1271000,1783000,1223000,393000,556000,150000,434000,164000,60000
54,Long-Term Debt,- -,- -,- -,900000,65500000,54900000,58200000,61292000,61702000,16693000,8479000,2053000,20263000,13560000,6078000,6921000,1026000,3974000,1308000,2249000,2366000,2195000,1428000,1211000,296000,243000,201000,177000,52000,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,3100000,3100000,11900000,34300000,28484000,27645000,11119000,1241000,1196000,1557000,936000,418000,459000,394000,- -,4249000,3884000,3261000,2770000,2770000,2770000,2770000,2770000,2770000,2770000,- -,- -
58,Total Non-Current Liabilities,- -,- -,- -,4000000,68600000,66800000,92500000,89776000,89347000,27812000,9720000,3249000,21820000,14496000,6496000,7380000,1420000,3974000,5557000,6133000,5627000,4965000,4198000,3981000,3066000,3013000,2971000,2947000,52000,- -
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,174000,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,- -,- -,4900000,80500000,88700000,100300000,97188000,95932000,34753000,11273000,15577000,46600000,19328000,7623000,7645000,3566000,6839000,5796000,6972000,5838000,6236000,5981000,5204000,3459000,3569000,3121000,3381000,286000,60000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1000,1000,3151000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,76000,76000,75000,72000,10000,10000,10000,10000,10000,20000,20000,20000,20000,20000,20000,20000,20000,20000,21000,51000,51000,- -,51000
64,Retained Earnings,- -,- -,- -,-6600000,-12600000,-18700000,-32200000,-36798000,-51526000,-45268000,-53645000,-53423000,-3220000,-55225000,-53924000,-53862000,-38367000,-40577000,-40588000,-52381000,-52213000,-51787000,-52566000,-55188000,-55140000,-58386000,-58870000,-61222000,- -,-59236000
65,Other Comprehensive Income/Loss,- -,- -,- -,-300000,-2600000,-5500000,-7900000,-9888000,-12410000,-6498000,-2282000,-2233000,1014000,-963000,-959000,-397000,- -,- -,- -,-1721000,-1424000,-2178000,-2178000,-3202000,- -,-4380000,-4627000,-4671000,- -,- -
66,Other Total Stockholders Equity,- -,- -,- -,31800000,51400000,86700000,70200000,69330000,70516000,60960000,57205000,58199000,4000,56929000,56951000,56389000,58838000,58838000,58838000,60559000,60262000,61016000,61016000,62040000,58838000,63380000,68206000,68250000,4325000,63580000
67,Total Stockholders Equity,- -,- -,- -,24900000,36200000,62500000,30100000,22720000,6656000,9269000,1351000,2554000,959000,752000,2079000,2141000,20492000,18282000,18271000,6478000,6646000,7072000,6293000,3671000,3719000,636000,4761000,2409000,4325000,4395000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,29800000,116700000,151200000,130400000,119908000,102588000,44022000,12624000,18131000,47559000,20080000,9702000,9786000,24058000,25121000,24067000,13450000,12484000,13308000,12274000,8875000,7178000,4205000,7882000,5790000,4611000,4455000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2954000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,29800000,116700000,151200000,130400000,119908000,102588000,44022000,12624000,18131000,50513000,20080000,9702000,9786000,24058000,25121000,24067000,13450000,12484000,13308000,12274000,8875000,7178000,4205000,7882000,5790000,4611000,4455000
71,SEC Link,undefined,undefined,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/105744/000110465900000092/0001104659-00-000092-index.html,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/105744/000101054907000280/0001010549-07-000280-index.html,https://www.sec.gov/Archives/edgar/data/105744/000101054908000238/0001010549-08-000238-index.htm,https://www.sec.gov/Archives/edgar/data/105744/000101054909000262/0001010549-09-000262-index.htm,https://www.sec.gov/Archives/edgar/data/105744/000101054910000189/0001010549-10-000189-index.htm,https://www.sec.gov/Archives/edgar/data/105744/000101054911000295/0001010549-11-000295-index.htm,https://www.sec.gov/Archives/edgar/data/105744/000101054912000349/0001010549-12-000349-index.htm,https://www.sec.gov/Archives/edgar/data/105744/000101054913000197/0001010549-13-000197-index.htm,https://www.sec.gov/Archives/edgar/data/105744/000101054914000133/0001010549-14-000133-index.htm,https://www.sec.gov/Archives/edgar/data/105744/000101054915000106/0001010549-15-000106-index.htm,https://www.sec.gov/Archives/edgar/data/105744/000101054916000535/0001010549-16-000535-index.htm,https://www.sec.gov/Archives/edgar/data/105744/000101054917000128/0001010549-17-000128-index.htm,https://www.sec.gov/Archives/edgar/data/105744/000101054918000126/0001010549-18-000126-index.htm,https://www.sec.gov/Archives/edgar/data/105744/000101054919000054/0001010549-19-000054-index.htm,https://www.sec.gov/Archives/edgar/data/105744/000101054920000045/0001010549-20-000045-index.htm,https://www.sec.gov/Archives/edgar/data/105744/000101054921000057/0001010549-21-000057-index.htm,https://www.sec.gov/Archives/edgar/data/105744/000101054922000079/0001010549-22-000079-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,7100000,1500000,1800000,5800000,-4800000,-5700000,-8900000,82000,-10623000,6418000,-8373000,222000,-2165000,-986000,1301000,62000,15495000,-2210000,-11000,-11793000,168000,426000,-779000,-2622000,48000,-3246000,-484000,-2352000,- -,- -
74,Depreciation and Amortization,400000,1000000,1900000,200000,2000000,3300000,4400000,3977000,3740000,2329000,321000,330000,1612000,493000,369000,47000,171000,61000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12000,0
75,Deferred Income Tax,- -,800000,- -,- -,-2000000,-4100000,-2100000,- -,- -,2400000,1189000,- -,- -,- -,437000,241000,250000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,-700000,- -,- -,10000000,-12500000,5100000,-2100000,1932000,-5155000,-344000,3758000,-9598000,-6834000,12383000,4085000,1388000,7441000,-290000,-9122000,-687000,942000,349000,-1833000,513000,617000,-79000,4380000,-639000,-69000,114000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-117000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,-300000,-100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-299000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1557000,-240000,920000,-95000,178000,-384000,299000,-128000,-0
81,Other Working Capital,- -,- -,- -,10000000,-2500000,2600000,500000,2432000,-2723000,-3067000,691000,-8907000,-15741000,-3358000,727000,2115000,9556000,9266000,144000,-543000,399000,748000,-1085000,-572000,45000,-34000,4346000,3707000,3638000,3752000
82,Other Non-Cash Items,-8900000,-5600000,-7400000,-18600000,16200000,-5100000,3100000,-5583000,12279000,-13385000,-780000,8560000,7757000,-11535000,-6832000,-1211000,-22930000,3175000,9237000,13046000,-609000,827000,2330000,2688000,-979000,3527000,-4533000,3360000,-478000,-114000
83,Cash Provided by Operating Activities,-2100000,-2300000,-3700000,-2600000,-1100000,-6500000,-5600000,408000,241000,-2582000,-3885000,-486000,370000,355000,-640000,527000,427000,736000,104000,566000,501000,1602000,-282000,579000,-314000,202000,-637000,369000,-535000,0
84,CAPEX,-1300000,-1100000,-1400000,-1900000,-16500000,-4000000,-4800000,-1764000,-1796000,-24294000,-285000,-1225000,-4165000,-47000,-148000,-49000,-12182000,-107000,-267000,-1336000,-209000,-401000,-304000,-367000,-52000,-10000,- -,-664000,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,85000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1098000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,67700000,- -,- -,- -,- -,- -,- -,4331000,- -,- -,1098000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-58800000,9700000,38500000,19800000,800000,3100000,1500000,1861000,1014000,33550000,7460000,460000,- -,3607000,2403000,-630000,14812000,-716000,- -,- -,- -,- -,-650000,242000,738000,24000,-3960000,- -,508000,0
89,Cash Used for Investing Activites,7600000,8600000,37100000,17900000,-15700000,-900000,-3300000,4428000,-782000,8158000,8273000,-765000,-4165000,3560000,2255000,-679000,2630000,-823000,-267000,-1336000,-209000,-401000,-954000,-125000,686000,14000,-3960000,-664000,593000,0
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3831000,- -,- -,- -,-6000,-75000,-31000,-54000,-40000,-213000,-281000,-732000,-73000,-70000,-44000,-53000,- -
91,Common Stock Issued,1000000,2000000,- -,- -,- -,300000,- -,- -,- -,- -,- -,792000,- -,- -,26000,- -,2856000,- -,- -,- -,- -,- -,- -,- -,- -,163000,4609000,- -,- -,- -
92,Common Stock Repurchased,-1000000,- -,- -,-2000000,-100000,-300000,-500000,- -,-4760000,-4200000,- -,-9000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,-200000,-200000,-300000,- -,-1600000,-1630000,-1457000,-160000,-4000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-4400000,-8300000,-25900000,-14300000,12400000,4600000,17100000,-416000,231000,-2257000,-4969000,495000,3720000,-196000,-230000,- -,-5895000,58000,142000,851000,51000,62000,128000,- -,- -,- -,- -,- -,- -,-0
95,Cash Used/Provided by Financing Activities,-4400000,-6300000,-26100000,-16500000,12000000,4600000,15000000,-2046000,-5986000,-6617000,-4973000,1278000,3720000,-4027000,-204000,- -,-3039000,52000,67000,820000,-3000,22000,-85000,-281000,-732000,90000,4539000,-44000,-53000,-0
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-4400000,-6300000,-26100000,-16500000,12000000,4600000,15000000,2790000,-6527000,-1041000,-585000,27000,-75000,-112000,-326000,-152000,18000,-35000,-96000,50000,289000,1223000,-1321000,173000,-360000,306000,-58000,-339000,5000,-27000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,8814000,2287000,1246000,661000,688000,1352000,650000,324000,172000,190000,155000,59000,109000,398000,1621000,300000,473000,113000,419000,361000,22000,27000,0
99,Cash at the Beginning of Period,100000,1200000,1100000,8300000,7600000,2800000,- -,6024000,8814000,2287000,1246000,661000,1427000,762000,650000,324000,172000,190000,155000,59000,109000,398000,1621000,300000,473000,113000,419000,361000,22000,27000
100,Free Cash Flow,-3400000,-3400000,-5100000,-4500000,-17600000,-10500000,-10400000,-1356000,-1555000,-26876000,-4170000,-1711000,-3795000,308000,-788000,478000,-11755000,629000,-163000,-770000,292000,1201000,-586000,212000,-366000,192000,-637000,-295000,-535000,0
