,https://roic.ai/company/TAP-A,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,607131000,403257000,303556000,669207000,228254000,255843000,262200000,164600000,181500000,198600000,223200000,283700000,225200000,236500000,382500000,681500000,698000000,- -,954900000,1208500000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3243515000,3407378000,3389308000,10331023000,10145057000,11674752000,9309500000,10258300000,10476700000,10305800000,14464200000,14042400000,12417400000,11017500000,27171900000,28057200000,27343500000,7635000000,24912300000,24840300000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4297411000,4486226000,4657524000,11799265000,11603413000,13451566000,10416600000,12021100000,12697600000,12423800000,16212200000,15580100000,13996300000,12276300000,29341500000,30246900000,30109800000,7762000000,27331100000,27619000000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,305297000,396204000,326034000,354771000,388281000,351595000,152800000,193400000,227800000,268500000,392900000,599700000,618000000,559600000,1297600000,1568600000,1616800000,170000000,1732700000,2098100000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,144049000,91165000,38528000,348102000,4441000,4281000,100000,300300000,1100000,46900000,1245600000,586900000,849400000,28700000,684800000,714800000,1594500000,974800000,1067200000,560300000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,284740000,- -,292640000,- -,- -,- -,246200000,212300000,216600000,215000000,201600000,317300000,292900000,244100000,278300000,257600000,242600000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,698545000,646353000,812335000,1533743000,1407394000,1379701000,833200000,1087200000,1105000000,961800000,960200000,955500000,857900000,628900000,1175100000,1115900000,1089600000,-474800000,1109700000,963800000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1147891000,1133722000,1176897000,2236616000,1800116000,1735577000,986100000,1580900000,1333900000,1277200000,2598700000,2142100000,2325300000,1217200000,3157500000,3399300000,4300900000,670000000,3909600000,3622200000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1383392000,1159838000,893678000,2136668000,2129845000,2260596000,1831700000,1412700000,1959600000,1914900000,3422500000,3213000000,2337100000,2908700000,11387700000,10598700000,8893800000,499000000,7208200000,6647200000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,156437000,195523000,149927000,606126000,607000000,891298000,629800000,533000000,547500000,532000000,948500000,911400000,784300000,799800000,1699000000,1648600000,2128900000,- -,2381600000,2704600000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,627840000,729767000,798988000,1411326000,1202314000,1370953000,979300000,1401700000,1014000000,1009500000,1250900000,649800000,663500000,287500000,1475600000,1165300000,1050400000,- -,1210400000,980900000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2167669000,2085128000,1842593000,4154120000,3939159000,4522847000,3440800000,3347400000,3521100000,3456400000,5621900000,4774200000,3784900000,3996000000,14562300000,13412600000,12073100000,499000000,10800200000,10332700000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7899000000,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,46600000,47100000,45400000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3315560000,3218850000,3019490000,6390736000,5739275000,6258424000,4426900000,4928300000,4855000000,4733600000,8220600000,6916300000,6110200000,5213200000,17719800000,16811900000,16374000000,8070000000,14709800000,13954900000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9612000,365000,377000,632000,679000,1523000,1600000,1600000,1600000,1600000,836200000,824300000,771700000,712900000,681300000,662900000,662800000,2000000,522200000,522100000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1086965000,1231802000,1398003000,1422987000,1673455000,1950455000,2199400000,2734900000,3241500000,3689700000,3900500000,4233200000,4439900000,4496000000,6119000000,7206100000,7692900000,7617000000,6544200000,7401500000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-134457000,3160000,97675000,186989000,316978000,1104929000,-396800000,20700000,171100000,-129700000,-72300000,154900000,-898400000,-1694900000,-1545500000,-860000000,-1150000000,-1162200000,-1167800000,-1006000000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19731000,32049000,105111000,3714109000,3826244000,4092484000,4176100000,4322400000,4384600000,4086300000,3302500000,3426500000,3550100000,3529000000,6163900000,6217100000,6301700000,6962600000,6466400000,6499500000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,981851000,1267376000,1601166000,5324717000,5817356000,7149391000,5980300000,7079600000,7798800000,7647900000,7966900000,8638900000,7863300000,7043000000,11418700000,13226100000,13507400000,13419400000,12365000000,13417100000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4297411000,4486226000,4620656000,11715453000,11556631000,13407815000,10407200000,12007900000,12653800000,12381500000,16187500000,15555200000,13973500000,12256200000,29138500000,30038000000,29881400000,21489400000,27074800000,27372000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,36868000,83812000,46782000,43751000,9400000,13200000,43800000,42300000,24700000,24900000,22800000,20100000,203000000,208900000,228400000,-13727400000,256300000,247000000
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4297411000,4486226000,4657524000,11799265000,11603413000,13451566000,10416600000,12021100000,12697600000,12423800000,16212200000,15580100000,13996300000,12276300000,29341500000,30246900000,30109800000,7762000000,27331100000,27619000000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/24545/000144530512000454/0001445305-12-000454-index.htm,https://www.sec.gov/Archives/edgar/data/24545/000110465913014318/0001104659-13-014318-index.htm,https://www.sec.gov/Archives/edgar/data/24545/000002454514000004/0000024545-14-000004-index.htm,https://www.sec.gov/Archives/edgar/data/24545/000002454515000004/0000024545-15-000004-index.htm,https://www.sec.gov/Archives/edgar/data/24545/000002454516000054/0000024545-16-000054-index.htm,https://www.sec.gov/Archives/edgar/data/24545/000002454517000005/0000024545-17-000005-index.htm,https://www.sec.gov/Archives/edgar/data/24545/000002454518000009/0000024545-18-000009-index.htm,https://www.sec.gov/Archives/edgar/data/24545/000002454519000007/0000024545-19-000007-index.htm,https://www.sec.gov/Archives/edgar/data/24545/000002454520000005/0000024545-20-000005-index.htm,https://www.sec.gov/Archives/edgar/data/24545/000002454521000004/0000024545-21-000004-index.htm,https://www.sec.gov/Archives/edgar/data/24545/000002454522000005/0000024545-22-000005-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,13100000,38900000,23900000,-2000000,-41900000,58120000,43178000,43425000,82260000,67784000,92284000,109617000,122964000,161653000,174657000,196736000,134944000,361031000,497192000,388000000,720400000,707700000,676300000,443000000,567300000,514000000,359500000,1975900000,1414200000,1116500000,241700000,-945000000,1005700000
74,Depreciation and Amortization,- -,- -,- -,- -,122400000,130400000,143900000,114800000,119000000,120793000,122830000,121121000,117166000,115815000,123770000,129283000,121091000,230299000,243611000,268377000,392814000,438354000,345843000,273400000,187400000,202300000,217100000,272700000,320500000,313000000,314400000,388400000,812800000,857500000,827300000,922000000,786100000
75,Deferred Income Tax,- -,- -,- -,- -,-13800000,-10200000,-21500000,-49000000,-26300000,18230000,-1744000,17696000,-15043000,-8751000,20635000,6870000,-19176000,-2819000,53497000,6215000,-23049000,1368000,-97948000,85100000,127800000,68000000,38900000,72500000,-17600000,200000,51800000,1050700000,-53200000,225200000,- -,301800000,230500000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,22143000,37387000,55900000,22800000,27400000,24700000,14000000,19500000,23500000,18400000,29900000,58300000,42600000,- -,24200000,32100000
77,Change in Working Capital,- -,- -,- -,- -,-7700000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-93995000,- -,39121000,146193000,-859693000,426614000,382997000,79763000,60900000,705100000,-46200000,-1691500000,246300000,-142000000,788000000,-1029500000,-221700000,-325000000,991600000,-947800000,-36100000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,38500000,- -,- -
79,Inventory,- -,- -,- -,- -,-1400000,-32000000,-34300000,-5800000,5100000,5627000,2135000,18076000,14051000,4176000,-4373000,-3087000,-5199000,39210000,-5549000,-3441000,47233000,7825000,-23133000,39300000,-11700000,-10100000,-17100000,54100000,4200000,-16500000,10900000,-23200000,21300000,-10600000,- -,-46200000,-143900000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16724000,4151000,-27483000,-10500000,21000000,45300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-93995000,-93995000,-54874000,91319000,-768374000,-341760000,41237000,121000000,181900000,887000000,840800000,-850700000,-604400000,-746400000,41600000,-987900000,-1209600000,-1534600000,-543000000,-1490800000,-40100000
82,Other Non-Cash Items,- -,- -,- -,- -,46200000,71900000,17800000,92000000,117700000,-10717000,-74167000,12870000,76170000,6297000,-66901000,39647000,62512000,-130588000,33252000,-117613000,777259000,-416266000,-549434000,-470663000,-295100000,-960800000,-42700000,1873000000,32200000,563900000,-835700000,-1288500000,-144100000,414500000,-2060600000,2340500000,-444800000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,160200000,231000000,164100000,155800000,168500000,186426000,90097000,195112000,260553000,181145000,169788000,285417000,193396000,258545000,544138000,499908000,422275000,833244000,616037000,411500000,824200000,749700000,868100000,983700000,1168200000,1272600000,696400000,1126900000,1866300000,2331300000,- -,1695700000,1573500000
