,https://roic.ai/company/BBSI,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
22,Income Tax expense (Gain),1300000,2100000,2500000,2800000,2300000,2900000,3700000,1446000,-1574000,-892000,890000,4879000,7440000,9154000,9112000,3728000,-3119000,2574000,837000,6328000,7010000,-18253000,9652000,6787000,9208000,6707000,12846000,8831000,12582000
23,Net Income,2100000,3500000,4100000,5000000,3800000,3800000,5100000,2101000,-2422000,-1353000,2085000,7371000,12490000,16336000,16806000,6263000,-4768000,7353000,14318000,13131000,17892000,-27084000,25494000,18799000,25170000,38062000,48292000,33765000,38079000
24,Net Income ratio,0.0209,0.0249,0.0228,0.0232,0.0135,0.0125,0.0147,0.0065,-0.0112,-0.0124,0.0170,0.0378,0.0540,0.0630,0.0581,0.0223,-0.0202,0.0269,0.0455,0.0326,0.0336,-0.0426,0.0344,0.0224,0.0273,0.0405,0.0512,0.0383,0.0399
25,EPS,0.09,0.35,0.41,0.49,0.38,0.33,0.45,0.19,-0.26,-0.15,0.24,0.86,1.29,1.46,1.49,0.58,-0.46,0.72,1.42,1.70,2.52,-3.78,3.55,2.60,3.46,5.18,6.48,4.46,5.05
26,EPS Diluted,0.09,0.35,0.41,0.49,0.37,0.33,0.45,0.19,-0.26,-0.15,0.23,0.79,1.21,1.40,1.44,0.56,-0.46,0.72,1.41,1.67,2.42,-3.78,3.47,2.55,3.33,4.98,6.27,4.39,5.00
27,Weighted Average Shares Outstanding,9451274,9886500,10020000,10402500,10126500,11496000,11371500,10855500,9289500,8706000,8535000,8587500,9647000,11194000,11247000,10861000,10452000,10333000,10083000,7723000,7105000,7160000,7173000,7226000,7275000,7342000,7451000,7577000,7540000
28,Weighted Average Shares Outstanding Diluted,9451274,9886500,10020000,10402500,10327500,11566500,11440500,10915500,9289500,8706000,8814000,9289500,10343000,11671000,11654000,11120000,10452000,10372000,10150000,7863000,7397000,7160000,7353000,7378000,7551000,7647000,7699000,7688000,7621000
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/902791/000089291795000070/0000892917-95-000070-index.html,- -,https://www.sec.gov/Archives/edgar/data/902791/0000892917-97-000067-index.html,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/902791/000089291705000051/0000892917-05-000051-index.htm,https://www.sec.gov/Archives/edgar/data/902791/000089291706000110/bbs10k-06.htm,https://www.sec.gov/Archives/edgar/data/902791/000089291707000049/bbs10k031607.htm,https://www.sec.gov/Archives/edgar/data/902791/000119312508057694/d10k.htm,https://www.sec.gov/Archives/edgar/data/902791/000119312509054112/0001193125-09-054112-index.html,https://www.sec.gov/Archives/edgar/data/902791/000119312510056979/0001193125-10-056979-index.html,https://www.sec.gov/Archives/edgar/data/902791/000119312511086773/0001193125-11-086773-index.html,https://www.sec.gov/Archives/edgar/data/902791/000119312512117573/0001193125-12-117573-index.html,https://www.sec.gov/Archives/edgar/data/902791/000119312513109536/0001193125-13-109536-index.html,https://www.sec.gov/Archives/edgar/data/902791/000119312514100025/d629759d10k.htm,https://www.sec.gov/Archives/edgar/data/902791/000119312515093444/d838375d10k.htm,https://www.sec.gov/Archives/edgar/data/902791/000119312516602543/d62398d10k.htm,https://www.sec.gov/Archives/edgar/data/902791/000156459017003697/0001564590-17-003697-index.html,https://www.sec.gov/Archives/edgar/data/902791/000156459018004568/0001564590-18-004568-index.html,https://www.sec.gov/Archives/edgar/data/902791/000156459019006295/0001564590-19-006295-index.html,https://www.sec.gov/Archives/edgar/data/902791/000156459020008249/0001564590-20-008249-index.html,https://www.sec.gov/Archives/edgar/data/902791/000156459021011516/0001564590-21-011516-index.htm,https://www.sec.gov/Archives/edgar/data/902791/000156459022008865/0001564590-22-008865-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,1100000,2200000,3200000,1900000,3400000,4000000,600000,516000,1142000,96000,7785000,12153000,61361000,69874000,62779000,42214000,36671000,30924000,49571000,45747000,93557000,11544000,25218000,50768000,59835000,35371000,44570000,68688000,69405000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4630000,3548000,3159000,1717000,17968000,13766000,24511000,16878000,16748000,19787000,29957000,- -,5675000,674000,416000,82590000,101244000,96763000
33,Cash and Short-Term Investments,1100000,2200000,3200000,1900000,3400000,4000000,600000,516000,1142000,96000,7785000,16783000,64909000,73033000,64496000,60182000,50437000,55435000,66449000,62495000,113344000,41501000,25218000,56443000,60509000,35787000,127160000,169932000,166168000
34,Net Receivables,5000000,9600000,13200000,19400000,19400000,21900000,30200000,20660000,13760000,13280000,18481000,24053000,26570000,31553000,36898000,34614000,37569000,39952000,50653000,63921000,85586000,114048000,91567000,126484000,138350000,151597000,164896000,124991000,155707000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,7400000,1600000,1400000,2200000,3000000,3000000,2800000,3924000,3863000,3151000,3154000,5464000,8378000,6639000,5474000,3813000,5050000,7899000,11855000,13002000,11955000,23380000,110224000,77698000,109376000,134289000,131792000,112952000,84844000
37,Total Current Assets,13500000,13400000,17800000,23500000,25800000,28900000,33600000,25100000,18765000,16527000,29420000,46300000,99857000,111225000,106868000,98609000,93056000,103286000,128957000,139418000,210885000,178929000,227009000,260625000,308235000,321673000,423848000,407875000,406719000
38,PP&E,1900000,2100000,2300000,3100000,4300000,5200000,7000000,7177000,6084000,5167000,3367000,4301000,13071000,13502000,16136000,15503000,14795000,15037000,15007000,18489000,20549000,22675000,22820000,26673000,24909000,24812000,55529000,57941000,56974000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,27536000,41508000,47338000,47338000,47820000,47820000,47820000,47820000,47820000,47820000,47820000,47820000,47820000,47820000,47820000,47820000
40,Intangible Assets,300000,4900000,6500000,10200000,12100000,11500000,21900000,20982000,18878000,18808000,18762000,22541000,22521000,75000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,300000,4900000,6500000,10200000,12100000,11500000,21900000,20982000,18878000,18808000,18762000,22541000,22521000,27611000,41508000,47338000,47338000,47820000,47820000,47820000,47820000,47820000,47820000,47820000,47820000,47820000,47820000,47820000,47820000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2000000,3000000,8000000,427000,10139000,14732000,25318000,9899000,5909000,20930000,6082000,642000,1199000,1687000,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1041000,582000,341000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5834000,8458000,2788000,- -,1687000
44,Other Non-Current Assets,2700000,4300000,4700000,5800000,6200000,7200000,8200000,7853000,8839000,6795000,2083000,6261000,6511000,6843000,712000,8183000,6744000,7009000,5995000,13235000,28159000,178174000,193046000,262000000,294488000,351639000,330944000,261314000,- -
45,Total Non-Current Assets,4900000,11300000,13500000,19100000,22600000,23900000,37100000,36012000,33801000,30770000,25253000,33685000,44444000,50956000,66356000,71451000,79016000,84598000,94140000,89443000,102437000,269599000,269768000,337135000,374250000,434416000,437081000,367075000,106481000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,18400000,24700000,31300000,42600000,48400000,52800000,70700000,61112000,52566000,47297000,54673000,79985000,144301000,162181000,173224000,170060000,172072000,187884000,223097000,228861000,313322000,448528000,496777000,597760000,682485000,756089000,860929000,774950000,513200000
48,Accounts Payable,100000,200000,400000,700000,800000,900000,1400000,1013000,686000,834000,727000,994000,1366000,1545000,1516000,881000,1117000,964000,1639000,1995000,3252000,2719000,3217000,4944000,5166000,4336000,5993000,4746000,4485000
49,Short-Term Debt,100000,- -,- -,- -,300000,100000,8600000,5567000,4132000,3947000,88000,348000,348000,- -,- -,- -,- -,- -,- -,4752000,220000,25220000,19833000,221000,221000,221000,6892000,7760000,21573000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,272000,1236000,- -,- -,3041000,- -,4403000,- -,- -,1673000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,6300000,8300000,9000000,11200000,14000000,14600000,16000000,14789000,11289000,9511000,20135000,27807000,42668000,45475000,46784000,45235000,45914000,57759000,77679000,104529000,142992000,190331000,214343000,269999000,316868000,322181000,329237000,278131000,289338000
53,Total Current Liabilities,6500000,8500000,9400000,11900000,15100000,15600000,26000000,21369000,16107000,14292000,20950000,29149000,44382000,47020000,48300000,46116000,47031000,58723000,79318000,111276000,146464000,218270000,237393000,275164000,322255000,326738000,342122000,290637000,315396000
54,Long-Term Debt,900000,900000,900000,1400000,500000,500000,4200000,1508000,922000,488000,400000,1441000,1094000,- -,- -,- -,- -,2686000,- -,5273000,5053000,19833000,- -,4392000,4171000,3951000,3730000,19929000,29196000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,549000,427000,- -,- -,1786000,1862000,1675000,1483000,1441000,1381000,2285000,4682000,5925000,1687000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1545000,3268000,4394000,6323000,7841000,8152000,10607000,10787000,8159000,13256000,15872000,- -,- -,- -,4518000,1687000
57,Other Non-Current Liabilities,500000,800000,1000000,900000,2700000,3000000,3200000,3318000,5003000,- -,2689000,10642000,12975000,9916000,7908000,8379000,18164000,23269000,33972000,46023000,76603000,161933000,190094000,231198000,265844000,304078000,338596000,255706000,190456000
58,Total Non-Current Liabilities,1400000,1700000,1900000,2300000,3200000,3500000,7400000,4826000,5925000,488000,3089000,12083000,14069000,11461000,11176000,13322000,24914000,33796000,42124000,63689000,94305000,191600000,204833000,252903000,271396000,310314000,347008000,286078000,223026000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,24554000,23958000,- -
61,Total Liabilities,7900000,10200000,11300000,14200000,18300000,19100000,33400000,26195000,22032000,14780000,24039000,41232000,58451000,58481000,59476000,59438000,71945000,92519000,121442000,174965000,240769000,409870000,442226000,528067000,593651000,637052000,689130000,576715000,538422000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,100000,64000,58000,57000,62000,63000,110000,112000,111000,106000,105000,102000,99000,70000,72000,71000,72000,72000,73000,74000,75000,76000,74000
64,Retained Earnings,2000000,5400000,9500000,14600000,18400000,22200000,27400000,29466000,27044000,25691000,27776000,35147000,47637000,63185000,76735000,79532000,71408000,70164000,80647000,52890000,66726000,34200000,47546000,59986000,77880000,108594000,148678000,165710000,178323000
65,Other Comprehensive Income/Loss,-600000,-600000,-1200000,-1500000,-1900000,-1900000,-2500000,-3521000,-4560000,-107000,-107000,-354000,-279000,-244000,-1516000,25000,256000,-65000,-34000,23000,-26000,-23000,-31000,-3000,-1430000,-5068000,2819000,7564000,1079000
66,Other Total Stockholders Equity,9100000,9700000,11700000,15300000,13600000,13400000,12300000,8908000,7992000,3144000,2903000,3897000,38382000,40647000,38418000,30959000,28358000,25164000,20943000,913000,5781000,4410000,6964000,9638000,12311000,15437000,20227000,24885000,29054000
67,Total Stockholders Equity,10500000,14500000,20000000,28400000,30100000,33700000,37300000,34917000,30534000,28785000,30634000,38753000,85850000,103700000,113748000,110622000,100127000,95365000,101655000,53896000,72553000,38658000,54551000,69693000,88834000,119037000,171799000,198235000,208530000
68,Total Liabilities And Stockholders Equity,18400000,24700000,31300000,42600000,48400000,52800000,70700000,61112000,52566000,43565000,54673000,79985000,144301000,162181000,173224000,170060000,172072000,187884000,223097000,228861000,313322000,448528000,496777000,597760000,682485000,756089000,860929000,774950000,746952000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,3732000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-233752000
70,Total Liabilities & Equity,18400000,24700000,31300000,42600000,48400000,52800000,70700000,61112000,52566000,47297000,54673000,79985000,144301000,162181000,173224000,170060000,172072000,187884000,223097000,228861000,313322000,448528000,496777000,597760000,682485000,756089000,860929000,774950000,513200000
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/902791/000089291795000070/0000892917-95-000070-index.html,- -,https://www.sec.gov/Archives/edgar/data/902791/0000892917-97-000067-index.html,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/902791/000089291705000051/0000892917-05-000051-index.htm,https://www.sec.gov/Archives/edgar/data/902791/000089291706000110/bbs10k-06.htm,https://www.sec.gov/Archives/edgar/data/902791/000089291707000049/bbs10k031607.htm,https://www.sec.gov/Archives/edgar/data/902791/000119312508057694/d10k.htm,https://www.sec.gov/Archives/edgar/data/902791/000119312509054112/0001193125-09-054112-index.html,https://www.sec.gov/Archives/edgar/data/902791/000119312510056979/0001193125-10-056979-index.html,https://www.sec.gov/Archives/edgar/data/902791/000119312511086773/0001193125-11-086773-index.html,https://www.sec.gov/Archives/edgar/data/902791/000119312512117573/0001193125-12-117573-index.html,https://www.sec.gov/Archives/edgar/data/902791/000119312513109536/0001193125-13-109536-index.html,https://www.sec.gov/Archives/edgar/data/902791/000119312514100025/d629759d10k.htm,https://www.sec.gov/Archives/edgar/data/902791/000119312515093444/d838375d10k.htm,https://www.sec.gov/Archives/edgar/data/902791/000119312516602543/d62398d10k.htm,https://www.sec.gov/Archives/edgar/data/902791/000156459017003697/0001564590-17-003697-index.html,https://www.sec.gov/Archives/edgar/data/902791/000156459018004568/0001564590-18-004568-index.html,https://www.sec.gov/Archives/edgar/data/902791/000156459019006295/0001564590-19-006295-index.html,https://www.sec.gov/Archives/edgar/data/902791/000156459020008249/0001564590-20-008249-index.html,https://www.sec.gov/Archives/edgar/data/902791/000156459021011516/0001564590-21-011516-index.htm,https://www.sec.gov/Archives/edgar/data/902791/000156459022008865/0001564590-22-008865-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,2100000,3500000,4100000,5000000,3800000,3800000,5100000,2101000,-2422000,-1353000,2085000,7371000,12490000,16336000,16806000,6263000,-4768000,7353000,14318000,13131000,17892000,-27084000,25494000,18799000,25170000,38062000,48292000,33765000,38079000
74,Depreciation and Amortization,500000,600000,800000,1100000,1700000,1800000,2500000,3192000,3277000,1162000,1058000,1008000,974000,1306000,1387000,1536000,1641000,1395000,1344000,1477000,2037000,2506000,2851000,3253000,5452000,4219000,3886000,4844000,5326000
75,Deferred Income Tax,-900000,- -,- -,-300000,-600000,-300000,200000,-1171000,-1568000,1553000,319000,-1279000,-1523000,3051000,4127000,877000,83000,746000,453000,301000,-632000,-9487000,2728000,-1704000,4039000,-1192000,2656000,5492000,-347000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000,192000,472000,695000,1016000,1699000,2386000,2782000,4184000,5502000,7173000,3436000,5366000
77,Change in Working Capital,800000,-2100000,3500000,3200000,-900000,2600000,-5700000,-3869000,-1073000,-423000,6235000,8681000,38324000,8730000,-5637000,-6075000,-6468000,-1462000,5076000,-21497000,36279000,-103762000,28957000,-4155000,519000,8955000,86791000,35512000,-25915000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2284000,1319000,-4526000,-8924000,-17401000,-21665000,-17041000,12097000,-35955000,-10180000,-14933000,-11964000,45055000,-37201000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-635000,236000,-153000,675000,356000,1257000,-533000,498000,1727000,222000,-830000,1657000,-1247000,-261000
81,Other Working Capital,7000000,4900000,8400000,11600000,10700000,13300000,7600000,3731000,2658000,2235000,8470000,17151000,55475000,64205000,58568000,52493000,46025000,44563000,49639000,28142000,64421000,-39341000,-10384000,-14539000,-14020000,-5065000,81726000,117238000,91323000
82,Other Non-Cash Items,900000,-700000,-5900000,-6800000,3800000,-3700000,1300000,11651000,7363000,-1845000,-2521000,-3097000,-25555000,-14024000,608000,11565000,12437000,9722000,9692000,51550000,13604000,205724000,38215000,61332000,73495000,14238000,-71661000,-110964000,-37968000
83,Cash Provided by Operating Activities,3400000,1300000,2500000,2200000,7800000,4200000,3400000,11904000,5577000,-906000,7176000,12684000,24710000,15399000,17291000,14166000,3025000,17946000,31355000,45657000,70196000,69596000,100631000,80307000,112859000,69784000,77137000,-27915000,-15459000
84,CAPEX,-1300000,-300000,-400000,-1100000,-1500000,-1800000,-15200000,-1257000,-269000,-175000,-331000,-1914000,-9724000,-1697000,-3860000,-830000,-881000,-1606000,-1247000,-3712000,-4097000,-4632000,-2996000,-7106000,-3687000,-5679000,-10798000,-8610000,-6801000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,-1122000,-31000,- -,- -,-3044000,- -,-4963000,-14177000,-5860000,- -,-375000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,-15900000,-3700000,-2300000,-8000000,-5700000,-5400000,-2700000,-688000,-2221000,-3116000,-7226000,-7354000,-5084000,-6248000,-4689000,-3341000,-33288000,-42737000,-87039000,-44138000,-71314000,-100062000,-219962000,-264000,-6283000,-1946000,-54343000,-65738000,-54835000
87,Sales/Maturities of Investments,8400000,8600000,1900000,7000000,5300000,5500000,2400000,1329000,2436000,4279000,9914000,2342000,5121000,6152000,3826000,94588000,31497000,27816000,84110000,49986000,70768000,23765000,63027000,4796000,10718000,1885000,88771000,47922000,202554000
88,Other Investing Activites,- -,-4700000,-1200000,-1500000,-2200000,- -,100000,- -,266000,- -,2338000,- -,- -,- -,- -,-55356000,- -,- -,- -,- -,-12789000,-101546000,104335000,-30496000,-95533000,-33604000,42683000,30567000,-253781000
89,Cash Used for Investing Activites,-8800000,-100000,-2000000,-3600000,-4100000,-1700000,-15400000,-1738000,181000,988000,4695000,-9970000,-9687000,-6756000,-18900000,29201000,-2672000,-16902000,-4176000,2136000,-17432000,-182475000,-55596000,-33070000,-94785000,-39344000,66313000,4141000,-112863000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5667000,-323000,- -,- -,-45716000,-137416000,-6462000,-71326000,-30088000,-25120000,-8720000,-19064000,-220000,-2718000
91,Common Stock Issued,6800000,- -,600000,100000,800000,200000,- -,28000,- -,14000,210000,353000,34532000,521000,85000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-2800000,- -,-1500000,-4541000,-2307000,-386000,-446000,- -,- -,- -,-2604000,-8474000,-3012000,-3415000,-4778000,-60232000,- -,-4083000,-465000,-433000,-1673000,-2952000,-3136000,-8056000,-17287000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-788000,-3256000,-3466000,-3356000,-3402000,-3835000,-3550000,-4056000,-5443000,-6310000,-6359000,-7276000,-7348000,-8208000,-9121000,-9069000
94,Other Financing Activites,-300000,-100000,-100000,- -,-200000,-2200000,10000000,-5687000,-2825000,-756000,-3946000,1301000,-347000,137000,289000,6677000,795000,26000,81000,57881000,136518000,46854000,46740000,15193000,25062000,9077000,19597000,1667000,2188000
95,Cash Used/Provided by Financing Activities,6500000,-100000,500000,100000,-2200000,-2000000,8500000,-10200000,-5132000,-1128000,-4182000,1654000,34185000,-130000,-5486000,-10930000,-5896000,-6791000,-8532000,-51617000,-4954000,30866000,-31361000,-21687000,-9007000,-9943000,-10811000,-15730000,-26886000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,6500000,-100000,500000,100000,-2200000,-2000000,-3400000,-34000,626000,-1046000,7689000,4368000,49208000,8513000,-7095000,32437000,-5543000,-5747000,18647000,-3824000,47810000,-82013000,13674000,25550000,9067000,20497000,132639000,-39504000,-155208000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,600000,516000,1142000,96000,7785000,12153000,61361000,69874000,62779000,42214000,36671000,30924000,49571000,45747000,93557000,11544000,25218000,50768000,59835000,140702000,273341000,233837000,78629000
99,Cash at the Beginning of Period,- -,1100000,2200000,3200000,1900000,3400000,4000000,550000,516000,1142000,96000,7785000,12153000,61361000,69874000,9777000,42214000,36671000,30924000,49571000,45747000,93557000,11544000,25218000,50768000,120205000,140702000,273341000,233837000
100,Free Cash Flow,2100000,1000000,2100000,1100000,6300000,2400000,-11800000,10647000,5308000,-1081000,6845000,10770000,14986000,13702000,13431000,13336000,2144000,16340000,30108000,41945000,66099000,64964000,97635000,73201000,109172000,64105000,66339000,-36525000,-22260000
