,https://roic.ai/company/CATO,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
16,EBITDA ratio,0.0985,0.0212,-0.0157,-0.0240,-0.0439,0.0732,0.0999,0.1091,0.0739,0.0529,0.0389,0.0668,0.0817,0.1007,0.1040,0.1096,0.1177,0.0910,0.0942,0.1081,0.1149,0.0844,0.0877,0.1026,0.1217,0.1311,0.1288,0.1154,0.1151,0.1210,0.0753,0.0276,0.0604,0.0711,-0.1007,0.0668
17,Operating Income,17700000,4100000,-14500000,-15200000,-9100000,9700000,21500000,26500000,16500000,5000000,2200000,10200000,17700000,32050000,39433000,46319000,52570000,45969000,52673000,65995000,70075000,41024000,45445000,64667000,86875000,96475000,95305000,81094000,88085000,95935000,42249000,10976000,28156000,37171000,-79249000,36896000
18,Operating Income ratio,0.0953,0.0197,-0.0650,-0.0617,-0.0395,0.0366,0.0649,0.0650,0.0346,0.0102,0.0045,0.0205,0.0326,0.0530,0.0589,0.0656,0.0703,0.0615,0.0667,0.0789,0.0800,0.0485,0.0530,0.0732,0.0939,0.1036,0.1010,0.0881,0.0893,0.0949,0.0442,0.0129,0.0339,0.0450,-0.1378,0.0480
19,Total Other Income Expenses (Gains),-1900000,-2900000,7300000,4800000,-5900000,5400000,8200000,11800000,12000000,13100000,8700000,15200000,19100000,19950000,20567000,19981000,19230000,3308000,2027000,4405000,9525000,8176000,7165000,4233000,3934000,3796000,3695000,3206000,3388000,3192000,6865000,4997000,4895000,6036000,6443000,2069000
20,Income Before Tax,15800000,1200000,-7200000,-10400000,-15000000,15100000,29700000,38300000,28500000,18100000,10900000,25400000,36800000,52000000,60000000,66300000,71800000,49277000,54700000,70400000,79600000,49200000,52610000,68900000,90809000,100271000,99000000,84300000,91473000,99127000,49114000,15973000,33051000,43207000,-72806000,38965000
21,Income Before Tax Ratio,0.0851,0.0058,-0.0323,-0.0422,-0.0651,0.0570,0.0896,0.0939,0.0598,0.0369,0.0222,0.0511,0.0677,0.0860,0.0897,0.0939,0.0960,0.0659,0.0693,0.0842,0.0909,0.0581,0.0613,0.0779,0.0981,0.1076,0.1049,0.0916,0.0927,0.0980,0.0513,0.0188,0.0398,0.0524,-0.1266,0.0507
22,Income Tax expense (Gain),7300000,500000,-3200000,-5100000,-5000000,5600000,10600000,13500000,10400000,6100000,3900000,8000000,12900000,18200000,21000000,23200000,26000000,17888000,19900000,25500000,28200000,16900000,18976000,23100000,33070000,35437000,37300000,30000000,30971000,32285000,1902000,-4867000,3090000,7310000,-25323000,2121000
23,Net Income,8500000,700000,-4800000,-5300000,-10000000,9500000,18400000,24800000,18100000,12000000,7000000,17400000,23900000,33900000,39000000,43100000,45800000,31389000,34800000,44800000,51500000,32300000,33634000,45800000,57739000,64834000,61700000,54300000,60502000,66842000,47212000,8540000,30461000,35897000,-47483000,36844000
24,Net Income ratio,0.0458,0.0034,-0.0215,-0.0215,-0.0434,0.0358,0.0555,0.0608,0.0380,0.0245,0.0142,0.0350,0.0440,0.0560,0.0583,0.0611,0.0612,0.0420,0.0441,0.0536,0.0588,0.0382,0.0392,0.0518,0.0624,0.0696,0.0654,0.0590,0.0613,0.0661,0.0494,0.0100,0.0367,0.0435,-0.0826,0.0479
25,EPS,0.27,0.02,-0.15,-0.16,-0.30,0.29,0.47,0.59,0.43,0.28,0.17,0.41,0.58,0.85,1.04,1.14,1.20,0.91,1.13,1.44,1.64,1.03,1.16,1.55,1.96,2.21,2.11,1.86,2.15,2.39,1.72,0.34,1.23,1.46,-2.01,- -
26,EPS Diluted,0.27,0.02,-0.15,-0.16,-0.30,0.29,0.45,0.57,0.42,0.28,0.17,0.41,0.57,0.84,1.02,1.11,1.18,0.89,1.11,1.41,1.62,1.03,1.15,1.55,1.96,2.21,2.11,1.86,2.15,2.39,1.72,0.34,1.23,1.46,-2.01,- -
27,Weighted Average Shares Outstanding,31859070,34982509,32710917,33108446,33316675,33122973,39408867,42251601,42400675,42835725,41979010,42096774,41186303,39709756,37464534,37771529,38179225,34710871,30860963,31117214,31281163,31279918,29065594,29525806,28985627,29336652,29226540,29205376,28140465,27967364,27448837,25117647,24765041,24586986,22536090,- -
28,Weighted Average Shares Outstanding Diluted,31859070,34982509,32710917,33108446,33316675,33122973,40567951,43742834,43073701,42835725,41979010,42096774,42155393,40410717,38178759,38813547,38901735,35339311,31462330,31789887,31815332,31513202,29151759,29525806,28992319,29336652,29226540,29205376,28140465,27967364,27448837,25117647,24765041,24586986,22536090,- -
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/18255/000001825595000008/0000018255-95-000008-index.html,https://www.sec.gov/Archives/edgar/data/18255/000001825596000003/0000018255-96-000003-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/18255/000095014402004286/0000950144-02-004286-index.html,https://www.sec.gov/Archives/edgar/data/18255/000095014403005836/g82235e10vk.htm,https://www.sec.gov/Archives/edgar/data/18255/000095014404004248/g87882e10vk.htm,https://www.sec.gov/Archives/edgar/data/18255/000095014405004549/0000950144-05-004549-index.html,https://www.sec.gov/Archives/edgar/data/18255/000095014406003412/g00595e10vk.htm,https://www.sec.gov/Archives/edgar/data/18255/000095014407003039/0000950144-07-003039-index.html,https://www.sec.gov/Archives/edgar/data/18255/000095014408002521/0000950144-08-002521-index.html,https://www.sec.gov/Archives/edgar/data/18255/000095014409002758/0000950144-09-002758-index.html,https://www.sec.gov/Archives/edgar/data/18255/000095012310029987/0000950123-10-029987-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/18255/000001825513000013/0000018255-13-000013-index.html,https://www.sec.gov/Archives/edgar/data/18255/000001825514000009/0000018255-14-000009-index.html,https://www.sec.gov/Archives/edgar/data/18255/000001825515000009/cato10k2014.htm,https://www.sec.gov/Archives/edgar/data/18255/000001825516000062/0000018255-16-000062-index.html,https://www.sec.gov/Archives/edgar/data/18255/000001825517000017/0000018255-17-000017-index.html,https://www.sec.gov/Archives/edgar/data/18255/000001825518000024/0000018255-18-000024-index.html,https://www.sec.gov/Archives/edgar/data/18255/000001825519000010/0000018255-19-000010-index.html,https://www.sec.gov/Archives/edgar/data/18255/000001825520000005/0000018255-20-000005-index.html,https://www.sec.gov/Archives/edgar/data/18255/000001825521000004/0000018255-21-000004-index.htm,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,18100000,4300000,4100000,5100000,3000000,16600000,25900000,22000000,24000000,26200000,16600000,41600000,44100000,30400000,25200000,41800000,32100000,23857000,18600000,21700000,24800000,21600000,42262000,50400000,48630000,34893000,31100000,79400000,93946000,67057000,47234000,78047000,24603000,11824000,17510000,19759000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,22300000,21700000,33500000,- -,42100000,56900000,57900000,42900000,74900000,47545000,88600000,86100000,98700000,93000000,102541000,148000000,181395000,205771000,157600000,161100000,162185000,215495000,201233000,118836000,182711000,200387000,126416000,145998000
33,Cash and Short-Term Investments,18100000,4300000,4100000,5100000,3000000,16600000,25900000,22000000,46300000,47900000,50100000,41600000,86200000,87300000,83100000,84700000,107000000,71402000,107200000,107800000,123500000,114600000,144803000,198400000,230025000,240664000,188700000,240500000,256131000,282552000,248467000,196883000,207314000,212211000,143926000,165757000
34,Net Receivables,19600000,26700000,26600000,23200000,24700000,23300000,27700000,36800000,37900000,39800000,43200000,47200000,44500000,45500000,47000000,52300000,54100000,52714000,50900000,49600000,46000000,45300000,44136000,40200000,39703000,43024000,40000000,39200000,41023000,36610000,30336000,28018000,28137000,26088000,52743000,55812000
35,Inventory,24200000,27800000,29300000,24900000,24600000,27300000,33700000,55800000,54700000,58400000,64000000,64200000,61100000,69500000,79200000,80400000,93500000,97292000,100500000,103400000,115900000,118700000,112290000,118600000,132020000,130382000,140700000,150900000,137549000,141101000,145682000,121535000,119585000,115365000,84123000,124907000
36,Other Current Assets,2400000,5400000,6000000,7000000,3000000,2300000,6900000,24200000,4600000,4300000,4200000,32500000,5800000,6500000,6200000,5800000,6300000,5992000,7800000,10900000,14100000,14500000,14140000,13600000,13026000,15062000,20800000,16100000,19748000,11789000,19323000,26044000,15552000,9133000,9758000,9192000
37,Total Current Assets,64300000,64200000,66000000,60200000,55300000,69500000,94200000,138800000,143500000,150400000,161500000,185500000,197600000,208800000,215500000,223200000,260900000,227400000,266400000,271700000,299500000,293100000,315369000,370800000,414774000,429132000,390200000,446700000,454451000,472052000,443808000,372480000,370588000,362797000,290550000,355668000
38,PP&E,22400000,35800000,35400000,33900000,27000000,21900000,24300000,35500000,53100000,54400000,51300000,49800000,54700000,69300000,85800000,100100000,113300000,114367000,117600000,124100000,128500000,123200000,116262000,102800000,99773000,115445000,134200000,141100000,135181000,138303000,126386000,109368000,94304000,289470000,272367000,244348000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1894000,1618000,2091000,1803000,1301000,1264000,1818000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,4200000,4500000,3900000,- -,5900000,5800000,5400000,5200000,6300000,- -,10200000,9300000,8800000,1700000,- -,4100000,- -,- -,3300000,- -,3363000,- -,- -,- -,- -,- -,5685000,9313000
44,Other Non-Current Assets,2800000,2600000,2300000,2900000,1100000,3500000,3700000,4300000,500000,600000,1500000,6100000,300000,1900000,4000000,3500000,2900000,9806000,-100000,1500000,-4500000,2800000,3722000,3300000,7545000,6512000,4900000,9100000,15283000,30095000,34512000,32137000,31211000,31408000,21586000,22619000
45,Total Non-Current Assets,25200000,38400000,37700000,36800000,28100000,25400000,28000000,39800000,57800000,59500000,56700000,55900000,60900000,77000000,95200000,108800000,122500000,124173000,127700000,134900000,132800000,127700000,119984000,110200000,107318000,121957000,142400000,150200000,153827000,170292000,162516000,143596000,127318000,322179000,300902000,278098000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,89500000,102600000,103700000,97000000,83400000,94900000,122200000,178600000,201300000,209900000,218200000,241400000,258500000,285800000,310700000,332000000,383400000,351573000,394100000,406600000,432300000,420800000,435353000,481000000,522092000,551089000,532600000,596900000,608278000,642344000,606324000,516076000,497906000,684976000,591452000,633766000
48,Accounts Payable,- -,- -,- -,16200000,18400000,21900000,24200000,34500000,36200000,36500000,38300000,52900000,52400000,54700000,59700000,57500000,66600000,76387000,82800000,78000000,77000000,110800000,102971000,103600000,105526000,94073000,99200000,111500000,111674000,113154000,105249000,82605000,84282000,68438000,73769000,109546000
49,Short-Term Debt,- -,- -,5300000,5100000,1500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6000000,6000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,63149000,63421000,66808000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11506000,10940000,11861000,15144000,28303000,30140000,30347000,32150000,20045000,18195000,17981000,20218000,18612000,16138000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1392000,- -,5781000,8526000,7508000,6756000,- -,7812000,- -,- -,4631000,4720000,- -,10280000,13773000,12570000,7721000,7658000,- -,- -
52,Other Current Liabilities,23300000,19000000,24100000,5300000,10000000,14400000,16200000,12700000,12700000,11800000,17800000,19300000,21200000,29100000,30100000,26100000,30308000,32105000,38019000,46074000,38492000,31344000,47759000,57088000,70020000,62920000,55769000,60880000,82227000,56003000,52890000,43906000,49083000,60057000,44744000,67781000
53,Total Current Liabilities,23300000,19000000,29400000,26600000,29900000,36300000,40400000,47200000,48900000,48300000,56100000,72200000,73600000,83800000,89800000,83600000,98300000,114492000,132600000,132600000,123000000,148900000,150730000,168500000,175546000,156993000,159600000,177100000,193901000,179437000,171912000,139081000,141086000,199302000,181934000,244135000
54,Long-Term Debt,25000000,34000000,30200000,34000000,29400000,24900000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,21500000,16000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,143315000,117521000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,5200000,6300000,6800000,5000000,- -,900000,2700000,3500000,- -,- -,- -,5300000,- -,- -,- -,- -,- -,10203000,- -,- -,- -,- -,2528000,- -,5695000,7887000,3330000,1373000,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,800000,500000,500000,1100000,4100000,2300000,900000,400000,10900000,11900000,10200000,6400000,12700000,13200000,13200000,13700000,14900000,11267000,34400000,34100000,32500000,24500000,20282000,21200000,15287000,19530000,24470000,27327000,34179000,50242000,50509000,50642000,39984000,169160000,19705000,17914000
58,Total Non-Current Liabilities,31000000,40800000,37500000,40100000,33500000,28100000,3600000,3900000,10900000,11900000,10200000,11700000,12700000,13200000,13200000,13700000,14900000,42970000,50400000,34100000,32500000,24500000,22810000,21200000,20982000,27417000,27800000,28700000,34179000,50242000,50509000,50642000,39984000,169160000,163020000,135435000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,210333000,206736000,184329000
61,Total Liabilities,54300000,59800000,66900000,66700000,63400000,64400000,44000000,51100000,59800000,60200000,66300000,83900000,86300000,97000000,103000000,97300000,113200000,157462000,183000000,166700000,155500000,173400000,173540000,189700000,196528000,184410000,187400000,205800000,228080000,229679000,222421000,189723000,181070000,368462000,344954000,379570000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,900000,900000,1000000,- -,1000000,1000000,1000000,1000000,1000000,1054000,1100000,1200000,1200000,1300000,1268000,1000000,983000,972000,1000000,1000000,931000,935000,895000,832000,826000,820000,762000,728000
64,Retained Earnings,37100000,38400000,32400000,25900000,15600000,25100000,42500000,64800000,78300000,86300000,88700000,101500000,120600000,146900000,175300000,205000000,235900000,252828000,265500000,294500000,327700000,340100000,354333000,225100000,255768000,292741000,266800000,308900000,293452000,320594000,288015000,225894000,210507000,203458000,129303000,134208000
65,Other Comprehensive Income/Loss,-7600000,-10300000,-12900000,-13300000,-16000000,-18200000,-20800000,-25000000,-31400000,-38700000,-40700000,-46700000,-52200000,-2800000,-1600000,-1000000,-2122000,-1535000,-840000,-151000,225000,709000,413000,534000,276000,936000,821000,778000,786000,800000,-214000,-321000,-77000,1423000,1155000,-280000
66,Other Total Stockholders Equity,5700000,14700000,17300000,17700000,20400000,23600000,56500000,87700000,93700000,101200000,102900000,102700000,102800000,43700000,33100000,29700000,35386000,-58236000,-54585000,-55601000,-52332000,-94739000,-94201000,64678000,68537000,72030000,76613000,80431000,85029000,90336000,95207000,99948000,105580000,110813000,115278000,119540000
67,Total Stockholders Equity,35200000,42800000,36800000,30300000,20000000,30500000,78200000,127500000,141500000,149700000,151900000,157500000,172200000,188800000,207800000,234700000,270164000,194111000,211175000,239948000,276793000,247370000,261813000,291312000,325564000,366679000,345234000,391109000,380198000,412665000,383903000,326353000,316836000,316514000,246498000,254196000
68,Total Liabilities And Stockholders Equity,89500000,102600000,103700000,97000000,83400000,94900000,122200000,178600000,201300000,209900000,218200000,241400000,258500000,285800000,310800000,332000000,383364000,351573000,394175000,406648000,432293000,420770000,435353000,481012000,522092000,551089000,532634000,596909000,608278000,642344000,606324000,516076000,497906000,684976000,591452000,633766000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-100000,- -,36000,- -,-75000,-48000,7000,30000,- -,-12000,- -,- -,-34000,-9000,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,89500000,102600000,103700000,97000000,83400000,94900000,122200000,178600000,201300000,209900000,218200000,241400000,258500000,285800000,310700000,332000000,383400000,351573000,394100000,406600000,432300000,420800000,435353000,481000000,522092000,551089000,532600000,596900000,608278000,642344000,606324000,516076000,497906000,684976000,591452000,633766000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/18255/000001825595000008/0000018255-95-000008-index.html,https://www.sec.gov/Archives/edgar/data/18255/000001825596000003/0000018255-96-000003-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/18255/000095014402004286/0000950144-02-004286-index.html,https://www.sec.gov/Archives/edgar/data/18255/000095014403005836/g82235e10vk.htm,https://www.sec.gov/Archives/edgar/data/18255/000095014404004248/g87882e10vk.htm,https://www.sec.gov/Archives/edgar/data/18255/000095014405004549/0000950144-05-004549-index.html,https://www.sec.gov/Archives/edgar/data/18255/000095014406003412/g00595e10vk.htm,https://www.sec.gov/Archives/edgar/data/18255/000095014407003039/0000950144-07-003039-index.html,https://www.sec.gov/Archives/edgar/data/18255/000095014408002521/0000950144-08-002521-index.html,https://www.sec.gov/Archives/edgar/data/18255/000095014409002758/0000950144-09-002758-index.html,https://www.sec.gov/Archives/edgar/data/18255/000095012310029987/0000950123-10-029987-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/18255/000001825513000013/0000018255-13-000013-index.html,https://www.sec.gov/Archives/edgar/data/18255/000001825514000009/0000018255-14-000009-index.html,https://www.sec.gov/Archives/edgar/data/18255/000001825515000009/cato10k2014.htm,https://www.sec.gov/Archives/edgar/data/18255/000001825516000062/0000018255-16-000062-index.html,https://www.sec.gov/Archives/edgar/data/18255/000001825517000017/0000018255-17-000017-index.html,https://www.sec.gov/Archives/edgar/data/18255/000001825518000024/0000018255-18-000024-index.html,https://www.sec.gov/Archives/edgar/data/18255/000001825519000010/0000018255-19-000010-index.html,https://www.sec.gov/Archives/edgar/data/18255/000001825520000005/0000018255-20-000005-index.html,https://www.sec.gov/Archives/edgar/data/18255/000001825521000004/0000018255-21-000004-index.htm,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,-5300000,-10000000,9500000,18400000,24800000,18100000,12000000,7000000,17400000,23900000,33900000,39000000,43100000,45800000,31389000,34800000,44800000,51500000,32300000,33634000,45800000,57739000,64834000,61700000,54300000,60502000,66842000,47212000,8540000,30461000,35897000,-47483000,36844000
74,Depreciation and Amortization,- -,- -,- -,4500000,4900000,4300000,4100000,6200000,7100000,8100000,8500000,7800000,7800000,8826000,9618000,11046000,14979000,18699000,20397000,20275000,20941000,22212000,22572000,21829000,21822000,21825000,22455000,21825000,22026000,22963000,22716000,19643000,16463000,15485000,14681000,12356000
75,Deferred Income Tax,- -,- -,- -,-1700000,-5000000,900000,-100000,1200000,600000,200000,-800000,500000,- -,175000,1600000,422000,70000,5001000,-817000,-3656000,574000,-6358000,1175000,113000,4531000,-1944000,-5540000,-4766000,-1563000,-2635000,-2884000,1176000,1285000,2120000,3030000,-3194000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2208000,2063000,2341000,2559000,2796000,3007000,3582000,4124000,4199000,4196000,4939000,4669000,4092000,4090000
77,Change in Working Capital,- -,- -,- -,3000000,-8200000,7800000,20600000,37800000,3000000,7500000,3300000,7900000,10700000,1000000,700000,13900000,23000000,-49692000,20892000,5300000,37400000,-32300000,20439000,37661000,36928000,32911000,-41539000,39000000,-9050000,32065000,-20719000,-38497000,-3897000,-66007000,-54879000,8065000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2679000,339000,-2376000,-5044000,1749000,-217000,-2674000,3540000,5442000,1780000,-579000,1525000,-26935000,-3499000
79,Inventory,- -,- -,- -,4300000,300000,-2700000,-6400000,-22100000,1100000,-3800000,-5500000,-300000,3100000,-8385000,-9664000,-1246000,-13050000,-3835000,-3246000,-2832000,-12548000,-2761000,6389000,-6338000,-13392000,13646000,-10356000,-10123000,13312000,-3552000,-4581000,24147000,1950000,4220000,31242000,-40784000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9103000,20932000,24643000,233000,-8254000,-28780000,-7662000,-8629000,-16945000,57826000
81,Other Working Capital,- -,- -,- -,33600000,25400000,33200000,53800000,91600000,94600000,102100000,105400000,113300000,124000000,125000000,125700000,139600000,162600000,112908000,133800000,139100000,176500000,144200000,164639000,202300000,239228000,272139000,230600000,269600000,260550000,292615000,271896000,233399000,229502000,163495000,108616000,-3855000
82,Other Non-Cash Items,- -,- -,- -,2700000,24500000,400000,-25900000,-63500000,4600000,-12900000,-2400000,5300000,-1500000,620000,-6825000,-21411000,-20120000,60350000,4579000,4224000,-51714000,58310000,-8461000,-22777000,-43885000,-38844000,40479000,-20407000,41962000,-29506000,21605000,40930000,10993000,61232000,49849000,1627000
