,https://roic.ai/company/FOE,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
14,Depreciation and Amortization,16800000,18900000,21900000,26100000,28600000,32000000,33900000,34600000,38300000,42700000,46300000,49600000,45000000,43100000,48500000,50352000,67785000,64252000,70385000,70385000,74823000,79501000,87476000,73450000,88138000,76936000,63493000,57384000,50028000,38490000,41061000,46805000,50085000,53974000,55879000,40289000,40214000
15,EBITDA,35100000,63400000,81900000,114500000,112300000,75500000,54200000,132300000,107000000,117000000,126500000,137800000,-3500000,153600000,164600000,166967000,129251000,152808000,96799000,98662000,98027000,104617000,-22067000,30961000,105625000,143668000,157108000,-181371000,161265000,105260000,74099000,64050000,184147000,187669000,91846000,117118000,255283000
16,EBITDA ratio,0.0539,0.0874,0.0940,0.1135,0.1036,0.0671,0.0513,0.1205,0.1004,0.0980,0.0956,0.1016,-0.0025,0.1128,0.1214,0.1154,0.0861,0.1000,0.0597,0.0535,0.0521,0.0512,-0.0100,0.0138,0.0637,0.0684,0.0729,-0.1025,0.0986,0.0947,0.0689,0.0559,0.1318,0.1164,0.0902,0.1221,0.2267
17,Operating Income,33000000,55000000,- -,96600000,90600000,66000000,28100000,103700000,94400000,85700000,96300000,105800000,- -,129000000,- -,139469000,84388000,102671000,71995000,74961000,70137000,86502000,79398000,80611000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,96923000,91598000,134983000
18,Operating Income ratio,0.0507,0.0758,- -,0.0957,0.0836,0.0587,0.0266,0.0945,0.0886,0.0718,0.0728,0.0780,- -,0.0947,- -,0.0964,0.0562,0.0672,0.0444,0.0407,0.0373,0.0424,0.0360,0.0359,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.0952,0.0955,0.1199
19,Total Other Income Expenses (Gains),-14700000,-10500000,-7600000,-8200000,-6900000,-22500000,-7800000,-6000000,-5100000,-11400000,-16100000,-17600000,-168000000,-18500000,-20500000,-22854000,-22922000,-54091000,-47752000,-43769000,-46065000,-60914000,-188716000,-137148000,-85568000,-141188000,-52449000,-258753000,-53449000,-43301000,-29595000,-47325000,-50692000,-73549000,-53412000,-46697000,-22426000
20,Income Before Tax,18300000,44500000,60000000,88400000,83700000,43500000,20300000,97700000,89300000,74300000,80200000,88200000,-48500000,110500000,116100000,116615000,61466000,48580000,24243000,31192000,24072000,25588000,-109318000,-56537000,-43555000,23741000,65936000,-263549000,95733000,-42836000,54783000,62445000,110518000,103992000,43511000,44901000,112557000
21,Income Before Tax Ratio,0.0281,0.0614,0.0689,0.0876,0.0772,0.0387,0.0192,0.0890,0.0838,0.0622,0.0606,0.0651,-0.0351,0.0811,0.0857,0.0806,0.0409,0.0318,0.0149,0.0169,0.0128,0.0125,-0.0496,-0.0252,-0.0263,0.0113,0.0306,-0.1490,0.0585,-0.0385,0.0509,0.0545,0.0791,0.0645,0.0427,0.0468,0.0999
22,Income Tax expense (Gain),9400000,20400000,28300000,41800000,34000000,24100000,15500000,38900000,31800000,26900000,30900000,33600000,-11200000,41200000,43100000,43476000,22269000,14833000,6863000,3352000,6928000,5026000,-15064000,-2791000,-3515000,16468000,33569000,109485000,14867000,-34227000,-45100000,17868000,52750000,23046000,8119000,14861000,39215000
23,Net Income,8900000,24100000,31700000,46600000,49700000,19400000,4800000,58800000,36900000,47400000,49300000,54600000,-37300000,69300000,73000000,73139000,39197000,73723000,19551000,24925000,16276000,20090000,-94479000,-39698000,-42916000,5696000,31637000,-374268000,71942000,86071000,64100000,-20817000,57054000,80093000,6038000,42799000,148831000
24,Net Income ratio,0.0137,0.0332,0.0364,0.0462,0.0459,0.0172,0.0045,0.0536,0.0346,0.0397,0.0373,0.0403,-0.0270,0.0509,0.0539,0.0505,0.0261,0.0482,0.0121,0.0135,0.0086,0.0098,-0.0429,-0.0177,-0.0259,0.0027,0.0147,-0.2116,0.0440,0.0774,0.0596,-0.0182,0.0408,0.0497,0.0059,0.0446,0.1321
25,EPS,0.19,0.53,0.68,1.01,1.02,0.37,0.03,1.27,0.75,1.52,1.09,1.28,-1.08,1.80,1.97,2.02,1.05,1.86,0.43,0.55,0.35,0.44,-2.23,-0.94,-0.86,0.06,0.37,-4.34,0.83,0.99,0.74,-0.25,0.68,0.95,0.07,0.52,1.82
26,EPS Diluted,0.19,0.53,0.68,1.01,0.97,0.35,0.03,1.18,0.72,1.45,1.04,1.21,-1.08,1.67,1.85,1.92,1.04,1.79,0.43,0.55,0.35,0.44,-2.23,-0.94,-0.86,0.06,0.36,-4.34,0.82,0.99,0.72,-0.25,0.67,0.94,0.07,0.52,1.80
27,Weighted Average Shares Outstanding,46842105,45471698,46617647,46138614,46568627,43513514,53333333,43779528,44533333,43513514,41707317,39765625,38055556,36388889,35177665,34494554,34399048,38320430,40611628,42218182,42245714,42394000,42926000,43261000,50934557,85823000,86119000,86288481,86484000,86920000,86718000,83298000,83713000,83940000,82083000,82232000,82719000
28,Weighted Average Shares Outstanding Diluted,46842105,45471698,46617647,46138614,48969072,46000000,53333333,47118644,46388889,43513514,43846154,41950549,38055556,39221557,37459459,36291146,34729808,39818994,40611628,42218182,42245714,42422000,42926000,43261000,50934557,86539000,86778000,86288481,87497000,86920000,88433000,84910000,85156000,85085000,82891000,83024000,83687000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/35214/000095015295000421/0000950152-95-000421-index.html,https://www.sec.gov/Archives/edgar/data/35214/000095015296001215/0000950152-96-001215-index.html,https://www.sec.gov/Archives/edgar/data/35214/000095015297002316/0000950152-97-002316-index.html,https://www.sec.gov/Archives/edgar/data/35214/000095015298002026/0000950152-98-002026-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/35214/000095015201001589/0000950152-01-001589-index.html,https://www.sec.gov/Archives/edgar/data/35214/000095015202002439/0000950152-02-002439-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/35214/000095015206002821/l19322ae10vk.htm,https://www.sec.gov/Archives/edgar/data/35214/000095015206007902/l22374ae10vk.htm,https://www.sec.gov/Archives/edgar/data/35214/000095015207001684/l24249ae10vk.htm,https://www.sec.gov/Archives/edgar/data/35214/000095015208001569/l30299ae10vk.htm,https://www.sec.gov/Archives/edgar/data/35214/000095015209002492/0000950152-09-002492-index.html,https://www.sec.gov/Archives/edgar/data/35214/000095012310019423/0000950123-10-019423-index.html,https://www.sec.gov/Archives/edgar/data/35214/000095012311019921/l41870e10vk.htm,https://www.sec.gov/Archives/edgar/data/35214/000119312512086029/0001193125-12-086029-index.html,https://www.sec.gov/Archives/edgar/data/35214/000119312513090626/0001193125-13-090626-index.html,https://www.sec.gov/Archives/edgar/data/35214/000119312514065182/d654279d10k.htm,https://www.sec.gov/Archives/edgar/data/35214/000156276215000041/c214-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/35214/000156276216000341/0001562762-16-000341-index.html,https://www.sec.gov/Archives/edgar/data/35214/000156276217000028/0001562762-17-000028-index.html,https://www.sec.gov/Archives/edgar/data/35214/000156276218000046/0001562762-18-000046-index.html,https://www.sec.gov/Archives/edgar/data/35214/000003521419000019/0000035214-19-000019-index.html,https://www.sec.gov/Archives/edgar/data/35214/000003521420000009/0000035214-20-000009-index.html,https://www.sec.gov/Archives/edgar/data/35214/000003521421000006/0000035214-21-000006-index.htm,https://www.sec.gov/Archives/edgar/data/35214/000003521422000009/0000035214-22-000009-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,23200000,40500000,43200000,28400000,58200000,21200000,78500000,60800000,25100000,19800000,16700000,14000000,16300000,12200000,7100000,777000,15317000,14942000,23419000,23419000,17413000,16985000,12025000,10191000,18507000,29035000,22991000,29576000,28328000,140500000,58380000,45582000,63551000,104301000,96202000,174077000,71493000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,23200000,40500000,43200000,28400000,58200000,21200000,78500000,60800000,25100000,19800000,16700000,14000000,16300000,12200000,7100000,777000,15317000,14942000,23419000,23419000,17413000,16985000,12025000,10191000,18507000,29035000,22991000,29576000,28328000,140500000,58380000,45582000,63551000,104301000,96202000,174077000,71493000
34,Net Receivables,105300000,119500000,145700000,165800000,173800000,194500000,170900000,206600000,175800000,217900000,230700000,214100000,232900000,249800000,261500000,189014000,176637000,154533000,293195000,293195000,295134000,236982000,308365000,354814000,313433000,330210000,344614000,338017000,313700000,262384000,266058000,297501000,421553000,398025000,205169000,209280000,192142000
35,Inventory,86600000,93600000,107500000,127300000,137300000,134400000,112100000,102400000,128700000,142100000,155300000,149300000,127200000,141000000,170700000,189639000,237153000,183055000,181604000,181604000,215257000,254513000,262799000,256411000,180700000,202067000,228813000,207091000,190216000,158368000,184854000,229847000,324180000,356998000,264622000,260332000,262669000
36,Other Current Assets,12400000,18000000,32500000,35500000,39400000,36600000,44200000,45000000,81700000,35600000,29700000,39100000,50600000,53900000,51200000,63798000,171473000,133055000,83825000,83825000,82915000,114125000,24003000,27473000,139232000,60442000,34481000,18819000,23145000,52531000,43998000,9087000,16448000,23960000,317176000,326115000,13478000
37,Total Current Assets,227500000,271600000,328900000,357000000,408700000,386700000,405700000,414800000,411300000,415400000,432400000,416500000,427000000,456900000,490500000,443228000,600580000,485585000,582043000,582043000,610719000,622605000,607192000,648889000,651872000,621754000,630899000,593503000,555389000,613783000,553290000,582017000,825732000,883284000,883169000,969804000,539782000
38,PP&E,145700000,153700000,171900000,197200000,220000000,255900000,234700000,227600000,257800000,288600000,307300000,307400000,240200000,274100000,330400000,425728000,624463000,577754000,608484000,608484000,531139000,526802000,519959000,456549000,432405000,391496000,379336000,324720000,297104000,212642000,260429000,262026000,321742000,381341000,321689000,330776000,334942000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,291070000,229665000,221044000,219716000,215601000,62975000,63473000,93733000,145669000,148296000,195369000,216464000,172209000,175351000,171844000
40,Intangible Assets,2300000,5500000,10700000,13200000,13900000,13400000,4000000,- -,- -,- -,95600000,93300000,54400000,- -,- -,- -,405340000,421274000,421313000,421313000,410666000,406340000,9071000,11753000,10610000,11869000,11056000,14410000,13027000,57309000,106633000,137850000,187616000,184953000,127820000,119500000,106677000
41,Intangible Assets,2300000,5500000,10700000,13200000,13900000,13400000,4000000,- -,- -,- -,95600000,93300000,54400000,- -,- -,- -,405340000,421274000,421313000,421313000,410666000,406340000,300141000,241418000,231654000,231585000,226657000,77385000,76500000,151042000,252302000,286146000,382985000,401417000,300029000,294851000,278521000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,62986000,62986000,61130000,94662000,100935000,134139000,133705000,121640000,117658000,21554000,19451000,39712000,87385000,106454000,108025000,103488000,98714000,115962000,98199000
44,Other Non-Current Assets,17900000,18500000,20500000,20700000,26500000,29700000,27500000,54100000,98800000,97400000,40600000,53300000,64100000,118200000,150900000,258049000,102176000,119860000,76400000,76400000,54890000,82528000,110033000,63505000,76719000,67880000,86101000,61941000,59748000,79719000,71945000,47126000,43718000,42930000,231020000,249540000,38580000
45,Total Non-Current Assets,165900000,177700000,203100000,231100000,260400000,299000000,266200000,281700000,356600000,386000000,443500000,454000000,358700000,392300000,481300000,683777000,1131979000,1118888000,1169183000,1169183000,1057825000,1110332000,1031068000,895611000,874483000,812601000,809752000,485600000,452803000,483115000,672061000,701752000,856470000,929176000,951452000,991129000,750242000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,393400000,449300000,532000000,588100000,669100000,685700000,671900000,696500000,767900000,801400000,875900000,870500000,785700000,849200000,971800000,1127005000,1732559000,1604473000,1751226000,1751226000,1668544000,1732937000,1638260000,1544500000,1526355000,1434355000,1440651000,1079103000,1008192000,1096898000,1225351000,1283769000,1682202000,1812460000,1834621000,1960933000,1290024000
48,Accounts Payable,- -,- -,- -,- -,94700000,105200000,96700000,86500000,97200000,120300000,115900000,113200000,110000000,105900000,131900000,155244000,214408000,207873000,231652000,231652000,236282000,237018000,269591000,232113000,196038000,207770000,214460000,182904000,153877000,129236000,120380000,127655000,211711000,256573000,138830000,135296000,136599000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,18800000,35600000,30200000,23300000,31000000,45900000,65865000,19506000,7835000,12404000,12404000,7555000,10764000,5444000,8883000,24737000,3580000,11241000,85152000,44230000,8382000,7446000,17310000,25136000,10260000,8703000,8839000,8964000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7241000,8823000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,109500000,131600000,174600000,194200000,115400000,116000000,115900000,118500000,101800000,89200000,105800000,108900000,144400000,145700000,159800000,143986000,171312000,188459000,169039000,169039000,123047000,135102000,135297000,116051000,100174000,134325000,98933000,108447000,115624000,99200000,90404000,101062000,118352000,117984000,234212000,259481000,158586000
53,Total Current Liabilities,109500000,131600000,174600000,194200000,210100000,221200000,212600000,205000000,199000000,228300000,257300000,252300000,277700000,282600000,337600000,365095000,405226000,404167000,413095000,413095000,366884000,382884000,410332000,357047000,320949000,345675000,324634000,376503000,313731000,236818000,218230000,246027000,355199000,384817000,381745000,403616000,304149000
54,Long-Term Debt,68400000,68100000,64100000,63200000,128800000,58000000,112900000,53200000,123400000,77600000,104900000,105300000,102000000,156300000,236800000,350781000,829740000,443552000,516236000,516236000,546168000,581654000,520645000,580662000,398720000,290971000,298082000,261624000,267469000,303629000,466108000,557175000,726491000,811137000,814188000,801573000,260159000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,12800000,17300000,22000000,20600000,19900000,21100000,9400000,50900000,14900000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14002000,11037000,9848000,6039000,1124000,2211000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,6600000,9000000,11500000,14800000,13200000,79700000,31700000,84400000,71800000,128800000,131500000,128700000,132800000,127100000,100400000,101971000,197207000,284258000,295974000,295974000,273399000,232813000,211255000,266705000,245067000,221318000,235441000,234302000,153149000,220435000,216732000,225535000,243832000,230657000,268486000,314809000,177613000
58,Total Non-Current Liabilities,87800000,94400000,97600000,98600000,161900000,158800000,154000000,188500000,210100000,206400000,236400000,234000000,234800000,283400000,337200000,452752000,1026947000,727810000,812210000,812210000,833569000,825504000,741748000,853406000,644911000,514500000,533523000,495926000,420618000,524064000,682840000,782710000,970323000,1041794000,1082674000,1116382000,437772000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15326000,10064000,8849000
61,Total Liabilities,197300000,226000000,272200000,292800000,372000000,380000000,366600000,393500000,409100000,434700000,493700000,486300000,512500000,566000000,674800000,817847000,1432173000,1131977000,1225305000,1225305000,1200453000,1208388000,1152080000,1210453000,965860000,860175000,858157000,872429000,734349000,760882000,901070000,1028737000,1325522000,1426611000,1464419000,1519998000,741921000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,70500000,70500000,27942000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,47300000,47323000,47323000,52323000,52323000,52323000,52323000,52323000,52323000,52323000,93436000,93436000,93436000,93436000,93436000,93436000,93436000,93436000,93436000,93436000,93436000,93436000,93436000
64,Retained Earnings,225900000,241800000,241700000,278700000,314000000,317900000,307400000,350000000,368600000,397000000,427600000,463200000,405800000,453300000,503300000,552980000,569322000,619006000,612976000,612976000,595902000,590136000,468190000,401918000,357128000,362164000,393636000,-86606000,-14664000,71407000,135507000,114690000,171744000,255978000,262016000,304815000,453646000
65,Other Comprehensive Income/Loss,-137300000,-163100000,-187300000,-202600000,-226300000,-263100000,-276900000,-270000000,-280400000,-313000000,-346100000,-375700000,-321000000,-367600000,-385300000,-402894000,-439647000,-137047000,-92306000,-92306000,-122113000,-65138000,-7765000,-98436000,-60147000,-50949000,-82075000,16650000,8493000,-21805000,-61318000,-106643000,-75468000,-105361000,-109376000,-89710000,-141772000
66,Other Total Stockholders Equity,107500000,144600000,205400000,219200000,209400000,250900000,274800000,223000000,270600000,282700000,300700000,296700000,188400000,197500000,131700000,111749000,123388000,-132286000,-117572000,-75014000,-58021000,-52772000,-36464000,-31513000,159809000,158758000,167265000,170047000,174253000,181346000,148834000,145630000,155102000,132578000,114300000,121426000,- -
67,Total Stockholders Equity,196100000,223300000,259800000,295300000,297100000,305700000,305300000,303000000,358800000,366700000,382200000,384200000,273200000,283200000,297000000,309158000,300386000,472496000,525921000,525921000,468091000,524549000,476284000,324292000,550226000,563409000,572262000,193527000,261518000,324384000,316459000,247113000,344814000,376631000,360376000,429967000,538384000
68,Total Liabilities And Stockholders Equity,393400000,449300000,532000000,588100000,669100000,685700000,671900000,696500000,767900000,801400000,875900000,870500000,785700000,849200000,971800000,1127005000,1732559000,1604473000,1751226000,1751226000,1668544000,1732937000,1628364000,1534745000,1516086000,1423584000,1430419000,1065956000,995867000,1085266000,1217529000,1275850000,1670336000,1803242000,1824795000,1949965000,1280305000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9896000,9755000,10269000,10771000,10232000,13147000,12325000,11632000,7822000,7919000,11866000,9218000,9826000,10968000,9719000
70,Total Liabilities & Equity,393400000,449300000,532000000,588100000,669100000,685700000,671900000,696500000,767900000,801400000,875900000,870500000,785700000,849200000,971800000,1127005000,1732559000,1604473000,1751226000,1751226000,1668544000,1732937000,1638260000,1544500000,1526355000,1434355000,1440651000,1079103000,1008192000,1096898000,1225351000,1283769000,1682202000,1812460000,1834621000,1960933000,1290024000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/35214/000095015295000421/0000950152-95-000421-index.html,https://www.sec.gov/Archives/edgar/data/35214/000095015296001215/0000950152-96-001215-index.html,https://www.sec.gov/Archives/edgar/data/35214/000095015297002316/0000950152-97-002316-index.html,https://www.sec.gov/Archives/edgar/data/35214/000095015298002026/0000950152-98-002026-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/35214/000095015201001589/0000950152-01-001589-index.html,https://www.sec.gov/Archives/edgar/data/35214/000095015202002439/0000950152-02-002439-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/35214/000095015206002821/l19322ae10vk.htm,https://www.sec.gov/Archives/edgar/data/35214/000095015206007902/l22374ae10vk.htm,https://www.sec.gov/Archives/edgar/data/35214/000095015207001684/l24249ae10vk.htm,https://www.sec.gov/Archives/edgar/data/35214/000095015208001569/l30299ae10vk.htm,https://www.sec.gov/Archives/edgar/data/35214/000095015209002492/0000950152-09-002492-index.html,https://www.sec.gov/Archives/edgar/data/35214/000095012310019423/0000950123-10-019423-index.html,https://www.sec.gov/Archives/edgar/data/35214/000095012311019921/l41870e10vk.htm,https://www.sec.gov/Archives/edgar/data/35214/000119312512086029/0001193125-12-086029-index.html,https://www.sec.gov/Archives/edgar/data/35214/000119312513090626/0001193125-13-090626-index.html,https://www.sec.gov/Archives/edgar/data/35214/000119312514065182/d654279d10k.htm,https://www.sec.gov/Archives/edgar/data/35214/000156276215000041/c214-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/35214/000156276216000341/0001562762-16-000341-index.html,https://www.sec.gov/Archives/edgar/data/35214/000156276217000028/0001562762-17-000028-index.html,https://www.sec.gov/Archives/edgar/data/35214/000156276218000046/0001562762-18-000046-index.html,https://www.sec.gov/Archives/edgar/data/35214/000003521419000019/0000035214-19-000019-index.html,https://www.sec.gov/Archives/edgar/data/35214/000003521420000009/0000035214-20-000009-index.html,https://www.sec.gov/Archives/edgar/data/35214/000003521421000006/0000035214-21-000006-index.htm,https://www.sec.gov/Archives/edgar/data/35214/000003521422000009/0000035214-22-000009-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,8900000,24100000,- -,46600000,49700000,19400000,4800000,58800000,36900000,47400000,49300000,54600000,-37300000,69300000,73000000,73139000,39197000,73723000,19551000,24925000,16276000,20090000,-94479000,-39698000,-42916000,5696000,31637000,-374268000,71942000,86071000,64100000,-20817000,57054000,80093000,7415000,44043000,150541000
74,Depreciation and Amortization,16800000,18900000,- -,26100000,28600000,32000000,33900000,34600000,38300000,42700000,46300000,49600000,45000000,43100000,48500000,50352000,67785000,64252000,70385000,70385000,74823000,79501000,87476000,73450000,88138000,76936000,63493000,57384000,50028000,38490000,41061000,46805000,50085000,53974000,55879000,40289000,40214000
75,Deferred Income Tax,- -,- -,- -,- -,-700000,1200000,-11600000,1500000,-11500000,-200000,2200000,500000,-34700000,4700000,5100000,2032000,1105000,5470000,-4449000,-4449000,-9125000,-13714000,-30468000,-13692000,-12747000,-5258000,20575000,107575000,7853000,-21310000,-66328000,-11451000,23490000,-3720000,-11826000,-11640000,13796000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7245000,11770000,8441000,7406000,7998000,5066000
