,https://roic.ai/company/STZ,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
77,Change in Working Capital,- -,- -,- -,- -,6300000,- -,- -,- -,- -,215800000,10900000,-8700000,36400000,26600000,159400000,117380000,206049000,-127791000,108855000,296776000,554279000,-193153000,29405000,48500000,-272600000,8400000,203600000,-585400000,958600000,-1071800000,1058600000,-1074800000,-172900000,996900000,-1009100000,652100000,603100000,-1144500000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6300000,56200000,87400000,61900000,-86000000,-5600000,-38900000,36500000,16100000,-129800000,-49400000,-34100000,-71900000,-22000000,59600000,-114000000
79,Inventory,- -,- -,- -,- -,-3200000,3600000,-2900000,-19800000,9000000,800000,41500000,-70200000,16200000,-65600000,1200000,1926000,-57126000,-19130000,-40676000,96051000,-74466000,-121887000,-85100000,-37800000,-86000000,51000000,190800000,51500000,-90000000,-41100000,-132500000,10100000,-151000000,-123800000,-61900000,-29500000,193700000,-261300000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,34300000,16300000,-26900000,-42700000,-82500000,-6000000,76900000,-49300000,-800000,24700000,115900000,12800000,21400000,16800000,-95700000,213700000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,215800000,226700000,218000000,254400000,281000000,440400000,557780000,763829000,636038000,744893000,1041669000,1595948000,1402795000,1432200000,1480700000,1208100000,1216500000,1420100000,834700000,1793300000,721500000,1780100000,705300000,532400000,1529300000,520200000,1172300000,1775400000,630900000
82,Other Non-Cash Items,- -,- -,- -,- -,- -,3200000,-4300000,-1700000,-15100000,-213800000,-18500000,-95300000,5900000,-87700000,-151800000,-110350000,-277179000,115590000,-157307000,-310328000,-662044000,145571000,-256605000,788700000,875500000,113200000,-394500000,718600000,-985500000,-291900000,-1153200000,907600000,-144900000,-1491000000,-967000000,2677600000,-487800000,3376800000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,13500000,13200000,9300000,16200000,8900000,23200000,73300000,-84800000,107800000,28800000,107200000,148055000,103775000,213299000,236053000,340307000,320700000,435971000,313200000,519800000,506900000,402500000,619300000,784100000,556300000,826200000,1081000000,1413700000,1696000000,1931400000,2246300000,2551100000,2806500000,2705400000
84,CAPEX,- -,- -,- -,- -,-2700000,-3700000,-2800000,-4700000,-6900000,-7900000,-37100000,-16100000,-31600000,-31200000,-382100000,-510657000,-72676000,-543980000,-71575000,-105094000,-119664000,-132498000,-192000000,-143800000,-128600000,-107700000,-89100000,-68400000,-62100000,-223500000,-719400000,-891300000,-907400000,-1057600000,-886300000,-726500000,-864600000,-1026800000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1069470000,-1052471000,-28032000,-1065300000,-1165500000,204300000,349600000,219700000,-82300000,-160000000,-4681300000,-310300000,-1316400000,-535700000,-346400000,-4127100000,185300000,757200000,4600000
86,Purchases of Investments,- -,- -,- -,- -,-400000,-11300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-86121000,-2723000,- -,-4600000,-3200000,-900000,-29700000,-100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,3400000,21800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,849000,24243000,35953000,55100000,- -,- -,- -,- -,20200000,- -,23400000,- -,- -,- -,- -,110200000,1500000,- -,-51000000
88,Other Investing Activites,- -,- -,- -,- -,-400000,-2300000,-400000,-26400000,10000000,-5100000,-27000000,-10700000,-4700000,12500000,-300000,14977000,2009000,-41467000,-386000,15228000,11153000,111742000,5100000,201000000,56100000,15600000,87200000,-4500000,15300000,17600000,13800000,300000,-18700000,-19100000,71400000,8700000,19500000,37400000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-3500000,-17300000,200000,-9300000,3100000,-13000000,-64100000,-26800000,-36300000,-18700000,-382400000,-495680000,-70667000,-585447000,-71961000,-1158487000,-1222860000,-15558000,-1197100000,-1112900000,128600000,256600000,188100000,-135100000,-206800000,-4863800000,-1015900000,-2207400000,-1461800000,-1423100000,-4831800000,-531000000,-87900000,-1035800000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2786900000,-385500000,-687300000,-792800000,-618200000,-475900000,-1909800000,-96400000,-605700000,-208700000,-971800000,-7128700000,-62800000,-2195300000,-2721300000,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,32200000,300000,1100000,1900000,900000,1000000,3000000,5900000,4786000,15353000,198492000,31591000,465584000,52931000,37733000,5900000,6200000,5600000,4500000,4300000,4700000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-4300000,- -,-2900000,- -,- -,- -,- -,- -,-20800000,-9200000,-44900000,- -,- -,- -,- -,- -,- -,- -,-100000000,-500000000,- -,- -,-300000000,-413700000,-383000000,- -,- -,-33800000,-1122700000,-1038500000,-504300000,-50000000,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3295000,-9804000,-9804000,-7300000,- -,- -,- -,- -,- -,- -,- -,- -,-241600000,-315100000,-400100000,-557700000,-569200000,-575000000,- -
94,Other Financing Activites,- -,- -,- -,- -,-900000,-900000,-900000,-43700000,-10800000,-13600000,-8400000,109900000,-45000000,-12700000,340000000,350771000,68083000,38423000,-193075000,282865000,841053000,-454166000,3813500000,1464200000,34300000,165300000,68200000,309800000,2194100000,3873400000,589300000,1260100000,2274800000,7966100000,3718100000,783100000,949700000,- -
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,-5200000,-900000,-3800000,-11500000,-10500000,-12500000,-6500000,110800000,-64800000,-18900000,301000000,355557000,83436000,236915000,-161484000,745154000,884180000,-426237000,925200000,584900000,-647400000,-623000000,-845700000,-575100000,-98700000,3777000000,-16400000,776000000,-134800000,-601200000,2593300000,-2031400000,-2346600000,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,500000,-1269000,-5180000,-1478000,2241000,96352000,-1521000,-933000,-18700000,-4800000,4500000,-5700000,4000000,2700000,-5100000,-7000000,-2500000,-9300000,-5100000,5800000,-4500000,-900000,7200000,- -
97,Net Change In Cash,- -,- -,- -,- -,4900000,-4900000,5700000,-4700000,1500000,-2200000,2700000,-900000,6700000,-8800000,26400000,6663000,111364000,-136711000,4849000,23326000,-19501000,-6757000,22600000,-13000000,-7400000,30400000,-34300000,76600000,245700000,-267600000,46200000,-27000000,94300000,-87100000,3300000,-12200000,379200000,- -
98,Cash at the End of Period,- -,- -,- -,- -,6100000,1200000,6900000,2200000,3700000,1500000,4200000,3300000,10000000,1200000,27600000,34308000,145672000,8961000,13810000,37136000,17635000,10878000,33500000,20500000,13100000,43500000,9200000,85800000,331500000,63900000,110100000,83100000,177400000,90300000,93600000,81400000,460600000,- -
99,Cash at the Beginning of Period,- -,- -,- -,- -,1200000,6100000,1200000,6900000,2200000,3700000,1500000,4200000,3300000,10000000,1200000,27645000,34308000,145672000,8961000,13810000,37136000,17635000,10900000,33500000,20500000,13100000,43500000,9200000,85800000,331500000,63900000,110100000,83100000,177400000,90300000,93600000,81400000,460600000
100,Free Cash Flow,- -,- -,- -,- -,10800000,9500000,6500000,11500000,2000000,15300000,36200000,-100900000,76200000,-2400000,-274900000,-362602000,31099000,-330681000,164478000,235213000,201036000,303473000,121200000,376000000,378300000,294800000,530200000,715700000,494200000,602700000,361600000,522400000,788600000,873800000,1360000000,1824600000,1941900000,1678600000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/928683/000089183994000041/0000891839-94-000041-index.html,https://www.sec.gov/Archives/edgar/data/16918/000089183995000038/0000891839-95-000038-index.html,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/16918/000001691802000009/0000016918-02-000009-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/16918/000001691805000031/form10k-022805.htm,https://www.sec.gov/Archives/edgar/data/16918/000001691806000033/form10k-022806.htm,https://www.sec.gov/Archives/edgar/data/16918/000001691807000041/0000016918-07-000041-index.html,https://www.sec.gov/Archives/edgar/data/16918/000095015208003169/0000950152-08-003169-index.html,https://www.sec.gov/Archives/edgar/data/16918/000095015209004335/0000950152-09-004335-index.html,https://www.sec.gov/Archives/edgar/data/16918/000095012310040629/0000950123-10-040629-index.html,https://www.sec.gov/Archives/edgar/data/16918/000095012311041878/0000950123-11-041878-index.html,https://www.sec.gov/Archives/edgar/data/16918/000119312512195350/d285276d10k.htm,https://www.sec.gov/Archives/edgar/data/16918/000001691813000008/0000016918-13-000008-index.html,https://www.sec.gov/Archives/edgar/data/16918/000001691814000011/0000016918-14-000011-index.html,https://www.sec.gov/Archives/edgar/data/16918/000001691815000016/0000016918-15-000016-index.html,https://www.sec.gov/Archives/edgar/data/16918/000001691816000075/0000016918-16-000075-index.html,https://www.sec.gov/Archives/edgar/data/16918/000001691817000029/0000016918-17-000029-index.html,https://www.sec.gov/Archives/edgar/data/16918/000001691818000033/0000016918-18-000033-index.html,https://www.sec.gov/Archives/edgar/data/16918/000001691819000024/0000016918-19-000024-index.html,https://www.sec.gov/Archives/edgar/data/16918/000001691820000078/0000016918-20-000078-index.htm,https://www.sec.gov/Archives/edgar/data/16918/000001691821000060/0000016918-21-000060-index.htm,- -
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
