,https://roic.ai/company/AIN,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,42944000,35581000,- -
61,Total Liabilities,260300000,292600000,271700000,299000000,327700000,459400000,430000000,455000000,410952000,449439000,494228000,495937000,453789000,551516000,881435000,787335000,615285000,610923000,584268000,604983000,512129000,807422000,927306000,985529000,919259000,852033000,815078000,663186000,619109000,515736000,507009000,752143000,788183000,809712000,771679000,730071000,678459000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,31000,31000,31000,31000,31000,32000,33000,33000,34000,35000,36000,36000,37000,38000,38000,38000,39000,39000,40000,40000,40000,40000,40000,40000,40000,40000,41000,41000,41000
64,Retained Earnings,21900000,36600000,60800000,92400000,131100000,131200000,132600000,120100000,126276000,139740000,171082000,206308000,246013000,255586000,276554000,314639000,345273000,387609000,433407000,434057000,495018000,541602000,544228000,436919000,382720000,403048000,422044000,435775000,434598000,456105000,491950000,522855000,534082000,589645000,698496000,770746000,863057000
65,Other Comprehensive Income/Loss,-23400000,-44900000,-70400000,-84900000,-90800000,-129200000,-158900000,-178400000,-188356000,-235221000,-282969000,-302234000,-303428000,-336019000,-348148000,-362901000,-376230000,-196954000,-114032000,-52865000,-111545000,-99419000,-12180000,-101953000,-82136000,-106672000,-139809000,-80021000,-49498000,-107767000,-158844000,-184189000,-135901000,-158388000,-175981000,-132408000,-145984000
66,Other Total Stockholders Equity,67200000,75400000,155600000,170700000,198300000,241900000,271000000,249300000,306517000,367397000,414153000,424658000,400492000,395251000,396968000,373146000,347567000,209908000,235244000,169549000,191408000,56904000,67585000,84892000,124375000,129845000,133575000,137717000,159157000,161491000,165717000,168817000,171547000,173952000,176127000,177687000,156853000
67,Total Stockholders Equity,65700000,67100000,146000000,178200000,238600000,243900000,244700000,191000000,244468000,271947000,302297000,328763000,343108000,314850000,325407000,324917000,316644000,400598000,554655000,550777000,574918000,499125000,599671000,419896000,424998000,426260000,415850000,493511000,544297000,509869000,498863000,507523000,569768000,605249000,698683000,816066000,873967000
68,Total Liabilities And Stockholders Equity,326000000,359700000,417700000,477200000,566300000,703300000,674700000,646000000,655420000,721386000,796525000,824700000,796897000,866366000,1206842000,1112252000,931929000,1011521000,1138923000,1155760000,1087047000,1306547000,1526977000,1405425000,1344257000,1278293000,1230928000,1156697000,1163406000,1025605000,1005872000,1259666000,1357951000,1414961000,1470362000,1546137000,1552426000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3482000,3699000,3690000,3767000,3247000,3031000,4006000,3799000,3638000
70,Total Liabilities & Equity,326000000,359700000,417700000,477200000,566300000,703300000,674700000,646000000,655420000,721386000,796525000,824700000,796897000,866366000,1206842000,1112252000,931929000,1011521000,1138923000,1155760000,1087047000,1306547000,1526977000,1405425000,1344257000,1278293000,1230928000,1156697000,1166888000,1029304000,1009562000,1263433000,1361198000,1417992000,1474368000,1549936000,1556064000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/819793/000091205796005142/0000912057-96-005142-index.html,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/819793/000104746903009653/a2106011z10-k.htm,https://www.sec.gov/Archives/edgar/data/819793/000104746904007489/0001047469-04-007489-index.html,https://www.sec.gov/Archives/edgar/data/819793/000114544305000454/d16431_10-k.htm,https://www.sec.gov/Archives/edgar/data/819793/000114544306000597/d18647_10k.htm,https://www.sec.gov/Archives/edgar/data/819793/000114544307000543/d20727.htm,https://www.sec.gov/Archives/edgar/data/819793/000114544308000503/d22743.htm,https://www.sec.gov/Archives/edgar/data/819793/000114544309000304/0001145443-09-000304-index.html,https://www.sec.gov/Archives/edgar/data/819793/000114420410012663/0001144204-10-012663-index.html,https://www.sec.gov/Archives/edgar/data/819793/000114420411012289/b212132_10k.htm,https://www.sec.gov/Archives/edgar/data/819793/000089109212001229/0000891092-12-001229-index.html,https://www.sec.gov/Archives/edgar/data/819793/000089109213001806/0000891092-13-001806-index.html,https://www.sec.gov/Archives/edgar/data/819793/000089109214001589/e57527_10k.htm,https://www.sec.gov/Archives/edgar/data/819793/000089109215001671/e62839-10k.htm,https://www.sec.gov/Archives/edgar/data/819793/000089109216012779/0000891092-16-012779-index.html,https://www.sec.gov/Archives/edgar/data/819793/000089109217001810/0000891092-17-001810-index.html,https://www.sec.gov/Archives/edgar/data/819793/000089109218001722/0000891092-18-001722-index.html,https://www.sec.gov/Archives/edgar/data/819793/000089109219002857/0000891092-19-002857-index.html,https://www.sec.gov/Archives/edgar/data/819793/000089109220002167/0000891092-20-002167-index.html,https://www.sec.gov/Archives/edgar/data/819793/000081979321000017/0000819793-21-000017-index.htm,https://www.sec.gov/Archives/edgar/data/819793/000081979322000009/0000819793-22-000009-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,44500000,7600000,10300000,-3600000,15524000,23952000,43050000,47385000,49059000,31772000,30222000,38085000,32202000,48941000,54055000,10385000,71852000,58039000,17782000,-75748000,-32380000,37636000,34938000,30977000,17517000,41569000,57279000,52733000,33111000,82891000,132398000,98589000,118478000
74,Depreciation and Amortization,- -,- -,- -,- -,27600000,34500000,42000000,45500000,41969000,38649000,43087000,45189000,44991000,48827000,55874000,62216000,57546000,52863000,56094000,55215000,55445000,59450000,62517000,66160000,68826000,62996000,66385000,63235000,63789000,64292000,60114000,67461000,71956000,79036000,70795000,72705000,74255000
75,Deferred Income Tax,- -,- -,- -,- -,1200000,4900000,-19600000,-5700000,-8455000,-2395000,6739000,755000,-3828000,11460000,-1127000,6108000,-18634000,-21094000,-6908000,-16652000,10787000,-8104000,-10897000,-22578000,-19524000,13125000,237000,-123887000,-12261000,-10725000,-27358000,5889000,-1264000,8972000,13702000,11101000,12181000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5406000,4896000,2812000,2790000,-766000,1384000,1707000,2433000,2133000,2203000,2063000,1505000,3146000
77,Change in Working Capital,- -,- -,- -,- -,-9700000,24800000,-17500000,-10700000,26010000,35189000,33218000,-30303000,-1431000,-13208000,141434000,-58856000,-92379000,22520000,89797000,-57599000,37432000,61187000,30573000,-19085000,-38542000,34780000,-4715000,-59545000,87299000,-87244000,49097000,-24533000,80894000,21553000,11872000,110798000,11674000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,43524000,-9509000,-12082000,-4990000,-8878000,-6564000,-404000,-12697000,-21859000,-19139000,9587000,31522000,-7734000
