,https://roic.ai/company/VOXX,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-100000,- -,- -,1817000,1556000,2630000,5630000,8288000,7394000,6851000,8075000,7488000,6009000,4449000,3569000,2979000
14,Depreciation and Amortization,700000,800000,1200000,1200000,1800000,2500000,3100000,3900000,4300000,4100000,3300000,1900000,2500000,3300000,4128000,4476000,4780000,4476000,2723000,3635000,950000,3994000,5750000,7294000,7694000,7865000,10295000,16446000,16183000,15565000,15838000,18294000,15112000,12344000,13278000,11033000
15,EBITDA,7800000,13000000,1800000,-1500000,-3000000,-12600000,13300000,21400000,50600000,-8000000,-17400000,45300000,6300000,46000000,46282000,-7670000,3672000,25122000,80401000,-17365000,-750000,5396000,18063000,-46843000,20405000,22991000,54817000,60389000,-3078000,23112000,19496000,31963000,38980000,-35429000,-8714000,45051000
16,EBITDA ratio,0.0383,0.0469,0.0056,-0.0051,-0.0097,-0.0384,0.0387,0.0550,0.1040,-0.0160,-0.0291,0.0709,0.0102,0.0397,0.0272,-0.0061,0.0033,0.0190,0.1418,-0.0322,-0.0073,0.0118,0.0305,-0.0777,0.0371,0.0409,0.0775,0.0723,-0.0038,0.0305,0.0286,0.0469,0.0769,-0.0793,-0.0221,0.0799
17,Operating Income,11200000,16400000,6000000,2000000,-3400000,-12900000,7700000,15000000,10500000,-9800000,13100000,19700000,4800000,38200000,38524000,-10537000,-14076000,21803000,-2125000,-27690000,-3200000,-5077000,4422000,-53443000,3760000,9017000,43874000,41696000,-37375000,16594000,-11570000,-172000,-19099000,-41197000,-49455000,22479000
18,Operating Income ratio,0.0550,0.0592,0.0187,0.0068,-0.0110,-0.0393,0.0224,0.0386,0.0216,-0.0196,0.0219,0.0308,0.0078,0.0329,0.0226,-0.0083,-0.0128,0.0165,-0.0037,-0.0513,-0.0310,-0.0111,0.0075,-0.0886,0.0068,0.0161,0.0621,0.0499,-0.0462,0.0219,-0.0170,-0.0003,-0.0377,-0.0922,-0.1252,0.0399
19,Total Other Income Expenses (Gains),-4100000,-4200000,-5400000,-4700000,-1400000,-2200000,600000,300000,36000000,-2300000,-33800000,23700000,-1000000,4500000,1441000,-1609000,7673000,-767000,3260000,9594000,1700000,7235000,6172000,-2511000,7395000,3479000,-4982000,-6041000,10720000,-15898000,3772000,-1271000,-5005000,-17766000,8515000,5159000
20,Income Before Tax,7100000,12200000,600000,-2700000,-4800000,-15100000,8300000,15300000,46500000,-12100000,-20700000,43400000,3800000,42700000,39965000,-12146000,-6403000,21036000,1135000,-18096000,-1500000,2158000,10594000,-55954000,11155000,12496000,38892000,35655000,-26655000,696000,-7798000,-1443000,-24104000,-58963000,-40940000,27638000
21,Income Before Tax Ratio,0.0348,0.0440,0.0019,-0.0092,-0.0156,-0.0460,0.0241,0.0393,0.0956,-0.0242,-0.0346,0.0679,0.0062,0.0368,0.0235,-0.0096,-0.0058,0.0159,0.0020,-0.0335,-0.0145,0.0047,0.0179,-0.0928,0.0203,0.0222,0.0550,0.0427,-0.0329,0.0009,-0.0115,-0.0021,-0.0475,-0.1320,-0.1037,0.0490
22,Income Tax expense (Gain),3600000,5700000,300000,-1100000,-1600000,-400000,2500000,5200000,20300000,-2800000,5800000,22400000,800000,15500000,14925000,-3937000,12932000,9407000,478000,-11409000,-1800000,-1534000,3848000,15075000,-11328000,-10535000,13243000,13163000,-58000,1638000,-1735000,1759000,-17445000,-6131000,882000,4272000
23,Net Income,3500000,6500000,300000,-1600000,-3200000,-14700000,7700000,12300000,26000000,-9300000,-26500000,21000000,3000000,27200000,27229000,-8209000,-14040000,11239000,77200000,-9591000,200000,2936000,8465000,-71029000,22483000,23031000,25649000,22492000,-26597000,-942000,-2682000,4422000,35304000,-46091000,-26443000,26767000
24,Net Income ratio,0.0172,0.0235,0.0009,-0.0055,-0.0104,-0.0448,0.0224,0.0316,0.0535,-0.0186,-0.0443,0.0329,0.0049,0.0235,0.0160,-0.0065,-0.0128,0.0085,0.1361,-0.0178,0.0019,0.0064,0.0143,-0.1178,0.0408,0.0410,0.0363,0.0269,-0.0328,-0.0012,-0.0039,0.0065,0.0696,-0.1032,-0.0670,0.0475
25,EPS,0.51,0.82,0.03,-0.17,-0.35,-1.63,0.85,1.35,2.86,-1.02,-2.82,1.09,0.16,1.43,1.27,-0.38,-0.64,0.51,3.52,-0.43,0.01,0.13,0.37,-3.11,0.98,1.00,1.11,0.96,-1.10,-0.04,-0.11,0.18,1.45,-1.89,-1.08,1.11
26,EPS Diluted,0.51,0.82,0.03,-0.17,-0.35,-1.63,0.85,1.25,2.20,-1.02,-2.82,1.05,0.16,1.39,1.21,-0.38,-0.64,0.51,3.45,-0.43,0.01,0.13,0.37,-3.11,0.98,1.00,1.10,0.95,-1.10,-0.04,-0.11,0.18,1.44,-1.89,-1.08,1.09
27,Weighted Average Shares Outstanding,6862745,7926829,10000000,9411765,9142857,9018405,9058824,9111111,9090909,9117647,9333333,19266055,18750000,19020979,21440157,21602632,21850035,21854610,21955292,22278542,22800000,22366413,22853482,22860402,22875651,22938754,23080081,23415570,24109270,24330361,24172710,24160324,24290563,24355791,24394663,24201221
28,Weighted Average Shares Outstanding Diluted,6862745,7926829,10000000,9411765,9142857,9018405,9058824,9840000,11441441,9117647,9333333,20000000,18750000,19568345,22503306,21602632,21850035,22054320,22373134,22278542,22800000,22557272,22876112,22860402,22919665,23112518,23265206,23617101,24109270,24330361,24172710,24240310,24547246,24355791,24394663,24650106
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/807707/000080770795000006/0000807707-95-000006-index.html,https://www.sec.gov/Archives/edgar/data/807707/000080770796000002/0000807707-96-000002-index.html,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/807707/000095013607003491/0000950136-07-003491-index.htm,https://www.sec.gov/Archives/edgar/data/807707/000080770708000022/0000807707-08-000022-index.htm,https://www.sec.gov/Archives/edgar/data/807707/000080770709000011/0000807707-09-000011-index.htm,https://www.sec.gov/Archives/edgar/data/807707/000080770710000010/0000807707-10-000010-index.htm,- -,https://www.sec.gov/Archives/edgar/data/807707/000080770712000013/0000807707-12-000013-index.htm,https://www.sec.gov/Archives/edgar/data/807707/000080770713000022/0000807707-13-000022-index.htm,https://www.sec.gov/Archives/edgar/data/807707/000080770714000008/0000807707-14-000008-index.htm,https://www.sec.gov/Archives/edgar/data/807707/000080770715000006/0000807707-15-000006-index.htm,https://www.sec.gov/Archives/edgar/data/807707/000080770716000051/0000807707-16-000051-index.htm,https://www.sec.gov/Archives/edgar/data/807707/000080770717000011/0000807707-17-000011-index.htm,https://www.sec.gov/Archives/edgar/data/807707/000080770718000034/0000807707-18-000034-index.htm,https://www.sec.gov/Archives/edgar/data/807707/000080770719000013/0000807707-19-000013-index.htm,https://www.sec.gov/Archives/edgar/data/807707/000156459020029359/0001564590-20-029359-index.htm,https://www.sec.gov/Archives/edgar/data/807707/000156459021027539/0001564590-21-027539-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,4000000,7700000,6600000,5200000,4700000,5700000,2700000,1400000,5500000,7100000,12400000,9400000,9400000,5500000,6431000,3025000,2758000,4702000,43409000,14164000,16300000,15473000,39341000,69504000,69511000,98630000,13606000,19777000,10603000,8448000,11767000,7800000,51740000,58236000,37425000,59404000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,124237000,108766000,160800000,140872000,- -,- -,- -,- -,- -,- -,- -,275000,- -,- -,- -,- -,- -,1777000
33,Cash and Short-Term Investments,4000000,7700000,6600000,5200000,4700000,5700000,2700000,1400000,5500000,7100000,12400000,9400000,9400000,5500000,6431000,3025000,2758000,4702000,167646000,122930000,177100000,156345000,39341000,69504000,69511000,98630000,13606000,19777000,10603000,8723000,11767000,7800000,51740000,58236000,37425000,61181000
34,Net Receivables,47100000,62100000,62200000,63200000,70400000,68200000,67300000,81200000,94200000,102000000,118400000,104700000,131100000,246600000,279402000,234128000,200738000,274251000,126992000,136505000,107000000,100109000,142046000,117091000,143740000,116430000,147294000,162987000,151960000,108250000,91000000,92902000,82120000,75321000,70400000,106876000
35,Inventory,32200000,54700000,63300000,52900000,52800000,46600000,50600000,64300000,83400000,100400000,72800000,105200000,72400000,136600000,140065000,225662000,290064000,219664000,140739000,129120000,96200000,104972000,155748000,125301000,102717000,113620000,129514000,159099000,144339000,156649000,144028000,153053000,117992000,102379000,99110000,130793000
36,Other Current Assets,2400000,1300000,2200000,2400000,3700000,3800000,2800000,6500000,8400000,16700000,17100000,20200000,13600000,15600000,24640000,19629000,15279000,21902000,46768000,18215000,9700000,13919000,20915000,18327000,16358000,12150000,16698000,15379000,18955000,28093000,17256000,19593000,14007000,10449000,10885000,20489000
37,Total Current Assets,85700000,125800000,134300000,123700000,131600000,124300000,123400000,153400000,191500000,226200000,220700000,239500000,226500000,404300000,450538000,482444000,508839000,520519000,482145000,406770000,390000000,375345000,358050000,330223000,332326000,340830000,307112000,357242000,325857000,301715000,264051000,273348000,265859000,246385000,217820000,319339000
38,PP&E,2200000,3500000,3600000,4600000,6400000,8100000,6900000,6100000,6200000,6100000,6800000,8600000,17800000,19600000,27996000,25687000,18381000,20242000,20418000,19717000,18800000,18019000,21550000,19903000,22145000,19563000,31779000,76208000,83222000,69783000,79422000,81601000,65259000,60493000,54567000,56598000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4742000,6826000,7532000,7019000,16138000,16100000,17514000,23427000,- -,7389000,7373000,87366000,146680000,117938000,105874000,104349000,103212000,54785000,54785000,55000000,58311000
40,Intangible Assets,1400000,1300000,1400000,1200000,1800000,1100000,1200000,1000000,1000000,900000,800000,5600000,6100000,5700000,5098000,- -,- -,8043000,8043000,11060000,11000000,57874000,101008000,88524000,97226000,99189000,175349000,205398000,174312000,158455000,185022000,176289000,150320000,119449000,88288000,90104000
41,Intangible Assets,1400000,1300000,1400000,1200000,1800000,1100000,1200000,1000000,1000000,900000,800000,5600000,6100000,5700000,5098000,4742000,6826000,15575000,15062000,27198000,27100000,75388000,124435000,88524000,104615000,106562000,262715000,352078000,292250000,264329000,289371000,279501000,205105000,174234000,143288000,148415000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,26500000,- -,- -,20862000,27164000,26264000,27995000,31088000,34730000,34061000,32155000,32314000,26024000,24743000,24206000,25044000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3148000,- -,- -,6220000,6054000,- -,1858000,- -,221000,515000,6244000,796000,924000,760000,717000,23000,23000,24000,79000,52000,99000
44,Other Non-Current Assets,1900000,2400000,3900000,3100000,3000000,3600000,13800000,9200000,40400000,77900000,39900000,36100000,29300000,45500000,19227000,17347000,17189000,23367000,19493000,26125000,3600000,25163000,29001000,1563000,2213000,1634000,3782000,11732000,10331000,6908000,4690000,1699000,13373000,2877000,1638000,1323000
45,Total Non-Current Assets,5500000,7200000,8900000,8900000,11200000,12800000,21900000,16300000,47600000,84900000,47500000,50300000,53200000,70800000,52321000,50924000,42396000,59184000,61193000,79094000,76000000,120428000,174986000,131073000,156652000,160267000,327067000,472030000,421293000,375798000,405661000,395138000,309785000,262426000,223751000,231479000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,91200000,133000000,143200000,132600000,142800000,137100000,145300000,169700000,239100000,311100000,268200000,289800000,279700000,475100000,502859000,533368000,551235000,579703000,543338000,485864000,466000000,495773000,533036000,461296000,488978000,501097000,634179000,829272000,747150000,677513000,669712000,668486000,575644000,508811000,441571000,550818000
48,Accounts Payable,- -,- -,- -,1700000,7900000,7600000,10500000,17800000,21100000,17800000,28200000,24200000,34100000,76400000,61060000,57162000,121127000,94864000,26176000,23998000,13800000,34344000,24433000,41796000,36126000,27341000,43755000,56894000,55373000,71403000,55790000,61143000,34700000,31143000,22096000,61826000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,1200000,6400000,- -,- -,- -,- -,14458000,97480000,40248000,43373000,10191000,6114000,5300000,4414000,3152000,2731000,8086000,4471000,3592000,26020000,5960000,6032000,8826000,10217000,7730000,10021000,1107000,500000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2665000,- -,1610000,5432000,6642000,6701000,5473000,6152000,4680000,2843000,1349000,1523000,1587000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4178000
52,Other Current Liabilities,61700000,65700000,46000000,35300000,44300000,22800000,25900000,72400000,13900000,26500000,34300000,36100000,31800000,55800000,68843000,44889000,54777000,77928000,83760000,36170000,27800000,33974000,54678000,44616000,48327000,50490000,76780000,73625000,80291000,69968000,67268000,58707000,52957000,54052000,47819000,80292000
53,Total Current Liabilities,61700000,65700000,46000000,37000000,52200000,30400000,36400000,90200000,36200000,50700000,62500000,60300000,65900000,132200000,144361000,199531000,216152000,216165000,120127000,66282000,46900000,72732000,82263000,89143000,92539000,82302000,124127000,156539000,141624000,147403000,131884000,130067000,95387000,95216000,71022000,146796000
54,Long-Term Debt,2500000,2300000,31300000,30900000,29100000,59900000,55300000,13600000,104800000,119500000,28200000,6200000,12600000,12200000,21260000,- -,8140000,18289000,7709000,6357000,11800000,5430000,1621000,5896000,13807000,11243000,34860000,148996000,103222000,79455000,90691000,97747000,8476000,5776000,6099000,5962000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3554000,3196000,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,5900000,23300000,10500000,8500000,3600000,8600000,972000,- -,2704000,3178000,- -,- -,- -,- -,6057000,4657000,9721000,4919000,34220000,43944000,34963000,34327000,30374000,30155000,12217000,5284000,3828000,6645000
57,Other Non-Current Liabilities,2500000,2600000,2600000,-100000,-100000,- -,100000,100000,200000,- -,31800000,24200000,17600000,102100000,2208000,10040000,10110000,11350000,10889000,12068000,6600000,13249000,19582000,21098000,8648000,6133000,15979000,35257000,37757000,20188000,20869000,19202000,9446000,7434000,9912000,12086000
58,Total Non-Current Liabilities,5000000,4900000,33900000,30800000,29000000,59900000,55400000,13700000,110900000,142800000,70500000,38900000,33800000,122900000,24440000,10040000,20954000,32817000,18598000,18425000,18400000,18679000,27260000,31651000,32176000,25849000,88255000,228197000,175942000,133970000,141934000,147104000,30139000,18494000,19839000,24693000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6141000,6070000,6001000,5917000,- -,5676000,5607000,5531000,5490000,5348000,5196000,5764000,6114000,733000,1381000,1400000,699000,516000,3111000,3884000
61,Total Liabilities,66700000,70600000,79900000,67800000,81200000,90300000,91800000,103900000,147100000,193500000,133000000,99200000,99700000,255100000,168801000,209571000,237106000,248982000,138725000,84707000,65300000,91411000,109523000,120794000,124715000,108151000,212382000,384736000,317566000,281373000,273818000,277171000,125526000,113710000,90861000,171489000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2500000,2500000,2500000,2500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,200000,226000,229000,229000,229000,231000,237000,200000,242000,246000,246000,247000,248000,250000,254000,277000,277000,278000,278000,278000,264000,266000,267000
64,Retained Earnings,17000000,23400000,23700000,22200000,19000000,4300000,12000000,24200000,50300000,41000000,14500000,35400000,35900000,63100000,90371000,82162000,69396000,80635000,157835000,148244000,148400000,151363000,162542000,91513000,113996000,137027000,162676000,185168000,158571000,157629000,154947000,159369000,194673000,148582000,122139000,148906000
65,Other Comprehensive Income/Loss,-3100000,-3800000,-4500000,-5200000,-6200000,-8100000,-10400000,-13100000,-15900000,-18000000,-19000000,-20300000,-13800000,-9900000,-12847000,-16822000,-5018000,-1229000,-1841000,-2308000,-1000000,-1320000,4847000,-7325000,-7278000,-3849000,-3973000,-6497000,-1873000,-33235000,-40717000,-43898000,-14222000,-16944000,-19055000,-14977000
66,Other Total Stockholders Equity,10600000,42800000,44100000,47800000,48800000,50600000,51900000,54700000,57600000,94600000,139700000,175500000,157900000,166600000,256308000,258228000,242406000,243593000,245462000,252484000,253100000,254077000,255878000,256068000,257298000,259520000,262844000,265611000,272609000,271469000,272862000,274256000,275219000,275770000,275310000,276484000
67,Total Stockholders Equity,24500000,62400000,63300000,64800000,61600000,46800000,53500000,65800000,92000000,117600000,135200000,190600000,180000000,220000000,334058000,323797000,309513000,325728000,404187000,401157000,400700000,404362000,423513000,340502000,364263000,392946000,421797000,444536000,429584000,396140000,387370000,390005000,455948000,407672000,378660000,410680000
68,Total Liabilities And Stockholders Equity,91200000,133000000,143200000,132600000,142800000,137100000,145300000,169700000,239100000,311100000,268200000,289800000,279700000,475100000,502859000,533368000,546619000,574710000,542912000,485864000,466000000,495773000,533036000,461296000,488978000,501097000,634179000,829272000,747150000,677513000,661188000,667176000,581474000,521382000,469521000,582169000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4616000,4993000,426000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8524000,1310000,-5830000,-12571000,-27950000,-31351000
70,Total Liabilities & Equity,91200000,133000000,143200000,132600000,142800000,137100000,145300000,169700000,239100000,311100000,268200000,289800000,279700000,475100000,502859000,533368000,551235000,579703000,543338000,485864000,466000000,495773000,533036000,461296000,488978000,501097000,634179000,829272000,747150000,677513000,669712000,668486000,575644000,508811000,441571000,550818000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/807707/000080770795000006/0000807707-95-000006-index.html,https://www.sec.gov/Archives/edgar/data/807707/000080770796000002/0000807707-96-000002-index.html,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/807707/000095013607003491/0000950136-07-003491-index.htm,https://www.sec.gov/Archives/edgar/data/807707/000080770708000022/0000807707-08-000022-index.htm,https://www.sec.gov/Archives/edgar/data/807707/000080770709000011/0000807707-09-000011-index.htm,https://www.sec.gov/Archives/edgar/data/807707/000080770710000010/0000807707-10-000010-index.htm,- -,https://www.sec.gov/Archives/edgar/data/807707/000080770712000013/0000807707-12-000013-index.htm,https://www.sec.gov/Archives/edgar/data/807707/000080770713000022/0000807707-13-000022-index.htm,https://www.sec.gov/Archives/edgar/data/807707/000080770714000008/0000807707-14-000008-index.htm,https://www.sec.gov/Archives/edgar/data/807707/000080770715000006/0000807707-15-000006-index.htm,https://www.sec.gov/Archives/edgar/data/807707/000080770716000051/0000807707-16-000051-index.htm,https://www.sec.gov/Archives/edgar/data/807707/000080770717000011/0000807707-17-000011-index.htm,https://www.sec.gov/Archives/edgar/data/807707/000080770718000034/0000807707-18-000034-index.htm,https://www.sec.gov/Archives/edgar/data/807707/000080770719000013/0000807707-19-000013-index.htm,https://www.sec.gov/Archives/edgar/data/807707/000156459020029359/0001564590-20-029359-index.htm,https://www.sec.gov/Archives/edgar/data/807707/000156459021027539/0001564590-21-027539-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,-1600000,-3200000,-14700000,7700000,12300000,26000000,-9300000,-26500000,21000000,3000000,27200000,27229000,-8209000,-14040000,11239000,77200000,-9591000,200000,2936000,8465000,-71029000,22483000,23031000,25649000,22492000,-26597000,-942000,-2682000,4422000,35304000,-46091000,-26443000,26767000
74,Depreciation and Amortization,- -,- -,- -,1200000,1800000,2500000,3100000,3900000,4300000,4100000,3300000,1900000,2500000,3300000,4128000,4476000,4780000,4476000,2723000,3635000,950000,3994000,5750000,7294000,7694000,7865000,10295000,16446000,16183000,15565000,15838000,18294000,15112000,12344000,13278000,11033000
75,Deferred Income Tax,- -,- -,- -,100000,-1300000,2600000,300000,-2300000,6100000,-5200000,- -,- -,- -,-600000,-6034000,-3364000,9904000,-3332000,1669000,-3104000,2960000,606000,-1198000,13646000,1594000,-13566000,2229000,-524000,-10164000,2003000,-4644000,19000,-15350000,-7110000,-1337000,2653000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,309000,1138000,1284000,1082000,435000,641000,521000,859000,753000,552000,551000,2282000,1749000
77,Change in Working Capital,- -,- -,- -,7400000,-7300000,14500000,-6900000,-23800000,92100000,20200000,-17300000,21000000,-18600000,111500000,34077000,-23264000,9774000,11667000,57664000,-21530000,2612000,-40487000,-26826000,-34707000,-1293000,11423000,-75543000,17718000,-16470000,-29921000,-22145000,11114000,27191000,-19303000,-4371000,25745000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,39700000,- -,- -,768000,-22451000,22462000,-8834000,13382000,6503000,36393000,13683000,-6684000,1501000,5600000,5692000,-29602000
79,Inventory,- -,- -,- -,9900000,100000,4700000,-4500000,-13800000,-18700000,-17000000,27700000,-36800000,31700000,-64500000,-3945000,-86025000,-64548000,-67735000,11823000,17805000,32900000,23589000,-19210000,21951000,32849000,-12007000,13269000,-9982000,16609000,-22973000,11285000,-10227000,7150000,13912000,9571000,-22735000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10200000,- -,- -,- -,- -,- -,- -,-13511000,4710000,10463000,-18151000,-1564000,-22139000,480000,-17378000,- -
81,Other Working Capital,- -,- -,- -,86700000,79400000,93900000,87000000,63200000,155300000,175500000,158200000,179200000,160600000,272100000,306177000,282913000,292687000,304354000,362018000,340488000,343100000,302613000,275787000,241080000,239787000,-646000,182985000,200703000,184233000,154312000,132167000,143281000,170472000,151169000,146798000,172543000
82,Other Non-Cash Items,- -,- -,- -,2900000,7700000,-2000000,-7300000,8800000,-174300000,-50000000,64500000,-80800000,30500000,-237000000,-66028000,-43715000,13652000,-98126000,-52550000,-11555000,48578000,76371000,-50882000,114493000,-3394000,2093000,95872000,-31044000,103224000,60202000,40295000,-36392000,-88348000,82171000,15582000,-31336000
