,https://roic.ai/company/TISI,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
15,EBITDA,- -,-100000,4500000,7900000,10300000,14100000,11800000,-5100000,8800000,9500000,600000,-2900000,3900000,4500000,3100000,5491000,8606000,9931000,10299000,12633000,17332000,28143000,38560000,57436000,53387000,35706000,54717000,72182000,74045000,70410000,88139000,45571000,-63903000,1528000,45919000,-176192000,-86984000
16,EBITDA ratio,- -,-0.0023,0.1059,0.1374,0.1632,0.1615,0.1149,-0.0696,0.1137,0.1327,0.0108,-0.0552,0.0892,0.0989,0.0568,0.0824,0.1138,0.1167,0.1121,0.1173,0.0829,0.1083,0.1211,0.1200,0.1073,0.0787,0.1077,0.1157,0.1037,0.0939,0.1047,0.0381,-0.0532,0.0012,0.0395,-0.2067,-0.0995
17,Operating Income,- -,-200000,1800000,5000000,7600000,10000000,6000000,6300000,5300000,6300000,3200000,1400000,2500000,2900000,3100000,3888000,5555000,7238000,7744000,9741000,11017000,21377000,30337000,45873000,41271000,24777000,42475000,56497000,55602000,53421000,68465000,-3118000,-115110000,-38961000,-2146000,-217362000,-125982000
18,Operating Income ratio,- -,-0.0045,0.0424,0.0870,0.1204,0.1145,0.0584,0.0859,0.0685,0.0880,0.0575,0.0267,0.0572,0.0637,0.0568,0.0583,0.0734,0.0851,0.0843,0.0905,0.0527,0.0823,0.0953,0.0959,0.0829,0.0546,0.0836,0.0906,0.0778,0.0713,0.0813,-0.0026,-0.0959,-0.0312,-0.0018,-0.2550,-0.1441
19,Total Other Income Expenses (Gains),- -,-3500000,- -,-2300000,-2900000,-2300000,-2400000,-1200000,-1800000,-4800000,-11000000,-12300000,-900000,-400000,-2200000,-1354000,-1338000,-892000,-601000,-519000,-2957000,-3992000,-4204000,-6491000,-4872000,-4344000,-2303000,-4007000,-3677000,-7036000,-5175000,-12540000,-22423000,-55248000,-30707000,-34556000,-48828000
20,Income Before Tax,- -,-3700000,- -,2700000,4700000,7700000,3600000,5100000,3500000,1500000,-7800000,-10900000,1600000,2500000,900000,2534000,4217000,6346000,7143000,9222000,8060000,17385000,26133000,39382000,36399000,20433000,40172000,52490000,51925000,46385000,63290000,-15658000,-137533000,-94209000,-32853000,-251918000,-174810000
21,Income Before Tax Ratio,- -,-0.0833,- -,0.0470,0.0745,0.0882,0.0351,0.0696,0.0452,0.0209,-0.1400,-0.2076,0.0366,0.0549,0.0165,0.0380,0.0557,0.0746,0.0777,0.0857,0.0386,0.0669,0.0821,0.0823,0.0732,0.0450,0.0791,0.0842,0.0727,0.0619,0.0752,-0.0131,-0.1146,-0.0756,-0.0282,-0.2955,-0.1999
22,Income Tax expense (Gain),- -,100000,100000,300000,1800000,3000000,1600000,2300000,1600000,700000,-2400000,-1600000,800000,1100000,600000,1050000,1477000,2437000,2741000,3446000,3272000,6755000,10618000,15759000,13488000,8158000,13548000,19422000,19211000,16236000,22793000,-3093000,-33372000,-31063000,-436000,-14715000,11209000
23,Net Income,- -,-3800000,- -,2400000,2900000,4700000,2000000,-11900000,1900000,-300000,-5900000,-9300000,800000,1400000,300000,1484000,2740000,3909000,4402000,5776000,4788000,10636000,15515000,23623000,22911000,12275000,26585000,32911000,32436000,29855000,40070000,-12676000,-104161000,-63146000,-32417000,-237203000,-186019000
24,Net Income ratio,- -,-0.0856,- -,0.0417,0.0460,0.0538,0.0195,-0.1623,0.0245,-0.0042,-0.1059,-0.1771,0.0183,0.0308,0.0055,0.0223,0.0362,0.0459,0.0479,0.0536,0.0229,0.0409,0.0487,0.0494,0.0460,0.0270,0.0523,0.0528,0.0454,0.0398,0.0476,-0.0106,-0.0868,-0.0506,-0.0279,-0.2782,-0.2127
25,EPS,- -,-0.49,0.01,0.26,0.27,0.33,0.10,-0.58,0.09,-0.01,-0.58,-0.90,0.07,0.12,0.02,0.09,0.17,0.26,0.28,0.38,0.29,0.63,0.89,1.30,1.22,0.82,1.38,1.67,1.61,1.46,1.95,-0.45,-3.49,-2.16,-1.07,-7.74,-6.01
26,EPS Diluted,- -,-0.49,0.01,0.24,0.25,0.31,0.10,-0.58,0.09,-0.01,-0.58,-0.90,0.07,0.12,0.02,0.09,0.17,0.24,0.27,0.34,0.27,0.58,0.82,1.20,1.16,0.80,1.32,1.59,1.53,1.40,1.85,-0.45,-3.49,-2.16,-1.07,-7.74,-6.01
27,Weighted Average Shares Outstanding,- -,3930000,3930000,5048000,5142000,8948000,9444000,10250000,10318000,10320000,10320000,10322000,10324000,11894000,15094000,16476000,16030000,15328000,15414000,15418000,16280000,16826000,17540000,18226000,18793000,18923000,19206000,19667000,20203000,20439000,20500000,28095000,29849000,30031000,30310000,30638000,30975000
28,Weighted Average Shares Outstanding Diluted,- -,3930000,3930000,5048000,5142000,8948000,9444000,10250000,10318000,10320000,10320000,10322000,10324000,12224000,15482000,16566000,16244000,16458000,16738000,16858000,17964000,18398000,18866000,19676000,19725000,19510000,20083000,20660000,21166000,21285000,21651000,28095000,29849000,30031000,30310000,30638000,30975000
29,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/318833/000089056696001065/0000890566-96-001065-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/318833/000095012902004406/0000950129-02-004406-index.html,- -,https://www.sec.gov/Archives/edgar/data/318833/000119312504146420/0001193125-04-146420-index.htm,https://www.sec.gov/Archives/edgar/data/318833/000119312505168774/0001193125-05-168774-index.htm,https://www.sec.gov/Archives/edgar/data/318833/000119312506172757/0001193125-06-172757-index.htm,https://www.sec.gov/Archives/edgar/data/318833/000119312507180806/0001193125-07-180806-index.htm,https://www.sec.gov/Archives/edgar/data/318833/000119312508161503/0001193125-08-161503-index.htm,https://www.sec.gov/Archives/edgar/data/318833/000119312509171986/0001193125-09-171986-index.htm,https://www.sec.gov/Archives/edgar/data/318833/000119312510181451/0001193125-10-181451-index.htm,https://www.sec.gov/Archives/edgar/data/318833/000119312511204994/0001193125-11-204994-index.htm,https://www.sec.gov/Archives/edgar/data/318833/000119312512340842/0001193125-12-340842-index.htm,https://www.sec.gov/Archives/edgar/data/318833/000119312513330880/0001193125-13-330880-index.htm,https://www.sec.gov/Archives/edgar/data/318833/000119312514303174/0001193125-14-303174-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/318833/000031883318000013/0000318833-18-000013-index.htm,https://www.sec.gov/Archives/edgar/data/318833/000031883319000014/0000318833-19-000014-index.htm,https://www.sec.gov/Archives/edgar/data/318833/000031883320000008/0000318833-20-000008-index.htm,https://www.sec.gov/Archives/edgar/data/318833/000031883321000018/0000318833-21-000018-index.htm,https://www.sec.gov/Archives/edgar/data/318833/000031883322000011/0000318833-22-000011-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,1100000,200000,4800000,4100000,3100000,600000,1900000,1600000,3700000,3200000,2000000,1700000,1400000,1000000,327000,968000,823000,854000,2019000,3993000,2578000,4335000,6600000,12632000,12610000,14078000,22477000,34201000,34656000,44825000,46216000,26552000,18288000,12175000,24586000,61215000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,1100000,200000,4800000,4100000,3100000,600000,1900000,1600000,3700000,3200000,2000000,1700000,1400000,1000000,327000,968000,823000,854000,2019000,3993000,2578000,4335000,6600000,12632000,12610000,14078000,22477000,34201000,34656000,44825000,46216000,26552000,18288000,12175000,24586000,61215000
34,Net Receivables,- -,8200000,9300000,10900000,11100000,18800000,22700000,15000000,13400000,12700000,8400000,8100000,7200000,9600000,10800000,13580000,14608000,17250000,17723000,27881000,62269000,68487000,84496000,126397000,115740000,109368000,143120000,157625000,172108000,175601000,218217000,263285000,302855000,268683000,245933000,195540000,231121000
35,Inventory,- -,5300000,5400000,5200000,6100000,7000000,8500000,8400000,9100000,8300000,6600000,5700000,6300000,6800000,8600000,7821000,8245000,8802000,9498000,9928000,12394000,10525000,11518000,16408000,19647000,19733000,21335000,24986000,26507000,25537000,27936000,49571000,49703000,48540000,39195000,36854000,35754000
36,Other Current Assets,- -,1100000,1300000,2600000,3100000,2400000,2900000,7000000,7300000,1500000,1400000,1000000,800000,800000,1200000,1017000,759000,1198000,1342000,1439000,2355000,3241000,7164000,7518000,8618000,8634000,11741000,13587000,14102000,13020000,23581000,42285000,17950000,19445000,20275000,26752000,24968000
37,Total Current Assets,- -,15700000,16200000,23500000,24400000,31300000,34700000,32300000,31400000,26200000,19600000,16800000,16000000,18600000,21600000,22745000,24580000,28073000,29417000,41267000,81011000,84831000,107513000,156923000,156637000,150345000,190274000,218675000,246918000,248814000,314559000,401357000,397060000,354956000,317578000,283732000,353058000
38,PP&E,- -,9600000,7300000,9100000,9900000,13100000,17100000,11400000,9400000,10000000,6100000,5800000,5800000,6600000,13500000,13249000,11786000,11937000,12268000,15885000,28770000,26448000,35166000,56138000,59582000,55229000,58567000,62041000,74939000,89961000,124983000,203130000,203219000,194794000,258999000,234178000,222059000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,26452000,26452000,62904000,56453000,55739000,89520000,95002000,103466000,113763000,256654000,355786000,284804000,281650000,282006000,91351000,25243000
40,Intangible Assets,- -,3500000,2200000,8900000,10000000,12500000,14700000,6600000,6400000,6000000,5600000,- -,- -,- -,10800000,10616000,10341000,10049000,10049000,16271000,30362000,708000,458000,1276000,953000,1498000,14819000,18508000,25950000,23513000,99119000,176104000,160161000,131372000,117019000,103282000,89898000
41,Intangible Assets,- -,3500000,2200000,8900000,10000000,12500000,14700000,6600000,6400000,6000000,5600000,- -,- -,- -,10800000,10616000,10341000,10049000,10049000,16271000,30362000,27160000,26910000,64180000,57406000,57237000,104339000,113510000,129416000,137276000,355773000,531890000,444965000,413022000,399025000,194633000,115141000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,97000,117000,651000,816000,2435000,1255000,6215000,4793000,7652000,5189000,6790000,792000
44,Other Non-Current Assets,- -,-100000,1100000,1400000,1400000,1900000,5000000,15800000,13600000,61000000,48800000,46800000,2300000,1900000,2000000,1878000,1289000,1130000,490000,973000,3183000,1532000,1465000,3220000,2296000,2081000,2189000,8911000,8114000,6455000,2421000,4826000,5798000,7397000,4426000,11642000,13435000
45,Total Non-Current Assets,- -,13000000,10600000,19400000,21300000,27500000,36800000,33800000,29400000,77000000,60500000,52600000,8100000,8500000,26300000,25743000,23416000,23116000,22807000,33129000,62315000,55140000,63541000,123538000,119284000,114644000,165212000,185113000,213285000,236127000,484432000,746061000,658775000,622865000,667639000,447243000,351427000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,28700000,26800000,42900000,45700000,58800000,71500000,66100000,60800000,103200000,80100000,69400000,24100000,27100000,47900000,48488000,47996000,51189000,52224000,74396000,143326000,139971000,171054000,280461000,275921000,264989000,355486000,403788000,460203000,484941000,798991000,1147418000,1055835000,977821000,985217000,730975000,704485000
48,Accounts Payable,- -,- -,- -,- -,2100000,2400000,4400000,7400000,3800000,3800000,700000,800000,700000,1400000,1100000,1979000,1957000,2953000,3195000,4501000,11209000,7978000,10560000,21462000,14928000,19010000,24371000,18427000,22411000,21755000,22364000,47817000,55312000,44074000,41636000,42148000,46181000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1300000,1700000,300000,300000,900000,1611000,1536000,1512000,1482000,1482000,3835000,5899000,9596000,9646000,8762000,313000,212000,- -,- -,1881000,- -,22119000,1616000,1714000,22394000,17712000,16845000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1877000,2641000,6703000,3613000,7378000,3058000,5599000,6483000,7271000,8593000,8722000,8018000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3433000,6102000,1784000,1224000,6790000,- -
52,Other Current Liabilities,- -,5200000,5100000,7400000,6500000,7800000,6300000,7000000,6600000,9600000,2800000,3700000,3500000,3800000,3800000,4142000,4503000,4915000,5027000,7572000,16878000,21735000,17128000,25636000,23102000,23679000,35158000,43229000,50393000,51507000,69796000,74352000,84754000,92379000,85282000,66354000,121099000
53,Total Current Liabilities,- -,5200000,5100000,7400000,8600000,10200000,10700000,14400000,10400000,13400000,4800000,6200000,4500000,5500000,5800000,7732000,7996000,9380000,9704000,13555000,31922000,35612000,37284000,56744000,46792000,43002000,59741000,61656000,72804000,75143000,92160000,147721000,147784000,139951000,150536000,133004000,184125000
54,Long-Term Debt,- -,15600000,13700000,23400000,21300000,14600000,23100000,24500000,22200000,21000000,54900000,52300000,7600000,6000000,20500000,17682000,13531000,11978000,9577000,17095000,59907000,39804000,48774000,96818000,76689000,47848000,75868000,85872000,72946000,73721000,351383000,346911000,387749000,356814000,325299000,312159000,454412000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,100000,- -,500000,600000,- -,300000,- -,- -,- -,- -,200000,106000,343000,435000,606000,1074000,2038000,404000,486000,6137000,5939000,8947000,10431000,11259000,17166000,15655000,17302000,93318000,38100000,6106000,6996000,4375000,4185000
57,Other Non-Current Liabilities,- -,-100000,- -,- -,- -,-100000,- -,- -,- -,42200000,100000,-100000,- -,- -,100000,- -,1314000,1041000,384000,139000,144000,- -,- -,- -,- -,- -,- -,- -,5097000,3377000,- -,23831000,24734000,17850000,65716000,66834000,9896000
58,Total Non-Current Liabilities,- -,15500000,13700000,23400000,21400000,14500000,23600000,25100000,22200000,63500000,55000000,52200000,7600000,6000000,20800000,17788000,15188000,13454000,10567000,18308000,62089000,40208000,49260000,102955000,82628000,56795000,86299000,97131000,95209000,92753000,368685000,464060000,450583000,380770000,398011000,383368000,468493000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,76689000,47848000,75868000,- -,- -,1881000,- -,2119000,1616000,1145000,71536000,69582000,65397000
61,Total Liabilities,- -,20700000,18800000,30800000,30000000,24700000,34300000,39500000,32600000,76900000,59800000,58400000,12100000,11500000,26600000,25520000,23184000,22834000,20271000,31863000,94011000,75820000,86544000,159699000,129420000,99797000,146040000,158787000,168013000,167896000,- -,611781000,598367000,520721000,548547000,516372000,652618000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2500000,2477000,2503000,2499000,2576000,2715000,2778000,2898000,2984000,5573000,5651000,5696000,5871000,5985000,6176000,6142000,6552000,8934000,8984000,9053000,9153000,9257000,9359000
64,Retained Earnings,- -,1100000,1100000,3800000,7300000,11400000,12800000,200000,1700000,-100000,-6100000,-15400000,-14600000,-13200000,-13000000,-11488000,-8579000,-4670000,-268000,5508000,10296000,20932000,36447000,57367000,80278000,92553000,119138000,152049000,184485000,202032000,250980000,218947000,115780000,81450000,48673000,-189565000,-375584000
65,Other Comprehensive Income/Loss,- -,-12900000,-12100000,-11900000,-10800000,-12700000,-16000000,-14200000,-14400000,-16600000,-11600000,-12200000,-12000000,-11800000,-13600000,-15076000,-14139000,-15719000,-1000,48000,176000,364000,645000,2571000,-2553000,-2437000,2931000,-2587000,-1789000,-2679000,-18374000,-29000000,-19796000,-34392000,-30190000,-27678000,-26732000
66,Other Total Stockholders Equity,- -,19800000,19000000,20200000,19200000,35400000,40400000,40600000,40900000,43000000,38000000,38600000,38600000,40600000,45400000,47055000,45027000,46072000,29428000,34028000,35692000,39691000,44127000,55251000,63125000,69380000,76523000,84457000,97934000,105872000,- -,336756000,352500000,400989000,409034000,422589000,444824000
67,Total Stockholders Equity,- -,8000000,8000000,12100000,15700000,34100000,37200000,26600000,28200000,26300000,20300000,11000000,12000000,15600000,21300000,22968000,24812000,28182000,31735000,42299000,48942000,63885000,84203000,120762000,146501000,165192000,204463000,239904000,286806000,311367000,- -,535637000,457468000,457100000,436670000,214603000,51867000
68,Total Liabilities And Stockholders Equity,- -,28700000,26800000,42900000,45700000,58800000,71500000,66100000,60800000,103200000,80100000,69400000,24100000,27100000,47900000,48488000,47996000,51016000,52006000,74162000,142953000,139705000,170747000,280461000,275921000,264989000,350503000,398691000,454819000,479263000,- -,1147418000,1055835000,977821000,985217000,730975000,704485000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,173000,218000,234000,373000,266000,307000,- -,- -,- -,4983000,5097000,5384000,5678000,798991000,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,28700000,26800000,42900000,45700000,58800000,71500000,66100000,60800000,103200000,80100000,69400000,24100000,27100000,47900000,48488000,47996000,51189000,52224000,74396000,143326000,139971000,171054000,280461000,275921000,264989000,355486000,403788000,460203000,484941000,798991000,1147418000,1055835000,977821000,985217000,730975000,704485000
71,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/318833/000089056696001065/0000890566-96-001065-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/318833/000095012902004406/0000950129-02-004406-index.html,- -,https://www.sec.gov/Archives/edgar/data/318833/000119312504146420/0001193125-04-146420-index.htm,https://www.sec.gov/Archives/edgar/data/318833/000119312505168774/0001193125-05-168774-index.htm,https://www.sec.gov/Archives/edgar/data/318833/000119312506172757/0001193125-06-172757-index.htm,https://www.sec.gov/Archives/edgar/data/318833/000119312507180806/0001193125-07-180806-index.htm,https://www.sec.gov/Archives/edgar/data/318833/000119312508161503/0001193125-08-161503-index.htm,https://www.sec.gov/Archives/edgar/data/318833/000119312509171986/0001193125-09-171986-index.htm,https://www.sec.gov/Archives/edgar/data/318833/000119312510181451/0001193125-10-181451-index.htm,https://www.sec.gov/Archives/edgar/data/318833/000119312511204994/0001193125-11-204994-index.htm,https://www.sec.gov/Archives/edgar/data/318833/000119312512340842/0001193125-12-340842-index.htm,https://www.sec.gov/Archives/edgar/data/318833/000119312513330880/0001193125-13-330880-index.htm,https://www.sec.gov/Archives/edgar/data/318833/000119312514303174/0001193125-14-303174-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/318833/000031883318000013/0000318833-18-000013-index.htm,https://www.sec.gov/Archives/edgar/data/318833/000031883319000014/0000318833-19-000014-index.htm,https://www.sec.gov/Archives/edgar/data/318833/000031883320000008/0000318833-20-000008-index.htm,https://www.sec.gov/Archives/edgar/data/318833/000031883321000018/0000318833-21-000018-index.htm,https://www.sec.gov/Archives/edgar/data/318833/000031883322000011/0000318833-22-000011-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,2400000,2900000,4700000,2000000,-11900000,1900000,-300000,-5900000,-9300000,800000,1400000,300000,1484000,2740000,3909000,4402000,5776000,4788000,10636000,15515000,23623000,22911000,12275000,26585000,32911000,32436000,29855000,40070000,-12676000,-104161000,-63146000,-32417000,-237203000,-186019000
74,Depreciation and Amortization,- -,- -,- -,2900000,2800000,4100000,5800000,3200000,3500000,4300000,4000000,3400000,1400000,1500000,2200000,2957000,2773000,2693000,2555000,2892000,6315000,6760000,8223000,11563000,12116000,12509000,14584000,17469000,19664000,21468000,22787000,48673000,52143000,64862000,49059000,45908000,41518000
75,Deferred Income Tax,- -,- -,- -,- -,600000,-800000,- -,-100000,-800000,-100000,-400000,-1900000,400000,600000,300000,71000,138000,-47000,312000,311000,655000,-482000,2085000,2299000,2350000,-782000,-1405000,-717000,5089000,-1040000,-729000,-4236000,-46540000,-31734000,3795000,-3974000,4521000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3931000,4239000,4838000,7313000,7876000,12256000,10055000,6307000,7013000
77,Change in Working Capital,- -,- -,- -,- -,5300000,2900000,-6100000,3100000,-8200000,2000000,-4200000,900000,1600000,2700000,-787000,1571000,2109000,1020000,7999000,21377000,130000,21010000,29950000,9666000,-2502000,23190000,26486000,17095000,-443000,23801000,24927000,31237000,-4360000,-34271000,-47963000,-16314000,18832000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7320000,4382000,- -,- -,-10964000,-6812000,-43192000,16518000,-39820000,15386000,- -,46147000,700000
79,Inventory,- -,- -,- -,- -,-900000,-900000,-1400000,-500000,-700000,800000,1000000,500000,-600000,-500000,400000,745000,-424000,-557000,-696000,-430000,-1073000,-667000,-993000,-3929000,-3461000,-311000,-1231000,-3629000,-1405000,822000,-925000,2119000,614000,-21000,9551000,2702000,528000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6545000,4324000,3578000,-5965000,3210000,-295000,10789000,8361000,6424000,-8994000,-5356000,3782000,1178000
81,Other Working Capital,- -,- -,- -,15800000,21100000,24000000,17900000,21000000,12800000,14800000,10600000,11500000,13100000,15800000,15013000,16584000,18693000,19713000,27712000,49089000,49219000,70229000,100179000,109845000,107343000,130533000,157019000,174114000,173671000,197472000,222399000,253636000,249276000,215005000,167042000,150728000,605000
