,https://roic.ai/company/PRAA,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
20,Income Before Tax,2540000,5626000,18538182,33912806,44839588,59931456,72205617,77899213,73746000,72703000,120875000,167463000,207033000,283065000,301013000,257522000,134083000,157539000,89497000,117359000,208945000,250326000
21,Income Before Tax Ratio,0.1314,0.1740,0.3319,0.3993,0.3954,0.4035,0.3834,0.3529,0.2801,0.2586,0.3243,0.3649,0.3492,0.3851,0.3417,0.2734,0.1614,0.1936,0.1023,0.1182,0.1961,0.2285
22,Income Tax expense (Gain),- -,- -,1473073,13199303,17388148,23159461,27715801,29658015,28384000,28397000,47004000,66319000,80934000,106146000,124508000,89391000,43191000,-11536000,13763000,19680000,41203000,54817000
23,Net Income,2540000,5626000,17065109,20713503,27451440,36771995,44489816,48241198,45362000,44306000,73454000,100791000,126593000,175314000,176505000,167926000,85097000,162265000,65563000,86158000,149339000,183158000
24,Net Income ratio,0.1314,0.1740,0.3056,0.2439,0.2421,0.2476,0.2362,0.2185,0.1723,0.1576,0.1971,0.2196,0.2136,0.2385,0.2004,0.1783,0.1025,0.1994,0.0749,0.0868,0.1402,0.1672
25,EPS,0.05,0.12,0.36,0.47,0.60,0.78,0.93,1.03,0.99,0.96,1.46,1.96,2.48,3.48,3.53,3.49,1.84,3.55,1.45,1.90,3.28,4.32
26,EPS Diluted,0.05,0.10,0.31,0.44,0.58,0.76,0.92,1.02,0.99,0.96,1.45,1.95,2.46,3.45,3.50,3.47,1.83,3.54,1.44,1.89,3.26,4.28
27,Weighted Average Shares Outstanding,30000000,30000000,31588356,43637955,46072425,46925586,47732385,46939110,45687000,46260000,50460000,51330000,50991000,50366000,49990000,48128000,46316000,45671000,45280000,45387000,45540000,45305000
28,Weighted Average Shares Outstanding Diluted,34098000,34374000,36198606,47135868,47558748,48446109,48245394,47336073,45876000,46362000,50655000,51690000,51369000,50873000,50421000,48405000,46388000,45823000,45413000,45577000,45860000,45656000
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1185348/000095013303000804/0000950133-03-000804-index.htm,https://www.sec.gov/Archives/edgar/data/1185348/000095013304000486/0000950133-04-000486-index.htm,https://www.sec.gov/Archives/edgar/data/1185348/000095013305001025/0000950133-05-001025-index.htm,https://www.sec.gov/Archives/edgar/data/1185348/000095013306001009/0000950133-06-001009-index.htm,https://www.sec.gov/Archives/edgar/data/1185348/000095013307000863/0000950133-07-000863-index.htm,https://www.sec.gov/Archives/edgar/data/1185348/000095013308000867/0000950133-08-000867-index.htm,https://www.sec.gov/Archives/edgar/data/1185348/000095013309000517/0000950133-09-000517-index.htm,https://www.sec.gov/Archives/edgar/data/1185348/000095012310013218/0000950123-10-013218-index.htm,https://www.sec.gov/Archives/edgar/data/1185348/000095012311018695/0000950123-11-018695-index.htm,https://www.sec.gov/Archives/edgar/data/1185348/000119312512085257/0001193125-12-085257-index.htm,https://www.sec.gov/Archives/edgar/data/1185348/000118534813000005/0001185348-13-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1185348/000118534814000002/0001185348-14-000002-index.htm,https://www.sec.gov/Archives/edgar/data/1185348/000118534815000008/0001185348-15-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1185348/000118534816000067/0001185348-16-000067-index.htm,https://www.sec.gov/Archives/edgar/data/1185348/000118534817000012/0001185348-17-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1185348/000118534818000008/0001185348-18-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1185348/000118534819000009/0001185348-19-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1185348/000118534820000004/0001185348-20-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1185348/000118534821000006/0001185348-21-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1185348/000118534822000005/0001185348-22-000005-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,3191000,4780000,17938730,24911841,24512575,15984855,25100834,16729918,13901000,20265000,41094000,26697000,32687000,162004000,39661000,71372000,94287000,120516000,98695000,119774000,108613000,87584000
32,Short-Term Investments,- -,- -,- -,- -,23950000,- -,- -,- -,- -,- -,- -,- -,- -,- -,89703000,73799000,68543000,78290000,- -,- -,- -,- -
33,Cash and Short-Term Investments,3191000,4780000,17938730,24911841,48462575,15984855,25100834,16729918,13901000,20265000,41094000,26697000,32687000,162004000,129364000,145171000,162830000,198806000,98695000,119774000,108613000,87584000
34,Net Receivables,- -,- -,65526235,351861,- -,- -,1512823,413318802,567417000,707091000,842625000,934596000,1089437000,1263260000,2014749000,2234601000,2329046000,2809377000,3147743000,3542689000,3549910000,3469431000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,-83447026,-25238790,-48438062,-15968870,-26588556,-430031990,- -,- -,- -,- -,- -,- -,-89703000,-73799000,-25300000,-78290000,- -,- -,12434000,- -
37,Total Current Assets,- -,- -,17939,24912,24513,15985,25101,16730,581318000,727356000,883719000,961293000,1122124000,1425264000,2054410000,2305973000,2466576000,2929893000,3246438000,3662463000,3670957000,3557015000
38,PP&E,- -,- -,3794254,5166380,5752489,7186418,11192974,16171346,23884000,21864000,24270000,25727000,25312000,31541000,48258000,45394000,38744000,49311000,54136000,125473000,111307000,111226000
39,Goodwill,- -,- -,- -,- -,6397138,18287511,18287511,18620277,27546000,29299000,61678000,61678000,109488000,103843000,527445000,495156000,499911000,526513000,464116000,480794000,492989000,480263000
40,Intangible Assets,- -,- -,- -,- -,6318838,9022666,6754014,5045610,13429000,10756000,18466000,14596000,20364000,15767000,10933000,23788000,27935000,23572000,5522000,4497000,- -,- -
41,Intangible Assets,- -,- -,- -,- -,12715976,27310177,25041525,23665887,40975000,40055000,80144000,76274000,129852000,119610000,538378000,518944000,527846000,550085000,469638000,485291000,492989000,480263000
42,Investments,- -,- -,- -,- -,23950000,- -,- -,- -,- -,- -,- -,- -,- -,- -,89703000,73799000,68543000,78290000,45173000,56176000,55759000,92977000
43,Tax Assets,- -,- -,- -,2009426,- -,- -,- -,- -,- -,- -,- -,- -,- -,1361000,6126000,13068000,28482000,57529000,61453000,63225000,83205000,67760000
44,Other Non-Current Assets,- -,- -,-254,119193053,132732991,213259666,257118831,436453527,11663000,5158000,7775000,7829000,11668000,23456000,41876000,39528000,33808000,32656000,32721000,31263000,38844000,57002000
45,Total Non-Current Assets,- -,- -,3794000,126368859,175151456,247756261,293353330,476290760,76522000,67077000,112189000,109830000,166832000,175968000,724341000,690733000,697423000,767871000,663121000,761428000,782104000,809228000
46,Other Assets,47188000,57108000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,47188000,57108000,3811939,126393771,175175969,247772246,293378431,476307490,657840000,794433000,995908000,1071123000,1288956000,1601232000,2778751000,2996706000,3163999000,3697764000,3909559000,4423891000,4453061000,4366243000
48,Accounts Payable,- -,- -,1363833,1290332,1413726,2332685,2891469,4055025,3438000,4108000,3227000,7439000,12155000,14819000,19456000,4190000,2459000,4992000,6110000,4258000,5294000,3821000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,268300000,319300000,300000000,220000000,127000000,- -,27704000,46991000,76113000,98580000,82666000,1789502000,1577596000,1167806000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,29692000,19276000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,5336167,4209668,20486274,33967315,42508531,68944975,102234000,133345000,185320000,229119000,34882000,27655000,68340000,116616000,106550000,96764000,94476000,199217000,259751000,271701000
53,Total Current Liabilities,- -,- -,6700000,5500000,21900000,36300000,45400000,73000000,373972000,456753000,488547000,456558000,174037000,42474000,115500000,167797000,185122000,200336000,183252000,1992977000,1842641000,1443328000
54,Long-Term Debt,532000,- -,965582,1656972,1924422,16151965,689892,168000000,- -,1499000,2396000,1246000,200542000,451780000,1482456000,1723268000,1784101000,2170182000,2473656000,1018923000,1083693000,1502096000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,286882,- -,13650722,22345995,33452670,57578782,- -,- -,- -,- -,185277000,210071000,255587000,261498000,258344000,171185000,114979000,85390000,40867000,36630000
57,Other Non-Current Liabilities,- -,- -,-252464,43028,-13675144,-22297960,-33442562,-57578782,5000,701000,- -,- -,20673000,27431000,22993000,4396000,19269000,18552000,13703000,99588000,112334000,59352000
58,Total Non-Current Liabilities,532000,- -,1000000,1700000,1900000,16200000,700000,168000000,5000,2200000,2396000,1246000,406492000,689282000,1761036000,1989162000,2061714000,2359919000,2602338000,1203901000,1236894000,1598078000
59,Other Liabilities,25015000,29356000,- -,3445725,- -,- -,1400164,336027827,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,499151,551325,576234,382658,242385,102835,5000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,73377000,57348000,61188000
61,Total Liabilities,24483000,29356000,7659769,7245725,23786529,52450071,46100164,241027827,373977000,458953000,490943000,457804000,580529000,731756000,1876536000,2156959000,2246836000,2560255000,2785590000,3196878000,3079535000,3041406000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,135200,152947,154982,157674,159874,151591,153000,155000,171000,171000,169000,498000,496000,462000,464000,452000,453000,454000,456000,410000
64,Retained Earnings,- -,- -,2163664,22877167,50328607,87100602,131590418,163684922,209047000,253353000,326807000,427598000,554191000,729505000,906010000,964270000,1049367000,1211632000,1276473000,1362631000,1511970000,1552845000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,-19356000,-25525000,-32697000,-40418000,3000000,4000000,-116000000,-229000000,-252000000,-179000000,-242000000,-261000000,-245791000,-266909000
66,Other Total Stockholders Equity,22705000,27752000,78308754,96117932,100905851,108063899,115527975,71443150,94019000,107497000,196235000,208137000,151067000,135473000,111709000,64761000,66470000,54263000,60194000,67303000,75282000,- -
67,Total Stockholders Equity,22705000,27752000,80607618,119148046,151389440,195322175,247278267,235279663,283863000,335480000,490516000,595488000,708427000,869476000,902215000,800493000,864301000,1087347000,1095120000,1169388000,1341917000,1286346000
68,Total Liabilities And Stockholders Equity,47188000,57108000,88267387,126393771,175175969,247772246,293378431,476307490,657840000,794433000,981459000,1053292000,1288956000,1601232000,2778751000,2957452000,3111137000,3647602000,3880710000,4366266000,4421452000,4327752000
69,Minority Interest,- -,- -,-84455448,- -,- -,- -,- -,- -,- -,- -,14449000,17831000,- -,- -,- -,39254000,52862000,50162000,28849000,57625000,31609000,38491000
70,Total Liabilities & Equity,47188000,57108000,3811939,126393771,175175969,247772246,293378431,476307490,657840000,794433000,995908000,1071123000,1288956000,1601232000,2778751000,2996706000,3163999000,3697764000,3909559000,4423891000,4453061000,4366243000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1185348/000095013303000804/0000950133-03-000804-index.htm,https://www.sec.gov/Archives/edgar/data/1185348/000095013304000486/0000950133-04-000486-index.htm,https://www.sec.gov/Archives/edgar/data/1185348/000095013305001025/0000950133-05-001025-index.htm,https://www.sec.gov/Archives/edgar/data/1185348/000095013306001009/0000950133-06-001009-index.htm,https://www.sec.gov/Archives/edgar/data/1185348/000095013307000863/0000950133-07-000863-index.htm,https://www.sec.gov/Archives/edgar/data/1185348/000095013308000867/0000950133-08-000867-index.htm,https://www.sec.gov/Archives/edgar/data/1185348/000095013309000517/0000950133-09-000517-index.htm,https://www.sec.gov/Archives/edgar/data/1185348/000095012310013218/0000950123-10-013218-index.htm,https://www.sec.gov/Archives/edgar/data/1185348/000095012311018695/0000950123-11-018695-index.htm,https://www.sec.gov/Archives/edgar/data/1185348/000119312512085257/0001193125-12-085257-index.htm,https://www.sec.gov/Archives/edgar/data/1185348/000118534813000005/0001185348-13-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1185348/000118534814000002/0001185348-14-000002-index.htm,https://www.sec.gov/Archives/edgar/data/1185348/000118534815000008/0001185348-15-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1185348/000118534816000067/0001185348-16-000067-index.htm,https://www.sec.gov/Archives/edgar/data/1185348/000118534817000012/0001185348-17-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1185348/000118534818000008/0001185348-18-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1185348/000118534819000009/0001185348-19-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1185348/000118534820000004/0001185348-20-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1185348/000118534821000006/0001185348-21-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1185348/000118534822000005/0001185348-22-000005-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,17065109,20713503,27451440,36771995,44489816,48241198,45362000,44306000,73454000,100791000,126593000,175314000,176505000,167926000,85097000,162265000,65563000,86158000,149339000,183158000
74,Depreciation and Amortization,- -,- -,940352,1444825,2382896,4678598,5130628,5517090,7424000,9213000,12437000,12943000,14515000,14385000,18414000,19874000,24359000,19763000,19322000,17464000,18465000,15256000
75,Deferred Income Tax,- -,- -,286882,-2296308,15660148,8695272,11106675,24126112,30854000,28927000,47493000,28927000,-8621000,11011000,52978000,-8569000,-21700000,-130822000,-56208000,-37561000,-58503000,6803000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11282000,12272000,14968000,16325000,6138000,8678000,8521000,10717000,14387000,15940000
77,Change in Working Capital,- -,- -,- -,1206973,-16400399,-14408528,-9090884,-27608371,280329270,63257000,124569000,109563000,443352000,434703000,556120000,199266000,143278000,448103000,333629000,-1393700000,158830000,11407000
78,Accounts Receivable,- -,- -,-106379,-356510,-820317,-215371,-436654,-2338757,- -,-891000,237000,1070000,-474000,-1786000,- -,- -,- -,- -,- -,- -,-2215000,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,3382200,45477,2415502,1891691,1627399,3553993,-1167000,670000,-881000,4212000,1049000,2556000,-13934000,786000,-2087000,2743000,1321000,-2070000,914000,-1323000
81,Other Working Capital,- -,- -,-6682061,-5475088,-21875487,-36284015,-45374899,-72983270,207346000,270603000,395172000,504735000,948087000,1382790000,1938910000,2138176000,2281454000,2729557000,3063186000,1669486000,1828316000,82000
82,Other Non-Cash Items,- -,- -,3549011,14011896,20191098,22117036,7830554,30079475,-282251270,-60418000,-114372000,-79199000,-455709000,-422558000,-556912000,-208157000,-134142000,-507144000,-289961000,1450310000,-140814000,-147639000
83,Cash Provided by Operating Activities,- -,- -,21841354,35080889,49285183,57854373,59466789,80355504,81718000,85285000,143581000,173025000,131412000,225127000,262073000,186665000,103030000,843000,80866000,133388000,141704000,84925000
84,CAPEX,- -,- -,-1316132,-2454138,-2090934,-3484415,-6868532,-8661058,-6139000,-4521000,-9546000,-9634000,-7115000,-15875000,-24385000,-14454000,-14160000,-22840000,-20521000,-18033000,-17230000,-11212000
85,Acquisitions Net,- -,- -,- -,- -,- -,-15000000,- -,- -,-26000000,- -,-23000000,-400000000,-149000000,-639000000,-1534000000,-1000000,-60000000,93000000,5000000,-26000000,- -,-647000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,-282023000,-357530000,- -,-457068000,- -,-69862000,-48085000,-6052000,-6688000,-42622000,-83291000,-45229000,-110915000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,152391000,219662000,303595000,378049000,- -,25821000,62217000,6898000,10123000,43440000,75008000,43391000,68904000
88,Other Investing Activites,- -,- -,-17439335,-27042322,-48717248,-64489096,-32802825,-184257865,-153574000,-100000,-117000,1283000,29553000,479275000,571714000,-281004000,-144177000,-353923000,-372548000,-388874000,134071000,214246000
89,Cash Used for Investing Activites,- -,- -,-18755467,-29496460,-50808182,-82973511,-39671357,-192918923,-185713000,-134253000,-170531000,-104756000,-205581000,-175600000,-1030712000,-282326000,-217491000,-280328000,-387251000,-441190000,115003000,160376000
90,Debt Repayment,- -,- -,-29365060,-594249,-754550,-966033,-15602346,-829442,-71098000,-73042000,-201291000,-113150000,-187704000,-349542000,-493281000,-511107000,-1200814000,-1564854000,-413348000,-1041447000,-1854628000,-1173075000
91,Common Stock Issued,- -,- -,40589884,1394895,1128283,2557451,2502625,2074242,- -,- -,71688000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,-50556924,- -,- -,- -,- -,-22735000,-58511000,-33164000,-165501000,- -,-44909000,- -,- -,- -,-200887000
93,Dividends Paid,- -,- -,-5549530,- -,- -,- -,- -,-16069694,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,4397150,588036,750000,15000000,2420268,169574321,172264000,128374000,177382000,30484000,291144000,487855000,1174404000,813074000,1298076000,1905461000,708274000,1380970000,1602528000,1111150000
95,Cash Used/Provided by Financing Activities,- -,- -,10072444,1388682,1123733,16591418,-10679453,104192503,101166000,55332000,47779000,-82666000,80705000,79802000,647959000,136466000,97262000,295698000,294926000,339523000,-252100000,-262812000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-546000,-12000,-1663000,-9094000,40114000,10016000,-10362000,-6609000,-7367000,-14464000
97,Net Change In Cash,- -,- -,13158331,6973111,-399266,-8527720,9115979,-8370916,-2829000,6364000,20829000,-14397000,5990000,129317000,-122343000,31711000,22915000,26229000,-21821000,25112000,-2760000,-31975000
98,Cash at the End of Period,- -,- -,17938730,24911841,24512575,15984855,25100834,16729918,13901000,20265000,41094000,26697000,32687000,162004000,39661000,71372000,94287000,120516000,98695000,123807000,121047000,89072000
99,Cash at the Beginning of Period,- -,- -,4780399,17938730,24911841,24512575,15984855,25100834,16730000,13901000,20265000,41094000,26697000,32687000,162004000,39661000,71372000,94287000,120516000,98695000,123807000,121047000
100,Free Cash Flow,- -,- -,20525222,32626751,47194249,54369958,52598257,71694446,75579000,80764000,134035000,163391000,124297000,209252000,237688000,172211000,88870000,-21997000,60345000,115355000,124474000,73713000
101,SEC Link,undefined,undefined,https://www.sec.gov/Archives/edgar/data/1185348/000095013303000804/0000950133-03-000804-index.htm,https://www.sec.gov/Archives/edgar/data/1185348/000095013304000486/0000950133-04-000486-index.htm,https://www.sec.gov/Archives/edgar/data/1185348/000095013305001025/0000950133-05-001025-index.htm,https://www.sec.gov/Archives/edgar/data/1185348/000095013306001009/0000950133-06-001009-index.htm,https://www.sec.gov/Archives/edgar/data/1185348/000095013307000863/0000950133-07-000863-index.htm,https://www.sec.gov/Archives/edgar/data/1185348/000095013308000867/0000950133-08-000867-index.htm,https://www.sec.gov/Archives/edgar/data/1185348/000095013309000517/0000950133-09-000517-index.htm,https://www.sec.gov/Archives/edgar/data/1185348/000095012310013218/0000950123-10-013218-index.htm,https://www.sec.gov/Archives/edgar/data/1185348/000095012311018695/0000950123-11-018695-index.htm,https://www.sec.gov/Archives/edgar/data/1185348/000119312512085257/0001193125-12-085257-index.htm,https://www.sec.gov/Archives/edgar/data/1185348/000118534813000005/0001185348-13-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1185348/000118534814000002/0001185348-14-000002-index.htm,https://www.sec.gov/Archives/edgar/data/1185348/000118534815000008/0001185348-15-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1185348/000118534816000067/0001185348-16-000067-index.htm,https://www.sec.gov/Archives/edgar/data/1185348/000118534817000012/0001185348-17-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1185348/000118534818000008/0001185348-18-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1185348/000118534819000009/0001185348-19-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1185348/000118534820000004/0001185348-20-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1185348/000118534821000006/0001185348-21-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1185348/000118534822000005/0001185348-22-000005-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,
