,https://roic.ai/company/ASR,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,501757437,492115827,530887040,560309186,653297270,719055186,789257000,873688768,974909000,1005292000,821180000,859526000,181644000,178560000,170231000,196990000,204843000,204418000,100627000,45464000,74054000,3599101000
11,COGS and Expenses,771680261,780307827,874809040,930041186,1120642270,1255430186,1409293000,1617330768,1785010000,1793854000,2511146000,2478811000,2589972000,2574977000,2718230000,4921700000,4820892000,11112985000,7631272000,8340343000,9348555000,10126987000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,106482000,137454000,43841000,54444000,66727000,92075000,136043000,121369000,155718000,184569000,245787000,280623000,343612000,262370000,202146000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,20156000,39874000,39420000,22363000,76291000,81814000,97017000,126186000,618831000,1230651000,1084293000,926312000,842386000
14,Depreciation and Amortization,-290302517,302938000,335100000,354625000,399547000,434080000,487788000,540821000,601513000,629507000,379210000,382740000,401545000,418273000,454265000,468996000,529660000,1166114000,1760741000,1836897000,1934766000,1993342000
15,EBITDA,82047238,708385000,706899000,862752000,1190737000,1247252000,1317016000,1208710000,2149748000,1991765000,2169225000,2567586000,3008605000,3240862000,3618483000,4579870000,5687224000,9255808000,9775886000,10365114000,5562552000,10547982000
16,EBITDA ratio,0.0708,0.6084,0.5698,0.5883,0.6026,0.6043,0.5882,0.4339,0.6784,0.6361,0.5122,0.5614,0.5876,0.5951,0.6155,0.5092,0.5831,0.7352,0.6344,0.6162,0.4406,0.5615
17,Operating Income,386647247,377244000,355171000,501834000,837610000,799389000,829668000,1166170000,1383697000,1337330000,1724326000,2094495000,2529919000,2871109000,3160933000,4072897000,4932599000,1476833000,7778969000,8481295000,3276176000,8657674000
18,Operating Income ratio,0.3338,0.3240,0.2863,0.3422,0.4239,0.3873,0.3706,0.4186,0.4367,0.4271,0.4071,0.4580,0.4941,0.5272,0.5377,0.4528,0.5057,0.1173,0.5048,0.5042,0.2595,0.4609
19,Total Other Income Expenses (Gains),-14297493,34893000,27170000,24213000,-28706000,22747000,15214000,12759000,164538000,4772000,25815000,50931000,54778000,-124811000,-78529000,-59040000,98779000,6909711000,-862270000,-819558000,-420484000,-531639000
20,Income Before Tax,372349755,412137000,382341000,526047000,808904000,822136000,844882000,1178929000,1548235000,1342102000,1750141000,2145426000,2584697000,2746298000,3082404000,4013857000,5031378000,8386544000,6916699000,7661737000,2855692000,8126035000
21,Income Before Tax Ratio,0.3215,0.3540,0.3082,0.3587,0.4094,0.3984,0.3774,0.4232,0.4886,0.4286,0.4132,0.4691,0.5048,0.5043,0.5243,0.4463,0.5159,0.6661,0.4488,0.4555,0.2262,0.4326
22,Income Tax expense (Gain),162912626,152697000,151514000,231936000,184198000,249983000,301113000,145528000,498766000,544692000,474998000,553070000,509369000,449425000,798681000,1100122000,1402116000,1636379000,1796893000,1978102000,729155000,1728507000
23,Net Income,209437128,252750000,220285000,276191000,606992000,563189000,528115000,522361000,1049469000,797410000,1275143000,1592356000,2075328000,2296873000,2283723000,2913735000,3629262000,5834484000,4987601000,5465822000,1972319000,5983747000
24,Net Income ratio,0.1808,0.2171,0.1776,0.1883,0.3072,0.2729,0.2359,0.1875,0.3312,0.2547,0.3011,0.3482,0.4053,0.4217,0.3884,0.3239,0.3721,0.4634,0.3237,0.3249,0.1562,0.3185
25,EPS,7.00,8.40,7.30,9.20,20.20,18.80,17.60,17.40,35.00,26.58,42.50,53.10,69.18,76.56,76.12,97.10,120.97,194.48,166.25,182.19,65.74,199.46
26,EPS Diluted,7.00,8.40,7.30,9.20,20.20,18.80,17.60,17.40,34.98,26.58,42.50,53.10,69.18,76.56,76.12,97.10,120.97,194.48,166.25,182.19,65.74,199.46
27,Weighted Average Shares Outstanding,30000000,20000000,30176027,30020761,30049109,29956862,30000000,30020747,30000000,30000376,30003365,29987872,29999827,30000170,30000053,30000000,30000099,29999969,30000066,30000016,29999985,29999985
28,Weighted Average Shares Outstanding Diluted,30000000,20000000,30176027,30020761,30049109,32371539,30000000,30020747,30000000,30000376,30003365,29987872,29999827,30000170,30000053,30000000,30000099,29999969,30000066,30000016,29999985,30000035
29,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1123452/000095012307009470/0000950123-07-009470-index.htm,https://www.sec.gov/Archives/edgar/data/1123452/000136231008003322/0001362310-08-003322-index.htm,https://www.sec.gov/Archives/edgar/data/1123452/000095012309013000/0000950123-09-013000-index.htm,https://www.sec.gov/Archives/edgar/data/1123452/000095012310054312/0000950123-10-054312-index.htm,https://www.sec.gov/Archives/edgar/data/1123452/000095012311045618/0000950123-11-045618-index.htm,https://www.sec.gov/Archives/edgar/data/1123452/000110465912022892/0001104659-12-022892-index.htm,https://www.sec.gov/Archives/edgar/data/1123452/000110465913028962/0001104659-13-028962-index.htm,https://www.sec.gov/Archives/edgar/data/1123452/000110465914026675/0001104659-14-026675-index.htm,https://www.sec.gov/Archives/edgar/data/1123452/000110465915027282/0001104659-15-027282-index.htm,https://www.sec.gov/Archives/edgar/data/1123452/000110465916111773/0001104659-16-111773-index.htm,https://www.sec.gov/Archives/edgar/data/1123452/000110465917027871/0001104659-17-027871-index.htm,https://www.sec.gov/Archives/edgar/data/1123452/000110465918026696/0001104659-18-026696-index.htm,https://www.sec.gov/Archives/edgar/data/1123452/000110465919023740/0001104659-19-023740-index.htm,https://www.sec.gov/Archives/edgar/data/1123452/000110465920045240/0001104659-20-045240-index.htm,https://www.sec.gov/Archives/edgar/data/1123452/000110465921049375/0001104659-21-049375-index.htm,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,559447051,879836766,500461728,711014519,1163835976,1538012712,1241678000,1925697000,1925697000,961404000,1442879000,1529667000,2265427000,1259562000,2855362000,2084160000,3497635000,4677454000,4584507000,6192679000,5192628000,8770062000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,559447051,879836766,500461728,711014519,1163835976,1538012712,1241678000,1925697000,1925697000,961404000,1442879000,1529667000,2265427000,1259562000,2855362000,2084160000,3497635000,4677454000,4584507000,6192679000,5192628000,8770062000
34,Net Receivables,95335835,129353000,166214000,170489000,212296000,162814000,399012000,279415000,607913000,375165000,1226609000,462102000,814239000,1217315000,963864000,664095000,576610000,768393000,1138840000,1233823000,2262551000,2660171000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18658000,22557000,24392000,50239000,48704000,49667000,34023000,- -
36,Other Current Assets,18813502,59979235,56071272,140272481,58945024,157771288,- -,328498000,- -,746594000,- -,821438000,85117000,77237000,66032000,214717000,134381000,291776000,228861000,369687000,226847000,123081000
37,Total Current Assets,673596387,1069169000,722747000,1021776000,1435077000,1858598000,1640690000,2533610000,2533610000,2083163000,2669488000,2813207000,3164783000,2554114000,3903916000,2985529000,4233018000,5787862000,6000912000,7845856000,7716049000,11553314000
38,PP&E,269769088,7991835000,8459560000,8850040000,9403198000,7873881000,3149358000,3670223000,541604000,980851000,305629000,306504000,314634000,322072000,322613000,321913000,323099000,473238000,558480000,520623000,504385000,184590000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2577458000,-7827729000,2567365000,2567365000,- -
40,Intangible Assets,2050191263,2064161000,- -,- -,2148296000,2098322000,10151353000,10254806000,10254806000,9685620000,14945330000,15405490000,15629821000,15790796000,16509356000,19022311000,20284126000,47775545000,57414051000,46558673000,49614946000,- -
41,Intangible Assets,2050191263,2064161000,2101127000,2110438000,2148296000,2098322000,10151353000,10254806000,10254806000,9685620000,14945330000,15405490000,15629821000,15790796000,16509356000,19022311000,20284126000,50353003000,49586322000,49126038000,52182311000,53973349000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1400957000,1621028000,1944708000,2489302000,- -,- -,- -,8466000,10689000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,217442000,217442000,287343000,87449000,204987000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,7266729460,- -,- -,- -,67959000,2232621000,- -,- -,3128619000,3658731000,206019000,73082000,- -,1348555000,1567608000,1851423000,1886546000,- -,36107000,23364000,- -,108786000
45,Total Non-Current Assets,9586689811,10055996000,10560687000,10960478000,11619453000,12204824000,13300711000,14142471000,14142471000,14612545000,15544427000,15990063000,15944455000,18862380000,20020605000,23140355000,24983073000,50826241000,50180909000,49670025000,52695162000,54277414000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,10260286198,11125165000,11283434000,11982254000,13054530000,14063422000,14941401000,16676081000,16676081000,16695708000,18213915000,18803270000,19109238000,21416494000,23924521000,26125884000,29216091000,56614103000,56181821000,57515881000,60411211000,65830728000
48,Accounts Payable,11443759,1281000,2488000,10192000,11000000,21945000,6244000,17073000,17073000,8145000,10738000,28876000,142939000,66134000,70439000,137303000,83783000,782068000,455237000,380221000,750751000,290689000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,222517000,243102000,374640000,281612000,41804000,29945000,39893000,58336000,173471000,500105000,570029000,1155986000,578144000
50,Tax Payable,- -,- -,- -,- -,- -,- -,31776000,- -,96880000,39610000,- -,- -,113282000,376764000,73745000,101726000,176256000,290703000,266889000,386656000,87107000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,64242632,79389000,120327000,145742000,180728000,330918000,239097000,299929000,299929000,168820000,242820000,335098000,270429000,560030000,301259000,329499000,451064000,1453110000,1452880000,1609770000,860350000,2917565000
53,Total Current Liabilities,75686391,80670000,122815000,155934000,191728000,352863000,245341000,317002000,317002000,399482000,496660000,738614000,694980000,667968000,401643000,506695000,593183000,2408649000,2408222000,2560020000,2767087000,3786398000
54,Long-Term Debt,- -,385000,652000,608000,489000,6293000,- -,- -,- -,329836000,647503000,321950000,33333000,2799058000,3157357000,3678128000,4402440000,17470559000,14000276000,13163286000,12761596000,13201403000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,212617552,337648350,391552416,478706850,536248729,680501108,903448000,1138475000,1845058000,2099036000,2262478000,2239713000,1903844000,1658395000,1606245000,1523722000,1456020000,3033930000,3081668000,3004584000,3165145000,3044632000
57,Other Non-Current Liabilities,9609,35600651,-2843416,-441850,-241729,-1963108,7511000,715077000,8494000,9659000,11817000,15180000,6086000,6857000,8180000,9288000,10494000,12664000,10266000,16814000,24177000,28239000
58,Total Non-Current Liabilities,212627160,373634000,389361000,478873000,536496000,684831000,910959000,1853552000,1853552000,2438531000,2921798000,2576843000,1943263000,4464310000,4771782000,5211138000,5868954000,20517153000,17092210000,16184684000,15950918000,16274274000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20422000,17236000,- -
61,Total Liabilities,288313551,454304000,512176000,634807000,728224000,1037694000,1156300000,2170554000,2170554000,2838013000,3418458000,3315457000,2638243000,5132278000,5173425000,5717833000,6462137000,22925802000,19500432000,18744704000,18718005000,20060672000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,9498723719,9923688000,10489386000,10906498000,11472638000,11854992000,- -,12799204000,- -,12799204000,12799204000,12799204000,7767276000,7767276000,7767276000,7767276000,7767276000,7767276000,7767276000,7767276000,7767276000,7767276000
64,Retained Earnings,460623320,680158000,243191000,389278000,624869000,563189000,534251000,1538397000,1538397000,811974000,1709136000,2337734000,6436291000,6049166000,7785506000,7720476000,8155159000,9949654000,9919989000,10438563000,12131610000,27106158000
65,Other Comprehensive Income/Loss,-46937669,-72907912,-118557120,-180133118,-1651127081,-370945493,135686000,-811736000,167926000,-286192000,-1401292000,-23071000,2267428000,2467774000,3198314000,4920299000,6831519000,8323148000,11418920000,12952317000,13767098000,2303117000
66,Other Total Stockholders Equity,59563277,139922912,157238120,231804118,1879926081,978492493,- -,979662000,- -,532709000,1688409000,373946000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
67,Total Stockholders Equity,9971972647,10670861000,10771258000,11347447000,12326306000,13025728000,13785101000,14505527000,14505527000,13857695000,14795457000,15487813000,16470995000,16284216000,18751096000,20408051000,22753954000,26040078000,29106185000,31158156000,33665984000,37176551000
68,Total Liabilities And Stockholders Equity,10260286198,11125165000,11283434000,11982254000,13054530000,14063422000,14941401000,16676081000,16676081000,16695708000,18213915000,18803270000,19109238000,21416494000,23924521000,26125884000,29216091000,48965880000,48606617000,49902860000,52383989000,57237223000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7648223000,7575204000,7613021000,8027222000,8593505000
70,Total Liabilities & Equity,10260286198,11125165000,11283434000,11982254000,13054530000,14063422000,14941401000,16676081000,16676081000,16695708000,18213915000,18803270000,19109238000,21416494000,23924521000,26125884000,29216091000,56614103000,56181821000,57515881000,60411211000,65830728000
71,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1123452/000095012307009470/0000950123-07-009470-index.htm,https://www.sec.gov/Archives/edgar/data/1123452/000136231008003322/0001362310-08-003322-index.htm,https://www.sec.gov/Archives/edgar/data/1123452/000095012309013000/0000950123-09-013000-index.htm,https://www.sec.gov/Archives/edgar/data/1123452/000095012310054312/0000950123-10-054312-index.htm,https://www.sec.gov/Archives/edgar/data/1123452/000095012311045618/0000950123-11-045618-index.htm,https://www.sec.gov/Archives/edgar/data/1123452/000110465912022892/0001104659-12-022892-index.htm,https://www.sec.gov/Archives/edgar/data/1123452/000110465913028962/0001104659-13-028962-index.htm,https://www.sec.gov/Archives/edgar/data/1123452/000110465914026675/0001104659-14-026675-index.htm,https://www.sec.gov/Archives/edgar/data/1123452/000110465915027282/0001104659-15-027282-index.htm,https://www.sec.gov/Archives/edgar/data/1123452/000110465916111773/0001104659-16-111773-index.htm,https://www.sec.gov/Archives/edgar/data/1123452/000110465917027871/0001104659-17-027871-index.htm,https://www.sec.gov/Archives/edgar/data/1123452/000110465918026696/0001104659-18-026696-index.htm,https://www.sec.gov/Archives/edgar/data/1123452/000110465919023740/0001104659-19-023740-index.htm,https://www.sec.gov/Archives/edgar/data/1123452/000110465920045240/0001104659-20-045240-index.htm,https://www.sec.gov/Archives/edgar/data/1123452/000110465921049375/0001104659-21-049375-index.htm,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,209437128,252750000,220285000,276191000,606992000,563189000,528115000,522361000,1049469000,797410000,1275143000,1592356000,2075328000,2296873000,2283723000,2913735000,3629262000,5834484000,4987601000,5465822000,1972319000,5983747000
74,Depreciation and Amortization,-290302517,302938000,335100000,354625000,399547000,434080000,487788000,540821000,601513000,629507000,379210000,382740000,401545000,418273000,454265000,468996000,529660000,1166114000,1760741000,1836897000,1934766000,1993342000
75,Deferred Income Tax,173184145,- -,120869664,186909179,132693888,214327372,279434000,80890000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,38712767,94751834,-79612104,-152146894,-16370590,26713039,-263711000,102365604,-417401000,-534956000,-227147000,-289196000,289737000,-14516000,410848000,358605000,385813000,552638000,431401000,430581000,-371450000,432935000
78,Accounts Receivable,16738059,-29788457,-29707296,2337348,-32972826,56719950,-66128000,-35020000,-81785000,-13965000,-14795000,-72142000,-91130000,-23171000,17602000,30194000,-45258000,-51155000,-107608000,-125309000,-452636000,-760499000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,4343056,-10690471,1140576,7607618,49715620,171808685,- -,68694604,- -,- -,- -,- -,-129418000,-3839000,21407000,11802000,94586000,154791000,490827000,333715000,209534000,1502387000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,178321000,-24986000,46428000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
82,Other Non-Cash Items,580624251,-12802834,-35438560,-9003285,-44298,-36411,- -,376188396,321591000,474135000,420070000,485386000,-117366000,-321116000,-439835000,-87759000,-35348000,-1522101000,516577000,768392000,-598492000,1853145000
83,Cash Provided by Operating Activities,711655774,637637000,561204000,656575000,1122818000,1238273000,1031626000,1622626000,1555172000,1366096000,1847276000,2171286000,2649244000,2379514000,2709001000,3653577000,4509387000,6031135000,7696320000,8501692000,2937143000,10263169000
84,CAPEX,-211291575,-343341000,-265071000,-334468000,-411954000,-632205000,-1088980000,- -,-935772000,-676665000,-719904000,-757894000,-631083000,-615853000,-1156314000,-2906567000,-1814482000,-1471418000,-1636325000,-2614864000,-3328560000,-3676719000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1508002000,- -,- -,- -,-3935467000,-206379000,- -,-10556000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-439113000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,302372000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,-77626000,- -,- -,-665160000,139679000,-234236000,493557000,66727000,92075000,-1184184000,121369000,90013000,447786000,445732000,530747000,224691000,463116000,264923000
89,Cash Used for Investing Activites,-211291575,-343341000,-265071000,-334468000,-489580000,-632205000,-1088980000,-665160000,-796093000,-608529000,-665460000,-691167000,-539008000,-3308039000,-1034945000,-2816554000,-1366696000,-4961153000,-1311957000,-2390173000,-2876000000,-3411796000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-574621000,-243331000,-381107000,-2271438000,-16668000,- -,- -,-5442245000,-3090124000,-363106000,-485558000,-4588425000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,-469308000,-155965000,-176721000,-192199000,-210663000,-231249000,-600000000,-1884000000,-750000000,-1200000000,-1080000000,-2520000000,- -,-1530000000,-1683000000,-1848000000,-2034000000,-3000000000,- -,-2463000000
94,Other Financing Activites,-295298952,- -,-258874000,27642000,-40441000,-82373000,-86048000,-88873000,-351264000,354325000,624280000,50000000,-22363000,4714098000,-81814000,-97017000,-106873000,7371778000,-1352540000,-1064764000,-656752000,3741302000
95,Cash Used/Provided by Financing Activities,-295298952,- -,-728182000,-128323000,-217162000,-274572000,-296711000,-320122000,-951264000,-1529675000,-700341000,-1393331000,-1483470000,-77340000,-98482000,-1627017000,-1789873000,81533000,-6476664000,-4427870000,-1142310000,-3310123000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20226000,18792000,60657000,28304000,-646000,-75477000,81116000,36184000
97,Net Change In Cash,205065247,294296000,-432049000,193784000,416076000,331496000,-354065000,637344000,-192185000,-772108000,481475000,86788000,626766000,-1005865000,1595800000,-771202000,1413475000,1179819000,-92947000,1608172000,-1000051000,3577434000
98,Cash at the End of Period,559456659,878778000,496827000,710367000,1163317000,1533583000,1241678000,1925697000,1733512000,961404000,1442879000,1529667000,2265427000,1259562000,2855362000,2084160000,3497635000,4677454000,4584507000,6192679000,5192628000,8770062000
99,Cash at the Beginning of Period,354391412,584482000,928876000,516583000,747241000,1202087000,1595743000,1288353000,1925697000,1733512000,961404000,1442879000,1638661000,2265427000,1259562000,2855362000,2084160000,3497635000,4677454000,4584507000,6192679000,5192628000
100,Free Cash Flow,500364200,294296000,296133000,322107000,710864000,606068000,-57354000,1622626000,619400000,689431000,1127372000,1413392000,2018161000,1763661000,1552687000,747010000,2694905000,4559717000,6059995000,5886828000,-391417000,6586450000
101,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1123452/000095012307009470/0000950123-07-009470-index.htm,https://www.sec.gov/Archives/edgar/data/1123452/000136231008003322/0001362310-08-003322-index.htm,https://www.sec.gov/Archives/edgar/data/1123452/000095012309013000/0000950123-09-013000-index.htm,https://www.sec.gov/Archives/edgar/data/1123452/000095012310054312/0000950123-10-054312-index.htm,https://www.sec.gov/Archives/edgar/data/1123452/000095012311045618/0000950123-11-045618-index.htm,https://www.sec.gov/Archives/edgar/data/1123452/000110465912022892/0001104659-12-022892-index.htm,https://www.sec.gov/Archives/edgar/data/1123452/000110465913028962/0001104659-13-028962-index.htm,https://www.sec.gov/Archives/edgar/data/1123452/000110465914026675/0001104659-14-026675-index.htm,https://www.sec.gov/Archives/edgar/data/1123452/000110465915027282/0001104659-15-027282-index.htm,https://www.sec.gov/Archives/edgar/data/1123452/000110465916111773/0001104659-16-111773-index.htm,https://www.sec.gov/Archives/edgar/data/1123452/000110465917027871/0001104659-17-027871-index.htm,https://www.sec.gov/Archives/edgar/data/1123452/000110465918026696/0001104659-18-026696-index.htm,https://www.sec.gov/Archives/edgar/data/1123452/000110465919023740/0001104659-19-023740-index.htm,https://www.sec.gov/Archives/edgar/data/1123452/000110465920045240/0001104659-20-045240-index.htm,https://www.sec.gov/Archives/edgar/data/1123452/000110465921049375/0001104659-21-049375-index.htm,- -
102,Forex Rate,0.1037,0.1093,0.0964,0.089,0.0898,0.0941,0.0926,0.0916,0.0727,0.0765,0.08088,0.07162,0.07782,0.07668,0.06778,0.05817,0.04822,0.05087,0.05088,0.0528,0.05024,0.04877
