,https://roic.ai/company/PDEX,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
25,EPS,-1.38,-3.09,-1.20,0.54,0.30,0.24,0.06,0.36,0.15,0.39,-0.54,0.12,-3.06,0.54,0.96,-0.54,0.06,0.39,0.60,0.27,0.15,0.09,-0.87,-0.92,0.81,-0.27,-0.54,-0.14,-0.09,0.20,1.26,0.38,0.99,1.56,1.17
26,EPS Diluted,-1.38,-3.09,-1.20,0.54,0.30,0.24,0.06,0.36,0.15,0.39,-0.54,0.12,-3.06,0.51,0.96,-0.54,0.03,0.36,0.57,0.24,0.15,0.09,-0.87,-0.92,0.80,-0.27,-0.54,-0.14,-0.09,0.20,1.25,0.37,0.97,1.50,1.13
27,Weighted Average Shares Outstanding,289855,388349,416666,555555,666666,1249999,1666665,1666665,1999998,2973893,3003368,2946330,2919605,2929097,2929097,2929097,2914522,2933156,3035612,3167547,3193015,3245413,3236915,3232850,3264936,3272350,3321732,3493151,4169326,4141353,4040308,4304602,4192365,3910940,3796516
28,Weighted Average Shares Outstanding Diluted,289855,388349,416666,555555,666666,1249999,1666665,1666665,1999998,2973893,3026996,2974663,2928997,2983097,2929097,2929097,3013627,3109137,3216990,3329519,3246343,3308113,3236915,3232850,3287415,3272350,3321732,3493151,4169326,4173556,4077575,4344765,4298332,4078087,3936194
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/788920/000100329701500234/prodex10k.htm,https://www.sec.gov/Archives/edgar/data/788920/000100329702000197/prodex10k1.htm,https://www.sec.gov/Archives/edgar/data/788920/000100329703000373/pdex10k1.htm,https://www.sec.gov/Archives/edgar/data/788920/000100329704000407/pdex10k.htm,https://www.sec.gov/Archives/edgar/data/788920/000100329705000311/pdex10k1.htm,https://www.sec.gov/Archives/edgar/data/788920/000100329706000381/pdex10k1.htm,https://www.sec.gov/Archives/edgar/data/788920/000100329707000252/esform10ksb.htm,https://www.sec.gov/Archives/edgar/data/788920/000100329708000207/esprodex10kv1.htm,https://www.sec.gov/Archives/edgar/data/788920/000100329709000203/0001003297-09-000203-index.html,https://www.sec.gov/Archives/edgar/data/788920/000100329710000227/0001003297-10-000227-index.html,https://www.sec.gov/Archives/edgar/data/788920/000119312511248026/0001193125-11-248026-index.html,https://www.sec.gov/Archives/edgar/data/788920/000119312512389350/0001193125-12-389350-index.html,https://www.sec.gov/Archives/edgar/data/788920/000153442413000410/0001534424-13-000410-index.html,https://www.sec.gov/Archives/edgar/data/788920/000153442414000247/0001534424-14-000247-index.html,https://www.sec.gov/Archives/edgar/data/788920/000153442415000286/0001534424-15-000286-index.html,https://www.sec.gov/Archives/edgar/data/788920/000153442416001027/0001534424-16-001027-index.html,https://www.sec.gov/Archives/edgar/data/788920/000155335017001029/0001553350-17-001029-index.html,https://www.sec.gov/Archives/edgar/data/788920/000155335018001036/0001553350-18-001036-index.html,https://www.sec.gov/Archives/edgar/data/788920/000155335019000942/0001553350-19-000942-index.html,https://www.sec.gov/Archives/edgar/data/788920/000155335020000854/0001553350-20-000854-index.htm,https://www.sec.gov/Archives/edgar/data/788920/000155335021000795/0001553350-21-000795-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,400000,900000,- -,107000,473000,698000,236000,795000,2070000,2584000,358000,403000,517000,1124000,3794000,4689000,4112000,1680000,3188000,697000,2294000,4205000,5188000,7742000,6421000,3721000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,718000,2220000,2649000,2560000,1295000
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,400000,900000,- -,107000,473000,698000,236000,795000,2070000,2584000,358000,403000,517000,1124000,3794000,4689000,4112000,1680000,3188000,697000,2294000,4923000,7408000,10391000,8981000,5016000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,5100000,3500000,3363433,3157000,3934000,1386000,1950000,1620000,2370000,3617000,4063000,3436000,3047000,2531000,2704000,3140000,2313000,1617000,2880000,3207000,2979000,3624000,4131000,4100000,5155000,10933000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,4700000,4200000,4451802,4699000,4246000,3007000,2924000,2835000,2542000,3145000,3980000,4622000,5101000,3365000,3228000,3703000,2791000,3834000,2600000,4310000,3573000,3085000,4393000,6239000,8238000,8437000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,600000,1300000,700770,1348000,1332000,2260000,1328000,851000,869000,585000,857000,1296000,2250000,235000,383000,308000,281000,216000,225000,194000,372000,289000,301000,1053000,300000,627000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,10800000,9900000,8516005,9311000,9985000,7351000,6438000,6101000,7851000,9931000,9258000,9757000,10915000,7255000,10109000,11840000,9497000,7347000,8893000,8408000,9218000,11921000,16233000,21783000,22674000,25013000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,3300000,2700000,2865822,3111000,2661000,1264000,1025000,1040000,1030000,1156000,3726000,3778000,6470000,5981000,4092000,3661000,2539000,2065000,1575000,1470000,1286000,1429000,1755000,2726000,5629000,12887000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2931000,2997000,2997000,2997000,- -,- -,- -,- -,- -,353000,112000,112000,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,13700000,9700000,8746254,3222000,2859000,1785000,1142000,1110000,1110000,1110000,1417000,1321000,1221000,147000,- -,- -,- -,- -,105000,547000,451000,320000,140000,129000,162000,186000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,13700000,9700000,8746254,3222000,2859000,1785000,1142000,1110000,1110000,1110000,4348000,4318000,4218000,3144000,- -,- -,- -,- -,105000,900000,563000,432000,140000,129000,162000,186000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,370000,1058000,1652000,- -,- -,- -,582000,2360000,1704000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,500000,440000,1700000,610000,761000,1326000,833000,788000,541000,378000,229000,- -,- -,- -,- -,- -,- -,- -,- -,- -,2048000,1678000,260000,259000,463000
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,500000,1400000,2270504,354000,308000,583000,37000,20000,16000,18000,44000,25000,68000,87000,78000,60000,786000,813000,77000,86000,80000,521000,111000,40000,42000,67000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,17500000,14300000,14322580,8387000,6438000,4393000,3530000,3003000,2944000,2825000,8496000,8350000,10756000,9212000,4170000,3721000,3325000,3248000,2815000,4108000,1929000,4430000,3684000,3737000,8452000,15307000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,28300000,24200000,22838585,17698000,16423000,11744000,9968000,9104000,10795000,12756000,17754000,18107000,21671000,16467000,14279000,15561000,12822000,10595000,11708000,12516000,11147000,16351000,19917000,25520000,31126000,40320000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,1000000,800000,1013576,3048000,849000,817000,765000,642000,397000,1158000,952000,1110000,1736000,827000,1279000,1207000,633000,844000,744000,1867000,841000,1159000,1083000,1996000,1965000,2288000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,2400000,1200000,1394994,8691000,7637000,283000,772000,497000,70000,- -,1177000,576000,2426000,433000,435000,357000,774000,- -,- -,24000,26000,26000,- -,622000,651000,1580000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,141000,232000,594000,212000,19000,31000,215000,200000,150000
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,2100000,1000000,1149307,1590000,2007000,1548000,902000,378000,1589000,485000,1042000,1423000,2167000,1447000,2026000,2457000,1472000,1329000,1151000,1209000,998000,1376000,1424000,1437000,2411000,1854000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,5500000,3000000,3557877,13329000,10493000,2648000,2439000,1517000,2056000,1643000,3171000,3109000,6329000,2707000,3740000,4021000,2879000,2314000,2127000,3694000,2077000,2580000,2538000,4270000,5227000,5872000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,5400000,8400000,6120922,143000,- -,250000,211000,145000,75000,- -,2265000,1989000,1560000,2895000,2460000,774000,- -,- -,- -,70000,46000,61000,- -,3934000,3283000,13967000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,290000,171000,209000,163000,109000,59000,115000,70000,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,245000,158000,194000,212000,255000,279000,284000,285000,250000,204000,147000,- -,103000,308000,3554000,397000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,5400000,8400000,6120922,143000,- -,250000,211000,145000,75000,- -,2510000,2147000,2044000,3278000,2924000,1216000,393000,344000,365000,344000,193000,61000,103000,4242000,6837000,14364000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20000,15000,7000,- -,32000,41000,- -,3089000,2776000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,10900000,11400000,9678799,13472000,10493000,2898000,2650000,1662000,2131000,1643000,5681000,5256000,8373000,5985000,6664000,5237000,3272000,2658000,2492000,4038000,2270000,2641000,2641000,8512000,12064000,20236000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,283000,283000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14600000,14837695,14838000,14976000,15020000,15033000,14999000,15075000,15933000,- -,- -,- -,- -,- -,- -,- -,17012000,18582000,18411000,17988000,17704000,19835000,15815000,12752000,7953000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,-500000,-2100000,-1810649,-10744000,-9203000,-6356000,-7922000,-7789000,-6669000,-4820000,-3993000,-3489000,-3247000,-6092000,-9060000,-6420000,-7296000,-9080000,-9568000,-9933000,-9111000,-4027000,-2406000,1742000,7896000,12346000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2200000,-1700000,-2331113,-2942000,-3613000,-2361000,-2507000,-2607000,-2547000,-2856000,-3936000,-3536000,-4432000,-5149000,-5860000,-6540000,-6503000,-7080000,-7365000,-7427000,-7768000,-7798000,-6724000,-1000000,-2000000,-215000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,20100000,2000000,2463853,3074000,3770000,2543000,2714000,2556000,2522000,2856000,20002000,19876000,20977000,21723000,22535000,23284000,23349000,7085000,7567000,7427000,7768000,7831000,6571000,451000,414000,- -
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,17400000,12800000,13159786,4226000,5930000,8846000,7318000,7442000,8664000,11113000,12073000,12851000,13298000,10482000,7615000,10324000,9550000,7937000,9216000,8478000,8877000,13710000,17276000,17008000,19062000,20084000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,28300000,24200000,22838585,17698000,16423000,11744000,9968000,9104000,10795000,12756000,17754000,18107000,21671000,16467000,14279000,15561000,12822000,10595000,11708000,12516000,11147000,16351000,19917000,25520000,31126000,40320000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,28300000,24200000,22838585,17698000,16423000,11744000,9968000,9104000,10795000,12756000,17754000,18107000,21671000,16467000,14279000,15561000,12822000,10595000,11708000,12516000,11147000,16351000,19917000,25520000,31126000,40320000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/788920/000100329701500234/prodex10k.htm,https://www.sec.gov/Archives/edgar/data/788920/000100329702000197/prodex10k1.htm,https://www.sec.gov/Archives/edgar/data/788920/000100329703000373/pdex10k1.htm,https://www.sec.gov/Archives/edgar/data/788920/000100329704000407/pdex10k.htm,https://www.sec.gov/Archives/edgar/data/788920/000100329705000311/pdex10k1.htm,https://www.sec.gov/Archives/edgar/data/788920/000100329706000381/pdex10k1.htm,https://www.sec.gov/Archives/edgar/data/788920/000100329707000252/esform10ksb.htm,https://www.sec.gov/Archives/edgar/data/788920/000100329708000207/esprodex10kv1.htm,https://www.sec.gov/Archives/edgar/data/788920/000100329709000203/0001003297-09-000203-index.html,https://www.sec.gov/Archives/edgar/data/788920/000100329710000227/0001003297-10-000227-index.html,https://www.sec.gov/Archives/edgar/data/788920/000119312511248026/0001193125-11-248026-index.html,https://www.sec.gov/Archives/edgar/data/788920/000119312512389350/0001193125-12-389350-index.html,https://www.sec.gov/Archives/edgar/data/788920/000153442413000410/0001534424-13-000410-index.html,https://www.sec.gov/Archives/edgar/data/788920/000153442414000247/0001534424-14-000247-index.html,https://www.sec.gov/Archives/edgar/data/788920/000153442415000286/0001534424-15-000286-index.html,https://www.sec.gov/Archives/edgar/data/788920/000153442416001027/0001534424-16-001027-index.html,https://www.sec.gov/Archives/edgar/data/788920/000155335017001029/0001553350-17-001029-index.html,https://www.sec.gov/Archives/edgar/data/788920/000155335018001036/0001553350-18-001036-index.html,https://www.sec.gov/Archives/edgar/data/788920/000155335019000942/0001553350-19-000942-index.html,https://www.sec.gov/Archives/edgar/data/788920/000155335020000854/0001553350-20-000854-index.htm,https://www.sec.gov/Archives/edgar/data/788920/000155335021000795/0001553350-21-000795-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,200000,300000,100000,600000,300000,1200000,-1600000,353560,-8934000,1541000,2847000,-1566000,133000,1120000,1849000,827000,506000,317000,-2845000,-2968000,2640000,-876000,-1784000,-488000,-365000,822000,5084000,1621000,4148000,6112000,4450000
74,Depreciation and Amortization,- -,- -,- -,- -,200000,100000,200000,100000,200000,1300000,1500000,1516187,1430000,1196000,958000,865000,375000,362000,348000,356000,487000,538000,810000,726000,697000,647000,582000,527000,578000,614000,555000,557000,438000,573000,686000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,-200000,-200000,60000,-1980000,1060000,-1304000,-902000,177000,22000,521000,-84000,-177000,-434000,1058000,-91000,- -,- -,- -,- -,- -,- -,-2048000,391000,1418000,-22000,-181000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,166000,101000,43000,108000,100000,50000,17000,4000,3000,194000,37000,286000,901000
77,Change in Working Capital,- -,- -,- -,- -,-800000,- -,- -,- -,- -,5300000,1600000,-1941872,-8976128,3510000,5211000,-704000,585000,1211000,2493000,-2201000,561000,-2062000,-38000,1821000,1450000,-1201000,-1585000,1733000,-2052000,2427000,2200000,4354000,3818000,-66000,1694000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,609000,-146000,-418000,1428000,325000,-440000,-554000,-523000,-633000,569000,-1131000,-1061000,-5783000
79,Inventory,- -,- -,- -,- -,-100000,- -,- -,-400000,- -,-700000,200000,-215733,-247000,453000,23000,83000,89000,376000,-585000,-1336000,-840000,-460000,1737000,137000,-475000,912000,-1043000,1234000,-1705000,737000,279000,-1309000,-1846000,-1999000,-199000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,69000,-313000,1196000,-1288000,518000,-57000,1133000,604000,105000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,5300000,6900000,4958128,-4018000,-508000,4703000,3999000,4584000,5795000,8288000,6087000,6648000,4586000,4548000,6369000,7819000,6618000,5033000,6766000,4714000,7141000,9341000,13695000,17513000,17447000,19141000
82,Other Non-Cash Items,- -,- -,- -,- -,- -,-500000,-400000,-500000,-600000,-6600000,-2300000,2111161,18124128,-5314000,-7096000,550000,-767000,-661000,-4654000,1157000,103000,3659000,2567000,3651000,-1932000,1367000,1416000,-2151000,1047000,-3401000,-2559000,-4021000,-6533000,-1938000,-9628000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,-400000,-100000,-100000,200000,-100000,1000000,-1000000,2099036,-336000,1993000,616000,-1757000,503000,2054000,557000,55000,1480000,2018000,1718000,3240000,2898000,45000,-1271000,-329000,-775000,466000,3235000,3096000,3326000,4945000,-2078000
84,CAPEX,- -,- -,- -,- -,- -,-100000,-200000,-400000,-200000,-400000,-500000,-809516,-875000,-221000,-152000,-296000,-364000,-352000,-474000,-1809000,-449000,-3130000,-269000,-137000,-265000,-341000,-86000,-155000,-308000,-335000,-638000,-934000,-1398000,-565000,-8306000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2000000,- -,- -,- -,- -,- -,- -,- -,- -,-1000000,- -,1000000,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-366000,-654000,-12000,-87000,-663000,-2861000,-2978000,-2822000,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,228000,1324000,1992000,86000,- -,1905000,128000,4596000
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,-100000,- -,-4300000,- -,- -,- -,- -,6865000,1141000,796000,- -,- -,-397000,-66000,- -,- -,- -,- -,82000,- -,799000,-1581000,-6000,-843000,-331000,1238000,926000,-38000
