,https://roic.ai/company/UVV,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,392700000,559700000,628800000,167600000,622300000,244700000,258700000,280100000,323400000,332900000,346200000,367800000,386300000,408700000,405152000,283777000,292844000,297335000,- -,402814000,417346000,249269000,225670000,309409000,285056000,232229000,280027000,235295000,180394000,237510000,223295000,211969000,200461000,225118000,222902000,219789000
11,COGS and Expenses,1081200000,1996100000,2321600000,2815000000,2735200000,2762200000,2838200000,2882900000,2855300000,3139900000,3377800000,3875900000,4008800000,3750400000,3157087000,2770052000,2299571000,2395960000,- -,3067501000,3349516000,1812791000,1941394000,2344727000,2234529000,2295423000,2254912000,2234577000,2289218000,2099037000,1936337000,1888508000,1862460000,2045680000,1776069000,1817143000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2305000,1253000,2723000,1314000,654000,949000,576000,1178000,1397000,1686000,1532000,1581000,325000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,58252000,- -,- -,- -,35631000,24210000,23058000,22835000,22013000,20307000,17120000,15669000,16284000,15621000,17510000,19854000,24954000
14,Depreciation and Amortization,12500000,19600000,22000000,25600000,27100000,25800000,29200000,32800000,44900000,11400000,12800000,51600000,51100000,52800000,52022000,56399000,54987000,53504000,48800000,74133000,68139000,48305000,43240000,41790000,43496000,45272000,43866000,45116000,38899000,37324000,37644000,35911000,34836000,37104000,38379000,44733000
15,EBITDA,78500000,109900000,100400000,104000000,77800000,74100000,135200000,156500000,65900000,61900000,134600000,221300000,291100000,256100000,234048000,235404000,221470000,217192000,- -,296595000,110482000,153783000,226195000,273748000,322386000,303244000,219917000,266245000,283750000,207058000,216759000,215231000,206628000,199923000,165201000,186509000
16,EBITDA ratio,0.0695,0.0522,0.0416,0.0356,0.0276,0.0256,0.0452,0.0514,0.0222,0.0189,0.0377,0.0538,0.0679,0.0639,0.0688,0.0780,0.0886,0.0824,- -,0.0905,0.0315,0.0766,0.1054,0.1072,0.1294,0.1179,0.0899,0.1082,0.1116,0.0911,0.1022,0.1039,0.1016,0.0898,0.0865,0.0940
17,Operating Income,47500000,107700000,92600000,105300000,79900000,134300000,150800000,164300000,119800000,141000000,192400000,236800000,278400000,254500000,244882000,238782000,200507000,207815000,- -,208556000,104353000,163591000,191513000,209932000,257209000,254600000,180304000,223009000,246151000,167874000,181647000,178351000,171487000,161169000,126367000,147810000
18,Operating Income ratio,0.0421,0.0512,0.0384,0.0361,0.0284,0.0464,0.0505,0.0539,0.0403,0.0430,0.0539,0.0576,0.0649,0.0635,0.0720,0.0791,0.0802,0.0788,- -,0.0637,0.0297,0.0815,0.0892,0.0822,0.1032,0.0990,0.0737,0.0906,0.0968,0.0739,0.0857,0.0861,0.0843,0.0724,0.0662,0.0745
19,Total Other Income Expenses (Gains),18500000,-17400000,-14200000,-26900000,-29200000,-53600000,-44800000,-40600000,-69400000,-90500000,-71500000,-67100000,-38400000,-51200000,-62856000,-51387000,-29520000,-34831000,- -,-42603000,-66030000,-28714000,-11230000,-12783000,-581000,-11701000,-18326000,-15724000,-15461000,-9407000,-9069000,-9113000,-4810000,-9847000,-13076000,-22084000
20,Income Before Tax,66000000,90300000,78400000,78400000,50700000,80700000,106000000,123700000,50400000,50500000,120900000,169700000,240000000,203300000,182026000,187395000,170987000,172984000,- -,165953000,38323000,134877000,180283000,197149000,256628000,242899000,161978000,207285000,230690000,158467000,172578000,169238000,166677000,151322000,113291000,125726000
21,Income Before Tax Ratio,0.0585,0.0429,0.0325,0.0268,0.0180,0.0279,0.0355,0.0406,0.0169,0.0154,0.0339,0.0413,0.0560,0.0508,0.0535,0.0621,0.0684,0.0656,- -,0.0507,0.0109,0.0672,0.0840,0.0772,0.1030,0.0945,0.0662,0.0842,0.0907,0.0698,0.0814,0.0817,0.0819,0.0679,0.0593,0.0634
22,Income Tax expense (Gain),18900000,34300000,17700000,24400000,13600000,24300000,35300000,43500000,11800000,24900000,49500000,68800000,98700000,76000000,68221000,66336000,59821000,53094000,- -,68197000,34403000,61126000,63799000,64588000,86283000,78349000,61159000,66366000,75535000,38006000,54430000,56732000,50509000,41188000,35288000,29412000
23,Net Income,47100000,56000000,60700000,54000000,37100000,24000000,70700000,80200000,9200000,25600000,72300000,100900000,141300000,127300000,113805000,112669000,106662000,110594000,- -,96013000,7940000,44352000,119156000,131739000,168397000,156565000,92057000,132750000,149009000,114608000,109016000,106304000,105662000,104121000,71680000,87410000
24,Net Income ratio,0.0417,0.0266,0.0251,0.0185,0.0132,0.0083,0.0237,0.0263,0.0031,0.0078,0.0203,0.0245,0.0330,0.0318,0.0335,0.0373,0.0427,0.0419,- -,0.0293,0.0023,0.0221,0.0555,0.0516,0.0676,0.0609,0.0376,0.0539,0.0586,0.0504,0.0514,0.0513,0.0519,0.0468,0.0375,0.0441
25,EPS,0.69,0.81,0.89,0.80,0.56,0.36,2.15,2.39,0.26,0.73,2.06,2.88,4.01,3.81,3.77,4.09,4.01,4.35,- -,3.76,0.31,1.14,3.82,4.57,6.21,5.94,3.32,5.05,5.77,4.33,4.16,0.89,4.18,4.14,2.87,3.55
26,EPS Diluted,0.69,0.81,0.89,0.80,0.56,0.36,2.15,2.39,0.26,0.73,2.06,2.88,3.99,3.80,3.77,4.08,4.00,4.34,- -,3.73,0.31,1.13,3.70,4.32,5.68,5.42,3.25,4.66,5.25,4.06,3.92,0.88,4.14,4.11,2.86,3.53
27,Weighted Average Shares Outstanding,34406000,34406000,33928000,33862000,32880000,32778000,32883721,33556485,35384615,35068493,35097087,35076000,35190000,33437000,30199000,27534000,26579000,25420000,25553000,25553000,25707000,25935000,27263000,25570000,24732000,23859000,23228000,23355000,23239000,23035920,22683290,23433860,25274975,25129192,24982259,24656009
28,Weighted Average Shares Outstanding Diluted,34406000,34406000,33928000,33862000,32880000,32778000,32883721,33556485,35384615,35068493,35097087,35267857,35388000,33477000,30205000,27645000,26680000,25499000,25717000,25717000,25957000,26051000,32186000,30466000,29662000,23859000,23228000,28478000,28392000,28221264,27825491,23770088,25508144,25330437,25106351,24788566
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/102037/000091664194000107/0000916641-94-000107-index.html,- -,https://www.sec.gov/Archives/edgar/data/102037/000091664196000792/0000916641-96-000792-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/102037/000091664102001493/0000916641-02-001493-index.html,https://www.sec.gov/Archives/edgar/data/102037/000119312503049971/0001193125-03-049971-index.htm,https://www.sec.gov/Archives/edgar/data/102037/000119312504102037/0001193125-04-102037-index.htm,https://www.sec.gov/Archives/edgar/data/102037/000119312505124147/0001193125-05-124147-index.htm,https://www.sec.gov/Archives/edgar/data/102037/000119312506129584/0001193125-06-129584-index.htm,https://www.sec.gov/Archives/edgar/data/102037/000119312507125847/0001193125-07-125847-index.htm,https://www.sec.gov/Archives/edgar/data/102037/000119312508125576/0001193125-08-125576-index.htm,https://www.sec.gov/Archives/edgar/data/102037/000119312509121445/0001193125-09-121445-index.htm,https://www.sec.gov/Archives/edgar/data/102037/000119312510130818/0001193125-10-130818-index.htm,https://www.sec.gov/Archives/edgar/data/102037/000114420411032627/0001144204-11-032627-index.htm,https://www.sec.gov/Archives/edgar/data/102037/000144530512001881/0001445305-12-001881-index.htm,https://www.sec.gov/Archives/edgar/data/102037/000010203713000016/0000102037-13-000016-index.htm,https://www.sec.gov/Archives/edgar/data/102037/000010203714000019/0000102037-14-000019-index.htm,https://www.sec.gov/Archives/edgar/data/102037/000010203715000017/0000102037-15-000017-index.htm,https://www.sec.gov/Archives/edgar/data/102037/000010203716000046/0000102037-16-000046-index.htm,https://www.sec.gov/Archives/edgar/data/102037/000010203717000030/0000102037-17-000030-index.htm,https://www.sec.gov/Archives/edgar/data/102037/000010203718000012/0000102037-18-000012-index.htm,https://www.sec.gov/Archives/edgar/data/102037/000010203719000022/0000102037-19-000022-index.htm,https://www.sec.gov/Archives/edgar/data/102037/000010203720000024/0000102037-20-000024-index.htm,https://www.sec.gov/Archives/edgar/data/102037/000010203721000012/0000102037-21-000012-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,24000000,42700000,53100000,68400000,50800000,59500000,82700000,119700000,164500000,158100000,214800000,109100000,79800000,92800000,61395000,109540000,58003000,44659000,39310000,58625000,66632000,358236000,186070000,212626000,245953000,141007000,261699000,367864000,163532000,248783000,319447000,283993000,234128000,297556000,107430000,197221000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,58889000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,24000000,42700000,53100000,68400000,50800000,59500000,82700000,119700000,164500000,158100000,214800000,109100000,79800000,92800000,61395000,109540000,58003000,44659000,39310000,58625000,66632000,358236000,244959000,212626000,245953000,141007000,261699000,367864000,163532000,248783000,319447000,283993000,234128000,297556000,107430000,197221000
34,Net Receivables,106600000,234300000,259300000,277300000,283800000,392600000,320800000,365900000,397100000,406000000,402100000,515700000,442100000,343800000,371470000,333677000,306844000,378379000,438702000,499722000,485228000,298396000,274825000,283754000,278630000,346008000,398160000,402302000,475390000,436269000,430975000,441661000,379159000,399061000,352194000,368066000
35,Inventory,91700000,278300000,267500000,279300000,356100000,406100000,544300000,569300000,588400000,666500000,684000000,769500000,762100000,612000000,562692000,574809000,650002000,783287000,842635000,991368000,1052757000,636478000,645507000,646848000,812186000,791069000,735292000,681122000,707031000,698683000,698020000,634030000,748729000,699217000,806573000,786618000
36,Other Current Assets,11900000,16100000,30300000,13600000,26300000,19300000,22700000,32000000,36000000,31800000,28100000,36900000,146300000,121700000,92593000,114620000,90188000,168672000,206022000,239093000,197981000,252255000,251769000,360691000,356307000,300150000,295478000,294685000,327294000,250875000,190104000,201715000,227027000,192311000,213420000,203453000
37,Total Current Assets,234200000,571400000,610200000,638600000,717000000,877500000,970500000,1086900000,1186000000,1262400000,1329000000,1431200000,1430300000,1170300000,1088150000,1132646000,1105037000,1374997000,1526669000,1788808000,1802598000,1545365000,1417060000,1503919000,1693076000,1578234000,1690629000,1745973000,1673247000,1634610000,1638546000,1561399000,1589043000,1588145000,1479617000,1555358000
38,PP&E,73200000,137100000,158900000,166400000,186300000,210300000,227400000,277800000,269200000,334400000,320400000,309700000,329800000,348300000,347345000,338095000,392496000,513381000,560868000,623670000,582097000,360158000,334833000,312287000,329487000,316703000,303192000,287468000,296546000,305389000,325887000,317340000,323794000,302494000,354409000,380740000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,136130000,104284000,106647000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,173051000
40,Intangible Assets,28200000,57100000,58100000,28500000,30200000,33700000,11600000,139800000,151400000,149300000,149300000,140200000,139500000,138800000,130643000,123532000,125269000,132903000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,72304000
41,Intangible Assets,28200000,57100000,58100000,28500000,30200000,33700000,11600000,139800000,151400000,149300000,149300000,140200000,139500000,138800000,130643000,123532000,125269000,132903000,134664000,138053000,136130000,104284000,106647000,106097000,105561000,99546000,99266000,99048000,99453000,99146000,99071000,98888000,98927000,97994000,144687000,245355000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,94460000,98789000,- -,- -,- -,103987000,106336000,115478000,93312000,94405000,95305000,76512000,82441000,78457000,89302000,80482000,77543000,84218000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,37620000,45346000,45466000,62489000,85014000,95183000,81003000,49632000,17376000,30073000,18177000,23634000,23783000,14562000,6301000,23853000,25422000,17118000,13357000,20954000,12149000
44,Other Non-Current Assets,268400000,177800000,179400000,228600000,237200000,154100000,51900000,57500000,60400000,61900000,90800000,100900000,157100000,165700000,181966000,150480000,176267000,176327000,103623000,150990000,285333000,238012000,225940000,94510000,106507000,99729000,56886000,55478000,91794000,76515000,62999000,41899000,50448000,50712000,43711000,64104000
45,Total Non-Current Assets,369800000,372000000,396400000,423500000,453700000,398100000,290900000,475100000,481000000,545600000,560500000,550800000,626400000,652800000,659954000,649727000,739378000,868077000,956104000,1096516000,1098743000,783457000,717052000,634257000,677964000,649633000,576290000,560182000,597660000,563863000,594251000,562006000,579589000,545039000,641304000,786566000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,604000000,943400000,1006600000,1062100000,1170700000,1275600000,1261400000,1562000000,1667000000,1808000000,1889500000,1982000000,2056700000,1823100000,1748104000,1782373000,1844415000,2243074000,2482773000,2885324000,2901341000,2328822000,2134112000,2138176000,2371040000,2227867000,2266919000,2306155000,2270907000,2198473000,2232797000,2123405000,2168632000,2133184000,2120921000,2341924000
48,Accounts Payable,- -,- -,- -,192700000,216800000,243100000,224500000,263000000,234100000,218800000,229000000,286200000,303100000,249500000,266835000,246574000,298894000,363131000,334534000,299731000,335728000,220825000,220697000,19191000,6464000,4154000,295000,230387000,212487000,143393000,128870000,160746000,179835000,145612000,140257000,140766000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,547200000,682500000,635000000,617900000,620800000,526400000,477306000,193216000,251212000,366129000,289972000,552909000,457186000,295159000,126229000,248108000,192013000,244291000,144266000,316568000,179155000,59862000,66179000,59133000,45421000,54023000,87856000,109192000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,22007000,32866000,- -,- -,- -,6867000,18991000,12265000,12866000,14034000,15694000,9243000,7190000,5103000,7557000,1066000,5334000,4516000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,59894000,48634000,- -,- -,- -,- -,107858000,8426000,16832000,24914000,15869000,30183000,16438000,11007000,7021000,21675000,10242000,8765000
52,Other Current Liabilities,150400000,398800000,429100000,245500000,236100000,410900000,472700000,523400000,86700000,96300000,165200000,179600000,177600000,122600000,139093000,141975000,123325000,95021000,54710000,68487000,144892000,176990000,55400000,282576000,308664000,255480000,231315000,50728000,47466000,37475000,34783000,37110000,35443000,32438000,29044000,34434000
53,Total Current Liabilities,150400000,398800000,429100000,438200000,452900000,654000000,697200000,786400000,868000000,997600000,1029200000,1083700000,1101500000,898500000,883234000,581765000,673431000,824281000,739110000,969761000,937806000,692974000,402326000,549875000,614999000,512351000,392708000,622597000,454977000,270913000,246270000,267996000,267720000,253748000,267399000,293157000
54,Long-Term Debt,73200000,167900000,167600000,177700000,247000000,160000000,190200000,281800000,298100000,284900000,309500000,291600000,263100000,221500000,223262000,515349000,435592000,614994000,770296000,838687000,762201000,398952000,402942000,331808000,414764000,320193000,392500000,181250000,240000000,370000000,370000000,368733000,369086000,368503000,368764000,537897000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,15700000,26100000,27100000,30900000,32300000,23400000,26300000,32800000,12400000,17200000,13800000,18500000,27100000,39200000,11749000,6380000,16640000,12348000,43691000,43899000,37022000,29809000,36795000,52842000,46128000,42847000,44583000,42184000,45500000,26628000,29494000,47985000,35726000,28584000,29474000,44994000
57,Other Non-Current Liabilities,70900000,24900000,25900000,26800000,39000000,44100000,42400000,40600000,106000000,101100000,91300000,87900000,85400000,88500000,95243000,98439000,102457000,136827000,135460000,175344000,181642000,170532000,173236000,170407000,166774000,153071000,231138000,172467000,119538000,133838000,133971000,112113000,110798000,102471000,166000000,117451000
58,Total Non-Current Liabilities,159800000,218900000,220600000,235400000,318300000,227500000,258900000,355200000,416500000,403200000,414600000,398000000,375600000,349200000,330254000,620168000,554689000,764169000,949447000,1057930000,980865000,599293000,612973000,555057000,627666000,516111000,668221000,395901000,405038000,530466000,533465000,528831000,515610000,499558000,564238000,700342000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,45941000,123439000,- -,- -,- -,- -,15000000,95000000,16250000,- -,- -,- -,- -,- -,- -,- -,35716000,27623000
61,Total Liabilities,310200000,617700000,649700000,673600000,771200000,881500000,956100000,1141600000,1284500000,1400800000,1443800000,1481700000,1477100000,1247700000,1213488000,1201933000,1228120000,1588450000,1688557000,2027691000,1918671000,1292267000,1015299000,1104932000,1242665000,1028462000,1060929000,1018498000,860015000,801379000,779735000,796827000,783330000,753306000,831637000,993499000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,193546000,213024000,213023000,213023000,213023000,213023000,213023000,213023000,213023000,211562000,211562000,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,75800000,66274000,85582000,90157000,90665000,- -,- -,120618000,- -,- -,- -,- -,- -,- -,202579000,206446000,206002000,208946000,321207000,321559000,326600000,321502000,326673000
64,Retained Earnings,281700000,315200000,348000000,377900000,387600000,377900000,290800000,341500000,317300000,323600000,360300000,424300000,526700000,510100000,499490000,540546000,569059000,592673000,679202000,733763000,697987000,682232000,711655000,686960000,767213000,825751000,854654000,918509000,993093000,1020155000,1066064000,1034841000,1080934000,1106178000,1076760000,1087663000
65,Other Comprehensive Income/Loss,-93900000,-135500000,-154200000,-175500000,-199200000,-197900000,-219400000,-246500000,-270000000,-317400000,-345500000,-366200000,-386000000,-409700000,-430925000,-425808000,-452963000,-63060000,-31874000,-28895000,-47280000,-40976000,-15483000,-64547000,-52667000,-44776000,-80361000,-75540000,-34332000,-74994000,-72350000,-69559000,-60064000,-95691000,-151597000,-107037000
66,Other Total Stockholders Equity,106000000,146000000,163100000,184000000,208700000,209800000,230300000,322900000,330200000,383800000,402500000,411500000,407200000,362800000,362940000,351809000,381742000,- -,639848000,117625000,- -,389501000,418976000,407513000,408357000,404855000,408797000,- -,- -,- -,- -,- -,- -,- -,- -,- -
67,Total Stockholders Equity,293800000,325700000,356900000,386400000,397100000,389800000,301700000,417900000,377500000,390000000,417300000,469600000,547900000,539000000,497779000,552129000,587995000,620278000,759833000,822388000,964871000,1030733000,1115631000,1029473000,1122570000,1185606000,1183451000,1258571000,1378230000,1362725000,1414222000,1286489000,1342429000,1337087000,1246665000,1307299000
68,Total Liabilities And Stockholders Equity,604000000,943400000,1006600000,1060000000,1168300000,1271300000,1257800000,1559500000,1662000000,1790800000,1861100000,1951300000,2025000000,1786700000,1711267000,1754062000,1816115000,2208728000,2448390000,2850079000,2883542000,2323000000,2130930000,2134405000,2365235000,2214068000,2244380000,2277069000,2238245000,2164104000,2193957000,2083316000,2125759000,2090393000,2078302000,2300798000
69,Minority Interest,- -,- -,- -,2100000,2400000,4300000,3600000,2500000,5000000,17200000,28400000,30700000,31700000,36400000,36837000,28311000,28300000,34346000,34383000,35245000,17799000,5822000,3182000,3771000,5805000,13799000,22539000,29086000,32662000,34369000,38840000,40089000,42873000,42791000,42619000,41126000
70,Total Liabilities & Equity,604000000,943400000,1006600000,1062100000,1170700000,1275600000,1261400000,1562000000,1667000000,1808000000,1889500000,1982000000,2056700000,1823100000,1748104000,1782373000,1844415000,2243074000,2482773000,2885324000,2901341000,2328822000,2134112000,2138176000,2371040000,2227867000,2266919000,2306155000,2270907000,2198473000,2232797000,2123405000,2168632000,2133184000,2120921000,2341924000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/102037/000091664194000107/0000916641-94-000107-index.html,- -,https://www.sec.gov/Archives/edgar/data/102037/000091664196000792/0000916641-96-000792-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/102037/000091664102001493/0000916641-02-001493-index.html,https://www.sec.gov/Archives/edgar/data/102037/000119312503049971/0001193125-03-049971-index.htm,https://www.sec.gov/Archives/edgar/data/102037/000119312504102037/0001193125-04-102037-index.htm,https://www.sec.gov/Archives/edgar/data/102037/000119312505124147/0001193125-05-124147-index.htm,https://www.sec.gov/Archives/edgar/data/102037/000119312506129584/0001193125-06-129584-index.htm,https://www.sec.gov/Archives/edgar/data/102037/000119312507125847/0001193125-07-125847-index.htm,https://www.sec.gov/Archives/edgar/data/102037/000119312508125576/0001193125-08-125576-index.htm,https://www.sec.gov/Archives/edgar/data/102037/000119312509121445/0001193125-09-121445-index.htm,https://www.sec.gov/Archives/edgar/data/102037/000119312510130818/0001193125-10-130818-index.htm,https://www.sec.gov/Archives/edgar/data/102037/000114420411032627/0001144204-11-032627-index.htm,https://www.sec.gov/Archives/edgar/data/102037/000144530512001881/0001445305-12-001881-index.htm,https://www.sec.gov/Archives/edgar/data/102037/000010203713000016/0000102037-13-000016-index.htm,https://www.sec.gov/Archives/edgar/data/102037/000010203714000019/0000102037-14-000019-index.htm,https://www.sec.gov/Archives/edgar/data/102037/000010203715000017/0000102037-15-000017-index.htm,https://www.sec.gov/Archives/edgar/data/102037/000010203716000046/0000102037-16-000046-index.htm,https://www.sec.gov/Archives/edgar/data/102037/000010203717000030/0000102037-17-000030-index.htm,https://www.sec.gov/Archives/edgar/data/102037/000010203718000012/0000102037-18-000012-index.htm,https://www.sec.gov/Archives/edgar/data/102037/000010203719000022/0000102037-19-000022-index.htm,https://www.sec.gov/Archives/edgar/data/102037/000010203720000024/0000102037-20-000024-index.htm,https://www.sec.gov/Archives/edgar/data/102037/000010203721000012/0000102037-21-000012-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,54000000,37100000,24000000,70700000,80200000,9200000,25600000,72300000,100900000,141300000,127300000,113805000,112669000,106662000,110594000,- -,96013000,7940000,44352000,119156000,131739000,168397000,156565000,92057000,132750000,149009000,114608000,109016000,106304000,105662000,104121000,71680000,87410000
74,Depreciation and Amortization,- -,- -,- -,25600000,27100000,25800000,29200000,32800000,44900000,11400000,12800000,51600000,51100000,52800000,52022000,56399000,54987000,53504000,48800000,74133000,68139000,48305000,43240000,41790000,43496000,45272000,43866000,45116000,38899000,37324000,37644000,35911000,34836000,37104000,38379000,44733000
75,Deferred Income Tax,- -,- -,- -,6800000,1000000,-5400000,700000,4700000,-500000,6600000,-3800000,22900000,14400000,14000000,-51728000,-5393000,4845000,-11901000,-7300000,-10577000,-35493000,-654000,19713000,20480000,13755000,-1044000,6770000,11794000,-2176000,-13662000,15046000,16626000,-11132000,3873000,-8697000,-2335000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5987000,6171000,6278000,6230000,5206000,6475000,7610000,8152000,5631000,6106000
77,Change in Working Capital,- -,- -,- -,7600000,63700000,-40600000,49800000,27200000,17500000,-53200000,35000000,47700000,-18700000,-57000000,-66884000,345965000,-119275000,119110000,236843000,31488000,45745000,-12401000,162343000,-60690000,124033000,-12194000,232038000,-174545000,94894000,145427000,28579000,-98873000,27920000,13074000,-122179000,49983000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-61885000,- -,- -,- -,- -,- -,11096000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
