,https://roic.ai/company/TAP,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/24545/000002454595000003/0000024545-95-000003-index.html,https://www.sec.gov/Archives/edgar/data/24545/000002454596000003/0000024545-96-000003-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/24545/000002454502000003/0000024545-02-000003-index.html,https://www.sec.gov/Archives/edgar/data/24545/000104746903010404/a2106472z10-k.htm,https://www.sec.gov/Archives/edgar/data/24545/000110465904007268/a04-3237_110k.htm,https://www.sec.gov/Archives/edgar/data/24545/000104746905006237/a2152593z10-k.htm,https://www.sec.gov/Archives/edgar/data/24545/000104746906003212/a2168095z10-k.htm,https://www.sec.gov/Archives/edgar/data/24545/000110465907015086/a07-5287_110k.htm,https://www.sec.gov/Archives/edgar/data/24545/000104746908001563/a2182586z10-k.htm,https://www.sec.gov/Archives/edgar/data/24545/000104746909001758/0001047469-09-001758-index.html,https://www.sec.gov/Archives/edgar/data/24545/000104746910001028/0001047469-10-001028-index.html,https://www.sec.gov/Archives/edgar/data/24545/000104746911001088/a2202044z10-k.htm,https://www.sec.gov/Archives/edgar/data/24545/000144530512000454/0001445305-12-000454-index.html,https://www.sec.gov/Archives/edgar/data/24545/000002454513000005/0000024545-13-000005-index.html,https://www.sec.gov/Archives/edgar/data/24545/000002454514000004/tap2013123110-k.htm,https://www.sec.gov/Archives/edgar/data/24545/000002454515000004/tap2014123110-k.htm,https://www.sec.gov/Archives/edgar/data/24545/000002454516000054/0000024545-16-000054-index.html,https://www.sec.gov/Archives/edgar/data/24545/000002454517000005/0000024545-17-000005-index.html,https://www.sec.gov/Archives/edgar/data/24545/000002454518000009/0000024545-18-000009-index.html,https://www.sec.gov/Archives/edgar/data/24545/000002454519000007/0000024545-19-000007-index.html,https://www.sec.gov/Archives/edgar/data/24545/000002454520000005/0000024545-20-000005-index.html,https://www.sec.gov/Archives/edgar/data/24545/000002454521000004/0000024545-21-000004-index.htm,https://www.sec.gov/Archives/edgar/data/24545/000002454522000005/0000024545-22-000005-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,27000000,32386000,111000000,169000000,160000000,164000000,119761000,77000000,59000000,19000000,123000000,39000000,182186000,377000000,216000000,734000000,1218000000,1078900000,624000000,442300000,624600000,430900000,560900000,418600000,1057900000,523400000,770100000,637400000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6000000,42000000,96000000,113000000,72759000,233000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,27000000,32386000,117000000,211000000,256000000,277000000,192520000,310000000,59000000,19000000,123000000,39000000,182186000,377000000,216000000,734000000,1218000000,1078900000,624000000,442300000,624600000,430900000,560900000,418600000,1057900000,523400000,770100000,637400000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,106000000,116755000,114000000,124000000,127000000,160000000,127078000,109000000,705000000,751000000,825000000,830000000,828599000,871000000,635000000,717000000,730000000,726000000,753000000,728000000,621700000,525900000,805300000,902000000,871000000,820300000,687100000,879400000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,142000000,139425000,121000000,106000000,103000000,107000000,109924000,115000000,185000000,209000000,235000000,315000000,352177000,370000000,192000000,236000000,195000000,271000000,214000000,234900000,226200000,196700000,592700000,591500000,591800000,615900000,664300000,804700000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,80000000,73954000,65000000,76000000,63000000,69000000,68229000,73000000,105000000,100000000,85000000,284000000,95394000,159000000,64000000,76000000,78000000,42100000,157000000,132500000,106400000,105300000,210700000,277600000,245600000,224800000,297300000,457200000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,355000000,362520000,417000000,517000000,549000000,613000000,497751000,607000000,1054000000,1079000000,1268000000,1468000000,1458356000,1777000000,1107000000,1763000000,2221000000,2118000000,1748000000,1537700000,1578900000,1258800000,2169600000,2189700000,2766300000,2184400000,2418800000,2778700000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,922000000,887409000,814000000,733000000,714000000,714000000,735793000,870000000,1380000000,1451000000,1446000000,2306000000,2421484000,2696000000,1302000000,1293000000,1389000000,1430100000,1996000000,1970100000,1798000000,1590800000,4507400000,4673700000,4608300000,4546500000,4250300000,4192400000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,26470000,- -,- -,- -,- -,29446000,7000000,727000000,796000000,891000000,2871000000,2968676000,3346000000,1298000000,1475000000,1489000000,1453300000,2453000000,2418700000,2191600000,1983300000,8250100000,8405500000,8260800000,7631400000,6151000000,6152600000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,21000000,- -,21000000,23000000,23000000,31000000,- -,79000000,529000000,552000000,581000000,4423000000,4395294000,5039000000,3923000000,4535000000,4655000000,4586000000,7235000000,6825100000,5755800000,4745700000,14031900000,14296500000,13776400000,13656000000,13556100000,13286800000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,21000000,26470000,21000000,23000000,23000000,31000000,29446000,86000000,1256000000,1348000000,1472000000,7294000000,7363970000,8385000000,5221000000,6010000000,6144000000,6039300000,9688000000,9243800000,7947400000,6729000000,22282000000,22702000000,22037200000,21287400000,19707100000,19439400000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,47000000,31000000,3000000,- -,95000000,191000000,194000000,141000000,- -,- -,- -,2418700000,2613600000,2574100000,2487900000,2431800000,2506500000,2388600000,2441000000,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,72000000,- -,76000000,76000000,66000000,79000000,- -,62000000,156000000,196000000,150000000,606000000,131349000,605000000,399000000,468000000,467000000,149900000,949000000,38300000,58200000,20200000,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,2000000,110458000,35000000,16000000,78000000,106000000,366314000,20000000,260000000,218000000,181000000,125000000,228254000,-11000000,-30700000,-126600000,-97100000,198600000,-600800000,283700000,225200000,236500000,382500000,681500000,698000000,841500000,954900000,1208500000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,1017000000,1024337000,946000000,895000000,912000000,933000000,1131553000,1133000000,3243000000,3407000000,3390000000,10331000000,10145057000,11675000000,9310000000,10258000000,10477000000,10305800000,14464000000,14042400000,12417400000,11017500000,27171900000,28057200000,27343500000,26675400000,24912300000,24840300000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,1372000000,1386857000,1363000000,1412000000,1461000000,1546000000,1629304000,1740000000,4297000000,4486000000,4658000000,11799000000,11603413000,13452000000,10417000000,12021000000,12698000000,12423800000,16212000000,15580100000,13996300000,12276300000,29341500000,30246900000,30109800000,28859800000,27331100000,27619000000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,165000000,132349000,123000000,132000000,144000000,180000000,197726000,222000000,335000000,396000000,326000000,372000000,388281000,381000000,171000000,210000000,268000000,268500000,427000000,599700000,618000000,559600000,1297600000,1568600000,1616800000,1568100000,1732700000,2098100000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,44000000,36000000,- -,- -,- -,- -,- -,- -,144049000,91165000,38528000,348102000,4441000,4281000,100000,300300000,1100000,46900000,1245600000,586900000,849400000,28700000,684800000,714800000,1594500000,974800000,1067200000,560300000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,284740000,- -,292640000,- -,- -,- -,246200000,212300000,216600000,215000000,201600000,317300000,292900000,244100000,278300000,257600000,242600000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,171000000,155314000,169000000,227000000,240000000,213000000,181610000,296000000,668951000,646835000,812472000,1516898000,1407394000,1350719000,814900000,1070700000,1064900000,961800000,926400000,955500000,857900000,628900000,1175100000,1115900000,1089600000,1152600000,1109700000,963800000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,380000000,323663000,292000000,359000000,384000000,393000000,379336000,518000000,1148000000,1134000000,1177000000,2237000000,1800116000,1736000000,986000000,1581000000,1334000000,1277200000,2599000000,2142100000,2325300000,1217200000,3157500000,3399300000,4300900000,3695500000,3909600000,3622200000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,131000000,195000000,176000000,145000000,105000000,105000000,105000000,20000000,1383000000,1160000000,894000000,2137000000,2129845000,2261000000,1832000000,1413000000,1960000000,1914900000,3423000000,3213000000,2337100000,2908700000,11387700000,10598700000,8893800000,8109500000,7208200000,6647200000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,69916000,- -,- -,- -,- -,89986000,- -,206400000,- -,-34011000,606126000,607000000,- -,- -,- -,466700000,532000000,823100000,911400000,784300000,799800000,1699000000,1648600000,2128900000,2258600000,2381600000,2704600000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,186000000,103262000,179000000,172000000,197000000,207000000,122593000,250000000,578600000,925000000,1019011000,1494874000,1202314000,2305000000,1618000000,1948000000,1138300000,1009500000,1399900000,649800000,663500000,287500000,1475600000,1165300000,1050400000,1123100000,1210400000,980900000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,317000000,368178000,355000000,317000000,302000000,312000000,317579000,270000000,2168000000,2085000000,1879000000,4238000000,3939159000,4566000000,3450000000,3361000000,3565000000,3456400000,5646000000,4774200000,3784900000,3996000000,14562300000,13412600000,12073100000,11491200000,10800200000,10332700000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,46600000,47100000,45400000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,697000000,691841000,647000000,676000000,686000000,705000000,696915000,788000000,3316000000,3219000000,3056000000,6475000000,5739275000,6302000000,4436000000,4942000000,4899000000,4733600000,8245000000,6916300000,6110200000,5213200000,17719800000,16811900000,16374000000,15186700000,14709800000,13954900000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,10000000,10007000,10000000,10000000,10000000,10000000,9801000,10000000,10000000,- -,- -,1698000000,679000,1072000000,907000000,883000000,838000000,1600000,836000000,824300000,771700000,712900000,681300000,662900000,662800000,662400000,522200000,522100000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,623000000,647530000,672000000,731000000,757000000,825000000,908123000,955000000,1087000000,1232000000,1398000000,1423000000,1673455000,1950000000,2199000000,2735000000,3242000000,3689700000,3901000000,4233200000,4439900000,4496000000,6119000000,7206100000,7692900000,7617000000,6544200000,7401500000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,2000000,-1219473000,4000000,-8000000,-4000000,2000000,-1696957000,-26000000,-134457000,3160000,97675000,186989000,316978000,1104929000,-396800000,20700000,171100000,-129700000,-72300000,154900000,-898400000,-1694900000,-1545500000,-860000000,-1150000000,-1162200000,-1167800000,-1006000000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,39000000,1256952000,29000000,4000000,12000000,5000000,1711422000,12000000,19308000,31840000,105325000,2016728000,3826244000,3022462000,3271100000,3440900000,3547700000,4086300000,3302200000,3426500000,3550100000,3529000000,6163900000,6217100000,6301700000,6302200000,6466400000,6499500000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,674000000,695016000,715000000,737000000,775000000,842000000,932389000,951000000,981851000,1267376000,1601166000,5324717000,5817356000,7149391000,5980300000,7079600000,7798800000,7647900000,7966900000,8638900000,7863300000,7043000000,11418700000,13226100000,13507400000,13419400000,12365000000,13417100000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,1371000000,1386857000,1362000000,1413000000,1461000000,1547000000,1629304000,1739000000,4297851000,4486376000,4657166000,11799717000,11556631000,13451391000,10416300000,12021600000,12697800000,12381500000,16211900000,15555200000,13973500000,12256200000,29138500000,30038000000,29881400000,28606100000,27074800000,27372000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,1000000,- -,1000000,-1000000,- -,-1000000,- -,1000000,-851000,-376000,834000,-717000,46782000,609000,700000,-600000,200000,42300000,100000,24900000,22800000,20100000,203000000,208900000,228400000,253700000,256300000,247000000
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,1372000000,1386857000,1363000000,1412000000,1461000000,1546000000,1629304000,1740000000,4297000000,4486000000,4658000000,11799000000,11603413000,13452000000,10417000000,12021000000,12698000000,12423800000,16212000000,15580100000,13996300000,12276300000,29341500000,30246900000,30109800000,28859800000,27331100000,27619000000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/24545/000002454595000003/0000024545-95-000003-index.html,https://www.sec.gov/Archives/edgar/data/24545/000002454596000003/0000024545-96-000003-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/24545/000002454502000003/0000024545-02-000003-index.html,https://www.sec.gov/Archives/edgar/data/24545/000104746903010404/a2106472z10-k.htm,https://www.sec.gov/Archives/edgar/data/24545/000110465904007268/a04-3237_110k.htm,https://www.sec.gov/Archives/edgar/data/24545/000104746905006237/a2152593z10-k.htm,https://www.sec.gov/Archives/edgar/data/24545/000104746906003212/a2168095z10-k.htm,https://www.sec.gov/Archives/edgar/data/24545/000110465907015086/a07-5287_110k.htm,https://www.sec.gov/Archives/edgar/data/24545/000104746908001563/a2182586z10-k.htm,https://www.sec.gov/Archives/edgar/data/24545/000104746909001758/0001047469-09-001758-index.html,https://www.sec.gov/Archives/edgar/data/24545/000104746910001028/0001047469-10-001028-index.html,https://www.sec.gov/Archives/edgar/data/24545/000104746911001088/a2202044z10-k.htm,https://www.sec.gov/Archives/edgar/data/24545/000144530512000454/0001445305-12-000454-index.html,https://www.sec.gov/Archives/edgar/data/24545/000002454513000005/0000024545-13-000005-index.html,https://www.sec.gov/Archives/edgar/data/24545/000002454514000004/tap2013123110-k.htm,https://www.sec.gov/Archives/edgar/data/24545/000002454515000004/tap2014123110-k.htm,https://www.sec.gov/Archives/edgar/data/24545/000002454516000054/0000024545-16-000054-index.html,https://www.sec.gov/Archives/edgar/data/24545/000002454517000005/0000024545-17-000005-index.html,https://www.sec.gov/Archives/edgar/data/24545/000002454518000009/0000024545-18-000009-index.html,https://www.sec.gov/Archives/edgar/data/24545/000002454519000007/0000024545-19-000007-index.html,https://www.sec.gov/Archives/edgar/data/24545/000002454520000005/0000024545-20-000005-index.html,https://www.sec.gov/Archives/edgar/data/24545/000002454521000004/0000024545-21-000004-index.htm,https://www.sec.gov/Archives/edgar/data/24545/000002454522000005/0000024545-22-000005-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,13100000,38900000,23900000,-2000000,-41900000,58000000,43178000,43000000,82000000,68000000,92000000,109617000,123000000,162000000,175000000,197000000,135000000,361031000,497000000,388000000,720000000,708000000,676300000,443000000,567300000,514000000,359500000,1975900000,1414200000,1116500000,241700000,-949000000,1005700000
74,Depreciation and Amortization,- -,- -,- -,- -,122400000,130400000,143900000,114800000,119000000,120793000,122830000,121121000,117166000,115815000,123770000,129283000,121091000,230299000,243611000,268377000,392814000,438354000,345843000,273400000,187400000,202300000,217100000,272700000,320500000,313000000,314400000,388400000,812800000,857500000,859000000,922000000,786100000
75,Deferred Income Tax,- -,- -,- -,- -,-13800000,-10200000,-21500000,-49000000,-26300000,18230000,-1744000,17696000,-15043000,-8751000,20635000,6870000,-19176000,-2819000,53497000,6215000,-23049000,1368000,-97948000,85100000,127800000,68000000,38900000,72500000,-17600000,200000,51800000,1050700000,-53200000,225200000,233700000,301800000,230500000
