,https://roic.ai/company/EFX,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,687000000,865800000,776200000,1308400000,1230400000,1464728000,1064600000,1221300000,1267400000,1257600000,1551100000,1445400000,3098900000,2906500000,3133700000,3004400000,3056300000,3981400000,3891500000,4069100000,3947400000,5991100000,6235000000,6250900000,6699600000,7133500000,9920000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1053700000,1302800000,1177100000,1828800000,1839800000,2069637000,1422600000,1506900000,1553300000,1557200000,1831500000,1790600000,3523900000,3260300000,3550500000,3433600000,3508600000,4511100000,4539900000,4674200000,4509000000,6664000000,7233400000,7153200000,7909000000,9611800000,11040900000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,62200000,84600000,94700000,107300000,177400000,35262000,13200000,16500000,13400000,9700000,5900000,23500000,31100000,29900000,35900000,24600000,27500000,25100000,19900000,20300000,40600000,81000000,110300000,175700000,148300000,159100000,211600000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20400000,60500000,13000000,47400000,79900000,54609000,62000000,233900000,160500000,255700000,92300000,330000000,222100000,31900000,183200000,20700000,47200000,283300000,296500000,380400000,49300000,585400000,965300000,4900000,3100000,1101100000,824800000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,49200000,62700000,- -,65700000,69800000,58700000,55800000,57900000,61800000,73400000,96800000,110700000,108400000,98000000,104000000,108300000,121300000
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,168000000,229600000,219900000,264500000,247500000,336353000,200700000,177500000,180900000,191500000,147100000,165900000,293700000,190500000,203300000,215500000,232300000,280200000,284300000,349000000,417100000,482500000,489500000,548200000,1103700000,1114600000,1133600000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,250600000,374700000,327600000,419200000,504800000,426224000,275900000,427900000,354800000,456900000,294500000,582100000,546900000,318000000,492200000,319500000,362800000,646500000,662500000,823100000,603800000,1259600000,1673500000,826800000,1359100000,2483100000,2291300000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,302700000,306000000,339300000,869500000,933700000,993569000,693600000,690600000,663000000,398500000,463800000,173900000,1165200000,1187400000,990900000,978900000,966000000,1447400000,1145500000,1145700000,1145900000,2086800000,1739000000,2630600000,3379500000,3277300000,4470100000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,50100000,73100000,90198000,88600000,25900000,44300000,38600000,126100000,70800000,277100000,215300000,249300000,244200000,227800000,227700000,263700000,241500000,205500000,325400000,305100000,316200000,248000000,332300000,358200000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,147000000,197200000,160800000,123500000,112600000,176068000,121000000,141500000,119700000,139600000,126800000,125700000,135500000,227200000,203100000,182600000,229900000,230300000,127200000,229300000,203400000,270900000,276800000,223900000,299500000,308800000,320100000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,449700000,503200000,500100000,1043100000,1119400000,1259835000,903200000,858000000,827000000,576700000,716700000,370400000,1577800000,1629900000,1443300000,1405700000,1423700000,1905400000,1536400000,1616500000,1554800000,2683100000,2320900000,3170700000,3927000000,3918400000,5148400000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,29000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,700300000,877900000,827700000,1462300000,1624200000,1686059000,1179100000,1285900000,1181800000,1033600000,1011200000,952500000,2124700000,1947900000,1935500000,1725200000,1786500000,2551900000,2198900000,2439600000,2158600000,3942700000,3994400000,3997500000,5286100000,6401500000,7439700000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,217800000,219989000,223000000,225100000,225500000,227500000,231500000,232900000,235600000,236500000,236600000,236600000,236600000,236600000,236600000,236600000,236600000,236600000,236600000,236600000,236600000,236600000,236600000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,270000000,396300000,415100000,562900000,726800000,902475000,758800000,925400000,1079000000,1298800000,1525100000,1778600000,2030000000,2281000000,2494200000,2725700000,2879200000,3064600000,3309200000,3554800000,3834400000,4153200000,4600600000,4717800000,4131800000,4185400000,4751600000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-148900000,-164600000,-124700000,-151000000,-171100000,-176705000,-112000000,-441800000,-370000000,-336200000,-220700000,-232200000,-228200000,-390600000,-318700000,-344500000,-391800000,-362000000,-312600000,-435400000,-484800000,-528900000,-412000000,-626300000,-631600000,-171400000,-295400000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,232300000,193200000,59000000,- -,- -,- -,- -,-487700000,- -,-666500000,-715600000,-941200000,-638200000,-814500000,-810900000,-926400000,-1021600000,-1006000000,-932500000,-1155900000,-1275300000,-1198200000,-1250800000,-1220300000,-1158200000,-1082200000,-1108400000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,353400000,424900000,349400000,366500000,215600000,383578000,243500000,221000000,371500000,523600000,820300000,838100000,1399200000,1312400000,1601200000,1691400000,1702400000,1933200000,2300700000,2200100000,2310900000,2662700000,3174400000,3107800000,2578600000,3168400000,3584400000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1053700000,1302800000,1177100000,1828800000,1839800000,2069637000,1422600000,1506900000,1553300000,1557200000,1831500000,1790600000,3523900000,3260300000,3536700000,3416600000,3488900000,4485100000,4499600000,4639700000,4469500000,6605400000,7168800000,7105300000,7864700000,9569900000,11024100000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13800000,17000000,19700000,26000000,40300000,34500000,39500000,58600000,64600000,47900000,44300000,41900000,16800000
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1053700000,1302800000,1177100000,1828800000,1839800000,2069637000,1422600000,1506900000,1553300000,1557200000,1831500000,1790600000,3523900000,3260300000,3550500000,3433600000,3508600000,4511100000,4539900000,4674200000,4509000000,6664000000,7233400000,7153200000,7909000000,9611800000,11040900000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/33185/0000950109-96-001983-index.html,https://www.sec.gov/Archives/edgar/data/33185/000093176397000464/0000931763-97-000464-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/33185/000093176302000622/0000931763-02-000622-index.html,https://www.sec.gov/Archives/edgar/data/33185/000093176303000722/0000931763-03-000722-index.htm,- -,https://www.sec.gov/Archives/edgar/data/33185/000110465905011449/0001104659-05-011449-index.htm,https://www.sec.gov/Archives/edgar/data/33185/000110465906013557/0001104659-06-013557-index.htm,https://www.sec.gov/Archives/edgar/data/33185/000110465907014494/0001104659-07-014494-index.htm,https://www.sec.gov/Archives/edgar/data/33185/000104746908001839/0001047469-08-001839-index.htm,https://www.sec.gov/Archives/edgar/data/33185/000104746909001891/0001047469-09-001891-index.htm,https://www.sec.gov/Archives/edgar/data/33185/000104746910001159/0001047469-10-001159-index.htm,https://www.sec.gov/Archives/edgar/data/33185/000114420411010496/0001144204-11-010496-index.htm,https://www.sec.gov/Archives/edgar/data/33185/000114420412010639/0001144204-12-010639-index.htm,https://www.sec.gov/Archives/edgar/data/33185/000114420413010696/0001144204-13-010696-index.htm,https://www.sec.gov/Archives/edgar/data/33185/000114420414012238/0001144204-14-012238-index.htm,https://www.sec.gov/Archives/edgar/data/33185/000162828015001024/0001628280-15-001024-index.htm,https://www.sec.gov/Archives/edgar/data/33185/000003318516000037/0000033185-16-000037-index.htm,https://www.sec.gov/Archives/edgar/data/33185/000003318517000008/0000033185-17-000008-index.htm,https://www.sec.gov/Archives/edgar/data/33185/000003318518000011/0000033185-18-000011-index.htm,https://www.sec.gov/Archives/edgar/data/33185/000003318519000007/0000033185-19-000007-index.htm,https://www.sec.gov/Archives/edgar/data/33185/000003318520000011/0000033185-20-000011-index.htm,https://www.sec.gov/Archives/edgar/data/33185/000003318521000025/0000033185-21-000025-index.htm,https://www.sec.gov/Archives/edgar/data/33185/000003318522000014/0000033185-22-000014-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,35700000,63900000,54100000,85300000,63500000,120300000,147700000,177600000,183700000,193400000,215900000,228022000,122500000,178000000,164900000,234700000,246500000,274500000,272700000,272800000,233900000,266700000,232900000,272100000,351800000,367400000,429100000,488800000,587300000,299800000,-398800000,520100000,744200000
74,Depreciation and Amortization,- -,- -,- -,- -,43000000,53400000,55900000,53800000,54900000,66500000,77000000,85900000,77100000,103800000,125300000,148783000,106200000,80500000,95300000,81100000,82200000,82800000,127700000,155400000,158800000,167800000,164900000,163400000,190300000,204200000,200000000,268700000,290900000,315900000,337300000,399300000,489600000
75,Deferred Income Tax,- -,- -,- -,- -,- -,1200000,-10300000,-1100000,-24400000,-15700000,10400000,-20100000,9700000,34600000,20900000,16691000,8200000,17900000,15800000,25300000,11800000,-2600000,7900000,7700000,14700000,100000,3600000,-26500000,-9700000,-9600000,-28700000,-13000000,-44100000,-2300000,-87200000,66500000,9300000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19900000,19600000,21800000,24400000,28000000,32200000,38100000,38400000,37100000,38300000,42500000,49700000,54700000,54900000
77,Change in Working Capital,- -,- -,- -,- -,5900000,- -,- -,- -,- -,116100000,- -,-53800000,11000000,27900000,3400000,74085000,-96585000,-224400000,73400000,-88400000,143200000,-222800000,115000000,157700000,-111200000,185100000,-20200000,-206300000,102700000,-203900000,175800000,-544500000,-88400000,750600000,-225200000,144900000,-26300000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,24200000,12800000,-3600000,-26600000,-17200000,-2400000,-27800000,-26900000,-55700000,-1300000,-37400000,-61300000,-93700000,-66200000
