,https://roic.ai/company/KEP,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
35,Inventory,- -,- -,- -,- -,721519572708,948966250000,1650112000000,1813730389350,2002096152884,2634427908207,4272098000000,3894878000000,3479690000000,3851751000000,3440341000000,4279593000000,4537469000000,4946413000000,5479443000000,6002086000000,7188253000000,7050700000000,6742909000000,- -
36,Other Current Assets,- -,- -,- -,- -,350093712811,547012500000,854839000000,1269111622300,1993951914462,2132844573810,751341000000,556698000000,1212860000000,1217932000000,666875000000,341988000000,2410757000000,438439000000,666743000000,781963000000,901769000000,1234493000000,1288084000000,- -
37,Total Current Assets,- -,- -,- -,- -,4914241991212,5810523750000,5765736000000,6955131410400,8385556614292,9340081480475,10339224000000,11028900000000,12388500000000,14125902000000,13933483000000,15269078000000,16819855000000,22025325000000,19708526000000,19141707000000,19745068000000,19483001000000,20561941000000,- -
38,PP&E,- -,- -,- -,- -,61300633431115,64926686250000,61178774000000,63513540543420,62254496395693,67601388720094,69795285000000,74033431000000,78899513000000,112384881000000,122901946000000,130108154000000,136316713000000,141860888000000,146281916000000,151422047000000,153277718000000,165258340000000,169280028000000,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2582000000,2582000000,2582000000,2582000000,2582000000,2582000000,97977000000,98166000000,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,946847000000,682345000000,455852000000,848709000000,358008000000,340106000000,316846000000,356295000000,441961000000,647488000000,691418000000,513463000000,485089000000,- -
41,Intangible Assets,- -,- -,- -,- -,459179122027,541101250000,591207000000,879384431200,814853186561,841803372571,946847000000,682345000000,455852000000,848709000000,358008000000,342688000000,319428000000,358877000000,444543000000,650070000000,694000000000,611440000000,583255000000,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2717195000000,3542283000000,4764710000000,5002505000000,6764609000000,7133708000000,7549645000000,8189084000000,8167942000000,7369609000000,7991958000000,8478329000000,8506466000000,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1963520000000,1689851000000,1145548000000,372478000000,209783000000,359535000000,526934000000,623623000000,795131000000,919153000000,1233761000000,1437829000000,1733146000000,- -
44,Other Non-Current Assets,- -,- -,- -,- -,3834475680784,3939045000000,3620389000000,2814030179840,2406499593508,5192250011008,2436539000000,2231221000000,1956275000000,3733375000000,1984991000000,2314171000000,2175714000000,2199562000000,2438984000000,2286329000000,2306556000000,2328853000000,2477275000000,- -
45,Total Non-Current Assets,- -,- -,- -,- -,65594288233926,69406832500000,65390370000000,67206955154460,65475849175762,73635442103673,77859386000000,82179131000000,87221898000000,122341948000000,132219337000000,140258256000000,146888434000000,153232034000000,158128516000000,162647208000000,165503993000000,178114791000000,182580170000000,- -
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,211074000000000
47,Total Assets,- -,- -,- -,- -,70508530225137,75217356250000,71156106000000,74162086564860,73861405790054,82975523584148,88198610000000,93208031000000,99610398000000,136467850000000,146152820000000,155527334000000,163708289000000,175257359000000,177837042000000,181788915000000,185249061000000,197597792000000,203142111000000,211074000000000
48,Accounts Payable,- -,- -,- -,- -,1666244364795,1705292500000,1553097000000,1934645748640,1952289535453,2274599255758,3099089000000,2763509000000,3047273000000,6576158000000,3282240000000,4582130000000,4723443000000,3336682000000,4108955000000,2936990000000,5042690000000,4812380000000,2606861000000,- -
49,Short-Term Debt,- -,- -,- -,- -,5810864766708,7163836250000,4483933000000,3589487360080,4481057380164,5493681659587,5802493000000,6463293000000,6769293000000,1173568000000,811114000000,115308000000,109374000000,116885000000,121176000000,131792000000,1229824000000,1950483000000,2689846000000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,461707000000,82844000000,256198000000,505154000000,588753000000,308772000000,828808000000,2364318000000,2106551000000,672772000000,457874000000,519254000000,733957000000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,90439000000,- -,325452000000,370009000000,389184000000,393967000000,471102000000,518224000000,619110000000,621916000000,660664000000,- -
52,Other Current Liabilities,- -,- -,- -,- -,2628531434456,1764546250000,1942362000000,1558908764400,1789437588817,1574961613826,1634281000000,1520901000000,1680381000000,9991441000000,14398273000000,15146402000000,16378067000000,18863308000000,20037993000000,19837275000000,14949909000000,16846877000000,19923851000000,- -
53,Total Current Liabilities,- -,- -,- -,- -,10105640565959,10633675000000,7979392000000,7083041873120,8222784504434,9343242529171,10535863000000,10747703000000,11587386000000,17741167000000,18817079000000,20213849000000,21600068000000,22710842000000,24739226000000,23424281000000,21841533000000,24231656000000,25881222000000,- -
54,Long-Term Debt,- -,- -,- -,- -,17664455510008,16582568750000,14561652000000,15375237339140,14715553046766,16129644228951,36387933000000,27855943000000,33107540000000,4178137000000,885365000000,769658000000,660061000000,542509000000,420003000000,286468000000,3484621000000,7824527000000,7048430000000,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5867945000000,6291398000000,6588715000000,6856990000000,7422683000000,7868268000000,8055181000000,8617199000000,9248715000000,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,1345975088510,1516956250000,1611286000000,810432697390,522394214682,2549217233869,- -,972077000000,990116000000,6786779000000,5433292000000,5002585000000,5723880000000,8362683000000,8948520000000,10415397000000,9617309000000,8564775000000,9100247000000,- -
