,https://roic.ai/company/VSTO,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
45,Total Non-Current Assets,- -,382283000,1607984000,1508063000,1892970000,1866900000,1556144000,798561000,682278000,700707000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,797812000,2457658000,2573124000,2942634000,2976747000,2614836000,1738023000,1391289000,1764939000
48,Accounts Payable,- -,111319000,181506000,134432000,147738000,127718000,114549000,99283000,89996000,163839000
49,Short-Term Debt,- -,- -,- -,17500000,17500000,32000000,32000000,19335000,- -,- -
50,Tax Payable,- -,21411000,34574000,33911000,41175000,30082000,22701000,18918000,19702000,23092000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,103258000,151121000,155980000,203663000,186671000,198671000,198579000,156705000,206978000
53,Total Current Liabilities,- -,214577000,332627000,307912000,368901000,346389000,345220000,317197000,246701000,370817000
54,Long-Term Debt,- -,- -,1014911000,332500000,652787000,1089252000,883399000,684670000,511806000,572939000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,40441000,216138000,193382000,135957000,160765000,66196000,17757000,12810000,8235000
57,Other Non-Current Liabilities,- -,10894000,23251000,90566000,124822000,135276000,102531000,109359000,177467000,75951000
58,Total Non-Current Liabilities,- -,51335000,1254300000,616448000,913566000,1385293000,1052126000,811786000,702083000,657125000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,73738000,77375000
61,Total Liabilities,- -,265912000,1586927000,924360000,1282467000,1731682000,1397346000,1128983000,948784000,1027942000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,639000,608000,571000,574000,577000,580000,585000
64,Retained Earnings,- -,- -,- -,19384000,166421000,-108033000,-156526000,-804969000,-960048000,-694036000
65,Other Comprehensive Income/Loss,- -,-401000,-1505000,-110303000,-110214000,-112992000,-104296000,-82967000,-100994000,-83195000
66,Other Total Stockholders Equity,- -,638674000,997458000,1739044000,1603352000,1465519000,1477738000,1496399000,1502967000,1513643000
67,Total Stockholders Equity,- -,531900000,870731000,1648764000,1660167000,1245065000,1217490000,609040000,442505000,736997000
68,Total Liabilities And Stockholders Equity,- -,797812000,2457658000,2573124000,2942634000,2976747000,2614836000,1738023000,1391289000,1764939000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,797812000,2457658000,2573124000,2942634000,2976747000,2614836000,1738023000,1391289000,1764939000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1616318/000161631815000008/0001616318-15-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1616318/000161631816000100/0001616318-16-000100-index.htm,https://www.sec.gov/Archives/edgar/data/1616318/000161631817000102/0001616318-17-000102-index.htm,https://www.sec.gov/Archives/edgar/data/1616318/000161631818000051/0001616318-18-000051-index.htm,https://www.sec.gov/Archives/edgar/data/1616318/000161631819000032/0001616318-19-000032-index.htm,https://www.sec.gov/Archives/edgar/data/1616318/000161631820000081/0001616318-20-000081-index.htm,https://www.sec.gov/Archives/edgar/data/1616318/000161631821000080/0001616318-21-000080-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , 
73,Net Income,10660000,64692000,133257000,79528000,147037000,-274454000,-60232000,-648443000,-155079000,266012000
74,Depreciation and Amortization,24490000,25128000,44902000,66551000,72614000,93779000,89759000,77503000,67858000,65110000
75,Deferred Income Tax,-3371000,-483000,8746000,-947000,-457000,-22470000,-78989000,-22718000,-4521000,-10106000
76,Stock Based Compensation,- -,- -,- -,3012000,12279000,12648000,9299000,6599000,6810000,13303000
77,Change in Working Capital,-1096000,240102000,-76386000,82695000,-49986000,-91207000,-159955000,231105000,203998000,-212565000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,-24573000,-44045000,8970000,40991000,-31065000,-85680000,155526000,-7102000,-7675000,-84185000
80,Accounts Payable,-747000,11073000,-32277000,-37837000,3398000,-54055000,-1633000,540000,-12543000,72946000
81,Other Working Capital,517047000,757149000,680763000,763458000,713472000,622265000,462310000,693415000,897413000,684848000
82,Other Non-Cash Items,48047000,-254076000,61791000,-76501000,16515000,436392000,452473000,453429000,-42321000,223620000
83,Cash Provided by Operating Activities,78730000,75363000,172310000,154338000,198002000,154688000,252355000,97475000,76745000,345374000
84,CAPEX,-23611000,-23395000,-40234000,-43189000,-41526000,-90665000,-66627000,-42242000,-23768000,-30166000
85,Acquisitions Net,- -,- -,-1301687000,- -,-462050000,-458149000,- -,154595000,156567000,-71951000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-23600000,-23395000,-40060000,-42869000,-41154000,-90530000,-66499000,-41877000,-23491000,-30067000
89,Cash Used for Investing Activites,-23600000,-23395000,-1341747000,-42869000,-503204000,-548679000,-66499000,112718000,133076000,-102018000
90,Debt Repayment,- -,- -,-206362000,-70087000,-377500000,-412000000,-457000000,-905834000,-607891000,-595474000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,-5097000,-143194000,-151850000,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,-214000000,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-54976000,-52417000,1415678000,405310000,713294000,851779000,248450000,694724000,407833000,563834000
95,Cash Used/Provided by Financing Activities,-54976000,-52417000,1209316000,116126000,192600000,287929000,-208550000,-211110000,-200058000,-31640000
96,Effect of Forex Changes on Cash,- -,- -,58000,-3648000,343000,-555000,489000,-18000,-323000,174000
97,Net Change In Cash,154000,-449000,39937000,223947000,-112259000,-106617000,-22205000,-935000,9440000,211890000
98,Cash at the End of Period,516000,67000,40004000,263951000,151692000,45075000,22870000,21935000,31375000,243265000
99,Cash at the Beginning of Period,362000,516000,67000,40004000,263951000,151692000,45075000,22870000,21935000,31375000
100,Free Cash Flow,55119000,51968000,132076000,111149000,156476000,64023000,185728000,55233000,52977000,315208000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1616318/000161631815000008/0001616318-15-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1616318/000161631816000100/0001616318-16-000100-index.htm,https://www.sec.gov/Archives/edgar/data/1616318/000161631817000102/0001616318-17-000102-index.htm,https://www.sec.gov/Archives/edgar/data/1616318/000161631818000051/0001616318-18-000051-index.htm,https://www.sec.gov/Archives/edgar/data/1616318/000161631819000032/0001616318-19-000032-index.htm,https://www.sec.gov/Archives/edgar/data/1616318/000161631820000081/0001616318-20-000081-index.htm,https://www.sec.gov/Archives/edgar/data/1616318/000161631821000080/0001616318-21-000080-index.htm
102,false,,,,,,,,,,
