,https://roic.ai/company/WCC,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
15,EBITDA,16900000,69400000,82314000,65508000,46682000,62364000,120869000,168886000,348746000,371979000,381750000,216950000,239139000,364594000,319218000,447405000,452639000,371192000,198877000,316784000,346010000,345396000,471554000,1047519000
16,EBITDA ratio,0.0056,0.0203,0.0212,0.0179,0.0140,0.0190,0.0323,0.0382,0.0655,0.0620,0.0625,0.0469,0.0472,0.0595,0.0485,0.0595,0.0574,0.0494,0.0271,0.0413,0.0423,0.0413,0.0383,0.0575
17,Operating Income,107800000,125000000,134842000,95385000,76625000,86045000,149446000,209286000,364983000,394224000,345667000,179952000,210919000,332979000,332871000,480998000,466217000,373742000,332059000,320890000,352440000,346217000,347038000,801873000
18,Operating Income ratio,0.0356,0.0365,0.0347,0.0261,0.0230,0.0262,0.0399,0.0473,0.0686,0.0657,0.0566,0.0389,0.0417,0.0544,0.0506,0.0640,0.0591,0.0497,0.0453,0.0418,0.0431,0.0414,0.0282,0.0440
19,Total Other Income Expenses (Gains),-107000000,-66600000,-78129000,-62017000,-50655000,-46954000,-49948000,-58402000,-47417000,-63196000,-40724000,-42801000,-53278000,-53603000,-51232000,-101147000,-82064000,-69832000,-200508000,-68450000,-71415000,-64156000,-224196000,-219961000
20,Income Before Tax,800000,58400000,56713000,33368000,25970000,39091000,99498000,150884000,317566000,331028000,304943000,137151000,157641000,279376000,281639000,379851000,384153000,303910000,131551000,252440000,281025000,282061000,122842000,581912000
21,Income Before Tax Ratio,0.0003,0.0171,0.0146,0.0091,0.0078,0.0119,0.0266,0.0341,0.0597,0.0551,0.0499,0.0297,0.0311,0.0456,0.0428,0.0506,0.0487,0.0404,0.0179,0.0329,0.0344,0.0337,0.0100,0.0319
22,Income Tax expense (Gain),8500000,23300000,23275000,13143000,2847000,9085000,34566000,47358000,100246000,90397000,92252000,32063000,42164000,83136000,79880000,103333000,108716000,95537000,30431000,89307000,55670000,59863000,22803000,115510000
23,Net Income,-7700000,24600000,33438000,20225000,23123000,30006000,64932000,103526000,217320000,240631000,212691000,105088000,115477000,196251000,201777000,276430000,275906000,210687000,101588000,163460000,227343000,223426000,100560000,465382000
24,Net Income ratio,-0.0025,0.0072,0.0086,0.0055,0.0070,0.0091,0.0174,0.0234,0.0408,0.0401,0.0348,0.0227,0.0228,0.0320,0.0307,0.0368,0.0350,0.0280,0.0138,0.0213,0.0278,0.0267,0.0082,0.0255
25,EPS,-573.96,0.57,0.74,0.45,0.51,0.67,1.55,2.20,4.46,5.27,5.04,2.48,2.69,3.96,5.08,6.24,6.20,5.00,2.09,3.48,5.04,5.35,1.41,9.30
26,EPS Diluted,-573.96,0.53,0.70,0.43,0.49,0.65,1.47,2.10,4.14,4.99,4.91,2.46,2.50,3.96,4.38,5.25,5.18,4.18,2.09,3.38,4.82,5.14,1.41,9.30
27,Weighted Average Shares Outstanding,13416,43157895,45186486,44944444,45339216,44785075,41891613,47057273,48726457,45660531,42465351,42264440,43009941,49600000,44061451,44267460,44489989,42173790,48611497,47009540,45106085,41797093,50064985,50064985
28,Weighted Average Shares Outstanding Diluted,13416,46415094,47768571,47034884,47189796,46163077,44171429,49298095,52492754,48222645,43319756,42700000,46100000,49600000,51100000,52700000,53300000,50400000,48611497,48400000,47200000,43487000,50064985,50064985
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/929008/000095015206002136/j1826501e10vk.htm,https://www.sec.gov/Archives/edgar/data/929008/000095015207001674/l24081ae10vk.htm,https://www.sec.gov/Archives/edgar/data/929008/000095015208001567/l29854ae10vk.htm,https://www.sec.gov/Archives/edgar/data/929008/000095015209001958/0000950152-09-001958-index.html,https://www.sec.gov/Archives/edgar/data/929008/000095012310018312/0000950123-10-018312-index.html,https://www.sec.gov/Archives/edgar/data/929008/000095012311018103/l41398e10vk.htm,https://www.sec.gov/Archives/edgar/data/929008/000092900812000010/0000929008-12-000010-index.html,https://www.sec.gov/Archives/edgar/data/929008/000092900813000009/0000929008-13-000009-index.html,https://www.sec.gov/Archives/edgar/data/929008/000092900814000006/wcc-12312013x10k.htm,https://www.sec.gov/Archives/edgar/data/929008/000092900815000006/wcc-12312014x10k.htm,https://www.sec.gov/Archives/edgar/data/929008/000092900816000049/0000929008-16-000049-index.html,https://www.sec.gov/Archives/edgar/data/929008/000092900817000005/0000929008-17-000005-index.html,https://www.sec.gov/Archives/edgar/data/929008/000092900818000004/0000929008-18-000004-index.html,https://www.sec.gov/Archives/edgar/data/929008/000092900819000006/0000929008-19-000006-index.html,https://www.sec.gov/Archives/edgar/data/929008/000092900820000013/0000929008-20-000013-index.html,https://www.sec.gov/Archives/edgar/data/929008/000092900821000006/0000929008-21-000006-index.htm,https://www.sec.gov/Archives/edgar/data/929008/000092900822000009/0000929008-22-000009-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,8100000,8800000,21079000,75057000,22570000,27495000,34523000,22125000,73395000,72297000,86338000,112329000,53577000,63869000,86099000,123725000,128319000,160279000,110131000,117953000,96343000,150902000,449135000,212583000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,8100000,8800000,21079000,75057000,22570000,27495000,34523000,22125000,73395000,72297000,86338000,112329000,53577000,63869000,86099000,123725000,128319000,160279000,110131000,117953000,96343000,150902000,449135000,212583000
34,Net Receivables,211100000,230800000,302304000,247976000,208273000,298440000,419683000,364643000,906989000,928090000,852775000,696697000,848050000,995070000,1134885000,1193523000,1312327000,1230313000,1192302000,1294559000,1288464000,1301759000,2706102000,3333498000
35,Inventory,343800000,397700000,421083000,380022000,338781000,320975000,387339000,500798000,613569000,666027000,605678000,507215000,588848000,626967000,793974000,787324000,819502000,810067000,821441000,956148000,948726000,1011674000,2163831000,2666219000
36,Other Current Assets,19100000,16500000,19759000,14980000,7433000,9378000,13371000,21297000,24059000,14085000,12872000,14763000,23211000,51514000,86879000,93969000,90190000,56875000,48583000,40189000,52107000,76076000,187910000,137811000
37,Total Current Assets,582100000,653800000,764225000,718035000,577057000,656288000,854916000,908863000,1618012000,1680499000,1557663000,1331004000,1513686000,1737420000,2101837000,2198541000,2350338000,2257534000,2172457000,2408849000,2385640000,2540411000,5506978000,6350111000
38,PP&E,107600000,116600000,123477000,120599000,110174000,98937000,94742000,103083000,107016000,104119000,119223000,116309000,118045000,133550000,210723000,198654000,182725000,166739000,157607000,156445000,160878000,417282000,933862000,909875000
39,Goodwill,- -,- -,- -,311073000,- -,- -,- -,- -,931229000,924358000,862778000,863410000,985714000,1008127000,1777797000,1734391000,1735440000,1681662000,1720714000,1771877000,1722603000,1759040000,3187169000,3208333000
40,Intangible Assets,234000000,249200000,277763000,- -,314078000,398673000,401610000,626109000,147550000,133791000,88689000,81308000,160307000,156874000,496761000,439167000,429840000,403649000,393362000,367104000,316016000,287275000,2065495000,1944141000
41,Intangible Assets,234000000,249200000,277763000,311073000,314078000,398673000,401610000,626109000,1078779000,1058149000,951467000,944718000,1146021000,1165001000,2274558000,2173558000,2165280000,2085311000,2114076000,2138981000,2038619000,2046315000,5252664000,5152474000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,46251000,43957000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16811000,33518000,35887000,18090000,1342000,1733000,22414000,18221000,15803000,24203000,16374000,11248000,37696000,34191000
44,Other Non-Current Assets,26800000,9200000,4568000,8251000,13809000,7307000,5587000,13104000,20176000,17120000,29562000,24687000,13135000,24391000,41169000,44622000,33680000,59620000,31041000,6990000,3525000,2379000,149014000,171048000
45,Total Non-Current Assets,368400000,375000000,405808000,439923000,438061000,504917000,501939000,742296000,1205971000,1179388000,1163314000,1163189000,1313088000,1341032000,2527792000,2418567000,2404099000,2329891000,2318527000,2326619000,2219396000,2477224000,6373236000,6267588000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,950500000,1028800000,1170033000,1157958000,1015118000,1161205000,1356855000,1651159000,2823983000,2859887000,2720977000,2494193000,2826774000,3078452000,4629629000,4617108000,4754437000,4587425000,4490984000,4735468000,4605036000,5017635000,11880214000,12617699000
48,Accounts Payable,378600000,407000000,460535000,469107000,346513000,366380000,455821000,572467000,590304000,626293000,571832000,453154000,537505000,642777000,706580000,735097000,765135000,715519000,684721000,799520000,794348000,830478000,1707329000,2140251000
49,Short-Term Debt,16600000,3800000,585000,5530000,5778000,2120000,31413000,55020000,424260000,563924000,329190000,126168000,31578000,53900000,79400000,77779000,85178000,78509000,51522000,72943000,74032000,44706000,528830000,9528000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,29212000,32879000,9712000,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,71300000,44000000,62722000,54842000,46184000,111210000,77011000,92399000,139108000,101708000,104987000,101512000,139150000,149169000,222015000,231713000,213559000,153773000,160554000,168506000,193566000,208875000,750836000,900029000
53,Total Current Liabilities,466500000,454800000,523842000,529479000,398475000,479710000,564245000,719886000,1153672000,1291925000,1006009000,680834000,708233000,845846000,1007995000,1044589000,1063872000,947801000,896797000,1040969000,1061946000,1084059000,2986995000,3049808000
54,Long-Term Debt,579200000,422500000,482740000,446436000,412196000,420042000,386173000,352232000,743887000,811311000,841928000,597869000,725893000,642922000,1695413000,1447634000,1366430000,1456761000,1363135000,1313261000,1167311000,1257067000,4369953000,5115790000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,18800000,26700000,31641000,27306000,29475000,34151000,42954000,73738000,149677000,118084000,120459000,191068000,210876000,223005000,300470000,316623000,346743000,364838000,158009000,136858000,143967000,146617000,488261000,437444000
57,Other Non-Current Liabilities,7100000,7500000,6823000,10086000,5684000,59614000,9930000,13853000,13520000,30091000,20585000,28133000,33178000,20769000,72060000,43471000,49227000,44154000,63031000,128237000,102086000,271221000,698616000,238446000
58,Total Non-Current Liabilities,605100000,456700000,521204000,483828000,447355000,513807000,439057000,439823000,907084000,959486000,982972000,817070000,969947000,886696000,2067943000,1807728000,1762400000,1865753000,1584175000,1578356000,1413364000,1674905000,5556830000,5791680000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,179830000,414889000,414248000
61,Total Liabilities,1071600000,911500000,1045046000,1013307000,845830000,993517000,1003302000,1159709000,2060756000,2251411000,1988981000,1497904000,1678180000,1732542000,3075938000,2852317000,2826272000,2813554000,2480972000,2619325000,2475310000,2758964000,8543825000,8841488000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,500000,487000,489000,491000,493000,548000,561000,581000,589000,600000,603000,609000,614000,622000,624000,627000,629000,631000,634000,635000,636000,719000,725000
64,Retained Earnings,-468200000,-443600000,-410144000,-389919000,-366796000,-336790000,-271858000,-168332000,48988000,284794000,497485000,582199000,697676000,891789000,1092719000,1368386000,1643914000,1854456000,1956532000,2079697000,2307462000,2530429000,2601662000,3004690000
65,Other Comprehensive Income/Loss,-26900000,-42700000,-55984000,-72705000,-1489000,5704000,9847000,13635000,14530000,25832000,-18338000,10985000,22633000,10057000,-1044000,-76543000,-201892000,-423155000,-387365000,-312590000,-408435000,-367772000,-263134000,-236035000
66,Other Total Stockholders Equity,374000000,603100000,590628000,606786000,537082000,498281000,615016000,645586000,699128000,297261000,252249000,402502000,427676000,443538000,461500000,472342000,486003000,344742000,443483000,351998000,235648000,102190000,1004475000,1013144000
67,Total Stockholders Equity,-121100000,117300000,124987000,144651000,169288000,167688000,353553000,491450000,763227000,608476000,731996000,996289000,1148594000,1345998000,1553797000,1764809000,1928652000,1776672000,2013281000,2119739000,2135310000,2265483000,3343722000,3782524000
68,Total Liabilities And Stockholders Equity,950500000,1028800000,1170033000,1157958000,1015118000,1161205000,1356855000,1651159000,2823983000,2859887000,2720977000,2494193000,2826774000,3078540000,4629735000,4617126000,4754924000,4590226000,4494253000,4739064000,4610620000,5024447000,11887547000,12624012000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-88000,-106000,-18000,-487000,-2801000,-3269000,-3596000,-5584000,-6812000,-7333000,-6313000
70,Total Liabilities & Equity,950500000,1028800000,1170033000,1157958000,1015118000,1161205000,1356855000,1651159000,2823983000,2859887000,2720977000,2494193000,2826774000,3078452000,4629629000,4617108000,4754437000,4587425000,4490984000,4735468000,4605036000,5017635000,11880214000,12617699000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/929008/000095015206002136/j1826501e10vk.htm,https://www.sec.gov/Archives/edgar/data/929008/000095015207001674/l24081ae10vk.htm,https://www.sec.gov/Archives/edgar/data/929008/000095015208001567/l29854ae10vk.htm,https://www.sec.gov/Archives/edgar/data/929008/000095015209001958/0000950152-09-001958-index.html,https://www.sec.gov/Archives/edgar/data/929008/000095012310018312/0000950123-10-018312-index.html,https://www.sec.gov/Archives/edgar/data/929008/000095012311018103/l41398e10vk.htm,https://www.sec.gov/Archives/edgar/data/929008/000092900812000010/0000929008-12-000010-index.html,https://www.sec.gov/Archives/edgar/data/929008/000092900813000009/0000929008-13-000009-index.html,https://www.sec.gov/Archives/edgar/data/929008/000092900814000006/wcc-12312013x10k.htm,https://www.sec.gov/Archives/edgar/data/929008/000092900815000006/wcc-12312014x10k.htm,https://www.sec.gov/Archives/edgar/data/929008/000092900816000049/0000929008-16-000049-index.html,https://www.sec.gov/Archives/edgar/data/929008/000092900817000005/0000929008-17-000005-index.html,https://www.sec.gov/Archives/edgar/data/929008/000092900818000004/0000929008-18-000004-index.html,https://www.sec.gov/Archives/edgar/data/929008/000092900819000006/0000929008-19-000006-index.html,https://www.sec.gov/Archives/edgar/data/929008/000092900820000013/0000929008-20-000013-index.html,https://www.sec.gov/Archives/edgar/data/929008/000092900821000006/0000929008-21-000006-index.htm,https://www.sec.gov/Archives/edgar/data/929008/000092900822000009/0000929008-22-000009-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-7700000,24600000,33438000,20225000,23123000,30006000,64932000,103526000,217320000,240631000,212691000,105088000,115477000,196251000,201777000,276430000,275906000,210687000,101588000,163460000,227343000,223426000,100560000,465382000
74,Depreciation and Amortization,16100000,21500000,25601000,32140000,20712000,23273000,21371000,18002000,31180000,40951000,26731000,26045000,23935000,31607000,37561000,67642000,68017000,64968000,66858000,64017000,62997000,62107000,121600000,198554000
75,Deferred Income Tax,2400000,13700000,2760000,12035000,13918000,3647000,2504000,3560000,18523000,11147000,1772000,-7959000,20982000,14373000,17685000,20635000,4979000,42850000,-45174000,-50396000,9137000,13205000,-33538000,-78285000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13324000,15752000,15407000,15088000,15917000,14766000,12899000,12493000,14809000,16445000,19062000,19279000,30821000
77,Change in Working Capital,220800000,83400000,41383000,-51827000,-9974000,-2004000,114093000,-101694000,275363000,-75766000,163080000,98516000,155283000,86121000,202268000,60110000,132514000,23267000,-34073000,92220000,-44186000,132658000,1063631000,-531450000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,28352000,179662000,-118478000,-143491000,36415000,-30464000,-89029000,40102000,56767000,-112977000,-22934000,11453000,47879000,-531828000
79,Inventory,-5600000,-45000000,-16047000,48511000,41241000,25238000,-63767000,-60220000,-27673000,-33632000,26556000,107848000,-33956000,-33769000,-29339000,-9339000,-36847000,2410000,-1612000,-119002000,-8702000,-47297000,203827000,-530730000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-31198000,-114289000,53902000,101677000,-24346000,37789000,37587000,-55914000,-40607000,102870000,9193000,23505000,-54127000,449564000
81,Other Working Capital,115600000,199000000,240383000,188556000,178582000,176578000,290671000,188977000,464340000,388574000,551654000,650170000,805453000,891574000,1093842000,1153952000,1286466000,1309733000,1275660000,1367880000,1323694000,1456352000,2519983000,- -
82,Other Non-Cash Items,45300000,-76800000,-56271000,148519000,-27351000,-19164000,-180956000,271703000,-335303000,45315000,-124413000,56650000,-204146000,-176226000,-186195000,-125593000,-245026000,-71622000,198543000,-134988000,24985000,-226091000,-727601000,-17884000
83,Cash Provided by Operating Activities,276900000,66400000,46911000,161092000,20428000,35758000,21944000,295097000,207083000,262278000,279861000,291664000,127283000,167533000,288184000,315141000,251156000,283049000,300235000,149122000,296721000,224367000,543931000,67138000
84,CAPEX,-184700000,-81200000,-21552000,-13820000,-9349000,-8379000,-12149000,-14154000,-18359000,-16118000,-35284000,-12970000,-15132000,-33347000,-23084000,-27825000,-20548000,-21658000,-17957000,-21507000,-36210000,-44067000,-56671000,-54746000
85,Acquisitions Net,- -,- -,-40904000,-56269000,-14466000,-2028000,-34114000,-278829000,-540447000,-32398000,47920000,-262000,-225397000,-48093000,-1289480000,- -,-138630000,-151595000,-50890000,- -,- -,-27597000,-3707575000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19054000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,600000,9300000,1767000,933000,755000,1177000,- -,2014000,2879000,487000,3794000,2540000,932000,97000,1558000,9602000,14991000,3023000,-1639000,16212000,2068000,10864000,-27574000,2537000
89,Cash Used for Investing Activites,-184100000,-71900000,-60689000,-69156000,-23060000,-9230000,-46263000,-290969000,-555927000,-48029000,16430000,-10692000,-220543000,-81343000,-1311006000,-18223000,-144187000,-170230000,-70486000,-5295000,-34142000,-60800000,-3735149000,2537000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1105952000,-659282000,-1425624000,-732648000,-1264813000,-1743919000,-1304832000,-1540831000,-2455069000,-1720666000,-1482074000,-1247214000,-1524306000,-3440159000
91,Common Stock Issued,332800000,187500000,1273000,489000,620000,438000,113422000,8173000,6862000,6043000,- -,- -,4300000,- -,2300000,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,-658000000,-4800000,-28064000,- -,- -,-27295000,-20144000,- -,- -,-440845000,-78852000,-64000,-655000,-7840000,-12280000,-7890000,-7222000,-155805000,-4818000,-106792000,-127169000,-153049000,-2901000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-30139000,-57408000
94,Other Financing Activites,232900000,-176400000,52829000,-38447000,-50475000,4543000,-62585000,-25204000,393253000,222196000,919815000,394401000,1452614000,669580000,2318841000,1494290000,1216564000,1628821000,2183624000,1686262000,1334149000,1290497000,5038087000,3186788000
95,Cash Used/Provided by Financing Activities,-92300000,6300000,26038000,-37958000,-49855000,-22314000,30693000,-17031000,400115000,-212606000,-264989000,-264945000,30635000,-70908000,1044048000,-257519000,-95490000,-67815000,-276263000,-141196000,-275094000,-109766000,3480741000,-310779000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,711000,654000,505000,-1000,-2741000,-17261000,9964000,3873000,-4990000,1004000,-1773000,-6885000,-13044000,-3634000,5191000,-9095000,758000,8710000,4552000
97,Net Change In Cash,- -,700000,12260000,53978000,-52487000,4925000,7028000,-12398000,51270000,-1098000,14041000,25991000,-58752000,10292000,22230000,37626000,4594000,31960000,-50148000,7822000,-21610000,54559000,298233000,-236552000
98,Cash at the End of Period,- -,8800000,21079000,75057000,22570000,27495000,34523000,22125000,73395000,72297000,86338000,112329000,53577000,63869000,86099000,123725000,128319000,160279000,110131000,117953000,96343000,150902000,449135000,212583000
99,Cash at the Beginning of Period,7600000,8100000,8819000,21079000,75057000,22570000,27495000,34523000,22125000,73395000,72297000,86338000,112329000,53577000,63869000,86099000,123725000,128319000,160279000,110131000,117953000,96343000,150902000,449135000
100,Free Cash Flow,92200000,-14800000,25359000,147272000,11079000,27379000,9795000,280943000,188724000,246160000,244577000,278694000,112151000,134186000,265100000,287316000,230608000,261391000,282278000,127615000,260511000,180300000,487260000,12392000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/929008/000095015206002136/j1826501e10vk.htm,https://www.sec.gov/Archives/edgar/data/929008/000095015207001674/l24081ae10vk.htm,https://www.sec.gov/Archives/edgar/data/929008/000095015208001567/l29854ae10vk.htm,https://www.sec.gov/Archives/edgar/data/929008/000095015209001958/0000950152-09-001958-index.html,https://www.sec.gov/Archives/edgar/data/929008/000095012310018312/0000950123-10-018312-index.html,https://www.sec.gov/Archives/edgar/data/929008/000095012311018103/l41398e10vk.htm,https://www.sec.gov/Archives/edgar/data/929008/000092900812000010/0000929008-12-000010-index.html,https://www.sec.gov/Archives/edgar/data/929008/000092900813000009/0000929008-13-000009-index.html,https://www.sec.gov/Archives/edgar/data/929008/000092900814000006/wcc-12312013x10k.htm,https://www.sec.gov/Archives/edgar/data/929008/000092900815000006/wcc-12312014x10k.htm,https://www.sec.gov/Archives/edgar/data/929008/000092900816000049/0000929008-16-000049-index.html,https://www.sec.gov/Archives/edgar/data/929008/000092900817000005/0000929008-17-000005-index.html,https://www.sec.gov/Archives/edgar/data/929008/000092900818000004/0000929008-18-000004-index.html,https://www.sec.gov/Archives/edgar/data/929008/000092900819000006/0000929008-19-000006-index.html,https://www.sec.gov/Archives/edgar/data/929008/000092900820000013/0000929008-20-000013-index.html,https://www.sec.gov/Archives/edgar/data/929008/000092900821000006/0000929008-21-000006-index.htm,https://www.sec.gov/Archives/edgar/data/929008/000092900822000009/0000929008-22-000009-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,
