,https://roic.ai/company/OSUR,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,1700000,4900000,7000000,9400000,15000000,15100000,19500000,15600000,11600000,9000000,10400000,26307372,24122135,22661743,25675571,33221758,33819570,37936062,51502319,57459076,52894586,50713436,61115131,71841000,79051000,76926000,72235000,67762000,71218000,85184000,86785000,108144000,129249000
11,COGS and Expenses,5900000,6900000,8900000,10600000,16700000,20700000,24400000,74200000,14400000,12000000,13500000,35309800,36455830,35550299,41737028,55364948,61793477,62692257,83905113,87435196,82790418,78368943,91278777,104090000,119402000,116766000,111661000,107933000,139326000,153314000,146807000,177997000,245323000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,737892,151757,63990,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,361188,316185,316313,172000,- -,- -,- -,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,300000,500000,900000,1200000,1100000,1200000,1500000,1300000,700000,700000,700000,2099668,1995888,2179182,2576797,2487121,2346861,1923275,2735999,3386670,3049962,3012270,4891173,7250000,6552000,6307000,5696000,5687000,6402000,7222000,7730000,9714000,12495000
15,EBITDA,-2300000,-2400000,-4000000,-6000000,-13600000,-14400000,-17000000,1000000,-21800000,-1200000,-2500000,-10622519,-1703112,-1163291,1467850,1927479,12065759,10984728,7029774,-5361298,-5024267,-168490,-4502083,-9090000,-5410000,2036000,14528000,26010000,47434000,38938000,29061000,6190000,3203000
16,EBITDA ratio,-0.7188,-0.6667,-1.0526,-2.0000,-4.1212,-3.0000,-3.4000,0.0146,-2.3191,-0.1224,-0.2475,-0.3529,-0.0523,-0.0363,0.0363,0.0357,0.1739,0.1612,0.0850,-0.0754,-0.0652,-0.0022,-0.0550,-0.1035,-0.0547,0.0191,0.1214,0.2029,0.2839,0.2142,0.1880,0.0360,0.0137
17,Operating Income,-2700000,-3300000,-5100000,-7600000,-13400000,-15900000,-19400000,-5500000,-5000000,-2200000,-3400000,-12813076,-4332486,-3540532,-1285743,-1356684,7572715,5462663,-1219237,-16330729,-8792567,-3354107,-9397479,-16270000,-12162000,-4802000,8058000,20265000,40238000,28429000,18611000,-5177000,-10164000
18,Operating Income ratio,-0.8438,-0.9167,-1.3421,-2.5333,-4.0606,-3.3125,-3.8800,-0.0801,-0.5319,-0.2245,-0.3366,-0.4256,-0.1330,-0.1106,-0.0318,-0.0251,0.1092,0.0802,-0.0147,-0.2297,-0.1142,-0.0447,-0.1148,-0.1853,-0.1229,-0.0451,0.0673,0.1581,0.2409,0.1564,0.1204,-0.0301,-0.0435
19,Total Other Income Expenses (Gains),200000,400000,200000,300000,-1300000,100000,900000,5400000,800000,400000,- -,90889,633486,198059,176796,797042,2146183,3598790,5513012,7582761,357150,-142838,-312090,-242000,200000,531000,774000,58000,794000,3287000,2720000,1653000,872000
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-12722187,-3699000,-3342473,-1108947,-559642,9718898,9061453,4293775,-8747968,-8435417,-3496945,-9709569,-16512000,-11962000,-4271000,8832000,20323000,41032000,31716000,21331000,-3524000,-9292000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-0.4226,-0.1136,-0.1044,-0.0274,-0.0104,0.1401,0.1330,0.0519,-0.1230,-0.1095,-0.0466,-0.1186,-0.1880,-0.1209,-0.0401,0.0738,0.1585,0.2456,0.1745,0.1380,-0.0205,-0.0398
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,24363,28789,- -,26590,- -,-17729189,3793904,1821336,22527334,-622284,- -,-868950,-1397000,-772000,343000,665000,603000,10084000,11320000,4675000,11398000,13706000
23,Net Income,-2600000,-2900000,-4900000,-7200000,-14700000,-15600000,-18500000,-300000,-22500000,-1900000,-3200000,-12746550,-3727789,-3342473,-1135537,-559642,27448087,5267549,2472439,-31275302,-7813133,-3496945,-8840619,-15115000,-11190000,-4614000,8167000,19720000,30948000,20396000,16656000,-14922000,-22998000
24,Net Income ratio,-0.8125,-0.8056,-1.2895,-2.4000,-4.4545,-3.2500,-3.7000,-0.0044,-2.3936,-0.1939,-0.3168,-0.4234,-0.1144,-0.1044,-0.0281,-0.0104,0.3957,0.0773,0.0299,-0.4399,-0.1014,-0.0466,-0.1080,-0.1721,-0.1131,-0.0433,0.0682,0.1538,0.1852,0.1122,0.1077,-0.0869,-0.0984
25,EPS,-0.31,-0.29,-0.43,-0.55,-1.11,-1.56,-1.56,-0.11,-1.11,-0.14,-0.23,-0.36,-0.10,-0.09,-0.03,-0.01,0.61,0.11,0.05,-0.67,-0.17,-0.08,-0.19,-0.29,-0.20,-0.08,0.14,0.35,0.52,0.33,0.27,-0.22,-0.32
26,EPS Diluted,-0.31,-0.29,-0.43,-0.55,-1.11,-1.56,-1.56,-0.11,-1.11,-0.14,-0.23,-0.36,-0.10,-0.09,-0.03,-0.01,0.59,0.11,0.05,-0.67,-0.17,-0.08,-0.19,-0.29,-0.20,-0.08,0.14,0.35,0.51,0.33,0.27,-0.22,-0.32
27,Weighted Average Shares Outstanding,8387097,10000000,11395349,13090909,13243243,14605263,17500000,18421053,20097000,13571429,13913043,35002283,36868101,37582780,39793919,44463861,45109580,45909990,46325338,46549739,45877843,46187000,46908000,51457000,55555000,55949000,56397000,55615000,59050000,61112000,61675000,67505000,71981000
28,Weighted Average Shares Outstanding Diluted,8387097,10000000,11395349,13090909,13243243,14605263,17500000,18421053,20097000,13571429,13913043,35002283,36868101,37582780,39793919,44463861,46146612,46580266,46878143,46549739,45877843,46187000,46908000,51457000,55555000,55949000,56846000,56513000,61024000,62532000,62170000,67505000,71981000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1116463/000093066102000960/0000930661-02-000960-index.html,https://www.sec.gov/Archives/edgar/data/1116463/000095010903001919/0000950109-03-001919-index.html,https://www.sec.gov/Archives/edgar/data/1116463/000119312504034555/0001193125-04-034555-index.htm,https://www.sec.gov/Archives/edgar/data/1116463/000119312505051144/0001193125-05-051144-index.htm,https://www.sec.gov/Archives/edgar/data/1116463/000119312506053910/0001193125-06-053910-index.htm,https://www.sec.gov/Archives/edgar/data/1116463/000119312507057268/0001193125-07-057268-index.htm,https://www.sec.gov/Archives/edgar/data/1116463/000119312508054266/0001193125-08-054266-index.htm,https://www.sec.gov/Archives/edgar/data/1116463/000119312509049845/0001193125-09-049845-index.htm,https://www.sec.gov/Archives/edgar/data/1116463/000119312510057039/0001193125-10-057039-index.htm,https://www.sec.gov/Archives/edgar/data/1116463/000119312511062311/0001193125-11-062311-index.htm,https://www.sec.gov/Archives/edgar/data/1116463/000119312512114853/0001193125-12-114853-index.htm,https://www.sec.gov/Archives/edgar/data/1116463/000119312513105190/0001193125-13-105190-index.htm,https://www.sec.gov/Archives/edgar/data/1116463/000119312514098958/0001193125-14-098958-index.htm,https://www.sec.gov/Archives/edgar/data/1116463/000119312515089338/0001193125-15-089338-index.htm,https://www.sec.gov/Archives/edgar/data/1116463/000119312516503534/0001193125-16-503534-index.htm,https://www.sec.gov/Archives/edgar/data/1116463/000119312517082033/0001193125-17-082033-index.htm,https://www.sec.gov/Archives/edgar/data/1116463/000119312518064054/0001193125-18-064054-index.htm,https://www.sec.gov/Archives/edgar/data/1116463/000156459019005491/0001564590-19-005491-index.htm,https://www.sec.gov/Archives/edgar/data/1116463/000156459020008195/0001564590-20-008195-index.htm,https://www.sec.gov/Archives/edgar/data/1116463/000156459021009887/0001564590-21-009887-index.htm,https://www.sec.gov/Archives/edgar/data/1116463/000095017022002556/0000950170-22-002556-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,4900000,2600000,10200000,2600000,8600000,11000000,4300000,5700000,1900000,1200000,1100000,- -,2426346,4364308,30695177,10121208,32826740,19949821,32229697,39565218,74933630,73843402,23878002,87888000,93191000,92867000,94094000,107959000,71029000,88438000,75715000,160802000,116762000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4500000,- -,12764903,10543876,33328610,56602248,44793046,71051482,63336408,42957467,4736730,1895000,- -,- -,- -,5000000,7225000,11160000,83028000,68134000,80623000,48599000,36279000
33,Cash and Short-Term Investments,4900000,2600000,10200000,2600000,8600000,11000000,4300000,5700000,1900000,1200000,5600000,- -,15191249,14908184,64023787,66723456,77619786,91001303,95566105,82522685,79670360,75738402,23878002,87888000,93191000,97867000,101319000,119119000,154057000,156572000,156338000,209401000,153041000
34,Net Receivables,700000,600000,200000,500000,400000,300000,400000,4500000,1000000,1600000,1600000,- -,6132927,5197787,8233869,7073988,11602127,10357287,11296355,11571048,13693340,12471249,17158751,17545000,12957000,16138000,19265000,19827000,42521000,34842000,36948000,38835000,45323000
35,Inventory,300000,800000,1100000,900000,1000000,1700000,1400000,7700000,1300000,1100000,1500000,- -,4444772,4088474,4003519,4951979,4128029,5534567,9409743,10704088,8844492,7345594,9620556,12758000,11444000,15763000,13242000,11799000,19343000,22888000,23155000,31863000,53138000
36,Other Current Assets,300000,800000,200000,6600000,200000,6200000,18600000,19000000,7300000,4700000,300000,- -,1038511,925707,922820,1195085,8057491,5665667,7516508,1418171,2609518,1930108,2178306,2212000,1983000,1446000,2888000,5696000,5984000,5010000,8109000,8794000,36929000
37,Total Current Assets,6200000,4800000,11700000,10600000,10200000,19200000,24700000,36900000,11500000,8600000,9000000,- -,26807459,25120152,77183995,79944508,101407433,112558824,123788711,106215992,104817710,97485353,52835615,120403000,119575000,131214000,136714000,156441000,221905000,219312000,224550000,288893000,288431000
38,PP&E,700000,700000,2100000,2300000,2900000,4400000,2500000,4200000,1200000,800000,1000000,- -,7800137,7427950,6471209,5551261,5815233,17374718,20911157,21235367,20014466,19610583,19855456,18546000,17933000,17934000,20083000,20033000,21372000,24299000,37286000,57633000,99713000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,24739776,25445000,23782000,21734000,18250000,18793000,20083000,18521000,36201000,40351000,40279000
40,Intangible Assets,500000,600000,1100000,2000000,400000,- -,- -,1100000,700000,600000,500000,- -,2042533,2543519,1886171,2080363,2879958,6328344,5279471,4380540,809252,4806919,30383112,27207000,22226000,17505000,12591000,10337000,8223000,5137000,14674000,17904000,14343000
41,Intangible Assets,500000,600000,1100000,2000000,400000,- -,- -,1100000,700000,600000,500000,- -,2042533,2543519,1886171,2080363,2879958,6328344,5279471,4380540,809252,4806919,55122888,52652000,46008000,39239000,30841000,29130000,28306000,23658000,50875000,58255000,54622000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20690000,44752000,33420000,47718000,17009000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20204352,19845789,17265591,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,700000,300000,300000,800000,600000,1000000,2900000,3000000,3600000,400000,200000,- -,634546,645626,609932,488192,440227,457788,107586,86290,1349319,617238,47383,124000,729000,1246000,1683000,2331000,3928000,3550000,3164000,1973000,1215000
45,Total Non-Current Assets,1900000,1600000,3500000,5100000,3900000,5400000,5400000,8300000,5500000,1800000,1700000,- -,10477216,10617095,8967312,8119816,29339770,44006639,43563805,25702197,22173037,25034740,75025727,71322000,64670000,58419000,52607000,51494000,74296000,96259000,124745000,165579000,172559000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,8100000,6400000,15200000,15700000,14100000,24600000,30100000,45200000,17000000,10400000,10700000,- -,37284675,35737247,86151307,88064324,130747203,156565463,167352516,131918189,126990747,122520093,127861342,191725000,184245000,189633000,189321000,207935000,296201000,315571000,349295000,454472000,460990000
48,Accounts Payable,400000,300000,600000,400000,500000,500000,900000,3100000,100000,600000,500000,- -,2874061,1801952,3511148,2360214,2546621,3311968,5615998,3925662,3370604,2898846,4142173,3380000,4834000,7148000,5087000,4633000,10228000,10598000,9567000,17407000,28024000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1057572,1065966,1126423,1122455,456541,608595,556751,557897,509761,7791680,7291680,- -,- -,- -,- -,- -,- -,- -,- -,7291680,3120000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2227000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1877546,2841640,1951921,- -,- -,- -,5580000,1119000,8043000,9735000,1388000,1314000,3521000,3713000,4811000,2936000
52,Other Current Liabilities,400000,400000,300000,600000,1000000,1500000,3200000,12700000,1900000,1500000,1600000,- -,3111886,3321509,5375851,7552279,7733941,10781603,9154070,8844034,11502802,8986879,10542155,7960000,13032000,11271000,10412000,11314000,20695000,13861000,19433000,16979320,33984000
53,Total Current Liabilities,800000,700000,900000,1000000,1500000,2000000,4100000,15800000,2000000,2100000,2100000,- -,7043519,6189427,10013422,11034948,10737103,16579712,18168459,15279514,15383167,19677405,21976008,16920000,18985000,26462000,25234000,17335000,32237000,27980000,32713000,46489000,68064000
54,Long-Term Debt,- -,- -,- -,5500000,4700000,4100000,3600000,500000,- -,- -,- -,- -,3586458,3409362,2456454,1334236,884021,10030541,8817669,8301440,7791679,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9154000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5635633,4401000,3437000,3236000,2883000,2446000,1951000,901000,899000,1195000,2234000
57,Other Non-Current Liabilities,100000,- -,- -,- -,-100000,- -,100000,- -,- -,- -,- -,- -,114025,119546,172142,118135,207037,451235,311799,11985,8911,- -,- -,89000,677000,1234000,1768000,2304000,3932000,3312000,8538000,8217000,1005000
58,Total Non-Current Liabilities,100000,- -,- -,5500000,4600000,4100000,3700000,500000,- -,- -,- -,- -,3700483,3528908,2628596,1452371,1091058,10481776,9129468,8313425,7800590,- -,5635633,4490000,4114000,4470000,4651000,4750000,5883000,4213000,9437000,9412000,12393000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7223000,6128000,12274000
61,Total Liabilities,900000,700000,900000,6500000,6100000,6100000,7800000,16300000,2000000,2100000,2100000,- -,10744002,9718335,12642018,12487319,11828161,27061488,27297927,23592939,23183757,19677405,27611641,21410000,23099000,30932000,29885000,22085000,38120000,32193000,42150000,55901000,80457000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,114800000,- -,37,38,44,45,46,46,47,46,46,46,47,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
64,Retained Earnings,-6200000,-9100000,-14000000,-21200000,-37500000,-53100000,-71600000,-72300000,-95400000,-103000000,-106300000,- -,-126092291,-129434764,-130570301,-131129943,-103681856,-98414307,-96000051,-127275353,-135088486,-138585431,-147426050,-162541000,-173731000,-178345000,-170178000,-150458000,-119510000,-99189000,-82533000,-97455000,-120453000
65,Other Comprehensive Income/Loss,-600000,-900000,-1300000,-2000000,-2000000,-3400000,-3900000,-5600000,-4300000,-4500000,-4900000,- -,-11636144,-12982983,-14862075,-10228493,-11802345,-11850731,-13491356,-15767111,-17764364,-20204317,-2000000,-1000000,-4000000,-8000000,-16000000,-14000000,-10000000,-19000000,-12000000,-9097000,-10077000
66,Other Total Stockholders Equity,14000000,15700000,29600000,32400000,47500000,75000000,97800000,106600000,114700000,115800000,5000000,- -,164269071,168436621,218941621,216935396,234403197,239768967,249545949,251367668,256659794,261632390,249675704,333856000,338877000,345046000,345614000,350308000,387591000,401567000,401678000,505123000,- -
67,Total Stockholders Equity,7200000,5700000,14300000,9200000,8000000,18500000,22300000,28700000,15000000,8300000,8600000,- -,26540673,26018912,73509289,75577005,118919042,129503975,140054589,108325250,103806990,102842688,100249701,170315000,161146000,158701000,159436000,185850000,258081000,283378000,307145000,398571000,380533000
68,Total Liabilities And Stockholders Equity,8100000,6400000,15200000,15700000,14100000,24600000,30100000,45000000,17000000,10400000,10700000,- -,37284675,35737247,86151307,88064324,130747203,156565463,167352516,131918189,126990747,122520093,127861342,191725000,184245000,189633000,189321000,207935000,296201000,315571000,349295000,454472000,460990000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,8100000,6400000,15200000,15700000,14100000,24600000,30100000,45200000,17000000,10400000,10700000,- -,37284675,35737247,86151307,88064324,130747203,156565463,167352516,131918189,126990747,122520093,127861342,191725000,184245000,189633000,189321000,207935000,296201000,315571000,349295000,454472000,460990000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,undefined,https://www.sec.gov/Archives/edgar/data/1116463/000093066102000960/0000930661-02-000960-index.html,https://www.sec.gov/Archives/edgar/data/1116463/000095010903001919/0000950109-03-001919-index.html,https://www.sec.gov/Archives/edgar/data/1116463/000119312504034555/0001193125-04-034555-index.htm,https://www.sec.gov/Archives/edgar/data/1116463/000119312505051144/0001193125-05-051144-index.htm,https://www.sec.gov/Archives/edgar/data/1116463/000119312506053910/0001193125-06-053910-index.htm,https://www.sec.gov/Archives/edgar/data/1116463/000119312507057268/0001193125-07-057268-index.htm,https://www.sec.gov/Archives/edgar/data/1116463/000119312508054266/0001193125-08-054266-index.htm,https://www.sec.gov/Archives/edgar/data/1116463/000119312509049845/0001193125-09-049845-index.htm,https://www.sec.gov/Archives/edgar/data/1116463/000119312510057039/0001193125-10-057039-index.htm,https://www.sec.gov/Archives/edgar/data/1116463/000119312511062311/0001193125-11-062311-index.htm,https://www.sec.gov/Archives/edgar/data/1116463/000119312512114853/0001193125-12-114853-index.htm,https://www.sec.gov/Archives/edgar/data/1116463/000119312513105190/0001193125-13-105190-index.htm,https://www.sec.gov/Archives/edgar/data/1116463/000119312514098958/0001193125-14-098958-index.htm,https://www.sec.gov/Archives/edgar/data/1116463/000119312515089338/0001193125-15-089338-index.htm,https://www.sec.gov/Archives/edgar/data/1116463/000119312516503534/0001193125-16-503534-index.htm,https://www.sec.gov/Archives/edgar/data/1116463/000119312517082033/0001193125-17-082033-index.htm,https://www.sec.gov/Archives/edgar/data/1116463/000119312518064054/0001193125-18-064054-index.htm,https://www.sec.gov/Archives/edgar/data/1116463/000156459019005491/0001564590-19-005491-index.htm,https://www.sec.gov/Archives/edgar/data/1116463/000156459020008195/0001564590-20-008195-index.htm,https://www.sec.gov/Archives/edgar/data/1116463/000156459021009887/0001564590-21-009887-index.htm,https://www.sec.gov/Archives/edgar/data/1116463/000095017022002556/0000950170-22-002556-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-2600000,-2900000,-4900000,-7200000,-14700000,-15600000,-18500000,-300000,-22500000,-1900000,-3200000,-12746550,-3727789,-3342473,-1135537,-559642,27448087,5267549,2472439,-31275302,-7813133,-3496945,-8840619,-15115000,-11190000,-4614000,8167000,19720000,30948000,20396000,16656000,-14922000,-22998000
74,Depreciation and Amortization,300000,500000,900000,1200000,1100000,1200000,1500000,1300000,700000,700000,700000,2099668,1995888,2179182,2576797,2487121,2346861,1923275,2735999,3386670,3049962,3012270,4891173,7250000,6552000,6307000,5696000,5687000,6402000,7222000,7730000,9714000,12495000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-18165068,3113745,1313839,22305250,- -,- -,-868950,-1397000,-772000,294000,48000,-529000,-649000,-919000,-1457000,-392000,1026000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3935737,3228812,4100451,5197000,5572000,5744000,6045000,6063000,6973000,15237000,4057000,7139000,7807000
77,Change in Working Capital,- -,- -,-1300000,6700000,-1200000,-900000,8500000,3400000,500000,-11600000,-3000000,400000,12863940,-833215,48239848,1738987,21760770,5308782,9641140,-14683774,-1501935,-11626595,-46948341,72623393,-2893000,4162000,6728000,27626000,50562000,1664000,505000,50567000,-38435000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2116410,1218808,-3377339,-296000,4337000,-3381000,-3739000,-576000,-22116000,6635000,-2210000,-2324000,-6451000
79,Inventory,-100000,-500000,-300000,200000,-100000,-700000,-300000,-3100000,-200000,200000,-400000,909835,-3549168,-1017316,-454692,-1787590,-1240049,-2156302,-4797609,-2870255,2088013,1440639,-1756710,-3139000,1268000,-4401000,2348000,1476000,-7391000,-3857000,-1324000,-8607000,-27941000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-501177,-472461,911141,-791000,1510000,2194000,-2648000,46000,5157000,208000,-1537000,7379000,3234000
81,Other Working Capital,5400000,5400000,4100000,10800000,9600000,8700000,17200000,20600000,21100000,9500000,6500000,6900000,19763940,18930725,67170573,68909560,90670330,95979112,105620252,90936478,89434543,77807948,30859607,103483000,100590000,104752000,111480000,139106000,189668000,191332000,191837000,242404000,-1891000
82,Other Non-Cash Items,100000,-300000,2100000,-6000000,4400000,2000000,-6100000,-5900000,19000000,11300000,3100000,252436,-16387889,1478999,-46979312,-228250,-22998314,1272453,-4579538,17806814,2036604,12769625,44672302,-73931393,11116000,-4367000,-10911000,-35800000,-66080000,-4510000,-17687000,-46299000,4723000
83,Cash Provided by Operating Activities,-2200000,-2700000,-3200000,-5300000,-10400000,-13300000,-14600000,-1500000,-2300000,-1500000,-2400000,-9994446,-5255850,-517507,2701796,3438216,10392336,16885804,11583879,-2460342,-292765,3887167,-2993984,-5373000,8385000,7526000,15773000,22767000,28156000,39090000,9804000,5807000,-35382000
84,CAPEX,-100000,-300000,-2100000,-1000000,-1200000,-2600000,-1400000,-1100000,-500000,-100000,-700000,-3071565,-2763639,-1649129,-993722,-1512144,-2048167,-12843266,-9703770,-3843270,-1199551,-6605775,-2504923,-2019000,-2462000,-3005000,-3744000,-4353000,-4337000,-6344000,-9314000,-28924000,-48117000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-49729925,- -,- -,- -,- -,- -,- -,- -,-11801000,-3037000,- -
86,Purchases of Investments,- -,-3600000,- -,-6500000,- -,-5600000,-16200000,-47600000,-20100000,-13500000,-11200000,-24869468,-21297303,-9306439,-37280182,-65638600,-54071801,-91494215,-93953103,-67125962,-5986000,- -,- -,- -,- -,-9407000,-26895000,-34133000,-161269000,-163763000,-92173000,-90137000,-25822000
87,Sales/Maturities of Investments,- -,3200000,600000,- -,6500000,- -,4700000,45900000,31800000,16200000,11100000,22939595,24057932,11474935,14489860,42226980,65935674,65433600,103292484,87315645,44090000,2841000,1895000,- -,- -,4432000,23934000,30421000,69253000,152680000,93491000,107718000,67925000
