,https://roic.ai/company/HWM,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
26,EPS Diluted,1.65,1.49,2.60,2.94,- -,-0.91,0.25,0.55,0.14,-1.90,0.56,-0.89,-2.28,-0.28,1.30,1.03,0.59,0.59
27,Weighted Average Shares Outstanding,795385,826407,865614,873297,834204,834204,1111111111,1111111111,733333333,733333333,438000000,438000000,438275079,450875943,482879501,446217357,435134173,430000000
28,Weighted Average Shares Outstanding Diluted,795385,826407,865614,873297,834204,834204,1111111111,1111111111,733333333,733333333,443000000,443000000,438275079,450875943,502627363,462827223,439296141,435000000
29,SEC Link,https://www.sec.gov/Archives/edgar/data/4281/000119312505033143/0001193125-05-033143-index.htm,https://www.sec.gov/Archives/edgar/data/4281/000119312506034739/0001193125-06-034739-index.htm,https://www.sec.gov/Archives/edgar/data/4281/000119312507033124/0001193125-07-033124-index.htm,https://www.sec.gov/Archives/edgar/data/4281/000119312508032695/0001193125-08-032695-index.htm,https://www.sec.gov/Archives/edgar/data/4281/000119312509029469/0001193125-09-029469-index.htm,https://www.sec.gov/Archives/edgar/data/4281/000119312510034308/0001193125-10-034308-index.htm,https://www.sec.gov/Archives/edgar/data/4281/000119312511039230/0001193125-11-039230-index.htm,https://www.sec.gov/Archives/edgar/data/4281/000119312512065493/0001193125-12-065493-index.htm,https://www.sec.gov/Archives/edgar/data/4281/000119312513062916/0001193125-13-062916-index.htm,https://www.sec.gov/Archives/edgar/data/4281/000119312514051516/0001193125-14-051516-index.htm,https://www.sec.gov/Archives/edgar/data/4281/000119312515054376/0001193125-15-054376-index.htm,https://www.sec.gov/Archives/edgar/data/4281/000119312516470162/0001193125-16-470162-index.htm,https://www.sec.gov/Archives/edgar/data/4281/000119312517062657/0001193125-17-062657-index.htm,https://www.sec.gov/Archives/edgar/data/4281/000000428118000042/0000004281-18-000042-index.htm,https://www.sec.gov/Archives/edgar/data/4281/000000428119000031/0000004281-19-000031-index.htm,https://www.sec.gov/Archives/edgar/data/4281/000000428120000038/0000004281-20-000038-index.htm,https://www.sec.gov/Archives/edgar/data/4281/000000428121000049/0000004281-21-000049-index.htm,https://www.sec.gov/Archives/edgar/data/4281/000000428122000004/0000004281-22-000004-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,457000000,762000000,506000000,483000000,762000000,1481000000,1543000000,1939000000,1861000000,1437000000,1877000000,1362000000,1863000000,2150000000,2277000000,1648000000,1610000000,720000000
32,Short-Term Investments,2066000000,1370000000,1722000000,2038000000,1915000000,1061000000,326000000,371000000,1860000000,1907000000,1944000000,1685000000,1020000000,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,2523000000,2132000000,2228000000,2521000000,2677000000,2542000000,1869000000,2310000000,3721000000,3344000000,3821000000,3047000000,2883000000,2150000000,2277000000,1648000000,1610000000,720000000
34,Net Receivables,- -,- -,- -,- -,- -,- -,1565000000,1571000000,- -,- -,1395000000,1354000000,1451000000,1374000000,1498000000,1451000000,357000000,420000000
35,Inventory,2968000000,3452000000,3805000000,3326000000,3238000000,2328000000,2562000000,2899000000,2825000000,2705000000,3082000000,2284000000,2253000000,2480000000,2492000000,2429000000,1488000000,1402000000
36,Other Current Assets,2002000000,3206000000,3124000000,2239000000,2235000000,2152000000,873000000,933000000,1154000000,920000000,-29000000,1268000000,-695000000,374000000,314000000,314000000,217000000,195000000
37,Total Current Assets,7493000000,8790000000,9157000000,8086000000,8150000000,7022000000,6869000000,7713000000,7700000000,6969000000,8269000000,7953000000,5892000000,6378000000,6581000000,5842000000,3672000000,2737000000
38,PP&E,- -,- -,- -,- -,- -,- -,20161000000,19416000000,- -,- -,16426000000,5425000000,5499000000,5594000000,5704000000,5715000000,2592000000,2575000000
39,Goodwill,6541000000,6249000000,6166000000,4806000000,4981000000,5051000000,5119000000,5251000000,5170000000,3415000000,5247000000,5249000000,5148000000,4535000000,4500000000,4493000000,4102000000,4067000000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1104000000,988000000,987000000,919000000,658000000,571000000,549000000
41,Intangible Assets,6541000000,6249000000,6166000000,4806000000,4981000000,5051000000,5119000000,5251000000,5170000000,3415000000,5247000000,6353000000,6136000000,5522000000,5419000000,5151000000,4673000000,4616000000
42,Investments,- -,1370000000,1718000000,2038000000,1915000000,1061000000,1340000000,1626000000,1860000000,1907000000,1944000000,193000000,1122000000,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,3184000000,3546000000,- -,- -,2754000000,13000000,154000000,162000000,146000000,608000000,272000000,184000000
44,Other Non-Current Assets,- -,-1370000000,-1718000000,-2038000000,-1915000000,-1061000000,2620000000,2568000000,-1860000000,-1907000000,2759000000,16540000000,1235000000,1062000000,843000000,262000000,234000000,107000000
45,Total Non-Current Assets,6541000000,6249000000,6166000000,4806000000,4981000000,5051000000,32424000000,32407000000,5170000000,3415000000,29130000000,28524000000,14146000000,12340000000,12112000000,11736000000,7771000000,7482000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,14034000000,15039000000,15323000000,12892000000,13131000000,12073000000,39293000000,40120000000,12870000000,10384000000,37399000000,36477000000,20038000000,18718000000,18693000000,17578000000,11443000000,10219000000
48,Accounts Payable,2226000000,2661000000,2680000000,2787000000,2518000000,1954000000,2322000000,2692000000,2702000000,2960000000,3152000000,1510000000,1744000000,1839000000,2129000000,2043000000,599000000,732000000
49,Short-Term Debt,267000000,300000000,475000000,569000000,478000000,176000000,231000000,445000000,53000000,57000000,29000000,41000000,40000000,38000000,434000000,1105000000,376000000,38000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,461000000,438000000,- -,- -,348000000,103000000,85000000,75000000,118000000,87000000,102000000,61000000
51,Deferred Revenue,279000000,875000000,762000000,545000000,2688000000,2958000000,3184000000,3546000000,3790000000,3184000000,2754000000,2668000000,1234000000,743000000,573000000,- -,- -,- -
52,Other Current Liabilities,3526000000,3532000000,3364000000,3265000000,1595000000,326000000,-501000000,-670000000,-603000000,-96000000,-394000000,992000000,-269000000,204000000,384000000,978000000,685000000,483000000
53,Total Current Liabilities,6298000000,7368000000,7281000000,7166000000,7279000000,5414000000,5236000000,6013000000,5942000000,6105000000,5541000000,5211000000,2749000000,2824000000,3520000000,4126000000,1660000000,1253000000
54,Long-Term Debt,57000000,58000000,510000000,202000000,56000000,669000000,8842000000,8640000000,465000000,655000000,8769000000,8786000000,8044000000,6806000000,5896000000,5100000000,4699000000,4308000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,1727000000,1823000000,2023000000,1943000000,1580000000,2605000000,2560000000,2428000000,3078000000,2971000000,- -,10434000000,4130000000,4178000000,3704000000,3731000000,1507000000,1150000000
58,Total Non-Current Liabilities,1784000000,1881000000,2533000000,2145000000,1636000000,3274000000,11402000000,11068000000,3543000000,3626000000,8769000000,19220000000,12174000000,10984000000,9600000000,8831000000,6206000000,5458000000
59,Other Liabilities,13379000000,13471000000,16004000000,15306000000,17847000000,20772000000,31848000000,31331000000,21257000000,19741000000,28321000000,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,265000000,- -,114000000
61,Total Liabilities,17893000000,18958000000,20752000000,20327000000,23490000000,22912000000,25682000000,26276000000,23656000000,22220000000,25093000000,24431000000,14923000000,13808000000,13120000000,12957000000,7866000000,6711000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,58000000,58000000,55000000,55000000,55000000,55000000,55000000
63,Common Stock,925000000,925000000,925000000,925000000,925000000,1097000000,1141000000,1178000000,1178000000,1178000000,1304000000,8585000000,8652000000,8747000000,8802000000,433000000,433000000,422000000
64,Retained Earnings,8636000000,9345000000,11066000000,13039000000,12400000000,11020000000,11149000000,11629000000,11689000000,9272000000,9379000000,8834000000,-1027000000,-1248000000,-358000000,129000000,364000000,603000000
65,Other Comprehensive Income/Loss,-165000000,-773000000,-1233000000,-337000000,-3169000000,-2092000000,-1675000000,-2627000000,-3402000000,-3659000000,-4677000000,-5431000000,-2568000000,-2644000000,-2926000000,-3329000000,-1943000000,-1863000000
66,Other Total Stockholders Equity,3904000000,3876000000,3873000000,2389000000,1579000000,2395000000,2996000000,3664000000,3734000000,3802000000,6300000000,- -,- -,- -,- -,7319000000,4668000000,4291000000
67,Total Stockholders Equity,13300000000,13373000000,14631000000,16016000000,11735000000,12420000000,13611000000,13844000000,13199000000,10593000000,12306000000,12046000000,5115000000,4910000000,5573000000,4607000000,3577000000,3508000000
68,Total Liabilities And Stockholders Equity,31193000000,32331000000,35383000000,36343000000,35225000000,35332000000,39293000000,40120000000,36855000000,32813000000,37399000000,36477000000,20038000000,18718000000,18693000000,17564000000,11443000000,10219000000
69,Minority Interest,-17159000000,-17292000000,-20060000000,-23451000000,-22094000000,-23259000000,- -,- -,-23985000000,-22429000000,- -,- -,- -,- -,- -,14000000,- -,- -
70,Total Liabilities & Equity,14034000000,15039000000,15323000000,12892000000,13131000000,12073000000,39293000000,40120000000,12870000000,10384000000,37399000000,36477000000,20038000000,18718000000,18693000000,17578000000,11443000000,10219000000
71,SEC Link,https://www.sec.gov/Archives/edgar/data/4281/000119312505033143/0001193125-05-033143-index.htm,https://www.sec.gov/Archives/edgar/data/4281/000119312506034739/0001193125-06-034739-index.htm,https://www.sec.gov/Archives/edgar/data/4281/000119312507033124/0001193125-07-033124-index.htm,https://www.sec.gov/Archives/edgar/data/4281/000119312508032695/0001193125-08-032695-index.htm,https://www.sec.gov/Archives/edgar/data/4281/000119312509029469/0001193125-09-029469-index.htm,https://www.sec.gov/Archives/edgar/data/4281/000119312510034308/0001193125-10-034308-index.htm,https://www.sec.gov/Archives/edgar/data/4281/000119312511039230/0001193125-11-039230-index.htm,https://www.sec.gov/Archives/edgar/data/4281/000119312512065493/0001193125-12-065493-index.htm,https://www.sec.gov/Archives/edgar/data/4281/000119312513062916/0001193125-13-062916-index.htm,https://www.sec.gov/Archives/edgar/data/4281/000119312514051516/0001193125-14-051516-index.htm,https://www.sec.gov/Archives/edgar/data/4281/000119312515054376/0001193125-15-054376-index.htm,https://www.sec.gov/Archives/edgar/data/4281/000119312516470162/0001193125-16-470162-index.htm,https://www.sec.gov/Archives/edgar/data/4281/000119312517062657/0001193125-17-062657-index.htm,https://www.sec.gov/Archives/edgar/data/4281/000000428118000042/0000004281-18-000042-index.htm,https://www.sec.gov/Archives/edgar/data/4281/000000428119000031/0000004281-19-000031-index.htm,https://www.sec.gov/Archives/edgar/data/4281/000000428120000038/0000004281-20-000038-index.htm,https://www.sec.gov/Archives/edgar/data/4281/000000428121000049/0000004281-21-000049-index.htm,https://www.sec.gov/Archives/edgar/data/4281/000000428122000004/0000004281-22-000004-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , 
73,Net Income,1310000000,1233000000,2248000000,2564000000,- -,-924000000,254000000,611000000,162000000,-2244000000,268000000,-322000000,-941000000,-74000000,642000000,470000000,261000000,258000000
74,Depreciation and Amortization,1212000000,1267000000,1280000000,1269000000,1234000000,1311000000,1451000000,1481000000,1462000000,1422000000,1372000000,1280000000,1132000000,551000000,576000000,536000000,338000000,270000000
75,Deferred Income Tax,-95000000,-16000000,-69000000,248000000,-261000000,-596000000,287000000,181000000,-99000000,178000000,-35000000,34000000,1125000000,434000000,31000000,-19000000,2000000,38000000
76,Stock Based Compensation,83000000,72000000,72000000,97000000,94000000,87000000,84000000,83000000,67000000,71000000,87000000,92000000,86000000,67000000,50000000,60000000,45000000,41000000
77,Change in Working Capital,227000000,227000000,454000000,-956000000,-49000000,737000000,25000000,67000000,58000000,-894000000,1864000000,14000000,401000000,411000000,-493000000,-1128000000,296000000,-345000000
78,Accounts Receivable,-95000000,-483000000,-97000000,517000000,150000000,676000000,-94000000,-115000000,104000000,-141000000,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,-395000000,-526000000,-496000000,186000000,-353000000,1258000000,-215000000,-339000000,96000000,25000000,-355000000,-64000000,-29000000,-192000000,-74000000,-3000000,74000000,60000000
80,Accounts Payable,122000000,691000000,-294000000,79000000,21000000,-632000000,328000000,394000000,-12000000,326000000,256000000,-90000000,232000000,62000000,339000000,-56000000,-381000000,144000000
81,Other Working Capital,1195000000,1422000000,1876000000,920000000,871000000,1608000000,1633000000,1700000000,1758000000,864000000,2728000000,2742000000,3143000000,3554000000,3061000000,-2000000,2012000000,-41000000
82,Other Non-Cash Items,-2737000000,-2783000000,-3985000000,-3222000000,-1018000000,-615000000,160000000,-230000000,-1650000000,1467000000,-1882000000,484000000,-933000000,-688000000,-589000000,487000000,-933000000,187000000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,- -,- -,2261000000,2193000000,- -,- -,1674000000,1582000000,870000000,701000000,217000000,406000000,9000000,449000000
84,CAPEX,- -,- -,- -,- -,- -,- -,-1015000000,-1287000000,- -,- -,-1219000000,-1180000000,-1125000000,-596000000,-768000000,-586000000,-267000000,-199000000
85,Acquisitions Net,-2000000,-262000000,8000000,-15000000,-276000000,112000000,-72000000,-240000000,- -,- -,-2385000000,97000000,10000000,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,-352000000,-374000000,- -,- -,-195000000,-134000000,-52000000,-2000000,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,57000000,40000000,280000000,890000000,9000000,73000000,- -,6000000
88,Other Investing Activites,-42000000,1994000000,3172000000,1851000000,3664000000,1404000000,167000000,49000000,940000000,1170000000,-937000000,-1063000000,-403000000,-348000000,556000000,510000000,271000000,101000000
89,Cash Used for Investing Activites,-44000000,-406000000,-25000000,-1800000000,-50000000,-106000000,-1272000000,-1852000000,-321000000,-10000000,-3460000000,-1060000000,-165000000,540000000,565000000,583000000,271000000,107000000
90,Debt Repayment,-1921000000,-254000000,-36000000,-873000000,-204000000,-156000000,-1757000000,-1194000000,-1489000000,-2317000000,-1723000000,-2030000000,-2734000000,-1634000000,-1103000000,-806000000,-2043000000,-1538000000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,-67000000,-108000000,-290000000,-2496000000,-1082000000,- -,-1543000000,-1939000000,- -,- -,- -,- -,- -,- -,- -,-1150000000,-73000000,-430000000
93,Dividends Paid,-54000000,-35000000,-89000000,-116000000,-48000000,-39000000,-125000000,-131000000,-2000000,-77000000,-161000000,-223000000,-228000000,-162000000,-119000000,-57000000,-11000000,-19000000
94,Other Financing Activites,517000000,73000000,395000000,1947000000,2812000000,232000000,2473000000,3326000000,693000000,1715000000,4134000000,1812000000,2208000000,833000000,573000000,445000000,1758000000,543000000
95,Cash Used/Provided by Financing Activities,-1525000000,-324000000,-20000000,-1538000000,1478000000,37000000,-952000000,62000000,-798000000,-679000000,2250000000,-441000000,-754000000,-963000000,-649000000,-1568000000,-369000000,-1444000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,25000000,-7000000,- -,- -,-24000000,-39000000,-7000000,9000000,-4000000,- -,-3000000,-1000000
97,Net Change In Cash,-119000000,305000000,-256000000,-23000000,279000000,719000000,62000000,396000000,-78000000,-424000000,440000000,42000000,-56000000,287000000,129000000,-579000000,-92000000,-889000000
98,Cash at the End of Period,457000000,762000000,506000000,483000000,762000000,1481000000,1543000000,1939000000,1861000000,1437000000,1877000000,1919000000,1863000000,2150000000,2282000000,1703000000,1611000000,722000000
99,Cash at the Beginning of Period,576000000,457000000,762000000,506000000,483000000,762000000,1481000000,1543000000,1939000000,1861000000,1437000000,1877000000,1919000000,1863000000,2153000000,2282000000,1703000000,1611000000
100,Free Cash Flow,- -,- -,- -,- -,- -,- -,1246000000,906000000,- -,- -,455000000,402000000,-255000000,105000000,-551000000,-180000000,-258000000,250000000
101,SEC Link,https://www.sec.gov/Archives/edgar/data/4281/000119312505033143/0001193125-05-033143-index.htm,https://www.sec.gov/Archives/edgar/data/4281/000119312506034739/0001193125-06-034739-index.htm,https://www.sec.gov/Archives/edgar/data/4281/000119312507033124/0001193125-07-033124-index.htm,https://www.sec.gov/Archives/edgar/data/4281/000119312508032695/0001193125-08-032695-index.htm,https://www.sec.gov/Archives/edgar/data/4281/000119312509029469/0001193125-09-029469-index.htm,https://www.sec.gov/Archives/edgar/data/4281/000119312510034308/0001193125-10-034308-index.htm,https://www.sec.gov/Archives/edgar/data/4281/000119312511039230/0001193125-11-039230-index.htm,https://www.sec.gov/Archives/edgar/data/4281/000119312512065493/0001193125-12-065493-index.htm,https://www.sec.gov/Archives/edgar/data/4281/000119312513062916/0001193125-13-062916-index.htm,https://www.sec.gov/Archives/edgar/data/4281/000119312514051516/0001193125-14-051516-index.htm,https://www.sec.gov/Archives/edgar/data/4281/000119312515054376/0001193125-15-054376-index.htm,https://www.sec.gov/Archives/edgar/data/4281/000119312516470162/0001193125-16-470162-index.htm,https://www.sec.gov/Archives/edgar/data/4281/000119312517062657/0001193125-17-062657-index.htm,https://www.sec.gov/Archives/edgar/data/4281/000000428118000042/0000004281-18-000042-index.htm,https://www.sec.gov/Archives/edgar/data/4281/000000428119000031/0000004281-19-000031-index.htm,https://www.sec.gov/Archives/edgar/data/4281/000000428120000038/0000004281-20-000038-index.htm,https://www.sec.gov/Archives/edgar/data/4281/000000428121000049/0000004281-21-000049-index.htm,https://www.sec.gov/Archives/edgar/data/4281/000000428122000004/0000004281-22-000004-index.htm
102,false,,,,,,,,,,,,,,,,,,
