,https://roic.ai/company/CF,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
14,Depreciation and Amortization,- -,- -,- -,108642000,97500000,94600000,84500000,100800000,- -,- -,- -,419800000,410600000,392500000,479600000,678000000,883000000,888000000,875000000,892000000,888000000
15,EBITDA,-14900000,-11500000,-5800000,217774000,187200000,147600000,656700000,1163500000,613100000,844200000,759900000,3335900000,2698500000,2723400000,1691700000,474000000,965000000,1525000000,1718000000,1411000000,2263000000
16,EBITDA ratio,-0.0128,-0.0113,-0.0042,0.1319,0.0981,0.0757,0.2382,0.2967,0.2350,0.2129,0.1246,0.5465,0.4929,0.5742,0.3927,0.1286,0.2337,0.3443,0.3743,0.3421,0.3461
17,Operating Income,-134300000,-18800000,-5600000,149234000,135900000,71300000,601600000,1150200000,679800000,895700000,2790500000,2959400000,2411700000,2366500000,1193100000,134000000,229000000,766000000,1003000000,623000000,1729000000
18,Operating Income ratio,-0.1158,-0.0185,-0.0040,0.0904,0.0712,0.0366,0.2182,0.2933,0.2606,0.2259,0.4576,0.4848,0.4405,0.4989,0.2769,0.0364,0.0554,0.1730,0.2185,0.1511,0.2645
19,Total Other Income Expenses (Gains),-14100000,-27600000,-27000000,-40212000,-43400000,-18300000,-30300000,-91700000,15800000,-208000000,-144900000,-129900000,-202000000,-179200000,-135500000,-360000000,-354000000,-219000000,-231000000,-160000000,-186000000
20,Income Before Tax,-148400000,-46400000,-32600000,109022000,92500000,53000000,571300000,1058500000,695600000,687700000,2645600000,2829500000,2209700000,2187300000,1057600000,-226000000,-125000000,547000000,772000000,463000000,1543000000
21,Income Before Tax Ratio,-0.1280,-0.0458,-0.0235,0.0660,0.0485,0.0272,0.2072,0.2699,0.2667,0.1734,0.4339,0.4635,0.4036,0.4611,0.2455,-0.0613,-0.0303,0.1235,0.1682,0.1123,0.2360
22,Income Tax expense (Gain),59300000,16600000,12600000,41400000,128700000,19700000,199500000,378100000,246000000,273700000,-926500000,964200000,686500000,773000000,395800000,-68000000,-575000000,119000000,126000000,31000000,283000000
23,Net Income,-74200000,-28100000,-18400000,67732000,-39000000,33300000,372700000,684600000,365600000,349200000,1539200000,1848700000,1464600000,1390300000,699900000,-277000000,358000000,290000000,493000000,317000000,917000000
24,Net Income ratio,-0.0640,-0.0277,-0.0132,0.0410,-0.0204,0.0171,0.1352,0.1746,0.1402,0.0881,0.2524,0.3029,0.2675,0.2931,0.1625,-0.0752,0.0867,0.0655,0.1074,0.0769,0.1403
25,EPS,-0.27,-0.10,-0.07,0.25,-0.41,0.12,1.34,2.48,1.51,1.08,4.44,5.79,4.97,5.43,2.97,-1.19,1.53,1.25,2.24,1.48,4.42
26,EPS Diluted,-0.27,-0.10,-0.07,0.25,-0.41,0.12,1.31,2.43,1.48,1.07,4.40,5.72,4.95,5.42,2.96,-1.19,1.53,1.24,2.23,1.47,4.42
27,Weighted Average Shares Outstanding,275000000,275000000,275000000,275000000,274999995,275000000,277500000,276500000,242500000,323500000,347000000,319500000,294500000,256000000,235300000,233100000,233500000,232600000,220200000,214900000,207304985
28,Weighted Average Shares Outstanding Diluted,275000000,275000000,275000000,275000000,274999995,275500000,283500000,282000000,246000000,327000000,350000000,323500000,296000000,256500000,236100000,233100000,233900000,233800000,221600000,215200000,207304985
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1324404/000104746906003695/0001047469-06-003695-index.htm,https://www.sec.gov/Archives/edgar/data/1324404/000110465907014916/0001104659-07-014916-index.htm,https://www.sec.gov/Archives/edgar/data/1324404/000104746908001816/0001047469-08-001816-index.htm,https://www.sec.gov/Archives/edgar/data/1324404/000104746909001858/0001047469-09-001858-index.htm,https://www.sec.gov/Archives/edgar/data/1324404/000104746910001364/0001047469-10-001364-index.htm,https://www.sec.gov/Archives/edgar/data/1324404/000104746911001417/0001047469-11-001417-index.htm,https://www.sec.gov/Archives/edgar/data/1324404/000104746912001620/0001047469-12-001620-index.htm,https://www.sec.gov/Archives/edgar/data/1324404/000104746913001819/0001047469-13-001819-index.htm,https://www.sec.gov/Archives/edgar/data/1324404/000104746914001484/0001047469-14-001484-index.htm,https://www.sec.gov/Archives/edgar/data/1324404/000162828015001077/0001628280-15-001077-index.htm,https://www.sec.gov/Archives/edgar/data/1324404/000132440416000019/0001324404-16-000019-index.htm,https://www.sec.gov/Archives/edgar/data/1324404/000132440417000007/0001324404-17-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1324404/000132440418000006/0001324404-18-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1324404/000132440419000006/0001324404-19-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1324404/000132440420000006/0001324404-20-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1324404/000132440421000008/0001324404-21-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1324404/000132440422000008/0001324404-22-000008-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,56500000,77200000,50003000,37400000,25400000,366500000,625000000,697100000,797700000,1207000000,2274900000,1710800000,1996600000,286000000,1164000000,835000000,682000000,287000000,683000000,1628000000
32,Short-Term Investments,- -,38400000,91700000,369290000,179300000,300200000,494500000,- -,185000000,3100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,80000000,- -
33,Cash and Short-Term Investments,- -,94900000,168900000,419293000,216700000,325600000,861000000,625000000,882100000,800800000,1207000000,2274900000,1710800000,1996600000,286000000,1164000000,835000000,682000000,287000000,763000000,1628000000
34,Net Receivables,- -,- -,- -,43274000,53900000,113900000,148700000,175100000,167400000,238900000,269400000,217400000,230900000,191500000,267200000,236000000,307000000,235000000,242000000,265000000,497000000
35,Inventory,- -,- -,- -,233547000,251100000,176100000,231700000,588600000,207800000,270300000,304200000,277900000,274300000,202900000,321200000,339000000,275000000,309000000,351000000,287000000,408000000
36,Other Current Assets,- -,- -,- -,92683000,54400000,17500000,37700000,44500000,25800000,31400000,18000000,37400000,414100000,223500000,252700000,916000000,48000000,48000000,94000000,52000000,60000000
37,Total Current Assets,- -,- -,- -,788797000,576100000,633100000,1279100000,1433200000,1283100000,1341400000,1798600000,2807600000,2630100000,2614500000,1127100000,2655000000,1465000000,1274000000,974000000,1367000000,2593000000
38,PP&E,- -,- -,- -,645595000,630100000,597000000,623600000,661900000,793800000,3925600000,3736000000,3900500000,4101700000,5525800000,8539000000,9652000000,9175000000,8623000000,8450000000,7891000000,7324000000
39,Goodwill,- -,- -,- -,- -,- -,900000,900000,900000,900000,2085700000,2064500000,2064500000,2095800000,2092800000,2390100000,2345000000,2371000000,2353000000,2365000000,2374000000,2091000000
40,Intangible Assets,- -,- -,- -,1327000,900000,- -,- -,- -,- -,- -,- -,49600000,45800000,41800000,155700000,128000000,129000000,115000000,110000000,104000000,45000000
41,Intangible Assets,- -,- -,- -,1327000,900000,900000,900000,900000,900000,2085700000,2064500000,2114100000,2141600000,2134600000,2545800000,2473000000,2500000000,2468000000,2475000000,2478000000,2136000000
42,Investments,- -,- -,- -,- -,- -,- -,42000000,223000000,376200000,1079900000,999500000,961600000,939100000,861500000,297800000,139000000,108000000,93000000,88000000,80000000,82000000
43,Tax Assets,- -,- -,- -,74909000,- -,1700000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,36343000,21000000,57700000,66900000,68600000,40900000,325900000,375900000,383100000,865600000,201800000,229200000,212000000,215000000,203000000,185000000,207000000,240000000
45,Total Non-Current Assets,- -,- -,- -,758174000,652000000,657300000,733400000,954400000,1211800000,7417100000,7175900000,7359300000,8048000000,8723700000,11611800000,12476000000,11998000000,11387000000,11198000000,10656000000,9782000000
46,Other Assets,- -,1321700000,1415600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,1321700000,1415600000,1546971000,1228100000,1290400000,2012500000,2387600000,2494900000,8758500000,8974500000,10166900000,10678100000,11338200000,12738900000,15131000000,13463000000,12661000000,12172000000,12023000000,12375000000
48,Accounts Payable,- -,- -,- -,169237000,171600000,37400000,59800000,207900000,332000000,752700000,99500000,117300000,169000000,65800000,96600000,81000000,99000000,101000000,78000000,85000000,110000000
49,Short-Term Debt,- -,- -,- -,19917000,- -,- -,- -,4100000,- -,4900000,- -,5000000,- -,- -,- -,- -,- -,- -,90000000,337000000,89000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,62200000,128500000,187100000,73300000,16000000,5500000,1000000,2000000,5000000,1000000,- -,24000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,257200000,380700000,163600000,325400000,161500000,42000000,89000000,149000000,119000000,130000000,700000000
52,Other Current Liabilities,- -,- -,- -,235649000,169500000,316000000,569500000,606100000,147800000,189000000,674500000,447200000,495700000,588500000,957100000,563000000,392000000,455000000,378000000,354000000,533000000
53,Total Current Liabilities,- -,- -,- -,424803000,341100000,353400000,629300000,818100000,479800000,946600000,1031200000,950200000,828300000,979700000,1215200000,686000000,580000000,705000000,665000000,906000000,1432000000
54,Long-Term Debt,- -,- -,- -,238904000,4200000,4200000,4900000,- -,4700000,1954100000,1617800000,1600000000,3098100000,4592500000,5592700000,5778000000,4692000000,4698000000,3957000000,3712000000,3627000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,8400000,- -,32100000,6200000,68300000,1081200000,956800000,938800000,833200000,818600000,916200000,1630000000,1047000000,1117000000,1246000000,1184000000,1029000000
57,Other Non-Current Liabilities,- -,- -,- -,83203000,104900000,152200000,141900000,212600000,197200000,343200000,435800000,395700000,480100000,374900000,627600000,545000000,460000000,410000000,667000000,618000000,251000000
58,Total Non-Current Liabilities,- -,- -,- -,322107000,117500000,156400000,178900000,218800000,270200000,3378500000,3010400000,2934500000,4411400000,5786000000,7136500000,7953000000,6199000000,6225000000,5870000000,5514000000,4907000000
59,Other Liabilities,- -,580800000,682100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,283000000,262000000,251000000
61,Total Liabilities,- -,580800000,682100000,746910000,458600000,509800000,808200000,1036900000,750000000,4325100000,4041600000,3884700000,5239700000,6765700000,8351700000,8639000000,6779000000,6930000000,6535000000,6420000000,6339000000
62,Preferred Stock,- -,- -,- -,734302000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,8000,600000,600000,600000,500000,500000,700000,700000,600000,600000,500000,2400000,2000000,2000000,2000000,2000000,2000000,2000000
64,Retained Earnings,- -,- -,- -,59780000,19700000,48600000,416800000,703400000,1048100000,1370800000,2841000000,3461100000,3725600000,3175300000,3057900000,2365000000,2443000000,2463000000,1958000000,1927000000,2088000000
65,Other Comprehensive Income/Loss,- -,- -,- -,-12356000,-7400000,-33400000,-21200000,-75200000,-43200000,-53300000,-99300000,-49600000,-42600000,-159800000,-249800000,-398000000,-263000000,-371000000,-366000000,-320000000,-257000000
66,Other Total Stockholders Equity,- -,740900000,733500000,5555000,743000000,751200000,790800000,709400000,723500000,2732200000,1804600000,2490100000,1392500000,1193700000,1224700000,1379000000,1397000000,864000000,1303000000,1313000000,1373000000
67,Total Stockholders Equity,- -,740900000,733500000,787289000,755900000,767000000,1187000000,1338100000,1728900000,4050400000,4547000000,5902200000,5076100000,4209700000,4035200000,3348000000,3579000000,2958000000,2897000000,2922000000,3206000000
68,Total Liabilities And Stockholders Equity,- -,1321700000,1415600000,1534199000,1214500000,1276800000,1995200000,2375000000,2478900000,8375500000,8588600000,9786900000,10315800000,10975400000,12386900000,11987000000,10358000000,9888000000,9432000000,9342000000,9545000000
69,Minority Interest,- -,- -,- -,12772000,13600000,13600000,17300000,12600000,16000000,383000000,385900000,380000000,362300000,362800000,352000000,3144000000,3105000000,2773000000,2740000000,2681000000,2830000000
70,Total Liabilities & Equity,- -,1321700000,1415600000,1546971000,1228100000,1290400000,2012500000,2387600000,2494900000,8758500000,8974500000,10166900000,10678100000,11338200000,12738900000,15131000000,13463000000,12661000000,12172000000,12023000000,12375000000
71,SEC Link,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1324404/000104746906003695/0001047469-06-003695-index.htm,https://www.sec.gov/Archives/edgar/data/1324404/000110465907014916/0001104659-07-014916-index.htm,https://www.sec.gov/Archives/edgar/data/1324404/000104746908001816/0001047469-08-001816-index.htm,https://www.sec.gov/Archives/edgar/data/1324404/000104746909001858/0001047469-09-001858-index.htm,https://www.sec.gov/Archives/edgar/data/1324404/000104746910001364/0001047469-10-001364-index.htm,https://www.sec.gov/Archives/edgar/data/1324404/000104746911001417/0001047469-11-001417-index.htm,https://www.sec.gov/Archives/edgar/data/1324404/000104746912001620/0001047469-12-001620-index.htm,https://www.sec.gov/Archives/edgar/data/1324404/000104746913001819/0001047469-13-001819-index.htm,https://www.sec.gov/Archives/edgar/data/1324404/000104746914001484/0001047469-14-001484-index.htm,https://www.sec.gov/Archives/edgar/data/1324404/000162828015001077/0001628280-15-001077-index.htm,https://www.sec.gov/Archives/edgar/data/1324404/000132440416000019/0001324404-16-000019-index.htm,https://www.sec.gov/Archives/edgar/data/1324404/000132440417000007/0001324404-17-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1324404/000132440418000006/0001324404-18-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1324404/000132440419000006/0001324404-19-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1324404/000132440420000006/0001324404-20-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1324404/000132440421000008/0001324404-21-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1324404/000132440422000008/0001324404-22-000008-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,-18400000,67732000,-39000000,33300000,372700000,684600000,365600000,349200000,1539200000,1848700000,1464600000,1390300000,699900000,-277000000,358000000,290000000,493000000,317000000,917000000
74,Depreciation and Amortization,- -,- -,- -,108642000,97500000,94600000,84500000,100800000,- -,- -,- -,419800000,410600000,392500000,479600000,678000000,883000000,888000000,875000000,892000000,888000000
75,Deferred Income Tax,- -,- -,- -,33800000,121500000,9400000,48000000,26400000,45700000,88600000,-32900000,-138400000,-34300000,18500000,77900000,739000000,-601000000,78000000,149000000,-74000000,-196000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,6600000,8300000,10600000,11900000,12600000,16600000,16800000,19000000,17000000,22000000,28000000,25000000,30000000
77,Change in Working Capital,- -,- -,- -,363994000,-128994000,44700000,370100000,-34700000,188200000,-408500000,372600000,1090000000,-55600000,-167000000,-1722900000,2057100000,-1084000000,-316000000,-260000000,152000000,448000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,21300000,70600000,-35500000,53200000,400000,36100000,-4800000,18000000,-57000000,68000000,-6000000,-19000000,-235000000
79,Inventory,- -,- -,- -,-26429000,-8900000,51600000,-53600000,-416700000,440300000,79800000,-38500000,34800000,-80300000,63800000,-71000000,-7000000,40000000,-52000000,-26000000,27000000,-123000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25500000,49500000,-53200000,41700000,-18000000,-1000000,44000000,-72000000,- -,- -
81,Other Working Capital,- -,- -,- -,363994000,235000000,279700000,649800000,615100000,803300000,394800000,767400000,1857400000,1801800000,1634800000,-88100000,1969000000,885000000,569000000,309000000,461000000,664000000
82,Other Non-Cash Items,- -,- -,18400000,-229905000,86194000,21600000,-185200000,-138500000,75700000,1156800000,189400000,-856400000,-331100000,-242300000,1652400000,-2599100000,2058000000,535000000,220000000,-81000000,786000000
83,Cash Provided by Operating Activities,- -,- -,- -,344263000,137200000,203600000,690100000,638600000,681800000,1194400000,2078900000,2375600000,1466800000,1408600000,1203700000,617000000,1631000000,1497000000,1505000000,1231000000,2873000000
84,CAPEX,- -,- -,-28800000,-33709000,-69400000,-59300000,-105100000,-141800000,-235700000,-258100000,-247200000,-523500000,-823800000,-1808500000,-2469300000,-2211000000,-473000000,-422000000,-404000000,-309000000,-524000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3177800000,- -,- -,-72500000,1372000000,-538800000,- -,16000000,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,-818797000,-684800000,-885700000,-1167300000,-638200000,-559600000,-28600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-13000000
87,Sales/Maturities of Investments,- -,- -,- -,541232000,874900000,764800000,946200000,934100000,300800000,405300000,37900000,48400000,13500000,5000000,- -,- -,9000000,- -,- -,- -,12000000
88,Other Investing Activites,- -,- -,- -,1963000,18600000,-11100000,-16900000,5400000,6800000,-11000000,35500000,-38400000,-136500000,88000000,32200000,34000000,40000000,47000000,85000000,10000000,49000000
89,Cash Used for Investing Activites,- -,- -,- -,-309311000,139300000,-191300000,-343100000,159500000,-487700000,-3070200000,-173800000,-513500000,-1019300000,-343500000,-2975900000,-2177000000,-408000000,-375000000,-319000000,-299000000,-466000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4008700000,-346000000,-13000000,- -,- -,-367000000,-1320000000,-1148000000,- -,-769000000,-500000000,-518000000
91,Common Stock Issued,- -,- -,- -,- -,715400000,100000,16600000,10100000,3200000,1150000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-715400000,- -,- -,-500200000,- -,- -,-1000200000,-500000000,-1409100000,-1934900000,-556300000,- -,- -,-467000000,-370000000,-100000000,-550000000
93,Dividends Paid,- -,- -,- -,-26325000,-1100000,-4400000,-4500000,-22000000,-131700000,-143200000,-68700000,-102700000,-129100000,-255700000,-282300000,-280000000,-280000000,-280000000,-265000000,-258000000,-260000000
94,Other Financing Activites,- -,- -,- -,-34967000,-289600000,-19000000,-17000000,-28400000,4600000,4978900000,-84500000,-181100000,557900000,1415500000,1285500000,4039000000,-136000000,-523000000,-179000000,316000000,-135000000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,-61292000,-290700000,-23300000,-4900000,-540500000,-123900000,1977000000,-1499400000,-796800000,-980300000,-775100000,79900000,2439000000,-1564000000,-1270000000,-1583000000,-542000000,-1463000000
96,Effect of Forex Changes on Cash,- -,- -,- -,-803000,1600000,-1000000,-1000000,900000,1900000,-600000,3600000,2600000,-31300000,-4200000,-18300000,-1000000,12000000,-5000000,2000000,6000000,1000000
97,Net Change In Cash,- -,- -,- -,-27143000,-12600000,-12000000,341100000,258500000,72100000,100600000,409300000,1067900000,-564100000,285800000,-1710600000,878000000,-329000000,-153000000,-395000000,396000000,945000000
98,Cash at the End of Period,- -,- -,- -,50003000,37400000,25400000,366500000,625000000,697100000,797700000,1207000000,2274900000,1710800000,1996600000,286000000,1164000000,835000000,682000000,287000000,683000000,1628000000
99,Cash at the Beginning of Period,- -,- -,- -,77146000,50000000,37400000,25400000,366500000,625000000,697100000,797700000,1207000000,2274900000,1710800000,1996600000,286000000,1164000000,835000000,682000000,287000000,683000000
100,Free Cash Flow,- -,- -,- -,310554000,67800000,144300000,585000000,496800000,446100000,936300000,1831700000,1852100000,643000000,-399900000,-1265600000,-1594000000,1158000000,1075000000,1101000000,922000000,2349000000
101,SEC Link,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1324404/000104746906003695/0001047469-06-003695-index.htm,https://www.sec.gov/Archives/edgar/data/1324404/000110465907014916/0001104659-07-014916-index.htm,https://www.sec.gov/Archives/edgar/data/1324404/000104746908001816/0001047469-08-001816-index.htm,https://www.sec.gov/Archives/edgar/data/1324404/000104746909001858/0001047469-09-001858-index.htm,https://www.sec.gov/Archives/edgar/data/1324404/000104746910001364/0001047469-10-001364-index.htm,https://www.sec.gov/Archives/edgar/data/1324404/000104746911001417/0001047469-11-001417-index.htm,https://www.sec.gov/Archives/edgar/data/1324404/000104746912001620/0001047469-12-001620-index.htm,https://www.sec.gov/Archives/edgar/data/1324404/000104746913001819/0001047469-13-001819-index.htm,https://www.sec.gov/Archives/edgar/data/1324404/000104746914001484/0001047469-14-001484-index.htm,https://www.sec.gov/Archives/edgar/data/1324404/000162828015001077/0001628280-15-001077-index.htm,https://www.sec.gov/Archives/edgar/data/1324404/000132440416000019/0001324404-16-000019-index.htm,https://www.sec.gov/Archives/edgar/data/1324404/000132440417000007/0001324404-17-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1324404/000132440418000006/0001324404-18-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1324404/000132440419000006/0001324404-19-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1324404/000132440420000006/0001324404-20-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1324404/000132440421000008/0001324404-21-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1324404/000132440422000008/0001324404-22-000008-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,
