,https://roic.ai/company/CCI,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
22,Income Tax expense (Gain),- -,400000,300000,246000,16478000,12276000,7518000,-5370000,3225000,843000,-94039000,-104361000,-76400000,-26846000,8347000,-100061000,198628000,-10640000,-51457000,16881000,26043000,19000000,21000000,20000000,21000000
23,Net Income,-11900000,-37800000,-96700000,-204786000,-366167000,-272521000,-398365000,235110000,-401537000,-41893000,-222813000,-48858000,-114332000,-310940000,171077000,188584000,90111000,390513000,1520992000,356973000,444550000,671000000,860000000,1056000000,1096000000
24,Net Income ratio,-0.3790,-0.3342,-0.2796,-0.3155,-0.4073,-0.3023,-0.4282,0.3893,-0.5933,-0.0531,-0.1608,-0.0320,-0.0678,-0.1655,0.0842,0.0775,0.0298,0.1058,0.4151,0.0910,0.1021,0.1237,0.1492,0.1808,0.1729
25,EPS,-2.27,-1.02,-0.96,-1.48,-2.08,-1.16,-2.09,0.89,-2.07,-0.30,-0.87,-0.25,-0.47,-1.16,0.52,0.64,0.26,1.04,4.44,0.95,1.01,1.35,1.80,2.36,2.54
26,EPS Diluted,-2.27,-1.02,-0.96,-1.48,-2.08,-1.16,-2.09,0.89,-2.07,-0.30,-0.87,-0.25,-0.47,-1.16,0.52,0.64,0.26,1.04,4.42,0.95,1.01,1.34,1.80,2.35,2.53
27,Weighted Average Shares Outstanding,6211454,42518000,131466000,178588000,214246000,218028000,216947000,221693000,217759000,207245000,279937000,282007000,286622000,286764000,283821000,289285000,298083000,332302000,333002000,340349000,381740000,413000000,416000000,423000000,432000000
28,Weighted Average Shares Outstanding Diluted,6211454,42518000,131466000,178588000,214246000,218028000,216947000,221693000,217759000,207245000,279937000,282007000,286622000,286764000,285947000,291270000,299293000,333265000,334062000,340879000,383221000,415000000,418000000,425000000,434000000
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1051470/000095013099001474/0000950130-99-001474-index.html,https://www.sec.gov/Archives/edgar/data/1051470/000089924300000662/0000899243-00-000662-index.html,https://www.sec.gov/Archives/edgar/data/1051470/000089924301000756/0000899243-01-000756-index.html,https://www.sec.gov/Archives/edgar/data/1051470/000089924302000902/0000899243-02-000902-index.html,https://www.sec.gov/Archives/edgar/data/1051470/000089924303000641/0000899243-03-000641-index.html,https://www.sec.gov/Archives/edgar/data/1051470/000119312504037856/0001193125-04-037856-index.html,https://www.sec.gov/Archives/edgar/data/1051470/000119312505063494/0001193125-05-063494-index.html,https://www.sec.gov/Archives/edgar/data/1051470/000119312506062600/d10k.htm,https://www.sec.gov/Archives/edgar/data/1051470/000119312507042810/d10k.htm,https://www.sec.gov/Archives/edgar/data/1051470/000119312508038926/d10k.htm,https://www.sec.gov/Archives/edgar/data/1051470/000119312509039126/0001193125-09-039126-index.html,https://www.sec.gov/Archives/edgar/data/1051470/000119312510031419/0001193125-10-031419-index.html,https://www.sec.gov/Archives/edgar/data/1051470/000144530511000263/cci10k123110.htm,https://www.sec.gov/Archives/edgar/data/1051470/000105147012000007/0001051470-12-000007-index.html,https://www.sec.gov/Archives/edgar/data/1051470/000105147013000007/0001051470-13-000007-index.html,https://www.sec.gov/Archives/edgar/data/1051470/000105147014000008/cci10-k123113.htm,https://www.sec.gov/Archives/edgar/data/1051470/000105147015000034/cci10-k123114.htm,https://www.sec.gov/Archives/edgar/data/1051470/000105147016000158/0001051470-16-000158-index.html,https://www.sec.gov/Archives/edgar/data/1051470/000105147017000059/0001051470-17-000059-index.html,https://www.sec.gov/Archives/edgar/data/1051470/000105147018000082/0001051470-18-000082-index.html,https://www.sec.gov/Archives/edgar/data/1051470/000105147019000046/0001051470-19-000046-index.html,https://www.sec.gov/Archives/edgar/data/1051470/000105147020000077/0001051470-20-000077-index.html,https://www.sec.gov/Archives/edgar/data/1051470/000105147021000031/0001051470-21-000031-index.htm,https://www.sec.gov/Archives/edgar/data/1051470/000105147022000019/0001051470-22-000019-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,55100000,296500000,549300000,453833000,804602000,516172000,462427000,567148000,65408000,592716000,75245000,155219000,766146000,112531000,80120000,441364000,223394000,175620000,178810000,567599000,314094000,277000000,323000000,232000000,292000000
32,Short-Term Investments,- -,- -,- -,38000000,72963000,115697000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,55100000,296500000,549300000,491833000,877565000,631869000,462427000,567148000,65408000,592716000,75245000,155219000,766146000,112531000,80120000,441364000,223394000,175620000,178810000,567599000,314094000,277000000,323000000,232000000,292000000
34,Net Receivables,10100000,36400000,78600000,173126000,190860000,135864000,82053000,28366000,26137000,44203000,59395000,67271000,57778000,59912000,77258000,192833000,249925000,329229000,313296000,373532000,397585000,501000000,471000000,431000000,543000000
35,Inventory,1300000,6600000,19200000,78640000,102771000,45616000,15542000,6422000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,700000,2600000,14900000,28535000,44865000,53732000,81738000,35378000,129750000,163108000,362615000,262678000,372109000,372702000,441774000,947127000,419364000,426653000,489139000,383630000,422101000,451000000,455000000,441000000,419000000
37,Total Current Assets,67200000,342100000,662000000,772134000,1216061000,867081000,641760000,637314000,221295000,800027000,497255000,485168000,1196033000,545145000,599152000,1581324000,892683000,931502000,981245000,1324761000,1133780000,1229000000,1249000000,1104000000,1254000000
38,PP&E,82000000,592600000,2468100000,4303037000,4844912000,4828033000,4741945000,3369565000,3294333000,3246446000,5051055000,5060126000,4895983000,4893651000,4861227000,6917531000,8947677000,9148311000,9580057000,9805315000,12932885000,13676000000,13410000000,21626000000,21951000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,340412000,391448000,1970501000,1983950000,1984804000,2029296000,2035390000,3119957000,4916426000,5210091000,5513551000,5757676000,10021468000,10078000000,10074000000,10078000000,10078000000
40,Intangible Assets,152500000,569700000,596100000,1112876000,1051431000,1067041000,1206713000,333718000,- -,225295000,2676288000,2551332000,103166000,116551000,2178182000,2941696000,4057865000,3715700000,3779915000,3650072000,5961759000,5516000000,5620000000,4433000000,4046000000
41,Intangible Assets,152500000,569700000,596100000,1112876000,1051431000,1067041000,1206713000,333718000,340412000,616743000,4646789000,4535282000,2087970000,2145847000,4213572000,6061653000,8974291000,8925791000,9293466000,9407748000,15983227000,15594000000,15694000000,14511000000,14124000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,155000000,60000000,4216000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,33914000,19008000,20914000,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,69700000,18800000,110500000,251794000,263054000,130446000,147173000,230925000,275277000,187952000,233034000,276930000,2776620000,2884886000,871145000,1494287000,1761249000,2116758000,2181477000,2137268000,2179678000,2286000000,2268000000,1527000000,1711000000
45,Total Non-Current Assets,304200000,1181100000,3174700000,5667707000,6159397000,6025520000,6095831000,3934208000,3910022000,4206141000,9990878000,9876554000,9760573000,9924384000,9945944000,14507385000,19702225000,20211774000,21055000000,21350331000,31095790000,31556000000,31372000000,37664000000,37786000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,371400000,1523200000,3836700000,6439841000,7375458000,6892601000,6737591000,4571522000,4131317000,5006168000,10488133000,10361722000,10956606000,10469529000,10545096000,16088709000,20594908000,21143276000,22036245000,22675092000,32229570000,32785000000,32621000000,38768000000,39040000000
48,Accounts Payable,7800000,46000000,46000000,100766000,104149000,63852000,40749000,12323000,12230000,18545000,37366000,33808000,33053000,39649000,32055000,115999000,145390000,167662000,159629000,188516000,248817000,313000000,302000000,230000000,246000000
49,Short-Term Debt,- -,- -,- -,- -,29086000,14250000,267142000,97250000,295000000,- -,81500000,466217000,217196000,28687000,32517000,688056000,103586000,113335000,106219000,101749000,115251000,107000000,111000000,458000000,421000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,208195000,267459000,116739000,132472000,102701000,144760000,174213000,179649000,202123000,167238000,241127000,260114000,348338000,322623000,353005000,457116000,498000000,568000000,704000000,776000000
52,Other Current Liabilities,4200000,46900000,85300000,224110000,278218000,74472000,68180000,58753000,24512000,79549000,108361000,160120000,324207000,170426000,170296000,192676000,247297000,269600000,266898000,318085000,470898000,499000000,407000000,577000000,583000000
53,Total Current Liabilities,12000000,92900000,131300000,324876000,411453000,360769000,643530000,285065000,464214000,200795000,371987000,834358000,754105000,440885000,402106000,1237858000,756387000,898935000,855369000,961355000,1292082000,1417000000,1388000000,1969000000,2026000000
54,Long-Term Debt,156300000,429700000,1542300000,2602687000,3394011000,3212710000,3182850000,1753148000,1975686000,3513890000,5987695000,5630527000,6361954000,6750207000,6853182000,10923186000,11490914000,11807526000,12143019000,12069393000,16044369000,16575000000,16313000000,19151000000,26588000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,610742000,864269000,983263000,1076845000,1267000000,- -,1707000000,1568000000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,281259000,40446000,74117000,66686000,97562000,65830000,56513000,39889000,2059000,8075000,5192000,7000000,- -,11000000,14000000
57,Other Non-Current Liabilities,600000,22700000,67200000,93354000,1036410000,939241000,718465000,669216000,486249000,506150000,680281000,1140526000,830345000,766757000,805382000,910571000,1349919000,1048956000,1082308000,1095891000,1472000000,1485000000,3074000000,6469000000,586000000
58,Total Non-Current Liabilities,156900000,452400000,1609500000,2696041000,4430421000,4151951000,3901315000,2422364000,2461935000,4020040000,6949235000,6811499000,7266416000,7583650000,7756126000,11899587000,12897346000,13507113000,14091655000,14156622000,18598406000,19334000000,19387000000,27338000000,28756000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5810000000,6137000000,6380000000
61,Total Liabilities,168900000,545300000,1740800000,3020917000,4841874000,4512720000,4544845000,2707429000,2926149000,4220835000,7321222000,7645857000,8020521000,8024535000,8158232000,13137445000,13653733000,14406048000,14947024000,15117977000,19890488000,20751000000,20775000000,29307000000,30782000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,305032000,- -,98000,98000,98000,- -,17000,- -,- -,- -,- -
63,Common Stock,- -,- -,1600000,1989000,2188000,2160000,2208000,2241000,2142000,2021000,2825000,2885000,2927000,2908000,2844000,2932000,3341000,3339000,3338000,3605000,4063000,4000000,4000000,4000000,4000000
64,Retained Earnings,-17000000,-60200000,-185900000,-450122000,-895317000,-1148200000,-1600510000,-1599949000,-2037914000,-2184598000,-2423534000,-2493198000,-2628336000,-2960082000,-2811945000,-2625990000,-2535879000,-2815428000,-2458397000,-3378838000,-4504616000,-5732000000,-5896000000,-8472000000,-9753000000
65,Other Comprehensive Income/Loss,-4900000,-22800000,-119500000,-305520000,-566837000,39323000,249313000,44584000,40439000,65000000,26166000,-408329000,-124224000,-178978000,-116996000,-61791000,-23612000,15820000,-4398000,-5888000,-3989000,-5000000,-5000000,-4000000,-4000000
66,Other Total Stockholders Equity,224400000,1060900000,2399700000,4172577000,3993550000,3315215000,3333402000,3386749000,3173709000,2873858000,5561454000,5614507000,5685874000,5581525000,5007310000,5623595000,9482769000,9512396000,9548580000,10938236000,16843607000,17767000000,17743000000,17933000000,- -
67,Total Stockholders Equity,202500000,977900000,2095900000,3418924000,2533584000,2208498000,1984413000,1833625000,1178376000,756281000,3166911000,2715865000,2936241000,2445373000,2386245000,2938746000,6926717000,6716225000,7089221000,7557115000,12339082000,12034000000,11846000000,9461000000,8258000000
68,Total Liabilities And Stockholders Equity,371400000,1523200000,3836700000,6439841000,7375458000,6721218000,6529258000,4541054000,4104525000,4977116000,10488133000,10361722000,10956762000,10469908000,10544477000,16076191000,20580450000,21122273000,22036245000,22675092000,32229570000,32785000000,32621000000,38768000000,39040000000
69,Minority Interest,- -,- -,- -,- -,- -,171383000,208333000,30468000,26792000,29052000,- -,- -,-156000,-379000,619000,12518000,14458000,21003000,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,371400000,1523200000,3836700000,6439841000,7375458000,6892601000,6737591000,4571522000,4131317000,5006168000,10488133000,10361722000,10956606000,10469529000,10545096000,16088709000,20594908000,21143276000,22036245000,22675092000,32229570000,32785000000,32621000000,38768000000,39040000000
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1051470/000095013099001474/0000950130-99-001474-index.html,https://www.sec.gov/Archives/edgar/data/1051470/000089924300000662/0000899243-00-000662-index.html,https://www.sec.gov/Archives/edgar/data/1051470/000089924301000756/0000899243-01-000756-index.html,https://www.sec.gov/Archives/edgar/data/1051470/000089924302000902/0000899243-02-000902-index.html,https://www.sec.gov/Archives/edgar/data/1051470/000089924303000641/0000899243-03-000641-index.html,https://www.sec.gov/Archives/edgar/data/1051470/000119312504037856/0001193125-04-037856-index.html,https://www.sec.gov/Archives/edgar/data/1051470/000119312505063494/0001193125-05-063494-index.html,https://www.sec.gov/Archives/edgar/data/1051470/000119312506062600/d10k.htm,https://www.sec.gov/Archives/edgar/data/1051470/000119312507042810/d10k.htm,https://www.sec.gov/Archives/edgar/data/1051470/000119312508038926/d10k.htm,https://www.sec.gov/Archives/edgar/data/1051470/000119312509039126/0001193125-09-039126-index.html,https://www.sec.gov/Archives/edgar/data/1051470/000119312510031419/0001193125-10-031419-index.html,https://www.sec.gov/Archives/edgar/data/1051470/000144530511000263/cci10k123110.htm,https://www.sec.gov/Archives/edgar/data/1051470/000105147012000007/0001051470-12-000007-index.html,https://www.sec.gov/Archives/edgar/data/1051470/000105147013000007/0001051470-13-000007-index.html,https://www.sec.gov/Archives/edgar/data/1051470/000105147014000008/cci10-k123113.htm,https://www.sec.gov/Archives/edgar/data/1051470/000105147015000034/cci10-k123114.htm,https://www.sec.gov/Archives/edgar/data/1051470/000105147016000158/0001051470-16-000158-index.html,https://www.sec.gov/Archives/edgar/data/1051470/000105147017000059/0001051470-17-000059-index.html,https://www.sec.gov/Archives/edgar/data/1051470/000105147018000082/0001051470-18-000082-index.html,https://www.sec.gov/Archives/edgar/data/1051470/000105147019000046/0001051470-19-000046-index.html,https://www.sec.gov/Archives/edgar/data/1051470/000105147020000077/0001051470-20-000077-index.html,https://www.sec.gov/Archives/edgar/data/1051470/000105147021000031/0001051470-21-000031-index.htm,https://www.sec.gov/Archives/edgar/data/1051470/000105147022000019/0001051470-22-000019-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-11900000,-37800000,-96700000,-204786000,-366167000,-272521000,-398365000,235110000,-401537000,-41893000,-222813000,-48858000,-114332000,-310940000,171077000,188584000,90111000,390513000,1520992000,356973000,444550000,671000000,860000000,1056000000,1096000000
74,Depreciation and Amortization,9200000,55100000,180000000,319799000,420244000,396495000,397592000,293498000,287864000,293844000,560553000,- -,- -,- -,- -,622592000,774215000,1013064000,1036178000,1108551000,1242408000,1528000000,1572000000,1608000000,1644000000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-98914000,-113557000,-74410000,-26196000,4626000,-110374000,180275000,-25579000,-60618000,8603000,14888000,2000000,2000000,3000000,4000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25896000,29225000,36540000,32610000,41944000,39030000,51497000,60773000,79338000,91647000,103000000,117000000,138000000,129000000
77,Change in Working Capital,1100000,194000000,281500000,-83442000,357350000,-298296000,-508082000,354019000,-595168000,842151000,-473964000,-474458000,791118000,-337668000,92786000,146420000,-207170000,-103729000,93309000,237530000,-521708000,-29698000,49000000,-726000000,-346000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,166000000,- -
79,Inventory,-1500000,-4400000,-36800000,-89110000,-88681000,46222000,4457000,-8543000,-15021000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2564000,-1703000,1702000,-7497000,34543000,28665000,10329000,-5287000,10600000,-34067000,37000000,19000000,-77000000,15000000
81,Other Working Capital,55200000,249200000,530700000,447258000,804608000,506312000,-1770000,352249000,-242919000,599232000,125268000,-349190000,441928000,104260000,197046000,343466000,136296000,32567000,125876000,363406000,-158302000,-188000000,-139000000,-865000000,- -
82,Other Non-Cash Items,1000000,-166300000,-272200000,133924000,-279497000,383254000,768894000,-770543000,917383000,-812686000,585493000,1123978000,-60345000,1241694000,342355000,-116609000,361195000,340364000,-853909000,-8731000,772401000,227698000,98000000,976000000,200000000
83,Cash Provided by Operating Activities,-600000,45000000,92600000,165495000,131930000,208932000,260039000,112084000,208542000,281416000,350355000,513001000,571256000,603430000,643454000,772557000,1237656000,1666130000,1796725000,1782264000,2044186000,2502000000,2698000000,3055000000,2727000000
84,CAPEX,-52000000,-149200000,-1502300000,-636506000,-683102000,-277262000,-118912000,-43346000,-64678000,-428431000,-300005000,-450732000,-173535000,-228058000,-347942000,-441383000,-567810000,-780077000,-908892000,-873883000,-1228071000,-1741000000,-2057000000,-1624000000,-1229000000
85,Acquisitions Net,- -,- -,- -,-1143682000,-155651000,-4449000,-5873000,-295000000,-147255000,- -,-494352000,-27736000,-2598000,-139158000,-37551000,-3759475000,-4960435000,-466305000,-1102179000,-556854000,-9260135000,-42000000,-17000000,-107000000,-111000000
86,Purchases of Investments,- -,- -,- -,-175000000,-337463000,-194697000,-56063000,-490900000,- -,-6350000,-755000,- -,- -,-26825000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,311000000,280463000,171760000,517500000,- -,- -,3664000,- -,- -,- -,- -,- -,- -,- -,54475000,8141000,- -,- -,- -,- -,- -
88,Other Investing Activites,-59500000,- -,-6800000,-2499000,-29920000,19028000,212000,-7882000,-52207000,2282000,- -,-448877000,-169547000,-224966000,-362314000,-440121000,-560534000,-776600000,-912030000,-861519000,-1233886000,-1753000000,-2064000000,-1634000000,-1221000000
89,Cash Used for Investing Activites,-111500000,-149200000,-1509100000,-1957687000,-895136000,-176917000,-8876000,-319628000,-264140000,-432499000,-791448000,-476613000,-172145000,-390949000,-399865000,-4199596000,-5520969000,-1242905000,-1959734000,-1410232000,-10494021000,-1795000000,-2081000000,-1741000000,-1332000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6782000,-2417619000,-3567710000,-224345000,-2310527000,-2719324000,-1651325000,-2532203000,-8705621000,-1958880000,-4176000000,-2758000000,-5260000000,-4055000000
91,Common Stock Issued,139900000,339900000,805800000,743290000,374641000,1032000,7992000,32094000,59054000,45540000,31176000,8444000,45049000,18731000,1557000,258000,2980586000,- -,- -,1325865000,4221329000,841000000,- -,- -,- -
92,Common Stock Repurchased,-2100000,-900000,- -,- -,- -,-333445000,-343734000,-59364000,-514889000,-518028000,-729811000,-44685000,-3003000,-159639000,-318416000,-36043000,-99458000,-21872000,-29657000,-24936000,-23307000,-34000000,-44000000,-76000000,-70000000
93,Dividends Paid,- -,- -,-1200000,- -,- -,- -,- -,- -,-21624000,-19877000,-19879000,-19878000,-19878000,-19879000,-19487000,-2481000,- -,-668651000,-1160432000,-1283146000,-1538640000,-1895000000,-2025000000,-2190000000,-2373000000
94,Other Financing Activites,22000000,6200000,865800000,963801000,734668000,-2673000,22080000,-1659152000,32239000,1171279000,640732000,110618000,2609847000,2861873000,284979000,6135596000,3901329000,1878861000,2786816000,8591546000,7494650000,4531000000,4135000000,6255000000,5188000000
95,Cash Used/Provided by Financing Activities,159800000,345200000,1670400000,1707091000,1109309000,-335086000,-313662000,-1686422000,-445220000,678914000,-77782000,47717000,214396000,-866624000,-275712000,3786803000,4063133000,-462987000,-935476000,-96292000,8195152000,-733000000,-692000000,-1271000000,-1310000000
96,Effect of Forex Changes on Cash,- -,400000,-1000000,-10394000,4666000,14641000,8754000,1178000,-408000,-523000,1404000,-4131000,-2580000,528000,-288000,1480000,2210000,-8012000,-1902000,-101000,1178000,-1000000,- -,- -,- -
97,Net Change In Cash,- -,- -,252800000,-95495000,350769000,-288430000,-53745000,-1892788000,-501299000,527308000,-517471000,79974000,610927000,-653615000,-32411000,361244000,-217970000,-47774000,3190000,388789000,-253505000,-27000000,-75000000,43000000,85000000
98,Cash at the End of Period,- -,- -,549300000,453833000,804602000,516172000,462427000,567148000,65408000,592716000,75245000,155219000,766146000,112531000,80120000,441364000,223394000,175620000,178810000,567599000,314094000,413000000,338000000,381000000,466000000
99,Cash at the Beginning of Period,7300000,55100000,296500000,549328000,453833000,804602000,516172000,2459936000,566707000,65408000,592716000,75245000,155219000,766146000,112531000,80120000,441364000,223394000,175620000,178810000,567599000,440000000,413000000,338000000,381000000
100,Free Cash Flow,-52600000,-104200000,-1409700000,-471011000,-551172000,-68330000,141127000,68738000,143864000,-147015000,50350000,62269000,397721000,375372000,295512000,331174000,669846000,886053000,887833000,908381000,816115000,761000000,641000000,1431000000,1498000000
