,https://roic.ai/company/VLO,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
22,Income Tax expense (Gain),31700000,-81900000,-8600000,3800000,17800000,50900000,47700000,47500000,31800000,15900000,35300000,41000000,63800000,-35800000,5900000,189100000,331300000,58200000,365100000,906300000,1697000000,2726000000,2161000000,1467000000,-97000000,575000000,1226000000,1626000000,1254000000,1777000000,1870000000,765000000,-949000000,879000000,702000000,-903000000,255000000
23,Net Income,34700000,-99900000,17600000,30600000,41500000,94700000,98700000,83900000,36400000,26900000,59800000,72700000,96100000,-47300000,14300000,339120000,563553000,91500000,621500000,1803100000,3589200000,5462200000,5234000000,-1131000000,-1982000000,324000000,2090000000,2083000000,2720000000,3630000000,3990000000,2289000000,4065000000,3122000000,2422000000,-1107000000,930000000
24,Net Income ratio,0.0130,-0.0531,0.0280,0.0397,0.0441,0.0810,0.0975,0.0680,0.0298,0.0146,0.0198,0.0146,0.0167,-0.0085,0.0018,0.0231,0.0376,0.0034,0.0164,0.0330,0.0437,0.0595,0.0549,-0.0095,-0.0291,0.0039,0.0166,0.0150,0.0197,0.0277,0.0454,0.0303,0.0433,0.0267,0.0224,-0.0169,0.0082
25,EPS,0.27,-1.09,0.06,0.14,0.24,0.58,0.57,0.48,0.20,0.04,0.28,0.35,0.44,-0.21,0.06,1.45,2.32,0.21,1.34,3.51,6.51,8.94,9.27,-2.16,-3.67,0.57,3.69,3.77,4.99,6.88,8.00,4.94,9.17,7.30,5.84,-3.50,2.29
26,EPS Diluted,0.27,-1.09,0.06,0.14,0.24,0.58,0.57,0.48,0.20,0.04,0.28,0.35,0.43,-0.21,0.06,1.40,2.21,0.21,1.27,3.27,6.10,8.64,8.88,-2.16,-3.67,0.57,3.68,3.75,4.97,6.85,7.99,4.94,9.16,7.29,5.84,-3.50,2.29
27,Weighted Average Shares Outstanding,93584906,100366972,103333333,104444444,115102041,151688312,162631579,169896907,171219512,386666667,174545455,175428571,206648000,224312000,224344000,234128000,242996000,423200000,459600000,510200000,549000000,611000000,565000000,524000000,541000000,563000000,563000000,550000000,542000000,526000000,497000000,461000000,442000000,426000000,413000000,407000000,407000000
28,Weighted Average Shares Outstanding Diluted,93584906,100366972,103333333,104444444,118736842,151688312,162631579,169896907,171219512,386666667,174545455,175428571,220516000,224312000,227032000,242100000,255212000,440400000,488000000,552200000,588000000,632000000,579000000,524000000,541000000,568000000,569000000,556000000,548000000,530000000,500000000,464000000,444000000,428000000,414000000,407000000,407000000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1035002/000103500298000002/0001035002-98-000002-index.html,https://www.sec.gov/Archives/edgar/data/1035002/000095013499001346/0000950134-99-001346-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1035002/000111080503000007/0001110805-03-000007-index.html,https://www.sec.gov/Archives/edgar/data/1035002/000095013404003420/0000950134-04-003420-index.html,https://www.sec.gov/Archives/edgar/data/1035002/000095013405004779/0000950134-05-004779-index.html,https://www.sec.gov/Archives/edgar/data/1035002/000095013406004061/d32462e10vk.htm,https://www.sec.gov/Archives/edgar/data/1035002/000119312507039165/d10k.htm,https://www.sec.gov/Archives/edgar/data/1035002/000095013408003802/d54294e10vk.htm,https://www.sec.gov/Archives/edgar/data/1035002/000095013409003971/0000950134-09-003971-index.html,https://www.sec.gov/Archives/edgar/data/1035002/000095012310018097/0000950123-10-018097-index.html,https://www.sec.gov/Archives/edgar/data/1035002/000103500211000013/vlo12311010k.htm,https://www.sec.gov/Archives/edgar/data/1035002/000103500212000008/0001035002-12-000008-index.html,https://www.sec.gov/Archives/edgar/data/1035002/000103500213000008/0001035002-13-000008-index.html,https://www.sec.gov/Archives/edgar/data/1035002/000103500214000008/vloform10-kx12312013.htm,https://www.sec.gov/Archives/edgar/data/1035002/000103500215000009/vloform10-kx12312014.htm,https://www.sec.gov/Archives/edgar/data/1035002/000103500216000069/0001035002-16-000069-index.html,https://www.sec.gov/Archives/edgar/data/1035002/000103500217000009/0001035002-17-000009-index.html,https://www.sec.gov/Archives/edgar/data/1035002/000103500218000010/0001035002-18-000010-index.html,https://www.sec.gov/Archives/edgar/data/1035002/000103500219000008/0001035002-19-000008-index.html,https://www.sec.gov/Archives/edgar/data/1035002/000103500220000007/0001035002-20-000007-index.html,https://www.sec.gov/Archives/edgar/data/1035002/000103500221000051/0001035002-21-000051-index.htm,https://www.sec.gov/Archives/edgar/data/1035002/000103500222000007/0001035002-22-000007-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9900000,11200000,60100000,14596000,269437000,378900000,369200000,863600000,436000000,1590000000,2464000000,940000000,825000000,3334000000,1024000000,1723000000,4292000000,3689000000,4114000000,4816000000,5850000000,2982000000,2583000000,3313000000,4122000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9900000,11200000,60100000,14596000,269437000,378900000,369200000,863600000,436000000,1590000000,2464000000,940000000,825000000,3334000000,1024000000,1723000000,4292000000,3689000000,4114000000,4816000000,5850000000,2982000000,2583000000,3313000000,4122000000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,366300000,283500000,372500000,585892000,917831000,1558200000,1327700000,1838700000,3564000000,4421000000,7691000000,3094000000,4661000000,4926000000,8918000000,8336000000,8823000000,5976000000,4682000000,5959000000,6922000000,7345000000,8904000000,6109000000,10378000000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,369400000,316400000,303400000,539882000,1453106000,1436100000,1913100000,2317800000,4039000000,4430000000,4184000000,4637000000,4863000000,4947000000,5623000000,5973000000,5758000000,6623000000,5898000000,5709000000,6384000000,6532000000,7013000000,6038000000,6265000000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,43400000,28600000,92900000,144697000,1472770000,163200000,207300000,244300000,237000000,319000000,453000000,779000000,574000000,311000000,407000000,428000000,404000000,326000000,278000000,316000000,156000000,816000000,469000000,384000000,400000000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,789000000,639700000,828900000,1285067000,4113144000,3536400000,3817300000,5264400000,8276000000,10760000000,14792000000,9450000000,10923000000,13518000000,15972000000,16460000000,19277000000,16614000000,14972000000,16800000000,19312000000,17675000000,18969000000,15844000000,21165000000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1592500000,1959300000,1984500000,2676680000,7260455000,7412000000,8195100000,10317400000,17856000000,21098000000,21709000000,23213000000,23012000000,22669000000,25177000000,26300000000,25707000000,26735000000,26703000000,26472000000,27480000000,28848000000,29264000000,31593000000,32131000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2210473000,- -,- -,- -,- -,4211000000,4061000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,260000000,260000000,260000000,260000000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,366702000,2921100000,2721900000,2711900000,5224000000,303000000,290000000,224000000,227000000,224000000,227000000,- -,- -,- -,- -,- -,- -,307000000,283000000,248000000,218000000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2577175000,2921100000,2721900000,2711900000,5224000000,4514000000,4351000000,224000000,227000000,224000000,227000000,213000000,156000000,- -,156000000,148000000,142000000,567000000,543000000,508000000,478000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,201000000,201000000,530000000,542000000,2271000000,972000000,734000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,111500000,126700000,165900000,345957000,426322000,595700000,929900000,1097900000,1372000000,1381000000,1870000000,1530000000,1467000000,1210000000,1407000000,1504000000,2120000000,2201000000,2311000000,2552000000,2694000000,2523000000,2817000000,2857000000,3380000000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1704000000,2086000000,2150400000,3022637000,10263952000,10928800000,11846900000,14127200000,24452000000,26993000000,27930000000,24967000000,24706000000,24103000000,26811000000,28017000000,27983000000,28936000000,29371000000,29373000000,30846000000,32480000000,34895000000,35930000000,36723000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2493000000,2725700000,2979300000,4307704000,14377096000,14465200000,15664200000,19391600000,32728000000,37753000000,42722000000,34417000000,35629000000,37621000000,42783000000,44477000000,47260000000,45550000000,44343000000,46173000000,50158000000,50155000000,53864000000,51774000000,57888000000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,414300000,283200000,616900000,806879000,1374501000,1825000000,2288200000,2963400000,5563000000,6864000000,9596000000,4446000000,5760000000,6441000000,9472000000,9348000000,9931000000,6760000000,4907000000,6357000000,8348000000,8594000000,10205000000,6082000000,12495000000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,122000000,160000000,- -,27000000,505661000,476700000,- -,411600000,222000000,476000000,392000000,312000000,237000000,822000000,1009000000,586000000,303000000,606000000,127000000,115000000,122000000,238000000,825000000,1008000000,1579000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,820000000,674000000,1383000000,1027000000,2118000000,1642000000,1406000000,1162000000,1889000000,1262000000,1512000000,1484000000,1839000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,55000000,56000000,78000000
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,61000000,54500000,102100000,205113000,2850084000,705000000,776100000,1158500000,1520000000,1482000000,1926000000,1451000000,1801000000,1521000000,2227000000,1995000000,2889000000,2614000000,2326000000,1856000000,2601000000,1892000000,2075000000,2137000000,2699000000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,597300000,497700000,719000000,1038992000,4730246000,3006700000,3064300000,4533500000,7305000000,8822000000,11914000000,6209000000,7798000000,8784000000,12708000000,11929000000,13123000000,9980000000,7360000000,8328000000,11071000000,10724000000,13160000000,9283000000,16851000000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,430200000,822300000,785500000,1042417000,2517398000,4494100000,4239100000,3893300000,5109000000,4576000000,6470000000,6264000000,- -,- -,- -,6463000000,6261000000,5780000000,7250000000,7886000000,8750000000,8871000000,9178000000,14839000000,13546000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,256900000,210400000,275500000,406634000,1388123000,1301000000,1604600000,2011200000,3615000000,4047000000,4021000000,4163000000,4063000000,4530000000,5017000000,5860000000,6601000000,6607000000,6768000000,7361000000,4708000000,4962000000,5103000000,5275000000,5210000000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,49800000,110000000,114500000,120106000,1423158000,1239100000,1021000000,1155600000,1649000000,1703000000,1810000000,2161000000,9043000000,9282000000,8613000000,2130000000,1329000000,1939000000,1611000000,1744000000,2729000000,2867000000,3887000000,2735000000,2464000000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,736900000,1142700000,1175500000,1569157000,5328679000,7034200000,6864700000,7060100000,10373000000,10326000000,12301000000,12588000000,13106000000,13812000000,13630000000,14453000000,14191000000,14326000000,15629000000,16991000000,16187000000,16700000000,18168000000,22849000000,21220000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6000000,7900000,47000000,81000000,- -,- -,7163000000,7515000000,6732000000,- -,- -,- -,- -,- -,- -,- -,1290000000,1170000000,3175000000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1334200000,1640400000,1894500000,2608149000,10058925000,10040900000,9929000000,11593600000,17678000000,19148000000,24215000000,18797000000,20904000000,22596000000,26338000000,26382000000,27314000000,24306000000,22989000000,25319000000,27258000000,27424000000,31328000000,32132000000,38071000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,200500000,208100000,68000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,600000,623000,1082000,1100000,1200000,2600000,6000000,6000000,6000000,6000000,7000000,7000000,7000000,7000000,7000000,7000000,7000000,7000000,7000000,7000000,7000000,7000000,7000000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,47600000,-17600000,-3300000,321566000,864421000,913600000,1482700000,3199600000,6673000000,11951000000,16914000000,15484000000,13178000000,13388000000,15309000000,17032000000,18970000000,22046000000,25188000000,26366000000,29200000000,31044000000,31974000000,28953000000,28281000000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-540000000,-612800000,-702200000,-804437000,-937386000,-1100000,169600000,228700000,335000000,265000000,573000000,-176000000,365000000,388000000,96000000,108000000,350000000,-367000000,-933000000,-1410000000,-940000000,-1507000000,-1351000000,-1254000000,-1008000000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1651200000,1715700000,1789700000,2009303000,4274446000,3394700000,3881200000,4159000000,7968000000,6383000000,1014000000,306000000,1175000000,1242000000,1011000000,885000000,133000000,-1009000000,-3735000000,-4939000000,-6276000000,-7877000000,-8827000000,-8905000000,- -
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1158800000,1085300000,1084800000,1527055000,4202563000,4308300000,5735200000,7798000000,15050000000,18605000000,18507000000,15620000000,14725000000,15025000000,16423000000,18032000000,19460000000,20677000000,20527000000,20024000000,21991000000,21667000000,21803000000,18801000000,18430000000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2493000000,2725700000,2979300000,4135204000,14261488000,14349200000,15664200000,19391600000,32728000000,37753000000,42722000000,34417000000,35629000000,37621000000,42761000000,44414000000,46774000000,44983000000,43516000000,45343000000,49249000000,49091000000,53131000000,50933000000,56501000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,172500000,115608000,116000000,- -,- -,- -,- -,- -,- -,- -,- -,22000000,63000000,486000000,567000000,827000000,830000000,909000000,1064000000,733000000,841000000,1387000000
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2493000000,2725700000,2979300000,4307704000,14377096000,14465200000,15664200000,19391600000,32728000000,37753000000,42722000000,34417000000,35629000000,37621000000,42783000000,44477000000,47260000000,45550000000,44343000000,46173000000,50158000000,50155000000,53864000000,51774000000,57888000000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/1035002/000103500298000002/0001035002-98-000002-index.html,https://www.sec.gov/Archives/edgar/data/1035002/000095013499001346/0000950134-99-001346-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1035002/000111080503000007/0001110805-03-000007-index.html,https://www.sec.gov/Archives/edgar/data/1035002/000095013404003420/0000950134-04-003420-index.html,https://www.sec.gov/Archives/edgar/data/1035002/000095013405004779/0000950134-05-004779-index.html,https://www.sec.gov/Archives/edgar/data/1035002/000095013406004061/d32462e10vk.htm,https://www.sec.gov/Archives/edgar/data/1035002/000119312507039165/d10k.htm,https://www.sec.gov/Archives/edgar/data/1035002/000095013408003802/d54294e10vk.htm,https://www.sec.gov/Archives/edgar/data/1035002/000095013409003971/0000950134-09-003971-index.html,https://www.sec.gov/Archives/edgar/data/1035002/000095012310018097/0000950123-10-018097-index.html,https://www.sec.gov/Archives/edgar/data/1035002/000103500211000013/vlo12311010k.htm,https://www.sec.gov/Archives/edgar/data/1035002/000103500212000008/0001035002-12-000008-index.html,https://www.sec.gov/Archives/edgar/data/1035002/000103500213000008/0001035002-13-000008-index.html,https://www.sec.gov/Archives/edgar/data/1035002/000103500214000008/vloform10-kx12312013.htm,https://www.sec.gov/Archives/edgar/data/1035002/000103500215000009/vloform10-kx12312014.htm,https://www.sec.gov/Archives/edgar/data/1035002/000103500216000069/0001035002-16-000069-index.html,https://www.sec.gov/Archives/edgar/data/1035002/000103500217000009/0001035002-17-000009-index.html,https://www.sec.gov/Archives/edgar/data/1035002/000103500218000010/0001035002-18-000010-index.html,https://www.sec.gov/Archives/edgar/data/1035002/000103500219000008/0001035002-19-000008-index.html,https://www.sec.gov/Archives/edgar/data/1035002/000103500220000007/0001035002-20-000007-index.html,https://www.sec.gov/Archives/edgar/data/1035002/000103500221000051/0001035002-21-000051-index.htm,https://www.sec.gov/Archives/edgar/data/1035002/000103500222000007/0001035002-22-000007-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,41500000,94700000,98700000,83900000,36400000,26900000,59800000,72700000,96100000,-47300000,14300000,339120000,563553000,91500000,621500000,1803100000,3589200000,5462200000,5234000000,-1131000000,-1982000000,324000000,2090000000,2083000000,2720000000,3630000000,3990000000,2289000000,4065000000,3122000000,2422000000,-1107000000,930000000
74,Depreciation and Amortization,- -,- -,- -,- -,34400000,35600000,36600000,48200000,79500000,102400000,135300000,138400000,65200000,78700000,139000000,173056000,252354000,449300000,510500000,618400000,875000000,1155000000,1376000000,1476000000,1527000000,1473000000,1534000000,1574000000,1720000000,1690000000,1842000000,1894000000,1986000000,2069000000,2255000000,2351000000,2405000000
75,Deferred Income Tax,- -,- -,- -,- -,16700000,46600000,45500000,26200000,15300000,12200000,4700000,20000000,32300000,-31700000,-9400000,103100000,270700000,1500000,287200000,344800000,255000000,290000000,-131000000,675000000,-343000000,347000000,461000000,963000000,501000000,445000000,165000000,230000000,-2543000000,203000000,234000000,158000000,-126000000
