,https://roic.ai/company/ISRG,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
61,Total Liabilities,- -,- -,21691000,22068000,27901000,36037000,39297000,58996000,82085000,151324000,207858000,272433000,353000000,417500000,479100000,448900000,580000000,587800000,709100000,1031200000,1159200000,1448500000,1409800000,1603500000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,36000,36000,36000,33000,34000,36000,37000,38000,39000,38000,- -,- -,- -,- -,- -,- -,- -,100000,100000,100000,100000,400000
64,Retained Earnings,- -,- -,-93670000,-110370000,-128791000,-138414000,-114936000,-20989000,51020000,193509000,397824000,511716000,718900000,901900000,1333400000,979400000,487700000,899200000,1574900000,61400000,1521700000,2494500000,3261300000,4760900000
65,Other Comprehensive Income/Loss,- -,- -,-5181000,-7367000,1415000,779000,-392000,-1477000,705000,530000,-2943000,1256000,1600000,900000,6600000,2100000,-5100000,-9500000,-8900000,-15500000,-13300000,12400000,24900000,-24200000
66,Other Total Stockholders Equity,- -,- -,189545000,195994000,191020000,416559000,430226000,465021000,537943000,694597000,871846000,1024273000,1316500000,1742700000,2239700000,2520000000,2896700000,3430300000,4211900000,4679200000,5170300000,5756800000,6445200000,7164000000
67,Total Stockholders Equity,- -,- -,90730000,78293000,63680000,278957000,314932000,442591000,589705000,888674000,1266766000,1537283000,2037400000,2645600000,3580100000,3501400000,3379400000,4319500000,5777800000,4725200000,6678800000,8263800000,9731500000,11901100000
68,Total Liabilities And Stockholders Equity,- -,- -,112421000,100361000,91581000,314994000,354229000,501587000,671790000,1039998000,1474624000,1809716000,2390400000,3063100000,4059200000,3950300000,3959400000,4907300000,6486900000,5756400000,7838000000,9712300000,11141300000,13504600000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1600000,8700000,20900000,27600000,50400000
70,Total Liabilities & Equity,- -,- -,112421000,100361000,91581000,314994000,354229000,501587000,671790000,1039998000,1474624000,1809716000,2390400000,3063100000,4059200000,3950300000,3959400000,4907300000,6486900000,5758000000,7846700000,9733200000,11168900000,13555000000
71,SEC Link,undefined,undefined,- -,https://www.sec.gov/Archives/edgar/data/1035267/000103526702000001/0001035267-02-000001-index.html,https://www.sec.gov/Archives/edgar/data/1035267/000089161803001487/0000891618-03-001487-index.html,https://www.sec.gov/Archives/edgar/data/1035267/000119312504040493/0001193125-04-040493-index.html,https://www.sec.gov/Archives/edgar/data/1035267/000119312505052547/0001193125-05-052547-index.htm,https://www.sec.gov/Archives/edgar/data/1035267/000119312506055046/0001193125-06-055046-index.htm,https://www.sec.gov/Archives/edgar/data/1035267/000119312507032981/0001193125-07-032981-index.htm,https://www.sec.gov/Archives/edgar/data/1035267/000119312508031448/0001193125-08-031448-index.htm,https://www.sec.gov/Archives/edgar/data/1035267/000119312509021360/0001193125-09-021360-index.htm,https://www.sec.gov/Archives/edgar/data/1035267/000119312510016932/0001193125-10-016932-index.htm,https://www.sec.gov/Archives/edgar/data/1035267/000119312511020229/0001193125-11-020229-index.htm,https://www.sec.gov/Archives/edgar/data/1035267/000119312512039226/0001193125-12-039226-index.htm,https://www.sec.gov/Archives/edgar/data/1035267/000119312513036675/0001193125-13-036675-index.htm,https://www.sec.gov/Archives/edgar/data/1035267/000103526714000009/0001035267-14-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1035267/000103526715000014/0001035267-15-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1035267/000103526716000130/0001035267-16-000130-index.htm,https://www.sec.gov/Archives/edgar/data/1035267/000103526717000021/0001035267-17-000021-index.htm,https://www.sec.gov/Archives/edgar/data/1035267/000103526718000013/0001035267-18-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1035267/000103526719000012/0001035267-19-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1035267/000103526720000032/0001035267-20-000032-index.htm,https://www.sec.gov/Archives/edgar/data/1035267/000103526721000028/0001035267-21-000028-index.htm,https://www.sec.gov/Archives/edgar/data/1035267/000103526722000014/0001035267-22-000014-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,-18415000,-18523000,-16700000,-18421000,-9623000,23478000,94134000,72044000,144537000,204315000,232606000,381800000,495100000,656600000,671000000,418800000,588800000,735900000,660000000,1127900000,1379300000,1060600000,1704600000
74,Depreciation and Amortization,- -,2243000,4752000,4712000,4549000,10629000,7111000,6727000,35269000,13027000,25084000,34577000,40400000,46500000,57800000,67300000,74400000,89500000,92100000,99100000,122800000,203000000,276200000,310200000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,-40758000,9080000,3913000,-20495000,-15645000,-21500000,7100000,-20800000,-38500000,-35000000,4600000,18700000,62900000,31900000,-8000000,57600000,-62600000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,96981000,117600000,136400000,153300000,168900000,168900000,167900000,177600000,209100000,261200000,335800000,395400000,449200000
77,Change in Working Capital,- -,95000,83836000,-15914000,-15360000,65192000,20545000,12369000,143116000,184037000,61553000,104486000,358140000,143700000,345500000,60300000,-205700000,357800000,950300000,-547100000,1405800000,119800000,2028300000,-368100000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-35275000,-41500000,-51100000,-68900000,68900000,-13700000,-79200000,-35900000,-81700000,-161300000,38800000,5700000,-142300000
79,Inventory,- -,-1602000,-3215000,-106000,-2556000,4622000,2822000,-9205000,-9020000,-8213000,-31064000,5860000,-29200000,-25300000,-7100000,-70000000,-26800000,-10700000,-46700000,-115500000,-279000000,-360500000,-170100000,-256000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7040000,8100000,10300000,8400000,-8900000,17700000,-11300000,15900000,14000000,16700000,12300000,-32300000,36000000
81,Other Working Capital,- -,- -,83836000,67922000,52562000,117754000,138299000,150668000,293784000,477821000,539374000,643860000,1002000000,1145700000,1491200000,1551500000,1345800000,1703600000,2653900000,2106800000,3512600000,3632400000,5660700000,147700000
82,Other Non-Cash Items,- -,150000,-82869000,9349000,15084000,-74052000,-20819000,-1685000,-159664000,-139827000,7778000,-67950000,-348440000,-151200000,-378200000,-49000000,243700000,-436700000,-931700000,659900000,-1780000000,-431700000,-2333300000,56100000
83,Cash Provided by Operating Activities,- -,-15927000,-12804000,-18553000,-14148000,-7854000,30315000,70787000,99845000,205687000,278235000,385055000,528000000,677600000,814200000,880000000,665100000,771900000,1042900000,1143900000,1169600000,1598200000,1484800000,2089400000
84,CAPEX,- -,-931000,-3555000,-5527000,-5788000,-2525000,-22439000,-30054000,-18054000,-24007000,-105973000,-53416000,-96000000,-82900000,-141800000,-104600000,-105600000,-81000000,-53900000,-190700000,-187400000,-425600000,-341500000,-353500000
85,Acquisitions Net,- -,- -,- -,- -,-40000,-8461000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-84300000,- -,- -,- -,-87900000,-59700000,-37700000,-8700000
86,Purchases of Investments,- -,-38292000,-70096000,-59910000,-14525000,-91592000,-121890000,-220540000,-301001000,-688345000,-732698000,-764451000,-1385400000,-1532200000,-1833900000,-1443700000,-1344600000,-1827400000,-2585500000,-1995000000,-2581900000,-3346200000,-4292900000,-6452000000
87,Sales/Maturities of Investments,- -,28910000,25833000,71013000,38463000,31127000,95870000,148443000,205702000,475952000,534143000,525490000,1004900000,1136100000,1130000000,1807300000,1380600000,1058900000,1360000000,2564400000,1807600000,2677100000,3731500000,4352700000
88,Other Investing Activites,- -,- -,-3000000,36000,62000,275000,306000,-1156000,- -,- -,- -,- -,- -,- -,-141800000,-104600000,-105600000,-81000000,-53900000,-190700000,-187400000,-425600000,- -,- -
89,Cash Used for Investing Activites,- -,-10313000,-50818000,5612000,18172000,-71176000,-48153000,-103307000,-113353000,-236400000,-304528000,-292377000,-476500000,-479000000,-845700000,259000000,-153900000,-849500000,-1279400000,378700000,-1049600000,-1154400000,-940600000,-2461500000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,19398000,82452000,2314000,2060000,83963000,13233000,32996000,19143000,55979000,44677000,58691000,141100000,260600000,263300000,160600000,283600000,361100000,580900000,415500000,- -,- -,- -,- -
92,Common Stock Repurchased,- -,-43000,-20000,-65000,-2000,-6000,- -,-72000,- -,- -,- -,-150000000,-198600000,-331800000,-238300000,-1109200000,-1000000000,-183700000,-42500000,-2274000000,- -,-269500000,-134300000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,822000,-259000,-1478000,947000,-1624000,-1116000,-608000,23040000,62868000,53303000,25140000,65200000,58800000,94200000,38000000,24000000,16000000,20100000,-54600000,126300000,101100000,48600000,43000000
95,Cash Used/Provided by Financing Activities,- -,20177000,82173000,771000,3005000,82333000,12117000,32316000,42183000,118847000,97980000,-66169000,7700000,-12400000,119200000,-910600000,-692400000,193400000,558500000,-1913100000,126300000,-168400000,-85700000,43000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,91000,-20000,157000,-59000,207000,301000,111000,305000,-800000,-200000,200000,- -,-600000,-1500000,- -,2100000,-100000,-2200000,-2600000,-3400000
97,Net Change In Cash,- -,-6063000,18551000,-12170000,7120000,3283000,-5564000,-263000,28882000,88435000,71798000,26814000,58400000,186000000,87900000,228400000,-181800000,114300000,322000000,-388400000,246200000,273200000,455900000,-332500000
98,Cash at the End of Period,- -,4106000,22657000,10487000,17607000,11335000,5771000,5508000,34390000,122825000,194623000,221437000,279800000,465800000,553700000,782100000,600300000,714600000,1036600000,648200000,909400000,1182600000,1638500000,1306000000
99,Cash at the Beginning of Period,- -,10169000,4106000,22657000,10487000,8052000,11335000,5771000,5508000,34390000,122825000,194623000,221400000,279800000,465800000,553700000,782100000,600300000,714600000,1036600000,663200000,909400000,1182600000,1638500000
100,Free Cash Flow,- -,-16858000,-16359000,-24080000,-19936000,-10379000,7876000,40733000,81791000,181680000,172262000,331639000,432000000,594700000,672400000,775400000,559500000,690900000,989000000,953200000,982200000,1172600000,1143300000,1735900000
101,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1035267/000103526702000001/0001035267-02-000001-index.html,https://www.sec.gov/Archives/edgar/data/1035267/000089161803001487/0000891618-03-001487-index.html,https://www.sec.gov/Archives/edgar/data/1035267/000119312504040493/0001193125-04-040493-index.html,https://www.sec.gov/Archives/edgar/data/1035267/000119312505052547/0001193125-05-052547-index.htm,https://www.sec.gov/Archives/edgar/data/1035267/000119312506055046/0001193125-06-055046-index.htm,https://www.sec.gov/Archives/edgar/data/1035267/000119312507032981/0001193125-07-032981-index.htm,https://www.sec.gov/Archives/edgar/data/1035267/000119312508031448/0001193125-08-031448-index.htm,https://www.sec.gov/Archives/edgar/data/1035267/000119312509021360/0001193125-09-021360-index.htm,https://www.sec.gov/Archives/edgar/data/1035267/000119312510016932/0001193125-10-016932-index.htm,https://www.sec.gov/Archives/edgar/data/1035267/000119312511020229/0001193125-11-020229-index.htm,https://www.sec.gov/Archives/edgar/data/1035267/000119312512039226/0001193125-12-039226-index.htm,https://www.sec.gov/Archives/edgar/data/1035267/000119312513036675/0001193125-13-036675-index.htm,https://www.sec.gov/Archives/edgar/data/1035267/000103526714000009/0001035267-14-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1035267/000103526715000014/0001035267-15-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1035267/000103526716000130/0001035267-16-000130-index.htm,https://www.sec.gov/Archives/edgar/data/1035267/000103526717000021/0001035267-17-000021-index.htm,https://www.sec.gov/Archives/edgar/data/1035267/000103526718000013/0001035267-18-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1035267/000103526719000012/0001035267-19-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1035267/000103526720000032/0001035267-20-000032-index.htm,https://www.sec.gov/Archives/edgar/data/1035267/000103526721000028/0001035267-21-000028-index.htm,https://www.sec.gov/Archives/edgar/data/1035267/000103526722000014/0001035267-22-000014-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,
