,https://roic.ai/company/SEAS,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1564902/000119312514109073/0001193125-14-109073-index.htm,https://www.sec.gov/Archives/edgar/data/1564902/000119312515066579/0001193125-15-066579-index.htm,https://www.sec.gov/Archives/edgar/data/1564902/000156459016013463/0001564590-16-013463-index.htm,https://www.sec.gov/Archives/edgar/data/1564902/000156459017003001/0001564590-17-003001-index.htm,https://www.sec.gov/Archives/edgar/data/1564902/000156459018003622/0001564590-18-003622-index.htm,https://www.sec.gov/Archives/edgar/data/1564902/000156459019005656/0001564590-19-005656-index.htm,https://www.sec.gov/Archives/edgar/data/1564902/000156459020007020/0001564590-20-007020-index.htm,https://www.sec.gov/Archives/edgar/data/1564902/000156459021009459/0001564590-21-009459-index.htm,https://www.sec.gov/Archives/edgar/data/1564902/000156459022007356/0001564590-22-007356-index.htm
30,BALANCE SHEET, , , , , , , , , , , , 
31,Cash and Cash Equivalents,123697000,66663000,45675000,116841000,43906000,18971000,68958000,33178000,34073000,39946000,433909000,443707000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,123697000,66663000,45675000,116841000,43906000,18971000,68958000,33178000,34073000,39946000,433909000,443707000
34,Net Receivables,54927000,45980000,41149000,41509000,37002000,39538000,36726000,38400000,57980000,82639000,30410000,- -
35,Inventory,28342000,32431000,36587000,36209000,33134000,31213000,28684000,30887000,35814000,33163000,30700000,- -
36,Other Current Assets,11519000,21781000,35222000,48500000,28162000,19335000,19324000,16310000,18700000,13401000,12418000,- -
37,Total Current Assets,218485000,166855000,158633000,243059000,142204000,109057000,153692000,118775000,146567000,169149000,507437000,- -
38,PP&E,1742789000,1747878000,1774643000,1771500000,1744631000,1718996000,1666815000,1675241000,1692032000,1874900000,3272705000,- -
39,Goodwill,335610000,335610000,335610000,335610000,335610000,335610000,335610000,66278000,66278000,66278000,66278000,- -
40,Intangible Assets,203864000,199546000,195728000,191351000,188713000,184053000,179272000,174698000,172463000,157526000,- -,- -
41,Intangible Assets,539474000,535156000,531338000,526961000,524323000,519663000,514882000,240976000,238741000,223804000,66278000,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,72547000,52566000,6356000,- -,- -,23491000,22114000,32820000,23527000,19013000,- -,- -
44,Other Non-Current Assets,47986000,44640000,50082000,40753000,31316000,19927000,21268000,17970000,14735000,13652000,-1280062000,- -
45,Total Non-Current Assets,2402796000,2380240000,2362419000,2339214000,2300270000,2282077000,2225079000,1967007000,1969035000,2131369000,2058921000,- -
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2610316000
47,Total Assets,2621281000,2547095000,2521052000,2582273000,2442474000,2391134000,2378771000,2085782000,2115602000,2300518000,2566358000,2610316000
48,Accounts Payable,104389000,104915000,89946000,98500000,88279000,93743000,87680000,100573000,120024000,131503000,105369000,- -
49,Short-Term Debt,10500000,52500000,24330000,14050000,14050000,31850000,51713000,38707000,45505000,65505000,15505000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,84136000,82233000,82567000,82945000,79367000,79818000,78891000,79554000,101110000,104416000,130759000,154793000
52,Other Current Liabilities,32888000,40588000,49438000,57199000,39389000,23903000,45328000,34636000,44032000,101236000,65488000,- -
53,Total Current Liabilities,231913000,280236000,246281000,252694000,221085000,229314000,263612000,253470000,310671000,402660000,317121000,- -
54,Long-Term Debt,1400029000,1365387000,1802644000,1627183000,1589403000,1548893000,1531069000,1503609000,1494679000,1482619000,15505000,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,29776000,31760000,68161000,70033000,- -,10711000,42773000,- -,- -
57,Other Non-Current Liabilities,39544000,29005000,22279000,18488000,20691000,40646000,52842000,41237000,34347000,161574000,- -,- -
58,Total Non-Current Liabilities,1439573000,1394392000,1824923000,1675447000,1641854000,1657700000,1653944000,1544846000,1539737000,1686966000,15505000,- -
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2370545000,2644232000
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,128235000,123901000,- -
61,Total Liabilities,1671486000,1674628000,2071204000,1928141000,1862939000,1887014000,1917556000,1798316000,1850408000,2089626000,2672161000,2644232000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,101000,103000,827000,899000,902000,903000,919000,926000,934000,940000,946000,- -
64,Retained Earnings,-103205000,-84092000,-6648000,7991000,33516000,46460000,7518000,-194837000,-148955000,-59479000,- -,- -
65,Other Comprehensive Income/Loss,-217911000,-425006000,-568918000,-714305000,-867421000,-13000000,-14000000,-5000000,2000000,-2000000,- -,- -
66,Other Total Stockholders Equity,1270810000,1381462000,1024587000,1359547000,1412538000,469757000,466778000,486377000,411215000,271431000,-106749000,- -
67,Total Stockholders Equity,949795000,872467000,449848000,654132000,579535000,504120000,461215000,287466000,265194000,210892000,-105803000,-33916000
68,Total Liabilities And Stockholders Equity,2621281000,2547095000,2521052000,2582273000,2442474000,2391134000,2378771000,2085782000,2115602000,2300518000,2566358000,2610316000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,2621281000,2547095000,2521052000,2582273000,2442474000,2391134000,2378771000,2085782000,2115602000,2300518000,2566358000,2610316000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1564902/000119312514109073/0001193125-14-109073-index.htm,https://www.sec.gov/Archives/edgar/data/1564902/000119312515066579/0001193125-15-066579-index.htm,https://www.sec.gov/Archives/edgar/data/1564902/000156459016013463/0001564590-16-013463-index.htm,https://www.sec.gov/Archives/edgar/data/1564902/000156459017003001/0001564590-17-003001-index.htm,https://www.sec.gov/Archives/edgar/data/1564902/000156459018003622/0001564590-18-003622-index.htm,https://www.sec.gov/Archives/edgar/data/1564902/000156459019005656/0001564590-19-005656-index.htm,https://www.sec.gov/Archives/edgar/data/1564902/000156459020007020/0001564590-20-007020-index.htm,https://www.sec.gov/Archives/edgar/data/1564902/000156459021009459/0001564590-21-009459-index.htm,https://www.sec.gov/Archives/edgar/data/1564902/000156459022007356/0001564590-22-007356-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , 
73,Net Income,-45464000,19113000,77444000,50478000,49919000,49133000,-12531000,-202386000,44788000,89476000,-312321000,256513000
74,Depreciation and Amortization,220695000,213592000,166975000,166086000,176275000,182503000,199649000,163294000,160955000,160557000,150546000,148660000
75,Deferred Income Tax,-29241000,12197000,38979000,24018000,28000000,23246000,8937000,-86477000,16894000,37998000,-31414000,-4117000
76,Stock Based Compensation,- -,823000,1191000,6025000,2349000,6527000,37515000,23203000,22152000,11106000,7467000,41018000
77,Change in Working Capital,26417000,-99953000,25733000,78013000,-69246000,-41376000,10337000,-24775000,-29409000,-69407000,423827000,222287000
78,Accounts Receivable,14710000,11574000,4651000,-3215000,6256000,-3622000,2110000,-3005000,-24347000,10865000,24761000,-58927000
79,Inventory,2372000,-4089000,-4156000,-166000,2709000,1234000,2503000,-3285000,-4620000,721000,2267000,644000
80,Accounts Payable,-26684000,-6223000,-6247000,4293000,-8791000,2523000,3600000,7347000,13317000,2733000,1640000,20468000
81,Other Working Capital,-13428000,-113381000,-87648000,-9635000,-78881000,-120257000,-109920000,-134695000,-164104000,-233511000,190316000,412603000
82,Other Non-Cash Items,29874000,122477000,-6809000,-34826000,74235000,66241000,36505000,319598000,78555000,118686000,-358834000,-161349000
83,Cash Provided by Operating Activities,202281000,268249000,303513000,289794000,261532000,286274000,280412000,192457000,293935000,348416000,-120729000,503012000
84,CAPEX,-120196000,-225316000,-191745000,-166258000,-156541000,-157422000,-160518000,-172517000,-179770000,-195217000,-109175000,-128854000
85,Acquisitions Net,- -,- -,-12000000,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-120196000,-225316000,-192318000,-166376000,-156546000,-157377000,-160286000,-171272000,-180029000,-195193000,-109175000,-128854000
89,Cash Used for Investing Activites,-120196000,-225316000,-204318000,-166376000,-156546000,-157377000,-160286000,-171272000,-180029000,-195193000,-109175000,-128854000
90,Debt Repayment,-20500000,-586248000,-93680000,-192255000,-85537000,-351150000,-112637000,-1131909000,-645592000,-289506000,-338005000,-2032728000
91,Common Stock Issued,- -,12836000,- -,253800000,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,-44163000,-60058000,-50650000,- -,- -,-98032000,-150000000,-12406000,- -
93,Dividends Paid,- -,-106920000,-502977000,-36175000,-72113000,-72318000,-65306000,-1544000,-325000,- -,- -,- -
94,Other Financing Activites,- -,580365000,476474000,-33459000,39787000,320286000,107804000,1076488000,631053000,292201000,974615000,1667831000
95,Cash Used/Provided by Financing Activities,-20500000,-99967000,-120183000,-52252000,-177921000,-153832000,-70139000,-56965000,-112896000,-147305000,624204000,-364897000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,61585000,-57034000,-20988000,71166000,-72935000,-24935000,49987000,-35780000,1010000,5918000,394300000,9261000
98,Cash at the End of Period,123697000,66663000,45675000,116841000,43906000,18971000,68958000,33178000,35007000,40925000,435225000,444486000
99,Cash at the Beginning of Period,62112000,123697000,66663000,45675000,116841000,43906000,18971000,68958000,33997000,35007000,40925000,435225000
100,Free Cash Flow,82085000,42933000,111768000,123536000,104991000,128852000,119894000,19940000,114165000,153199000,-229904000,374158000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1564902/000119312514109073/0001193125-14-109073-index.htm,https://www.sec.gov/Archives/edgar/data/1564902/000119312515066579/0001193125-15-066579-index.htm,https://www.sec.gov/Archives/edgar/data/1564902/000156459016013463/0001564590-16-013463-index.htm,https://www.sec.gov/Archives/edgar/data/1564902/000156459017003001/0001564590-17-003001-index.htm,https://www.sec.gov/Archives/edgar/data/1564902/000156459018003622/0001564590-18-003622-index.htm,https://www.sec.gov/Archives/edgar/data/1564902/000156459019005656/0001564590-19-005656-index.htm,https://www.sec.gov/Archives/edgar/data/1564902/000156459020007020/0001564590-20-007020-index.htm,https://www.sec.gov/Archives/edgar/data/1564902/000156459021009459/0001564590-21-009459-index.htm,https://www.sec.gov/Archives/edgar/data/1564902/000156459022007356/0001564590-22-007356-index.htm
102,false,,,,,,,,,,,,
