,https://roic.ai/company/OIBRQ,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,181053000,3744000,3744000,5370000,21763000,1050233000,1186985000,259696000,280856000,305000000,251349000,154827000,167707000,133920000
43,Tax Assets,- -,- -,404073755,665784832,657726875,733392903,729887760,1224865704,1366196788,1249250000,1327500000,1228954000,5276443000,4982322000,8210906000,8274432000,7625772000,856457000,2515000000,- -,23050000,99175000,3671070000
44,Other Non-Current Assets,- -,- -,218699662,968178482,573560574,798874721,636944952,775725708,912639628,1481982000,2665437000,2665437000,6482272000,7535805000,11323756000,14241739000,16255855000,22385044000,15204000000,10899399000,9262000000,10722960000,8406180000
45,Total Non-Current Assets,- -,- -,13110580687,11967705986,12962445619,11590273187,11603561470,11332318237,9958849638,9625263000,11531023000,11432476000,18399317000,19418458000,47932108000,52408933000,53502327000,61120314000,55465000000,47489041000,45934117000,53898541000,40044049000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,15638825610,14055871700,16432184263,15559698729,17407109799,16717645774,15959124598,15575736000,17670188000,17539938000,26886114000,31664031000,69076894000,70096071000,102789122000,99334601000,82172000000,70986768000,67247601000,71891822000,73839787000
48,Accounts Payable,- -,- -,961740345,1294494144,997669948,983415965,1884197432,1940019437,1575006923,1482582000,2060414000,1889543000,1636598000,1840552000,1027030000,1329136000,1708777000,1282493000,8035000000,5170970000,5225862000,5593940000,3275919000
49,Short-Term Debt,- -,- -,1307951114,530652517,683273756,1982235852,1103425258,1488453385,990787223,377791000,670707000,670707000,1044226000,1143537000,3113621000,4158708000,4463728000,11809598000,48086000000,54251000,672894000,1836485000,1079619000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,817117000,736156000,704453000,1053134000,1663794000,3413561000,2645217000,2238922000,1971707000,2287000000,2289068000,1202930000,1040138000,1295242000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,541786000,302591000,- -,- -
52,Other Current Liabilities,- -,- -,888695516,848549842,992561988,1015173031,1822359509,2048405002,2039452628,2517096000,2060526000,2199693000,4009865000,5635088000,12955772000,10052613000,36384327000,12512940000,4628000000,4063497000,4038723000,4405492000,13657300000
53,Total Current Liabilities,- -,- -,3158386975,2673696502,2673505692,3980824848,4809982198,5476877824,4605246773,4377469000,4791647000,4759943000,6690689000,8619177000,17096423000,15540457000,42556832000,25605031000,60749000000,9830504000,10240070000,11835917000,18012838000
54,Long-Term Debt,- -,- -,2043724556,3504427336,4398527235,2634875732,4179470175,3416706807,3951825315,3607500000,3993198000,3993198000,3320860000,6961674000,30232468000,31694918000,31385667000,48047819000,- -,- -,15777012000,24540290000,28245793000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1700959000,1829207000,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,3741000,- -,- -,11216000,- -,234000000,- -,- -,- -,- -,497375000,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,1310924696,1013556223,1736366666,2130663423,1904293031,2314243614,1874751123,2002625000,2650047000,2551501000,5526510000,5494008000,10197449000,11336558000,9535134000,9035311000,8966000000,68641991000,10201816000,17719109000,19811246000
58,Total Non-Current Liabilities,- -,- -,3354649253,4517983559,6134893900,4765539155,6083763206,5730950421,5826576438,5613866000,6643245000,6544699000,8858586000,12455682000,40663917000,43031476000,40920801000,57083130000,8966000000,70840325000,27808035000,42259399000,48057039000
59,Other Liabilities,- -,- -,- -,9035967119,- -,- -,- -,11461900842,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8150026000,2981678000
61,Total Liabilities,- -,- -,6513036227,7191680062,8808399593,8746364003,10893745404,11207828246,10431823210,9991335000,11434892000,11304642000,15549275000,21074859000,57760340000,58571933000,83477633000,82688161000,69715000000,80670829000,38048105000,54095316000,66069877000
