,https://roic.ai/company/BAK,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
20,Income Before Tax,- -,104026020,193698356,372403641,-62899496,-1556157969,336635865,794610143,748632819,89882743,1184102883,-2712900000,1641500000,1887438000,-874994000,-1833714000,963948000,1178565000,4559685000,-140010000,5264577000,3604736000,-4603068000,-9683784000,17056338000
21,Income Before Tax Ratio,- -,0.0829,0.1065,0.1228,-0.0153,-0.1839,0.0333,0.0652,0.0573,0.0069,0.0670,-0.1511,0.1077,0.0740,-0.0264,-0.0516,0.0235,0.0256,0.0964,-0.0029,0.1069,0.0622,-0.0880,-0.1654,0.1615
22,Income Tax expense (Gain),- -,-17881360,7866590,5726827,-33064907,72290204,122403337,78921573,177288786,-12769410,376968567,-278200000,873700000,-2047000,-358155000,-793376000,456910000,452264000,1660905000,616046000,1357682000,736551000,-1962670000,-2668478000,3691862000
23,Net Income,- -,121907380,212647969,366676815,-25731084,-1628448173,214232528,691083016,625408392,101054910,547554575,-2492100000,767800000,1895309000,-525142000,-731143000,509697000,864064000,3140311000,-411472000,3865440000,2827650000,-2540995000,-6691720000,13387659000
24,Net Income ratio,- -,0.0971,0.1169,0.1209,-0.0063,-0.1924,0.0212,0.0567,0.0479,0.0078,0.0310,-0.1388,0.0504,0.0743,-0.0158,-0.0206,0.0124,0.0188,0.0664,-0.0086,0.0785,0.0488,-0.0486,-0.1143,0.1267
25,EPS,- -,24.16,31.48,25.86,-0.99,-33.96,1.58,0.06,3.46,0.57,2.53,-9.82,3.52,5.30,-1.32,-2.60,1.28,2.17,7.89,-1.11,10.25,7.20,-6.38,-16.82,33.65
26,EPS Diluted,- -,24.16,31.48,25.86,-0.99,-33.96,1.58,0.06,3.46,0.57,2.53,-9.82,3.52,5.30,-1.32,-2.60,1.28,2.17,7.89,-1.11,10.25,7.20,-6.38,-16.82,33.65
27,Weighted Average Shares Outstanding,- -,5045000,5173544,5173544,276216,47953360,136953800,720000,180950361,177809463,216419000,253770500,260057471,357584174,399060070,398134117,398055295,398055295,398022916,397719908,398484219,397995006,397994522,397871780,397871780
28,Weighted Average Shares Outstanding Diluted,- -,5045000,5173544,5173544,276216,47953360,136953800,720000,181261761,185201173,216419000,253770500,260057471,357732628,399208525,398282572,398055295,398055295,398022916,397719908,398484219,397995006,397994522,397871780,397871780
29,SEC Link,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1071438/000095012304008067/0000950123-04-008067-index.htm,https://www.sec.gov/Archives/edgar/data/1071438/000119312505134954/0001193125-05-134954-index.htm,https://www.sec.gov/Archives/edgar/data/1071438/000119312506135073/0001193125-06-135073-index.htm,https://www.sec.gov/Archives/edgar/data/1071438/000095014407005523/0000950144-07-005523-index.htm,https://www.sec.gov/Archives/edgar/data/1071438/000129281408001891/0001292814-08-001891-index.htm,https://www.sec.gov/Archives/edgar/data/1071438/000118003109000095/0001180031-09-000095-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1071438/000129281411001712/0001292814-11-001712-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1071438/000129281413000719/0001292814-13-000719-index.htm,https://www.sec.gov/Archives/edgar/data/1071438/000129281414000902/0001292814-14-000902-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/1071438/000119312517291642/0001193125-17-291642-index.htm,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,249493300,127559999,36022268,219801050,125720247,686814719,1753764620,2134367659,1543360623,1889943910,2611600000,2663600000,2624270000,2986819000,3287622000,4335859000,3993359000,7439723000,6701864000,3775093000,5547637000,6803880000,13862852000,8681000000
32,Short-Term Investments,- -,- -,- -,310539481,63963109,488353567,492700481,20504629,145708046,412898915,385368872,337000000,466800000,236319000,170297000,172146000,86719000,89729000,1172000,1190483000,2302672000,2357613000,1687504000,3627227000,3493000000
33,Cash and Short-Term Investments,- -,249493300,127559999,346561749,283764159,614073814,1179515199,1774269249,2280075705,1956259538,2275312782,2948600000,3130400000,2860589000,3157116000,3459768000,4422578000,4083088000,7440895000,7892347000,6077765000,7905250000,8491384000,17490079000,12174000000
34,Net Receivables,- -,138701360,215045903,260805587,264228972,850732020,1333291875,1485092894,1875926296,2047839750,1610567013,1730000000,1916300000,2862432000,3286643000,4798663000,5440279000,5210496000,4320554000,2656053000,4563075000,4374774000,4581595000,7937879000,8583000000
35,Inventory,- -,83969900,125779088,167561847,289634934,816293111,1067270546,1536505860,1566521441,1763029448,2264113563,2948100000,1919100000,3015657000,3623522000,4040670000,5033593000,5368146000,5517206000,5238014000,6411344000,8486577000,7625084000,8383650000,16335000000
36,Other Current Assets,- -,54369000,467287661,75881919,169776386,928916025,480952069,539643583,91744092,169491100,445762753,125400000,81500000,41620000,104496000,115398000,62997000,99469000,219832000,110134000,366835000,267214000,2691491000,378636000,2203000000
37,Total Current Assets,- -,526533560,935672650,850811103,1007404451,3210014971,4061029689,5335511585,5814267534,5936619835,6595756111,7752100000,7047300000,8780298000,10171777000,12414499000,14959447000,14761199000,17498487000,15896548000,17419019000,21033815000,23389554000,34190244000,39295000000
38,PP&E,- -,1952088740,1929775372,1930221460,2541724838,4189911483,5011673008,5398629719,5960477603,6672537055,8403408017,10278400000,10044200000,19366272000,20628187000,21176785000,25413548000,29001490000,33961963000,29336710000,29761610000,31759890000,34920835000,38831544000,40005000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,2267982792,1527300765,2404602337,- -,2080700000,2063707000,2063751000,2058918000,2058918000,2058918000,2058918000,2058874000,2058874000,2058874000,2058874000,2058874000,- -
40,Intangible Assets,- -,- -,- -,- -,1128983823,487702240,1904973885,2410138505,- -,129186850,172386074,2378700000,255300000,1015475000,952941000,882048000,853712000,776810000,828686000,750213000,668623000,682108000,703214000,769817000,- -
41,Intangible Assets,- -,- -,- -,- -,1128983823,487702240,1904973885,2410138505,2267982792,1656487615,2576988411,2378700000,2336000000,3079182000,3016692000,2940966000,2912630000,2835728000,2887604000,2809087000,2727497000,2740982000,2762088000,2828691000,2877000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25400000,47100000,196981000,75466000,160224000,142665000,169029000,132547000,92313000,111594000,75952000,73551000,58717000,76000000
43,Tax Assets,- -,- -,- -,- -,96245401,216665303,165328897,303880192,292417803,376089833,395467754,654500000,973400000,1136685000,1237144000,2055621000,2653606000,870206000,3226507000,1653115000,1165726000,1104158000,2662596000,8529972000,8257000000
44,Other Non-Current Assets,- -,643970600,729191311,953862789,866097140,2284914872,2683917852,1448681241,1245920309,1623167303,2918658962,1612800000,1749300000,1918073000,2224895000,2415483000,2264187000,1784099000,2254186000,2034078000,1546398000,2092736000,4320413000,1644751000,2055000000
45,Total Non-Current Assets,- -,2596059340,2658966682,2884084249,4633051202,7179193898,9765893641,9561329658,9766798507,10328281805,14294523144,14949800000,15150000000,25697193000,27182384000,28749079000,33386636000,34660552000,42462807000,35925303000,35312825000,37773718000,44739483000,51893675000,53270000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,3122592900,3594639333,3734895352,5640455653,10389208868,13826923330,14896841243,15581066041,16264901640,20890279255,22701900000,22197300000,34477491000,37354161000,41163578000,48346083000,49421751000,59961294000,51821851000,52731844000,58807533000,68129037000,86083919000,92564000000
48,Accounts Payable,- -,27788600,66284068,80109281,175057296,1601184480,1077530210,2039440314,2578590167,3014796285,2967655991,- -,270000000,233322000,6847340000,8897597000,10421687000,10852410000,11698695000,6545136000,5058796000,8341252000,9116989000,9946315000,12053000000
49,Short-Term Debt,- -,288397340,307304288,346704091,515727095,2567020827,3063078238,1781071367,903734530,1807221245,1179902730,2146300000,1820800000,1724185000,1391779000,1836028000,1274549000,1445004000,2270806000,13032254000,10903414000,11269760000,2242289000,9928604000,2164000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,105900000,1171500000,390062000,329987000,342789000,445424000,203392000,744660000,624080000,894769000,501273000,357742000,1236818000,2685000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,49000000,29800000,50344000,19119000,237504000,297403000,99750000,119680000,203216000,353222000,153264000,355764000,287449000,205000000
52,Other Current Liabilities,- -,86627940,109331745,64406817,218848907,1146954777,644284428,717388436,959101812,671575430,1774853683,5409900000,5185900000,6454299000,803350000,1575728000,1601162000,1686128000,2593048000,3162305000,2248991000,3001802000,4501118000,8224806000,10770000000
53,Total Current Liabilities,- -,402813880,482920102,491220189,909633299,5315160084,4784892875,4537900117,4441426509,5493592960,5922412404,7605200000,7306500000,8462150000,9061588000,12546857000,13594801000,14083292000,16682229000,22942911000,18564423000,22766078000,16216160000,28387174000,25192000000
54,Long-Term Debt,- -,767931920,937466154,857664966,2136244291,4940112615,4739079261,4220216485,4454016775,4906114800,7201306262,9839800000,7939300000,11004301000,13772135000,15675610000,22059348000,27261242000,38884211000,22357123000,24219381000,26611327000,42103763000,50529251000,52045000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,218531000,204989000,152635000,88402000,31116000,162955000,- -,- -,- -,382478000,258000000
56,Deferred Tax Liabilities,- -,14981680,21721718,29154755,57384033,59872515,9760530,9301452,10393040,17258323,64494327,23300000,848800000,2200538000,1938971000,2138622000,2393698000,603490000,731241000,510523000,1005493000,988661000,945124000,1927133000,1407000000
57,Other Non-Current Liabilities,- -,29117620,34619831,44410695,1720824,968869973,1636964673,1737661049,2021136989,1524707645,1347590117,1553800000,1510200000,2402216000,2411718000,1933700000,2464267000,1490975000,2294786000,4127629000,3469747000,2786797000,4919284000,8724401000,7458000000
58,Total Non-Current Liabilities,- -,812031220,993807702,931230416,2195349148,5968855103,6385804464,5967178986,6485546805,6448080768,8613390706,11416900000,10298300000,15607055000,18341355000,19952921000,27069948000,29444109000,41941354000,27158230000,28694621000,30386785000,47968171000,61563263000,61168000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2676896000,3207886000,3156000000
61,Total Liabilities,- -,1214845100,1476727803,1422450605,3104982447,11284015187,11170697340,10505079103,10926973313,11941673728,14535803110,19022100000,17604800000,24069205000,27402943000,32499778000,40664749000,43527401000,58623583000,50101141000,47259044000,53152863000,64184331000,89950437000,86360000000
62,Preferred Stock,- -,- -,- -,- -,- -,60916762,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,97260100,144748489,156897899,186863870,1596586254,1879774810,3403901183,- -,- -,4640618145,5375800000,5473200000,8043222000,- -,8043222000,8043222000,8043222000,8043222000,8043222000,8043222000,8043222000,8043222000,8043222000,8043000000
64,Retained Earnings,- -,1709603000,2688977731,3155446540,3641573085,-1440320900,-493897826,-34608201,-98237699,-25438593,-98291398,-1990000000,-1219200000,- -,- -,-565549000,- -,- -,- -,- -,-217550000,-256575000,- -,-4529547000,- -
65,Other Comprehensive Income/Loss,- -,-703897320,-787520643,-874888345,-1013558546,-1445404081,741292498,834320597,848768865,1082079548,1013716288,-5159500000,-5808600000,1560258000,906893000,1147206000,-450112000,-1955447000,-5970807000,-5254813000,-987164000,-717370000,-2619812000,-5177889000,3487000000
66,Other Total Stockholders Equity,- -,804782020,71705953,- -,- -,-54555706,-23104441,-15003970,- -,- -,200482048,5453500000,6147100000,786727000,- -,-48892000,-48892000,-48892000,-49819000,-49819000,-538207000,-538207000,-538112000,-538092000,-3664000000
67,Total Stockholders Equity,- -,1907747800,2117911529,2312444747,2535473206,-1282777671,2104065041,4188609609,4532967457,4301480678,5756525083,3679800000,4592500000,10390207000,9735896000,8575987000,7544218000,6038883000,2022596000,2738590000,6300301000,6531070000,4885298000,-2202306000,7866000000
68,Total Liabilities And Stockholders Equity,- -,3122592900,3594639333,3734895352,5640455653,10001237517,13274762381,14693688711,15459940770,16243154405,20292328193,22701900000,22197300000,34459412000,37138839000,41075765000,48208967000,49566284000,60646179000,52839731000,53559345000,59683933000,69069629000,87748131000,94226000000
69,Minority Interest,- -,- -,- -,- -,- -,387971352,552160949,203152531,121125271,21747235,597951062,- -,- -,18079000,215322000,87813000,137116000,-144533000,-684885000,-1017880000,-827501000,-876400000,-940592000,-1664212000,-1662000000
70,Total Liabilities & Equity,- -,3122592900,3594639333,3734895352,5640455653,10389208868,13826923330,14896841243,15581066041,16264901640,20890279255,22701900000,22197300000,34477491000,37354161000,41163578000,48346083000,49421751000,59961294000,51821851000,52731844000,58807533000,68129037000,86083919000,92564000000
71,SEC Link,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1071438/000095012304008067/0000950123-04-008067-index.htm,https://www.sec.gov/Archives/edgar/data/1071438/000119312505134954/0001193125-05-134954-index.htm,https://www.sec.gov/Archives/edgar/data/1071438/000119312506135073/0001193125-06-135073-index.htm,https://www.sec.gov/Archives/edgar/data/1071438/000095014407005523/0000950144-07-005523-index.htm,https://www.sec.gov/Archives/edgar/data/1071438/000129281408001891/0001292814-08-001891-index.htm,https://www.sec.gov/Archives/edgar/data/1071438/000118003109000095/0001180031-09-000095-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1071438/000129281411001712/0001292814-11-001712-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1071438/000129281413000719/0001292814-13-000719-index.htm,https://www.sec.gov/Archives/edgar/data/1071438/000129281414000902/0001292814-14-000902-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/1071438/000119312517291642/0001193125-17-291642-index.htm,- -,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,121907380,212647969,366676815,-25731084,-1628448173,214232528,691083016,625408392,101054910,547554575,-2492100000,767800000,1895309000,-525142000,-731143000,509697000,864064000,3140311000,-411472000,3865440000,2827650000,-2540995000,-6691720000,13387659000
74,Depreciation and Amortization,- -,106442420,110925571,119974782,121323919,311610355,824653715,947853027,993379466,1017735625,1309692600,1264700000,1061400000,1606354000,1721428000,1924265000,2056088000,2056362000,2114929000,2683100000,2928855000,2990577000,3632265000,4002006000,- -
75,Deferred Income Tax,- -,-18847920,5542411,5136010,-37335617,-17833613,-20317367,-138435461,29682393,-100656133,103290986,-301800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-519830000,-1904206000,-310557000,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,- -,72129540,-81209542,-97213716,36919925,210353804,-190525086,783207763,327494022,-495298715,942021700,1688800000,197700000,749855000,519969000,311142000,-737894000,-172758000,-608846000,-1036369000,-6403415000,-81508000,-279991000,-2545768000,-9321568000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,492800000,-252200000,186172000,365901000,-625130000,-492851000,144087000,-38586000,1007875000,-1598392000,130113000,895046000,-2187826000,-2175730000
79,Inventory,- -,38179120,-38363341,-39112844,-12983979,-273504192,-196503158,-384100569,-51467850,-147841960,28297169,-681700000,1062400000,-382285000,-382465000,-566025000,-927435000,-270351000,-161419000,862338000,-1351028000,-1537290000,867817000,-252534000,-7574645000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,58145000,177901000,1325977000,2165530000,742649000,-419476000,-2205683000,-4254575000,-1642649000,1343375000,282445000,-3001564000,1199201000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,-52366821,-213183893,-7399675,2041900000,-1094200000,791264000,17322000,295618000,145071000,-223212000,116334000,775081000,181084000,-316416000,-3698043000,3799740000,-1629256000
82,Other Non-Cash Items,- -,11236260,157682580,-69706618,130390178,2645095097,-249887459,-334193577,-257638127,-118515820,-508957330,2719700000,-661800000,-1531151000,1061245000,1067547000,629900000,1044198000,3479003000,3511033000,2070740000,4033481000,3358202000,11839030000,10720176000
83,Cash Provided by Operating Activities,- -,292867680,405588989,324867273,225567321,1520777468,578156331,1949514768,1718326146,404319868,2393602532,2879300000,1365100000,2720367000,2777500000,2571811000,2457791000,3791866000,8125397000,4746292000,2461620000,9250370000,2265275000,6292991000,14786267000
84,CAPEX,- -,-79257920,-43148415,-113924273,-1674053178,-408721776,-213831489,-432413936,-780213559,-950696223,-1374286634,-1682300000,-847300000,-1706048000,-2263965000,-2808587000,-5682188000,-5332047000,-4077229000,-2874935000,-2273197000,-2706328000,-2682522000,-2759789000,-3420939000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-594900000,1500000,-939427000,-619207000,- -,-86000,-55000,- -,- -,-608181000,2254000,- -,- -,- -
86,Purchases of Investments,- -,-845740,- -,- -,- -,-401631517,-71410843,-23606884,-33978774,-222161718,-1345389444,- -,-5481000,- -,- -,-218000,- -,- -,- -,-4856000,-14683000,-2167000,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,38325565,35546495,767062657,- -,- -,- -,- -,- -,- -,- -,- -,256113000,- -,- -,715513000,344380000,2441000,38353000,450000000,83254000,- -,- -,- -
88,Other Investing Activites,- -,32258940,-243101547,-50102424,215685935,41369876,-173297736,-549045965,-233153421,-37310220,-857128413,-155600000,-9119000,-15261000,5228000,-41236000,-13187000,-19623000,-18824000,-35216000,39660000,134670000,16103000,37962000,40719000
89,Cash Used for Investing Activites,- -,-47844720,-247924398,-128480202,-691304586,-768983417,-458540068,-1005066784,-1047345755,-1210168160,-3576804492,-2154700000,-842900000,-2387581000,-2866470000,-2834307000,-4954200000,-4977076000,-4073506000,-2840874000,-2406401000,-2488317000,-2666419000,-2721827000,-3380220000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6517700000,-2901200000,-10013753000,-6042644000,-5493015000,-7300718000,-6692638000,-6597932000,-5370875000,-9859593000,-7405126000,-22278052000,-10339401000,-18265195000
91,Common Stock Issued,- -,- -,- -,- -,- -,14654855,- -,1225425143,2498439,5386695,1499164,1700000,- -,3764971000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,-17035620,- -,620065,- -,- -,- -,- -,- -,-192234213,-60194468,-186800000,- -,-3000,-946000,-36694000,- -,- -,-927000,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,-81070220,-72189857,-128283263,-92724794,-37943331,-72008073,-4201855,-208570647,-342571198,-43796247,-301000000,-900000,-107000,-664851000,-482051000,-35000,-482147000,-482117000,-1997984000,-998893000,-1499900000,-668904000,-2380000,-5993034000
94,Other Financing Activites,- -,-187029360,-26936729,-164518069,723960769,-653195905,438323682,-1101690863,-123422901,748089530,1628665592,7000700000,2613800000,5860561000,7203185000,6645643000,10914993000,8069185000,6983485000,4611547000,7870021000,4301626000,24583724000,12515003000,7292474000
95,Cash Used/Provided by Financing Activities,- -,-285135200,-99126586,-292181267,631235975,-676484381,366315609,119532424,-329495109,218670815,1526174042,-3100000,-288300000,-388331000,494744000,633883000,3614240000,894400000,-97491000,-2757312000,-2988465000,-4603400000,1636768000,2173222000,-16965755000
96,Effect of Forex Changes on Cash,- -,-12927740,-6591170,-6450236,11400171,-335999714,- -,- -,- -,- -,- -,- -,- -,-3253000,-117030000,-36037000,-69594000,-51690000,-508036000,586642000,6475000,-386109000,20619000,1314586000,377744000
97,Net Change In Cash,- -,-53039980,51946835,-102244432,176898880,-260690044,485928987,1063983064,341487618,-587177478,342972082,721500000,233900000,-58798000,288744000,335350000,1048237000,-342500000,3446364000,-265252000,-2926771000,1772544000,1256243000,7058972000,-5181852000
98,Cash at the End of Period,- -,50744400,127559999,36022268,219801050,125720247,686814719,1753764620,2134367659,1543360623,1889943910,2611600000,2663600000,2624270000,2986819000,3287622000,4335859000,3993359000,7439723000,6778010000,3775093000,5547637000,6803880000,13862852000,8681000000
99,Cash at the Beginning of Period,- -,103784380,75613164,138266700,42902170,386410291,200885732,689781556,1792880042,2130538100,1546971828,1890100000,2429700000,2683068000,2698075000,2952272000,3287622000,4335859000,3993359000,7043262000,6701864000,3775093000,5547637000,6803880000,13862852000
100,Free Cash Flow,- -,213609760,362440573,210943000,-1448485857,1112055692,364324842,1517100832,938112587,-546376355,1019315898,1197000000,517800000,1014319000,513535000,-236776000,-3224397000,-1540181000,4048168000,1871357000,188423000,6544042000,-417247000,3533202000,11365328000
101,SEC Link,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1071438/000095012304008067/0000950123-04-008067-index.htm,https://www.sec.gov/Archives/edgar/data/1071438/000119312505134954/0001193125-05-134954-index.htm,https://www.sec.gov/Archives/edgar/data/1071438/000119312506135073/0001193125-06-135073-index.htm,https://www.sec.gov/Archives/edgar/data/1071438/000095014407005523/0000950144-07-005523-index.htm,https://www.sec.gov/Archives/edgar/data/1071438/000129281408001891/0001292814-08-001891-index.htm,https://www.sec.gov/Archives/edgar/data/1071438/000118003109000095/0001180031-09-000095-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1071438/000129281411001712/0001292814-11-001712-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1071438/000129281413000719/0001292814-13-000719-index.htm,https://www.sec.gov/Archives/edgar/data/1071438/000129281414000902/0001292814-14-000902-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/1071438/000119312517291642/0001193125-17-291642-index.htm,- -,- -,- -,- -,- -
102,Forex Rate,undefined,0.8276,0.5539,0.5128,0.4327,0.2825,0.3458,0.3765,0.4277,0.4681,0.5618,0.432,0.5737,0.6025,0.5366,0.4879,0.4233,0.3762,0.2524,0.3071,0.3019,0.2576,0.2488,0.1925,0.1795
