,https://roic.ai/company/TRT,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,- -,5600000,6800000,5800000,5770000,6700000,5890000,8118000,8263000,7300000,5288000,4664000,5918000,7444000,7896000,8916000,6151000,6948000,8980000,8665000,7268000,8696000,7815000,7325000,7926000,8401000,8143000,7232000,7227000
11,COGS and Expenses,- -,14000000,17900000,20470000,18490000,20880000,21390000,26442000,35012000,23226000,21533000,19118000,25448000,28612000,42553000,40355000,21435000,36858000,36196000,38291000,32687000,36659000,32822000,33010000,37002000,40124000,38340000,34431000,32019000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,187000,291000,292000,247000,76000,18000,33000,50000,100000,177000,118000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,165000,170000,243000,301000,287000,263000,245000,204000,202000,233000,319000,230000,126000
14,Depreciation and Amortization,- -,1600000,1600000,1600000,1400000,900000,1200000,1523000,1632000,1705000,1271000,1145000,1521000,1758000,2857000,2715000,2135000,2262000,2617000,2683000,2490000,2294000,2240000,1838000,1836000,2214000,2450000,3100000,3059000
15,EBITDA,100000,4100000,2600000,3520000,3660000,2190000,1450000,2663000,3150000,-1789000,1284000,1378000,1912000,11072000,6930000,1975000,283000,2459000,2367000,-185000,1498000,2270000,3513000,3058000,3695000,4618000,4272000,4284000,2822000
16,EBITDA ratio,0.0064,0.2697,0.1333,0.1518,0.1698,0.1002,0.0685,0.0988,0.0872,-0.0912,0.0604,0.0719,0.0744,0.3805,0.1482,0.0490,0.0141,0.0666,0.0666,-0.0054,0.0472,0.0626,0.1035,0.0888,0.0959,0.1090,0.1090,0.1243,0.0869
17,Operating Income,- -,1200000,1600000,2700000,2900000,1000000,-200000,501000,1121000,-3609000,-287000,36000,246000,487000,4197000,-41000,-2011000,-368000,-586000,-4300000,-861000,-2000,1207000,1460000,1489000,2188000,794000,-859000,-70000
18,Operating Income ratio,- -,0.0789,0.0821,0.1164,0.1346,0.0458,-0.0094,0.0186,0.0310,-0.1840,-0.0135,0.0019,0.0096,0.0167,0.0898,-0.0010,-0.1003,-0.0100,-0.0165,-0.1257,-0.0271,-0.0001,0.0356,0.0424,0.0386,0.0517,0.0203,-0.0249,-0.0022
19,Total Other Income Expenses (Gains),- -,-500000,-600000,160000,510000,310000,680000,639000,507000,129000,162000,252000,147000,198000,39000,-349000,138000,216000,459000,-125000,233000,-100000,118000,-158000,312000,102000,615000,2054000,-829000
20,Income Before Tax,- -,700000,1000000,2860000,3410000,1310000,480000,1140000,1628000,-3480000,-125000,288000,393000,685000,4236000,-390000,-1873000,-152000,-127000,-4425000,-628000,-102000,1325000,1302000,1801000,2290000,1409000,1195000,-899000
21,Income Before Tax Ratio,- -,0.0461,0.0513,0.1233,0.1582,0.0600,0.0227,0.0423,0.0451,-0.1774,-0.0059,0.0150,0.0153,0.0235,0.0906,-0.0097,-0.0934,-0.0041,-0.0036,-0.1293,-0.0198,-0.0028,0.0390,0.0378,0.0467,0.0541,0.0359,0.0347,-0.0277
22,Income Tax expense (Gain),- -,200000,400000,1110000,1260000,460000,50000,106000,355000,53000,94000,13000,170000,258000,765000,216000,-51000,400000,195000,-65000,-260000,-344000,507000,237000,341000,987000,-42000,-12000,228000
23,Net Income,100000,2300000,600000,810000,1000000,830000,200000,1034000,1163000,-3547000,-81000,220000,221000,9056000,3308000,-956000,-1966000,-373000,-688000,-3104000,-1019000,57000,521000,779000,1316000,1184000,1545000,966000,-591000
24,Net Income ratio,0.0064,0.1513,0.0308,0.0349,0.0464,0.0380,0.0094,0.0384,0.0322,-0.1808,-0.0038,0.0115,0.0086,0.3112,0.0708,-0.0237,-0.0981,-0.0101,-0.0194,-0.0907,-0.0321,0.0016,0.0154,0.0226,0.0341,0.0280,0.0394,0.0280,-0.0182
25,EPS,0.02,0.34,0.28,0.42,0.51,0.34,0.07,0.37,0.40,-1.21,-0.03,0.07,0.07,2.91,1.03,-0.30,-0.61,-0.12,-0.21,-0.94,-0.31,0.01,0.15,0.22,0.38,0.33,0.42,0.26,-0.16
26,EPS Diluted,0.02,0.34,0.25,0.42,0.51,0.33,0.07,0.36,0.39,-1.21,-0.03,0.07,0.07,2.90,1.02,-0.30,-0.61,-0.12,-0.21,-0.94,-0.31,0.01,0.15,0.22,0.36,0.31,0.41,0.26,-0.16
27,Weighted Average Shares Outstanding,5000000,6764706,2055000,1912500,1945500,2413000,2745000,2759000,2884000,2928000,2928000,2939000,2968000,3115000,3225000,3226000,3227000,3227000,3288000,3288000,3322000,3513000,3513000,3513000,3523000,3553000,3673000,3673000,3768000
28,Weighted Average Shares Outstanding Diluted,5000000,6764706,2266500,1926000,1960500,2485000,2757000,2895000,3006000,2928000,2928000,3000000,2992000,3128000,3235000,3226000,3227000,3227000,3288000,3288000,3322000,3549000,3529000,3535000,3644000,3771000,3762000,3722000,3885000
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/732026/000073202695000006/0000732026-95-000006-index.html,https://www.sec.gov/Archives/edgar/data/732026/000073202696000004/0000732026-96-000004-index.html,https://www.sec.gov/Archives/edgar/data/732026/000073202697000005/0000732026-97-000005-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/732026/000089843000002819/0000898430-00-002819-index.html,https://www.sec.gov/Archives/edgar/data/732026/000102140801507194/0001021408-01-507194-index.html,https://www.sec.gov/Archives/edgar/data/732026/000102140802012424/0001021408-02-012424-index.htm,https://www.sec.gov/Archives/edgar/data/732026/000095015003001069/0000950150-03-001069-index.htm,https://www.sec.gov/Archives/edgar/data/732026/000095012904007243/0000950129-04-007243-index.htm,https://www.sec.gov/Archives/edgar/data/732026/000095012905009394/0000950129-05-009394-index.htm,https://www.sec.gov/Archives/edgar/data/732026/000095013406018203/0000950134-06-018203-index.htm,https://www.sec.gov/Archives/edgar/data/732026/000095013407020033/0000950134-07-020033-index.htm,https://www.sec.gov/Archives/edgar/data/732026/000141588908000061/0001415889-08-000061-index.htm,https://www.sec.gov/Archives/edgar/data/732026/000141588909000260/0001415889-09-000260-index.htm,https://www.sec.gov/Archives/edgar/data/732026/000141588910000383/0001415889-10-000383-index.htm,https://www.sec.gov/Archives/edgar/data/732026/000141588911001054/0001415889-11-001054-index.htm,https://www.sec.gov/Archives/edgar/data/732026/000141588912001478/0001415889-12-001478-index.htm,https://www.sec.gov/Archives/edgar/data/732026/000141588913001902/0001415889-13-001902-index.htm,https://www.sec.gov/Archives/edgar/data/732026/000141588914003032/0001415889-14-003032-index.htm,https://www.sec.gov/Archives/edgar/data/732026/000141588915003211/0001415889-15-003211-index.htm,https://www.sec.gov/Archives/edgar/data/732026/000141588916007230/0001415889-16-007230-index.htm,https://www.sec.gov/Archives/edgar/data/732026/000165495417008605/0001654954-17-008605-index.htm,https://www.sec.gov/Archives/edgar/data/732026/000165495418010445/0001654954-18-010445-index.htm,https://www.sec.gov/Archives/edgar/data/732026/000165495419011016/0001654954-19-011016-index.htm,https://www.sec.gov/Archives/edgar/data/732026/000165495420010351/0001654954-20-010351-index.htm,https://www.sec.gov/Archives/edgar/data/732026/000165495421010701/0001654954-21-010701-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,700000,2110000,870000,3310000,1590000,1956000,1149000,1128000,1495000,1357000,1439000,2551000,7135000,6600000,8031000,5958000,3111000,1822000,2793000,2938000,3711000,3807000,4772000,6539000,4863000,4150000,5836000
32,Short-Term Investments,- -,- -,- -,3110000,7100000,3950000,4500000,- -,- -,554000,485000,5649000,3211000,7839000,7815000,7746000,- -,887000,- -,- -,104000,102000,101000,295000,787000,653000,4144000,6697000,6651000
33,Cash and Short-Term Investments,- -,- -,700000,5220000,7970000,7260000,6090000,1956000,1149000,1682000,1980000,7006000,4650000,10390000,14950000,14346000,8031000,6845000,3111000,1822000,2897000,3040000,3812000,4102000,5559000,7192000,9007000,10847000,12487000
34,Net Receivables,- -,- -,4300000,4960000,3810000,4420000,4740000,6948000,4594000,4675000,4016000,4278000,4320000,8824000,7655000,6498000,4260000,12920000,8204000,13374000,10860000,8936000,8264000,9422000,9410000,8628000,7930000,6949000,8974000
35,Inventory,- -,- -,1200000,- -,- -,- -,- -,2756000,1918000,1014000,1049000,1409000,1584000,2447000,1946000,2449000,1184000,3400000,2430000,2324000,2463000,1106000,1141000,1460000,1756000,2930000,2427000,1922000,2080000
36,Other Current Assets,- -,- -,600000,1580000,2060000,2360000,1890000,5619000,7840000,6034000,4448000,105000,91000,170000,122000,138000,167000,296000,684000,536000,358000,205000,342000,356000,312000,299000,376000,482000,418000
37,Total Current Assets,- -,- -,6800000,11760000,13840000,14040000,12720000,17279000,15501000,13405000,11493000,12798000,10645000,21831000,24673000,23431000,13642000,23461000,14429000,18056000,16578000,13287000,13559000,15340000,17037000,19049000,19740000,20200000,23959000
38,PP&E,- -,- -,5300000,5330000,4420000,4670000,5540000,4497000,7534000,5593000,5210000,5202000,7176000,7073000,7458000,8136000,6607000,12695000,14951000,13193000,12851000,13541000,12522000,11283000,11291000,11935000,12159000,11254000,11779000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,386000,311000,212000,112000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,386000,311000,212000,112000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6372000,2141000,764000,765000,791000,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,770000,780000,580000,580000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,388000,453000,401000,375000,400000,390000,247000,217000
44,Other Non-Current Assets,- -,- -,500000,-440000,-510000,40000,90000,936000,1115000,77000,8000,- -,138000,169000,445000,3080000,1326000,3427000,6212000,6036000,5824000,7374000,5503000,5195000,4795000,5090000,4238000,3959000,2351000
45,Total Non-Current Assets,- -,- -,5800000,5660000,4690000,5290000,6210000,5433000,8649000,5670000,5218000,5202000,7700000,7553000,8115000,11328000,14305000,18263000,21927000,19994000,19466000,21303000,18478000,16879000,16461000,17425000,16787000,15460000,14347000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,12600000,17420000,18530000,19330000,18930000,22712000,24150000,19075000,16711000,18000000,18345000,29384000,32788000,34759000,27947000,41724000,36356000,38050000,36044000,34590000,32037000,32219000,33498000,36474000,36527000,35660000,38306000
48,Accounts Payable,- -,- -,1600000,1810000,1120000,2130000,1990000,4128000,2646000,1717000,1080000,2316000,1681000,3809000,2265000,2586000,1025000,7968000,1874000,4834000,4136000,3162000,2770000,2921000,3229000,3704000,3272000,2590000,3702000
49,Short-Term Debt,- -,- -,700000,250000,150000,630000,360000,676000,1096000,2348000,1234000,898000,1114000,1079000,661000,1509000,1344000,3067000,1628000,4546000,4739000,4296000,2121000,3068000,3044000,2660000,958000,1304000,1380000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,202000,342000,492000,488000,535000,334000,427000,340000,313000,302000,426000,363000,323000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,228000,89000,79000,41000,91000,218000,17000,608000,594000,740000
52,Other Current Liabilities,- -,- -,2900000,6110000,5770000,4680000,3580000,3545000,3857000,2421000,2152000,2215000,3041000,3648000,5302000,3433000,1971000,3761000,3671000,3252000,3430000,3181000,3339000,2781000,3058000,3440000,3295000,2755000,2937000
53,Total Current Liabilities,- -,- -,5200000,8170000,7040000,7440000,5930000,8349000,7599000,6486000,4466000,5429000,5836000,8536000,8228000,7528000,4340000,14796000,7173000,12860000,12394000,10718000,8271000,8861000,9549000,9821000,8133000,7243000,8759000
54,Long-Term Debt,- -,- -,600000,690000,720000,430000,960000,586000,1745000,641000,492000,583000,634000,644000,139000,1620000,237000,2566000,2768000,3373000,2613000,2598000,2198000,1725000,1552000,1437000,2292000,1903000,3078000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,900000,- -,- -,- -,- -,720000,649000,669000,711000,644000,407000,386000,373000,510000,526000,718000,677000,497000,191000,202000,333000,216000,295000,327000,327000,- -,- -
57,Other Non-Current Liabilities,- -,- -,-100000,3350000,4310000,2700000,2990000,- -,- -,345000,344000,210000,110000,230000,155000,152000,62000,569000,761000,764000,240000,239000,513000,546000,575000,1388000,914000,1368000,416000
58,Total Non-Current Liabilities,- -,- -,1400000,4040000,5030000,3130000,3950000,1306000,2394000,1655000,1547000,1437000,1151000,1260000,667000,2282000,825000,3853000,4206000,4634000,3044000,3039000,3044000,2487000,2422000,3152000,3533000,3271000,3494000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,344000,210000,110000,230000,155000,143000,130000,57000,419000,396000,333000,281000,672000,738000,759000,774000,725000,1610000,2326000
61,Total Liabilities,- -,- -,6600000,12210000,12070000,10570000,9880000,9655000,9993000,8141000,6013000,6866000,6987000,9796000,8895000,9810000,5165000,18649000,11379000,17494000,15438000,13757000,11315000,11348000,11971000,12973000,11666000,10514000,12253000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,4880000,5080000,8710000,8650000,9067000,9423000,9423000,9423000,9527000,9554000,10338000,- -,- -,- -,- -,10531000,- -,10531000,10882000,10882000,10882000,10921000,11023000,11424000,11424000,12178000
64,Retained Earnings,- -,- -,-2100000,-1340000,-330000,500000,690000,1726000,2889000,-658000,-739000,-519000,-298000,7150000,10135000,8825000,6859000,6486000,5791000,2687000,1668000,1725000,2246000,3025000,4341000,5525000,7070000,8036000,6824000
65,Other Comprehensive Income/Loss,- -,- -,-11000000,3340000,3440000,-880000,-600000,-5171000,-5931000,-3977000,-378000,-268000,-243000,-433000,478000,2026000,1194000,1818000,3459000,3187000,3680000,3522000,2771000,2162000,1633000,2182000,1867000,1143000,2399000
66,Other Total Stockholders Equity,- -,- -,17500000,- -,- -,430000,310000,4826000,5228000,3830000,284000,284000,284000,337000,19116000,20310000,12005000,11780000,2227000,13149000,2756000,2972000,3087000,3188000,3206000,3249000,3305000,3363000,4233000
67,Total Stockholders Equity,- -,- -,4400000,5210000,6460000,8760000,9050000,10448000,11609000,8618000,8590000,9024000,9297000,17392000,21434000,22141000,19864000,20266000,22008000,18836000,18635000,19101000,18986000,19257000,20101000,21979000,23666000,23966000,25634000
68,Total Liabilities And Stockholders Equity,- -,- -,11000000,17420000,18530000,19330000,18930000,20103000,21602000,16759000,14603000,15890000,16284000,27188000,30329000,31951000,25029000,38915000,33387000,36330000,34073000,32858000,30301000,30605000,32072000,34952000,35332000,34480000,37887000
69,Minority Interest,- -,- -,1600000,- -,- -,- -,- -,2609000,2548000,2316000,2108000,2110000,2061000,2196000,2459000,2808000,2918000,2809000,2969000,1720000,1971000,1732000,1736000,1614000,1426000,1522000,1195000,1180000,419000
70,Total Liabilities & Equity,- -,- -,12600000,17420000,18530000,19330000,18930000,22712000,24150000,19075000,16711000,18000000,18345000,29384000,32788000,34759000,27947000,41724000,36356000,38050000,36044000,34590000,32037000,32219000,33498000,36474000,36527000,35660000,38306000
71,SEC Link,undefined,undefined,https://www.sec.gov/Archives/edgar/data/732026/000073202695000006/0000732026-95-000006-index.html,https://www.sec.gov/Archives/edgar/data/732026/000073202696000004/0000732026-96-000004-index.html,https://www.sec.gov/Archives/edgar/data/732026/000073202697000005/0000732026-97-000005-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/732026/000089843000002819/0000898430-00-002819-index.html,https://www.sec.gov/Archives/edgar/data/732026/000102140801507194/0001021408-01-507194-index.html,https://www.sec.gov/Archives/edgar/data/732026/000102140802012424/0001021408-02-012424-index.htm,https://www.sec.gov/Archives/edgar/data/732026/000095015003001069/0000950150-03-001069-index.htm,https://www.sec.gov/Archives/edgar/data/732026/000095012904007243/0000950129-04-007243-index.htm,https://www.sec.gov/Archives/edgar/data/732026/000095012905009394/0000950129-05-009394-index.htm,https://www.sec.gov/Archives/edgar/data/732026/000095013406018203/0000950134-06-018203-index.htm,https://www.sec.gov/Archives/edgar/data/732026/000095013407020033/0000950134-07-020033-index.htm,https://www.sec.gov/Archives/edgar/data/732026/000141588908000061/0001415889-08-000061-index.htm,https://www.sec.gov/Archives/edgar/data/732026/000141588909000260/0001415889-09-000260-index.htm,https://www.sec.gov/Archives/edgar/data/732026/000141588910000383/0001415889-10-000383-index.htm,https://www.sec.gov/Archives/edgar/data/732026/000141588911001054/0001415889-11-001054-index.htm,https://www.sec.gov/Archives/edgar/data/732026/000141588912001478/0001415889-12-001478-index.htm,https://www.sec.gov/Archives/edgar/data/732026/000141588913001902/0001415889-13-001902-index.htm,https://www.sec.gov/Archives/edgar/data/732026/000141588914003032/0001415889-14-003032-index.htm,https://www.sec.gov/Archives/edgar/data/732026/000141588915003211/0001415889-15-003211-index.htm,https://www.sec.gov/Archives/edgar/data/732026/000141588916007230/0001415889-16-007230-index.htm,https://www.sec.gov/Archives/edgar/data/732026/000165495417008605/0001654954-17-008605-index.htm,https://www.sec.gov/Archives/edgar/data/732026/000165495418010445/0001654954-18-010445-index.htm,https://www.sec.gov/Archives/edgar/data/732026/000165495419011016/0001654954-19-011016-index.htm,https://www.sec.gov/Archives/edgar/data/732026/000165495420010351/0001654954-20-010351-index.htm,https://www.sec.gov/Archives/edgar/data/732026/000165495421010701/0001654954-21-010701-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,2300000,600000,810000,1000000,830000,200000,1034000,1163000,-3547000,-81000,220000,221000,9056000,3308000,-956000,-1966000,-373000,-688000,-3104000,-1019000,57000,521000,779000,1316000,1184000,1545000,966000,-591000
74,Depreciation and Amortization,- -,1600000,1600000,1600000,1400000,900000,1200000,1523000,1632000,1705000,1271000,1145000,1521000,1758000,2857000,2715000,2135000,2262000,2617000,2683000,2490000,2294000,2240000,1838000,1836000,2214000,2450000,3100000,3059000
75,Deferred Income Tax,- -,- -,- -,-100000,- -,- -,- -,138000,-71000,20000,42000,-67000,38000,-4000,-49000,-119000,16000,192000,-235000,-152000,-314000,-176000,89000,-72000,104000,5000,-294000,63000,-139000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,518000,151000,630000,204000,42000,216000,106000,101000,18000,43000,56000,58000,249000
77,Change in Working Capital,- -,-500000,1600000,1990000,3210000,-200000,190000,2140000,-1028000,-983000,108000,342000,-2560000,8486000,3150000,-542000,-6601000,-637000,-1409000,-2060000,-1012000,-1615000,2719000,1191000,1009000,1740000,2379000,1350000,2243000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1593000,-7942000,6392000,-4798000,2481000,-198000,875000,-924000,-168000,995000,630000,1110000,-2347000
79,Inventory,- -,-100000,-100000,-200000,-400000,-200000,300000,-957000,838000,409000,-36000,-360000,-220000,-883000,168000,-601000,1103000,-2405000,1400000,59000,-167000,1443000,-47000,-255000,-300000,-1162000,539000,430000,-98000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-628000,-972000,-151000,-165000,787000,488000,-68000,-968000,1377000
81,Other Working Capital,- -,- -,1600000,3590000,6800000,6600000,6790000,8930000,7902000,6919000,7027000,7369000,4809000,13295000,16445000,15903000,9302000,8665000,7256000,5196000,4184000,2569000,5288000,6479000,7488000,9228000,11607000,12957000,15200000
82,Other Non-Cash Items,- -,-1800000,-1900000,100000,-3310000,-1230000,-1590000,-4034000,3316000,1087000,-84000,216000,1704000,-20146000,-1328000,807000,6913000,-1545000,3636000,-1231000,3305000,3084000,-1585000,-2823000,-330000,-707000,-1682000,-2526000,-3183000
83,Cash Provided by Operating Activities,- -,1600000,1900000,4400000,2300000,300000,- -,801000,5012000,-1718000,1256000,1856000,924000,-850000,7938000,1905000,1015000,50000,4551000,-3660000,3492000,3860000,4090000,1014000,3953000,4479000,4454000,3011000,1638000
84,CAPEX,- -,-1000000,-1400000,-1800000,-4000000,-2600000,-700000,-1327000,-4451000,-919000,-899000,-1040000,-2306000,-1255000,-2812000,-3357000,-1358000,-7245000,-3996000,-1603000,-1838000,-3090000,-2694000,-1657000,-2285000,-2309000,-2841000,-1017000,-1112000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1126000,-138000,- -,- -,- -,225000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,-100000,- -,- -,- -,- -,-600000,- -,- -,-120000,-537000,-4000,-2999000,-24838000,-19595000,-31519000,-1954000,-3206000,-752000,- -,- -,- -,-1000,-201000,-651000,-281000,-3445000,-141000,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,3200000,- -,- -,- -,- -,665000,555000,5489000,20409000,19728000,29499000,3861000,3713000,- -,- -,137000,- -,1165000,63000,488000,484000,- -,- -,2335000
88,Other Investing Activites,- -,1000000,700000,-1300000,200000,- -,100000,1141000,-2701000,2145000,1788000,-1092000,1000,8555000,11000,106000,251000,-174000,1740000,-11000,59000,31000,438000,215000,86000,42000,946000,-1459000,-1790000
89,Cash Used for Investing Activites,- -,-100000,-700000,-3100000,-3800000,600000,-1200000,-186000,-7152000,1106000,1017000,-1581000,-941000,2733000,-2668000,-5271000,800000,-6687000,-3008000,-1614000,-1642000,-3059000,-1092000,-1580000,-2362000,-2064000,-5340000,-2617000,-567000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1671000,-1516000,- -,- -,-1195000,-1144000,-15549000,-8717000,-9636000,-9616000,-10824000,-3267000,-1254000
91,Common Stock Issued,- -,600000,100000,100000,200000,3700000,- -,413000,356000,- -,- -,104000,27000,784000,141000,1000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,-100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-70000,-53000,-53000,-1636000,-323000,-354000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,-2200000,-600000,100000,-300000,100000,-500000,-551000,1160000,371000,-1681000,-515000,143000,-194000,-1092000,2171000,3000,5155000,-1431000,3692000,460000,563000,13862000,8952000,9287000,8609000,10234000,2535000,1252000
95,Cash Used/Provided by Financing Activities,- -,-1600000,-500000,200000,-100000,3800000,-600000,-138000,1516000,371000,-1751000,-464000,117000,-1046000,-1274000,1818000,-1668000,3639000,-1431000,3692000,-735000,-581000,-1687000,235000,-349000,-1007000,-590000,-732000,-2000
96,Effect of Forex Changes on Cash,- -,- -,-400000,-100000,400000,-2300000,100000,-114000,-183000,220000,-34000,51000,-18000,275000,588000,1013000,-563000,205000,-245000,43000,106000,-76000,-538000,427000,-277000,359000,-189000,-421000,698000
97,Net Change In Cash,- -,-1600000,-500000,200000,-100000,3800000,-1700000,363000,-807000,-21000,488000,-138000,82000,1112000,4584000,-535000,-563000,-2793000,-133000,-1539000,1221000,145000,773000,96000,965000,1767000,-1665000,-759000,1767000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,1600000,1956000,1149000,1128000,1495000,1357000,1439000,2551000,7135000,6600000,6037000,3244000,3111000,1572000,2793000,2938000,3711000,3807000,4772000,6539000,6569000,5810000,7577000
99,Cash at the Beginning of Period,- -,600000,500000,700000,2100000,900000,3300000,1593000,1956000,1149000,1007000,1495000,1357000,1439000,2551000,7135000,6600000,6037000,3244000,3111000,1572000,2793000,2938000,3711000,3807000,4772000,8234000,6569000,5810000
