,https://roic.ai/company/SO,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,3536000000,3872000000,2549000000,2702000000,3025000000,2864000000,2559000000,2617000000,2565000000,2550000000,2609000000,5366000000,5437000000,5656000000,5988000000,6049000000,6392000000,6556000000,2701000000,4015000000,3794000000,3396000000,4043000000,7622000000,5543000000,4292000000,5077000000,6547000000
11,COGS and Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,5871000000,6489000000,7757000000,9946000000,8751000000,8737000000,7662000000,7764000000,7968000000,8356000000,9075000000,10592000000,11132000000,12027000000,13621000000,12475000000,13654000000,13426000000,12093000000,13832000000,14825000000,13207000000,15267000000,20480000000,19385000000,16084000000,15555000000,19599000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,54000000,152000000,243000000,164000000,51000000,27000000,22000000,36000000,27000000,36000000,41000000,45000000,33000000,23000000,24000000,- -,40000000,19000000,19000000,23000000,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,683000000,853000000,888000000,934000000,659000000,557000000,492000000,527000000,640000000,747000000,866000000,886000000,866000000,905000000,895000000,857000000,859000000,824000000,835000000,840000000,1317000000,1694000000,1842000000,1736000000,1821000000,1837000000
14,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1201000000,1471000000,1773000000,1522000000,1337000000,1358000000,1158000000,1163000000,1178000000,1398000000,1421000000,1486000000,1704000000,1788000000,1831000000,2048000000,2145000000,2298000000,2293000000,2395000000,2923000000,3457000000,3549000000,3331000000,3905000000,3973000000
15,EBITDA,829600000,883000000,554400000,846000000,846000000,603500000,876000000,953000000,1002000000,1700000000,1908000000,3011000000,3296000000,3638000000,4458000000,3897000000,3735000000,3496000000,3776000000,3937000000,4331000000,4641000000,4941000000,5227000000,5297000000,5792000000,6392000000,6753000000,5681000000,6136000000,6864000000,7684000000,6173000000,8082000000,11619000000,9253000000,8485000000
16,EBITDA ratio,0.1218,0.1290,0.0791,0.1169,0.1129,0.0757,0.1088,0.1180,0.1180,0.2049,0.2078,0.2907,0.2614,0.3190,0.3848,0.3871,0.3678,0.3314,0.3356,0.3308,0.3195,0.3233,0.3218,0.3052,0.3365,0.3318,0.3620,0.4084,0.3325,0.3323,0.3925,0.3862,0.2680,0.3440,0.5425,0.4541,0.3671
17,Operating Income,6813900000,6846600000,7010400000,7235000000,7492000000,7975000000,8050000000,8073000000,8489000000,2426000000,2691000000,2601000000,2665000000,2652000000,2848000000,2404000000,2391000000,2581000000,2895000000,2827000000,2962000000,3224000000,3326000000,3506000000,3268000000,3802000000,4231000000,4463000000,3255000000,3642000000,4282000000,4629000000,2551000000,4191000000,7736000000,4885000000,3698000000
18,Operating Income ratio,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.2924,0.2931,0.2511,0.2113,0.2326,0.2458,0.2388,0.2355,0.2447,0.2573,0.2375,0.2185,0.2246,0.2166,0.2047,0.2076,0.2178,0.2396,0.2699,0.1905,0.1972,0.2448,0.2327,0.1108,0.1784,0.3612,0.2398,0.1600
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,- -,- -,- -,- -,-726000000,-783000000,-1474000000,-1693000000,-1675000000,-846000000,-822000000,-714000000,-735000000,-809000000,-708000000,-776000000,-869000000,-757000000,-849000000,-664000000,-736000000,-744000000,-714000000,-696000000,-634000000,-653000000,-1149000000,-1483000000,-1442000000,-1194000000,-1389000000,-1122000000
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,1700000000,1908000000,1127000000,972000000,977000000,2002000000,1582000000,1677000000,1846000000,2086000000,2119000000,2186000000,2355000000,2569000000,2657000000,2604000000,3066000000,3487000000,3749000000,2559000000,3008000000,3629000000,3480000000,1068000000,2749000000,6542000000,3496000000,2576000000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.2049,0.2078,0.1088,0.0771,0.0857,0.1728,0.1572,0.1651,0.1750,0.1854,0.1780,0.1613,0.1640,0.1673,0.1551,0.1654,0.1756,0.1975,0.2267,0.1498,0.1629,0.2075,0.1749,0.0464,0.1170,0.3054,0.1716,0.1115
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,711000000,805000000,- -,- -,- -,726000000,588000000,558000000,528000000,612000000,587000000,595000000,781000000,835000000,915000000,896000000,1026000000,1219000000,1334000000,849000000,977000000,1194000000,951000000,142000000,449000000,1798000000,393000000,267000000
23,Net Income,829600000,883000000,554400000,846000000,846000000,603500000,876000000,953000000,1002000000,989000000,1103000000,1127000000,972000000,977000000,1276000000,1313000000,1262000000,1318000000,1474000000,1532000000,1591000000,1573000000,1734000000,1742000000,1708000000,2040000000,2268000000,2415000000,1710000000,2031000000,2435000000,2493000000,880000000,2242000000,4754000000,3134000000,2408000000
24,Net Income ratio,0.1218,0.1290,0.0791,0.1169,0.1129,0.0757,0.1088,0.1180,0.1180,0.1192,0.1202,0.1088,0.0771,0.0857,0.1101,0.1304,0.1243,0.1249,0.1310,0.1287,0.1174,0.1096,0.1129,0.1017,0.1085,0.1169,0.1284,0.1460,0.1001,0.1100,0.1392,0.1253,0.0382,0.0954,0.2220,0.1538,0.1042
25,EPS,1.60,1.59,0.96,1.36,1.34,0.96,1.39,1.51,1.57,1.52,1.66,1.68,1.42,1.40,1.86,2.01,1.83,1.86,2.03,2.07,2.14,2.12,2.29,2.26,2.07,2.37,2.57,2.71,1.85,2.18,2.60,2.47,0.84,2.15,4.50,2.95,2.26
26,EPS Diluted,1.60,1.59,0.96,1.36,1.34,0.96,1.39,1.51,1.57,1.52,1.66,1.68,1.42,1.40,1.86,2.01,1.82,1.85,2.02,2.06,2.13,2.10,2.28,2.25,2.07,2.37,2.57,2.71,1.85,2.18,2.60,2.47,0.84,2.15,4.50,2.95,2.24
27,Weighted Average Shares Outstanding,440187500,478490566,577500000,622058824,539552239,508854167,552517986,562251656,638216561,650657895,664457831,672590000,685033000,697000000,685000000,653000000,689000000,708000000,727000000,739000000,744000000,743000000,756000000,771000000,795000000,833333333,857000000,868000000,887300000,908300000,911600000,990200000,1007603100,1033788000,1053000000,1058000000,1061000000
28,Weighted Average Shares Outstanding Diluted,440187500,478490566,577500000,622058824,539552239,508854167,552517986,562251656,638216561,650657895,664457831,672590000,685033000,697000000,690718563,653000000,694000000,714000000,732000000,743000000,749000000,748000000,761000000,775000000,795000000,833333333,857000000,868000000,887300000,908300000,911600000,990200000,1007603100,1033788000,1053000000,1058000000,1068000000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/92122/000009212295000038/0000092122-95-000038-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/92122/000009212299000040/0000092122-99-000040-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1160661/000009212203000074/0000092122-03-000074-index.html,- -,https://www.sec.gov/Archives/edgar/data/92122/000095014405001905/southernco10k2004.htm,https://www.sec.gov/Archives/edgar/data/92122/000009212206000153/g99802e10vk.htm,https://www.sec.gov/Archives/edgar/data/92122/000009212207000016/soco10k.htm,https://www.sec.gov/Archives/edgar/data/92122/000009212208000010/soco10-k1207.htm,https://www.sec.gov/Archives/edgar/data/1160661/000009212209000011/0000092122-09-000011-index.html,https://www.sec.gov/Archives/edgar/data/1160661/000009212210000009/0000092122-10-000009-index.html,https://www.sec.gov/Archives/edgar/data/92122/000009212211000013/g24641xxe10vk.htm,https://www.sec.gov/Archives/edgar/data/1160661/000009212212000016/0000092122-12-000016-index.html,https://www.sec.gov/Archives/edgar/data/92122/000009212213000014/so_10-kx12312012.htm,https://www.sec.gov/Archives/edgar/data/92122/000009212214000012/so_10-kx12312013.htm,https://www.sec.gov/Archives/edgar/data/92122/000009212215000015/so_10-kx12312014.htm,https://www.sec.gov/Archives/edgar/data/1160661/000009212216000126/0000092122-16-000126-index.html,https://www.sec.gov/Archives/edgar/data/1160661/000009212217000007/0000092122-17-000007-index.html,https://www.sec.gov/Archives/edgar/data/1160661/000009212218000012/0000092122-18-000012-index.html,https://www.sec.gov/Archives/edgar/data/1160661/000009212219000006/0000092122-19-000006-index.html,https://www.sec.gov/Archives/edgar/data/1160661/000009212220000017/0000092122-20-000017-index.html,https://www.sec.gov/Archives/edgar/data/92122/000009212221000006/0000092122-21-000006-index.htm,https://www.sec.gov/Archives/edgar/data/92122/000009212222000003/0000092122-22-000003-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,139000000,772000000,445000000,601000000,959000000,538000000,205000000,377000000,273000000,311000000,373000000,202000000,167000000,201000000,417000000,690000000,447000000,1315000000,628000000,659000000,710000000,1404000000,1975000000,2130000000,1396000000,1975000000,1065000000,1798000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,139000000,772000000,445000000,601000000,959000000,538000000,205000000,377000000,273000000,311000000,373000000,202000000,167000000,201000000,417000000,690000000,447000000,1315000000,628000000,659000000,710000000,1404000000,1975000000,2130000000,1396000000,1975000000,1065000000,1798000000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,1022000000,1519000000,1502000000,2117000000,1797000000,1896000000,1730000000,1412000000,1506000000,1468000000,1865000000,1544000000,1521000000,1620000000,1649000000,1697000000,1820000000,1706000000,1649000000,1819000000,1947000000,2047000000,3790000000,4048000000,4059000000,3409000000,3335000000,2962000000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,907000000,879000000,780000000,707000000,767000000,896000000,703000000,944000000,838000000,887000000,927000000,1069000000,1323000000,1435000000,1775000000,2241000000,2135000000,2270000000,2819000000,2298000000,1969000000,1929000000,2782000000,2627000000,2394000000,2388000000,2488000000,2355000000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,300000000,340000000,330000000,178000000,183000000,199000000,187000000,223000000,350000000,251000000,298000000,1390000000,1008000000,1476000000,1517000000,1245000000,1481000000,981000000,1066000000,823000000,1744000000,1146000000,1175000000,1267000000,1734000000,2045000000,1729000000,1850000000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,2368000000,3510000000,3057000000,3603000000,3706000000,3529000000,2825000000,2956000000,2967000000,2917000000,3463000000,4205000000,4019000000,4732000000,5358000000,5873000000,5883000000,6272000000,6162000000,5599000000,6370000000,6526000000,9722000000,10072000000,9583000000,9817000000,8617000000,8965000000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,21117000000,23026000000,23269000000,23652000000,24124000000,24544000000,21622000000,23084000000,24642000000,27534000000,28361000000,29480000000,31092000000,33327000000,35878000000,39230000000,42002000000,44955000000,49276000000,52091000000,55814000000,62354000000,79490000000,80896000000,81864000000,86059000000,90390000000,93462000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,318000000,1888000000,2067000000,2106000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6251000000,6268000000,5315000000,5280000000,5280000000,5280000000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1185000000,2649000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,970000000,873000000,613000000,536000000,487000000,445000000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,344000000,318000000,1888000000,3252000000,4755000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7221000000,7141000000,5928000000,5816000000,5767000000,5725000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1168000000,1560000000,1376000000,- -,- -,1673000000,1884000000,2273000000,2373000000,2493000000,2116000000,1988000000,1963000000,2271000000,2118000000,1303000000,1465000000,1546000000,1512000000,3155000000,3345000000,3301000000,3339000000,3665000000,3824000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1302000000,1142000000,1036000000,987000000,957000000,924000000,898000000,874000000,864000000,937000000,895000000,910000000,973000000,1047000000,1280000000,1365000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,3557000000,3674000000,2346000000,3818000000,2514000000,3205000000,5958000000,2860000000,1619000000,1836000000,2001000000,2882000000,4359000000,4704000000,4150000000,3933000000,3596000000,4557000000,6408000000,5391000000,7193000000,7926000000,10109000000,9551000000,16238000000,13669000000,14496000000,15558000000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,24674000000,27044000000,27235000000,31668000000,32486000000,34867000000,28537000000,26868000000,28832000000,32128000000,33499000000,35672000000,38839000000,41057000000,42989000000,46173000000,49149000000,52995000000,56987000000,58947000000,64553000000,71792000000,99975000000,100933000000,107331000000,108883000000,114318000000,118569000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,27042000000,30554000000,30292000000,35271000000,36192000000,38396000000,31362000000,29824000000,31799000000,35045000000,36962000000,39877000000,42858000000,45789000000,48347000000,52046000000,55032000000,59267000000,63149000000,64546000000,70923000000,78318000000,109697000000,111005000000,116914000000,118700000000,122935000000,127534000000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,806000000,785000000,788000000,1049000000,1027000000,895000000,869000000,847000000,986000000,700000000,885000000,1229000000,1081000000,1214000000,1250000000,1329000000,1275000000,1553000000,1387000000,1376000000,1593000000,1905000000,2825000000,3076000000,3436000000,2557000000,2806000000,2169000000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,978000000,2179000000,1674000000,2848000000,3354000000,4491000000,1747000000,2331000000,2646000000,1309000000,1409000000,2159000000,3359000000,2450000000,1570000000,1752000000,2598000000,2576000000,3137000000,1922000000,4105000000,4018000000,4796000000,6300000000,6089000000,5044000000,4116000000,3847000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,691000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,132000000,133000000,125000000,133000000,140000000,153000000,169000000,189000000,200000000,220000000,249000000,274000000,302000000,331000000,332000000,347000000,370000000,380000000,390000000,404000000,558000000,542000000,522000000,496000000,487000000,479000000
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,994000000,1317000000,1204000000,1357000000,1236000000,1614000000,981000000,1041000000,1213000000,1419000000,1297000000,1632000000,1664000000,1693000000,2104000000,2172000000,2267000000,2101000000,2120000000,1858000000,2879000000,2802000000,4738000000,3676000000,4239000000,4449000000,4670000000,4426000000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,2778000000,4281000000,3798000000,5387000000,5742000000,7133000000,3737000000,4372000000,5014000000,3617000000,3791000000,5240000000,6353000000,5631000000,5226000000,5584000000,6472000000,6577000000,7014000000,5536000000,8967000000,9129000000,12917000000,13594000000,14286000000,12546000000,12079000000,10921000000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,7593000000,8306000000,7935000000,10274000000,10472000000,11747000000,7843000000,8297000000,8658000000,10164000000,12449000000,12846000000,12503000000,14143000000,16816000000,18131000000,18154000000,18647000000,19274000000,21344000000,20841000000,24688000000,42629000000,44462000000,40736000000,41798000000,45073000000,51623000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,37000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,4865000000,5431000000,6405000000,6150000000,5919000000,5838000000,5289000000,5222000000,5271000000,5574000000,6162000000,6574000000,6783000000,6590000000,6794000000,7151000000,8298000000,9644000000,11043000000,11731000000,12968000000,13728000000,16539000000,16365000000,15390000000,16257000000,16177000000,16479000000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,2188000000,2432000000,1583000000,2885000000,3358000000,3380000000,3435000000,3581000000,3811000000,5619000000,3721000000,3932000000,5104000000,5960000000,5153000000,5595000000,5199000000,6114000000,6439000000,5796000000,6846000000,8673000000,10882000000,10732000000,17172000000,16049000000,17081000000,15945000000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,14646000000,16169000000,15923000000,19309000000,19749000000,20965000000,16567000000,17100000000,17777000000,21357000000,22332000000,23352000000,24390000000,26693000000,28763000000,30877000000,31651000000,34405000000,36756000000,38871000000,40655000000,47089000000,70050000000,71559000000,73298000000,74104000000,78331000000,84047000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,30724000000,33439000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,23000000,29000000,31000000,32000000,32000000,31000000,24000000,1844000000,1852000000,1753000000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,18856000000,21551000000,19721000000,24696000000,25491000000,28098000000,20304000000,21472000000,22791000000,24974000000,26123000000,28592000000,30743000000,32324000000,33989000000,36461000000,38123000000,40982000000,43770000000,44407000000,49622000000,56218000000,82967000000,85153000000,87584000000,86650000000,90410000000,94968000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,298000000,423000000,561000000,596000000,744000000,1080000000,1082000000,707000000,707000000,707000000,1082000000,1131000000,1131000000,727000000,727000000,324000000,291000000,291000000,291000000,291000000
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,3283000000,- -,3385000000,3467000000,3499000000,3503000000,3503000000,3503000000,3583000000,3675000000,3709000000,10689000000,11371000000,12385000000,13276000000,4101000000,4219000000,4328000000,4389000000,4461000000,4539000000,4572000000,4952000000,5038000000,5164000000,5257000000,5268000000,5279000000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,3191000000,3483000000,3764000000,3842000000,3878000000,4232000000,4672000000,4517000000,4874000000,5343000000,5839000000,- -,- -,- -,- -,7885000000,8366000000,8968000000,9626000000,9510000000,9609000000,10010000000,10356000000,8885000000,8706000000,10877000000,11311000000,10929000000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,-9577000000,-10067000000,-10921000000,-11934000000,-13239000000,-14076000000,-14350000000,-15020000000,-15449000000,-14304000000,-14951000000,-128000000,-57000000,-30000000,-105000000,-88000000,-70000000,-111000000,-123000000,-75000000,-128000000,-130000000,-180000000,-189000000,-203000000,-321000000,-395000000,-238000000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,11289000000,15356000000,13968000000,14765000000,16028000000,15914000000,17233000000,15352000000,15702000000,14934000000,15681000000,128000000,57000000,30000000,105000000,2980000000,3687000000,4393000000,4405000000,5112000000,5929000000,6140000000,9630000000,10433000000,11056000000,11692000000,11788000000,11903000000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,8186000000,8772000000,10196000000,10140000000,10166000000,9573000000,11058000000,8352000000,9008000000,10071000000,10839000000,11285000000,12115000000,13465000000,14358000000,15585000000,16909000000,18285000000,19379000000,20139000000,21080000000,21319000000,25485000000,24491000000,25014000000,27796000000,28263000000,28164000000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,27042000000,30323000000,29917000000,34836000000,35657000000,37671000000,31362000000,29824000000,31799000000,35045000000,36962000000,39877000000,42858000000,45789000000,48347000000,52046000000,55032000000,59267000000,63149000000,64546000000,70702000000,77537000000,108452000000,109644000000,112598000000,114446000000,118673000000,123132000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,231000000,375000000,435000000,535000000,725000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,221000000,781000000,1245000000,1361000000,4316000000,4254000000,4262000000,4402000000
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,27042000000,30554000000,30292000000,35271000000,36192000000,38396000000,31362000000,29824000000,31799000000,35045000000,36962000000,39877000000,42858000000,45789000000,48347000000,52046000000,55032000000,59267000000,63149000000,64546000000,70923000000,78318000000,109697000000,111005000000,116914000000,118700000000,122935000000,127534000000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/92122/000009212295000038/0000092122-95-000038-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/92122/000009212299000040/0000092122-99-000040-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1160661/000009212203000074/0000092122-03-000074-index.html,- -,https://www.sec.gov/Archives/edgar/data/92122/000095014405001905/southernco10k2004.htm,https://www.sec.gov/Archives/edgar/data/92122/000009212206000153/g99802e10vk.htm,https://www.sec.gov/Archives/edgar/data/92122/000009212207000016/soco10k.htm,https://www.sec.gov/Archives/edgar/data/92122/000009212208000010/soco10-k1207.htm,https://www.sec.gov/Archives/edgar/data/1160661/000009212209000011/0000092122-09-000011-index.html,https://www.sec.gov/Archives/edgar/data/1160661/000009212210000009/0000092122-10-000009-index.html,https://www.sec.gov/Archives/edgar/data/92122/000009212211000013/g24641xxe10vk.htm,https://www.sec.gov/Archives/edgar/data/1160661/000009212212000016/0000092122-12-000016-index.html,https://www.sec.gov/Archives/edgar/data/92122/000009212213000014/so_10-kx12312012.htm,https://www.sec.gov/Archives/edgar/data/92122/000009212214000012/so_10-kx12312013.htm,https://www.sec.gov/Archives/edgar/data/92122/000009212215000015/so_10-kx12312014.htm,https://www.sec.gov/Archives/edgar/data/1160661/000009212216000126/0000092122-16-000126-index.html,https://www.sec.gov/Archives/edgar/data/1160661/000009212217000007/0000092122-17-000007-index.html,https://www.sec.gov/Archives/edgar/data/1160661/000009212218000012/0000092122-18-000012-index.html,https://www.sec.gov/Archives/edgar/data/1160661/000009212219000006/0000092122-19-000006-index.html,https://www.sec.gov/Archives/edgar/data/1160661/000009212220000017/0000092122-20-000017-index.html,https://www.sec.gov/Archives/edgar/data/92122/000009212221000006/0000092122-21-000006-index.htm,https://www.sec.gov/Archives/edgar/data/92122/000009212222000003/0000092122-22-000003-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,989000000,1103000000,1127000000,972000000,977000000,1276000000,1313000000,1262000000,1318000000,1474000000,1532000000,1591000000,1573000000,1734000000,1742000000,1708000000,2040000000,2268000000,2415000000,1710000000,2031000000,2435000000,2493000000,880000000,2242000000,4754000000,3134000000,2408000000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1201000000,1471000000,1773000000,1522000000,1337000000,1358000000,1158000000,1163000000,1178000000,1398000000,1421000000,1486000000,1704000000,1788000000,1831000000,2048000000,2145000000,2298000000,2293000000,2395000000,2923000000,3457000000,3549000000,3331000000,3905000000,3973000000
