,https://roic.ai/company/INTU,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20500000,9000000,10000000,9000000,3000000,6000000,8000000,3000000,8000000,18000000,46000000,39000000,11000000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,51184000,61000000,60000000,50000000,30000000,31000000,27000000,35000000,31000000,20000000,15000000,14000000,29000000
14,Depreciation and Amortization,3600000,38500000,64000000,68400000,58700000,53200000,141300000,213204000,325624000,74844000,92963000,115723000,134466000,117008000,138730000,216463000,274673000,256000000,241000000,242000000,232000000,197000000,231000000,238000000,236000000,253000000,225000000,218000000,363000000
15,EBITDA,17300000,-136000000,42800000,63900000,139700000,33300000,758600000,726049000,242602000,230183000,565633000,568623000,697167000,766061000,830340000,938804000,978120000,1167000000,1267000000,1468000000,1507000000,1588000000,922000000,1649000000,1634000000,1776000000,2121000000,2430000000,2948000000
16,EBITDA ratio,0.1425,-0.7007,0.1082,0.1186,0.2333,0.0562,0.8950,0.6638,0.1923,0.1695,0.3577,0.3045,0.3421,0.3271,0.3106,0.3053,0.3073,0.3378,0.3290,0.3536,0.3613,0.3524,0.2199,0.3513,0.3156,0.2978,0.3126,0.3164,0.3060
17,Operating Income,13200000,-177100000,-13700000,-5900000,21300000,17300000,19900000,145897000,-43540000,99459000,343232000,420377000,524098000,559544000,637570000,650767000,682060000,863000000,1007000000,1177000000,1233000000,1314000000,738000000,1242000000,1395000000,1497000000,1854000000,2176000000,2500000000
18,Operating Income ratio,0.1087,-0.9124,-0.0346,-0.0110,0.0356,0.0292,0.0235,0.1334,-0.0345,0.0732,0.2170,0.2251,0.2572,0.2389,0.2385,0.2116,0.2143,0.2498,0.2615,0.2835,0.2956,0.2916,0.1760,0.2646,0.2695,0.2510,0.2733,0.2834,0.2595
19,Total Other Income Expenses (Gains),500000,2600000,-7500000,7700000,-11500000,-37200000,597400000,366948000,-53796000,-14520000,49606000,32523000,31959000,50667000,58842000,47218000,-28629000,-48000000,-41000000,-26000000,-23000000,- -,-26000000,-39000000,-28000000,6000000,27000000,22000000,56000000
20,Income Before Tax,13700000,-174500000,-21200000,1800000,9800000,-19900000,617300000,512845000,-97336000,84939000,392838000,452900000,556057000,610211000,696412000,697985000,653431000,815000000,966000000,1151000000,1210000000,1314000000,712000000,1203000000,1367000000,1503000000,1881000000,2198000000,2556000000
21,Income Before Tax Ratio,0.1129,-0.8990,-0.0536,0.0033,0.0164,-0.0336,0.7283,0.4689,-0.0772,0.0625,0.2484,0.2425,0.2729,0.2605,0.2605,0.2270,0.2053,0.2359,0.2508,0.2773,0.2901,0.2916,0.1698,0.2563,0.2641,0.2520,0.2773,0.2862,0.2653
22,Income Tax expense (Gain),5300000,1800000,24200000,16200000,12700000,-7700000,240800000,207184000,-229000,15179000,129636000,135870000,181074000,232090000,251607000,245579000,205222000,276000000,332000000,384000000,387000000,453000000,299000000,397000000,396000000,292000000,324000000,372000000,494000000
23,Net Income,8400000,-176300000,-45400000,-20700000,68300000,-12200000,376500000,305661000,-82793000,140160000,343034000,317030000,381627000,416963000,440003000,476762000,447041000,574000000,634000000,792000000,858000000,907000000,365000000,979000000,971000000,1211000000,1557000000,1826000000,2062000000
24,Net Income ratio,0.0692,-0.9083,-0.1147,-0.0384,0.1140,-0.0206,0.4442,0.2794,-0.0656,0.1032,0.2169,0.1697,0.1873,0.1780,0.1646,0.1550,0.1405,0.1661,0.1646,0.1908,0.2057,0.2013,0.0871,0.2086,0.1876,0.2031,0.2295,0.2378,0.2141
25,EPS,0.06,-0.90,-0.18,-0.08,0.24,-0.04,1.03,0.76,-0.20,0.33,0.83,0.81,1.03,1.20,1.28,1.45,1.39,1.82,2.07,2.67,2.89,3.15,1.30,3.73,3.78,4.72,5.99,6.99,7.65
26,EPS Diluted,0.06,-0.90,-0.18,-0.08,0.24,-0.04,0.98,0.72,-0.20,0.32,0.81,0.79,1.01,1.16,1.24,1.41,1.35,1.77,2.00,2.60,2.83,3.09,1.28,3.69,3.72,4.64,5.89,6.92,7.56
27,Weighted Average Shares Outstanding,140000000,196983240,245405405,270894000,284688000,298056000,365376000,401540000,415918000,423588000,410588000,390910000,369202000,347854000,342637000,328545000,322280000,316000000,307000000,296000000,297000000,285000000,281000000,262000000,257000000,256000000,260000000,261000000,270000000
28,Weighted Average Shares Outstanding Diluted,140000000,196983240,245405405,270894000,288852459,298056000,382176000,422542000,415918000,435794000,421910000,400162000,376796000,360471000,355815000,339268000,330190000,325000000,317000000,305000000,303000000,291000000,286000000,265000000,261000000,261000000,264000000,264000000,273000000
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/896878/000089161896002383/0000891618-96-002383-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/896878/000089161802004433/f84263ore10vk.htm,https://www.sec.gov/Archives/edgar/data/896878/000089161803004854/f90545e10vk.htm,https://www.sec.gov/Archives/edgar/data/896878/000095013404014081/f00874e10vk.htm,https://www.sec.gov/Archives/edgar/data/896878/000095013405018355/f10990e10vk.htm,https://www.sec.gov/Archives/edgar/data/896878/000095013406017817/f23541e10vk.htm,https://www.sec.gov/Archives/edgar/data/896878/000095013407020001/0000950134-07-020001-index.html,https://www.sec.gov/Archives/edgar/data/896878/000095013408016540/0000950134-08-016540-index.html,https://www.sec.gov/Archives/edgar/data/896878/000095012309043307/0000950123-09-043307-index.html,https://www.sec.gov/Archives/edgar/data/896878/000095012310086635/0000950123-10-086635-index.html,https://www.sec.gov/Archives/edgar/data/896878/000089687811000093/0000896878-11-000093-index.html,https://www.sec.gov/Archives/edgar/data/896878/000089687812000146/0000896878-12-000146-index.html,https://www.sec.gov/Archives/edgar/data/896878/000089687813000149/0000896878-13-000149-index.html,https://www.sec.gov/Archives/edgar/data/896878/000089687814000163/0000896878-14-000163-index.html,https://www.sec.gov/Archives/edgar/data/896878/000089687815000116/0000896878-15-000116-index.html,https://www.sec.gov/Archives/edgar/data/896878/000089687816000286/fy16q410-kdocument.htm,https://www.sec.gov/Archives/edgar/data/896878/000089687817000130/0000896878-17-000130-index.html,https://www.sec.gov/Archives/edgar/data/896878/000089687818000171/0000896878-18-000171-index.html,https://www.sec.gov/Archives/edgar/data/896878/000089687819000132/0000896878-19-000132-index.html,https://www.sec.gov/Archives/edgar/data/896878/000089687820000148/0000896878-20-000148-index.htm,https://www.sec.gov/Archives/edgar/data/896878/000089687821000233/0000896878-21-000233-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,44600000,46800000,138100000,518300000,416953000,450104000,435087000,170043000,27249000,83842000,179601000,255201000,413340000,678902000,214000000,722000000,393000000,1009000000,849000000,808000000,638000000,529000000,1464000000,2116000000,6442000000,2562000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,736400000,1276098000,1204612000,832133000,1037623000,991971000,910416000,1017599000,1048470000,414493000,668118000,1408000000,699000000,351000000,652000000,1065000000,889000000,442000000,248000000,252000000,624000000,608000000,1308000000
33,Cash and Short-Term Investments,- -,- -,- -,44600000,46800000,138100000,1254700000,1693051000,1654716000,1267220000,1207666000,1019220000,994258000,1197200000,1303671000,827833000,1347020000,1622000000,1421000000,744000000,1661000000,1914000000,1697000000,1080000000,777000000,1716000000,2740000000,7050000000,3870000000
34,Net Receivables,- -,- -,- -,49500000,42200000,59400000,63000000,67420000,27990000,56467000,88156000,92265000,86125000,161975000,185869000,187794000,213304000,162000000,243000000,236000000,192000000,169000000,175000000,128000000,166000000,137000000,152000000,161000000,514000000
35,Inventory,- -,- -,- -,4400000,3300000,3700000,4900000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,181900000,362500000,778900000,263200000,368323000,465216000,671806000,373048000,405056000,533956000,457855000,462392000,757935000,407538000,511000000,590000000,543000000,543000000,538000000,688000000,406000000,472000000,551000000,702000000,769000000,773000000
37,Total Current Assets,- -,- -,- -,280400000,454800000,980100000,1585800000,2128794000,2147922000,1995493000,1668870000,1516541000,1614339000,1817030000,1951932000,1773562000,1967862000,2295000000,2254000000,1523000000,2396000000,2621000000,2560000000,1614000000,1415000000,2404000000,3594000000,7980000000,5157000000
38,PP&E,- -,- -,- -,95600000,83400000,69400000,108900000,167707000,185969000,181758000,188253000,233101000,208548000,194434000,298396000,507499000,528949000,510000000,561000000,567000000,555000000,606000000,682000000,1031000000,1030000000,812000000,780000000,960000000,1160000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,326986000,428948000,- -,- -,- -,504991000,1517036000,1698087000,1826172000,1914000000,1886000000,2200000000,1246000000,1635000000,1266000000,1282000000,1295000000,1611000000,1655000000,1654000000,5613000000
40,Intangible Assets,- -,- -,- -,31600000,46800000,371600000,480900000,438878000,88348000,125474000,716536000,777331000,579177000,59521000,292884000,273087000,292964000,256000000,180000000,213000000,149000000,199000000,87000000,44000000,22000000,61000000,54000000,28000000,3252000000
41,Intangible Assets,- -,- -,- -,31600000,46800000,371600000,480900000,438878000,415334000,554422000,716536000,777331000,579177000,564512000,1809920000,1971174000,2119136000,2170000000,2066000000,2413000000,1395000000,1834000000,1353000000,1326000000,1317000000,1672000000,1709000000,1682000000,8865000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,288000000,97095000,91000000,63000000,75000000,83000000,31000000,27000000,28000000,31000000,13000000,13000000,19000000,43000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,145905000,176553000,183061000,135711000,118475000,144697000,72066000,52491000,36516000,41000000,55000000,6000000,- -,- -,- -,139000000,132000000,87000000,- -,65000000,8000000
44,Other Non-Current Assets,- -,- -,- -,10400000,78700000,77500000,152600000,143523000,66606000,54800000,33547000,33494000,195912000,49354000,119712000,73858000,76771000,91000000,111000000,100000000,1057000000,109000000,346000000,112000000,143000000,190000000,187000000,225000000,283000000
45,Total Non-Current Assets,- -,- -,- -,137600000,208900000,518500000,742400000,750108000,813814000,967533000,1121397000,1179637000,1102112000,952997000,2300094000,2893022000,2858467000,2903000000,2856000000,3161000000,3090000000,2580000000,2408000000,2636000000,2653000000,2774000000,2689000000,2951000000,10359000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,418000000,663700000,1498600000,2328200000,2878902000,2961736000,2963026000,2790267000,2696178000,2716451000,2770027000,4252026000,4666584000,4826329000,5198000000,5110000000,4684000000,5486000000,5201000000,4968000000,4250000000,4068000000,5178000000,6283000000,10931000000,15516000000
48,Accounts Payable,- -,- -,- -,34000000,35700000,44000000,63000000,79145000,66400000,76669000,56786000,70443000,65812000,70808000,119799000,115198000,104963000,143000000,129000000,157000000,137000000,161000000,190000000,184000000,157000000,178000000,274000000,305000000,623000000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,2580000,38672000,17926000,- -,- -,- -,- -,- -,- -,- -,- -,500000000,- -,- -,- -,- -,512000000,50000000,50000000,50000000,1384000000,66000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,358000,14000000,- -,- -,2000000,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,125018000,159758000,178840000,223380000,279382000,293113000,313753000,359936000,378148000,387000000,406000000,733000000,730000000,815000000,1028000000,1105000000,1259000000,1328000000,1055000000,1107000000,1141000000
52,Other Current Liabilities,- -,- -,- -,76700000,175900000,330700000,718100000,725112000,557872000,478424000,560539000,563542000,658210000,652053000,726557000,992104000,600718000,691000000,770000000,375000000,413000000,445000000,526000000,450000000,478000000,560000000,587000000,733000000,825000000
53,Total Current Liabilities,- -,- -,- -,110700000,211600000,374700000,781100000,806837000,787962000,732777000,796165000,857365000,1003404000,1015974000,1160109000,1467238000,1083829000,1221000000,1805000000,1265000000,1280000000,1421000000,1744000000,2251000000,1944000000,2116000000,1966000000,3529000000,2655000000
54,Long-Term Debt,- -,- -,- -,5600000,36400000,35600000,36300000,538000,12413000,14610000,29265000,16394000,13830000,15399000,997819000,997996000,998184000,998000000,499000000,499000000,499000000,499000000,500000000,488000000,438000000,388000000,386000000,2031000000,2414000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,152000000,204000000,202000000,197000000,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,2500000,600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,37000000,2000000,525000000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,-100000,- -,- -,- -,- -,- -,- -,3718000,- -,57756000,121489000,186966000,158000000,190000000,176000000,176000000,203000000,240000000,146000000,130000000,123000000,145000000,263000000,53000000
58,Total Non-Current Liabilities,- -,- -,- -,8100000,37000000,35500000,36300000,538000,12413000,14610000,29265000,16394000,17548000,15399000,1055575000,1119485000,1185150000,1156000000,689000000,675000000,675000000,702000000,892000000,838000000,770000000,708000000,568000000,2296000000,2992000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3718000,- -,- -,- -,- -,- -,190000000,- -,- -,- -,- -,- -,- -,- -,- -,267000000,446000000
61,Total Liabilities,- -,- -,- -,118800000,248600000,410200000,817400000,807375000,800375000,747387000,825430000,873759000,1020952000,1031373000,2215684000,2586723000,2268979000,2377000000,2494000000,1940000000,1955000000,2123000000,2636000000,3089000000,2714000000,2824000000,2534000000,5825000000,5647000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,600000,2043000,2105000,2112000,1995000,1901000,1793000,3442000,3391000,3226000,3228000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000
64,Retained Earnings,- -,- -,- -,-231500000,-163200000,-175400000,201200000,520666000,437873000,511342000,742248000,984391000,1291487000,1588124000,1984885000,2443982000,2848771000,3397000000,4031000000,4612000000,5262000000,5949000000,6027000000,6687000000,7297000000,8101000000,9621000000,10885000000,12296000000
65,Other Comprehensive Income/Loss,- -,- -,- -,-5500000,-70600000,-66100000,-95500000,-142501000,-156566000,-207449000,-26639000,-22809000,-16109000,1084000,6096000,7722000,7504000,11000000,15000000,25000000,20000000,-2000000,-30000000,-32000000,-22000000,-35000000,-36000000,-32000000,-24000000
66,Other Total Stockholders Equity,- -,- -,- -,536200000,648900000,1329900000,1404500000,1691319000,1877949000,1909634000,1247233000,858936000,418328000,145436000,40641000,-381976000,-303704000,-590000000,-1433000000,-1896000000,-1754000000,-2872000000,-3668000000,-5497000000,-5924000000,-5715000000,-5839000000,-5750000000,-2406000000
67,Total Stockholders Equity,- -,- -,- -,299200000,415100000,1088400000,1510800000,2071527000,2161361000,2215639000,1964837000,1822419000,1695499000,1738086000,2035013000,2072954000,2555799000,2821000000,2616000000,2744000000,3531000000,3078000000,2332000000,1161000000,1354000000,2354000000,3749000000,5106000000,9869000000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,418000000,663700000,1498600000,2328200000,2878902000,2961736000,2963026000,2790267000,2696178000,2716451000,2769459000,4250697000,4659677000,4824778000,5198000000,5110000000,4684000000,5486000000,5201000000,4968000000,4250000000,4068000000,5178000000,6283000000,10931000000,15516000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,568000,1329000,6907000,1551000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,418000000,663700000,1498600000,2328200000,2878902000,2961736000,2963026000,2790267000,2696178000,2716451000,2770027000,4252026000,4666584000,4826329000,5198000000,5110000000,4684000000,5486000000,5201000000,4968000000,4250000000,4068000000,5178000000,6283000000,10931000000,15516000000
71,SEC Link,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/896878/000089161896002383/0000891618-96-002383-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/896878/000089161802004433/f84263ore10vk.htm,https://www.sec.gov/Archives/edgar/data/896878/000089161803004854/f90545e10vk.htm,https://www.sec.gov/Archives/edgar/data/896878/000095013404014081/f00874e10vk.htm,https://www.sec.gov/Archives/edgar/data/896878/000095013405018355/f10990e10vk.htm,https://www.sec.gov/Archives/edgar/data/896878/000095013406017817/f23541e10vk.htm,https://www.sec.gov/Archives/edgar/data/896878/000095013407020001/0000950134-07-020001-index.html,https://www.sec.gov/Archives/edgar/data/896878/000095013408016540/0000950134-08-016540-index.html,https://www.sec.gov/Archives/edgar/data/896878/000095012309043307/0000950123-09-043307-index.html,https://www.sec.gov/Archives/edgar/data/896878/000095012310086635/0000950123-10-086635-index.html,https://www.sec.gov/Archives/edgar/data/896878/000089687811000093/0000896878-11-000093-index.html,https://www.sec.gov/Archives/edgar/data/896878/000089687812000146/0000896878-12-000146-index.html,https://www.sec.gov/Archives/edgar/data/896878/000089687813000149/0000896878-13-000149-index.html,https://www.sec.gov/Archives/edgar/data/896878/000089687814000163/0000896878-14-000163-index.html,https://www.sec.gov/Archives/edgar/data/896878/000089687815000116/0000896878-15-000116-index.html,https://www.sec.gov/Archives/edgar/data/896878/000089687816000286/fy16q410-kdocument.htm,https://www.sec.gov/Archives/edgar/data/896878/000089687817000130/0000896878-17-000130-index.html,https://www.sec.gov/Archives/edgar/data/896878/000089687818000171/0000896878-18-000171-index.html,https://www.sec.gov/Archives/edgar/data/896878/000089687819000132/0000896878-19-000132-index.html,https://www.sec.gov/Archives/edgar/data/896878/000089687820000148/0000896878-20-000148-index.htm,https://www.sec.gov/Archives/edgar/data/896878/000089687821000233/0000896878-21-000233-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,8400000,-176300000,-45400000,-20700000,68300000,-12200000,376500000,305661000,-82793000,140160000,343034000,317030000,381627000,416963000,440003000,476762000,447041000,574000000,634000000,792000000,858000000,907000000,365000000,979000000,971000000,1211000000,1557000000,1826000000,2062000000
74,Depreciation and Amortization,3600000,38500000,64000000,68400000,58700000,53200000,141300000,213204000,325624000,74844000,92963000,115723000,134466000,117008000,138730000,216463000,274673000,256000000,241000000,242000000,232000000,197000000,231000000,238000000,236000000,253000000,225000000,218000000,363000000
75,Deferred Income Tax,-5200000,-5100000,-16300000,- -,-14500000,-39200000,-25100000,-140368000,-76682000,-24705000,22541000,51695000,18460000,-18943000,-39200000,60550000,40748000,-33000000,112000000,9000000,82000000,175000000,-15000000,129000000,8000000,51000000,-7000000,-179000000,-42000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,132778000,135000000,153000000,169000000,195000000,204000000,257000000,281000000,326000000,382000000,401000000,435000000,753000000
77,Change in Working Capital,4800000,- -,- -,169700000,73500000,362200000,199300000,517257000,38003000,-97244000,-390011000,-213529000,-48241000,190121000,-9233000,-485499000,577709000,189967000,-625000000,-191000000,858000000,84000000,-384000000,-1453000000,108000000,817000000,1340000000,2823000000,-11000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-17693000,2000000,-36000000,-10000000,12000000,-5000000,24000000,-20000000,5000000,5000000,11000000,-59000000,-104000000
79,Inventory,-400000,2000000,-3100000,2100000,1400000,-1000000,-1200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6855000,40000000,-24000000,19000000,4000000,15000000,35000000,-23000000,- -,12000000,90000000,33000000,206000000
81,Other Working Capital,- -,- -,- -,169700000,243200000,605400000,804700000,1321957000,1359960000,1262716000,872705000,659176000,610935000,801056000,791823000,306324000,884033000,1074000000,449000000,258000000,1116000000,1200000000,816000000,-637000000,-529000000,288000000,1628000000,4451000000,-48000000
82,Other Non-Cash Items,100000,152200000,74200000,-155900000,-104900000,-295700000,-618800000,-889690000,29061000,484175000,500909000,303656000,111392000,-95599000,196460000,561914000,-660585000,-123967000,498000000,225000000,-859000000,-121000000,1050000000,1227000000,-50000000,-602000000,-1192000000,-2709000000,125000000
83,Cash Provided by Operating Activities,11700000,9300000,76500000,61500000,81100000,68300000,73200000,6064000,233213000,577230000,569436000,574575000,597704000,609550000,726760000,830190000,812364000,998000000,1013000000,1246000000,1366000000,1446000000,1504000000,1401000000,1599000000,2112000000,2324000000,2414000000,3250000000
84,CAPEX,-4900000,-17900000,-32900000,-69300000,-27600000,-383900000,-544200000,-94944000,-77102000,-42559000,-50399000,-52260000,-38185000,-82074000,-153257000,-306127000,-182452000,-143000000,-228000000,-196000000,-209000000,-201000000,-261000000,-522000000,-230000000,-124000000,-155000000,-137000000,-125000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,-2074860000,-168369000,-278265000,-214807000,-123550000,-4337000,-19062000,-1216891000,-167378000,-187357000,-96000000,- -,-392000000,43000000,554000000,-95000000,463000000,- -,-363000000,-64000000,- -,-3064000000
86,Purchases of Investments,-57300000,-72500000,-144700000,-197000000,-258900000,-310300000,-78500000,-41987000,-3172509000,-2849548000,-2302536000,-3554863000,-2937586000,-1636765000,-2466642000,-934335000,-550464000,-3029000000,-1257000000,-669000000,-869000000,-1334000000,-939000000,-934000000,-352000000,-407000000,-752000000,-701000000,-1489000000
87,Sales/Maturities of Investments,31900000,86100000,87500000,165000000,244800000,213200000,810000000,2028381000,3134666000,3175691000,2115590000,3490533000,3012195000,1535912000,2527330000,1282216000,483761000,2134000000,1954000000,1018000000,561000000,939000000,1095000000,1352000000,542000000,414000000,387000000,726000000,779000000
88,Other Investing Activites,600000,6000000,-26800000,-1600000,-76300000,7800000,-6900000,-19270000,- -,-30875000,-34467000,29135000,-24026000,163825000,-83167000,38819000,-47485000,68000000,-86000000,-47000000,-91000000,-104000000,-101000000,-94000000,-173000000,-138000000,-61000000,-63000000,-138000000
89,Cash Used for Investing Activites,-29700000,1700000,-116900000,-102900000,-118000000,-473200000,180400000,-202680000,-283314000,-25556000,-486619000,-211005000,8061000,-38164000,-1392627000,-86805000,-432441000,-997000000,497000000,-225000000,-485000000,-49000000,-182000000,371000000,-85000000,-532000000,-566000000,-97000000,-3965000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-500000000,- -,- -,- -,-995000000,-662000000,-850000000,-50000000,-50000000,-1338000000
91,Common Stock Issued,23600000,1500000,87000000,12900000,9400000,501100000,126600000,- -,96800000,133565000,155861000,119140000,165797000,279306000,211370000,196945000,198447000,440000000,338000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,-8365000,-318350000,-814327000,-610184000,-709887000,-784186000,-506751000,-799998000,-300249000,-900000000,-1360000000,-900000000,-292000000,-1577000000,-1245000000,-2264000000,-839000000,-272000000,-556000000,-323000000,-1005000000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-178000000,-203000000,-220000000,-283000000,-318000000,-353000000,-407000000,-501000000,-561000000,-646000000
