,https://roic.ai/company/TTEC,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
71,SEC Link,https://www.sec.gov/Archives/edgar/data/1013880/000091205797009984/0000912057-97-009984-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1013880/000091205700014188/0000912057-00-014188-index.html,https://www.sec.gov/Archives/edgar/data/1013880/000091205701505594/0000912057-01-505594-index.html,https://www.sec.gov/Archives/edgar/data/1013880/000102140802004545/0001021408-02-004545-index.html,https://www.sec.gov/Archives/edgar/data/1013880/000104746903011021/0001047469-03-011021-index.htm,https://www.sec.gov/Archives/edgar/data/1013880/000104746904006987/0001047469-04-006987-index.htm,https://www.sec.gov/Archives/edgar/data/1013880/000103570405000136/0001035704-05-000136-index.htm,https://www.sec.gov/Archives/edgar/data/1013880/000095013406003471/0000950134-06-003471-index.htm,https://www.sec.gov/Archives/edgar/data/1013880/000103570407000133/0001035704-07-000133-index.htm,https://www.sec.gov/Archives/edgar/data/1013880/000095013408012828/0000950134-08-012828-index.htm,https://www.sec.gov/Archives/edgar/data/1013880/000095013409003513/0000950134-09-003513-index.htm,https://www.sec.gov/Archives/edgar/data/1013880/000095012310015232/0000950123-10-015232-index.htm,https://www.sec.gov/Archives/edgar/data/1013880/000095012311020772/0000950123-11-020772-index.htm,https://www.sec.gov/Archives/edgar/data/1013880/000110465912014088/0001104659-12-014088-index.htm,https://www.sec.gov/Archives/edgar/data/1013880/000110465913014418/0001104659-13-014418-index.htm,https://www.sec.gov/Archives/edgar/data/1013880/000110465914014287/0001104659-14-014287-index.htm,https://www.sec.gov/Archives/edgar/data/1013880/000110465915018213/0001104659-15-018213-index.htm,https://www.sec.gov/Archives/edgar/data/1013880/000155837016004115/0001558370-16-004115-index.htm,https://www.sec.gov/Archives/edgar/data/1013880/000155837017001874/0001558370-17-001874-index.htm,https://www.sec.gov/Archives/edgar/data/1013880/000155837018001935/0001558370-18-001935-index.htm,https://www.sec.gov/Archives/edgar/data/1013880/000155837019001597/0001558370-19-001597-index.htm,https://www.sec.gov/Archives/edgar/data/1013880/000155837020002033/0001558370-20-002033-index.htm,https://www.sec.gov/Archives/edgar/data/1013880/000155837021002162/0001558370-21-002162-index.htm,https://www.sec.gov/Archives/edgar/data/1013880/000155837022002795/0001558370-22-002795-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,13800000,20300000,19200000,29100000,73806000,-1925000,-16755000,-41206000,24003000,28158000,51842000,53103000,73747000,71754000,49874000,74174000,70015000,67388000,72293000,61666000,33678000,7256000,35817000,77164000,118648000,140970000
74,Depreciation and Amortization,7100000,10600000,19300000,29900000,48001000,60308000,57725000,62790000,64009000,57450000,54821000,58497000,59166000,56991000,50218000,44889000,41166000,46064000,56538000,63808000,68675000,64507000,69179000,69086000,78862000,96706000
75,Deferred Income Tax,-600000,-1300000,-1200000,-2600000,-2281000,-10693000,-8931000,19729000,-1698000,-23003000,-10526000,-1079000,752000,6066000,-3030000,1658000,2354000,6892000,9514000,9317000,-1583000,16777000,-7975000,-1376000,-5193000,831000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10312000,11640000,13372000,15856000,13376000,13234000,11307000,11304000,9773000,11852000,12145000,12814000,12507000,16425000
77,Change in Working Capital,-12400000,-8000000,-16300000,18600000,82323000,21082000,5692000,-8387000,-40667000,-2873000,40159000,93886000,-48226000,31620000,-4444000,56306000,23868000,-53375000,-31912000,-38686000,45532000,87314000,-49953000,-104523000,74096000,-30539000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17668000,27258000,-87000,-5789000,400000,7291000,-41005000,-19867000,-7858000,-59284000,29985000,29608000,-40625000,40156000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,87500000,79500000,63200000,81800000,164123000,185205000,190897000,182510000,141843000,138970000,179129000,273015000,224789000,256409000,251965000,308271000,332139000,278764000,246852000,208166000,253698000,341012000,291059000,186536000,260632000,-71893000
82,Other Non-Cash Items,900000,8600000,3800000,-22800000,-165587000,34797000,75931000,25345000,67034000,-18246000,-41562000,-100893000,64815000,-17399000,28465000,-79084000,-43859000,57776000,-23650000,26341000,-48178000,-74554000,109132000,184824000,-7000000,26903000
83,Cash Provided by Operating Activities,8800000,30200000,24800000,52200000,36262000,103569000,113662000,58271000,112681000,41486000,94734000,103514000,160566000,160672000,134455000,113799000,106920000,137979000,94090000,133750000,107897000,113152000,168345000,237989000,271920000,251296000
84,CAPEX,-7400000,-32500000,-40500000,-65600000,-118013000,-52073000,-37940000,-79053000,-38521000,-37606000,-67211000,-61083000,-65988000,-28873000,-26800000,-40425000,-40653000,-50364000,-67641000,-66595000,-50832000,-51958000,-43450000,-60776000,-59772000,-60358000
85,Acquisitions Net,- -,- -,- -,- -,-15700000,- -,- -,-1868000,- -,- -,-45802000,- -,- -,- -,-12798000,-48897000,-40839000,-9166000,-24416000,-10776000,-49639000,-117068000,-4146000,-102457000,-52675000,-481718000
86,Purchases of Investments,-61200000,- -,- -,-4600000,- -,- -,- -,- -,-114000,- -,- -,- -,-416000,- -,-3600000,- -,- -,- -,- -,-9000000,-3179000,-1384000,-2119000,- -,- -,- -
87,Sales/Maturities of Investments,- -,1900000,32600000,- -,88846000,3695000,8070000,23000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-600000,400000,-11800000,-100000,-9405000,-26870000,-3733000,-12316000,-3466000,-3747000,- -,11968000,4276000,-4842000,- -,633000,560000,- -,135000,9202000,3293000,1423000,2153000,382000,20000,93000
89,Cash Used for Investing Activites,-69200000,-30200000,-19700000,-70300000,-54272000,-75248000,-33603000,-93214000,-42101000,-41353000,-113013000,-49115000,-62128000,-29815000,-43198000,-86931000,-80932000,-59530000,-91922000,-77169000,-100357000,-168987000,-47562000,-162851000,-112427000,-541983000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1136946000,-1004092000,-1263137000,-616299000,-1140750000,-1547339000,-2081904000,-2265572000,-1979422000,-2172928000,-2230389000,-1156605000,-8619000,-6626000
91,Common Stock Issued,71900000,5500000,1400000,8100000,10465000,7171000,6090000,3781000,5595000,7924000,25815000,15949000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,-1000000,- -,- -,- -,- -,- -,-24784000,-1167000,-5609000,-67841000,-16576000,-47021000,-89580000,-34766000,-80295000,-63693000,-81243000,-56532000,-57074000,-17231000,-74683000,-18328000,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,-1171000,- -,- -,- -,-3600000,-3354000,- -,- -,- -,-3690000,-4140000,-3548000,- -,- -,- -,-17423000,-18262000,-21531000,-25346000,-28739000,-134554000,-42217000
94,Other Financing Activites,-5000000,-4600000,-4900000,16300000,24837000,602000,-10061000,34837000,-119396000,27185000,34451000,974000,1150972000,927603000,1261675000,699431000,1187028000,1533209000,2064733000,2247326000,2074695000,2284368000,2153656000,1137970000,30947000,368488000
95,Cash Used/Provided by Financing Activities,65900000,900000,-3500000,24400000,34131000,7773000,-28755000,37451000,-123010000,-36086000,43690000,-30098000,-75554000,-114945000,-85897000,15891000,-34965000,-70662000,-74245000,-52900000,2328000,71581000,-102079000,-47374000,-112226000,319645000
96,Effect of Forex Changes on Cash,- -,- -,-200000,-400000,-5602000,539000,-1942000,-5613000,-14159000,-6608000,2568000,8586000,-26181000,5570000,4601000,-5773000,17091000,-14255000,-8624000,-20693000,-14908000,3427000,-14904000,-410000,6157000,-7291000
97,Net Change In Cash,- -,- -,- -,5900000,10519000,36633000,49362000,-3105000,-66589000,-42561000,27979000,32887000,-3297000,21482000,9961000,36986000,8114000,-6468000,-80701000,-17012000,-5040000,19173000,3800000,27354000,53424000,21667000
98,Cash at the End of Period,- -,- -,- -,14700000,58797000,95430000,144792000,141687000,75066000,32505000,60484000,91239000,87942000,109424000,119385000,156371000,164485000,158017000,77316000,60304000,55264000,74437000,78237000,105591000,159015000,180682000
99,Cash at the Beginning of Period,- -,5600000,7300000,8800000,48278000,58797000,95430000,144792000,141655000,75066000,32505000,58352000,91239000,87942000,109424000,119385000,156371000,164485000,158017000,77316000,60304000,55264000,74437000,78237000,105591000,159015000
100,Free Cash Flow,1400000,-2300000,-15700000,-13400000,-81751000,51496000,75722000,-20782000,74160000,3880000,27523000,42431000,94578000,131799000,107655000,73374000,66267000,87615000,26449000,67155000,57065000,61194000,124895000,177213000,212148000,190938000
