,https://roic.ai/company/GEL,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
18,Operating Income ratio,0.0043,0.0026,0.0040,0.0014,0.0004,-0.0138,0.0082,0.0009,-0.0000,0.0048,0.0093,-0.0045,0.0177,0.0149,-0.0130,0.0267,0.0279,0.0268,0.0345,0.0698,0.1205,0.1087,0.0584,0.1099,-0.1348,0.0356
19,Total Other Income Expenses (Gains),100000,1100000,-200000,800000,-239000,-44135000,-2886000,236000,-33000,980000,-243000,-8830000,-12428000,-12113000,-20569000,-32420000,-26576000,-25908000,-23504000,268705000,-92003000,-142431000,-180542000,-171982000,-153029000,-212058000
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8341000,-14205000,25463000,9258000,-47953000,50032000,87114000,84849000,109047000,425572000,114424000,78120000,-10294000,100721000,-398987000,-136362000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.0091,-0.0118,0.0119,0.0064,-0.0228,0.0162,0.0214,0.0205,0.0284,0.1894,0.0668,0.0385,-0.0035,0.0406,-0.2187,-0.0642
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-11000,-654000,-362000,3080000,2588000,-1217000,-9205000,845000,2845000,3987000,3342000,-3959000,1498000,655000,1327000,1670000
23,Net Income,1300000,7900000,7100000,2300000,181000,-43612000,5092000,13322000,-1412000,3415000,8381000,-13550000,26089000,8063000,-48459000,51249000,96319000,86109000,106202000,422528000,113249000,82647000,-6075000,95999000,-416678000,-165067000
24,Net Income ratio,0.0035,0.0023,0.0032,0.0011,0.0000,-0.0131,0.0056,0.0202,-0.0015,0.0032,0.0091,-0.0113,0.0122,0.0056,-0.0231,0.0166,0.0237,0.0208,0.0276,0.1881,0.0661,0.0407,-0.0021,0.0387,-0.2284,-0.0777
25,EPS,1.81,0.90,0.80,0.27,0.02,-4.96,0.58,1.50,-0.15,0.35,0.59,-0.64,0.61,0.01,-0.00,0.75,1.23,1.03,1.18,4.09,1.00,0.50,-0.62,0.18,-4.01,-1.35
26,EPS Diluted,1.81,0.90,0.80,0.27,0.02,-4.96,0.58,1.50,-0.15,0.35,0.59,-0.64,0.60,0.01,-0.00,0.75,1.23,1.03,1.18,4.09,1.00,0.50,-0.62,0.18,-4.01,-1.35
27,Weighted Average Shares Outstanding,8625000,8625000,8606000,8604000,8617000,8624000,8625000,8715000,9314000,9547000,13784000,20754000,38961000,39467000,40560000,67938000,78363000,83957000,90060000,103004000,113433000,121546000,122579000,122579000,122579000,122579000
28,Weighted Average Shares Outstanding Diluted,10909091,8714286,8813559,8800000,8617000,8624000,8625000,8715000,9314000,9547000,13784000,20754000,39025000,39600000,40560000,67938000,78363000,83957000,90060000,103004000,113433000,121546000,122579000,122579000,122579000,122579000
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1022321/000102232198000001/0001022321-98-000001-index.html,- -,https://www.sec.gov/Archives/edgar/data/1022321/000102232100000002/0001022321-00-000002-index.html,https://www.sec.gov/Archives/edgar/data/1022321/000102232101500008/0001022321-01-500008-index.html,- -,https://www.sec.gov/Archives/edgar/data/1022321/000102232103000012/0001022321-03-000012-index.html,https://www.sec.gov/Archives/edgar/data/1022321/000095012904001612/0000950129-04-001612-index.html,https://www.sec.gov/Archives/edgar/data/1022321/000095012905002410/0000950129-05-002410-index.html,- -,https://www.sec.gov/Archives/edgar/data/1022321/000114036107005766/form10-k.htm,https://www.sec.gov/Archives/edgar/data/1022321/000114036108006980/form10-k.htm,https://www.sec.gov/Archives/edgar/data/1022321/000114036109007127/0001140361-09-007127-index.html,https://www.sec.gov/Archives/edgar/data/1022321/000114036110008703/0001140361-10-008703-index.html,https://www.sec.gov/Archives/edgar/data/1022321/000114036111017011/form10k.htm,https://www.sec.gov/Archives/edgar/data/1022321/000119312512088096/0001193125-12-088096-index.html,https://www.sec.gov/Archives/edgar/data/1022321/000102232113000017/0001022321-13-000017-index.html,https://www.sec.gov/Archives/edgar/data/1022321/000102232114000024/gel1231201310-k.htm,https://www.sec.gov/Archives/edgar/data/1022321/000102232115000027/gel1231201410-k.htm,https://www.sec.gov/Archives/edgar/data/1022321/000102232116000145/0001022321-16-000145-index.html,https://www.sec.gov/Archives/edgar/data/1022321/000102232117000031/0001022321-17-000031-index.html,https://www.sec.gov/Archives/edgar/data/1022321/000102232118000024/0001022321-18-000024-index.html,https://www.sec.gov/Archives/edgar/data/1022321/000102232119000029/0001022321-19-000029-index.html,https://www.sec.gov/Archives/edgar/data/1022321/000102232120000026/0001022321-20-000026-index.html,https://www.sec.gov/Archives/edgar/data/1022321/000102232121000018/0001022321-21-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1022321/000102232122000018/0001022321-22-000018-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,11800000,7700000,6700000,5508000,5777000,1071000,2869000,2078000,3099000,2318000,11851000,18985000,4148000,5762000,10817000,11282000,8866000,9462000,10895000,7029000,9041000,10300000,29128000,21282000,19987000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3758000,4202000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,11800000,7700000,6700000,5508000,5777000,1071000,2869000,2078000,3099000,2318000,11851000,22743000,8350000,5762000,10817000,11282000,8866000,9462000,10895000,7029000,9041000,10300000,29128000,21282000,19987000
34,Net Receivables,- -,209900000,172200000,248500000,334991000,163368000,80664000,82256000,71446000,84676000,89106000,180099000,115104000,129865000,171550000,237989000,270925000,368033000,271529000,219532000,224682000,495449000,323462000,417002000,392465000,400334000
35,Inventory,- -,7000000,2000000,400000,994000,3737000,4952000,1546000,1866000,498000,5172000,15988000,21544000,40204000,55428000,101124000,87050000,85330000,46829000,43775000,98587000,88653000,73531000,65137000,99877000,77958000
36,Other Current Assets,- -,3500000,3300000,19100000,9111000,9218000,6143000,1540000,2006000,2176000,3396000,6302000,8736000,10825000,19798000,26174000,34777000,72994000,27546000,32114000,29271000,42890000,35986000,81807000,66545000,44205000
37,Total Current Assets,- -,232200000,185200000,274700000,350604000,182100000,92830000,88211000,77396000,90449000,99992000,214240000,168127000,189244000,252538000,376104000,404034000,535223000,355366000,306316000,359569000,636033000,443279000,593074000,580169000,542484000
38,PP&E,- -,88600000,98600000,93900000,88106000,45710000,44460000,33971000,33786000,33769000,31316000,102000000,282105000,284887000,265056000,416925000,565281000,1128744000,1631001000,3931979000,4214864000,5430535000,4977514000,5027371000,4557834000,4601986000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,320708000,325046000,325046000,325046000,325046000,325046000,325046000,325046000,325046000,325046000,325046000,301959000,301959000,301959000,301959000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,33404000,211050000,191312000,156435000,120175000,93356000,75065000,62928000,82931000,223446000,204887000,182406000,162602000,138927000,128742000,127063000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,33404000,531758000,516358000,481481000,445221000,418402000,400111000,387974000,407977000,548492000,529933000,507452000,464561000,440886000,430701000,429022000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,19000000,24000000,23000000,196671000,188155000,511872000,489407000,706620000,772150000,774739000,614120000,541615000,506833000,472010000,442225000,319068000,294050000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,10300000,13400000,12000000,10633000,2303000,247000,24933000,31972000,38559000,2375000,37525000,15413000,4360000,32048000,30006000,33618000,38111000,61291000,58692000,56611000,56628000,121707000,94085000,45847000,38259000
45,Total Non-Current Assets,- -,98900000,112000000,105900000,98739000,48013000,44707000,58904000,65758000,91328000,91095000,694283000,1010547000,958883000,1254197000,1354740000,1705630000,2326979000,2875008000,5153283000,5343023000,6501448000,6035792000,6004567000,5353450000,5363317000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,331100000,297200000,380600000,449343000,230113000,137537000,147115000,143154000,181777000,191087000,908523000,1178674000,1148127000,1506735000,1730844000,2109664000,2862202000,3230374000,5459599000,5702592000,7137481000,6479071000,6597641000,5933619000,5905801000
48,Accounts Payable,- -,215200000,178300000,253300000,327662000,172848000,87386000,67175000,75415000,85286000,86692000,157261000,99559000,117625000,165978000,199357000,258053000,316204000,245405000,140726000,119841000,270855000,127327000,218737000,198433000,264316000
49,Short-Term Debt,- -,- -,- -,19900000,22000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,9300000,5200000,19300000,16546000,10841000,8834000,20069000,6523000,7325000,9220000,17537000,26713000,23803000,40736000,50071000,54598000,130349000,117740000,161410000,140962000,185409000,205507000,196758000,184978000,232623000
53,Total Current Liabilities,- -,224500000,183500000,292500000,366208000,183689000,96220000,87244000,81938000,92611000,95912000,174798000,126272000,141428000,206714000,249428000,312651000,446553000,363145000,302136000,260803000,456264000,332834000,415495000,383411000,496939000
54,Long-Term Debt,- -,- -,15800000,- -,- -,13900000,5500000,7000000,15300000,- -,8000000,80000000,375300000,366900000,610000000,659300000,850895000,1283572000,1601039000,2922054000,3091369000,3698118000,3432463000,3429237000,3393716000,2979505000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16806000,15167000,15193000,12549000,13810000,15944000,18754000,22586000,25889000,11913000,12576000,12640000,13317000,14297000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,160000,955000,991000,21351000,2834000,5699000,5564000,16929000,15813000,18396000,18233000,192072000,204481000,256571000,259198000,518983000,534212000,434925000
58,Total Non-Current Liabilities,- -,- -,15800000,- -,- -,13900000,5500000,7000000,15460000,955000,8991000,101351000,394940000,387766000,630757000,688778000,880518000,1317912000,1638026000,3136712000,3321739000,3966602000,3704237000,3960860000,3941245000,3428727000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,224500000,199300000,292500000,366208000,197589000,101720000,94244000,97398000,93566000,104903000,276149000,521212000,529194000,837471000,938206000,1193169000,1764465000,2001171000,3438848000,3582542000,4422866000,4037071000,4376355000,4324656000,3925666000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,53600000,82621000,32009000,35341000,52354000,45239000,87689000,83884000,615265000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
65,Other Comprehensive Income/Loss,- -,-16500000,-20700000,-22400000,-25609000,-69626000,-39000,-36724000,-39237000,-35939000,-39066000,-48413000,-962000,-1000000,- -,-124213000,-157944000,-199230000,-268057000,-378247000,-548532000,-604000,939000,-8431000,-9365000,-5607000
66,Other Total Stockholders Equity,- -,123100000,118600000,56900000,26123000,70141000,- -,36724000,39237000,35939000,40844000,64952000,24842000,619933000,777547000,916851000,1074439000,1296967000,1497260000,2398998000,2668582000,2715615000,2441000000,2229286000,1618328000,- -
67,Total Stockholders Equity,- -,106600000,97900000,88100000,83135000,32524000,35302000,52354000,45239000,87689000,85662000,631804000,-633620000,- -,-560000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
68,Total Liabilities And Stockholders Equity,- -,331100000,297200000,380600000,449343000,230113000,137022000,146598000,142637000,181255000,190565000,907953000,-112408000,1148127000,836911000,1730844000,2109664000,2862202000,3230374000,5459599000,5702592000,7137481000,6479071000,6597641000,5933619000,3925666000
69,Minority Interest,- -,- -,- -,- -,- -,- -,515000,517000,517000,522000,522000,570000,1291082000,- -,669824000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1980135000
70,Total Liabilities & Equity,- -,331100000,297200000,380600000,449343000,230113000,137537000,147115000,143154000,181777000,191087000,908523000,1178674000,1148127000,1506735000,1730844000,2109664000,2862202000,3230374000,5459599000,5702592000,7137481000,6479071000,6597641000,5933619000,5905801000
71,SEC Link,undefined,https://www.sec.gov/Archives/edgar/data/1022321/000102232198000001/0001022321-98-000001-index.html,- -,https://www.sec.gov/Archives/edgar/data/1022321/000102232100000002/0001022321-00-000002-index.html,https://www.sec.gov/Archives/edgar/data/1022321/000102232101500008/0001022321-01-500008-index.html,- -,https://www.sec.gov/Archives/edgar/data/1022321/000102232103000012/0001022321-03-000012-index.html,https://www.sec.gov/Archives/edgar/data/1022321/000095012904001612/0000950129-04-001612-index.html,https://www.sec.gov/Archives/edgar/data/1022321/000095012905002410/0000950129-05-002410-index.html,- -,https://www.sec.gov/Archives/edgar/data/1022321/000114036107005766/form10-k.htm,https://www.sec.gov/Archives/edgar/data/1022321/000114036108006980/form10-k.htm,https://www.sec.gov/Archives/edgar/data/1022321/000114036109007127/0001140361-09-007127-index.html,https://www.sec.gov/Archives/edgar/data/1022321/000114036110008703/0001140361-10-008703-index.html,https://www.sec.gov/Archives/edgar/data/1022321/000114036111017011/form10k.htm,https://www.sec.gov/Archives/edgar/data/1022321/000119312512088096/0001193125-12-088096-index.html,https://www.sec.gov/Archives/edgar/data/1022321/000102232113000017/0001022321-13-000017-index.html,https://www.sec.gov/Archives/edgar/data/1022321/000102232114000024/gel1231201310-k.htm,https://www.sec.gov/Archives/edgar/data/1022321/000102232115000027/gel1231201410-k.htm,https://www.sec.gov/Archives/edgar/data/1022321/000102232116000145/0001022321-16-000145-index.html,https://www.sec.gov/Archives/edgar/data/1022321/000102232117000031/0001022321-17-000031-index.html,https://www.sec.gov/Archives/edgar/data/1022321/000102232118000024/0001022321-18-000024-index.html,https://www.sec.gov/Archives/edgar/data/1022321/000102232119000029/0001022321-19-000029-index.html,https://www.sec.gov/Archives/edgar/data/1022321/000102232120000026/0001022321-20-000026-index.html,https://www.sec.gov/Archives/edgar/data/1022321/000102232121000018/0001022321-21-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1022321/000102232122000018/0001022321-22-000018-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,1300000,7900000,7100000,2300000,181000,-43612000,5092000,13322000,-1412000,3415000,8381000,-13550000,26089000,8063000,-48459000,51249000,96319000,86109000,106202000,422528000,113249000,82647000,-6075000,95999000,-416678000,-165067000
74,Depreciation and Amortization,500000,6300000,7700000,8200000,8032000,7546000,5813000,7535000,7635000,6405000,8277000,40404000,71370000,67586000,53557000,61926000,61166000,64796000,90908000,150140000,222196000,- -,- -,- -,295322000,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2658000,-2771000,1914000,1337000,-2075000,-9222000,-152000,1745000,2960000,2142000,-4060000,663000,65000,512000,980000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2063000,4248000,81629000,-15000,7197000,12473000,4494000,5014000,6558000,-5775000,3941000,8496000,-3693000,8783000
77,Change in Working Capital,-3300000,- -,-6000000,-19500000,2196000,14015000,-1801000,4357000,-5509000,2380000,6242000,35362000,2413000,5961000,-1992000,80852000,-35293000,-2713000,-96449000,11959000,94586000,81003000,-69324000,67134000,19179000,30044000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,61126000,-7979000,-41648000,-66208000,-34299000,-96300000,95014000,99384000,-9859000,-140948000,130573000,-80126000,88116000,-75165000
79,Inventory,-4900000,1300000,1400000,1600000,-590000,-2743000,-1051000,3758000,-1170000,790000,-4664000,-143000,-5557000,-16559000,-16870000,-46151000,14074000,1720000,38501000,3811000,-54361000,49055000,20963000,7659000,-34740000,20370000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-58224000,19203000,47401000,33049000,53146000,41718000,-73307000,-101581000,-17426000,97569000,-130991000,81915000,-9742000,44119000
81,Other Working Capital,7700000,7700000,1700000,-17800000,-15604000,-1589000,-3390000,967000,-4542000,-2162000,4080000,39442000,41855000,47816000,45824000,126676000,91383000,88670000,-7779000,4180000,98766000,179769000,110445000,177579000,196758000,27390000
82,Other Non-Cash Items,700000,6000000,7600000,19100000,-5996000,38895000,-1687000,-20521000,8988000,-2710000,-11638000,-25629000,-230000,2307000,4391000,-133630000,69137000,-22127000,184154000,-303065000,-140393000,185043000,460834000,210593000,402103000,463211000
83,Cash Provided by Operating Activities,-800000,20200000,16400000,10100000,4413000,16844000,7417000,4693000,9702000,9490000,11262000,33929000,94808000,90079000,90463000,58307000,189304000,138386000,291054000,289536000,298338000,338858000,390039000,382287000,296745000,337951000
84,CAPEX,-100000,-5800000,-13400000,-2700000,-1685000,-1882000,-4211000,-4910000,-8322000,-6106000,-1260000,-8235000,-266245000,-30332000,-12400000,-27992000,-146456000,-343119000,-443482000,-495774000,-463100000,-250593000,-195367000,-163248000,-144133000,-301395000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,-24401000,-4723000,-14446000,- -,-309743000,-66686000,- -,- -,-163479000,-269325000,-325431000,-197926000,-1523344000,-25394000,-1330406000,-3018000,- -,- -,-352000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,-13418000,-6042000,-1104000,-2397000,-83000,-332462000,-194000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,528000,395000,886000,- -,2859000,11436000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-74000000,100000,-4100000,1400000,1953000,453000,2248000,22317000,240000,2161000,-68000,-2655000,718000,1182000,1265000,7932000,14174000,12720000,17421000,29659000,38185000,106126000,339078000,22437000,40377000,27630000
89,Cash Used for Investing Activites,-74100000,-5700000,-17500000,-1300000,268000,-1429000,-1963000,-6994000,-12805000,-31809000,-6842000,-321342000,-333724000,-29233000,-340738000,-172297000,-401607000,-655830000,-623987000,-1989459000,-450309000,-1474873000,140693000,-140811000,-103756000,-274117000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-238667000,-264122000,-698729000,-728300000,-1583700000,-1510500000,-1872300000,-1310450000,-952600000,-1842530000,-1254970000,-825900000,-2523696000,-1451859000
91,Common Stock Issued,163000000,- -,- -,- -,- -,- -,- -,5012000,- -,44838000,- -,231433000,- -,- -,116347000,184969000,169421000,263574000,225725000,633759000,298020000,866932000,- -,122900000,- -,93100000
92,Common Stock Repurchased,- -,- -,-1200000,-300000,-255000,-6000,- -,- -,- -,- -,- -,- -,-16667000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,-87000000,- -,-17500000,-17600000,-19997000,-7040000,-1760000,-1321000,-5703000,-5798000,-10408000,-17175000,-50534000,-60080000,-67824000,-112844000,-142383000,-168441000,-200461000,-256389000,-310039000,-321875000,-257416000,-313180000,-197316000,-148284000
94,Other Financing Activites,3500000,-14600000,15700000,8100000,14415000,-8100000,-8400000,408000,8015000,-15700000,5207000,82688000,551918000,248519000,902095000,775220000,1769430000,1930395000,2180565000,2634436000,1112724000,2435500000,982913000,820809000,2498636000,1441183000
95,Cash Used/Provided by Financing Activities,79500000,-14600000,-3000000,-9800000,-5837000,-15146000,-10160000,4099000,2312000,23340000,-5201000,296946000,246050000,-75683000,251889000,119045000,212768000,515028000,333529000,1701356000,148105000,1138027000,-529473000,-195371000,-222376000,-65860000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,79500000,-14600000,-3000000,-1000000,-1156000,269000,-4706000,1798000,-791000,1021000,-781000,9533000,7134000,-14837000,1614000,5055000,465000,-2416000,596000,1433000,-3866000,2012000,1259000,46105000,-29387000,-2026000
98,Cash at the End of Period,- -,- -,- -,6700000,5508000,5777000,1071000,2869000,2078000,3099000,2318000,11851000,18985000,4148000,5762000,10817000,11282000,8866000,9462000,10895000,7029000,9041000,10300000,56405000,27018000,24992000
99,Cash at the Beginning of Period,7400000,11900000,11800000,7700000,6664000,5508000,5777000,1071000,2869000,2078000,3099000,2318000,11851000,18985000,4148000,5762000,10817000,11282000,8866000,9462000,10895000,7029000,9041000,10300000,56405000,27018000
100,Free Cash Flow,-900000,14400000,3000000,7400000,2728000,14962000,3206000,-217000,1380000,3384000,10002000,25694000,-171437000,59747000,78063000,30315000,42848000,-204733000,-152428000,-206238000,-164762000,88265000,194672000,219039000,152612000,36556000
