,https://roic.ai/company/DISH,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,30034000,25158000,34354000,99522000,148865000,61841000,19523000,31164000,41006000,44759000,77214000,22734000,11338000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,388425000,454777000,557910000,536879000,744985000,611209000,494010000,52992000,63172000,15006000,23687000,12974000,16174000
14,Depreciation and Amortization,22800000,26700000,105109000,256497000,228360000,126906000,191862000,287841000,384864000,424891000,525163000,804193000,1124317000,1329410000,1000230000,940033000,983965000,922073000,983049000,1054026000,1077936000,1000048000,953146000,817564000,712024000,630577000,714552000,724852000
15,EBITDA,23300000,9500000,-50570000,-56182000,-32478000,-665787000,-428794000,73797000,-424242000,738567000,723968000,1811284000,2047332000,2579563000,2569036000,2341432000,2980944000,3890896000,2463644000,2906329000,2910678000,2607826000,3293000000,2464105000,2835805000,2505134000,3188474000,3914478000
16,EBITDA ratio,0.1220,0.0580,-0.2392,-0.1177,-0.0331,-0.4154,-0.1579,0.0184,-0.0880,0.1287,0.1012,0.2150,0.2085,0.2326,0.2211,0.2007,0.2358,0.2770,0.1727,0.2090,0.1988,0.1731,0.2182,0.1712,0.2082,0.1956,0.2058,0.2189
17,Operating Income,13300000,-7900000,-109345000,-224271000,-122891000,-347091000,-424066000,212302000,421348000,707548000,703305000,1167248000,1217371000,1573404000,2056180000,1386930000,1940828000,2927954000,1221835000,1348179000,1824451000,1332396000,2211109000,1567765000,2147621000,1878876000,2582615000,3203035000
18,Operating Income ratio,0.0696,-0.0482,-0.5172,-0.4698,-0.1251,-0.2165,-0.1562,0.0531,0.0874,0.1233,0.0983,0.1385,0.1240,0.1419,0.1770,0.1189,0.1535,0.2084,0.0856,0.0970,0.1246,0.0884,0.1465,0.1089,0.1577,0.1467,0.1667,0.1791
19,Total Other Income Expenses (Gains),-12800000,-9300000,-46334000,-88408000,-137947000,-176603000,-196590000,-426346000,-1230454000,-468666000,-476927000,-160157000,-294356000,-323251000,-487374000,-374098000,-398623000,-517370000,-289066000,-211264000,-618709000,-196444000,95354000,82322000,41554000,65051000,-10404000,15721000
20,Income Before Tax,500000,-17200000,-155679000,-312679000,-260838000,-523694000,-620656000,-214044000,-809106000,238882000,226378000,1007091000,923015000,1250153000,1568806000,1012832000,1542205000,2410584000,932769000,1136915000,1205742000,1135952000,2306463000,1650087000,2189175000,1943927000,2572211000,3218756000
21,Income Before Tax Ratio,0.0026,-0.1049,-0.7364,-0.6549,-0.2654,-0.3267,-0.2286,-0.0535,-0.1678,0.0416,0.0317,0.1195,0.0940,0.1127,0.1350,0.0868,0.1220,0.1716,0.0654,0.0818,0.0823,0.0754,0.1528,0.1147,0.1607,0.1518,0.1660,0.1800
22,Income Tax expense (Gain),400000,-5700000,-54693000,146000,44000,154000,555000,1454000,72544000,14376000,11609000,-507449000,314743000,494099000,665859000,377429000,557473000,895006000,307029000,299826000,276840000,366676000,837009000,-515320000,533684000,451358000,698275000,762810000
23,Net Income,100000,-11500000,-100986000,-312825000,-260882000,-792847000,-621211000,-215498000,-881650000,299300000,187196000,1514540000,608272000,756054000,902947000,635545000,984729000,1515907000,636687000,807492000,944693000,747092000,1449853000,2098689000,1575091000,1399512000,1762673000,2410642000
24,Net Income ratio,0.0005,-0.0702,-0.4777,-0.6552,-0.2655,-0.4947,-0.2288,-0.0539,-0.1829,0.0521,0.0262,0.1798,0.0620,0.0682,0.0777,0.0545,0.0779,0.1079,0.0446,0.0581,0.0645,0.0496,0.0961,0.1458,0.1156,0.1093,0.1138,0.1348
25,EPS,-0.01,-0.05,-0.31,-0.95,-0.82,-1.91,-1.31,-0.45,-0.92,0.46,0.46,3.34,1.36,1.68,2.00,1.41,2.20,3.39,1.40,1.76,2.04,1.60,3.11,4.48,3.36,2.92,3.36,4.65
26,EPS Diluted,-0.01,-0.05,-0.31,-0.95,-0.82,-1.91,-1.31,-0.45,-0.92,0.46,0.46,3.21,1.36,1.67,1.97,1.41,2.19,3.38,1.40,1.75,2.03,1.60,3.04,4.05,2.99,2.60,3.02,3.86
27,Weighted Average Shares Outstanding,200789600,230908040,325664668,336667938,361276711,418120247,472882598,479055875,482325733,485005270,465885081,453902961,446498845,449067948,450557807,448638258,447625275,447192573,452041642,457844461,461942577,464822904,466642058,467860850,469195097,479657000,524761000,528229000
28,Weighted Average Shares Outstanding Diluted,200789600,230908040,325664668,336667938,361276711,418120247,472882598,479055875,482325733,490241863,469444076,486042349,454472200,458637580,462042972,450367057,448360164,448629223,454687045,460978787,464754635,466531623,486073471,524659209,527907984,537964000,584360000,636440000
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1001082/000104746998010660/0001047469-98-010660-index.html,https://www.sec.gov/Archives/edgar/data/1001082/000104746999010168/0001047469-99-010168-index.html,https://www.sec.gov/Archives/edgar/data/1001082/000103570400000160/0001035704-00-000160-index.html,https://www.sec.gov/Archives/edgar/data/1001082/000095013401002076/0000950134-01-002076-index.html,- -,https://www.sec.gov/Archives/edgar/data/1001082/000095013403003310/0000950134-03-003310-index.htm,https://www.sec.gov/Archives/edgar/data/1001082/000095013404004096/0000950134-04-004096-index.htm,https://www.sec.gov/Archives/edgar/data/1001082/000095013405005271/0000950134-05-005271-index.htm,https://www.sec.gov/Archives/edgar/data/1001082/000095013406005091/0000950134-06-005091-index.htm,https://www.sec.gov/Archives/edgar/data/1001082/000095013407004460/0000950134-07-004460-index.htm,https://www.sec.gov/Archives/edgar/data/1001082/000114036108004989/0001140361-08-004989-index.htm,https://www.sec.gov/Archives/edgar/data/1001082/000095013409004095/0000950134-09-004095-index.htm,https://www.sec.gov/Archives/edgar/data/1001082/000095012310018671/0000950123-10-018671-index.htm,https://www.sec.gov/Archives/edgar/data/1001082/000110465911009436/0001104659-11-009436-index.htm,https://www.sec.gov/Archives/edgar/data/1001082/000110465912011853/0001104659-12-011853-index.htm,https://www.sec.gov/Archives/edgar/data/1001082/000110465913011967/0001104659-13-011967-index.htm,https://www.sec.gov/Archives/edgar/data/1001082/000110465914012023/0001104659-14-012023-index.htm,https://www.sec.gov/Archives/edgar/data/1001082/000110465915012777/0001104659-15-012777-index.htm,https://www.sec.gov/Archives/edgar/data/1001082/000155837016003267/0001558370-16-003267-index.htm,https://www.sec.gov/Archives/edgar/data/1001082/000155837017000748/0001558370-17-000748-index.htm,https://www.sec.gov/Archives/edgar/data/1001082/000155837018000826/0001558370-18-000826-index.htm,https://www.sec.gov/Archives/edgar/data/1001082/000155837019000607/0001558370-19-000607-index.htm,https://www.sec.gov/Archives/edgar/data/1001082/000155837020000945/0001558370-20-000945-index.htm,https://www.sec.gov/Archives/edgar/data/1001082/000155837021001322/0001558370-21-001322-index.htm,https://www.sec.gov/Archives/edgar/data/1001082/000155837022001816/0001558370-22-001816-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,17500000,21800000,39231000,145207000,106547000,905299000,856818000,1677889000,1483078000,1290859000,704560000,615669000,1923105000,1180818000,98574000,105844000,640672000,609108000,3606140000,4700022000,7104496000,1053158000,5323725000,1479508000,887346000,2443643000,3370092000,2428188000
32,Short-Term Investments,- -,- -,18807000,275307000,217553000,348876000,607357000,1150408000,1203917000,2682115000,451073000,565691000,1109465000,1607378000,460558000,2033492000,2299705000,1431745000,3631637000,5039382000,2131745000,557911000,35616000,501165000,1181471000,416704000,362953000,2975518000
33,Cash and Short-Term Investments,17500000,21800000,58038000,420514000,324100000,1254175000,1464175000,2828297000,2686995000,3972974000,1155633000,1181360000,3032570000,2788196000,559132000,2139336000,2940377000,2040853000,7237777000,9739404000,9236241000,1611069000,5359341000,1980673000,2068817000,2860347000,3733045000,5403706000
34,Net Receivables,8100000,12700000,18346000,66074000,107233000,265685000,384614000,424128000,435020000,345673000,584310000,478414000,665149000,699101000,968490000,779871000,786053000,794817000,869865000,957518000,951493000,864028000,753129000,653948000,639855000,588358000,1104202000,942561000
35,Inventory,20300000,38800000,72767000,22993000,76708000,123630000,161161000,190747000,150290000,155147000,271581000,221329000,237507000,306915000,426671000,295950000,487575000,707151000,623720000,512707000,493754000,390328000,464835000,321008000,290733000,322898000,380349000,534937000
36,Other Current Assets,35800000,30400000,86485000,34524000,29804000,40205000,50827000,68795000,47212000,99321000,101784000,515942000,664315000,450926000,143691000,260795000,359388000,205002000,327791000,1103817000,1896246000,677818000,1705749000,329394000,289800000,243497000,1804562000,641978000
37,Total Current Assets,81700000,103700000,235636000,544105000,537845000,1683695000,2060777000,3511967000,3319517000,4573115000,2113308000,2397045000,4599541000,4245138000,2097984000,3475952000,4573393000,3747823000,9059153000,12313446000,12577734000,3543243000,8283054000,3285023000,3289205000,4015100000,7022158000,7523182000
38,PP&E,151200000,354000000,590621000,874859000,876914000,1339939000,1511303000,1904012000,1974516000,1876459000,2640168000,3514539000,3765596000,4058189000,2663289000,3042262000,3232348000,3169891000,4402360000,4097711000,3773539000,2924180000,2557382000,2183661000,1928180000,2850512000,2286604000,4751197000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,256917000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,218000000,227637000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,240186000,226650000,197863000,218875000,5135000,1391441000,1391441000,1391441000,3344101000,3332513000,4984996000,15689562000,16523740000,23752943000,24754416000,25789557000,27446484000,29079707000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,240186000,226650000,197863000,475792000,5135000,1391441000,1391441000,1391441000,3344101000,3332513000,4984996000,15689562000,16523740000,23752943000,24754416000,25789557000,27664484000,29307344000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,67000000,173000000,360000000,242000000,311717000,368954000,2887181000,119051000,151273000,327250000,327250000,324371000,113460000,118992000,160074000,149706000,150941000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,239600000,165400000,315123000,386682000,392093000,874555000,1093870000,1103707000,966552000,1135444000,1035615000,1204976000,1032696000,947410000,1451639000,73971000,66017000,273895000,454943000,480685000,443943000,402475000,403300000,438679000,496219000,415692000,1116995000,6269061000
45,Total Non-Current Assets,390800000,519400000,905744000,1261541000,1269007000,2214494000,2605173000,3007719000,2941068000,3011903000,3915969000,5013165000,5169155000,5841391000,4362063000,4819391000,5058760000,7722408000,8320455000,8062182000,9529728000,19343467000,19808793000,26488743000,27297807000,29215835000,31217789000,40478543000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,472500000,623100000,1141380000,1805646000,1806852000,3898189000,4665950000,6519686000,6260585000,7585018000,6029277000,7410210000,9768696000,10086529000,6460047000,8295343000,9632153000,11470231000,17379608000,20375628000,22107462000,22886710000,28091847000,29773766000,30587012000,33230935000,38239947000,48001725000
48,Accounts Payable,14900000,19100000,40819000,67701000,90646000,194046000,226568000,254868000,264813000,173637000,247698000,239788000,283471000,314825000,471845000,520278000,400764000,455408000,580597000,636955000,416993000,470226000,505986000,393305000,233753000,280645000,395397000,848224000
49,Short-Term Debt,- -,4800000,11334000,17885000,22679000,22067000,21132000,14782000,13432000,1438346000,45062000,36470000,1038464000,1550454000,38333000,26518000,1030895000,35645000,537701000,1034893000,681467000,1534000000,937580000,1068524000,1341993000,1171366000,2085620000,2061810000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,103100000,122707000,132982000,181531000,283895000,359424000,443757000,514831000,757302000,757484000,819899000,857846000,830529000,815878000,803768000,832390000,857280000,843386000,891373000,869659000,772831000,709074000,655312000,681484000,855718000,761347000
52,Other Current Liabilities,13800000,26800000,43058000,102287000,184470000,499265000,691482000,859293000,923217000,845470000,1021803000,1116329000,1449640000,1502016000,1639296000,1924607000,2263874000,1897068000,1948889000,2036415000,2122692000,2289055000,2311588000,2657101000,2545074000,2362596000,2748011000,2844505000
53,Total Current Liabilities,28700000,50700000,198311000,310580000,430777000,896909000,1223077000,1488367000,1645219000,2972284000,2071865000,2150071000,3591474000,4225141000,2980003000,3287281000,4499301000,3220511000,3924467000,4551649000,4112525000,5162940000,4527985000,4828004000,4776132000,4496091000,6084746000,6515886000
54,Long-Term Debt,339600000,415700000,874720000,1365221000,1488079000,3030605000,4014812000,5706480000,5733621000,5499327000,5471153000,6126763000,5525000000,4025000000,4750000000,6470046000,5484041000,7458134000,11350399000,12615991000,13782313000,12221925000,15541320000,15134441000,13810784000,12968229000,13679934000,20808601000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,316929000,214568000,236175000,370382000,245489000,276281000,385026000,461534000,470487000,470932000,695018000,474404000,527859000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,192617000,386493000,235551000,312775000,567686000,974414000,1662732000,1945690000,1882711000,2084789000,2595481000,2019538000,2474907000,2870655000,3869570000,4226266000
57,Other Non-Current Liabilities,400000,- -,7152000,218806000,259536000,19093000,56329000,102611000,87383000,145931000,564471000,- -,678988000,809906000,443599000,- -,- -,- -,- -,19804000,41498000,284243000,330634000,383390000,460068000,636870000,350648000,395222000
58,Total Non-Current Liabilities,340000000,415700000,881872000,1584027000,1747615000,3049698000,4071141000,5809091000,5821004000,5645258000,6035624000,6126763000,6396605000,5221399000,5429150000,7099750000,6266295000,8668723000,13383513000,14826974000,15982803000,14975983000,18928969000,18007856000,17216691000,17170772000,18374556000,25957948000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,286673000,- -,403857000,550250000,219423000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,84795000,63526000,1453395000
61,Total Liabilities,368700000,466400000,1080183000,1894607000,2178392000,3946607000,5294218000,7297458000,7466223000,8617542000,8107489000,8276834000,9988079000,9446540000,8409153000,10387031000,10765596000,11889234000,17307980000,19378623000,20095328000,20138923000,23456954000,22835860000,21992823000,21666863000,24459302000,32473834000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,425000,460000,463000,2292000,4741000,4794000,4809000,4847000,4874000,4885000,4909000,4935000,4955000,4973000,4993000,5031000,5090000,5144000,5178000,5203000,4652000,4664000,4679000,5230000,5261000,5289000
64,Retained Earnings,-800000,-13500000,-115729000,-436996000,-733093000,-1603194000,-2225551000,-2470501000,-2914718000,-2660596000,-2901477000,-1386937000,-841010000,-84456000,-2492804000,-2760589000,-1834619000,-1211990000,-1028193000,-220701000,723992000,1471084000,1352040000,3635380000,5212790000,6612302000,8374975000,10785617000
65,Other Comprehensive Income/Loss,-7200000,-7200000,-35264000,-85961000,-167821000,-266947000,-415356000,-646460000,-2460000,79811000,53418000,1316000,49874000,46698000,-107998000,5614000,93357000,82043000,188803000,173872000,174507000,61981000,781000,882000,-874000,-18000,-855000,281000
66,Other Total Stockholders Equity,111800000,177400000,211765000,433536000,528911000,1819431000,2007898000,2334395000,1706731000,1543414000,764973000,514112000,566844000,672812000,646741000,657831000,602340000,704546000,871167000,1018765000,1109332000,1210519000,3279646000,3296488000,3379093000,4947007000,5400774000,- -
67,Total Stockholders Equity,103800000,156700000,61197000,-88961000,-371540000,-48418000,-628268000,-777772000,-1205638000,-1032524000,-2078212000,-866624000,-219383000,639989000,-1949106000,-2092171000,-1133929000,-420370000,36867000,977080000,2013009000,2748787000,4637119000,6937414000,8595688000,11564521000,13780155000,15526671000
68,Total Liabilities And Stockholders Equity,472500000,623100000,1141380000,1805646000,1806852000,3898189000,4665950000,6519686000,6260585000,7585018000,6029277000,7410210000,9768696000,10086529000,6460047000,8294860000,9631667000,11468864000,17344847000,20355703000,22108337000,22887710000,28094073000,29773274000,30588511000,33231384000,38239457000,48000505000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,483000,486000,1367000,34761000,19925000,-875000,-1000000,-2226000,492000,-1499000,-449000,490000,1220000
70,Total Liabilities & Equity,472500000,623100000,1141380000,1805646000,1806852000,3898189000,4665950000,6519686000,6260585000,7585018000,6029277000,7410210000,9768696000,10086529000,6460047000,8295343000,9632153000,11470231000,17379608000,20375628000,22107462000,22886710000,28091847000,29773766000,30587012000,33230935000,38239947000,48001725000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1001082/000104746998010660/0001047469-98-010660-index.html,https://www.sec.gov/Archives/edgar/data/1001082/000104746999010168/0001047469-99-010168-index.html,https://www.sec.gov/Archives/edgar/data/1001082/000103570400000160/0001035704-00-000160-index.html,https://www.sec.gov/Archives/edgar/data/1001082/000095013401002076/0000950134-01-002076-index.html,- -,https://www.sec.gov/Archives/edgar/data/1001082/000095013403003310/0000950134-03-003310-index.htm,https://www.sec.gov/Archives/edgar/data/1001082/000095013404004096/0000950134-04-004096-index.htm,https://www.sec.gov/Archives/edgar/data/1001082/000095013405005271/0000950134-05-005271-index.htm,https://www.sec.gov/Archives/edgar/data/1001082/000095013406005091/0000950134-06-005091-index.htm,https://www.sec.gov/Archives/edgar/data/1001082/000095013407004460/0000950134-07-004460-index.htm,https://www.sec.gov/Archives/edgar/data/1001082/000114036108004989/0001140361-08-004989-index.htm,https://www.sec.gov/Archives/edgar/data/1001082/000095013409004095/0000950134-09-004095-index.htm,https://www.sec.gov/Archives/edgar/data/1001082/000095012310018671/0000950123-10-018671-index.htm,https://www.sec.gov/Archives/edgar/data/1001082/000110465911009436/0001104659-11-009436-index.htm,https://www.sec.gov/Archives/edgar/data/1001082/000110465912011853/0001104659-12-011853-index.htm,https://www.sec.gov/Archives/edgar/data/1001082/000110465913011967/0001104659-13-011967-index.htm,https://www.sec.gov/Archives/edgar/data/1001082/000110465914012023/0001104659-14-012023-index.htm,https://www.sec.gov/Archives/edgar/data/1001082/000110465915012777/0001104659-15-012777-index.htm,https://www.sec.gov/Archives/edgar/data/1001082/000155837016003267/0001558370-16-003267-index.htm,https://www.sec.gov/Archives/edgar/data/1001082/000155837017000748/0001558370-17-000748-index.htm,https://www.sec.gov/Archives/edgar/data/1001082/000155837018000826/0001558370-18-000826-index.htm,https://www.sec.gov/Archives/edgar/data/1001082/000155837019000607/0001558370-19-000607-index.htm,https://www.sec.gov/Archives/edgar/data/1001082/000155837020000945/0001558370-20-000945-index.htm,https://www.sec.gov/Archives/edgar/data/1001082/000155837021001322/0001558370-21-001322-index.htm,https://www.sec.gov/Archives/edgar/data/1001082/000155837022001816/0001558370-22-001816-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,100000,-11500000,-100986000,-312825000,-260882000,-792847000,-621211000,-215498000,-881650000,299300000,187196000,1514540000,608272000,756054000,902947000,635545000,984729000,1515907000,636687000,807492000,944693000,747092000,1449853000,2098689000,1575091000,1399512000,1762673000,2410642000
74,Depreciation and Amortization,22800000,26700000,105109000,256497000,228360000,126906000,191862000,287841000,384864000,424891000,525163000,804193000,1124317000,1329410000,1000230000,940033000,983965000,922073000,983049000,1054026000,1077936000,1000048000,953146000,817564000,712024000,630577000,714552000,724852000
75,Deferred Income Tax,-7300000,-4800000,-50365000,-373000,- -,- -,- -,- -,66149000,629000,5362000,-539638000,252340000,398931000,392318000,4630000,201400000,627927000,350324000,126194000,134535000,206392000,506932000,-485973000,454699000,228250000,899173000,602044000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12227000,15387000,31521000,40970000,29730000,34153000,19199000,13037000,29941000,36261000,14262000,64954000,51680000
77,Change in Working Capital,8500000,- -,-15675000,196200000,-126457000,679718000,50914000,1185900000,-349302000,-73467000,-1559388000,205531000,761093000,-988070000,-902016000,1070690000,-114579000,453220000,4607374000,2627111000,703412000,-10084906000,5374766000,-5298050000,56054000,1005936000,1418403000,112563000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,40924000,-4182000,32157000,-66076000,-69086000,-17407000,88901000,115111000,126848000,14724000,49183000,-25172000,209456000
79,Inventory,3000000,-19700000,-36864000,51597000,-55056000,-45688000,-41851000,-25247000,69709000,18020000,-70501000,79669000,16743000,-88364000,-158498000,51411000,-229154000,-139225000,124032000,-12654000,-5090000,116503000,-49560000,37895000,14788000,-79542000,58291000,-167985000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-33420000,20218000,32592000,114334000,80910000,-186451000,56633000,35760000,-131399000,-160952000,46892000,73268000,101034000
81,Other Working Capital,53000000,53000000,37325000,233525000,107068000,786786000,837700000,2023600000,1674298000,1600831000,41443000,246974000,1008067000,19997000,-882019000,188671000,74092000,527312000,5134686000,7761797000,8465209000,-1619697000,3755069000,-1542981000,-1486927000,-480991000,937412000,-100208000
82,Other Non-Cash Items,100000,-30700000,34492000,-139456000,142089000,-72290000,259758000,-768760000,846683000,-75772000,1843109000,-210552000,-466780000,1120396000,794865000,-468582000,68900000,-976770000,-4606529000,-2372088000,-516605000,10548255000,-5495582000,5617336000,-316288000,-616136000,-1547979000,129470000
83,Cash Provided by Operating Activities,24200000,-20300000,-27425000,43000,-16890000,-58513000,-118677000,489483000,66744000,575581000,1001442000,1774074000,2279242000,2616721000,2188344000,2194543000,2139802000,2573878000,2011875000,2272465000,2378124000,2436080000,2802152000,2779507000,2517841000,2662401000,3311776000,4031251000
84,CAPEX,-4000000,-4100000,-50954000,-232058000,-161140000,-91152000,-331401000,-637457000,-435819000,-321819000,-980587000,-1506394000,-1396318000,-1444522000,-1129890000,-1037190000,-1113219000,-905428000,-981566000,-1253499000,-3879233000,-10084766000,-1327350000,-6096447000,-1316697000,-1494603000,-2240048000,-2086184000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1345000000,-76957000,- -,- -,- -,- -,- -,- -,- -,-1312500000,- -
86,Purchases of Investments,-420100000,-40200000,-159395000,-309151000,-570096000,-547329000,-1363884000,-2549179000,-5770963000,-5050502000,-1943707000,-676478000,-2046882000,-3495640000,-4648931000,-6138149000,-5373947000,-6543443000,-3981451000,-7162132000,-4269458000,-447901000,-345210000,-656754000,-1403890000,-1029858000,-1902599000,-4687033000
87,Sales/Maturities of Investments,409400000,40600000,150876000,51513000,627860000,434517000,1041784000,2023268000,5602398000,3641939000,4096005000,552521000,1474662000,2649616000,4708338000,4570124000,5112464000,6221518000,2046648000,5718486000,7054104000,2054805000,1431026000,206272000,730210000,1799966000,1944748000,2069343000
88,Other Investing Activites,-323900000,-34400000,-228169000,-107553000,95328000,141138000,-258456000,-115751000,-78003000,-31488000,-93430000,170009000,-25415000,-92446000,-526988000,-341000,-102819000,-122975000,-49888000,-337712000,-2552709000,-8919359000,-2211459000,-5638988000,-907655000,-906863000,-2177919000,-607081000
89,Cash Used for Investing Activites,-338600000,-38100000,-287642000,-597249000,-8048000,-62826000,-911957000,-1279119000,-682387000,-1761870000,1078281000,-1460342000,-1993953000,-2382992000,-1597471000,-2605556000,-1477521000,-2695328000,-3019214000,-3034857000,-983924000,-8074149000,-1728664000,-6521265000,-1975273000,-717836000,-3861572000,-4410413000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-74391000,-26910000,-1032236000,-37539000,-5734619000,-1131652000,-681526000,-1534824000,-1116561000,-1151256000,-1358920000,-1200536000,-2089876000
