,https://roic.ai/company/TGNA,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
19,Total Other Income Expenses (Gains),-7400000,-15800000,-19700000,-56400000,-70600000,-80200000,-109000000,-60800000,-56200000,-43000000,-45900000,-30700000,-48300000,20300000,-107200000,225900000,-35900000,-208416000,-219235000,-161809000,-140718000,-152279000,-230171000,-278755000,-201996000,-544345000,-148983000,-153695000,-177891000,-119355000,-180143000,298069000,-290222000,-259622000,-235186000,-189769000,-183361000,-233926000,-188538000
20,Income Before Tax,368300000,430800000,484800000,540200000,590400000,607500000,647500000,618000000,502700000,574300000,668500000,782100000,803500000,1086700000,1209000000,1669400000,1527200000,1608840000,1370600000,1764500000,1840300000,1995400000,1817900000,1719482000,1448900000,-7306000000,576200000,846000000,652900000,670400000,559100000,1356100000,622936000,712452000,310716000,508707000,375657000,637056000,613678000
21,Income Before Tax Ratio,0.2162,0.2198,0.2194,0.1928,0.1917,0.1833,0.1840,0.1796,0.1486,0.1656,0.1836,0.2045,0.2005,0.2458,0.2556,0.3260,0.2903,0.2586,0.2160,0.2748,0.2742,0.2703,0.2392,0.2140,0.1948,-1.0795,0.1027,0.1556,0.1246,0.1252,0.1083,0.2257,0.2042,0.2132,0.1633,0.2305,0.1634,0.2168,0.2052
22,Income Tax expense (Gain),176600000,206900000,231500000,263800000,271000000,243000000,250000000,241000000,201100000,228600000,270700000,316700000,326200000,462700000,496300000,669500000,607800000,636900000,539400000,604400000,629100000,678200000,606600000,558700000,473300000,-658400000,193800000,244013000,152800000,195400000,113200000,225600000,202314000,216979000,-137246000,107367000,89422000,154293000,135481000
23,Net Income,191700000,223900000,253300000,276400000,319400000,364500000,397500000,377000000,301600000,199700000,397800000,465400000,477300000,943100000,712700000,999900000,957900000,1719077000,831200000,1160100000,1211200000,1317200000,1244700000,1160782000,1055600000,-6647600000,355300000,588200000,458700000,424300000,388700000,1062200000,459522000,436697000,273744000,405665000,286235000,482778000,476955000
24,Net Income ratio,0.1125,0.1142,0.1146,0.0987,0.1037,0.1100,0.1130,0.1095,0.0892,0.0576,0.1092,0.1217,0.1191,0.2133,0.1507,0.1952,0.1821,0.2763,0.1310,0.1806,0.1805,0.1785,0.1638,0.1445,0.1419,-0.9823,0.0633,0.1082,0.0875,0.0793,0.0753,0.1768,0.1506,0.1307,0.1438,0.1838,0.1245,0.1643,0.1595
25,EPS,0.60,0.70,0.79,0.86,0.99,1.05,1.16,1.11,0.97,0.69,1.36,1.61,1.71,3.35,2.52,3.53,3.43,6.45,3.14,4.35,4.49,4.98,5.08,4.91,4.53,-7.81,1.52,2.47,1.92,1.83,1.70,4.69,1.59,2.05,2.08,1.86,1.32,2.20,2.18
26,EPS Diluted,0.60,0.70,0.79,0.86,0.99,1.05,1.16,1.10,0.96,0.69,1.35,1.61,1.71,3.35,2.50,3.50,3.40,6.41,3.12,4.31,4.46,4.92,5.05,4.90,4.52,-7.81,1.51,2.43,1.89,1.79,1.66,4.58,1.56,2.02,2.06,1.85,1.31,2.19,2.17
27,Weighted Average Shares Outstanding,319900000,320400000,320632911,321395349,322626263,347142857,342672414,339639640,310927835,289420290,292500000,288173375,279941349,281943199,282817460,283257790,279271137,266523566,264712420,266696092,269757906,264495181,244958000,236337000,233026932,228290653,233730263,238230000,239228000,232327000,228541000,226292000,224688000,216358000,215587000,216184000,217138000,219232000,219232000
28,Weighted Average Shares Outstanding Diluted,319900000,320400000,320632911,321395349,322626263,347142857,342672414,342727273,314166667,289420290,294666667,289908257,279941349,281943199,285080000,285685714,281735294,268186739,266409295,269171230,271572422,267720732,246256000,236756000,233542478,228290653,235278146,241605000,242768000,236690000,234189000,231907000,229721000,219681000,217478000,216621000,217977000,219733000,219733000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/39899/000095013304000855/0000950133-04-000855-index.htm,https://www.sec.gov/Archives/edgar/data/39899/000119312505038875/0001193125-05-038875-index.htm,https://www.sec.gov/Archives/edgar/data/39899/000119312506038810/0001193125-06-038810-index.htm,https://www.sec.gov/Archives/edgar/data/39899/000119312507043708/0001193125-07-043708-index.htm,https://www.sec.gov/Archives/edgar/data/39899/000119312508041403/0001193125-08-041403-index.htm,https://www.sec.gov/Archives/edgar/data/39899/000136231009002765/0001362310-09-002765-index.htm,https://www.sec.gov/Archives/edgar/data/39899/000095012310016360/0000950123-10-016360-index.htm,https://www.sec.gov/Archives/edgar/data/39899/000095012311017139/0000950123-11-017139-index.htm,https://www.sec.gov/Archives/edgar/data/39899/000119312512072714/0001193125-12-072714-index.htm,https://www.sec.gov/Archives/edgar/data/39899/000003989913000007/0000039899-13-000007-index.htm,https://www.sec.gov/Archives/edgar/data/39899/000003989914000010/0000039899-14-000010-index.htm,https://www.sec.gov/Archives/edgar/data/39899/000003989915000006/0000039899-15-000006-index.htm,https://www.sec.gov/Archives/edgar/data/39899/000003989916000034/0000039899-16-000034-index.htm,https://www.sec.gov/Archives/edgar/data/39899/000003989917000010/0000039899-17-000010-index.htm,https://www.sec.gov/Archives/edgar/data/39899/000003989918000011/0000039899-18-000011-index.htm,https://www.sec.gov/Archives/edgar/data/39899/000003989919000011/0000039899-19-000011-index.htm,https://www.sec.gov/Archives/edgar/data/39899/000003989920000006/0000039899-20-000006-index.htm,https://www.sec.gov/Archives/edgar/data/39899/000003989921000008/0000039899-21-000008-index.htm,https://www.sec.gov/Archives/edgar/data/39899/000003989922000007/0000039899-22-000007-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,8000000,22000000,35000000,38000000,15000000,26000000,- -,25000000,30000000,32000000,32000000,44000000,47000000,27000000,45000000,60000000,46000000,69954000,74000000,90000000,67000000,136000000,69000000,94256000,77000000,99000000,99000000,183000000,167000000,175000000,469000000,110305000,129200000,76920000,98801000,135862000,29404000,40968000,56989000
32,Short-Term Investments,37000000,27000000,15000000,20000000,12000000,23000000,- -,31000000,41000000,42000000,43000000,- -,- -,4000000,8000000,6000000,- -,123242000,67000000,1143824000,1090207000,1157974000,94000000,- -,1158398000,413230000,405355000,393457000,324948000,283431000,379886000,312608000,- -,- -,- -,- -,- -,136219000,- -
33,Cash and Short-Term Investments,45000000,49000000,50000000,58000000,27000000,49000000,- -,56000000,71000000,74000000,75000000,44000000,47000000,31000000,53000000,66000000,46000000,193196000,141000000,1233824000,1157207000,1293974000,163000000,94256000,1235398000,512230000,504355000,576457000,491948000,458431000,848886000,422913000,129200000,76920000,98801000,135862000,29404000,177187000,56989000
34,Net Receivables,231000000,272000000,322000000,402000000,440000000,459000000,- -,469000000,445000000,454000000,584000000,517000000,621600000,617000000,684000000,717000000,881000000,931832000,872000000,880000000,974000000,1032000000,1076000000,1215970000,1049000000,905000000,780000000,748000000,710000000,699000000,863000000,592497000,575089000,621846000,439294000,446371000,601405000,564786000,657776000
35,Inventory,31000000,41000000,54000000,57000000,65000000,84000000,- -,67000000,51000000,48000000,53000000,53000000,111700000,74000000,101000000,87000000,95000000,128321000,105000000,101000000,116000000,120000000,118000000,120802000,97000000,121000000,64000000,72000000,49000000,56000000,50000000,38861000,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,28000000,32000000,47000000,54000000,69000000,73000000,- -,77000000,69000000,55000000,46000000,37000000,73800000,45000000,47000000,36000000,53000000,48987000,60000000,-1081824000,-1024207000,-1074974000,105000000,100991000,-1038398000,-292230000,-299355000,-257457000,-174948000,-140431000,161114000,258792000,100870000,91922000,98828000,52989000,76515000,-69379000,72824000
37,Total Current Assets,335000000,394000000,473000000,571000000,601000000,665000000,- -,669000000,636000000,631000000,758000000,651000000,854100000,767000000,885000000,906000000,1075000000,1302336000,1178000000,1133000000,1223000000,1371000000,1462000000,1532019000,1343000000,1246000000,1049000000,1139000000,1076000000,1073000000,1923000000,1313063000,805159000,790688000,636923000,635222000,707324000,672594000,787589000
38,PP&E,676000000,717000000,882000000,1232000000,1312000000,1377000000,- -,1472000000,1485000000,1475000000,1478000000,1428000000,2070700000,1994000000,2192000000,2064000000,2224000000,2461399000,2465000000,2535000000,2682000000,2753000000,2815000000,2775422000,2616000000,2221000000,1972000000,1758000000,1640000000,1519000000,1670000000,666918000,458319000,450016000,335340000,375215000,589182000,567549000,554474000
39,Goodwill,609000000,629000000,815000000,1406000000,1395000000,1526000000,- -,1459000000,1409000000,1365000000,1501000000,1472000000,- -,3394000000,3584000000,3795000000,5398000000,- -,8578000000,8822000000,9602000000,9861000000,9685000000,10060440000,10035000000,2873000000,2854000000,2837000000,2865000000,2847000000,3790000000,3914771000,3919726000,4067529000,2579417000,2596863000,2950587000,2968693000,2981587000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3386600000,- -,- -,- -,- -,8740804000,106000000,99000000,109000000,256000000,446000000,836568000,735000000,583000000,566000000,519000000,502000000,500000000,1477000000,3177578000,3065107000,3013432000,1273269000,1526077000,2561614000,2503644000,2441488000
41,Intangible Assets,609000000,629000000,815000000,1406000000,1395000000,1526000000,- -,1459000000,1409000000,1365000000,1501000000,1472000000,3386600000,3394000000,3584000000,3795000000,5398000000,8740804000,8684000000,8921000000,9711000000,10117000000,10131000000,10897008000,10770000000,3456000000,3420000000,3356000000,3367000000,3347000000,5267000000,7092349000,6984833000,7080961000,3852686000,4122940000,5512201000,5472337000,5423075000
42,Investments,70000000,72000000,143000000,158000000,202000000,224000000,- -,226000000,154000000,137000000,86000000,156000000,- -,195000000,229000000,215000000,309000000,- -,768000000,- -,- -,- -,- -,- -,- -,413230000,405355000,393457000,324948000,283431000,379886000,312608000,55914000,36714000,27098000,47457000,60033000,52338000,152508000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,265000000,255000000,93000000,205000000,165000000,- -,396000000,402000000,442000000,480000000,- -,503000000,679000000,744000000,822000000,863000000,- -,696000000,- -,- -,- -,- -,- -,588000000,681595000,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,-1000000,- -,1000000,- -,-265000000,-255000000,-92000000,-204000000,-165000000,192400000,-396000000,-402000000,-443000000,-480000000,475872000,-502000000,465000000,346000000,336000000,472000000,1019355000,463000000,460770000,301645000,170543000,208052000,157569000,-586886000,1175662000,233533000,184346000,110068000,96008000,85236000,83881000,- -
45,Total Non-Current Assets,1355000000,1418000000,1840000000,2795000000,2909000000,3128000000,- -,3157000000,3048000000,2978000000,3066000000,3056000000,5649700000,5583000000,6005000000,6073000000,7931000000,11678075000,11918000000,12600000000,13483000000,14028000000,14281000000,14691785000,14545000000,6551000000,6099000000,5678000000,5540000000,5307000000,7318000000,9929132000,7732599000,7752037000,4325192000,4641620000,6246652000,6176105000,6130057000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,1690000000,1812000000,2313000000,3366000000,3510000000,3793000000,- -,3826000000,3684000000,3609000000,3824000000,3707000000,6503800000,6350000000,6890000000,6979000000,9006000000,12980411000,13096000000,13733000000,14706000000,15399000000,15743000000,16223804000,15888000000,7797000000,7148000000,6817000000,6616000000,6380000000,9241000000,11242195000,8537758000,8542725000,4962115000,5276842000,6953976000,6848699000,6917646000
48,Accounts Payable,83000000,101000000,109000000,147000000,190000000,216000000,- -,170000000,183000000,184000000,187000000,216000000,279600000,237000000,275000000,283000000,312000000,493243000,320000000,298000000,323000000,302000000,282000000,292644000,219000000,288000000,217000000,201000000,189000000,188000000,176000000,114362000,87706000,120911000,52992000,83226000,51894000,58049000,72996000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,90800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5890000,7854000,646000,646000,646000,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,45085000,31565000,3658000,44985000,17791000,11267000,15742000,13478000,- -,19383000,3332000,63923000,11420000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,157291000,161615000,162577000,29892000,164958000,28470000,29386000,19577000,21254000,231435000,229395000,223404000,217094000,132650000,113468000,- -,- -,- -,530240000,- -
52,Other Current Liabilities,149000000,192000000,194000000,285000000,285000000,285000000,- -,330000000,261000000,248000000,268000000,311000000,442400000,482000000,493000000,445000000,572000000,680758000,808000000,503709000,477385000,540423000,784108000,659346000,714530000,835614000,663423000,670746000,481565000,517605000,601706000,794143000,385781000,384156000,271714000,285991000,309264000,-164114000,302136000
53,Total Current Liabilities,232000000,293000000,303000000,432000000,475000000,501000000,- -,500000000,444000000,432000000,455000000,527000000,812800000,719000000,768000000,728000000,884000000,1174001000,1128000000,959000000,962000000,1005000000,1096000000,1116948000,962000000,1153000000,900000000,893000000,902000000,935000000,1007000000,1133453000,606783000,619181000,325352000,369217000,361158000,424175000,375132000
54,Long-Term Debt,295000000,189000000,492000000,1201000000,1094000000,1135000000,- -,849000000,1335000000,1081000000,851000000,767000000,2767900000,1880000000,1741000000,1307000000,2463000000,5747856000,5080000000,4547000000,3835000000,4608000000,5438000000,5210021000,4098000000,3817000000,3062000000,2352000000,1760000000,1432000000,3707000000,4488028000,4200816000,4042749000,3007047000,2944466000,4179245000,3553220000,3320940000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,548374000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,327900000,- -,- -,- -,- -,274829000,- -,- -,- -,- -,- -,702123000,- -,- -,- -,- -,112088000,83260000,587904000,650372000,883141000,929184000,382310000,396847000,515621000,530240000,548374000
57,Other Non-Current Liabilities,140000000,188000000,243000000,299000000,332000000,370000000,- -,414000000,366000000,516000000,610000000,591000000,449600000,820000000,902000000,965000000,1030000000,680315000,1152000000,1315000000,1486000000,1622000000,1639000000,788138000,1811000000,1771000000,1583000000,1408000000,1514912000,1578740000,1246096000,1715428000,390274000,398606000,252365000,225388000,307575000,282969000,-411209000
58,Total Non-Current Liabilities,435000000,377000000,735000000,1500000000,1426000000,1505000000,- -,1263000000,1701000000,1597000000,1461000000,1358000000,3545400000,2700000000,2643000000,2272000000,3493000000,6703000000,6232000000,5862000000,5321000000,6230000000,7077000000,6700282000,5909000000,5588000000,4645000000,3760000000,3387000000,3094000000,5541000000,6853828000,5474231000,5370539000,3641722000,3566701000,5002441000,4366429000,4006479000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,105902000,99337000,- -
61,Total Liabilities,667000000,670000000,1038000000,1932000000,1901000000,2006000000,- -,1763000000,2145000000,2029000000,1916000000,1885000000,4358200000,3419000000,3411000000,3000000000,4377000000,7877001000,7360000000,6821000000,6283000000,7235000000,8173000000,7817230000,6871000000,6741000000,5545000000,4653000000,4289000000,4029000000,6548000000,7987281000,6081014000,5989720000,3967074000,3935918000,5363599000,4790604000,4381611000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,80000000,80000000,80000000,162000000,162000000,162000000,- -,162000000,162000000,162000000,162000000,162000000,- -,162000000,324000000,324000000,324000000,324421000,324000000,324000000,324000000,324000000,324000000,324419000,324000000,324000000,324000000,324000000,324000000,324000000,324000000,324419000,324419000,324419000,324419000,324419000,324419000,324419000,324419000
64,Retained Earnings,872000000,989000000,1120000000,1257000000,1425000000,1624000000,- -,2026000000,2140000000,2159000000,2366000000,2639000000,2923800000,3655000000,3996000000,4775000000,5505000000,6995965000,7589000000,8498000000,9445000000,10488000000,11459000000,12337041000,13019000000,6007000000,6325000000,6875000000,7276000000,7515000000,7721000000,8602369000,7111129000,7384556000,6062995000,6429512000,6655088000,7075640000,7459380000
65,Other Comprehensive Income/Loss,-10000000,-14000000,-18000000,-18000000,-12000000,-2000000,- -,-96000000,-90000000,-96000000,-96000000,-96000000,-1489000000,-60000000,-56000000,-46000000,12000000,-1673802000,-224000000,41138000,319305000,591487000,249150000,306298000,430891000,-469252000,-316832000,-365334000,-595839000,-701141000,-494055000,-778769000,-130951000,-161573000,-106923000,-136511000,-142597000,-121076000,-97216000
66,Other Total Stockholders Equity,80000000,87000000,93000000,33000000,34000000,2000000,- -,- -,- -,- -,- -,- -,710800000,- -,- -,- -,- -,- -,- -,-1951343000,-1665324000,-3239485000,-4461588000,-4585495000,-4756732000,-4805866000,-4728243000,-4669912000,-4676270000,-4787245000,-4857847000,-4893105000,-5112626000,-5275984000,-5285450000,-5276496000,-5246533000,-5220888000,- -
67,Total Stockholders Equity,1022000000,1142000000,1275000000,1434000000,1609000000,1786000000,- -,2063000000,1539000000,1580000000,1908000000,1822000000,2145600000,2931000000,3480000000,3980000000,4630000000,5103410000,5736000000,6911795000,8422981000,8164002000,7570562000,8382263000,9017159000,1055882000,1603925000,2163754000,2327891000,2350614000,2693098000,3254914000,2191971000,2271418000,995041000,1340924000,1590377000,2058095000,2519906000
68,Total Liabilities And Stockholders Equity,1689000000,1812000000,2313000000,3366000000,3510000000,3792000000,- -,3826000000,3684000000,3609000000,3824000000,3707000000,6503800000,6350000000,6891000000,6980000000,9007000000,12980411000,13096000000,13732795000,14705981000,15399002000,15743562000,16199493000,15888159000,7796882000,7148925000,6816754000,6616891000,6379614000,9241098000,11242195000,8272985000,8261138000,4962115000,5276842000,6953976000,6848699000,6901517000
69,Minority Interest,1000000,- -,- -,- -,- -,1000000,- -,- -,- -,- -,- -,- -,- -,- -,-1000000,-1000000,-1000000,- -,- -,205000,19000,-2000,-562000,24311000,-159000,118000,-925000,246000,-891000,386000,-98000,- -,264773000,281587000,- -,- -,- -,- -,16129000
70,Total Liabilities & Equity,1690000000,1812000000,2313000000,3366000000,3510000000,3793000000,- -,3826000000,3684000000,3609000000,3824000000,3707000000,6503800000,6350000000,6890000000,6979000000,9006000000,12980411000,13096000000,13733000000,14706000000,15399000000,15743000000,16223804000,15888000000,7797000000,7148000000,6817000000,6616000000,6380000000,9241000000,11242195000,8537758000,8542725000,4962115000,5276842000,6953976000,6848699000,6917646000
