,https://roic.ai/company/AMRN,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
64,Retained Earnings,- -,-1000000,- -,3100000,-12200000,-21900000,-50400000,-46028000,-37579000,-41573000,-84842000,-105659000,-101004000,-119711000,-144430000,-185192000,-203766000,-271302000,-499333000,-568500000,-747600000,-913900000,-970234000,-1117654000,-1204004000,-1271869000,-1388532000,-1411177000,-1429177000,-1421448000
65,Other Comprehensive Income/Loss,- -,-1600000,- -,-2900000,-1000000,-5400000,-6900000,-2566000,-2949000,-3234000,-1655000,-977000,27633000,27633000,27633000,49445000,-2435000,-2572000,-115000,-200000,-400000,-400000,-588000,-754000,-755000,-816000,-839000,-1019000,- -,- -
66,Other Total Stockholders Equity,- -,20900000,- -,28700000,36500000,42000000,41300000,57703000,61509000,63298000,61206000,71200000,86858000,123880000,146642000,146954000,209171000,238546000,206616000,449438000,619403000,738944000,739261000,814875000,964171000,974453000,1273188000,1729436000,1766567000,- -
67,Total Stockholders Equity,- -,18300000,- -,28900000,23300000,14700000,-13500000,12181000,31169000,29666000,-6214000,-6348000,16693000,38580000,37835000,24149000,28898000,48602000,-202367000,-5962000,-3997000,-33856000,-88448000,-129191000,-9058000,-65100000,152330000,608263000,627505000,667099000
68,Total Liabilities And Stockholders Equity,- -,24200000,- -,35600000,44900000,40200000,16500000,33752000,48597000,90992000,97534000,47377000,23721000,46760000,48826000,42254000,36657000,56197000,35367000,126338000,310903000,252444000,171107000,171591000,166999000,161598000,385714000,882209000,966021000,1068065000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,62000,-3000,56000,- -,1639000,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,24200000,- -,35600000,44900000,40200000,16500000,33752000,48597000,90992000,97534000,47377000,23721000,46760000,48826000,42254000,36657000,56197000,35367000,126400000,310900000,252500000,171107000,173230000,166999000,161598000,385714000,882209000,966021000,1068065000
71,SEC Link,undefined,- -,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/897448/000119312512089181/0001193125-12-089181-index.html,https://www.sec.gov/Archives/edgar/data/897448/000119312513084191/0001193125-13-084191-index.html,https://www.sec.gov/Archives/edgar/data/897448/000119312514072975/0001193125-14-072975-index.htm,https://www.sec.gov/Archives/edgar/data/897448/000119312515075070/0001193125-15-075070-index.htm,https://www.sec.gov/Archives/edgar/data/897448/000119312516476872/0001193125-16-476872-index.html,https://www.sec.gov/Archives/edgar/data/897448/000119312517065969/0001193125-17-065969-index.html,https://www.sec.gov/Archives/edgar/data/897448/000156459018003389/0001564590-18-003389-index.html,https://www.sec.gov/Archives/edgar/data/897448/000156459019004655/0001564590-19-004655-index.html,https://www.sec.gov/Archives/edgar/data/897448/000156459020006390/0001564590-20-006390-index.html,https://www.sec.gov/Archives/edgar/data/897448/000156459021008382/0001564590-21-008382-index.htm,https://www.sec.gov/Archives/edgar/data/897448/000095017022002401/0000950170-22-002401-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,900000,- -,4100000,-15600000,-7700000,-28800000,4370000,2357000,-4760000,-37084000,-19224000,4012000,-18707000,-26920000,-38197000,-20021000,-59317000,-249589000,-69100000,-179200000,-166200000,-56364000,-115204000,-86350000,-67865000,-116445000,-22645000,-18000000,7729000
74,Depreciation and Amortization,- -,600000,- -,1000000,1200000,2500000,2600000,2319000,2422000,21219000,8294000,671000,754000,810000,795000,386000,251000,582000,63000,76000,449000,892000,844000,812000,783000,708000,669000,859000,2038000,2857000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1691000,-2493000,-3714000,-3434000,-3614000,-4252000,8798000,11082000,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4633000,3756000,10920000,9198000,18322000,10982000,8519000,13880000,13613000,13960000,18806000,30917000,45813000,36938000
77,Change in Working Capital,- -,-5700000,- -,6300000,-8700000,-13600000,-14100000,6914000,28001000,-32137000,-7203000,-19803000,47779000,20022000,162000,-22519000,2716000,40327000,-23823000,84964000,150000000,-78600000,-76925000,-12174000,-22724000,-25337000,175994000,392023000,-40967000,-115990000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3645000,-4197000,-5984000,-6171000,-25333000,-21205000,-49907000,-38144000,-9079000
79,Inventory,- -,500000,- -,-500000,-600000,100000,300000,863000,428000,-815000,-3805000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-21262000,-5429000,12958000,-5252000,-1522000,-9753000,-27542000,-18967000,-112095000,-167066000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1476000,5751000,25675000,-7228000,8811000,10489000,8705000,40267000,37602000,65913000,114741000,51516000
81,Other Working Capital,- -,15200000,- -,21500000,12800000,-800000,-14900000,-7986000,20015000,-12122000,-19325000,-39128000,8651000,28673000,28835000,6316000,9032000,49359000,25536000,110500000,260500000,181900000,104975000,92801000,70077000,44740000,220734000,612757000,571790000,-1923000
82,Other Non-Cash Items,- -,400000,- -,-6600000,10900000,18400000,34100000,-23128000,-27157000,32593000,41583000,17852000,-63272000,-19431000,3054000,34051000,-13971000,-13460000,230250000,-62084000,-108160000,46024000,55231000,32190000,14065000,34615000,-173727000,-410520000,-10630000,1929000
83,Cash Provided by Operating Activities,- -,-3800000,- -,4800000,-12200000,-400000,-6200000,-9525000,5623000,16915000,5590000,-20504000,-10727000,-17306000,-22909000,-26279000,-26392000,-28112000,-33870000,-39439000,-122303000,-190336000,-72309000,-84748000,-71815000,-32837000,-94703000,-9366000,-21746000,-66537000
84,CAPEX,- -,-500000,- -,-1000000,-2800000,-2600000,-300000,-129000,-683000,-1496000,-716000,-662000,-7903000,-135000,-245000,-6225000,-317000,-126000,-23000,-398000,-12692000,-14000,- -,-28000,-21000,-12000,-58000,-2478000,-252000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-813000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,-500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1650000,-1650000,- -,- -,- -,- -,- -,- -,- -,-678700000,-290195000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,301989000,394294000
88,Other Investing Activites,- -,-200000,- -,-200000,-4900000,5500000,9100000,2076000,1220000,-47281000,-10755000,-2398000,22442000,- -,- -,1252000,374000,899000,- -,- -,-12143000,- -,- -,- -,- -,- -,- -,- -,- -,4000
89,Cash Used for Investing Activites,- -,-1200000,- -,-1200000,-7700000,2900000,8800000,1947000,537000,-48777000,-11471000,-3060000,13726000,-135000,-245000,-4973000,57000,773000,-23000,-2048000,-14342000,-14000,- -,-28000,-21000,-12000,-58000,-2478000,-376963000,104103000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2750000,-2012000,-12000,-2000,-20000,-10000,-36000,-16150000,- -,-18429000,-14690000,-31652000,-50336000,- -
91,Common Stock Issued,- -,14900000,- -,6600000,1300000,400000,200000,27000,9542000,3999000,198000,21212000,12775000,42538000,26424000,9685000,30000000,66400000,- -,98654000,- -,121206000,- -,- -,64613000,- -,264840000,440108000,- -,- -
92,Common Stock Repurchased,- -,-500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2104000,-953000,-1344000,-2450000,-285000,- -,-4188000,- -,- -,- -,- -,- -,-194000,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,-400000,- -,-900000,11800000,-2800000,-7400000,7485000,-14765000,56025000,-3178000,-17712000,-6301000,-8000,-25000,2723000,-3705000,5475000,13089000,27995000,280305000,426000,370000,88542000,-1487000,26664000,21101000,1156000,-8571000,-5073000
95,Cash Used/Provided by Financing Activities,- -,14000000,- -,5700000,13100000,-2400000,-7200000,7512000,-5223000,60024000,-2980000,1396000,5521000,41186000,23949000,12123000,23545000,65675000,13077000,126647000,280285000,121622000,334000,72198000,63126000,8235000,271251000,409612000,-58907000,-5073000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,630000,-1274000,-317000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,14000000,- -,5700000,13100000,200000,-4500000,-66000,938000,28163000,-8860000,-22168000,8520000,23745000,795000,-18499000,-4064000,38019000,-20816000,85160000,143640000,-68728000,-71975000,-12578000,-8710000,-24614000,176490000,397768000,-457616000,32493000
98,Cash at the End of Period,- -,- -,- -,- -,- -,4700000,300000,1165000,2016000,30126000,24289000,2097000,10989000,33907000,36802000,18303000,14239000,52258000,31442000,116602000,260242000,191514000,119539000,106961000,98251000,73637000,250727000,648495000,190879000,223372000
99,Cash at the Beginning of Period,- -,900000,- -,3600000,11700000,4500000,4800000,1231000,1078000,1963000,33149000,24265000,2469000,10162000,36007000,36802000,18303000,14239000,52258000,31442000,116602000,260242000,191514000,119539000,106961000,98251000,74237000,250727000,648495000,190879000
100,Free Cash Flow,- -,-4300000,- -,3800000,-15000000,-3000000,-6500000,-9654000,4940000,15419000,4874000,-21166000,-18630000,-17441000,-23154000,-32504000,-26709000,-28238000,-33893000,-39837000,-134995000,-190350000,-72309000,-84776000,-71836000,-32849000,-94761000,-11844000,-21998000,-66537000
