,https://roic.ai/company/XPO,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
27,Weighted Average Shares Outstanding,1625728,1641310,2350923,5983942,6630912,6574280,6672595,7863441,8008804,8060345,8246577,15694000,22752000,53600000,92800000,110200000,114900000,123000000,96000000,92000000,92000000
28,Weighted Average Shares Outstanding Diluted,1625728,1989002,2657739,5983942,6630912,6660253,6831682,7939291,8041861,8278995,8246577,15694000,22752000,53600000,92800000,122800000,127800000,135000000,106000000,102000000,102000000
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1166003/000119312505065283/d10ksb.htm,https://www.sec.gov/Archives/edgar/data/1166003/000095012406001658/k03323e10ksb.htm,https://www.sec.gov/Archives/edgar/data/1166003/000095012407001822/0000950124-07-001822-index.html,https://www.sec.gov/Archives/edgar/data/1166003/000095012408001571/k25117e10vk.htm,https://www.sec.gov/Archives/edgar/data/1166003/000095012409000088/0000950124-09-000088-index.html,https://www.sec.gov/Archives/edgar/data/1166003/000095012310028925/0000950123-10-028925-index.html,https://www.sec.gov/Archives/edgar/data/1166003/000143774911001752/express_10k-123110.htm,https://www.sec.gov/Archives/edgar/data/1166003/000119312512090969/0001193125-12-090969-index.html,https://www.sec.gov/Archives/edgar/data/1166003/000119312513103438/0001193125-13-103438-index.html,https://www.sec.gov/Archives/edgar/data/1166003/000119312514067991/d660394d10k.htm,https://www.sec.gov/Archives/edgar/data/1166003/000162828015000923/0001628280-15-000923-index.html,https://www.sec.gov/Archives/edgar/data/1166003/000162828016011979/0001628280-16-011979-index.html,https://www.sec.gov/Archives/edgar/data/1166003/000162828017001912/0001628280-17-001912-index.html,https://www.sec.gov/Archives/edgar/data/1166003/000116600318000022/0001166003-18-000022-index.html,https://www.sec.gov/Archives/edgar/data/1166003/000116600319000021/0001166003-19-000021-index.html,https://www.sec.gov/Archives/edgar/data/1166003/000116600320000028/0001166003-20-000028-index.html,https://www.sec.gov/Archives/edgar/data/1166003/000116600321000023/0001166003-21-000023-index.htm,https://www.sec.gov/Archives/edgar/data/1166003/000116600322000024/0001166003-22-000024-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,3758,2029298,854000,386000,79000,800000,1107000,495000,561000,74007000,252293000,21524000,644100000,289800000,373400000,396900000,502000000,377000000,2054000000,260000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,3758,2029298,854000,386000,79000,800000,1107000,495000,561000,74007000,252293000,21524000,644100000,289800000,373400000,396900000,502000000,377000000,2054000000,260000000
34,Net Receivables,- -,3057832,4402657,7522000,4434000,5354000,5663000,12202000,17569000,25620000,23534000,63814000,135731000,559200000,2432700000,2444600000,2725300000,2596000000,2500000000,2886000000,2105000000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,48900000,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,295425,858744,2526000,903000,1515000,2190000,1515000,970000,1384000,1600000,4827000,14917000,29800000,185800000,255600000,465700000,590000000,465000000,430000000,312000000
37,Total Current Assets,- -,3357015,7290699,10902000,5723000,6948000,8653000,14824000,19034000,27565000,99141000,320934000,172172000,1233100000,2957200000,3073600000,3587900000,3688000000,3342000000,5370000000,2677000000
38,PP&E,- -,211063,3072010,4120000,2229000,2488000,2312000,3141000,2797000,2960000,2979000,13090000,56571000,221900000,2852200000,2537400000,2663700000,2605000000,4949000000,2661000000,2716000000
39,Goodwill,- -,- -,1550446,2634000,3567000,5527000,7737000,14915000,16959000,16959000,16959000,55947000,363448000,929300000,4610600000,4325800000,4563600000,4467000000,4450000000,4599000000,2479000000
40,Intangible Assets,- -,- -,- -,6196000,4629000,4225000,3950000,7631000,9175000,8546000,8053000,22473000,185179000,341500000,1876500000,1534700000,1435300000,1253000000,1092000000,974000000,580000000
41,Intangible Assets,- -,- -,1550446,8830000,8196000,9752000,11687000,22546000,26134000,25505000,25012000,78420000,548627000,1270800000,6487100000,5860500000,5998900000,5720000000,5542000000,5573000000,3059000000
42,Investments,- -,25611,104943,131000,439000,143000,104000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,1504000,2069000,377000,- -,- -,- -,- -,- -,72000,- -,113600000,2700000,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,963938,1082000,363000,209000,591000,1171000,1074000,642000,509000,764000,2799000,35400000,233100000,224200000,351100000,257000000,295000000,-2805000000,255000000
45,Total Non-Current Assets,- -,236674,5691337,14163000,12731000,14661000,15071000,26858000,30005000,29107000,28500000,92274000,608069000,1528100000,9686000000,8624800000,9013700000,8582000000,10786000000,5429000000,6030000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,3593689,12982036,25065000,18454000,21609000,23724000,41682000,49039000,56672000,127641000,413208000,780241000,2761200000,12643200000,11698400000,12601600000,12270000000,14128000000,10799000000,8707000000
48,Accounts Payable,- -,706407,1492896,2081000,924000,1034000,892000,6578000,6769000,8756000,8565000,22108000,43111000,252700000,1063700000,1056300000,1250700000,1258000000,1157000000,1255000000,1110000000
49,Short-Term Debt,- -,1709097,2175374,1663000,242000,117000,50000,1235000,7745000,1680000,1675000,491000,2028000,1800000,164800000,147500000,103700000,367000000,552000000,1821000000,228000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,153300000,172900000,176200000,172000000,163000000,220000000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2100000,62400000,47300000,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,218980,185107,3444000,3215000,3719000,3930000,2583000,3550000,4815000,5831000,26428000,54194000,124500000,1403500000,1480500000,1642700000,1688000000,1549000000,2077000000,1200000000
53,Total Current Liabilities,- -,2634484,3853377,7188000,4381000,4870000,4872000,10396000,18064000,15251000,16071000,49027000,99333000,381100000,2694400000,2731600000,2997100000,3313000000,3258000000,5153000000,2538000000
54,Long-Term Debt,- -,- -,- -,559000,2588000,1286000,34000,3720000,213000,4832000,454000,108956000,181641000,592100000,5272600000,4731500000,4417500000,3902000000,5182000000,1338000000,4266000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,450979,- -,- -,- -,- -,583000,1156000,2032000,2346000,6781000,15200000,74500000,933300000,572400000,418800000,444000000,495000000,- -,316000000
57,Other Non-Current Liabilities,- -,- -,351466,16000,199000,115000,616000,456000,1202000,544000,410000,3385000,28224000,58400000,682100000,625300000,758200000,641000000,2297000000,440000000,449000000
58,Total Non-Current Liabilities,- -,- -,802445,575000,2787000,1401000,650000,4759000,2571000,7408000,3210000,119122000,225065000,725000000,6888000000,5929200000,5594500000,4987000000,7974000000,1778000000,5031000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4792000000,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2244000000,2278000000,922000000
61,Total Liabilities,- -,2634484,4655822,7763000,7168000,6271000,5522000,15155000,20635000,22659000,19281000,168149000,324398000,1106100000,9582400000,8660800000,8591600000,8300000000,11232000000,8167000000,7569000000
62,Preferred Stock,- -,1188819,773896,- -,- -,- -,- -,- -,- -,- -,42794000,42794000,42737000,42200000,42000000,41600000,41200000,41000000,41000000,1000000,- -
63,Common Stock,- -,6753,17088,27000,26000,27000,27000,32000,32000,33000,8000,18000,30000,100000,100000,100000,100000,- -,- -,- -,- -
64,Retained Earnings,- -,-269214,108217,-3130000,-8945000,-5041000,-2870000,286000,1991000,6879000,-36948000,-60287000,-111789000,-219100000,-465000000,-392900000,-42600000,377000000,786000000,868000000,43000000
65,Other Comprehensive Income/Loss,- -,- -,- -,-1113000,-906000,-1410000,-1734000,-2220000,-2651000,-3290000,-3937000,-5323000,-11803000,-47300000,-72300000,-193700000,15700000,-154000000,-145000000,-158000000,-84000000
66,Other Total Stockholders Equity,- -,32847,7427013,21518000,21111000,21762000,22779000,28429000,29032000,30391000,106443000,267857000,536668000,1879200000,3212300000,3244900000,3590000000,3352000000,2102000000,1999000000,- -
67,Total Stockholders Equity,- -,959205,8326214,17302000,11286000,15338000,18202000,26527000,28404000,34013000,108360000,245059000,455843000,1655100000,2717100000,2700000000,3604400000,3575000000,2743000000,2709000000,1138000000
68,Total Liabilities And Stockholders Equity,- -,3593689,12982036,25065000,18454000,21609000,23724000,41682000,49039000,56672000,127641000,413208000,780241000,2761200000,12299500000,11360800000,12196000000,11875000000,13975000000,10876000000,8707000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,343700000,337600000,405600000,395000000,153000000,-77000000,- -
70,Total Liabilities & Equity,- -,3593689,12982036,25065000,18454000,21609000,23724000,41682000,49039000,56672000,127641000,413208000,780241000,2761200000,12643200000,11698400000,12601600000,12270000000,14128000000,10799000000,8707000000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1166003/000119312505065283/d10ksb.htm,https://www.sec.gov/Archives/edgar/data/1166003/000095012406001658/k03323e10ksb.htm,https://www.sec.gov/Archives/edgar/data/1166003/000095012407001822/0000950124-07-001822-index.html,https://www.sec.gov/Archives/edgar/data/1166003/000095012408001571/k25117e10vk.htm,https://www.sec.gov/Archives/edgar/data/1166003/000095012409000088/0000950124-09-000088-index.html,https://www.sec.gov/Archives/edgar/data/1166003/000095012310028925/0000950123-10-028925-index.html,https://www.sec.gov/Archives/edgar/data/1166003/000143774911001752/express_10k-123110.htm,https://www.sec.gov/Archives/edgar/data/1166003/000119312512090969/0001193125-12-090969-index.html,https://www.sec.gov/Archives/edgar/data/1166003/000119312513103438/0001193125-13-103438-index.html,https://www.sec.gov/Archives/edgar/data/1166003/000119312514067991/d660394d10k.htm,https://www.sec.gov/Archives/edgar/data/1166003/000162828015000923/0001628280-15-000923-index.html,https://www.sec.gov/Archives/edgar/data/1166003/000162828016011979/0001628280-16-011979-index.html,https://www.sec.gov/Archives/edgar/data/1166003/000162828017001912/0001628280-17-001912-index.html,https://www.sec.gov/Archives/edgar/data/1166003/000116600318000022/0001166003-18-000022-index.html,https://www.sec.gov/Archives/edgar/data/1166003/000116600319000021/0001166003-19-000021-index.html,https://www.sec.gov/Archives/edgar/data/1166003/000116600320000028/0001166003-20-000028-index.html,https://www.sec.gov/Archives/edgar/data/1166003/000116600321000023/0001166003-21-000023-index.htm,https://www.sec.gov/Archives/edgar/data/1166003/000116600322000024/0001166003-22-000024-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-431421,374115,203163,-3238000,-5815000,3904000,2171000,3156000,1705000,4888000,759000,-20339000,-48530000,-63600000,-191100000,69000000,340200000,422000000,419000000,117000000,336000000
74,Depreciation and Amortization,53335,101764,179171,1254000,1435000,1054000,-843000,1114000,1191000,1290000,1240000,2713000,20795000,98300000,364900000,643400000,658400000,716000000,739000000,766000000,476000000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-30000000,-91900000,-20900000,-157700000,45000000,46000000,-81000000,5000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,198000,172000,157000,1180000,4398000,4746000,7500000,27900000,54500000,79200000,49000000,67000000,59000000,37000000
77,Change in Working Capital,474238,722531,2714791,276678,-2372000,736000,1703000,647000,-3458000,11344000,70756000,188837000,-199068000,779161000,-589200000,79200000,248800000,-215800000,-291000000,133000000,-189000000
78,Accounts Receivable,- -,- -,- -,-502000,3118000,-1022000,-497000,-231000,-5459000,-6618000,1627000,-13755000,-36975000,-143900000,7800000,-153700000,-320100000,-13000000,-67000000,-382000000,-502000000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,-78000,-1157000,110000,-142000,250000,191000,1987000,-191000,-2585000,-8283000,53900000,-51300000,1700000,140100000,35000000,-120000000,69000000,240000000
81,Other Working Capital,- -,722531,3437322,3714000,1342000,2078000,3781000,4428000,970000,12314000,83070000,271907000,72839000,852000000,262800000,342000000,590800000,375000000,84000000,217000000,- -
82,Other Non-Cash Items,-1296302,-824295,-3188430,-1326678,8097000,-2057000,1012000,1933000,291000,-15922000,-67324000,-199909000,155755000,-812661000,570200000,-199800000,-370300000,85800000,-189000000,-109000000,56000000
83,Cash Provided by Operating Activities,-1200150,374115,-91305,-3034000,1345000,3637000,4043000,7048000,-99000,1757000,6611000,-24300000,-66302000,-21300000,90800000,625400000,798600000,1102000000,791000000,885000000,721000000
84,CAPEX,-375143,-42339,-857570,-1087000,-658000,-966000,-574000,-1109000,-186000,-811000,-754000,-6981000,-11585000,-44600000,-249000000,-483400000,-503800000,-551000000,-601000000,-92000000,-313000000
85,Acquisitions Net,- -,- -,-1500543,-7745000,-1602000,- -,-1960000,-10699000,-3350000,- -,-450000,-57686000,-458794000,-814000000,-3887000000,547700000,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,-72607,-26000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-9700000,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,69501,32500,- -,- -,- -,- -,39000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-296683,89414,-1880109,- -,946000,-1550000,202000,28000,62000,2000,13000,- -,125000,300000,60300000,77700000,79100000,151000000,440000000,169000000,36000000
89,Cash Used for Investing Activites,-602325,79575,-4310829,-8858000,-1314000,-2516000,-2293000,-11780000,-3474000,-809000,-1191000,-64667000,-470254000,-858300000,-4085400000,142000000,-424700000,-400000000,-161000000,-357000000,-277000000
90,Debt Repayment,- -,- -,- -,-1166000,-413000,-1438000,-160000,-1049000,-1249000,-6446000,-4382000,-4258000,- -,-205000000,-1215600000,-2370600000,-2418000000,-2799000000,-2802000000,-102000000,-3073000000
91,Common Stock Issued,100,- -,- -,11573000,-160000,- -,290000,- -,- -,- -,- -,136961000,239496000,733800000,1260000000,- -,287600000,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-107000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-536000000,-1347000000,-114000000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-375000,-3000000,-2972000,-2900000,-2800000,-5400000,-6600000,-8000000,-8000000,- -,- -
94,Other Financing Activites,1840155,1420169,6427674,310000,181000,10000,-1159000,6088000,4210000,5564000,72783000,137526000,69263000,976300000,3603300000,1695200000,1770600000,2723000000,3398000000,1352000000,839000000
95,Cash Used/Provided by Financing Activities,1840255,1420169,6427674,10717000,-499000,-1428000,-1029000,5039000,2961000,-882000,68026000,267229000,305787000,1502200000,3644900000,-680800000,-366400000,-620000000,-759000000,1136000000,-2234000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,24000,- -,- -,-4600000,-3000000,16000000,-17000000,2000000,14000000,-2000000
97,Net Change In Cash,37780,-35731,2025540,-1175000,-468000,-307000,721000,307000,-612000,66000,73446000,178286000,-230769000,622600000,-354300000,83600000,23500000,65000000,-127000000,1678000000,-1792000000
98,Cash at the End of Period,39489,3758,2029298,854000,386000,79000,800000,1107000,495000,561000,74007000,252293000,21524000,644100000,289800000,373400000,396900000,514000000,387000000,2065000000,273000000
99,Cash at the Beginning of Period,1709,39489,3758,2029000,854000,386000,79000,800000,1107000,495000,561000,74007000,252293000,21500000,644100000,289800000,373400000,449000000,514000000,387000000,2065000000
100,Free Cash Flow,-1575293,331776,-948875,-4121000,687000,2671000,3469000,5939000,-285000,946000,5857000,-31281000,-77887000,-65900000,-158200000,142000000,294800000,551000000,190000000,793000000,408000000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1166003/000119312505065283/d10ksb.htm,https://www.sec.gov/Archives/edgar/data/1166003/000095012406001658/k03323e10ksb.htm,https://www.sec.gov/Archives/edgar/data/1166003/000095012407001822/0000950124-07-001822-index.html,https://www.sec.gov/Archives/edgar/data/1166003/000095012408001571/k25117e10vk.htm,https://www.sec.gov/Archives/edgar/data/1166003/000095012409000088/0000950124-09-000088-index.html,https://www.sec.gov/Archives/edgar/data/1166003/000095012310028925/0000950123-10-028925-index.html,https://www.sec.gov/Archives/edgar/data/1166003/000143774911001752/express_10k-123110.htm,https://www.sec.gov/Archives/edgar/data/1166003/000119312512090969/0001193125-12-090969-index.html,https://www.sec.gov/Archives/edgar/data/1166003/000119312513103438/0001193125-13-103438-index.html,https://www.sec.gov/Archives/edgar/data/1166003/000119312514067991/d660394d10k.htm,https://www.sec.gov/Archives/edgar/data/1166003/000162828015000923/0001628280-15-000923-index.html,https://www.sec.gov/Archives/edgar/data/1166003/000162828016011979/0001628280-16-011979-index.html,https://www.sec.gov/Archives/edgar/data/1166003/000162828017001912/0001628280-17-001912-index.html,https://www.sec.gov/Archives/edgar/data/1166003/000116600318000022/0001166003-18-000022-index.html,https://www.sec.gov/Archives/edgar/data/1166003/000116600319000021/0001166003-19-000021-index.html,https://www.sec.gov/Archives/edgar/data/1166003/000116600320000028/0001166003-20-000028-index.html,https://www.sec.gov/Archives/edgar/data/1166003/000116600321000023/0001166003-21-000023-index.htm,https://www.sec.gov/Archives/edgar/data/1166003/000116600322000024/0001166003-22-000024-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,
