,https://roic.ai/company/PODD,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
71,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1145197/000095013508001892/0000950135-08-001892-index.htm,https://www.sec.gov/Archives/edgar/data/1145197/000095013509001769/0000950135-09-001769-index.htm,https://www.sec.gov/Archives/edgar/data/1145197/000095012310022584/0000950123-10-022584-index.htm,https://www.sec.gov/Archives/edgar/data/1145197/000095012311024185/0000950123-11-024185-index.htm,https://www.sec.gov/Archives/edgar/data/1145197/000119312512085240/0001193125-12-085240-index.htm,https://www.sec.gov/Archives/edgar/data/1145197/000119312513083670/0001193125-13-083670-index.htm,https://www.sec.gov/Archives/edgar/data/1145197/000114519714000013/0001145197-14-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1145197/000114519715000020/0001145197-15-000020-index.htm,https://www.sec.gov/Archives/edgar/data/1145197/000114519716000083/0001145197-16-000083-index.htm,https://www.sec.gov/Archives/edgar/data/1145197/000114519717000005/0001145197-17-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1145197/000114519718000004/0001145197-18-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1145197/000114519719000003/0001145197-19-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1145197/000114519720000004/0001145197-20-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1145197/000114519721000009/0001145197-21-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1145197/000114519722000012/0001145197-22-000012-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,-13821000,-21636000,-35950000,-53539000,-92791000,-79541000,-61159000,-57170000,-51867000,-44974000,-51500000,-73520000,-28879000,-26831000,3292000,11600000,6800000,16800000
74,Depreciation and Amortization,- -,- -,323000,1236000,2640000,4920000,6971000,5222000,5077000,8503000,11030000,11806000,12223000,15838000,13833000,13854000,15646000,27900000,55400000,57400000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,4202000,5064000,7734000,9920000,12683000,22519000,19178000,23617000,31941000,37521000,28700000,35900000,34400000
77,Change in Working Capital,- -,- -,357000,-16983000,-4383000,86938000,-16192000,62960000,-10984000,-19717000,-42140000,94174000,8076000,-38295000,188658000,136883000,-105517000,-19700000,-63400000,-263600000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,-6972000,-5196000,-3617000,-13513000,-4514000,-10069000,-9793000,12551000,-26322000,-22879000,-10900000,-15600000,-71300000
79,Inventory,- -,- -,- -,-864000,-2526000,-4600000,-8880000,5843000,-1343000,1879000,-3029000,5403000,-3635000,-722000,-24103000,1689000,-38826000,-30200000,-50500000,-154400000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2999000,10425000,525000,17986000,639000,27313000,21187000,36200000,7100000,-15600000
81,Other Working Capital,- -,- -,22151000,5168000,785000,87723000,71531000,134491000,123507000,103790000,61650000,155824000,163900000,125605000,314263000,451146000,345629000,2000000,- -,- -
82,Other Non-Cash Items,- -,- -,85000,17062000,5873000,-88691000,19401000,-42166000,26377000,35198000,43998000,-70341000,17602000,64247000,-181318000,-114640000,84957000,49900000,49300000,86900000
83,Cash Provided by Operating Activities,- -,- -,-13056000,-20321000,-31820000,-50372000,-82611000,-49323000,-35625000,-25452000,-29059000,3348000,8920000,-12552000,15911000,41207000,35899000,98400000,84000000,-68100000
84,CAPEX,- -,- -,-2708000,-5472000,-13137000,-10089000,-10047000,-3140000,-6549000,-11114000,-10991000,-7307000,-11486000,-10608000,-22115000,-77226000,-162354000,-170900000,-166500000,-122700000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,-38000000,- -,- -,- -,-5000000,6000000,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-177654000,-297965000,-191424000,-150600000,-37900000,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16045000,164394000,169274000,247900000,218400000,40000000
88,Other Investing Activites,- -,- -,- -,-550000,550000,- -,- -,- -,- -,145000,- -,- -,- -,285000,-286000,- -,- -,-170900000,-166500000,-122700000
89,Cash Used for Investing Activites,- -,- -,-2708000,-6022000,-12587000,-10089000,-10047000,-3140000,-6549000,-48969000,-10991000,-7307000,-11486000,-15323000,-178010000,-210797000,-184504000,-73600000,14000000,-82700000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,-27500000,-32968000,-88195000,- -,-2994000,-193379000,-5576000,-159146000,-98841000,-6699000,-663600000,- -,-483200000
91,Common Stock Issued,- -,- -,35446000,15000,49967000,124535000,1413000,94417000,48683000,4514000,4927000,102652000,11586000,7851000,4854000,15804000,15815000,50900000,477500000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,-11000,9989000,20011000,-2717000,53320000,56879000,11737000,138783000,-1539000,-3265000,185825000,-2646000,330859000,387584000,-17781000,686200000,128000000,523900000
95,Cash Used/Provided by Financing Activities,- -,- -,35435000,10004000,69978000,121818000,54733000,123796000,27452000,55102000,3388000,96393000,4032000,-371000,176567000,304547000,-8665000,73500000,605500000,40700000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-275000,34000,446000,-1401000,1500000,4800000,-5500000
97,Net Change In Cash,- -,- -,19671000,-16339000,25571000,61357000,-37925000,71333000,-14722000,-19319000,-36662000,92434000,1466000,-28521000,14502000,135403000,-158671000,99800000,708300000,-115600000
98,Cash at the End of Period,- -,- -,23999000,7660000,33231000,94588000,56663000,127996000,113274000,93955000,57293000,149727000,151193000,122672000,137174000,272577000,113906000,213700000,922000000,806400000
99,Cash at the Beginning of Period,- -,- -,4328000,23999000,7660000,33231000,94588000,56663000,127996000,113274000,93955000,57293000,149727000,151193000,122672000,137174000,272577000,113900000,213700000,922000000
100,Free Cash Flow,- -,- -,-15764000,-25793000,-44957000,-60461000,-92658000,-52463000,-42174000,-36566000,-40050000,-3959000,-2566000,-23160000,-6204000,-36019000,-126455000,-72500000,-82500000,-190800000
101,SEC Link,undefined,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1145197/000095013508001892/0000950135-08-001892-index.htm,https://www.sec.gov/Archives/edgar/data/1145197/000095013509001769/0000950135-09-001769-index.htm,https://www.sec.gov/Archives/edgar/data/1145197/000095012310022584/0000950123-10-022584-index.htm,https://www.sec.gov/Archives/edgar/data/1145197/000095012311024185/0000950123-11-024185-index.htm,https://www.sec.gov/Archives/edgar/data/1145197/000119312512085240/0001193125-12-085240-index.htm,https://www.sec.gov/Archives/edgar/data/1145197/000119312513083670/0001193125-13-083670-index.htm,https://www.sec.gov/Archives/edgar/data/1145197/000114519714000013/0001145197-14-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1145197/000114519715000020/0001145197-15-000020-index.htm,https://www.sec.gov/Archives/edgar/data/1145197/000114519716000083/0001145197-16-000083-index.htm,https://www.sec.gov/Archives/edgar/data/1145197/000114519717000005/0001145197-17-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1145197/000114519718000004/0001145197-18-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1145197/000114519719000003/0001145197-19-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1145197/000114519720000004/0001145197-20-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1145197/000114519721000009/0001145197-21-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1145197/000114519722000012/0001145197-22-000012-index.htm
102,false,,,,,,,,,,,,,,,,,,,,
