,https://roic.ai/company/ALL,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
91,Common Stock Issued,- -,2287000000,- -,784000000,750000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,239000000,109000000,33000000,3000000,28000000,19000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,-60000000,-1086000000,-1358000000,-1489000000,-2173000000,-1783000000,-1271000000,-446000000,-153000000,-1373000000,-2484000000,-2009000000,-3713000000,-1323000000,-4000000,-152000000,-953000000,-913000000,-1834000000,-2301000000,-2808000000,-1337000000,-1495000000,-2688000000,-2867000000,-2025000000,-3120000000
93,Dividends Paid,-202000000,-362000000,-324000000,-350000000,-378000000,-323000000,-443000000,-471000000,-502000000,-535000000,-582000000,-633000000,-756000000,-830000000,-873000000,-901000000,-889000000,-542000000,-430000000,-435000000,-534000000,-358000000,-564000000,-599000000,-602000000,-641000000,-748000000,-787000000,-776000000,-990000000
94,Other Financing Activites,3805000000,1249000000,920000000,935000000,1090000000,-37000000,746000000,2985000000,3297000000,3919000000,6150000000,4795000000,7451000000,3964000000,488000000,-825000000,-5525000000,-6249000000,-5515000000,-6500000000,-2806000000,-1134000000,-1004000000,-1093000000,430000000,-787000000,262000000,1488000000,790000000,2314000000
95,Cash Used/Provided by Financing Activities,1837000000,1374000000,596000000,1307000000,373000000,-1718000000,-1486000000,341000000,1012000000,2110000000,4784000000,3677000000,5303000000,-555000000,-3006000000,-5339000000,-7705000000,-7544000000,-6071000000,-7876000000,-4605000000,-5953000000,-4875000000,-4520000000,-1526000000,-2923000000,-3574000000,-2483000000,-2011000000,-4496000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-92000000,-45000000,-13000000,34000000,26000000,104000000,38000000,-4000000,-32000000,41000000,199000000,-96000000,48000000,-101000000,130000000,-21000000,-7000000,197000000,-50000000,214000000,30000000,-131000000,-18000000,-162000000,-59000000,181000000,-118000000,-161000000,39000000,-4496000000
98,Cash at the End of Period,125000000,81000000,68000000,90000000,116000000,220000000,258000000,254000000,222000000,263000000,462000000,366000000,414000000,313000000,443000000,422000000,415000000,612000000,562000000,776000000,806000000,675000000,657000000,495000000,436000000,617000000,499000000,338000000,377000000,1000000
99,Cash at the Beginning of Period,217000000,126000000,81000000,56000000,90000000,116000000,220000000,258000000,254000000,222000000,263000000,462000000,366000000,414000000,313000000,443000000,422000000,415000000,612000000,562000000,776000000,806000000,675000000,657000000,495000000,436000000,617000000,499000000,338000000,- -
100,Free Cash Flow,693000000,2549000000,1938000000,2622000000,2910000000,3192000000,2703000000,2055000000,1431000000,2105000000,4184000000,5522000000,5268000000,5409000000,4894000000,5159000000,3619000000,4112000000,3527000000,1683000000,2769000000,4035000000,2948000000,3313000000,3680000000,4015000000,4898000000,4696000000,5183000000,4968000000
101,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/899051/000089905198000014/0000899051-98-000014-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/899051/000091205701008238/a2042391z10-k405.htm,https://www.sec.gov/Archives/edgar/data/899051/000091205702011595/a2073498z10-k.htm,https://www.sec.gov/Archives/edgar/data/899051/000104746903010828/a2104961z10-k.htm,https://www.sec.gov/Archives/edgar/data/899051/000104746904007369/0001047469-04-007369-index.htm,- -,https://www.sec.gov/Archives/edgar/data/899051/000104746906002356/a2167600z10-k.htm,https://www.sec.gov/Archives/edgar/data/899051/000104746907001347/a2175845z10-k.htm,https://www.sec.gov/Archives/edgar/data/899051/000104746908001846/a2182971z10-k.htm,https://www.sec.gov/Archives/edgar/data/899051/000104746909001878/0001047469-09-001878-index.html,https://www.sec.gov/Archives/edgar/data/899051/000104746910001355/0001047469-10-001355-index.html,https://www.sec.gov/Archives/edgar/data/899051/000104746911001286/a2202090z10-k.htm,https://www.sec.gov/Archives/edgar/data/899051/000104746912001250/0001047469-12-001250-index.html,https://www.sec.gov/Archives/edgar/data/899051/000104746913001288/0001047469-13-001288-index.html,https://www.sec.gov/Archives/edgar/data/899051/000104746914001083/a2218256z10-k.htm,https://www.sec.gov/Archives/edgar/data/899051/000104746915000935/a2223004z10-k.htm,https://www.sec.gov/Archives/edgar/data/899051/000089905116000040/0000899051-16-000040-index.html,https://www.sec.gov/Archives/edgar/data/899051/000089905117000005/0000899051-17-000005-index.html,https://www.sec.gov/Archives/edgar/data/899051/000089905118000007/0000899051-18-000007-index.html,https://www.sec.gov/Archives/edgar/data/899051/000089905119000007/0000899051-19-000007-index.html,https://www.sec.gov/Archives/edgar/data/899051/000089905120000013/0000899051-20-000013-index.html,https://www.sec.gov/Archives/edgar/data/899051/000089905121000011/0000899051-21-000011-index.htm,https://www.sec.gov/Archives/edgar/data/899051/000089905122000015/0000899051-22-000015-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
