,https://roic.ai/company/LSTR,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
17,Operating Income,31400000,109900000,134200000,39897000,47170000,61454000,81714000,82613000,76386000,83681000,84795000,119419000,199482000,191219000,184693000,186841000,113742000,139971000,183245000,205853000,176590000,224372000,241706000,223251000,243968000,331735000,298904000,252950000,505668000
18,Operating Income ratio,0.0402,0.1116,0.1114,0.0353,0.0387,0.0478,0.0588,0.0581,0.0547,0.0555,0.0531,0.0591,0.0792,0.0759,0.0741,0.0706,0.0566,0.0583,0.0692,0.0743,0.0662,0.0704,0.0727,0.0705,0.0669,0.0718,0.0731,0.0612,0.0773
19,Total Other Income Expenses (Gains),-6800000,-68300000,-91700000,-6597000,-3570000,-3454000,-4514000,-9113000,-6786000,-4281000,-3195000,-8919000,-4744000,-6819000,-6693000,-7341000,-4042000,-3671000,-3112000,-8253000,-3190000,-3172000,-2949000,-3794000,-3166000,-3354000,-3141000,-3953000,-3976000
20,Income Before Tax,24600000,41600000,42500000,33300000,43600000,58000000,77200000,73500000,69600000,79400000,81600000,110500000,194738000,184400000,178000000,179500000,109700000,136300000,180133000,197600000,173400000,221200000,238757000,219457000,240802000,328381000,295763000,248997000,501692000
21,Income Before Tax Ratio,0.0315,0.0423,0.0353,0.0295,0.0358,0.0451,0.0555,0.0517,0.0498,0.0526,0.0511,0.0547,0.0773,0.0732,0.0714,0.0678,0.0546,0.0568,0.0680,0.0713,0.0650,0.0694,0.0719,0.0693,0.0660,0.0711,0.0723,0.0602,0.0767
22,Income Tax expense (Gain),11000000,17200000,17500000,13700000,18200000,23500000,31300000,28300000,26800000,30200000,30900000,42700000,74782000,71300000,68400000,68600000,39800000,49800000,67188000,72968000,64457000,82386000,91068000,82107000,63806000,73168000,68060000,56891000,120168000
23,Net Income,11800000,24400000,25000000,18900000,24700000,11900000,45900000,45200000,42800000,49200000,50700000,67800000,119956000,113100000,109700000,110900000,70400000,87500000,113007000,129800000,146000000,138800000,147689000,137350000,177088000,255281000,227720000,192106000,381524000
24,Net Income ratio,0.0151,0.0248,0.0208,0.0167,0.0203,0.0093,0.0330,0.0318,0.0307,0.0326,0.0317,0.0335,0.0476,0.0449,0.0440,0.0419,0.0350,0.0364,0.0427,0.0468,0.0548,0.0436,0.0445,0.0434,0.0485,0.0553,0.0557,0.0465,0.0584
25,EPS,0.12,0.24,0.24,0.18,0.25,0.14,0.57,0.64,0.64,0.76,0.82,1.19,2.03,1.95,2.01,2.11,1.38,1.77,2.38,2.78,3.17,3.09,3.38,3.26,4.22,6.19,5.72,4.98,10.12
26,EPS Diluted,0.12,0.24,0.24,0.18,0.24,0.13,0.57,0.63,0.63,0.73,0.80,1.16,1.98,1.93,1.99,2.10,1.37,1.77,2.38,2.77,3.16,3.07,3.37,3.25,4.21,6.18,5.72,4.98,9.98
27,Weighted Average Shares Outstanding,95353535,102736842,102564103,102280000,100328000,88176000,79856000,70248000,66688000,64564000,61458000,60154000,59199000,57854000,54681000,52503000,51095000,49523000,47444000,46698000,46039000,44956000,43664000,42112000,41938000,41273000,39786000,38602000,37693740
28,Weighted Average Shares Outstanding Diluted,97319588,103280423,103092784,103021583,100640000,88984000,80816000,71848000,68368000,67068000,63840000,61800000,60492000,58654000,55156000,52854000,51280000,49580000,47524000,46877000,46210000,45169000,43813000,42236000,42024000,41310000,39786000,38602000,38235000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/853816/000095014404001973/g87318e10vk.htm,https://www.sec.gov/Archives/edgar/data/853816/000095014405001897/g93361e10vk.htm,https://www.sec.gov/Archives/edgar/data/853816/000095014406002093/0000950144-06-002093-index.html,https://www.sec.gov/Archives/edgar/data/853816/000095014407001706/g05658e10vk.htm,https://www.sec.gov/Archives/edgar/data/853816/000095014408001392/g11727e10vk.htm,https://www.sec.gov/Archives/edgar/data/853816/000095014409001583/0000950144-09-001583-index.html,https://www.sec.gov/Archives/edgar/data/853816/000095012310015813/0000950123-10-015813-index.html,https://www.sec.gov/Archives/edgar/data/853816/000095012311016941/g25406e10vk.htm,https://www.sec.gov/Archives/edgar/data/853816/000119312512077747/0001193125-12-077747-index.html,https://www.sec.gov/Archives/edgar/data/853816/000119312513069441/0001193125-13-069441-index.html,https://www.sec.gov/Archives/edgar/data/853816/000119312514062590/d665240d10k.htm,https://www.sec.gov/Archives/edgar/data/853816/000119312515056671/d836695d10k.htm,https://www.sec.gov/Archives/edgar/data/853816/000119312516469941/0001193125-16-469941-index.html,https://www.sec.gov/Archives/edgar/data/853816/000119312517056249/0001193125-17-056249-index.html,https://www.sec.gov/Archives/edgar/data/853816/000119312518055528/0001193125-18-055528-index.html,https://www.sec.gov/Archives/edgar/data/853816/000119312519048217/0001193125-19-048217-index.html,https://www.sec.gov/Archives/edgar/data/853816/000119312520044766/0001193125-20-044766-index.html,https://www.sec.gov/Archives/edgar/data/853816/000119312521052225/0001193125-21-052225-index.htm,https://www.sec.gov/Archives/edgar/data/853816/000119312522046673/0001193125-22-046673-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,4200000,18000000,26700000,23700000,32900000,47900000,65400000,42600000,61700000,29398000,91500000,60800000,98900000,85700000,44700000,80900000,74300000,180300000,163900000,114520000,178897000,242416000,199736000,319515000,249354000,215522000
32,Short-Term Investments,- -,- -,- -,- -,3000000,- -,1000000,1500000,3000000,3100000,30900000,21900000,20693000,21500000,22900000,23500000,24300000,23300000,27944000,35500000,34900000,37000000,48823000,66560000,48928000,40058000,32901000,41375000,35778000
33,Cash and Short-Term Investments,- -,- -,- -,4200000,21000000,26700000,24700000,34400000,50900000,68500000,73500000,83600000,50091000,113000000,83700000,122400000,110000000,68000000,108844000,109800000,215200000,200900000,163343000,245457000,291344000,239794000,352416000,290729000,251300000
34,Net Receivables,- -,- -,- -,187600000,189400000,186500000,221300000,208500000,199000000,202700000,232200000,352700000,545658000,333200000,321400000,325100000,297000000,331300000,421640000,464100000,452600000,507800000,481171000,481669000,655465000,715348000,624102000,898926000,1255438000
35,Inventory,- -,- -,- -,1800000,900000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,7300000,6900000,5400000,6300000,6100000,4000000,3400000,15000000,13500000,18052000,25200000,28600000,27900000,19600000,21600000,21308000,18000000,14700000,23600000,11604000,10281000,14394000,16287000,21370000,18520000,16162000
37,Total Current Assets,- -,- -,- -,200900000,218200000,218600000,252300000,249000000,253900000,274600000,320700000,449800000,613801000,471400000,433700000,475400000,426600000,420900000,551792000,591900000,682500000,732300000,656118000,737407000,961203000,971429000,997888000,1208175000,1522900000
38,PP&E,- -,- -,- -,105600000,81300000,47000000,63800000,76000000,68500000,76800000,67600000,76800000,89131000,111000000,132400000,124200000,116700000,132600000,142146000,159000000,177300000,202200000,225927000,272843000,276011000,284032000,288600000,296996000,317386000
39,Goodwill,- -,- -,- -,55100000,53300000,34900000,33700000,32500000,31100000,31100000,31100000,31100000,31134000,31100000,31100000,31100000,57500000,57500000,57470000,57500000,31100000,31100000,31134000,31134000,39065000,38232000,38508000,40949000,40768000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,55100000,53300000,34900000,33700000,32500000,31100000,31100000,31100000,31100000,31134000,31100000,31100000,31100000,57500000,57500000,57470000,57500000,31100000,31100000,31134000,31134000,39065000,38232000,38508000,40949000,40768000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,2200000,- -,- -,- -,1700000,7200000,13500000,15900000,- -,19400000,19400000,23800000,23000000,23700000,- -,38600000,42400000,47500000,52474000,- -,36737000,40320000,47516000,- -,- -
44,Other Non-Current Assets,- -,- -,- -,9200000,2200000,13200000,15600000,12900000,9500000,11000000,5600000,10900000,28694000,13800000,12400000,9000000,25000000,49200000,57041000,32400000,37400000,31100000,25865000,55207000,39444000,46551000,55199000,107679000,164411000
45,Total Non-Current Assets,- -,- -,- -,169900000,139000000,95100000,113100000,121400000,110800000,126100000,117800000,134700000,148959000,175300000,195300000,188100000,222200000,263000000,256657000,287500000,288200000,311900000,335400000,359184000,391257000,409135000,429823000,445624000,522565000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,370800000,357200000,313700000,365400000,370400000,364700000,400700000,438500000,584500000,762760000,646700000,629000000,663500000,648800000,683900000,808449000,879400000,970700000,1044200000,991518000,1096591000,1352460000,1380564000,1427711000,1653799000,2045465000
48,Accounts Payable,- -,- -,- -,39900000,50400000,50600000,67300000,63000000,55800000,60300000,71700000,120200000,164509000,122300000,117100000,105900000,121000000,137300000,163307000,189000000,157800000,220100000,223709000,219409000,285132000,314134000,271996000,380505000,604130000
49,Short-Term Debt,- -,- -,- -,13500000,12500000,14700000,19500000,17500000,13000000,28668000,29957000,32344000,41951000,44165000,48924000,56758000,53504000,47049000,43117000,52663000,55347000,69693000,78108000,81298000,84293000,98900000,96510000,110163000,153039000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14865000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14936000,13503000,- -,25142000,28554000,27871000,19565000,21652000,- -,18067000,14592000,23603000,18156000,- -,36737000,40320000,49551000,- -,- -
52,Other Current Liabilities,- -,- -,- -,76900000,76300000,77600000,83900000,73800000,63300000,65032000,56607000,74053000,93036000,58593000,55022000,46071000,64531000,72299000,124689000,84570000,147961000,97104000,49564000,79604000,142481000,82464000,134847000,315469000,252814000
53,Total Current Liabilities,- -,- -,- -,130300000,139200000,142900000,170700000,154300000,132100000,154000000,173200000,240100000,299496000,250200000,249600000,236600000,258600000,278300000,331113000,344300000,375700000,410500000,369537000,380311000,548643000,535818000,552904000,806137000,1009983000
54,Long-Term Debt,- -,- -,- -,67200000,36200000,29700000,60500000,84900000,91900000,65200000,82000000,83300000,154851000,110600000,141600000,111800000,68300000,99400000,115130000,95100000,73900000,76300000,81793000,93257000,83062000,84864000,70212000,65359000,75243000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17938000,- -,- -,- -,- -,- -,34135000,38607000,42446000,47474000,59026000,53583000,36737000,40320000,49551000,51601000,48720000
57,Other Non-Current Liabilities,- -,- -,- -,25700000,30100000,29200000,27400000,23300000,23200000,32500000,40700000,48300000,37840000,55600000,57000000,62000000,53900000,54400000,27494000,21993000,24154000,21726000,14925000,26883000,33346000,32738000,33575000,38867000,49509000
58,Total Non-Current Liabilities,- -,- -,- -,92900000,66300000,58900000,87900000,108200000,115100000,97700000,122700000,131600000,210629000,166200000,198600000,173800000,122200000,153800000,176759000,155700000,140500000,145500000,155744000,173723000,153145000,157922000,153338000,155827000,173472000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,- -,- -,223200000,205500000,201800000,258600000,262500000,247200000,251700000,295900000,371700000,510125000,416400000,448200000,410400000,380800000,432100000,507872000,500000000,516200000,556000000,525281000,554034000,701788000,693740000,706242000,961964000,1183455000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,100000,100000,100000,100000,100000,100000,200000,300000,600000,642000,700000,700000,700000,700000,700000,666000,700000,700000,700000,674000,676000,677000,679000,681000,682000,682000
64,Retained Earnings,- -,- -,- -,87700000,112300000,124200000,170200000,215400000,258200000,173800000,224400000,295900000,412970000,499300000,601500000,704300000,766000000,844100000,947156000,1043000000,1173000000,1255400000,1389975000,1512993000,1611158000,1841279000,1962161000,2046238000,2317184000
65,Other Comprehensive Income/Loss,- -,- -,- -,-50200000,-50300000,-29600000,-34300000,-37500000,-44500000,-52800000,182000,47000,-211000,-7000,57000,-561000,498000,881000,727000,1370000,-12000,-1185000,-3488000,-3089000,-3162000,-5875000,-2212000,-1999000,-5403000
66,Other Total Stockholders Equity,- -,- -,- -,110000000,89600000,17100000,- -,- -,- -,27893000,-82367000,-83708000,-160766000,-269719000,-421471000,-451303000,-499182000,-593917000,-647972000,-665616000,-719207000,-766654000,-920924000,-968023000,-958001000,-1149259000,-1239161000,-1353086000,- -
67,Total Stockholders Equity,- -,- -,- -,147600000,151700000,111800000,106900000,107900000,117400000,149093000,142515000,212839000,252635000,230274000,180786000,253136000,268016000,251764000,300577000,379454000,454481000,488261000,466237000,542557000,650672000,686824000,721469000,691835000,862010000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,370800000,357200000,313600000,365500000,370400000,364600000,400793000,438415000,584539000,762760000,646674000,628986000,663536000,648816000,683864000,808449000,879454000,970681000,1044261000,991518000,1096591000,1352460000,1380564000,1427711000,1653799000,2045465000
69,Minority Interest,- -,- -,- -,- -,- -,100000,-100000,- -,100000,-93000,85000,-39000,- -,26000,14000,-36000,-16000,36000,- -,-54000,19000,-61000,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,370800000,357200000,313700000,365400000,370400000,364700000,400700000,438500000,584500000,762760000,646700000,629000000,663500000,648800000,683900000,808449000,879400000,970700000,1044200000,991518000,1096591000,1352460000,1380564000,1427711000,1653799000,2045465000
71,SEC Link,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/853816/000095014404001973/g87318e10vk.htm,https://www.sec.gov/Archives/edgar/data/853816/000095014405001897/g93361e10vk.htm,https://www.sec.gov/Archives/edgar/data/853816/000095014406002093/0000950144-06-002093-index.html,https://www.sec.gov/Archives/edgar/data/853816/000095014407001706/g05658e10vk.htm,https://www.sec.gov/Archives/edgar/data/853816/000095014408001392/g11727e10vk.htm,https://www.sec.gov/Archives/edgar/data/853816/000095014409001583/0000950144-09-001583-index.html,https://www.sec.gov/Archives/edgar/data/853816/000095012310015813/0000950123-10-015813-index.html,https://www.sec.gov/Archives/edgar/data/853816/000095012311016941/g25406e10vk.htm,https://www.sec.gov/Archives/edgar/data/853816/000119312512077747/0001193125-12-077747-index.html,https://www.sec.gov/Archives/edgar/data/853816/000119312513069441/0001193125-13-069441-index.html,https://www.sec.gov/Archives/edgar/data/853816/000119312514062590/d665240d10k.htm,https://www.sec.gov/Archives/edgar/data/853816/000119312515056671/d836695d10k.htm,https://www.sec.gov/Archives/edgar/data/853816/000119312516469941/0001193125-16-469941-index.html,https://www.sec.gov/Archives/edgar/data/853816/000119312517056249/0001193125-17-056249-index.html,https://www.sec.gov/Archives/edgar/data/853816/000119312518055528/0001193125-18-055528-index.html,https://www.sec.gov/Archives/edgar/data/853816/000119312519048217/0001193125-19-048217-index.html,https://www.sec.gov/Archives/edgar/data/853816/000119312520044766/0001193125-20-044766-index.html,https://www.sec.gov/Archives/edgar/data/853816/000119312521052225/0001193125-21-052225-index.htm,https://www.sec.gov/Archives/edgar/data/853816/000119312522046673/0001193125-22-046673-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,11800000,24400000,25000000,18900000,24700000,11900000,45900000,45200000,42800000,49200000,50700000,67800000,119956000,113100000,109700000,110900000,70400000,87500000,113007000,129800000,146000000,138800000,147689000,137350000,177088000,255281000,227720000,192106000,381524000
74,Depreciation and Amortization,-16400000,-13900000,-20800000,21878000,18783000,8892000,10482000,11787000,12327000,11520000,12736000,13959000,15920000,16796000,19088000,20960000,23528000,24804000,25814000,27456000,27667000,27575000,29102000,35796000,40560000,43570000,44468000,45855000,49609000
75,Deferred Income Tax,-300000,-1500000,-400000,355000,6620000,-423000,1788000,3911000,1776000,5513000,-2899000,3967000,-1255000,3297000,521000,3873000,2419000,525000,10071000,4261000,4700000,5434000,6792000,6328000,-17031000,2115000,4767000,1130000,-3790000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6636000,4968000,4769000,5012000,6149000,4911000,6797000,6925000,2747000,7721000,18256000,4236000,4639000,27537000
77,Change in Working Capital,-14300000,- -,70600000,8400000,-3300000,5900000,13100000,27100000,-1200000,26900000,62200000,104605000,-93105000,-37100000,54700000,-70800000,-25400000,78079000,26921000,59200000,15000000,-35219000,70515000,55464000,23051000,9373000,-42946000,110879000,-182479000
78,Accounts Receivable,-26300000,-29200000,-14400000,-28000000,-5800000,-7200000,-37500000,8230000,1382000,-11221000,-34637000,-126718000,-198894000,207128000,7653000,-10657000,32780000,-38206000,-98151000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,-2200000,-2600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,4200000,5700000,-2900000,2500000,10500000,2500000,16700000,-4320000,-7189000,4484000,11416000,48484000,44312000,-42196000,-5191000,-11240000,-1634000,16267000,26010000,25674000,8881000,62281000,3632000,-9598000,68859000,22527000,-42138000,108090000,224125000
81,Other Working Capital,- -,- -,70600000,79000000,75700000,81600000,94700000,121800000,120600000,147500000,209700000,314305000,221200000,184100000,238800000,168000000,142600000,220679000,247600000,306800000,321800000,286581000,357096000,412560000,435611000,444984000,402038000,512917000,- -
82,Other Non-Cash Items,35300000,27400000,-54400000,-24539000,23628000,27094000,-27878000,-33951000,-5909000,-8820000,-69341000,-140587000,-34987000,196075000,-43401000,48120000,69049000,-86919000,-62791000,-101282000,-36265000,-41518000,-45001000,-47443000,-92426000,-30694000,69595000,-143892000,4339000
83,Cash Provided by Operating Activities,16100000,36400000,20000000,24994000,70431000,53363000,43392000,54047000,49794000,84313000,53396000,49744000,6529000,292168000,140608000,119689000,144964000,108758000,118034000,125584000,162013000,101869000,216022000,190242000,138963000,297901000,307840000,210717000,276740000
84,CAPEX,-6700000,-7500000,-41200000,-12853000,-9794000,-7185000,-12716000,-7305000,-5443000,-4421000,-5557000,-6377000,-3857000,-4173000,-6514000,-8289000,-2715000,-27505000,-4337000,-7072000,-6373000,-10539000,-4804000,-22645000,-15586000,-9747000,-19416000,-30626000,-23261000
85,Acquisitions Net,- -,- -,- -,- -,- -,40435000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-14888000,- -,- -,- -,74505000,- -,- -,- -,-8460000,- -,- -,-2766000,- -
86,Purchases of Investments,- -,- -,- -,- -,-4799000,- -,-5005000,-1435000,-496000,-8889000,-31896000,-12606000,-8197000,-45701000,-48266000,-6921000,-49965000,-65818000,-58413000,-56897000,-50613000,-36473000,-44238000,-43529000,-58504000,-54041000,-65922000,-25550000,-84992000
87,Sales/Maturities of Investments,- -,- -,- -,- -,1787000,3012000,- -,1060000,1484000,2500000,4219000,12467000,4977000,42334000,47496000,13801000,15932000,40917000,67174000,33028000,38777000,34701000,38684000,41795000,56442000,51576000,62791000,22763000,31938000
88,Other Investing Activites,1600000,2500000,7100000,12517000,17696000,2716000,2132000,1958000,906000,387000,1612000,971000,4492000,2620000,3708000,-7741000,28865000,1686000,4385000,9730000,9543000,7465000,1685000,10212000,4032000,4018000,3991000,7760000,2971000
89,Cash Used for Investing Activites,-5100000,-5000000,-34100000,-336000,4890000,38978000,-15589000,-5722000,-3549000,-10423000,-31622000,-5545000,-2585000,-4920000,-3576000,-9150000,-22771000,-50720000,8809000,-21211000,65839000,-4846000,-8673000,-14167000,-22076000,-8194000,-18556000,-28419000,-73344000
90,Debt Repayment,-69500000,-29000000,-58400000,-80361000,-80950000,-23040000,-32287000,-48078000,-268247000,-40884000,-65882000,-159329000,-67629000,-88687000,-116614000,-120110000,-113963000,-26273000,-33313000,-121278000,-61774000,-37416000,-36520000,-47492000,-46751000,-43283000,-46096000,-43703000,-37644000
91,Common Stock Issued,35900000,- -,- -,236000,429000,1489000,483000,143000,3161000,7334000,11189000,16151000,9639000,10580000,12862000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,-1700000,- -,-20980000,-53229000,-51384000,-46185000,-37199000,-26306000,-73844000,-27001000,-95600000,-156492000,-176590000,-51576000,-55757000,-102736000,-50450000,-25826000,-59496000,-56393000,-161152000,-50516000,- -,-208087000,-88578000,-115962000,-122722000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2922000,-6361000,-7389000,-8136000,-8686000,-9422000,-9983000,-33981000,- -,-27606000,-57882000,-14332000,-15938000,-88918000,-27891000,-109504000,-111961000
94,Other Financing Activites,25400000,300000,59900000,56239000,39987000,17598000,52425000,55000000,271000000,3527000,83956000,145024000,120282000,15805000,119958000,107776000,42481000,39198000,3268000,69853000,154000,9068000,885000,266000,8293000,9609000,-8000000,17137000,39380000
95,Cash Used/Provided by Financing Activities,-8200000,-28700000,-200000,-23886000,-61514000,-57182000,-30763000,-39120000,-31285000,-56329000,-44581000,-25155000,-36230000,-225155000,-167773000,-72046000,-135925000,-99233000,-90478000,-111232000,-121116000,-112347000,-254669000,-112074000,-54396000,-330679000,-170565000,-252032000,-232947000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-339000,547000,182000,-171000,243000,-718000,-1034000,-2104000,376000,1028000,-1708000,1060000,-427000,-232000
97,Net Change In Cash,-8200000,2700000,-14400000,772000,13807000,8687000,-2960000,9205000,14960000,17561000,-22807000,19044000,-32286000,62093000,-30741000,38154000,-13185000,-41013000,36194000,-6616000,106018000,-16358000,-49424000,64377000,63519000,-42680000,119779000,-70161000,-29783000
98,Cash at the End of Period,- -,17800000,3400000,4187000,17994000,26681000,23721000,32926000,47886000,65447000,42640000,61684000,29398000,91491000,60750000,98904000,85719000,44706000,80900000,74284000,180302000,163944000,114520000,178897000,242416000,199736000,319515000,249354000,219571000
