,https://roic.ai/company/JWN,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
10,Operating Expenses,364200000,455400000,527600000,643600000,740100000,833400000,927500000,1004900000,1044100000,1134100000,1255100000,1373700000,1482600000,1582500000,1678300000,1938998000,1722635000,1813968000,1943715000,2021000000,2101000000,2297000000,2326000000,2377000000,2465000000,2812000000,3036000000,3369000000,3452000000,3777000000,4168000000,4512000000,4662000000,4868000000,4808000000,4162000000,4953000000
11,COGS and Expenses,1220600000,1504300000,1778400000,2147100000,2498600000,2748000000,3000900000,3241200000,3409900000,3622900000,3927100000,4299600000,4618600000,4750300000,4850800000,5396564000,5488494000,5785340000,6157670000,6580000000,6989000000,7651000000,7852000000,7794000000,7793000000,8709000000,9628000000,10801000000,11189000000,12183000000,13336000000,13952000000,14552000000,15023000000,14740000000,11762000000,14297000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3000000,6000000,2000000,2000000,1000000,1000000,- -,1000000,5000000,15000000,10000000,3000000,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,148000000,133000000,132000000,162000000,162000000,139000000,125000000,122000000,141000000,119000000,112000000,184000000,-246000000
14,Depreciation and Amortization,37400000,46700000,50100000,60600000,70900000,85600000,96000000,102800000,103500000,110800000,134300000,156100000,159700000,177200000,187300000,191950000,209181000,211752000,222971000,233391000,242978000,248227000,233000000,281000000,271000000,327000000,371000000,429000000,454000000,508000000,576000000,645000000,666000000,669000000,854000000,843000000,615000000
15,EBITDA,124800000,186900000,212800000,259000000,250300000,263900000,313200000,324900000,334400000,446400000,406600000,399600000,466900000,514900000,519400000,358968000,413669000,394017000,621112000,372560000,460092000,498573000,490000000,929000000,605000000,1451000000,1622000000,1776000000,1805000000,1832000000,1677000000,1451000000,1597000000,1521000000,1648000000,-201000000,615000000
16,EBITDA ratio,0.0959,0.1147,0.1108,0.1113,0.0937,0.0912,0.0985,0.0949,0.0932,0.1146,0.0988,0.0897,0.0962,0.1024,0.1014,0.0649,0.0734,0.0659,0.0957,0.0522,0.0596,0.0582,0.0555,0.1084,0.0701,0.1496,0.1491,0.1462,0.1439,0.1356,0.1162,0.0983,0.1032,0.0959,0.1062,-0.0188,0.0416
17,Operating Income,81300000,125600000,141800000,180800000,172500000,145900000,178900000,180800000,180000000,271600000,186400000,153500000,233000000,277600000,273400000,131973000,145636000,189736000,334003000,552000000,734000000,910000000,976000000,779000000,834000000,991000000,1249000000,1347000000,1351000000,1323000000,1101000000,805000000,926000000,837000000,784000000,-1047000000,492000000
18,Operating Income ratio,0.0624,0.0771,0.0738,0.0777,0.0646,0.0504,0.0563,0.0528,0.0501,0.0697,0.0453,0.0345,0.0480,0.0552,0.0534,0.0239,0.0258,0.0318,0.0515,0.0774,0.0950,0.1063,0.1106,0.0909,0.0967,0.1022,0.1148,0.1109,0.1077,0.0980,0.0763,0.0546,0.0598,0.0528,0.0505,-0.0977,0.0333
19,Total Other Income Expenses (Gains),6100000,14600000,20900000,17600000,6900000,32400000,38300000,41300000,50900000,64000000,85900000,90000000,74200000,60100000,58700000,35045000,58852000,5888000,64138000,95000000,151000000,196000000,197000000,-131000000,-138000000,- -,-130000000,-162000000,-162000000,-138000000,-125000000,-121000000,-136000000,-104000000,-102000000,-181000000,-246000000
20,Income Before Tax,87400000,140200000,162700000,198400000,179400000,178300000,217200000,222100000,230900000,335600000,272300000,243500000,307200000,337700000,332100000,167018000,204488000,195624000,398141000,647000000,885000000,1106000000,1173000000,648000000,696000000,991000000,1119000000,1185000000,1189000000,1185000000,976000000,684000000,790000000,733000000,682000000,-1228000000,246000000
21,Income Before Tax Ratio,0.0671,0.0860,0.0847,0.0852,0.0672,0.0616,0.0683,0.0649,0.0643,0.0862,0.0662,0.0547,0.0633,0.0672,0.0648,0.0302,0.0363,0.0327,0.0613,0.0907,0.1146,0.1292,0.1329,0.0756,0.0807,0.1022,0.1029,0.0975,0.0948,0.0877,0.0676,0.0464,0.0510,0.0462,0.0439,-0.1146,0.0166
22,Income Tax expense (Gain),37300000,67300000,70000000,75100000,64500000,62500000,81400000,85500000,90500000,132600000,107200000,96000000,121000000,131000000,129500000,65100000,79800000,92041000,155300000,-253831000,-333886000,-427654000,-458000000,247000000,-255000000,378000000,436000000,450000000,455000000,465000000,376000000,330000000,353000000,169000000,186000000,-538000000,-68000000
23,Net Income,50100000,72900000,92700000,123300000,114900000,115800000,135800000,136600000,140400000,203000000,165100000,147500000,186200000,206700000,202600000,101918000,124688000,90224000,242841000,393000000,551000000,678000000,715000000,401000000,441000000,613000000,683000000,735000000,734000000,720000000,600000000,354000000,437000000,564000000,496000000,-690000000,314000000
24,Net Income ratio,0.0385,0.0447,0.0483,0.0530,0.0430,0.0400,0.0427,0.0399,0.0391,0.0521,0.0401,0.0331,0.0384,0.0411,0.0395,0.0184,0.0221,0.0151,0.0374,0.0551,0.0713,0.0792,0.0810,0.0468,0.0511,0.0632,0.0628,0.0605,0.0585,0.0533,0.0416,0.0240,0.0282,0.0356,0.0320,-0.0644,0.0212
25,EPS,0.17,0.23,0.28,0.38,0.35,0.35,0.41,0.42,0.43,0.62,0.51,0.46,0.60,0.70,0.73,0.39,0.47,0.34,0.89,1.41,2.03,2.60,2.92,1.85,2.03,2.80,3.20,3.62,3.77,3.79,3.22,2.05,2.62,3.37,3.20,-4.39,2.00
26,EPS Diluted,0.17,0.23,0.28,0.38,0.35,0.35,0.41,0.42,0.43,0.62,0.51,0.46,0.60,0.70,0.73,0.39,0.47,0.33,0.88,1.39,1.98,2.55,2.88,1.83,2.01,2.75,3.14,3.56,3.71,3.72,3.15,2.02,2.59,3.32,3.18,-4.39,2.00
27,Weighted Average Shares Outstanding,303636364,316956522,325263158,324473684,323661972,326197183,327228916,325238095,328421053,328744939,326930693,324175824,310333333,293191489,275646259,261328205,268146237,269325373,272855056,278994000,271958000,260689000,245000000,216600000,216800000,218800000,213500000,203000000,194500000,190000000,186300000,173200000,166800000,167300000,155200000,157200000,157200000
28,Weighted Average Shares Outstanding Diluted,303636364,316956522,325263158,324473684,323661972,326197183,327228916,325238095,328421053,328744939,326930693,327187500,310333333,293191489,277534247,261328205,268146237,273406061,275955682,284534000,277776000,265712000,249000000,219200000,219700000,222600000,217700000,206700000,197700000,193600000,190100000,175600000,168900000,170000000,156100000,157200000,157200000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/72333/000007233395000004/0000072333-95-000004-index.html,https://www.sec.gov/Archives/edgar/data/72333/000007233396000002/0000072333-96-000002-index.html,https://www.sec.gov/Archives/edgar/data/72333/000007233397000007/0000072333-97-000007-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/72333/000089102000000775/0000891020-00-000775-index.html,https://www.sec.gov/Archives/edgar/data/72333/000109581101501149/0001095811-01-501149-index.html,https://www.sec.gov/Archives/edgar/data/72333/000089102002000499/0000891020-02-000499-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/72333/000089102005000104/v07697e10vk.htm,https://www.sec.gov/Archives/edgar/data/72333/000095012406001459/v18665e10vk.htm,https://www.sec.gov/Archives/edgar/data/72333/000095013407006483/v28408e10vk.htm,https://www.sec.gov/Archives/edgar/data/72333/000095013408005196/v39073e10vk.htm,https://www.sec.gov/Archives/edgar/data/72333/000095013409005871/0000950134-09-005871-index.html,https://www.sec.gov/Archives/edgar/data/72333/000095012310026782/0000950123-10-026782-index.html,https://www.sec.gov/Archives/edgar/data/72333/000119312511071211/d10k.htm,https://www.sec.gov/Archives/edgar/data/72333/000119312512119641/0001193125-12-119641-index.html,https://www.sec.gov/Archives/edgar/data/72333/000007233313000039/0000072333-13-000039-index.html,https://www.sec.gov/Archives/edgar/data/72333/000007233314000036/jwn-212014x10k.htm,https://www.sec.gov/Archives/edgar/data/72333/000007233315000041/jwn-1312015x10k.htm,https://www.sec.gov/Archives/edgar/data/72333/000007233316000260/0000072333-16-000260-index.html,https://www.sec.gov/Archives/edgar/data/72333/000007233317000071/0000072333-17-000071-index.html,https://www.sec.gov/Archives/edgar/data/72333/000007233318000049/0000072333-18-000049-index.html,https://www.sec.gov/Archives/edgar/data/72333/000007233319000060/0000072333-19-000060-index.html,https://www.sec.gov/Archives/edgar/data/72333/000007233320000078/0000072333-20-000078-index.html,https://www.sec.gov/Archives/edgar/data/72333/000007233321000099/0000072333-21-000099-index.htm,https://www.sec.gov/Archives/edgar/data/72333/000007233322000060/0000072333-22-000060-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,32500000,24500000,28300000,24800000,241400000,27000000,25259000,331327000,208329000,476224000,360600000,462700000,402600000,358000000,72000000,795000000,1506000000,1877000000,1285000000,1194000000,827000000,595000000,1007000000,1181000000,957000000,853000000,681000000,322000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25500000,- -,- -,- -,- -,464200000,615100000,428200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,32500000,24500000,28300000,24800000,241400000,52500000,25259000,331327000,208329000,476224000,824800000,1077800000,830800000,358000000,72000000,795000000,1506000000,1877000000,1285000000,1194000000,827000000,595000000,1007000000,1181000000,957000000,853000000,681000000,322000000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,675900000,893900000,714600000,664400000,587100000,617000000,721953000,698475000,759262000,906152000,645700000,639600000,684400000,1788000000,1942000000,2035000000,2026000000,2033000000,2129000000,2177000000,2306000000,196000000,199000000,145000000,148000000,179000000,245000000,255000000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,627900000,626300000,719900000,826000000,750300000,797800000,945687000,888172000,953112000,901623000,917200000,956000000,997300000,956000000,900000000,898000000,977000000,1148000000,1360000000,1531000000,1733000000,1945000000,1896000000,2027000000,1978000000,1920000000,1863000000,2289000000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,61400000,68100000,69600000,79800000,101600000,97300000,120083000,136624000,151915000,171431000,184700000,200800000,229700000,259000000,303000000,326000000,315000000,502000000,307000000,326000000,358000000,278000000,140000000,150000000,291000000,278000000,853000000,306000000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,1397700000,1612800000,1532400000,1595000000,1680400000,1564600000,1812982000,2054598000,2072618000,2455430000,2572400000,2874200000,2742200000,3361000000,3217000000,4054000000,4824000000,5560000000,5081000000,5228000000,5224000000,3014000000,3242000000,3503000000,3374000000,3230000000,3642000000,3172000000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,984200000,1103300000,1152500000,1252500000,1362400000,1429500000,1599938000,1761082000,1761544000,1724273000,1780400000,1773900000,1757200000,1983000000,2221000000,2242000000,2318000000,2469000000,2579000000,2949000000,3340000000,3735000000,3897000000,3939000000,3921000000,5953000000,5313000000,5058000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,51700000,51700000,51700000,53000000,53000000,53000000,53000000,175000000,175000000,175000000,435000000,435000000,238000000,238000000,249000000,249000000,249000000,249000000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,143473000,138331000,140488000,140609000,84000000,84000000,84000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,143473000,138331000,140488000,140609000,135700000,135700000,135700000,53000000,53000000,53000000,53000000,175000000,175000000,175000000,435000000,435000000,238000000,238000000,249000000,249000000,249000000,249000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,14900000,16500000,17600000,17700000,72600000,68000000,52110000,94768000,121726000,145376000,116900000,137500000,186500000,203000000,170000000,230000000,267000000,287000000,254000000,222000000,246000000,514000000,481000000,435000000,342000000,305000000,334000000,390000000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,999100000,1119800000,1170100000,1270200000,1435000000,1497500000,1795521000,1994181000,2023758000,2010258000,2033000000,2047100000,2079400000,2239000000,2444000000,2525000000,2638000000,2931000000,3008000000,3346000000,4021000000,4684000000,4616000000,4612000000,4512000000,6507000000,5896000000,5697000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,2396800000,2732600000,2702500000,2865200000,3115400000,3062100000,3608503000,4048779000,4096376000,4465688000,4605400000,4921300000,4821600000,5600000000,5661000000,6579000000,7462000000,8491000000,8089000000,8574000000,9245000000,7698000000,7858000000,8115000000,7886000000,9737000000,9538000000,8869000000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,273100000,277600000,310400000,321300000,339600000,390700000,466476000,490988000,414754000,512035000,482400000,540000000,576800000,556000000,563000000,726000000,846000000,917000000,1011000000,1263000000,1328000000,1324000000,1340000000,1409000000,1469000000,1576000000,1960000000,1529000000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,163400000,306700000,215100000,364900000,142100000,129100000,95646000,78227000,5789000,7119000,101097000,306618000,6800000,261000000,299000000,356000000,6000000,506000000,7000000,7000000,8000000,10000000,11000000,56000000,8000000,244000000,760000000,726000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,548000000,576000000,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,254000000,248000000,261900000,256400000,286800000,346700000,388446000,378523000,449548000,530395000,757703000,776682000,849500000,818000000,739000000,932000000,1027000000,1152000000,1208000000,1271000000,1464000000,1577000000,1678000000,1824000000,1356000000,1124000000,1400000000,1059000000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,690500000,832300000,787400000,942600000,768500000,866500000,950568000,947738000,870091000,1049549000,1341200000,1623300000,1433100000,1635000000,1601000000,2014000000,1879000000,2575000000,2226000000,2541000000,2800000000,2911000000,3029000000,3289000000,3381000000,3520000000,4120000000,3314000000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,297900000,365700000,329300000,319700000,804900000,746800000,1099710000,1351044000,1341826000,1227410000,929000000,627800000,623700000,2236000000,2214000000,2257000000,2775000000,3141000000,3124000000,3106000000,3123000000,2795000000,2763000000,2681000000,2677000000,2676000000,4456000000,5965000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,64600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,435000000,- -,236000000,220000000,227000000,239000000,- -,- -,281000000,123000000,107000000,702000000,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,111600000,112600000,127800000,225300000,263200000,328657000,435509000,512402000,554720000,546200000,577600000,596300000,614000000,201000000,736000000,551000000,599000000,599000000,608000000,882000000,1121000000,915000000,1045000000,848000000,1860000000,657000000,-991000000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,362500000,477300000,441900000,447500000,1030200000,1010000000,1428367000,1786553000,1854228000,1782130000,1475200000,1205400000,1220000000,2850000000,2850000000,2993000000,3562000000,3960000000,3950000000,3953000000,4005000000,3916000000,3959000000,3849000000,3632000000,5238000000,5113000000,4974000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2119000000,1947000000,- -
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,1053000000,1309600000,1229300000,1390100000,1798700000,1876500000,2378935000,2734291000,2724319000,2831679000,2816400000,2828700000,2653100000,4485000000,4451000000,5007000000,5441000000,6535000000,6176000000,6494000000,6805000000,6827000000,6988000000,7138000000,7013000000,8758000000,9233000000,8288000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,247600000,- -,- -,- -,- -,552700000,685900000,826400000,936000000,- -,1066000000,1168000000,1484000000,1645000000,1827000000,2338000000,2539000000,2707000000,2816000000,3048000000,3129000000,3205000000,3283000000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,1180500000,1254500000,1289800000,1289800000,1090600000,929600000,900090000,975203000,1014105000,1201093000,1227300000,1404400000,1350700000,201000000,223000000,525000000,882000000,517000000,315000000,292000000,166000000,-1610000000,-1794000000,-1810000000,-2138000000,-2082000000,-2830000000,-2652000000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,-746700000,-838800000,-944500000,-1087500000,-1234900000,-1370700000,-1554081000,-1663409000,-117000,8271000,9036000,2381000,-8580000,-22000000,-10000000,-19000000,-29000000,-45000000,-47000000,-39000000,-64000000,-58000000,-43000000,-29000000,-37000000,-68000000,-70000000,-50000000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,910000000,1007300000,1127900000,1272800000,1461000000,1379100000,1883559000,2002694000,2240928000,2541852000,-42000,- -,1000,- -,997000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,1343800000,1423000000,1473200000,1475100000,1316700000,1185600000,1229568000,1314488000,1372057000,1634009000,1788994000,2092681000,2168521000,1115000000,1210000000,1572000000,2021000000,1956000000,1913000000,2080000000,2440000000,871000000,870000000,977000000,873000000,979000000,305000000,581000000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,2396800000,2732600000,2702500000,2865200000,3115400000,3062100000,3608503000,4048779000,4096376000,4465688000,4605394000,4921381000,4821621000,5600000000,5661000000,6579000000,7462000000,8491000000,8089000000,8574000000,9245000000,7698000000,7858000000,8115000000,7886000000,9737000000,9538000000,8869000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6000,-81000,-21000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,2396800000,2732600000,2702500000,2865200000,3115400000,3062100000,3608503000,4048779000,4096376000,4465688000,4605400000,4921300000,4821600000,5600000000,5661000000,6579000000,7462000000,8491000000,8089000000,8574000000,9245000000,7698000000,7858000000,8115000000,7886000000,9737000000,9538000000,8869000000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/72333/000007233395000004/0000072333-95-000004-index.html,https://www.sec.gov/Archives/edgar/data/72333/000007233396000002/0000072333-96-000002-index.html,https://www.sec.gov/Archives/edgar/data/72333/000007233397000007/0000072333-97-000007-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/72333/000089102000000775/0000891020-00-000775-index.html,https://www.sec.gov/Archives/edgar/data/72333/000109581101501149/0001095811-01-501149-index.html,https://www.sec.gov/Archives/edgar/data/72333/000089102002000499/0000891020-02-000499-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/72333/000089102005000104/v07697e10vk.htm,https://www.sec.gov/Archives/edgar/data/72333/000095012406001459/v18665e10vk.htm,https://www.sec.gov/Archives/edgar/data/72333/000095013407006483/v28408e10vk.htm,https://www.sec.gov/Archives/edgar/data/72333/000095013408005196/v39073e10vk.htm,https://www.sec.gov/Archives/edgar/data/72333/000095013409005871/0000950134-09-005871-index.html,https://www.sec.gov/Archives/edgar/data/72333/000095012310026782/0000950123-10-026782-index.html,https://www.sec.gov/Archives/edgar/data/72333/000119312511071211/d10k.htm,https://www.sec.gov/Archives/edgar/data/72333/000119312512119641/0001193125-12-119641-index.html,https://www.sec.gov/Archives/edgar/data/72333/000007233313000039/0000072333-13-000039-index.html,https://www.sec.gov/Archives/edgar/data/72333/000007233314000036/jwn-212014x10k.htm,https://www.sec.gov/Archives/edgar/data/72333/000007233315000041/jwn-1312015x10k.htm,https://www.sec.gov/Archives/edgar/data/72333/000007233316000260/0000072333-16-000260-index.html,https://www.sec.gov/Archives/edgar/data/72333/000007233317000071/0000072333-17-000071-index.html,https://www.sec.gov/Archives/edgar/data/72333/000007233318000049/0000072333-18-000049-index.html,https://www.sec.gov/Archives/edgar/data/72333/000007233319000060/0000072333-19-000060-index.html,https://www.sec.gov/Archives/edgar/data/72333/000007233320000078/0000072333-20-000078-index.html,https://www.sec.gov/Archives/edgar/data/72333/000007233321000099/0000072333-21-000099-index.htm,https://www.sec.gov/Archives/edgar/data/72333/000007233322000060/0000072333-22-000060-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,114900000,115800000,135800000,136600000,140400000,203000000,165100000,147500000,186200000,206700000,202600000,101918000,124688000,90224000,242841000,393000000,551000000,678000000,715000000,401000000,441000000,613000000,683000000,735000000,734000000,720000000,600000000,354000000,437000000,564000000,496000000,-690000000,314000000
74,Depreciation and Amortization,- -,- -,- -,- -,70900000,85600000,96000000,102800000,103500000,110800000,134300000,156100000,159700000,177200000,187300000,191950000,209181000,211752000,222971000,233391000,242978000,248227000,233000000,281000000,271000000,327000000,371000000,429000000,454000000,508000000,576000000,645000000,666000000,669000000,854000000,843000000,615000000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15662000,6190000,32027000,-8040000,-11238000,-58274000,-42000000,-36000000,-58000000,2000000,14000000,22000000,12000000,7000000,142000000,-15000000,11000000,-34000000,52000000,-7000000,-11000000
