,https://roic.ai/company/GATX,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,199200000,191700000,168500000,174800000,209000000,247600000,281800000,335100000,303100000,889000000,946300000,1082900000,1342000000,1365600000,849100000,581200000,569200000,546000000,522800000,474100000,608000000,538400000,610000000,376700000,345500000,618800000,658500000,421800000,459400000,491600000,521300000,515700000,523200000,546100000,551800000,853300000,606700000
11,COGS and Expenses,518300000,369000000,356500000,372700000,450500000,596400000,715100000,828100000,830700000,1468500000,1559100000,1778000000,2182300000,2203600000,1605000000,1337300000,1429800000,1301700000,1211600000,1004700000,1162400000,997500000,1085100000,980900000,838300000,888100000,942200000,1004100000,1072600000,1135100000,1090500000,1051000000,1045000000,1048400000,1078300000,922300000,960500000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3100000,500000,200000,700000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,150100000,168000000,167300000,169600000,- -,- -,- -,- -,- -,- -,- -,180500000,190300000,204000000
14,Depreciation and Amortization,84300000,80900000,85700000,89500000,97000000,-115400000,-127700000,-138300000,-150700000,165100000,171600000,202400000,252300000,267500000,308200000,334800000,415900000,368100000,321800000,207800000,212700000,173700000,200800000,219200000,227300000,228100000,238500000,249400000,267800000,287000000,303300000,310200000,322700000,338200000,343500000,342800000,378400000
15,EBITDA,36500000,107400000,142100000,163200000,198200000,2800000,-11400000,-145200000,-26600000,305400000,320000000,359500000,195900000,473700000,562100000,424100000,586900000,378400000,424700000,445600000,185700000,361000000,477300000,638900000,503200000,492800000,556300000,412800000,502600000,567700000,619500000,663000000,581000000,583600000,783600000,721700000,778700000
16,EBITDA ratio,0.0526,0.2096,0.2693,0.2854,0.2825,0.0032,-0.0115,-0.1425,-0.0245,0.2644,0.2594,0.2542,0.1151,0.2687,0.3024,0.3049,0.3858,0.2822,0.3231,0.3619,0.1637,0.2937,0.3546,0.4724,0.4473,0.4224,0.4388,0.3320,0.3805,0.3912,0.4273,0.4675,0.4220,0.4288,0.5622,0.5968,0.6193
17,Operating Income,175800000,143400000,171100000,199200000,251200000,274000000,274000000,191000000,256200000,-313500000,-325700000,-363600000,-480400000,-440500000,253900000,53500000,91600000,39000000,102900000,226700000,-27800000,231600000,260900000,371600000,286600000,278700000,325700000,239100000,248400000,315900000,359400000,367300000,331900000,312500000,315500000,286900000,296900000
18,Operating Income ratio,0.2533,0.2799,0.3243,0.3483,0.3580,0.3148,0.2770,0.1874,0.2357,-0.2714,-0.2641,-0.2571,-0.2823,-0.2498,0.1366,0.0385,0.0602,0.0291,0.0783,0.1841,-0.0245,0.1884,0.1938,0.2748,0.2548,0.2389,0.2569,0.1923,0.1880,0.2177,0.2479,0.2590,0.2410,0.2296,0.2264,0.2373,0.2361
19,Total Other Income Expenses (Gains),-223600000,-119400000,-114700000,-125500000,-150000000,-155800000,-157700000,-152100000,-132100000,431300000,442700000,492300000,393100000,603100000,- -,- -,-86000000,- -,- -,- -,- -,-5500000,-2300000,-102000000,-178700000,-181300000,-177500000,-95300000,-89400000,-84700000,-89100000,-61900000,-117500000,-117400000,-132400000,-161600000,-101800000
20,Income Before Tax,-47800000,24000000,56400000,73700000,101200000,118200000,116300000,38900000,124100000,117800000,117000000,128700000,-87300000,162600000,253900000,53500000,5600000,39000000,102900000,226700000,-27800000,226100000,258600000,269600000,107900000,97400000,148200000,143800000,159000000,231200000,270300000,305400000,214400000,195100000,183100000,125300000,195100000
21,Income Before Tax Ratio,-0.0689,0.0468,0.1069,0.1289,0.1442,0.1358,0.1176,0.0382,0.1142,0.1020,0.0949,0.0910,-0.0513,0.0922,0.1366,0.0385,0.0037,0.0291,0.0783,0.1841,-0.0245,0.1840,0.1921,0.1993,0.0959,0.0835,0.1169,0.1157,0.1204,0.1593,0.1864,0.2153,0.1557,0.1434,0.1314,0.1036,0.1552
22,Income Tax expense (Gain),-2300000,-2200000,21700000,26700000,35500000,35300000,33600000,9600000,51400000,48800000,47600000,54400000,-5500000,74300000,102600000,22700000,-1900000,10000000,26000000,68200000,-12700000,75600000,72800000,73600000,26500000,16600000,37400000,26100000,65500000,75700000,110900000,95700000,-243700000,34100000,48400000,37300000,53200000
23,Net Income,-45500000,28700000,34700000,47000000,65700000,82900000,82700000,-16500000,72700000,91500000,100800000,102700000,-50900000,131900000,151300000,66600000,172900000,300000,76900000,169600000,-14300000,111700000,203700000,196000000,81400000,80800000,110800000,137300000,169300000,205000000,205300000,257100000,502000000,211300000,211200000,151300000,143100000
24,Net Income ratio,-0.0656,0.0560,0.0658,0.0822,0.0936,0.0952,0.0836,-0.0162,0.0669,0.0792,0.0817,0.0726,-0.0299,0.0748,0.0814,0.0479,0.1136,0.0002,0.0585,0.1377,-0.0126,0.0909,0.1513,0.1449,0.0724,0.0692,0.0874,0.1104,0.1282,0.1413,0.1416,0.1813,0.3646,0.1553,0.1515,0.1251,0.1138
25,EPS,-0.95,0.61,0.91,1.26,1.59,1.81,1.78,-0.77,1.52,1.94,2.15,2.19,-1.27,2.68,3.07,1.39,3.56,0.01,1.57,3.44,-0.29,2.19,4.09,4.12,1.77,1.75,2.39,2.93,3.64,4.55,4.76,6.35,12.95,5.62,5.92,4.33,4.09
26,EPS Diluted,-0.95,0.61,0.91,1.26,1.59,1.77,1.76,-0.77,1.52,1.89,2.06,2.10,-1.27,2.62,3.01,1.37,3.51,0.01,1.56,3.04,-0.29,2.00,3.76,3.89,1.77,1.72,2.35,2.88,3.59,4.48,4.69,6.29,12.75,5.52,5.81,4.27,4.09
27,Weighted Average Shares Outstanding,47894737,46885246,38131868,35317460,39119497,43867403,44494382,27956989,39078947,40306000,40718000,40966000,45084000,49178000,49296000,47880000,48512000,48889000,49107000,49348000,50106000,51001000,49900000,47600000,46800000,46100000,46400000,46800000,46400000,45000000,43100000,40500000,38800000,37600000,35700000,35000000,35500000
28,Weighted Average Shares Outstanding Diluted,47894737,46885246,38131868,35317460,39119497,44858757,45000000,27956989,39078947,48412698,48813559,49021480,45084000,50426000,50301000,48753000,49202000,49177000,49222000,60002000,50106000,62101000,55400000,51000000,48900000,47000000,47200000,47600000,47100000,45800000,43800000,40900000,39400000,38300000,36400000,35400000,36000000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/40211/0000040211-94-000003-index.html,https://www.sec.gov/Archives/edgar/data/40211/000004021195000001/0000040211-95-000001-index.html,https://www.sec.gov/Archives/edgar/data/40211/000004021196000002/0000040211-96-000002-index.html,https://www.sec.gov/Archives/edgar/data/40211/000004021197000009/0000040211-97-000009-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/40211/000095013701000962/0000950137-01-000962-index.html,https://www.sec.gov/Archives/edgar/data/40211/000095013702001493/0000950137-02-001493-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/40211/000095013708003102/c22861e10vk.htm,https://www.sec.gov/Archives/edgar/data/40211/000095013709001303/0000950137-09-001303-index.html,https://www.sec.gov/Archives/edgar/data/40211/000095012310017129/0000950123-10-017129-index.html,https://www.sec.gov/Archives/edgar/data/40211/000095012311017209/c61268e10vk.htm,https://www.sec.gov/Archives/edgar/data/40211/000119312512077477/0001193125-12-077477-index.html,https://www.sec.gov/Archives/edgar/data/40211/000144530513000340/0001445305-13-000340-index.html,https://www.sec.gov/Archives/edgar/data/40211/000004021114000010/gmt20131231-10k.htm,https://www.sec.gov/Archives/edgar/data/40211/000004021115000009/gmt20141231-10k.htm,https://www.sec.gov/Archives/edgar/data/40211/000004021116000064/0000040211-16-000064-index.html,https://www.sec.gov/Archives/edgar/data/40211/000004021117000012/0000040211-17-000012-index.html,https://www.sec.gov/Archives/edgar/data/40211/000004021118000023/0000040211-18-000023-index.html,https://www.sec.gov/Archives/edgar/data/40211/000004021119000020/0000040211-19-000020-index.html,https://www.sec.gov/Archives/edgar/data/40211/000004021120000017/0000040211-20-000017-index.htm,https://www.sec.gov/Archives/edgar/data/40211/000004021121000018/0000040211-21-000018-index.htm,https://www.sec.gov/Archives/edgar/data/40211/000004021122000023/0000040211-22-000023-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,51200000,84300000,20600000,21900000,109700000,76000000,25100000,22900000,26200000,27300000,34800000,46200000,77800000,94500000,102500000,173600000,222900000,231100000,211500000,63400000,106000000,196200000,104400000,102200000,41700000,78500000,248400000,234200000,379700000,209900000,202400000,307500000,296500000,100200000,151000000,292200000,344300000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,61400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,51200000,84300000,20600000,21900000,109700000,76000000,25100000,22900000,26200000,27300000,34800000,46200000,77800000,94500000,102500000,173600000,222900000,231100000,211500000,63400000,106000000,257600000,104400000,102200000,41700000,78500000,248400000,234200000,379700000,209900000,202400000,307500000,296500000,100200000,151000000,292200000,344300000
34,Net Receivables,697500000,603300000,582500000,795800000,823100000,888000000,797000000,749200000,755100000,635000000,789200000,891400000,1038900000,832200000,683600000,972000000,1569900000,1292600000,657800000,430000000,423700000,505100000,423500000,397600000,365000000,407200000,430200000,356700000,404900000,352300000,235500000,227500000,213100000,207000000,171200000,142200000,163800000
35,Inventory,64100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,31900000,41300000,- -,- -,- -,- -,49100000,45800000,52000000,55200000,51300000,57200000,63700000,68400000,64300000,52000000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,141600000,139900000,101500000,51800000,105700000,358000000,538900000,30200000,11100000,196700000,60000000,78700000,89800000,59000000,41100000,33200000,56600000,35200000,49300000,43000000,33900000,137600000,108200000,24600000,17800000,25400000,24100000,46000000
37,Total Current Assets,812800000,687600000,603100000,817700000,932800000,964000000,822100000,772100000,781300000,803900000,963900000,1039100000,1168500000,1032400000,1144100000,1684500000,1823000000,1534800000,1066000000,553400000,608400000,884400000,628200000,540900000,439900000,542300000,713800000,689300000,873400000,648100000,630700000,694500000,591400000,388700000,416000000,522800000,606100000
38,PP&E,1471900000,1386200000,1416500000,1569000000,1695100000,1805900000,1972000000,1964300000,1962300000,2192300000,2369100000,2846400000,2710500000,2790100000,3282000000,2654100000,2983900000,3459800000,3651200000,3925600000,3461600000,3029200000,3509400000,3921600000,4033300000,4133800000,4359300000,4690200000,5105200000,5722100000,5730200000,5832600000,6212600000,6583800000,7165400000,7576300000,8087200000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,62500000,94800000,93900000,86000000,92800000,104400000,95700000,97500000,92700000,90500000,91700000,94600000,86100000,79700000,78000000,85600000,82900000,81500000,143700000,123000000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,62500000,94800000,93900000,86000000,92800000,104400000,95700000,97500000,92700000,90500000,91700000,94600000,86100000,79700000,78000000,85600000,82900000,81500000,143700000,123000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,284000000,292000000,318000000,399300000,452200000,486100000,513800000,502000000,354300000,357700000,348500000,387000000,441000000,464500000,512600000,584700000,588400000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,107100000,160600000,180700000,218700000,432200000,539800000,720100000,689900000,648500000,654500000,709900000,864700000,1068800000,1116800000,1440700000,1925100000,1302800000,1371200000,1268600000,1040000000,804400000,345600000,165600000,234000000,183500000,187500000,180100000,82200000,122100000,123500000,105100000,113300000,91800000,96800000,109600000,110100000,137000000
45,Total Non-Current Assets,1579000000,1546800000,1597200000,1787700000,2127300000,2345700000,2692100000,2654200000,2610800000,2846800000,3079000000,3711100000,3779300000,3906900000,4722700000,4579200000,4286700000,4893500000,5014600000,5059500000,4636000000,3759600000,4097400000,4650600000,4766500000,4900100000,5143700000,5366100000,5676200000,6289400000,6263500000,6410900000,6831000000,7228000000,7869100000,8414800000,8935600000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,2391800000,2234400000,2200300000,2605400000,3060100000,3309700000,3514200000,3426300000,3392100000,3650700000,4042900000,4750200000,4947800000,4939300000,5866800000,6263700000,6109700000,6428300000,6080600000,5612900000,5244400000,4644000000,4725600000,5191500000,5206400000,5442400000,5857500000,6055400000,6549600000,6937500000,6894200000,7105400000,7422400000,7616700000,8285100000,8937600000,9541700000
48,Accounts Payable,- -,- -,- -,- -,- -,63000000,146100000,150500000,190600000,269500000,233300000,312600000,354700000,353000000,372300000,317300000,293600000,399500000,354800000,378200000,177400000,159600000,119600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,149000000,- -,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,268200000,330200000,243800000,392500000,299900000,377400000,557200000,328500000,170800000,15900000,72100000,57000000,22400000,247300000,125100000,70800000,115600000,28600000,273600000,23600000,72100000,7400000,3800000,4300000,110800000,15800000,23600000,18100000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,924000000,- -,- -
52,Other Current Liabilities,307900000,295400000,252300000,528400000,574500000,435600000,379700000,391700000,279100000,49600000,48200000,51700000,58000000,54100000,65800000,141700000,36800000,-143700000,- -,- -,- -,- -,- -,146600000,123000000,114600000,135600000,177400000,159600000,165900000,170900000,174800000,154300000,177500000,-923900000,147300000,215800000
53,Total Current Liabilities,307900000,295400000,252300000,528400000,574500000,498600000,525800000,542200000,469700000,587300000,611700000,608100000,805200000,707000000,815500000,1016200000,658900000,426600000,370700000,450300000,234400000,182000000,366900000,271700000,193800000,230200000,164200000,451000000,183200000,238000000,178300000,178600000,158600000,288300000,164900000,170900000,233900000
54,Long-Term Debt,1153100000,1233400000,1221100000,1305500000,1456200000,1715100000,1798500000,1724600000,1713800000,2073300000,2422700000,2907900000,3211900000,2623200000,3432600000,3752300000,3625500000,4069100000,3701500000,3132100000,2872600000,2214700000,2359700000,2376200000,2553000000,3019000000,3504200000,3283000000,3838500000,4195800000,4178400000,4253200000,4371700000,4429700000,4780400000,5710900000,6175200000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,59000000,60000000,54600000,52500000,25000000,59000000,53800000,- -,- -,- -
56,Deferred Tax Liabilities,341100000,339600000,349400000,356700000,360200000,329500000,303600000,234100000,248200000,257500000,264800000,339200000,297600000,325100000,457200000,410800000,464500000,640000000,671700000,721000000,683400000,754800000,722800000,711900000,730600000,750600000,765900000,783000000,891400000,937300000,1018300000,1089400000,853700000,877800000,924300000,962800000,1001000000
57,Other Non-Current Liabilities,211500000,155200000,152100000,151400000,165200000,208100000,272300000,367800000,370500000,70200000,25900000,120100000,-22300000,551100000,325500000,294900000,479000000,491000000,447800000,228600000,431700000,329500000,126700000,707100000,626400000,328900000,295900000,235200000,179500000,197800000,186500000,212000000,186700000,179000000,580400000,135600000,112400000
58,Total Non-Current Liabilities,1705700000,1728200000,1722600000,1813600000,1981600000,2252700000,2374400000,2326500000,2332500000,2401000000,2713400000,3367200000,3487200000,3499400000,4215300000,4458000000,4569000000,5200100000,4821000000,4081700000,3987700000,3299000000,3209200000,3795200000,3910000000,4098500000,4566000000,4360200000,4969400000,5385500000,5435700000,5579600000,5471100000,5540300000,6285100000,6809300000,7288600000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,143700000,122400000,- -,- -,- -,- -,64700000,54800000,41900000,14300000,67600000,57500000,49700000,37700000,97200000,20800000,15600000,440200000,381900000,287700000
61,Total Liabilities,2013600000,2023600000,1974900000,2342000000,2556100000,2751300000,2900200000,2868700000,2802200000,2988300000,3325100000,3975300000,4292400000,4206400000,5030800000,5474200000,5227900000,5626700000,5191700000,4532000000,4222100000,3481000000,3576100000,4066900000,4103800000,4328700000,4730200000,4811200000,5152600000,5623500000,5614000000,5758200000,5629700000,5828600000,6450000000,6980200000,7522500000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,14200000,14300000,14400000,17000000,34300000,34500000,35000000,35400000,35600000,35700000,35900000,36500000,37400000,38700000,40600000,40600000,40900000,41100000,41200000,41300000,41400000,41500000,41500000,41600000,41600000,41800000,41900000,42200000
64,Retained Earnings,221200000,151800000,162000000,192800000,233500000,282000000,328200000,273100000,305100000,353500000,409000000,463700000,363400000,446000000,543000000,552200000,664900000,602700000,620100000,750300000,696000000,783200000,939000000,1081900000,1090000000,1116900000,1171200000,1249400000,1358400000,1501700000,1639000000,1828000000,2261700000,2419200000,2601300000,2682100000,2751500000
65,Other Comprehensive Income/Loss,-843000000,-845600000,-895000000,-929000000,-991900000,-1080300000,-1171000000,-1253400000,-1342800000,-1452600000,-1533100000,-1772800000,-1823900000,-1919600000,-2042900000,-1531600000,-2028300000,-100500000,-34400000,21600000,-6300000,-3400000,86200000,-85200000,-84500000,-110000000,-169100000,-144600000,-42700000,-148400000,-198800000,-211100000,-109600000,-164600000,-163600000,-137500000,-160600000
66,Other Total Stockholders Equity,1000000000,904600000,958400000,999600000,1262400000,1356700000,1456800000,1537900000,1627600000,1747300000,1827600000,2069600000,2098900000,2172200000,2301400000,1733900000,2209800000,263800000,267500000,273100000,296100000,345800000,85600000,87300000,56500000,65900000,84100000,98200000,40000000,-80700000,-201500000,-311200000,-401000000,-508100000,-644400000,-629100000,- -
67,Total Stockholders Equity,378200000,210800000,225400000,263400000,504000000,558400000,614000000,557600000,589900000,662400000,717800000,774900000,655400000,732900000,836000000,789500000,881800000,801600000,888900000,1080900000,1022300000,1163000000,1149500000,1124600000,1102600000,1113700000,1127300000,1244200000,1397000000,1314000000,1280200000,1347200000,1792700000,1788100000,1835100000,1957400000,2019200000
68,Total Liabilities And Stockholders Equity,2391800000,2234400000,2200300000,2605400000,3060100000,3309700000,3514200000,3426300000,3392100000,3650700000,4042900000,4750200000,4947800000,4939300000,5866800000,6263700000,6109700000,6428300000,6080600000,5612900000,5244400000,4644000000,4725600000,5191500000,5206400000,5442400000,5857500000,6055400000,6549600000,6937500000,6894200000,7105400000,7422400000,7616700000,8285100000,8937600000,9541700000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,2391800000,2234400000,2200300000,2605400000,3060100000,3309700000,3514200000,3426300000,3392100000,3650700000,4042900000,4750200000,4947800000,4939300000,5866800000,6263700000,6109700000,6428300000,6080600000,5612900000,5244400000,4644000000,4725600000,5191500000,5206400000,5442400000,5857500000,6055400000,6549600000,6937500000,6894200000,7105400000,7422400000,7616700000,8285100000,8937600000,9541700000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/40211/0000040211-94-000003-index.html,https://www.sec.gov/Archives/edgar/data/40211/000004021195000001/0000040211-95-000001-index.html,https://www.sec.gov/Archives/edgar/data/40211/000004021196000002/0000040211-96-000002-index.html,https://www.sec.gov/Archives/edgar/data/40211/000004021197000009/0000040211-97-000009-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/40211/000095013701000962/0000950137-01-000962-index.html,https://www.sec.gov/Archives/edgar/data/40211/000095013702001493/0000950137-02-001493-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/40211/000095013708003102/c22861e10vk.htm,https://www.sec.gov/Archives/edgar/data/40211/000095013709001303/0000950137-09-001303-index.html,https://www.sec.gov/Archives/edgar/data/40211/000095012310017129/0000950123-10-017129-index.html,https://www.sec.gov/Archives/edgar/data/40211/000095012311017209/c61268e10vk.htm,https://www.sec.gov/Archives/edgar/data/40211/000119312512077477/0001193125-12-077477-index.html,https://www.sec.gov/Archives/edgar/data/40211/000144530513000340/0001445305-13-000340-index.html,https://www.sec.gov/Archives/edgar/data/40211/000004021114000010/gmt20131231-10k.htm,https://www.sec.gov/Archives/edgar/data/40211/000004021115000009/gmt20141231-10k.htm,https://www.sec.gov/Archives/edgar/data/40211/000004021116000064/0000040211-16-000064-index.html,https://www.sec.gov/Archives/edgar/data/40211/000004021117000012/0000040211-17-000012-index.html,https://www.sec.gov/Archives/edgar/data/40211/000004021118000023/0000040211-18-000023-index.html,https://www.sec.gov/Archives/edgar/data/40211/000004021119000020/0000040211-19-000020-index.html,https://www.sec.gov/Archives/edgar/data/40211/000004021120000017/0000040211-20-000017-index.htm,https://www.sec.gov/Archives/edgar/data/40211/000004021121000018/0000040211-21-000018-index.htm,https://www.sec.gov/Archives/edgar/data/40211/000004021122000023/0000040211-22-000023-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,- -,82900000,82700000,-16500000,72700000,91500000,100800000,102700000,-50900000,131900000,151300000,66600000,172900000,300000,76900000,169600000,-14300000,111700000,203700000,196000000,81400000,80800000,110800000,137300000,169300000,205000000,205300000,257100000,502000000,211300000,211200000,151300000,143100000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,-115400000,-127700000,-138300000,-150700000,165100000,171600000,202400000,252300000,267500000,308200000,334800000,415900000,368100000,321800000,207800000,212700000,173700000,200800000,219200000,227300000,228100000,238500000,249400000,267800000,287000000,303300000,310200000,322700000,338200000,343500000,342800000,378400000
75,Deferred Income Tax,- -,- -,- -,- -,- -,-2900000,-15800000,-24400000,11700000,9400000,16200000,25200000,18000000,38800000,62500000,26800000,126900000,130700000,41200000,39800000,-36500000,60400000,58100000,57600000,24000000,11000000,30900000,24400000,53600000,61400000,90200000,72800000,-260500000,19200000,30600000,29100000,34200000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13100000,14000000,11600000,15800000,9900000,16400000,12300000,15600000,17400000
