,https://roic.ai/company/AMAT,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
16,EBITDA ratio,0.1214,0.0663,0.0562,0.2153,0.1915,0.1236,0.1015,0.1168,0.1753,0.2391,0.2553,0.2632,0.2593,0.1728,0.2782,0.3600,0.1904,0.1698,0.0282,0.2728,0.2638,0.2620,0.2742,0.2102,-0.0430,0.1794,0.2479,0.0955,0.1139,0.2114,0.2145,0.2362,0.3008,0.3059,0.2665,0.2780,0.3209
17,Operating Income,16100000,4000000,2000000,70600000,83500000,58900000,52700000,72600000,163800000,339200000,693900000,903600000,690900000,388400000,933700000,2947844000,930146000,209958000,-313782000,1763665000,1447965000,1447965000,2371506000,1333594000,-393616000,1383708000,2398000000,411000000,432000000,1520000000,1693000000,2152000000,3868000000,4796000000,3350000000,4365000000,6889000000
18,Operating Income ratio,0.0922,0.0268,0.0115,0.1946,0.1664,0.1039,0.0825,0.0966,0.1517,0.2044,0.2266,0.2180,0.1696,0.0961,0.1922,0.3082,0.1267,0.0415,-0.0701,0.2201,0.2071,0.1580,0.2436,0.1641,-0.0785,0.1449,0.2280,0.0471,0.0575,0.1675,0.1753,0.1988,0.2632,0.2871,0.2293,0.2537,0.2987
19,Total Other Income Expenses (Gains),-100000,-1900000,-1500000,-3900000,900000,-4800000,-12400000,-13700000,-13400000,-4700000,4600000,18400000,108100000,49600000,88100000,156000,173854000,131042000,101782000,65585000,134035000,719035000,68494000,75406000,-92384000,3258000,-20000000,-95000000,-82000000,-72000000,-95000000,-139000000,-52000000,-400000000,-81000000,-199000000,-118000000
20,Income Before Tax,16000000,2100000,500000,66700000,84400000,54100000,40300000,58900000,150400000,334500000,698500000,922000000,799000000,438000000,1021800000,2948000000,1104000000,341000000,-212000000,1829250000,1582000000,2167000000,2440000000,1409000000,-486000000,1386966000,2378000000,316000000,350000000,1448000000,1598000000,2013000000,3816000000,4396000000,3269000000,4166000000,6771000000
21,Income Before Tax Ratio,0.0916,0.0141,0.0029,0.1838,0.1682,0.0954,0.0631,0.0784,0.1393,0.2015,0.2281,0.2224,0.1961,0.1084,0.2103,0.3082,0.1503,0.0674,-0.0474,0.2283,0.2263,0.2364,0.2506,0.1733,-0.0969,0.1453,0.2261,0.0362,0.0466,0.1596,0.1654,0.1860,0.2596,0.2632,0.2238,0.2422,0.2936
22,Income Tax expense (Gain),6700000,900000,200000,26700000,32900000,20000000,14100000,19400000,50700000,117100000,244500000,323000000,300000000,149000000,329900000,884000000,329000000,72000000,-62409000,477947000,371669000,650308000,729457000,447972000,-180476000,449100000,452000000,207000000,94000000,376000000,221000000,292000000,297000000,1381000000,587000000,547000000,883000000
23,Net Income,9300000,1200000,300000,40000000,51500000,34100000,26200000,39500000,99700000,220700000,454100000,600000000,498000000,231000000,746700000,2064000000,508000000,269000000,-149000000,1351303000,1210000000,1517000000,1710000000,961000000,-305000000,937866000,1926000000,109000000,256000000,1072000000,1377000000,1721000000,3519000000,3038000000,2706000000,3619000000,5888000000
24,Net Income ratio,0.0533,0.0080,0.0017,0.1103,0.1026,0.0601,0.0410,0.0526,0.0923,0.1330,0.1483,0.1448,0.1222,0.0571,0.1537,0.2158,0.0692,0.0531,-0.0333,0.1686,0.1731,0.1655,0.1757,0.1182,-0.0608,0.0982,0.1831,0.0125,0.0341,0.1182,0.1426,0.1590,0.2394,0.1819,0.1852,0.2104,0.2553
25,EPS,0.01,0.01,0.01,0.04,0.05,0.04,0.03,0.04,0.08,0.17,0.32,0.41,0.33,0.16,0.50,1.28,0.31,0.16,-0.09,0.80,0.74,0.98,1.22,0.71,-0.23,0.70,1.46,0.09,0.21,0.91,1.13,1.56,3.20,3.27,2.89,3.95,6.47
26,EPS Diluted,0.01,0.01,0.01,0.04,0.05,0.04,0.03,0.04,0.08,0.17,0.32,0.41,0.33,0.15,0.47,1.20,0.30,0.16,-0.09,0.78,0.73,0.97,1.20,0.70,-0.23,0.70,1.45,0.09,0.21,0.90,1.12,1.54,3.17,3.23,2.86,3.92,6.40
27,Weighted Average Shares Outstanding,620000000,840448000,990272000,1000000000,1030000000,974285714,1048000000,1128571429,1246250000,1360336000,2837568000,1468856000,3022704000,1467396000,1501572000,1613160000,1626404000,1643612000,1659557000,1688121000,1645531000,1551339000,1406685000,1354176000,1333091000,1339949000,1319000000,1266000000,1202000000,1215000000,1214000000,1107000000,1073000000,1013000000,937000000,916000000,910000000
28,Weighted Average Shares Outstanding Diluted,620000000,840448000,990272000,1000000000,1030000000,974285714,1048000000,1128571429,1246250000,1360336000,2837568000,1468856000,3022704000,1514032000,1584172000,1718338000,1694658000,1701557000,1659557000,1721645000,1657493000,1565072000,1427002000,1374507000,1333091000,1348804000,1330000000,1277000000,1219000000,1231000000,1226000000,1116000000,1084000000,1026000000,945000000,923000000,919000000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/6951/000089161894000267/0000891618-94-000267-index.html,https://www.sec.gov/Archives/edgar/data/6951/000089161896000013/0000891618-96-000013-index.html,https://www.sec.gov/Archives/edgar/data/6951/000089161897000148/0000891618-97-000148-index.html,https://www.sec.gov/Archives/edgar/data/6951/0000891618-98-000207-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/6951/000000695102000002/0000006951-02-000002-index.html,- -,https://www.sec.gov/Archives/edgar/data/6951/000089161804000093/f95058e10vk.htm,https://www.sec.gov/Archives/edgar/data/6951/000095013404019339/f03874e10vk.htm,https://www.sec.gov/Archives/edgar/data/6951/000095013405023162/f15204e10vk.htm,https://www.sec.gov/Archives/edgar/data/6951/000089161806000507/f25754e10vk.htm,https://www.sec.gov/Archives/edgar/data/6951/000089161807000682/0000891618-07-000682-index.html,https://www.sec.gov/Archives/edgar/data/6951/000095013408022104/0000950134-08-022104-index.html,https://www.sec.gov/Archives/edgar/data/6951/000095012309070205/0000950123-09-070205-index.html,https://www.sec.gov/Archives/edgar/data/6951/000095012310112754/0000950123-10-112754-index.html,https://www.sec.gov/Archives/edgar/data/6951/000119312511332050/0001193125-11-332050-index.html,https://www.sec.gov/Archives/edgar/data/6951/000000695112000018/0000006951-12-000018-index.html,https://www.sec.gov/Archives/edgar/data/6951/000000695113000044/0000006951-13-000044-index.html,https://www.sec.gov/Archives/edgar/data/6951/000000695114000037/0000006951-14-000037-index.html,https://www.sec.gov/Archives/edgar/data/6951/000000695115000034/0000006951-15-000034-index.html,https://www.sec.gov/Archives/edgar/data/6951/000000695116000068/0000006951-16-000068-index.html,https://www.sec.gov/Archives/edgar/data/6951/000000695117000038/0000006951-17-000038-index.html,https://www.sec.gov/Archives/edgar/data/6951/000000695118000041/0000006951-18-000041-index.html,https://www.sec.gov/Archives/edgar/data/6951/000000695119000046/0000006951-19-000046-index.html,https://www.sec.gov/Archives/edgar/data/6951/000000695120000048/0000006951-20-000048-index.htm,https://www.sec.gov/Archives/edgar/data/6951/000000695121000043/0000006951-21-000043-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,35700000,21800000,70700000,100800000,57400000,57100000,125200000,159500000,119600000,160300000,285800000,404000000,448000000,575000000,823300000,1648000000,1356000000,1285000000,1365000000,2281844000,990000000,861000000,1203000000,1412000000,341000000,1857664000,297000000,876000000,1711000000,3002000000,4797000000,3406000000,5010000000,3440000000,3129000000,5351000000,4995000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,483500000,634000000,1095000000,1188000000,1937200000,2580000000,3485000000,3645000000,4128000000,4296152000,4945000000,1036000000,1167000000,689000000,1874000000,726918000,5946000000,1061000000,180000000,160000000,168000000,343000000,2266000000,590000000,489000000,387000000,464000000
33,Cash and Short-Term Investments,35700000,21800000,70700000,100800000,57400000,57100000,125200000,159500000,119600000,160300000,769300000,1038000000,1543000000,1763000000,2760500000,4228000000,4841000000,4930000000,5493000000,6577996000,5935000000,1897000000,2370000000,2101000000,2215000000,2584582000,6243000000,1937000000,1891000000,3162000000,4965000000,3749000000,7276000000,4030000000,3618000000,5738000000,5459000000
34,Net Receivables,31900000,39600000,49500000,98600000,131600000,147300000,152800000,191500000,256000000,405800000,817700000,822000000,1111000000,764000000,1198100000,2351000000,776000000,1046000000,913000000,1670153000,1616000000,2026000000,2049000000,1817000000,1226000000,1831863000,1532000000,1220000000,1640000000,1749000000,1866000000,2366000000,2395000000,2462000000,2737000000,3125000000,4953000000
35,Inventory,30900000,34000000,47100000,53800000,77000000,102300000,101500000,110700000,154600000,245700000,427400000,479000000,686000000,556000000,632700000,1504000000,1413000000,1274000000,951000000,1139368000,1034000000,1407000000,1313000000,1987000000,1627000000,1547378000,1701000000,1272000000,1413000000,1567000000,1833000000,2050000000,2930000000,3721000000,3474000000,3904000000,4309000000
36,Other Current Assets,10200000,8800000,11900000,23000000,76900000,60200000,54700000,120100000,245700000,418700000,297200000,354000000,430000000,436000000,469200000,756000000,752000000,823000000,1014000000,894002000,864000000,751000000,874000000,759000000,621000000,801492000,879000000,673000000,698000000,489000000,597000000,188000000,317000000,391000000,377000000,602000000,1386000000
37,Total Current Assets,108700000,104200000,179200000,276200000,342900000,366900000,434200000,581800000,775900000,1230500000,2311600000,2693000000,3770000000,3519000000,5060500000,8839000000,7782000000,8073000000,8371000000,10281519000,9449000000,6081000000,6606000000,6664000000,5689000000,6765315000,10355000000,5102000000,5642000000,6967000000,9261000000,8353000000,12918000000,10604000000,10206000000,13369000000,16107000000
38,PP&E,35700000,43400000,47000000,56000000,82100000,181500000,213200000,258500000,327700000,452500000,630700000,919000000,1066000000,1262000000,1227700000,1367000000,1706000000,1765000000,3094427000,2953130000,3011110000,2753883000,2782204000,2831952000,2906957000,963004000,866000000,910000000,850000000,861000000,892000000,937000000,1066000000,1407000000,1529000000,1856000000,2228000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13000000,12000000,- -,100000000,111000000,202000000,224000000,- -,339000000,573000000,1000000000,1175000000,1171000000,1336426000,1335000000,3518000000,3294000000,3304000000,3302000000,3316000000,3368000000,3368000000,3399000000,3466000000,3479000000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,186000000,91000000,- -,184000000,138000000,113000000,93000000,307612000,81000000,201000000,373000000,388000000,306000000,286821000,211000000,1355000000,1103000000,951000000,762000000,575000000,412000000,213000000,156000000,153000000,104000000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,199000000,103000000,- -,284000000,249000000,315000000,317000000,307612000,420000000,774000000,1373000000,1563000000,1477000000,1623247000,1546000000,4873000000,4397000000,4255000000,4064000000,3891000000,3780000000,3581000000,3555000000,3619000000,3583000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1052165000,1307283000,931000000,1055000000,1005000000,935000000,946000000,929000000,1143000000,1568000000,1703000000,1538000000,2055000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12000000,47000000,11000000,- -,109000000,124000000,130000000,146000000,- -,- -,- -,- -,- -,- -,284496000,- -,341000000,71000000,32000000,56000000,- -,- -,- -,- -,1711000000,1623000000
44,Other Non-Current Assets,5200000,6500000,6400000,7000000,8900000,9600000,13400000,13500000,16600000,19700000,23100000,14000000,-11000000,35000000,418300000,-53000000,-32000000,-58000000,-1616427000,-1448816000,-1611110000,-127883000,-107204000,-52952000,-1551122000,- -,163000000,-179000000,78000000,124000000,89000000,460000000,512000000,473000000,2031000000,260000000,229000000
45,Total Non-Current Assets,40900000,49900000,53400000,63000000,91000000,191100000,226600000,272000000,344300000,472200000,653800000,945000000,1301000000,1411000000,1646000000,1707000000,2047000000,2152000000,1941000000,1811926000,1820000000,3400000000,4048000000,4342000000,3885000000,4178030000,3506000000,7000000000,6401000000,6207000000,6047000000,6217000000,6501000000,7029000000,8818000000,8984000000,9718000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,149600000,154100000,232600000,339200000,433900000,558000000,660800000,853800000,1120200000,1702700000,2965400000,3638000000,5071000000,4930000000,6706500000,10546000000,9829000000,10225000000,10312000000,12093445000,11269000000,9481000000,10654000000,11006000000,9574000000,10943345000,13861000000,12102000000,12043000000,13174000000,15308000000,14570000000,19419000000,17633000000,19024000000,22353000000,25825000000
48,Accounts Payable,- -,- -,- -,- -,122900000,154500000,147100000,185700000,282700000,378200000,659600000,193000000,348000000,183000000,1388800000,650000000,249000000,269000000,258000000,1895061000,348000000,475000000,456000000,588000000,477000000,657971000,484000000,396000000,582000000,613000000,658000000,813000000,945000000,996000000,958000000,1124000000,1472000000
49,Short-Term Debt,10000000,8700000,4700000,10500000,14300000,27400000,36700000,33900000,48700000,58500000,82800000,78000000,56000000,1000000,42300000,95000000,- -,49776000,105292000,45864000,7574000,202535000,2561000,1068000,1240000,1258000,- -,- -,- -,- -,1200000000,200000000,- -,- -,600000000,64000000,73000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,49389000,372055000,158000000,92000000,114000000,193000000,118000000,151000000,182000000,248000000,215000000,255000000,758000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,782823000,- -,592742000,455473000,424502000,388807000,356336000,847231000,1116000000,755000000,794000000,940000000,765000000,1376000000,1665000000,1347000000,1336000000,1321000000,2076000000
52,Other Current Liabilities,30600000,23700000,43400000,106500000,5700000,13300000,16200000,28600000,49100000,59700000,119300000,664000000,998000000,934000000,238300000,2015000000,1284000000,1182224000,494885000,347056000,816684000,1302992000,1489937000,1968125000,1104424000,1381416000,1194000000,1114000000,1067000000,1270000000,1175000000,1243000000,1505000000,1579000000,1553000000,1950000000,2723000000
53,Total Current Liabilities,40600000,32400000,48100000,117000000,142900000,195200000,200000000,248200000,380500000,496400000,861700000,935000000,1402000000,1118000000,1669400000,2760000000,1533000000,1501000000,1641000000,2287981000,1765000000,2436000000,2373000000,2946000000,1939000000,2887876000,2794000000,2265000000,2443000000,2823000000,3798000000,3632000000,4115000000,3922000000,4447000000,4459000000,6344000000
54,Long-Term Debt,16900000,19600000,21100000,11300000,29400000,53600000,124000000,118400000,121100000,209100000,279800000,275000000,623000000,617000000,584400000,573000000,565000000,574000000,456000000,410436000,407000000,205000000,202000000,202000000,201000000,204271000,1947000000,1946000000,1946000000,1947000000,3342000000,3125000000,5304000000,5309000000,4713000000,5448000000,5680000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,4700000,8200000,8500000,7000000,6100000,7800000,6500000,6100000,7200000,11600000,11600000,- -,- -,- -,33200000,- -,- -,- -,- -,133001000,- -,- -,- -,- -,- -,- -,583000000,341000000,71000000,32000000,56000000,1000000,5000000,12000000,1275000000,- -,- -
57,Other Non-Current Liabilities,1000000,1100000,1300000,3100000,1100000,1100000,4800000,7000000,12600000,19300000,28800000,58000000,104000000,74000000,82900000,108000000,124000000,130000000,147000000,- -,169000000,188000000,258000000,309000000,340000000,315085000,-263000000,315000000,495000000,504000000,499000000,595000000,646000000,1545000000,375000000,1868000000,1554000000
58,Total Non-Current Liabilities,22600000,28900000,30900000,21400000,36600000,62500000,135300000,131500000,140900000,240000000,320200000,333000000,727000000,691000000,700500000,681000000,689000000,704000000,603000000,543437000,576000000,393000000,460000000,511000000,541000000,519356000,2267000000,2602000000,2512000000,2483000000,3897000000,3721000000,5955000000,6866000000,6363000000,7316000000,7234000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,259000000,301000000
61,Total Liabilities,63200000,61300000,79000000,138400000,179500000,257700000,335300000,379700000,521400000,736400000,1181900000,1268000000,2129000000,1809000000,2369900000,3441000000,2222000000,2205000000,2244000000,2831418000,2341000000,2829000000,2833000000,3457000000,2480000000,3407232000,5061000000,4867000000,4955000000,5306000000,7695000000,7353000000,10070000000,10788000000,10810000000,11775000000,13578000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,800000,1800000,4000000,4000000,4000000,3800000,8000000,8000000,16000000,17000000,16803000,16000000,14000000,14000000,13000000,13000000,13280000,13000000,12000000,12000000,12000000,11000000,11000000,11000000,10000000,9000000,9000000,9000000
64,Retained Earnings,31700000,32900000,34200000,74300000,125800000,159800000,186100000,225500000,325200000,545900000,1000000000,1600000000,2098000000,2329000000,3075600000,5185000000,5693000000,5962000000,5813000000,7164170000,8228000000,9472000000,10863000000,11601000000,10934000000,11510843000,13029000000,12700000000,12487000000,13072000000,13967000000,15252000000,18258000000,20880000000,24386000000,27209000000,32246000000
65,Other Comprehensive Income/Loss,-15100000,-21600000,-27000000,-33700000,-39000000,-55300000,-72600000,-85600000,-121900000,-170100000,-228900000,12000000,-20000000,-8000000,-931200000,-38000000,48000000,18609000,14840000,10321000,-37248000,-19010000,11353000,-26570000,-1680000,1666000,6000000,-61000000,-38000000,-76000000,-92000000,-115000000,-64000000,-125000000,-180000000,-299000000,-260000000
66,Other Total Stockholders Equity,69800000,81500000,146400000,160200000,167600000,195800000,212000000,334200000,395500000,589700000,1010600000,754000000,860000000,796000000,2188400000,1949000000,1858000000,2023040000,2223194000,2070733000,721797000,-2815590000,-3066944000,-4138472000,-3850712000,-3989676000,-4248000000,-5416000000,-5373000000,-5140000000,-6273000000,-7931000000,-8856000000,-13926000000,-16001000000,-16341000000,-19748000000
67,Total Stockholders Equity,86400000,92800000,153600000,200800000,254400000,300300000,325500000,474100000,598800000,966300000,1783500000,2370000000,2942000000,3121000000,4336600000,7104000000,7607000000,8019649000,8068034000,9262027000,8928549000,6651400000,7821409000,7448958000,7094608000,7536113000,8800000000,7235000000,7088000000,7868000000,7613000000,7217000000,9349000000,6839000000,8214000000,10578000000,12247000000
68,Total Liabilities And Stockholders Equity,149600000,154100000,232600000,339200000,433900000,558000000,660800000,853800000,1120200000,1702700000,2965400000,3638000000,5071000000,4930000000,6706500000,10545000000,9829000000,10224649000,10312034000,12093445000,11269549000,9480400000,10654409000,10905958000,9574608000,10943345000,13861000000,12102000000,12043000000,13174000000,15308000000,14570000000,19419000000,17627000000,19024000000,22353000000,25825000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1000000,- -,351000,-34000,- -,-549000,600000,-409000,100042000,-608000,- -,- -,- -,- -,- -,- -,- -,- -,6000000,- -,- -,- -
70,Total Liabilities & Equity,149600000,154100000,232600000,339200000,433900000,558000000,660800000,853800000,1120200000,1702700000,2965400000,3638000000,5071000000,4930000000,6706500000,10546000000,9829000000,10225000000,10312000000,12093445000,11269000000,9481000000,10654000000,11006000000,9574000000,10943345000,13861000000,12102000000,12043000000,13174000000,15308000000,14570000000,19419000000,17633000000,19024000000,22353000000,25825000000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/6951/000089161894000267/0000891618-94-000267-index.html,https://www.sec.gov/Archives/edgar/data/6951/000089161896000013/0000891618-96-000013-index.html,https://www.sec.gov/Archives/edgar/data/6951/000089161897000148/0000891618-97-000148-index.html,https://www.sec.gov/Archives/edgar/data/6951/0000891618-98-000207-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/6951/000000695102000002/0000006951-02-000002-index.html,- -,https://www.sec.gov/Archives/edgar/data/6951/000089161804000093/f95058e10vk.htm,https://www.sec.gov/Archives/edgar/data/6951/000095013404019339/f03874e10vk.htm,https://www.sec.gov/Archives/edgar/data/6951/000095013405023162/f15204e10vk.htm,https://www.sec.gov/Archives/edgar/data/6951/000089161806000507/f25754e10vk.htm,https://www.sec.gov/Archives/edgar/data/6951/000089161807000682/0000891618-07-000682-index.html,https://www.sec.gov/Archives/edgar/data/6951/000095013408022104/0000950134-08-022104-index.html,https://www.sec.gov/Archives/edgar/data/6951/000095012309070205/0000950123-09-070205-index.html,https://www.sec.gov/Archives/edgar/data/6951/000095012310112754/0000950123-10-112754-index.html,https://www.sec.gov/Archives/edgar/data/6951/000119312511332050/0001193125-11-332050-index.html,https://www.sec.gov/Archives/edgar/data/6951/000000695112000018/0000006951-12-000018-index.html,https://www.sec.gov/Archives/edgar/data/6951/000000695113000044/0000006951-13-000044-index.html,https://www.sec.gov/Archives/edgar/data/6951/000000695114000037/0000006951-14-000037-index.html,https://www.sec.gov/Archives/edgar/data/6951/000000695115000034/0000006951-15-000034-index.html,https://www.sec.gov/Archives/edgar/data/6951/000000695116000068/0000006951-16-000068-index.html,https://www.sec.gov/Archives/edgar/data/6951/000000695117000038/0000006951-17-000038-index.html,https://www.sec.gov/Archives/edgar/data/6951/000000695118000041/0000006951-18-000041-index.html,https://www.sec.gov/Archives/edgar/data/6951/000000695119000046/0000006951-19-000046-index.html,https://www.sec.gov/Archives/edgar/data/6951/000000695120000048/0000006951-20-000048-index.htm,https://www.sec.gov/Archives/edgar/data/6951/000000695121000043/0000006951-21-000043-index.htm
