,https://roic.ai/company/BPOPM,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
21,Income Before Tax Ratio,106.5754,95.3966,4.5549,-2.5610,61.5308,0.1859,0.1595,0.2429,-0.2016,0.6345,0.1516,0.0717,-0.9394,Infinity,- -,- -
22,Income Tax expense (Gain),- -,1648000,30288000,-8302000,108230000,114927000,-26403000,-251327000,58279000,-495172000,78784000,230830000,119579000,- -,- -,- -
23,Net Income,357676000,357676000,-64493000,-553947000,137401000,151325000,245275000,599327000,-313490000,895344000,216691000,107681000,618158000,409395000,- -,- -
24,Net Income ratio,82.0546,1233.3655,-0.5581,-2.5231,34.4191,0.1057,0.1787,0.4184,-0.3317,0.6355,0.1524,0.0717,32.1321,Infinity,- -,- -
25,EPS,1.24,1.23,-0.32,0.02,0.13,0.15,2.39,5.84,-3.05,8.70,2.10,1.06,6.11,4.05,- -,- -
26,EPS Diluted,1.24,1.23,-0.32,0.02,0.13,0.15,2.39,5.82,-3.05,8.68,2.10,1.06,6.10,4.05,- -,- -
27,Weighted Average Shares Outstanding,288448387,290632911,202926923,202926923,1021380199,1021793932,102429755,102693685,102848792,102967186,103275264,101966429,101142258,101142258,- -,97073177
28,Weighted Average Shares Outstanding Diluted,288448387,290632911,202926923,202926923,1022543195,1022894962,102653610,103061475,102848792,103124309,103377283,102045336,101308643,101142258,- -,97073177
29,SEC Link,https://www.sec.gov/Archives/edgar/data/763901/000095014407001794/0000950144-07-001794-index.htm,https://www.sec.gov/Archives/edgar/data/763901/000095014408001554/0000950144-08-001554-index.htm,https://www.sec.gov/Archives/edgar/data/763901/000095014409001778/0000950144-09-001778-index.htm,https://www.sec.gov/Archives/edgar/data/763901/000095012310019250/0000950123-10-019250-index.htm,https://www.sec.gov/Archives/edgar/data/763901/000095012311020539/0000950123-11-020539-index.htm,https://www.sec.gov/Archives/edgar/data/763901/000119312512088543/0001193125-12-088543-index.htm,https://www.sec.gov/Archives/edgar/data/763901/000119312513084900/0001193125-13-084900-index.htm,https://www.sec.gov/Archives/edgar/data/763901/000119312514077711/0001193125-14-077711-index.htm,https://www.sec.gov/Archives/edgar/data/763901/000119312515073457/0001193125-15-073457-index.htm,https://www.sec.gov/Archives/edgar/data/763901/000119312516485443/0001193125-16-485443-index.htm,https://www.sec.gov/Archives/edgar/data/763901/000119312517066025/0001193125-17-066025-index.htm,https://www.sec.gov/Archives/edgar/data/763901/000119312518066922/0001193125-18-066922-index.htm,https://www.sec.gov/Archives/edgar/data/763901/000119312519059912/0001193125-19-059912-index.htm,https://www.sec.gov/Archives/edgar/data/763901/000119312520058848/0001193125-20-058848-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/763901/000119312522060953/0001193125-22-060953-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,19384000,17161000,- -,12212000,18000,535282000,439363000,423211000,381095000,363674000,362394000,402857000,394035000,7401000,- -,7523000
32,Short-Term Investments,- -,- -,- -,- -,- -,578617000,528287000,326220000,732894000,338700000,8209806000,10178738000,13300184000,- -,- -,17536719000
33,Cash and Short-Term Investments,19384000,17161000,- -,12212000,18000,1113899000,967650000,749431000,1113989000,702374000,8572200000,10581595000,13694219000,7401000,- -,17544242000
34,Net Receivables,- -,- -,- -,- -,- -,125209000,125728000,131536000,121818000,124234000,138042000,213844000,166022000,- -,- -,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
37,Total Current Assets,19384000,17161000,- -,12212000,18000,1239108000,1093378000,880967000,1235807000,826608000,8710242000,10795439000,13860241000,7401000,- -,17544242000
38,PP&E,- -,- -,- -,- -,- -,538486000,535793000,519516000,494581000,502611000,543981000,547142000,569808000,- -,- -,- -
39,Goodwill,- -,- -,- -,- -,647387000,648350000,647757000,647757000,465676000,626388000,627294000,627294000,671122000,671122000,- -,720293000
40,Intangible Assets,- -,- -,- -,- -,58696000,63954000,54295000,45132000,37595000,58109000,45050000,35672000,26833000,28780000,- -,16219000
41,Intangible Assets,- -,- -,- -,- -,706083000,712304000,702052000,692889000,503271000,684497000,672344000,662966000,697955000,699902000,- -,736512000
42,Investments,- -,- -,- -,- -,- -,1048506000,838603000,677433000,1671252000,2083754000,2866580000,5255119000,4171048000,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,429691000,541499000,761768000,812819000,1302452000,1243668000,1035110000,1049895000,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,-241523000,33380337000,32796210000,32216760000,28378965000,30369612000,24624794000,25981561000,27255630000,-531565000,- -,- -
45,Total Non-Current Assets,- -,- -,- -,- -,464560000,36109324000,35414157000,34868366000,31860888000,34942926000,29951367000,33481898000,33744336000,168337000,- -,736512000
46,Other Assets,48275182000,47087774000,40924017000,421920000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,48294566000,47104935000,40924017000,434132000,464578000,37348432000,36507535000,35749333000,33096695000,35769534000,38661609000,44277337000,47604577000,175738000,- -,160302000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
49,Short-Term Debt,4034000,1502000,- -,7000,364222000,296200000,636200000,401200000,21200000,1200000,1200000,96208000,20412000,1101608000,- -,75000000
50,Tax Payable,- -,- -,- -,- -,- -,19500000,13400000,9800000,8000000,9000000,7400000,7300000,7200000,- -,- -,-325069000
51,Deferred Revenue,- -,- -,- -,- -,- -,100596000,96813000,92144000,93835000,107698000,121425000,130633000,155824000,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,19500000,-622800000,-391400000,-13200000,7800000,6200000,-88908000,7200000,- -,- -,- -
53,Total Current Liabilities,4034000,1502000,- -,7000,364222000,416296000,110213000,101944000,101835000,116698000,128825000,137933000,183436000,1101608000,- -,75000000
54,Long-Term Debt,2836000,1490000,- -,385000,- -,1856372000,1777721000,1584754000,1711828000,1670309000,1574852000,1536356000,1256102000,- -,- -,-3635000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,279469000,161635000,135082000,158049000,183302000,162149000,154049000,96406000,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,69057137000
58,Total Non-Current Liabilities,2836000,1490000,- -,385000,- -,2135841000,1939356000,1719836000,1869877000,1853611000,1737001000,1690405000,1352508000,- -,- -,69053502000
59,Other Liabilities,- -,- -,24000,- -,34558209000,35149224000,34226678000,32741075000,30597355000,32401123000,35071828000,40725904000,43338592000,44996937000,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,-1198000,-12000,24000,378000,34922431000,33429679000,32397535000,31123183000,28829313000,30664210000,33463652000,39173432000,42169520000,46098545000,- -,69128502000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,345763000,-76406000,-1279200000,6206000,8622000,10263000,1032000,1034000,1036000,1038000,1040000,1042000,1043000,116254000,- -,42460000
64,Retained Earnings,- -,- -,- -,- -,- -,-212726000,11826000,594430000,253717000,1087957000,1220307000,1194994000,1651731000,2147915000,- -,2973745000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,-5961000,-42548000,-102868000,-188745000,-229872000,-256886000,-320286000,-350652000,-427974000,-169938000,- -,-325069000
66,Other Total Stockholders Equity,3395510000,3937832000,4637495000,- -,3797870000,4163764000,4200010000,4219431000,4242501000,4273215000,4296896000,4258521000,4210257000,3922548000,- -,3278261000
67,Total Stockholders Equity,3741273000,3861426000,3358295000,- -,3800531000,3918753000,4110000000,4626150000,4267382000,5105324000,5197957000,5103905000,5435057000,6016779000,- -,5969397000
68,Total Liabilities And Stockholders Equity,3740075000,3861414000,3358319000,434132000,38722962000,37348432000,36507535000,35749333000,33096695000,35769534000,38661609000,44277337000,47604577000,52115324000,- -,75097899000
69,Minority Interest,44554491000,43243521000,37565698000,- -,-38258384000,- -,- -,- -,- -,- -,- -,- -,- -,-51939586000,- -,-74937597000
70,Total Liabilities & Equity,48294566000,47104935000,40924017000,434132000,464578000,37348432000,36507535000,35749333000,33096695000,35769534000,38661609000,44277337000,47604577000,175738000,- -,160302000
71,SEC Link,https://www.sec.gov/Archives/edgar/data/763901/000095014407001794/0000950144-07-001794-index.htm,https://www.sec.gov/Archives/edgar/data/763901/000095014408001554/0000950144-08-001554-index.htm,https://www.sec.gov/Archives/edgar/data/763901/000095014409001778/0000950144-09-001778-index.htm,https://www.sec.gov/Archives/edgar/data/763901/000095012310019250/0000950123-10-019250-index.htm,https://www.sec.gov/Archives/edgar/data/763901/000095012311020539/0000950123-11-020539-index.htm,https://www.sec.gov/Archives/edgar/data/763901/000119312512088543/0001193125-12-088543-index.htm,https://www.sec.gov/Archives/edgar/data/763901/000119312513084900/0001193125-13-084900-index.htm,https://www.sec.gov/Archives/edgar/data/763901/000119312514077711/0001193125-14-077711-index.htm,https://www.sec.gov/Archives/edgar/data/763901/000119312515073457/0001193125-15-073457-index.htm,https://www.sec.gov/Archives/edgar/data/763901/000119312516485443/0001193125-16-485443-index.htm,https://www.sec.gov/Archives/edgar/data/763901/000119312517066025/0001193125-17-066025-index.htm,https://www.sec.gov/Archives/edgar/data/763901/000119312518066922/0001193125-18-066922-index.htm,https://www.sec.gov/Archives/edgar/data/763901/000119312519059912/0001193125-19-059912-index.htm,https://www.sec.gov/Archives/edgar/data/763901/000119312520058848/0001193125-20-058848-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/763901/000119312522060953/0001193125-22-060953-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , 
73,Net Income,357676000,357676000,-64493000,-553947000,137401000,151325000,245275000,599327000,-313490000,895344000,216691000,107681000,618158000,409395000,- -,- -
74,Depreciation and Amortization,84388000,78563000,73088000,64451000,58861000,169146000,127485000,137049000,-222005000,131989000,99804000,80052000,149780000,96000,- -,5656000
75,Deferred Income Tax,-26208000,-223740000,379726000,-79890000,-12127000,-5862000,135491000,288754000,-43512000,519128000,-60694000,-207428000,13962000,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1756000,10521000,7927000,- -,8895000
77,Change in Working Capital,547791000,309000,-15659000,12205000,-376409000,1187016000,160353000,-204142000,354949000,-424062000,7871507000,2076089000,3019299000,-14771012000,- -,18563449000
78,Accounts Receivable,-4209000,11832000,59459000,30601000,11315000,25449000,-519000,- -,9719000,5392000,-13808000,-75802000,49288000,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,15350000,15659000,- -,12205000,-364204000,822812000,983165000,779023000,1133972000,709910000,8581417000,10657506000,13676805000,-1094207000,- -,17469242000
82,Other Non-Cash Items,-117631000,491154000,884856000,1186084000,355433000,-824952000,-144478000,-1683000,1097060000,-452264000,-7537841000,-1419126000,-2964217000,14741829000,- -,-17793151000
83,Cash Provided by Operating Activities,846016000,703962000,1257518000,628903000,163159000,676673000,524126000,819305000,873002000,670135000,589467000,635512000,847503000,388235000,- -,784849000
84,CAPEX,- -,- -,- -,- -,- -,-50043000,-54899000,-38573000,-51046000,-62656000,-100320000,-62697000,-80549000,- -,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1843333000,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,-483000,-450000,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,1360386000,1636723000,1823474000,1722650000,1362712000,1227966000,2023295000,6946209000,- -,- -,5601000
88,Other Investing Activites,1318336000,423947000,2680196000,2654401000,4077134000,-410667000,-1344732000,-1481902000,-1646152000,-1061717000,-4571652000,-7309334000,-9412994000,-41609000,- -,-106639000
89,Cash Used for Investing Activites,1318336000,423947000,2680196000,2654401000,4077134000,899193000,236642000,302999000,25452000,238339000,-3444006000,-5348736000,-4390667000,-41609000,- -,-101038000
90,Debt Repayment,- -,- -,- -,- -,- -,68022000,-340000000,235000000,380000000,148215000,- -,-95008000,96167000,- -,- -,- -
91,Common Stock Issued,55846000,20414000,17712000,- -,153000,7690000,9402000,6860000,5394000,6226000,7437000,7016000,7268000,13451000,- -,10493000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-483000,-450000,-437000,-3236000,-1984000,-2186000,-75664000,-125264000,-250571000,- -,-350656000
93,Dividends Paid,-188321000,-190617000,-188644000,-71438000,-310000,-3723000,-3723000,-3723000,-3723000,-19257000,-65932000,-95910000,-105441000,-277062000,- -,-151737000
94,Other Financing Activites,-2000030000,-1089039000,-3800620000,-3319523000,- -,-1564463000,-521916000,-1376156000,-1319005000,-1059095000,2913940000,5013253000,3661056000,155832000,- -,-181500000
95,Cash Used/Provided by Financing Activities,-2132505000,-1259242000,-3971552000,-3390961000,- -,-1492957000,-856687000,-1138456000,-940570000,-925895000,2853259000,4753687000,3533786000,-358350000,- -,-673400000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,43761000,-131333000,-33838000,-107657000,- -,82909000,-95919000,-16152000,-42116000,-17421000,-1280000,40463000,-9378000,-11724000,- -,10411000
98,Cash at the End of Period,950158000,818825000,784987000,677330000,- -,535282000,439363000,423211000,381095000,363674000,362394000,402857000,403251000,56554000,- -,80305000
99,Cash at the Beginning of Period,906397000,950158000,818825000,784987000,- -,452373000,535282000,439363000,423211000,381095000,363674000,362394000,412629000,68278000,- -,69894000
100,Free Cash Flow,846016000,703962000,1257518000,628903000,163159000,626630000,469227000,780732000,821956000,607429000,489147000,572815000,766954000,388235000,- -,784849000
101,SEC Link,https://www.sec.gov/Archives/edgar/data/763901/000095014407001794/0000950144-07-001794-index.htm,https://www.sec.gov/Archives/edgar/data/763901/000095014408001554/0000950144-08-001554-index.htm,https://www.sec.gov/Archives/edgar/data/763901/000095014409001778/0000950144-09-001778-index.htm,https://www.sec.gov/Archives/edgar/data/763901/000095012310019250/0000950123-10-019250-index.htm,https://www.sec.gov/Archives/edgar/data/763901/000095012311020539/0000950123-11-020539-index.htm,https://www.sec.gov/Archives/edgar/data/763901/000119312512088543/0001193125-12-088543-index.htm,https://www.sec.gov/Archives/edgar/data/763901/000119312513084900/0001193125-13-084900-index.htm,https://www.sec.gov/Archives/edgar/data/763901/000119312514077711/0001193125-14-077711-index.htm,https://www.sec.gov/Archives/edgar/data/763901/000119312515073457/0001193125-15-073457-index.htm,https://www.sec.gov/Archives/edgar/data/763901/000119312516485443/0001193125-16-485443-index.htm,https://www.sec.gov/Archives/edgar/data/763901/000119312517066025/0001193125-17-066025-index.htm,https://www.sec.gov/Archives/edgar/data/763901/000119312518066922/0001193125-18-066922-index.htm,https://www.sec.gov/Archives/edgar/data/763901/000119312519059912/0001193125-19-059912-index.htm,https://www.sec.gov/Archives/edgar/data/763901/000119312520058848/0001193125-20-058848-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/763901/000119312522060953/0001193125-22-060953-index.htm
102,false,,,,,,,,,,,,,,,,
