,https://roic.ai/company/DSWL,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
20,Income Before Tax,- -,- -,6100000,9200000,13700000,10000000,11188000,13746000,13859000,15357000,17266000,18089000,9992000,14239000,9992000,913000,2189000,-7732000,-979000,-1663000,-6866000,-2253000,-2253000,1585000,6197000,4417000,-947000,8706000
21,Income Before Tax Ratio,- -,- -,0.1993,0.2067,0.2069,0.1873,0.1835,0.1700,0.1663,0.1689,0.1776,0.1440,0.0867,0.1041,0.0867,0.0069,0.0268,-0.0920,-0.0151,-0.0308,-0.1677,-0.0592,-0.0592,0.0356,0.1021,0.0663,-0.0145,0.1342
22,Income Tax expense (Gain),- -,- -,200000,500000,700000,500000,890000,315000,535000,3826000,589000,576000,-27000,1239000,-27000,-282000,690000,382000,482000,328000,624000,207000,- -,- -,7000,144000,373000,475000
23,Net Income,- -,- -,5900000,8700000,13000000,9500000,10298000,12810000,13324000,10243000,14720000,15183000,8779000,12167000,8779000,1195000,1499000,-8114000,-1461000,-1991000,-7490000,-2808000,-2253000,1585000,6190000,4273000,-1320000,8231000
24,Net Income ratio,- -,- -,0.1928,0.1955,0.1964,0.1779,0.1689,0.1584,0.1599,0.1127,0.1514,0.1209,0.0762,0.0890,0.0762,0.0091,0.0184,-0.0966,-0.0226,-0.0368,-0.1830,-0.0737,-0.0592,0.0356,0.1020,0.0642,-0.0202,0.1269
25,EPS,- -,- -,0.28,0.37,0.51,0.34,0.38,1.06,1.06,0.79,1.08,1.04,0.59,0.81,0.57,0.08,0.09,-0.50,-0.09,-0.12,-0.46,-0.17,-0.15,0.10,0.39,0.27,-0.08,0.52
26,EPS Diluted,- -,- -,0.28,0.37,0.47,0.34,0.37,1.05,1.05,0.77,1.04,1.02,0.59,0.81,0.57,0.08,0.09,-0.50,-0.09,-0.12,-0.46,-0.17,-0.15,0.10,0.39,0.27,-0.08,0.51
27,Weighted Average Shares Outstanding,- -,- -,10227270,25423758,12315432,12308688,27370872,12096000,12604500,13008000,13663500,14656000,14908000,14956000,15517000,15791000,15965000,16193000,16197000,16468000,16186000,16056000,15020000,16035000,15885000,15885000,15914000,15915000
28,Weighted Average Shares Outstanding Diluted,- -,- -,10227270,25423758,12315432,12308688,27557997,12228750,12699000,13278000,14160000,14933000,14936000,15048000,15556000,15805000,16039000,16203000,16207000,16560000,16186000,16056000,15020000,16035000,15985000,16059000,16020000,16047000
29,SEC Link,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/946936/000095012904004935/v00101e20vf.htm,https://www.sec.gov/Archives/edgar/data/946936/000095012905006944/v10227e20vf.htm,https://www.sec.gov/Archives/edgar/data/946936/000095013406013215/v21967e20vf.htm,https://www.sec.gov/Archives/edgar/data/946936/000095013407016333/v32351e20vf.htm,https://www.sec.gov/Archives/edgar/data/946936/000095015008000024/v43702e20vf.htm,https://www.sec.gov/Archives/edgar/data/946936/000095012309035089/v53474e20vf.htm,https://www.sec.gov/Archives/edgar/data/946936/000095012310069665/v56825e20vf.htm,https://www.sec.gov/Archives/edgar/data/946936/000119312511206551/d20f.htm,https://www.sec.gov/Archives/edgar/data/946936/000117494712000307/d29533.htm,https://www.sec.gov/Archives/edgar/data/946936/000117494713000289/dswl031320f_20f.htm,https://www.sec.gov/Archives/edgar/data/946936/000117494714000280/dswl031420f_20f.htm,https://www.sec.gov/Archives/edgar/data/946936/000117494715001261/dswl071520f.htm,https://www.sec.gov/Archives/edgar/data/946936/000117494716002940/0001174947-16-002940-index.html,https://www.sec.gov/Archives/edgar/data/946936/000117494717001059/0001174947-17-001059-index.htm,- -,https://www.sec.gov/Archives/edgar/data/946936/000117494719000884/e5697_20f.htm,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,25330000,31534000,34400000,30193000,28073000,25369000,24549000,22718000,23134000,35120000,35635000,33073000,40746000,34536000,14325000,11996000,8078000,15192000,14371000,22514000,20223000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,1115000,4821000,- -,244000,164000,107000,116000,100000,5673000,1045000,11638000,7754000,6946000,11479000,- -,16327000,22601000,24817000,20224000,25073000
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,25330000,32649000,39221000,30193000,28317000,25533000,24656000,22834000,23234000,40793000,36680000,44711000,48500000,41482000,25804000,11996000,24405000,37793000,39188000,42738000,45296000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,16205000,17316000,17050000,19084000,25111000,18318000,23916000,22796000,22227000,14399000,17687000,12476000,8412000,7926000,9755000,9208000,13159000,16507000,16165000,12745000,15163000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,12034000,13225000,14784000,16174000,21136000,21845000,29495000,26462000,21445000,15808000,19517000,15852000,11376000,11012000,10828000,8114000,10688000,12933000,13030000,8578000,16193000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,3821000,6282000,5014000,3342000,5801000,5684000,2276000,1809000,2874000,1844000,1677000,2164000,999000,1474000,11853000,21335000,7841000,1672000,1575000,1308000,2034000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,57390000,69472000,76069000,68793000,80365000,71380000,80343000,73901000,69780000,72844000,75561000,75203000,69287000,61894000,58240000,50653000,56093000,68905000,69958000,65369000,78686000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,25563000,24794000,29623000,44261000,56133000,58286000,60157000,65885000,66564000,60705000,51052000,46177000,42694000,38742000,36598000,32352000,31992000,31494000,30211000,28586000,27323000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,513000,- -,- -,- -,- -,710000,710000,391000,392000,392000,392000,392000,392000,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,478000,478000,478000,478000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,513000,478000,478000,478000,478000,710000,710000,391000,392000,392000,392000,392000,392000,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16327000,- -,- -,1424000,1851000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,294000,- -,230000,746000,70000,154000,187000,192000,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,2000,2000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1601000,- -,-13425000,- -,- -,- -,- -
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,26076000,25272000,30103000,44741000,56611000,59290000,60867000,66506000,67702000,61167000,51598000,46756000,43278000,38742000,38199000,32352000,34894000,31494000,30211000,30010000,29174000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,83466000,94744000,106172000,113534000,136976000,130670000,141210000,140407000,137482000,134011000,127159000,121959000,112565000,100636000,96439000,83005000,90987000,100399000,100169000,95379000,107860000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,4274000,7583000,9643000,11168000,16449000,10886000,15865000,12527000,10370000,7298000,6864000,5741000,3144000,2665000,3348000,3348000,2228000,8596000,6253000,4604000,9522000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,482000,- -,- -,- -,- -,- -,- -,- -,883000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,705000,- -,605000,449000,616000,264000,350000,345000,401000,603000,657000,735000,886000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1965000,2257000,1254000,1780000,2450000,804000,825000,1707000,1298000,1172000,1683000
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,5760000,6485000,8203000,4749000,6340000,5380000,5806000,6623000,6805000,4815000,7043000,6272000,6591000,6581000,6578000,8224000,7710000,8042000,7995000,8530000,10009000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,10034000,14550000,17846000,15917000,22789000,16266000,21671000,19150000,17175000,12996000,15872000,14270000,10989000,11026000,12376000,12376000,10763000,18345000,15546000,14306000,21214000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,15000,15000,15000,15000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,775000,659000,751000,957000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,15000,15000,15000,15000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,775000,659000,751000,957000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,84063000,76808000,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,10049000,14565000,17861000,15932000,22789000,16266000,21671000,19150000,17175000,12996000,15872000,14270000,10989000,11026000,12376000,96439000,87571000,19120000,16205000,15057000,22171000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,56000,56000,28247000,29980000,39068000,41254000,42393000,49923000,49923000,50803000,- -,- -,- -,- -,- -,- -,- -,53063000,53063000,53143000,53143000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,36978000,43073000,46629000,52780000,58729000,58108000,60555000,59891000,57297000,57177000,47443000,44038000,37014000,25909000,20130000,- -,12948000,17716000,20401000,16695000,22062000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,-18952000,-23025000,-26943000,-25702000,-30088000,436000,1106000,3734000,5316000,5316000,5316000,4570000,5288000,5345000,5378000,5000000,5000000,5316000,5316000,5316000,5316000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,55335000,60075000,33913000,32672000,37058000,6970000,7601000,7709000,7771000,7719000,58844000,58651000,59562000,58701000,58933000,79063000,58860000,5184000,5184000,5168000,5168000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,73417000,80179000,81846000,89730000,104767000,106768000,111655000,121257000,120307000,121015000,111287000,107689000,101576000,89610000,84063000,84063000,76808000,81279000,83964000,80322000,85689000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,83466000,94744000,99707000,105662000,127556000,123034000,133326000,140407000,137482000,134011000,127159000,121959000,112565000,100636000,96439000,180502000,164379000,100399000,100169000,95379000,107860000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,6465000,7872000,9420000,7636000,7884000,- -,- -,- -,- -,- -,- -,- -,- -,-97497000,-73392000,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,83466000,94744000,106172000,113534000,136976000,130670000,141210000,140407000,137482000,134011000,127159000,121959000,112565000,100636000,96439000,83005000,90987000,100399000,100169000,95379000,107860000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/946936/000095012904004935/v00101e20vf.htm,https://www.sec.gov/Archives/edgar/data/946936/000095012905006944/v10227e20vf.htm,https://www.sec.gov/Archives/edgar/data/946936/000095013406013215/v21967e20vf.htm,https://www.sec.gov/Archives/edgar/data/946936/000095013407016333/v32351e20vf.htm,https://www.sec.gov/Archives/edgar/data/946936/000095015008000024/v43702e20vf.htm,https://www.sec.gov/Archives/edgar/data/946936/000095012309035089/v53474e20vf.htm,https://www.sec.gov/Archives/edgar/data/946936/000095012310069665/v56825e20vf.htm,https://www.sec.gov/Archives/edgar/data/946936/000119312511206551/d20f.htm,https://www.sec.gov/Archives/edgar/data/946936/000117494712000307/d29533.htm,https://www.sec.gov/Archives/edgar/data/946936/000117494713000289/dswl031320f_20f.htm,https://www.sec.gov/Archives/edgar/data/946936/000117494714000280/dswl031420f_20f.htm,https://www.sec.gov/Archives/edgar/data/946936/000117494715001261/dswl071520f.htm,https://www.sec.gov/Archives/edgar/data/946936/000117494716002940/0001174947-16-002940-index.html,https://www.sec.gov/Archives/edgar/data/946936/000117494717001059/0001174947-17-001059-index.htm,- -,https://www.sec.gov/Archives/edgar/data/946936/000117494719000884/e5697_20f.htm,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,5900000,8700000,13000000,9500000,10298000,12810000,13324000,10243000,14720000,15183000,8779000,12167000,8779000,1195000,1499000,-8114000,-1461000,-1991000,-7490000,-2808000,-2253000,1585000,6190000,4273000,-1320000,8231000
74,Depreciation and Amortization,- -,- -,1400000,2400000,3400000,4200000,4784000,5039000,4918000,4692000,4402000,4970000,5299000,5274000,5299000,7264000,7011000,6197000,4920000,4219000,3621000,2824000,2373000,2135000,2138000,2114000,1973000,1755000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-15000,-294000,615000,-294000,-517000,1016000,-211000,175000,180000,277000,115000,21000,64000,-114000,-116000,92000,206000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,62000,125000,- -,549000,- -,- -,199000,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,- -,- -,-700000,-1700000,-4800000,- -,-4314000,-4596000,-971000,-448000,-5657000,-5926000,-2802000,-3316000,-2802000,3257000,9233000,-6423000,6784000,6207000,244000,-1292000,-8937000,7053000,-20000,-3116000,6176000,-4248000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-918000,7828000,-3189000,4716000,3971000,384000,-1724000,95000,-4322000,-2079000,-225000,3136000,-2804000
79,Inventory,- -,- -,-900000,-2600000,-900000,500000,-5030000,-1102000,-1191000,-1559000,-1390000,-4962000,-709000,-7650000,-709000,4923000,5637000,-5117000,3402000,4366000,230000,-157000,-252000,-2509000,-2541000,-353000,4026000,-7615000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2157000,-3072000,-434000,-1123000,-2597000,-479000,683000,-1120000,2924000,3444000,-2343000,-1649000,4918000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,335000,-577000,1082000,-193000,-1003000,526000,670000,38277000,45330000,-445000,-409000,-126000,511000
82,Other Non-Cash Items,- -,- -,1300000,1800000,3300000,1600000,468000,557000,932000,1294000,1760000,2213000,1340000,1067000,1340000,408000,-4533000,5357000,182000,-205000,1470000,-1408000,9359000,-11919000,-2495000,-989000,6200000,-2648000
83,Cash Provided by Operating Activities,- -,- -,7900000,11200000,14900000,15300000,11236000,13810000,18203000,15781000,15225000,16425000,12322000,15807000,12322000,11669000,14351000,-3194000,11149000,8410000,-1878000,-2370000,563000,-1082000,5699000,2166000,13121000,3296000
84,CAPEX,- -,- -,-4100000,-6500000,-7400000,-4300000,-6019000,-13926000,-4397000,-9731000,-19862000,-17003000,-6940000,-7812000,-6940000,-7402000,-1606000,-1034000,-282000,-951000,-853000,-890000,-591000,-2152000,-1707000,-878000,-507000,-551000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1056000,- -,- -,- -,- -,- -,-5631000,-8049000,-15568000,-7983000,- -,-4455000,-10349000,-3159000,-5584000,-12704000,-3957000,-8403000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6410000,- -,- -,- -,- -,- -,260000,13509000,4251000,9225000,- -,1011000,- -,- -,9812000,12158000,1620000,6150000
88,Other Investing Activites,- -,- -,-1300000,-800000,- -,600000,417000,254000,-597000,620000,430000,36000,50000,3232000,50000,345000,5528000,87000,314000,-4580000,-1488000,722000,9734000,5031000,6000,25000,188000,81000
89,Cash Used for Investing Activites,- -,- -,-5400000,-7300000,-7400000,-3700000,-5602000,-13672000,-4994000,-9111000,-14078000,-16967000,-6890000,-4580000,-6890000,-7057000,-1449000,4513000,-11285000,-4289000,-2341000,-3612000,-1206000,-280000,2527000,-1399000,-2656000,-2723000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,9900000,2400000,6400000,- -,- -,2746000,243000,4217000,1733000,9092000,352000,950000,352000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,-1257000,- -,-564000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1102000,-1411000,- -,- -,-308000,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,-2800000,-3800000,-5900000,-4777000,-4710000,-7229000,-7538000,-9151000,-9990000,-7311000,-11809000,-7311000,-3789000,-1619000,-810000,-2430000,-5357000,-3615000,-2971000,-1686000,-2248000,-1112000,-1588000,-2386000,-2864000
94,Other Financing Activites,- -,- -,-4600000,-400000,-200000,- -,- -,- -,545000,-483000,2064000,-680000,-1008000,67000,-1008000,- -,703000,6000,4000,1295000,493000,- -,- -,- -,- -,- -,64000,- -
95,Cash Used/Provided by Financing Activities,- -,- -,5300000,-800000,2400000,-5900000,-6034000,-1964000,-7005000,-3804000,-5354000,-1578000,-7967000,-10792000,-7967000,-3789000,-916000,-804000,-2426000,-5164000,-4533000,-2971000,-1686000,-2556000,-1112000,-1588000,-2322000,-2864000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-169000,-1255000,-169000,-407000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,5300000,3100000,9900000,5700000,-400000,-1826000,6204000,2866000,-4207000,-2120000,-2704000,-820000,-2704000,416000,11986000,515000,-2562000,-1043000,-8752000,-8953000,-2329000,-3918000,7114000,-821000,8143000,-2291000
98,Cash at the End of Period,- -,- -,- -,12000000,21900000,27600000,27156000,25330000,31534000,34400000,30193000,28073000,25369000,24549000,25369000,23134000,35120000,35635000,33073000,32030000,23278000,14325000,11996000,8078000,15192000,14371000,22514000,20223000
99,Cash at the Beginning of Period,- -,- -,1100000,8900000,12000000,21900000,27556000,27156000,25330000,31534000,34400000,30193000,28073000,25369000,28073000,22718000,23134000,35120000,35635000,33073000,32030000,23278000,14325000,11996000,8078000,15192000,14371000,22514000
100,Free Cash Flow,- -,- -,3800000,4700000,7500000,11000000,5217000,-116000,13806000,6050000,-4637000,-578000,5382000,7995000,5382000,4267000,12745000,-4228000,10867000,7459000,-2731000,-3260000,-28000,-3234000,3992000,1288000,12614000,2745000
101,SEC Link,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/946936/000095012904004935/v00101e20vf.htm,https://www.sec.gov/Archives/edgar/data/946936/000095012905006944/v10227e20vf.htm,https://www.sec.gov/Archives/edgar/data/946936/000095013406013215/v21967e20vf.htm,https://www.sec.gov/Archives/edgar/data/946936/000095013407016333/v32351e20vf.htm,https://www.sec.gov/Archives/edgar/data/946936/000095015008000024/v43702e20vf.htm,https://www.sec.gov/Archives/edgar/data/946936/000095012309035089/v53474e20vf.htm,https://www.sec.gov/Archives/edgar/data/946936/000095012310069665/v56825e20vf.htm,https://www.sec.gov/Archives/edgar/data/946936/000119312511206551/d20f.htm,https://www.sec.gov/Archives/edgar/data/946936/000117494712000307/d29533.htm,https://www.sec.gov/Archives/edgar/data/946936/000117494713000289/dswl031320f_20f.htm,https://www.sec.gov/Archives/edgar/data/946936/000117494714000280/dswl031420f_20f.htm,https://www.sec.gov/Archives/edgar/data/946936/000117494715001261/dswl071520f.htm,https://www.sec.gov/Archives/edgar/data/946936/000117494716002940/0001174947-16-002940-index.html,https://www.sec.gov/Archives/edgar/data/946936/000117494717001059/0001174947-17-001059-index.htm,- -,https://www.sec.gov/Archives/edgar/data/946936/000117494719000884/e5697_20f.htm,- -,- -
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,
