,https://roic.ai/company/EXPO,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
22,Income Tax expense (Gain),- -,3500000,4300000,3000000,-1800000,800000,1400000,- -,300000,3000000,3841000,5300000,4500000,- -,6700000,8363000,8432000,9384000,13284000,- -,13284000,19187000,22124000,22124000,- -,25305000,27264000,21642000,41204000,21063000,- -,21730000,24635000
23,Net Income,- -,5100000,6400000,4500000,-3300000,1100000,2000000,- -,-400000,4300000,5188000,7800000,6100000,- -,7900000,12040000,14200000,14200000,20300000,- -,23200000,27521000,32700000,41000000,- -,38600000,40700000,47480000,41305000,72254000,- -,82460000,101202000
24,Net Income ratio,- -,0.0851,0.0920,0.0640,-0.0922,0.0189,0.0342,- -,-0.0068,0.0585,0.0556,0.0768,0.0584,- -,0.0626,0.0795,0.0915,0.0843,0.0990,- -,0.1014,0.1106,0.1200,0.1401,- -,0.1303,0.1336,0.1507,0.1188,0.1904,- -,0.1977,0.2170
25,EPS,- -,0.10,0.10,0.07,-0.05,0.02,0.04,- -,-0.01,0.07,0.10,0.15,0.12,- -,0.14,0.20,0.22,0.22,0.34,- -,0.39,0.48,0.58,0.68,- -,0.71,0.76,0.90,0.79,1.37,- -,1.56,1.93
26,EPS Diluted,- -,0.10,0.10,0.07,-0.05,0.02,0.04,- -,-0.01,0.07,0.09,0.14,0.11,- -,0.13,0.18,0.20,0.21,0.31,- -,0.37,0.46,0.56,0.65,- -,0.69,0.73,0.88,0.77,1.33,- -,1.53,1.93
27,Weighted Average Shares Outstanding,- -,49756098,62439024,64285714,61395349,58666667,53333333,- -,53616000,57184000,54000000,53048000,52048000,- -,54416000,61656000,64848000,63532000,60028000,- -,58840000,57416000,56724000,55120000,- -,54464000,53820000,52976000,52724000,52906000,- -,52691000,52647000
28,Weighted Average Shares Outstanding Diluted,- -,49756098,62439024,64285714,61395349,58666667,53333333,- -,53616000,59080000,55152000,56712000,57408000,- -,60304000,68248000,70152000,68784000,65288000,- -,62896000,60276000,59004000,57172000,- -,56100000,55332000,54332000,53972000,54168000,- -,53884000,53359000
29,SEC Link,undefined,- -,- -,- -,- -,- -,- -,undefined,- -,- -,- -,- -,- -,undefined,https://www.sec.gov/Archives/edgar/data/851520/000101287003001568/d10k.htm,https://www.sec.gov/Archives/edgar/data/851520/000119312505051002/d10k.htm,https://www.sec.gov/Archives/edgar/data/851520/000119312506046118/d10k.htm,https://www.sec.gov/Archives/edgar/data/851520/000119312507049476/d10k.htm,https://www.sec.gov/Archives/edgar/data/851520/000119312508047805/d10k.htm,undefined,https://www.sec.gov/Archives/edgar/data/851520/000119312509036413/0001193125-09-036413-index.html,https://www.sec.gov/Archives/edgar/data/851520/000119312511047894/d10k.htm,https://www.sec.gov/Archives/edgar/data/851520/000114420412010942/0001144204-12-010942-index.html,https://www.sec.gov/Archives/edgar/data/851520/000114420413011685/0001144204-13-011685-index.html,undefined,https://www.sec.gov/Archives/edgar/data/851520/000114420414012676/v368946_10k.htm,https://www.sec.gov/Archives/edgar/data/851520/000114420415012949/v401822_10k.htm,https://www.sec.gov/Archives/edgar/data/851520/000114420417010991/0001144204-17-010991-index.html,https://www.sec.gov/Archives/edgar/data/851520/000114420418010563/0001144204-18-010563-index.html,https://www.sec.gov/Archives/edgar/data/851520/000114420419009662/0001144204-19-009662-index.html,undefined,https://www.sec.gov/Archives/edgar/data/851520/000156459020007824/0001564590-20-007824-index.html,https://www.sec.gov/Archives/edgar/data/851520/000156459022007169/0001564590-22-007169-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,900000,5400000,2600000,- -,3000000,7400000,- -,4500000,8400000,- -,6400000,7800000,- -,22500000,6980000,13200000,5200000,10700000,- -,32600000,106549000,84400000,113300000,- -,122900000,129500000,114967000,124794000,127059000,- -,176436000,297687000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,20300000,6400000,- -,- -,- -,- -,- -,53066000,55700000,52800000,53000000,- -,24800000,- -,25300000,20900000,- -,33200000,24900000,58755000,71604000,81495000,- -,55165000,- -
33,Cash and Short-Term Investments,- -,900000,5400000,2600000,- -,3000000,7400000,- -,24800000,14800000,- -,6400000,7800000,- -,22500000,60046000,68900000,58000000,63700000,- -,57400000,106549000,109700000,134200000,- -,156100000,154400000,173722000,196398000,208554000,- -,231601000,297687000
34,Net Receivables,- -,21900000,24200000,42500000,- -,22100000,18900000,- -,19700000,27300000,38494000,32300000,38600000,- -,38400000,38586000,46200000,48200000,59800000,- -,62200000,72034000,73100000,85400000,- -,77000000,86400000,87409000,110100000,105814000,- -,120138000,139861000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1600000,400000,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,1300000,16900000,2100000,- -,17400000,20700000,- -,4900000,5100000,3734000,4700000,4700000,- -,5400000,4828000,5100000,5800000,9300000,- -,10700000,16011000,14200000,15400000,- -,18600000,25700000,12913000,9011000,12244000,- -,12305000,15214000
37,Total Current Assets,- -,24100000,46500000,47200000,- -,42500000,47000000,- -,49400000,47200000,42228000,43400000,51100000,- -,66300000,103460000,120200000,112000000,132800000,- -,130300000,194594000,198600000,235400000,- -,251700000,266500000,274044000,315509000,326612000,- -,364044000,452762000
38,PP&E,- -,33900000,36100000,37300000,- -,31200000,29100000,- -,28800000,30300000,29468000,34000000,32600000,- -,31700000,30211000,29800000,29600000,29400000,- -,31400000,27267000,27200000,27400000,- -,28700000,28300000,36710000,35014000,46103000,- -,84590000,74341000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,1900000,9000000,- -,7300000,6600000,- -,8600000,- -,8600000,8600000,8600000,- -,8600000,8607000,8600000,8600000,- -,8600000,8600000,8607000,8607000,8607000,- -,8607000,8607000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7851000,- -,- -,- -,- -,8607000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,1900000,9000000,7851000,7300000,6600000,- -,8600000,8607000,8600000,8600000,8600000,- -,8600000,8607000,8600000,8600000,- -,8600000,8600000,8607000,8607000,8607000,- -,8607000,8607000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,1000000,1100000,- -,100000,400000,- -,900000,130000,- -,- -,- -,- -,- -,12940000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,46546000
44,Other Non-Current Assets,- -,300000,700000,400000,- -,1300000,1600000,- -,-500000,700000,905000,800000,300000,- -,-300000,1673000,5600000,11000000,11600000,- -,12800000,15484000,34400000,44000000,- -,55200000,61900000,84383000,80459000,87614000,- -,106170000,101483000
45,Total Non-Current Assets,- -,34200000,36800000,37700000,- -,32500000,30700000,- -,31200000,41100000,38224000,42200000,39900000,- -,40900000,40621000,44000000,49200000,49600000,- -,52800000,64298000,70200000,80000000,- -,92500000,98800000,129700000,124080000,142324000,- -,199367000,230977000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,58300000,83300000,84900000,- -,75000000,77700000,- -,80600000,88300000,80452000,85600000,91000000,- -,107200000,144081000,164200000,161200000,182400000,- -,183100000,258892000,268800000,315400000,- -,344200000,365300000,403744000,439589000,468936000,- -,563411000,683739000
48,Accounts Payable,- -,1100000,1500000,1500000,- -,3000000,3200000,- -,- -,- -,4040000,- -,- -,- -,- -,4330000,- -,2900000,4100000,- -,3700000,- -,4200000,7000000,- -,2800000,2200000,3193000,2784000,2551000,- -,4644000,3193000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,415000,- -,- -,- -,205000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5944000,5164000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2165000,- -,1928000,1681000,2156000,2232000,3450000,- -,4455000,6131000,5948000,6665000,- -,6771000,8226000,7624000,8302000,9166000,- -,12710000,19762000
52,Other Current Liabilities,- -,15000000,13600000,10300000,- -,5200000,5700000,- -,11800000,13800000,11101000,19400000,17135000,- -,19467000,18528000,24244000,25568000,36450000,- -,40045000,51603000,50652000,58135000,- -,62529000,68874000,69419000,82021000,86587000,- -,100662000,124863000
53,Total Current Liabilities,- -,16100000,15100000,11800000,- -,8200000,8900000,- -,11800000,13800000,15556000,19400000,19300000,- -,21600000,24539000,26400000,30700000,44000000,- -,48200000,57734000,60800000,71800000,- -,72100000,79300000,80236000,93107000,98304000,- -,123960000,152982000
54,Long-Term Debt,- -,22600000,19500000,19500000,- -,19300000,18900000,- -,18500000,16700000,4139000,200000,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9807000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1842000,1532000,- -,2332000,2059000,1654000,1292000,1467000,- -,- -,- -
56,Deferred Tax Liabilities,- -,400000,800000,1200000,- -,1500000,1500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7293000,7657000,- -,8135000,11002000,6869000,5511000,3364000,- -,14167000,- -
57,Other Non-Current Liabilities,- -,-100000,- -,- -,- -,-100000,- -,- -,1000000,1000000,609000,700000,1100000,- -,1800000,2558000,4600000,6200000,6500000,- -,6800000,17358000,12165000,18011000,- -,26533000,28639000,41639000,50591000,51892000,- -,75033000,103885000
58,Total Non-Current Liabilities,- -,22900000,20300000,20700000,- -,20700000,20400000,- -,19500000,17700000,4748000,900000,1200000,- -,1800000,2558000,4600000,6200000,6500000,- -,6800000,17358000,21300000,27200000,- -,37000000,41700000,50162000,57394000,56723000,- -,89200000,113692000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,24102000,14971000
61,Total Liabilities,- -,39000000,35400000,32500000,- -,28900000,29300000,- -,31300000,31500000,20304000,20300000,20500000,- -,23400000,27097000,31000000,36900000,50500000,- -,55000000,75092000,82100000,99000000,- -,109100000,121000000,130398000,150501000,155027000,- -,213160000,266674000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8000,- -,- -,- -,- -,8000,- -,- -,- -,- -,- -,16000,- -,- -,- -,- -,- -,33000,33000,66000,- -,66000,66000
64,Retained Earnings,- -,9200000,15600000,20100000,- -,20200000,22100000,- -,21600000,25800000,34470000,42300000,48400000,- -,56300000,75525000,88300000,101200000,113000000,- -,127100000,156086000,179400000,206100000,- -,226000000,247000000,291243000,303990000,342024000,- -,384668000,478370000
65,Other Comprehensive Income/Loss,- -,-11100000,-14600000,-18200000,- -,-28000000,-30400000,- -,100000,-33000000,-33378000,-100000,-100000,- -,-39000,-844000,-2010000,93000,347000,- -,-345000,-451000,-471000,-250000,- -,109000,-904000,-3126000,-2029000,-2853000,- -,-1760000,-1983000
66,Other Total Stockholders Equity,- -,21200000,46900000,50500000,- -,53900000,56700000,- -,27600000,63900000,59048000,23100000,22200000,- -,67900000,42295000,46900000,23000000,18600000,- -,1300000,28149000,7800000,69000000,- -,10100000,- -,-14804000,-12906000,-25328000,- -,-32723000,-59388000
67,Total Stockholders Equity,- -,19300000,47900000,52400000,- -,46100000,48400000,- -,49300000,56700000,60148000,65300000,70500000,- -,83786000,116984000,133200000,124305000,131919000,- -,128094000,183800000,186715000,216429000,- -,235059000,244288000,273346000,289088000,313909000,- -,350251000,417065000
68,Total Liabilities And Stockholders Equity,- -,58300000,83300000,84900000,- -,75000000,77700000,- -,80600000,88200000,80452000,85600000,91000000,- -,107186000,144081000,164200000,161205000,182419000,- -,183094000,258892000,268815000,315429000,- -,344159000,365288000,403744000,439589000,468936000,- -,563411000,683739000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000,- -,- -,- -,- -,14000,- -,- -,-5000,-19000,- -,6000,- -,-15000,-29000,- -,41000,12000,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,58300000,83300000,84900000,- -,75000000,77700000,- -,80600000,88300000,80452000,85600000,91000000,- -,107200000,144081000,164200000,161200000,182400000,- -,183100000,258892000,268800000,315400000,- -,344200000,365300000,403744000,439589000,468936000,- -,563411000,683739000
71,SEC Link,undefined,- -,- -,- -,undefined,- -,- -,undefined,- -,- -,- -,- -,- -,undefined,https://www.sec.gov/Archives/edgar/data/851520/000101287003001568/d10k.htm,https://www.sec.gov/Archives/edgar/data/851520/000119312505051002/d10k.htm,https://www.sec.gov/Archives/edgar/data/851520/000119312506046118/d10k.htm,https://www.sec.gov/Archives/edgar/data/851520/000119312507049476/d10k.htm,https://www.sec.gov/Archives/edgar/data/851520/000119312508047805/d10k.htm,undefined,https://www.sec.gov/Archives/edgar/data/851520/000119312509036413/0001193125-09-036413-index.html,https://www.sec.gov/Archives/edgar/data/851520/000119312511047894/d10k.htm,https://www.sec.gov/Archives/edgar/data/851520/000114420412010942/0001144204-12-010942-index.html,https://www.sec.gov/Archives/edgar/data/851520/000114420413011685/0001144204-13-011685-index.html,undefined,https://www.sec.gov/Archives/edgar/data/851520/000114420414012676/v368946_10k.htm,https://www.sec.gov/Archives/edgar/data/851520/000114420415012949/v401822_10k.htm,https://www.sec.gov/Archives/edgar/data/851520/000114420417010991/0001144204-17-010991-index.html,https://www.sec.gov/Archives/edgar/data/851520/000114420418010563/0001144204-18-010563-index.html,https://www.sec.gov/Archives/edgar/data/851520/000114420419009662/0001144204-19-009662-index.html,undefined,https://www.sec.gov/Archives/edgar/data/851520/000156459020007824/0001564590-20-007824-index.html,https://www.sec.gov/Archives/edgar/data/851520/000156459022007169/0001564590-22-007169-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,5100000,6400000,4500000,-3300000,1100000,2000000,- -,-400000,4300000,5188000,7800000,6100000,- -,7900000,12040000,14200000,14200000,20300000,- -,23200000,27521000,32700000,41000000,- -,38600000,40700000,47480000,41305000,72254000,- -,82460000,101202000
74,Depreciation and Amortization,- -,3100000,3800000,4500000,2800000,3700000,3500000,- -,3600000,3600000,4416000,4434000,4683000,- -,3420000,4088000,4472000,4474000,4786000,- -,4109000,4323000,4411000,4711000,- -,4951000,5404000,6131000,6285000,6292000,- -,6806000,6487000
75,Deferred Income Tax,- -,1400000,-2000000,-1200000,-3300000,-200000,800000,- -,-1800000,-1100000,-53000,-154000,101000,- -,683000,-1443000,-1477000,-3158000,-2652000,- -,-1344000,-3229000,-6041000,-8142000,- -,-7665000,-11177000,-2602000,11786000,-3715000,- -,-2845000,-6005000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7828000,9257000,10340000,12378000,- -,13168000,13079000,13333000,16155000,16993000,- -,17466000,19263000
77,Change in Working Capital,- -,-2000000,- -,23400000,-1100000,3800000,-500000,- -,-4200000,-800000,-2672000,7800000,12900000,- -,12800000,14879000,-12500000,7500000,-6700000,- -,21100000,940000,25800000,16000000,- -,7600000,5112000,28594000,5906000,11776000,- -,9440000,1674000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5139000,-11181000,-3018000,-14059000,- -,6676000,-11106000,-1284000,-25197000,2438000,- -,-16548000,-30254000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7374000,- -,3002000,6142000,-370000,5984000,-4620000,- -,6715000,8443000
81,Other Working Capital,- -,8000000,8000000,31400000,34300000,38100000,37600000,- -,33400000,32600000,24000000,31800000,44700000,- -,57500000,93800000,81300000,88800000,82100000,- -,103200000,137800000,163600000,179600000,- -,187200000,192312000,222402000,228308000,240084000,- -,249524000,7962000
82,Other Non-Cash Items,- -,1500000,1500000,-27200000,12000000,-5400000,1800000,- -,7200000,-2400000,3749000,1171000,-19016000,- -,-8537000,-13526000,9120000,-3434000,11216000,- -,-18525000,-2760000,-20614000,-17442000,- -,5138000,-4866000,-25990000,-13599000,-12412000,- -,-5268000,1947000
83,Cash Provided by Operating Activities,- -,9100000,9700000,4000000,7100000,3000000,7600000,- -,4400000,3600000,10628000,21051000,4768000,- -,16266000,16038000,13815000,19582000,26950000,- -,36368000,36052000,46596000,48505000,- -,61792000,48252000,66946000,67838000,91188000,- -,108059000,124568000
84,CAPEX,- -,-18800000,-6000000,-5600000,-1100000,-1200000,-1400000,- -,-3000000,-4200000,-4971000,-8691000,-2192000,- -,-2137000,-2616000,-3015000,-3205000,-3677000,- -,-5646000,-2475000,-3835000,-4942000,- -,-6226000,-4947000,-14393000,-4725000,-16298000,- -,-23038000,-6826000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2134000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,-14900000,-1400000,- -,-800000,-1000000,- -,-10400000,-11400000,- -,- -,- -,- -,- -,-49735000,-82435000,-117569000,-99371000,- -,-77911000,- -,-26599000,-515000,- -,-33422000,-5260000,-51000000,-28997000,-52522000,- -,-38693000,-34994000
87,Sales/Maturities of Investments,- -,- -,- -,- -,1900000,- -,- -,- -,7400000,25200000,4411000,- -,- -,- -,- -,17847000,81095000,119922000,99043000,- -,104620000,7405000,1080000,4288000,- -,20768000,12642000,37950000,16000000,43000000,- -,66000000,79998000
88,Other Investing Activites,- -,-200000,-400000,100000,-1900000,-400000,-300000,- -,-900000,-8100000,-21000,603000,-59000,- -,-17000,264000,8000,57000,90000,- -,-5646000,-2475000,-3835000,-4942000,- -,-6226000,-4947000,-14393000,-4725000,-16298000,- -,-23038000,-6826000
89,Cash Used for Investing Activites,- -,-19000000,-21300000,-6900000,-1100000,-2400000,-2700000,- -,-6900000,1500000,-581000,-8088000,-2251000,- -,-4288000,-34240000,-4347000,-795000,-3915000,- -,21063000,4930000,-29354000,-1169000,- -,-18880000,2435000,-27443000,-17722000,-25820000,- -,4269000,38178000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-56000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,1900000,21700000,- -,- -,200000,300000,- -,400000,900000,1029000,1557000,2774000,- -,4660000,5711000,3499000,2299000,3076000,- -,2082000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-1000000,-5400000,-500000,- -,-1000000,- -,-4374000,-4158000,-3815000,- -,-1623000,- -,-4307000,-30090000,-24647000,- -,-41638000,-7145000,-40573000,-22887000,- -,-25519000,-30921000,-24456000,-11931000,-27915000,- -,-21957000,-7000000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7927000,-13058000,-18781000,-21835000,-27220000,- -,-33503000,-43198000
94,Other Financing Activites,- -,7600000,-5600000,-100000,-100000,-200000,-300000,- -,100000,-2000000,-12784000,-3983000,-40000,- -,-350000,-65000,-61000,817000,3938000,- -,5549000,4925000,1229000,4028000,- -,-323000,851000,-5929000,-7495000,-7365000,- -,-7954000,-12555000
95,Cash Used/Provided by Financing Activities,- -,9500000,16100000,- -,-1100000,-5400000,-500000,- -,-500000,-1100000,-16129000,-6584000,-1081000,- -,2687000,5646000,-869000,-26974000,-17633000,- -,-34063000,-2220000,-39344000,-18859000,- -,-33769000,-43128000,-49166000,-41261000,-62500000,- -,-63414000,-62753000
