,https://roic.ai/company/LKQ,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
24,Net Income ratio,- -,0.0056,-0.0039,0.0169,-0.1355,0.0444,0.0484,0.0564,0.0562,0.0585,0.0516,0.0623,0.0685,0.0643,0.0634,0.0616,0.0566,0.0588,0.0541,0.0548,0.0404,0.0433,0.0549,0.0833
25,EPS,0.01,0.01,-0.01,0.03,-0.28,0.11,0.13,0.17,0.21,0.29,0.36,0.46,0.59,0.72,0.88,1.04,1.26,1.39,1.51,1.72,1.54,1.76,2.10,0.00
26,EPS Diluted,0.01,0.01,-0.01,0.03,-0.28,0.10,0.12,0.16,0.20,0.28,0.35,0.45,0.58,0.71,0.87,1.02,1.25,1.38,1.50,1.71,1.53,1.75,2.10,0.00
27,Weighted Average Shares Outstanding,50000000,129000000,140480000,141000000,141230336,129562329,159789414,176497143,211404762,227244828,272976000,281082000,286542000,292252000,295810000,299574000,302343000,304722000,306897000,308607000,314428000,310155000,304640000,294026000
28,Weighted Average Shares Outstanding Diluted,50000000,129000000,140480000,153818182,155190096,145757620,178894670,196107937,221975000,239640000,282046000,287980000,291714000,296750000,300693000,304131000,306045000,307496000,309784000,310649000,315849000,310969000,305006000,294885000
29,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1065696/000104746904009177/a2131677z10-k.htm,https://www.sec.gov/Archives/edgar/data/1065696/000104746905005728/a2152784z10-k.htm,https://www.sec.gov/Archives/edgar/data/1065696/000110465906014974/a06-2507_110k.htm,https://www.sec.gov/Archives/edgar/data/1065696/000110465907014912/a07-5314_110k.htm,https://www.sec.gov/Archives/edgar/data/1065696/000104746908002057/a2182929z10-k.htm,https://www.sec.gov/Archives/edgar/data/1065696/000119312509041181/d10k.htm,https://www.sec.gov/Archives/edgar/data/1065696/000119312510042934/d10k.htm,https://www.sec.gov/Archives/edgar/data/1065696/000119312511047657/d10k.htm,https://www.sec.gov/Archives/edgar/data/1065696/000119312512081978/d260148d10k.htm,https://www.sec.gov/Archives/edgar/data/1065696/000106569613000014/lkq-20121231_10k.htm,https://www.sec.gov/Archives/edgar/data/1065696/000106569614000017/lkq-20131231_10k.htm,https://www.sec.gov/Archives/edgar/data/1065696/000106569615000007/lkq-20141231_10k.htm,https://www.sec.gov/Archives/edgar/data/1065696/000106569616000076/lkq-20151231_10k.htm,https://www.sec.gov/Archives/edgar/data/1065696/000106569617000005/lkq-20161231_10k.htm,https://www.sec.gov/Archives/edgar/data/1065696/000106569618000004/lkq-20171231_10k.htm,https://www.sec.gov/Archives/edgar/data/1065696/000106569619000010/lkq-20181231_10k.htm,https://www.sec.gov/Archives/edgar/data/1065696/000106569620000008/lkq-2019123110k.htm,https://www.sec.gov/Archives/edgar/data/1065696/000106569621000010/0001065696-21-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1065696/000106569622000006/0001065696-22-000006-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,2000000,584477,16081525,1611696,3173000,4031000,74241000,79067000,108906000,95689000,48247000,59770000,150488000,114605000,87397000,227400000,279766000,331761000,523020000,312154000,274134000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,2000000,584477,16081525,1611696,3173000,4031000,74241000,79067000,108906000,95689000,48247000,59770000,150488000,114605000,87397000,227400000,279766000,331761000,523020000,312154000,274134000
34,Net Receivables,- -,- -,- -,- -,18592232,22542049,28304776,39500000,49254000,125572000,148422000,152443000,191085000,281764000,311808000,458094000,601422000,590160000,860549000,1027106000,1154083000,1131132000,1073389000,1072772000
35,Inventory,- -,- -,- -,- -,53778506,54003694,74150400,103655000,124541000,320238000,332756000,385686000,492688000,736846000,900803000,1076952000,1433847000,1556552000,1935237000,2380783000,2836075000,2772777000,2414612000,2610515000
36,Other Current Assets,- -,- -,- -,72000000,1448400,3078167,3374929,5009000,5988000,33241000,48673000,55833000,57414000,82878000,111970000,114283000,167543000,106603000,544408000,134479000,199030000,260890000,233877000,296947000
37,Total Current Assets,- -,- -,- -,74000000,74403615,95705435,107441801,151337000,183814000,553292000,608918000,702868000,836876000,1149735000,1384351000,1799817000,2317417000,2340712000,3567594000,3822134000,4520949000,4687819000,4034032000,4254368000
38,PP&E,- -,- -,- -,- -,39861133,43892930,70730186,97218000,127084000,217059000,258956000,289902000,331312000,424098000,494379000,546651000,629987000,696567000,811576000,913089000,1220162000,2542911000,2601827000,2660064000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,246232000,825881000,923807000,938783000,1032973000,1476063000,1690284000,1937444000,2288895000,2319246000,3054769000,3536511000,4381458000,4406535000,4591569000,4539896000
40,Intangible Assets,- -,- -,- -,- -,49327638,50846271,100364047,181880000,68000,74951000,71150000,67239000,69302000,108910000,106715000,153739000,245525000,215117000,584231000,743769000,928752000,850338000,814219000,746149000
41,Intangible Assets,- -,- -,- -,- -,49327638,50846271,100364047,181880000,246300000,900832000,994957000,1006022000,1102275000,1584973000,1796999000,2091183000,2534420000,2534363000,3639000000,4280280000,5310210000,5256873000,5405788000,5286045000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,183467000,208404000,179169000,139243000,155224000,180705000
43,Tax Assets,- -,- -,- -,- -,11712600,8555700,4621500,2146000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,153000000,1441687,4153572,5117575,6845000,7157000,21472000,18973000,21329000,29046000,40898000,47727000,81123000,91668000,76195000,101562000,142965000,162912000,153110000,163662000,224972000
45,Total Non-Current Assets,- -,- -,- -,153000000,102343058,107448473,180833308,288089000,380541000,1139363000,1272886000,1317253000,1462633000,2049969000,2339105000,2718957000,3256075000,3307125000,4735605000,5544738000,6872453000,8092137000,8326501000,8351786000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,227000000,176746673,203153908,288275109,439426000,564355000,1692655000,1881804000,2020121000,2299509000,3199704000,3723456000,4518774000,5573492000,5647837000,8303199000,9366872000,11393402000,12779956000,12360533000,12606154000
48,Accounts Payable,- -,- -,- -,- -,4535537,6831288,8423676,15496000,19192000,68871000,65411000,51300000,76437000,210875000,219335000,349069000,400202000,415588000,633773000,788613000,942398000,942795000,932406000,1176015000
49,Short-Term Debt,- -,- -,- -,- -,6449438,1553274,317026,1481000,8485000,16936000,21934000,10063000,52888000,29524000,71716000,41535000,63515000,56034000,66109000,126360000,121826000,547894000,280308000,237860000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2748000,17440000,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,1363375,2029572,2601818,3440000,3859000,4844000,4733000,9259000,9224000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,57000000,11385676,11106939,18220809,27144000,29858000,73172000,75135000,97859000,86772000,157294000,196893000,287349000,286979000,280348000,510903000,407751000,626124000,687823000,775777000,751571000
53,Total Current Liabilities,- -,- -,- -,57000000,23734026,21521073,29563329,47561000,61394000,163823000,167213000,168481000,225321000,397693000,487944000,677953000,750696000,751970000,1210785000,1322724000,1690348000,2178512000,1988491000,2165446000
54,Long-Term Debt,- -,- -,- -,- -,27755797,2444118,49944666,45996000,91962000,641526000,620940000,592982000,548066000,926552000,1046762000,1264246000,1801047000,1528668000,3275662000,3277620000,4188674000,3715389000,4010604000,3986378000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,1848000,25607000,43518000,52209000,66059000,88796000,102275000,133822000,181662000,127239000,199657000,252359000,311434000,310129000,291421000,279296000
57,Other Non-Current Liabilities,- -,- -,- -,10000000,4127797,5178111,4696063,4649000,7949000,11922000,29627000,27015000,45902000,142578000,122381000,92008000,119430000,125278000,174146000,307516000,364194000,1527346000,398717000,388450000
58,Total Non-Current Liabilities,- -,- -,- -,10000000,31883594,7622229,54640729,50645000,101759000,679055000,694085000,672206000,660027000,1157926000,1271418000,1490076000,2102139000,1781185000,3649465000,3837495000,4864302000,5552864000,4700742000,4654124000
59,Other Liabilities,- -,- -,- -,20112000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,592982000,- -,- -,- -,- -,- -,- -,- -,- -,- -,1359124000,1419774000,1412326000
61,Total Liabilities,- -,- -,- -,67112000,55617620,29143302,84204058,98206000,163153000,842878000,861298000,840687000,885348000,1555619000,1759362000,2168029000,2852835000,2533155000,4860250000,5160219000,6554650000,7731376000,6689233000,6819570000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,176449,194768,205654,514000,533000,1341000,1399000,1420000,1455000,1470000,2978000,3008000,3035000,3055000,3075000,3091000,3184000,3199000,3208000,3215000
64,Retained Earnings,- -,- -,- -,- -,-34008651,-19432889,1139998,32027000,76422000,142039000,241938000,369459000,538530000,748794000,1010019000,1321642000,1703161000,2126384000,2590359000,3124103000,3598876000,4140136000,4776040000,5793515000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,470002,1646462,1240680,1375000,1058000,619000,-13764000,-7397000,4378000,-8961000,759000,20011000,-40225000,-105470000,-267175000,-70476000,-174950000,-200885000,-99009000,-153130000
66,Other Total Stockholders Equity,- -,- -,- -,160105000,154491253,191602265,201484719,307304000,323189000,705778000,790933000,815952000,869798000,902782000,950338000,1006084000,1054686000,1090713000,1116690000,1141451000,1355188000,1066426000,975479000,- -
67,Total Stockholders Equity,- -,- -,- -,160105000,121129053,174010606,204071051,341220000,401202000,849777000,1020506000,1179434000,1414161000,1644085000,1964094000,2350745000,2720657000,3114682000,3442949000,4198169000,4782298000,5008876000,5655718000,5771744000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,227217000,176746673,203153908,288275109,439426000,564355000,1692655000,1881804000,2020121000,2299509000,3199704000,3723456000,4518774000,5573492000,5647837000,8303199000,9358388000,11336948000,12740252000,12344951000,12591314000
69,Minority Interest,- -,- -,- -,-217000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8484000,56454000,39704000,15582000,14840000
70,Total Liabilities & Equity,- -,- -,- -,227000000,176746673,203153908,288275109,439426000,564355000,1692655000,1881804000,2020121000,2299509000,3199704000,3723456000,4518774000,5573492000,5647837000,8303199000,9366872000,11393402000,12779956000,12360533000,12606154000
71,SEC Link,undefined,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1065696/000104746904009177/a2131677z10-k.htm,https://www.sec.gov/Archives/edgar/data/1065696/000104746905005728/a2152784z10-k.htm,https://www.sec.gov/Archives/edgar/data/1065696/000110465906014974/a06-2507_110k.htm,https://www.sec.gov/Archives/edgar/data/1065696/000110465907014912/a07-5314_110k.htm,https://www.sec.gov/Archives/edgar/data/1065696/000104746908002057/a2182929z10-k.htm,https://www.sec.gov/Archives/edgar/data/1065696/000119312509041181/d10k.htm,https://www.sec.gov/Archives/edgar/data/1065696/000119312510042934/d10k.htm,https://www.sec.gov/Archives/edgar/data/1065696/000119312511047657/d10k.htm,https://www.sec.gov/Archives/edgar/data/1065696/000119312512081978/d260148d10k.htm,https://www.sec.gov/Archives/edgar/data/1065696/000106569613000014/lkq-20121231_10k.htm,https://www.sec.gov/Archives/edgar/data/1065696/000106569614000017/lkq-20131231_10k.htm,https://www.sec.gov/Archives/edgar/data/1065696/000106569615000007/lkq-20141231_10k.htm,https://www.sec.gov/Archives/edgar/data/1065696/000106569616000076/lkq-20151231_10k.htm,https://www.sec.gov/Archives/edgar/data/1065696/000106569617000005/lkq-20161231_10k.htm,https://www.sec.gov/Archives/edgar/data/1065696/000106569618000004/lkq-20171231_10k.htm,https://www.sec.gov/Archives/edgar/data/1065696/000106569619000010/lkq-20181231_10k.htm,https://www.sec.gov/Archives/edgar/data/1065696/000106569620000008/lkq-2019123110k.htm,https://www.sec.gov/Archives/edgar/data/1065696/000106569621000010/0001065696-21-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1065696/000106569622000006/0001065696-22-000006-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,-878000,4230000,-38893596,14575762,20572887,30887000,44395000,65901000,99899000,127521000,169071000,210264000,261225000,311623000,381519000,423223000,463975000,533744000,480118000,541260000,638423000,1090873000
74,Depreciation and Amortization,- -,- -,7541000,7900000,5013840,5446104,6871858,8574000,12086000,18018000,33421000,38062000,41428000,54505000,70165000,86463000,125437000,128192000,206086000,230203000,294077000,314406000,299497000,284003000
75,Deferred Income Tax,- -,- -,- -,1200000,1118000,2328000,3487000,1667000,3618000,4304000,13535000,5882000,8963000,9302000,4222000,4279000,6242000,22388000,-16162000,-46537000,-2180000,7109000,-33827000,-27079000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7283000,9974000,5134000,15634000,22036000,22021000,21336000,22472000,22832000,22760000,27695000,29078000,33736000
77,Change in Working Capital,- -,- -,- -,- -,33669589,23514773,3694110,25897528,18644000,267049000,52236000,92682000,77168000,140487000,144365000,225457000,444857000,22021000,768067000,142601000,331191000,-321294000,-463766000,-2719000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,-1161067,544715,-5174889,-8554000,-8671000,-35134000,4232000,-20428000,-67795000,-90091000,-95042000,-69222000,-122590000,-83188000,-64114000,-203857000,-127153000,15460000,433072000,-234514000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-18067000,10156000,28589000,-15097000,49641000,-5474000,-4222000,18577000,45136000,-77621000,3712000,-64032000,283185000
81,Other Working Capital,- -,- -,17000000,17000000,50669589,74184362,77878472,103776000,122420000,389469000,441705000,534387000,611555000,752042000,896407000,1121864000,1566721000,1588742000,2356809000,2499410000,2830601000,2509307000,2045541000,-35156000
82,Other Non-Cash Items,- -,- -,-10047000,-1230000,16832620,-24915295,-8724406,-29492528,-26362000,-300903000,-66130000,-107428000,-147421000,-207920000,-289421000,-221802000,-609179000,-87323000,-809424000,-363943000,-415227000,494857000,974465000,-11767000
83,Cash Provided by Operating Activities,- -,- -,-3384000,12100000,17740453,20949344,25901449,37533000,52381000,54369000,132961000,164002000,159183000,211772000,206190000,428056000,370897000,529837000,635014000,518900000,710739000,1064033000,1443870000,1367047000
84,CAPEX,- -,- -,- -,-3400000,-6851573,-9097244,-25669677,-26218000,-36152000,-38401000,-66908000,-55870000,-61438000,-86416000,-88255000,-90186000,-140950000,-170490000,-207074000,-179090000,-250027000,-265730000,-172695000,-293466000
85,Acquisitions Net,- -,- -,- -,- -,- -,-3285674,-61601180,-103769000,-73492000,-868022000,-74208000,-47694000,-131586000,-486934000,-265336000,-417520000,-775921000,-160517000,-1535010000,-219455000,-1275295000,-16421000,-9942000,-123898000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,-650000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,433000,848000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,-8308000,-100000,105323,160857,97475,3532000,-1861000,602000,2206000,1070000,1441000,1743000,1057000,2100000,-4123000,1014000,32156000,13950000,66383000,17298000,16750000,-1394000
89,Cash Used for Investing Activites,- -,- -,-8308000,-3500000,-6746250,-12222061,-87823382,-126022000,-110657000,-905821000,-138910000,-102494000,-191583000,-571607000,-352534000,-505606000,-920994000,-329993000,-1709928000,-384595000,-1458939000,-264853000,-165887000,-418758000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-53349000,-9581000,-1058802000,-878102000,-931523000,-1155594000,-533236000,-2648359000,-985606000,-1938778000,-942866000,-2317329000,-4949567000
91,Common Stock Issued,- -,- -,- -,- -,43652,59632216,4942240,99695000,6262000,361609000,10402000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-103200,-22902486,- -,- -,- -,-1125000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-60000000,-291813000,-117292000,-876844000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-72873000
94,Other Financing Activites,- -,- -,14928000,-11100000,-11937217,-29959965,42509864,-9645000,52872000,561145000,1391000,20184000,28543000,1370213000,1035174000,1097464000,1674597000,309144000,3874096000,873039000,2881773000,634010000,922070000,4914149000
95,Cash Used/Provided by Financing Activities,- -,- -,14928000,-11100000,-11996765,6769765,47452104,90050000,59134000,921629000,11793000,-33165000,18962000,311411000,157072000,165941000,519003000,-224092000,1225737000,-112567000,882995000,-600669000,-1512551000,-985135000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,33000,-1018000,1496000,221000,982000,795000,2327000,-4789000,-2960000,-3704000,23512000,-77311000,-904000,11865000,-1174000
97,Net Change In Cash,- -,- -,14928000,-2500000,-1002562,15497048,-14469829,1561000,858000,70210000,4826000,29839000,-13217000,-47442000,11523000,90718000,-35883000,-27208000,140003000,45250000,57484000,191137000,-222703000,-38020000
98,Cash at the End of Period,- -,- -,- -,-2500000,584477,16081525,1611696,3173000,4031000,74241000,79067000,108906000,95689000,48247000,59770000,150488000,114605000,87397000,227400000,279766000,337250000,528387000,312154000,274134000
99,Cash at the Beginning of Period,- -,- -,- -,- -,1587039,584477,16081525,1612000,3173000,4031000,74241000,79067000,108906000,95689000,48247000,59770000,150488000,114605000,87397000,234516000,279766000,337250000,534857000,312154000
100,Free Cash Flow,- -,- -,-3384000,8700000,10888880,11852100,231772,11315000,16229000,15968000,66053000,108132000,97745000,125356000,117935000,337870000,229947000,359347000,427940000,339810000,460712000,798303000,1271175000,1073581000
101,SEC Link,undefined,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1065696/000104746904009177/a2131677z10-k.htm,https://www.sec.gov/Archives/edgar/data/1065696/000104746905005728/a2152784z10-k.htm,https://www.sec.gov/Archives/edgar/data/1065696/000110465906014974/a06-2507_110k.htm,https://www.sec.gov/Archives/edgar/data/1065696/000110465907014912/a07-5314_110k.htm,https://www.sec.gov/Archives/edgar/data/1065696/000104746908002057/a2182929z10-k.htm,https://www.sec.gov/Archives/edgar/data/1065696/000119312509041181/d10k.htm,https://www.sec.gov/Archives/edgar/data/1065696/000119312510042934/d10k.htm,https://www.sec.gov/Archives/edgar/data/1065696/000119312511047657/d10k.htm,https://www.sec.gov/Archives/edgar/data/1065696/000119312512081978/d260148d10k.htm,https://www.sec.gov/Archives/edgar/data/1065696/000106569613000014/lkq-20121231_10k.htm,https://www.sec.gov/Archives/edgar/data/1065696/000106569614000017/lkq-20131231_10k.htm,https://www.sec.gov/Archives/edgar/data/1065696/000106569615000007/lkq-20141231_10k.htm,https://www.sec.gov/Archives/edgar/data/1065696/000106569616000076/lkq-20151231_10k.htm,https://www.sec.gov/Archives/edgar/data/1065696/000106569617000005/lkq-20161231_10k.htm,https://www.sec.gov/Archives/edgar/data/1065696/000106569618000004/lkq-20171231_10k.htm,https://www.sec.gov/Archives/edgar/data/1065696/000106569619000010/lkq-20181231_10k.htm,https://www.sec.gov/Archives/edgar/data/1065696/000106569620000008/lkq-2019123110k.htm,https://www.sec.gov/Archives/edgar/data/1065696/000106569621000010/0001065696-21-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1065696/000106569622000006/0001065696-22-000006-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,
