,https://roic.ai/company/RCII,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8860000,837000,854000,627000,842000,815000,947000,634000,503000,791000,1147000,3123000,768000,221000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,66241000,26791000,26766000,37234000,32065000,39628000,47843000,49326000,47181000,45996000,42968000,31031000,15325000,70874000
14,Depreciation and Amortization,22800000,34800000,51600000,68200000,198800000,326500000,363450000,414061000,432748000,489436000,506614000,515900000,528732000,650717000,646686000,586182000,570965000,626444000,700290000,735601000,766817000,797862000,736627000,696983000,685586000,680668000,690362000,1217
15,EBITDA,29900000,53300000,82700000,112300000,247500000,441800000,557845000,538867000,721191000,780266000,757993000,724968000,692870000,767003000,934269000,883343000,872488000,920228000,1019604000,982585000,957013000,-209392000,670534000,632779000,742395000,935482000,928466000,265179217
16,EBITDA ratio,0.4019,0.3998,0.3475,0.3429,0.3057,0.3117,0.3483,0.2980,0.3588,0.3502,0.3277,0.3099,0.2847,0.2639,0.3239,0.3210,0.3194,0.3193,0.3308,0.3165,0.3031,-0.0639,0.2263,0.2341,0.2790,0.3504,0.3299,0.0579
17,Operating Income,9300000,19800000,31000000,41900000,102200000,190100000,244630000,184586000,350449000,1814880000,282951000,249771000,221944000,204237000,274388000,296324000,303769000,293157000,318472000,246169000,193462000,-1007888000,-66596000,-63059000,56137000,253859000,237336000,280539000
18,Operating Income ratio,0.1250,0.1485,0.1303,0.1279,0.1262,0.1341,0.1527,0.1021,0.1743,0.8145,0.1223,0.1068,0.0912,0.0703,0.0951,0.1077,0.1112,0.1017,0.1033,0.0793,0.0613,-0.3074,-0.0225,-0.0233,0.0211,0.0951,0.0843,0.0612
19,Total Other Income Expenses (Gains),-2200000,-1300000,100000,2200000,-53500000,-74800000,-50235000,-59780000,-62006000,-1524050000,-31572000,-40703000,-57806000,-87951000,-53046000,-25954000,-29012000,-36607000,-31223000,-38813000,-51109000,-48692000,-46678000,-47141000,-42296000,-30076000,-14557000,-86235000
20,Income Before Tax,7100000,18500000,31100000,44100000,48700000,115300000,194395000,124806000,288443000,290830000,251379000,209068000,164138000,116286000,221342000,270370000,274757000,256550000,287249000,207356000,142353000,-1056580000,-113274000,-110200000,13841000,223783000,222779000,194304000
21,Income Before Tax Ratio,0.0954,0.1388,0.1307,0.1347,0.0601,0.0814,0.1214,0.0690,0.1435,0.1305,0.1087,0.0894,0.0674,0.0400,0.0767,0.0982,0.1006,0.0890,0.0932,0.0668,0.0451,-0.3223,-0.0382,-0.0408,0.0052,0.0838,0.0792,0.0424
22,Income Tax expense (Gain),1600000,7800000,13100000,18200000,23900000,55900000,91368000,58589000,116270000,109334000,95524000,73330000,61046000,40018000,81718000,102515000,103115000,91913000,103757000,79118000,45931000,-189952000,-8079000,-116853000,5349000,50237000,14664000,59364000
23,Net Income,5500000,10700000,18000000,25900000,24800000,59400000,103027000,66217000,172173000,181496000,155855000,135738000,103092000,76268000,139624000,167855000,171642000,164637000,183492000,128238000,96422000,-866628000,-105195000,6653000,8492000,173546000,208115000,134940000
24,Net Income ratio,0.0739,0.0803,0.0756,0.0791,0.0306,0.0419,0.0643,0.0366,0.0857,0.0815,0.0674,0.0580,0.0424,0.0262,0.0484,0.0610,0.0628,0.0571,0.0595,0.0413,0.0305,-0.2643,-0.0355,0.0025,0.0032,0.0650,0.0740,0.0294
25,EPS,0.02,0.08,0.29,0.42,0.34,0.82,1.52,0.79,2.20,2.16,1.99,1.86,1.48,1.11,2.10,2.54,2.64,2.69,3.11,2.34,1.82,-16.34,-2.13,0.12,0.16,3.19,3.84,2.37
26,EPS Diluted,0.02,0.08,0.29,0.41,0.33,0.70,1.18,0.72,1.90,2.08,1.94,1.83,1.46,1.10,2.08,2.52,2.60,2.66,3.09,2.32,1.81,-16.34,-2.13,0.12,0.16,3.10,3.73,2.02
27,Weighted Average Shares Outstanding,242647059,63420000,62500000,156250000,156250000,60539216,61086412,64478426,73485027,84025926,78319095,72977419,69656757,68709910,66606000,65986000,65104000,61188000,58913000,54804000,52850000,53050000,53149617,53282000,53471000,54325000,54187000,57053000
28,Weighted Average Shares Outstanding Diluted,242647059,63420000,62500000,156250000,156250000,70977011,78215372,70962291,85422468,87257692,80337629,74173770,70610959,69334545,67191000,66567000,65903000,61889000,59405000,55162000,53126000,53050000,53149617,53844000,54542000,55955000,55754000,66839000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/933036/000095013405004635/0000950134-05-004635-index.htm,https://www.sec.gov/Archives/edgar/data/933036/000095013406004738/0000950134-06-004738-index.htm,https://www.sec.gov/Archives/edgar/data/933036/000095013407004543/0000950134-07-004543-index.htm,https://www.sec.gov/Archives/edgar/data/933036/000095013408003737/0000950134-08-003737-index.htm,https://www.sec.gov/Archives/edgar/data/933036/000095013409003883/0000950134-09-003883-index.htm,https://www.sec.gov/Archives/edgar/data/933036/000095012310017379/0000950123-10-017379-index.htm,https://www.sec.gov/Archives/edgar/data/933036/000095012311018066/0000950123-11-018066-index.htm,https://www.sec.gov/Archives/edgar/data/933036/000119312512082244/0001193125-12-082244-index.htm,https://www.sec.gov/Archives/edgar/data/933036/000093303613000006/0000933036-13-000006-index.htm,https://www.sec.gov/Archives/edgar/data/933036/000093303614000007/0000933036-14-000007-index.htm,https://www.sec.gov/Archives/edgar/data/933036/000093303615000006/0000933036-15-000006-index.htm,https://www.sec.gov/Archives/edgar/data/933036/000093303616000044/0000933036-16-000044-index.htm,https://www.sec.gov/Archives/edgar/data/933036/000093303617000009/0000933036-17-000009-index.htm,https://www.sec.gov/Archives/edgar/data/933036/000093303618000010/0000933036-18-000010-index.htm,https://www.sec.gov/Archives/edgar/data/933036/000093303619000007/0000933036-19-000007-index.htm,https://www.sec.gov/Archives/edgar/data/933036/000093303620000010/0000933036-20-000010-index.htm,https://www.sec.gov/Archives/edgar/data/933036/000093303621000049/0000933036-21-000049-index.htm,https://www.sec.gov/Archives/edgar/data/933036/000093303622000046/0000933036-22-000046-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,1400000,35300000,5900000,4700000,33800000,21700000,36495000,107958000,85723000,143941000,58825000,57627000,92344000,97375000,87382000,101803000,70727000,88065000,61087000,42274000,46126000,60363000,95396000,72968000,155391000,70494000,159449000,108333000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,1400000,35300000,5900000,4700000,33800000,21700000,36495000,107958000,85723000,143941000,58825000,57627000,92344000,97375000,87382000,101803000,70727000,88065000,61087000,42274000,46126000,60363000,95396000,72968000,155391000,70494000,159449000,108333000
34,Net Receivables,- -,1400000,3000000,2800000,3300000,3900000,3254000,1664000,5922000,14949000,16269000,20403000,34680000,41629000,51766000,63439000,53890000,48221000,48822000,58686000,65492000,69320000,69785000,69823000,69645000,84123000,90003000,- -
35,Inventory,28100000,64200000,95100000,112800000,408800000,531200000,587232000,653701000,631724000,682367000,760422000,752880000,1056233000,- -,822487000,754067000,842271000,957290000,- -,- -,- -,- -,- -,868991000,- -,- -,- -,- -
36,Other Current Assets,- -,9400000,2300000,3200000,65700000,27800000,31805000,29846000,42882000,70702000,65050000,38524000,54068000,56384000,59217000,50680000,170713000,69326000,3741000,4038000,4855000,4668000,3629000,-864966000,3834000,4878000,5439000,- -
37,Total Current Assets,29500000,110300000,106300000,123500000,511600000,584600000,658786000,793169000,766251000,911959000,900566000,869434000,1237325000,195388000,1020852000,969989000,1137601000,1162902000,113650000,104998000,116473000,134351000,168810000,146816000,228870000,159495000,254891000,- -
38,PP&E,2600000,7400000,12700000,17700000,85000000,82700000,87168000,106883000,105949000,121909000,144818000,149904000,218145000,222157000,208897000,204551000,224639000,287621000,1330604000,1461566000,1570582000,1467411000,1318382000,1151892000,1033793000,1283392000,1334215000,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1253715000,1255163000,1265249000,1268684000,1320467000,1339125000,1344665000,1364549000,1370459000,206122000,55308000,56614000,56845000,70217000,70217000,286962000
40,Intangible Assets,3700000,29500000,47200000,61200000,728000000,707300000,708328000,711096000,743852000,797434000,922404000,929326000,27882000,13931000,1704000,773000,5624000,11730000,8223000,8969000,7533000,7777000,5252000,882000,499000,8762000,7869000,- -
41,Intangible Assets,3700000,29500000,47200000,61200000,728000000,707300000,708328000,711096000,743852000,797434000,922404000,929326000,1281597000,1269094000,1266953000,1269457000,1326091000,1350855000,1352888000,1373518000,1377992000,213899000,60560000,57496000,57344000,78979000,78086000,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,8772000,- -,- -,- -,- -,1535000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25558000,14889000,33782000,- -
44,Other Non-Current Assets,1200000,100000,8300000,6500000,178400000,110400000,32628000,- -,- -,- -,- -,- -,2354000,940304000,- -,- -,- -,- -,71963000,78471000,206150000,171347000,54989000,64577000,51352000,46043000,50006000,- -
45,Total Non-Current Assets,7500000,37000000,68200000,85400000,991400000,900400000,828124000,826751000,849801000,919343000,1067222000,1079230000,1503631000,2431555000,1475850000,1474008000,1550730000,1638476000,2755455000,2913555000,3154724000,1852657000,1433931000,1273965000,1168047000,1423303000,1496089000,- -
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2993327000
47,Total Assets,37000000,147300000,174500000,208900000,1503000000,1485000000,1486910000,1619920000,1616052000,1831302000,1967788000,1948664000,2740956000,2626943000,2496702000,2443997000,2688331000,2801378000,2869105000,3018553000,3271197000,1987008000,1602741000,1420781000,1396917000,1582798000,1750980000,2993327000
48,Accounts Payable,2000000,3300000,17000000,11900000,43900000,53500000,65696000,49930000,43461000,72708000,94399000,88147000,118440000,100419000,93496000,97159000,126051000,105064000,99566000,120166000,141878000,96355000,108238000,90352000,113838000,168120000,186063000,- -
49,Short-Term Debt,- -,- -,- -,- -,175000000,175000000,175000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18275000,14500000,14570000,- -,5735000,- -,- -,5735000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,35516000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,2300000,6700000,12900000,17000000,239000000,106800000,89560000,170196000,208859000,265762000,370866000,313035000,350763000,320098000,- -,388166000,507367000,596430000,213774000,204394000,218340000,211707000,216797000,193233000,216132000,174930000,196318000,- -
53,Total Current Liabilities,4300000,10000000,29900000,28900000,457900000,335300000,330256000,220126000,252320000,338470000,465265000,401182000,504719000,420517000,93496000,485325000,633418000,701494000,313340000,342835000,374718000,322632000,325035000,289320000,329970000,343050000,388116000,- -
54,Long-Term Debt,23400000,40800000,19000000,27200000,630700000,672200000,566051000,702506000,521330000,698000000,708250000,724050000,1293278000,1259335000,947087000,711158000,701114000,740675000,687500000,898000000,1028313000,953803000,724230000,667152000,540042000,230913000,190490000,296535000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,43577000,44506000,58880000,60535000,58255000,51742000,53348000,52589000,61066000,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,87216000,- -,- -,- -,303110000,323326000,345299000,119245000,173144000,87081000,119061000,163984000,176410000,- -
57,Other Non-Current Liabilities,- -,- -,100000,- -,- -,-100000,- -,291910000,2000,2000,2000,- -,- -,- -,289701000,- -,- -,- -,51715000,66335000,74592000,60311000,57144000,53043000,67979000,333299000,342818000,- -
58,Total Non-Current Liabilities,23400000,40800000,19100000,27200000,630700000,672100000,566051000,994416000,521332000,698002000,708252000,724050000,1293278000,1259335000,1324004000,711158000,701114000,740675000,1085902000,1332167000,1507084000,1193894000,1012773000,859018000,780430000,780785000,770784000,296535000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2776586000
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,285041000,285354000,296535000
61,Total Liabilities,27700000,50800000,49000000,56100000,1088600000,1007400000,896307000,1214542000,773652000,1036472000,1173517000,1125232000,1797997000,1679852000,1417500000,1196483000,1334532000,1442169000,1399242000,1675002000,1881802000,1516526000,1337808000,1148338000,1110400000,1123835000,1158900000,2480051000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,300000,257000,277000,395000,1012000,1023000,1030000,1042000,1045000,1047000,1049000,1060000,1077000,1085000,1091000,1094000,1094000,1095000,1097000,1099000,1110000,1105000,- -
64,Retained Earnings,8900000,9200000,27200000,53100000,77900000,125800000,218507000,269982000,428621000,609930000,765785000,901493000,993567000,1069553000,1208009000,1377332000,1541168000,1669389000,1812293000,1888002000,1927445000,1009770000,800640000,798743000,805924000,947875000,1091010000,- -
65,Other Comprehensive Income/Loss,-2800000,-4900000,-8000000,-13100000,-20700000,-48500000,-78095000,-106972000,-132640000,-165038000,-202307000,-174306000,-245017000,-245939000,-288798000,-304451000,-345851000,-1000000,2000000,-1043696000,-5000000,-11000000,-16000000,-11000000,-11000000,-11000000,-11396000,-12371000
66,Other Total Stockholders Equity,3200000,92200000,106300000,112800000,357200000,400000000,449934000,242091000,546024000,348926000,229770000,95215000,193367000,122432000,158944000,173584000,157422000,-310257000,-345515000,498154000,-534144000,-529382000,-520802000,-516397000,-509506000,-479022000,-488639000,- -
67,Total Stockholders Equity,9300000,96500000,125500000,152800000,414400000,477600000,590603000,405378000,842400000,794830000,794271000,823432000,942959000,947091000,1079202000,1247514000,1353799000,1359209000,1469863000,1343551000,1389395000,470482000,264933000,272443000,286517000,458963000,592080000,513276000
68,Total Liabilities And Stockholders Equity,37000000,147300000,174500000,208900000,1503000000,1485000000,1486910000,1619920000,1616052000,1831302000,1967788000,1948664000,2740956000,2626943000,2496702000,2443997000,2688331000,2801378000,2869105000,3018553000,3271197000,1987008000,1602741000,1420781000,1396917000,1582798000,1750980000,2993327000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,37000000,147300000,174500000,208900000,1503000000,1485000000,1486910000,1619920000,1616052000,1831302000,1967788000,1948664000,2740956000,2626943000,2496702000,2443997000,2688331000,2801378000,2869105000,3018553000,3271197000,1987008000,1602741000,1420781000,1396917000,1582798000,1750980000,2993327000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/933036/000095013405004635/0000950134-05-004635-index.htm,https://www.sec.gov/Archives/edgar/data/933036/000095013406004738/0000950134-06-004738-index.htm,https://www.sec.gov/Archives/edgar/data/933036/000095013407004543/0000950134-07-004543-index.htm,https://www.sec.gov/Archives/edgar/data/933036/000095013408003737/0000950134-08-003737-index.htm,https://www.sec.gov/Archives/edgar/data/933036/000095013409003883/0000950134-09-003883-index.htm,https://www.sec.gov/Archives/edgar/data/933036/000095012310017379/0000950123-10-017379-index.htm,https://www.sec.gov/Archives/edgar/data/933036/000095012311018066/0000950123-11-018066-index.htm,https://www.sec.gov/Archives/edgar/data/933036/000119312512082244/0001193125-12-082244-index.htm,https://www.sec.gov/Archives/edgar/data/933036/000093303613000006/0000933036-13-000006-index.htm,https://www.sec.gov/Archives/edgar/data/933036/000093303614000007/0000933036-14-000007-index.htm,https://www.sec.gov/Archives/edgar/data/933036/000093303615000006/0000933036-15-000006-index.htm,https://www.sec.gov/Archives/edgar/data/933036/000093303616000044/0000933036-16-000044-index.htm,https://www.sec.gov/Archives/edgar/data/933036/000093303617000009/0000933036-17-000009-index.htm,https://www.sec.gov/Archives/edgar/data/933036/000093303618000010/0000933036-18-000010-index.htm,https://www.sec.gov/Archives/edgar/data/933036/000093303619000007/0000933036-19-000007-index.htm,https://www.sec.gov/Archives/edgar/data/933036/000093303620000010/0000933036-20-000010-index.htm,https://www.sec.gov/Archives/edgar/data/933036/000093303621000049/0000933036-21-000049-index.htm,https://www.sec.gov/Archives/edgar/data/933036/000093303622000046/0000933036-22-000046-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,5500000,10700000,18000000,25900000,24800000,59400000,103027000,66217000,172173000,181496000,155855000,135738000,103092000,76268000,139624000,167855000,171642000,164637000,183492000,128238000,96422000,-866628000,-105195000,6653000,8492000,173546000,208115000,134940000
74,Depreciation and Amortization,22800000,34800000,51600000,68200000,198800000,326500000,363450000,414061000,432748000,489436000,506614000,515900000,528732000,650717000,646686000,586182000,570965000,626444000,700290000,735601000,766817000,797862000,736627000,696983000,685586000,680668000,690362000,1217
75,Deferred Income Tax,- -,1400000,5000000,-300000,20600000,- -,77738000,23856000,94914000,46776000,30113000,-41827000,-7121000,11213000,77538000,35899000,95837000,78759000,5399000,23699000,26796000,-231710000,-32994000,-86063000,6816000,55257000,-6605000,48
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3341000,3461000,4123000,4471000,8366000,6456000,6559000,9541000,9209000,3896000,5961000,6958000,12284000,148
77,Change in Working Capital,-22100000,75100000,-23900000,18200000,-40900000,195600000,79230000,244513000,-59112000,59558000,-138188000,32951000,264354000,-957735000,1152485000,-442692000,19519000,-42775000,-661098000,-38147000,-20408000,69964000,32056000,13721000,41404000,-82455000,50330000,-731524000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-24572000,-34781000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,-23000000,-39200000,-64900000,-64300000,-171300000,-387900000,-342233000,-391932000,-342954000,-424397000,-456316000,-427907000,-551968000,-445920000,-438964000,-449128000,-567733000,-670347000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25467000,-20987000,-5498000,20600000,21440000,-45523000,11883000,-17886000,23486000,54282000,17943000,-66
81,Other Working Capital,25200000,100300000,76400000,94600000,53700000,249300000,328530000,573043000,513931000,573489000,435301000,468252000,732606000,-225129000,927356000,484664000,504183000,461408000,-199690000,-237837000,-258245000,-188281000,-156225000,-142504000,-101100000,-183555000,-133225000,-1737565000
82,Other Non-Cash Items,- -,-116800000,-31300000,-83200000,-196900000,-610800000,-431882000,-572917000,-346233000,-434854000,-223364000,-454865000,-701697000,459917000,-1634952000,-20584000,-645597000,-544910000,-18551000,-721505000,-857073000,451459000,-285968000,-524657000,-520754000,-618558000,-717984000,596582980
83,Cash Provided by Operating Activities,6200000,5200000,19400000,28800000,6400000,-29300000,191563000,175730000,294490000,342412000,331030000,187897000,187360000,240380000,384722000,330121000,216489000,286626000,217898000,134342000,19113000,230488000,353735000,110533000,227505000,215416000,236502000,392
84,CAPEX,-1700000,-3500000,-8100000,-40900000,-969500000,-36200000,-37937000,-57532000,-37596000,-55987000,-72096000,-60230000,-84409000,-101961000,-61931000,-68841000,-93007000,-132710000,-102453000,-108367000,-83785000,-80870000,-61143000,-65460000,-27962000,-21157000,-34545000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,-42538000,-49835000,-59504000,-126119000,-165219000,-38321000,-657378000,-20112000,-15700000,-7221000,-74378000,-26747000,-13258000,-41236000,-27354000,-25170000,-3098000,2113000,23269000,-28915000,-700000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,100000,-21200000,-28200000,300000,700000,8600000,1403000,706000,398000,809000,4824000,2513000,1375000,4500000,6144000,3122000,203000,208000,4984000,19973000,14474000,15964000,5262000,- -,- -,70830000,14635000,-1336
89,Cash Used for Investing Activites,-1600000,-24700000,-36300000,-40600000,-968800000,-27600000,-79072000,-106661000,-96702000,-181297000,-232491000,-96038000,-740412000,-117573000,-71487000,-72940000,-167182000,-159249000,-110727000,-129630000,-96665000,-90076000,-58979000,-63347000,-4693000,20758000,-20610000,-1336
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-526625000,-424129000,-403253000,-943549000,-659772000,-679370000,-646323000,-605620000,-286065000,-400151000,-166358000,-608640000,-240000000,-369
91,Common Stock Issued,- -,77900000,700000,1000000,261400000,3300000,8434000,65939000,26792000,29783000,16615000,9519000,20103000,5931000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-25000000,- -,- -,-25000000,-65565000,-273175000,-210520000,-118376000,-4691000,-83449000,-13382000,-8833000,-84520000,-164169000,-61860000,-217421000,- -,- -,- -,-225000,-317000,-3025000,-31842000,- -
93,Dividends Paid,-500000,-1500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7804000,-26891000,-37866000,-46809000,-48663000,-51011000,-25554000,-12811000,- -,-13707000,-63119000,-72
94,Other Financing Activites,-4100000,-23000000,-13200000,9600000,755000000,41500000,-106109000,-38545000,-181250000,140495000,10250000,15800000,572357000,-40258000,216779000,187907000,414244000,1024771000,625039000,920483000,777838000,532751000,52245000,342647000,26363000,303745000,208280000,1333
95,Cash Used/Provided by Financing Activities,-4600000,53400000,-12500000,10600000,991400000,44800000,-97675000,2394000,-220023000,-102897000,-183655000,-93057000,587769000,-117776000,-323228000,-245055000,-81333000,-109838000,-134459000,-23117000,82852000,-123880000,-259374000,-70540000,-140312000,-321627000,-126681000,893
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2295000,950000,-201000,310000,-408000,-1448000,-2295000,-349000,926000,-77000,556000,-256000,-0
97,Net Change In Cash,-4600000,53400000,-12500000,10600000,29100000,-12100000,14816000,71463000,-22235000,58218000,-85116000,-1198000,34717000,5031000,-9993000,14421000,-31076000,17338000,-26978000,-18813000,3852000,14237000,35033000,-22428000,82423000,-84897000,88955000,-51
98,Cash at the End of Period,- -,- -,- -,- -,33800000,21700000,36495000,107958000,85723000,143941000,58825000,57627000,92344000,97375000,87382000,101803000,70727000,88065000,61087000,42274000,46126000,60363000,95396000,72968000,155391000,70494000,159449000,108
99,Cash at the Beginning of Period,1400000,1400000,35300000,5900000,4700000,33800000,21679000,36495000,107958000,85723000,143941000,58825000,57627000,92344000,97375000,87382000,101803000,70727000,88065000,61087000,42274000,46126000,60363000,95396000,72968000,155391000,70494000,159
100,Free Cash Flow,4500000,1700000,11300000,-12100000,-963100000,-65500000,153626000,118198000,256894000,286425000,258934000,127667000,102951000,138419000,322791000,261280000,123482000,153916000,115445000,25975000,-64672000,149618000,292592000,45073000,199543000,194259000,201957000,392
