,https://roic.ai/company/OTEX,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
25,EPS,-0.45,-0.10,-0.17,0.12,0.14,0.07,0.10,0.18,0.13,0.10,0.03,0.11,0.26,0.27,0.39,0.54,0.54,0.63,0.91,0.96,1.17,4.04,0.91,1.06,0.86,1.14
26,EPS Diluted,-0.45,-0.10,-0.17,0.11,0.13,0.06,0.10,0.17,0.12,0.10,0.03,0.11,0.25,0.27,0.38,0.53,0.53,0.63,0.91,0.95,1.17,4.01,0.91,1.06,0.86,1.14
27,Weighted Average Shares Outstanding,96267409,134153846,141353383,168333333,178794144,160256736,159829752,156202224,174974032,199674164,194664556,197571380,203118120,208120000,225120000,228308000,231560000,234416000,239348000,244184000,242926000,253879000,266085000,268784000,270847000,272533000
28,Weighted Average Shares Outstanding Diluted,96267409,134153846,141353383,190117647,195370576,171725160,169911720,165572432,189088452,208367440,199798372,203631588,210416460,213084000,229540000,233040000,234936000,236248000,241152000,245914000,244076000,255805000,267492000,269908000,271817000,273479000
29,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1002638/000092701602004735/0000927016-02-004735-index.html,https://www.sec.gov/Archives/edgar/data/1002638/000119312503055392/0001193125-03-055392-index.html,https://www.sec.gov/Archives/edgar/data/1002638/000119312504155701/0001193125-04-155701-index.html,- -,https://www.sec.gov/Archives/edgar/data/1002638/000119312506189351/d10k.htm,https://www.sec.gov/Archives/edgar/data/1002638/000119312507200477/0001193125-07-200477-index.html,https://www.sec.gov/Archives/edgar/data/1002638/000119312508184257/0001193125-08-184257-index.html,https://www.sec.gov/Archives/edgar/data/1002638/000119312509179839/0001193125-09-179839-index.html,https://www.sec.gov/Archives/edgar/data/1002638/000119312510193608/0001193125-10-193608-index.html,https://www.sec.gov/Archives/edgar/data/1002638/000119312511222831/0001193125-11-222831-index.html,https://www.sec.gov/Archives/edgar/data/1002638/000100263812000011/0001002638-12-000011-index.html,https://www.sec.gov/Archives/edgar/data/1002638/000100263813000022/0001002638-13-000022-index.html,https://www.sec.gov/Archives/edgar/data/1002638/000100263814000038/0001002638-14-000038-index.html,https://www.sec.gov/Archives/edgar/data/1002638/000100263815000026/0001002638-15-000026-index.html,https://www.sec.gov/Archives/edgar/data/1002638/000100263816000080/0001002638-16-000080-index.html,https://www.sec.gov/Archives/edgar/data/1002638/000100263817000032/0001002638-17-000032-index.html,https://www.sec.gov/Archives/edgar/data/1002638/000100263818000022/0001002638-18-000022-index.html,https://www.sec.gov/Archives/edgar/data/1002638/000100263819000014/a10-kq4x19.htm,https://www.sec.gov/Archives/edgar/data/1002638/000100263820000026/0001002638-20-000026-index.htm,https://www.sec.gov/Archives/edgar/data/1002638/000100263821000029/0001002638-21-000029-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,109895000,116554000,156987000,79898000,107354000,149979000,254916000,275819000,326192000,284140000,559747000,470445000,427890000,699999000,1283757000,443357000,682942000,941009000,1692850000,1607306000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11166000,11839000,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,109895000,116554000,156987000,79898000,107354000,149979000,254916000,275819000,326192000,284140000,559747000,470445000,427890000,711165000,1295596000,443357000,682942000,941009000,1692850000,1607306000
34,Net Receivables,- -,- -,- -,- -,- -,- -,34288000,36339000,90037000,93286000,86940000,159841000,151159000,120298000,176652000,173479000,181513000,192100000,317577000,305282000,317656000,478495000,543579000,523081000,557113000,496203000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1568000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,2530000,11229000,25326000,18713000,37243000,40616000,23999000,37225000,36800000,57539000,48014000,54546000,70268000,83902000,59021000,81625000,101059000,97238000,136436000,98551000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,146713000,164122000,272350000,191897000,231537000,350436000,430074000,434910000,539644000,515158000,789274000,717091000,815735000,1100349000,1672273000,1003477000,1327580000,1561328000,2386399000,2202060000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,36070000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,468127000
39,Goodwill,- -,- -,- -,- -,- -,- -,24587000,- -,- -,- -,235523000,528312000,564648000,576111000,671624000,832481000,1040234000,1246872000,1963557000,2161592000,2325586000,3416749000,3580129000,3769908000,4672356000,4691673000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,33436000,340340000,371072000,102326000,343324000,281824000,315048000,328193000,344995000,312563000,363615000,725318000,679479000,646240000,1472542000,1296637000,1146504000,1612564000,1187260000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,24587000,33436000,340340000,371072000,337849000,871636000,846472000,891159000,999817000,1177476000,1352797000,1610487000,2688875000,2841071000,2971826000,4889291000,4876766000,4916412000,6284920000,5878933000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,21000000,- -,- -,13103000,- -,- -,- -,- -,7276000,20494000,18062000,30909000,49635000,67002000,76002000,121777000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,8674000,27668000,36499000,37185000,42078000,59881000,109835000,75823000,97726000,80226000,135695000,156712000,155411000,241161000,1215712000,1122729000,1004450000,911565000,796738000
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,15547000,32455000,30397000,5398000,43522000,62695000,98249000,58229000,98740000,142003000,221996000,191544000,250040000,271170000,250822000,341173000,388319000,384783000,575936000,141701000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,40134000,74565000,398405000,449039000,439556000,976409000,1004602000,1072326000,1174380000,1417205000,1655019000,1937726000,3102903000,3288146000,3481871000,6477085000,6437449000,6372647000,7848423000,7407276000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,186847000,238687000,670755000,640936000,671093000,1326845000,1434676000,1507236000,1714024000,1932363000,2444293000,2654817000,3918638000,4388495000,5154144000,7480562000,7765029000,7933975000,10234822000,9609336000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,2288000,31596000,18050000,80468000,6077000,100211000,99035000,28457000,12247000,10772000,7574000,8776000,16025000,15558000,35804000,43699000,41722000,46323000,41469000,57500000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,2189000,- -,405000,4048000,3486000,3449000,15486000,15545000,41374000,51742000,62582000,8000000,8000000,182760000,10000000,10000000,610000000,68315000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,48951000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,23927000,38086000,62661000,75227000,74687000,143097000,176967000,189397000,219752000,254531000,273987000,282387000,332664000,358066000,373549000,570328000,644211000,641656000,812218000,852629000
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,16601000,- -,84728000,10128000,68641000,35306000,18375000,97425000,175407000,134525000,153578000,184978000,248612000,243810000,253676000,330256000,298666000,316738000,440546000,383460000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,42816000,69682000,167628000,165823000,149810000,282662000,297863000,318728000,422892000,415373000,476513000,527883000,659883000,625434000,671029000,1127043000,994599000,1014717000,1904233000,1361904000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12963000,366765000,304301000,299234000,285026000,282033000,555000000,513750000,1256750000,1580000000,2137987000,2387057000,2610523000,2604878000,3584311000,3803312000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7914000,10085000,11466000,12653000,11830000,17248000,28223000,37461000,61678000,69197000,46974000,94382000,98989000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,35536000,29245000,19490000,120019000,109912000,156020000,13459000,43529000,26705000,69672000,60631000,69185000,79231000,94724000,79938000,55872000,148738000,108224000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,6608000,24535000,25682000,24655000,26356000,77767000,38876000,96342000,140517000,194030000,194474000,281959000,255846000,249239000,276741000,293514000,326864000,496449000,137454000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,6608000,60071000,54927000,57108000,513140000,491980000,502044000,404912000,477545000,788388000,789726000,1616588000,1933254000,2503918000,2820200000,3053172000,3034588000,4323880000,4147979000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,281236000,282768000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,42816000,76290000,227699000,220750000,206918000,795802000,789843000,820772000,827804000,892918000,1264901000,1317609000,2276471000,2558688000,3174947000,3947243000,4047771000,4049305000,6228113000,5509883000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,614279000,635321000,651642000,792834000,808010000,817788000,1439850000,1707073000,1774214000,1851777000,1947764000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,-60004000,-41827000,-18529000,-32103000,-27125000,-5465000,47541000,104479000,192033000,316894000,442068000,572885000,716317000,863015000,992546000,1897624000,1994235000,2113883000,2159396000,2153326000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,-33935000,-38129000,-47929000,18937000,-88461000,-107306000,-125094000,-116735000,-128369000,60000000,44000000,40000000,39000000,52000000,46000000,49000000,34000000,24000000,18000000,66238000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,237970000,242353000,499463000,- -,573957000,636839000,713714000,698720000,822556000,48272000,58003000,72681000,93715000,106259000,122322000,145884000,-19087000,-28642000,-23783000,-69386000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,144031000,162397000,433005000,415755000,458371000,524068000,636161000,686464000,886220000,1039445000,1179392000,1337208000,1641866000,1829284000,1978656000,3532358000,3716221000,3883455000,4005390000,4097942000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,186847000,238687000,660704000,636505000,665289000,1319870000,1426004000,1507236000,1714024000,1932363000,2444293000,2654817000,3918337000,4387972000,5153603000,7479601000,7763992000,7932760000,10233503000,9607825000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,10051000,4431000,5804000,6975000,8672000,- -,- -,- -,- -,- -,301000,523000,541000,961000,1037000,1215000,1319000,1511000
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,186847000,238687000,670755000,640936000,671093000,1326845000,1434676000,1507236000,1714024000,1932363000,2444293000,2654817000,3918638000,4388495000,5154144000,7480562000,7765029000,7933975000,10234822000,9609336000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/1002638/000092701602004735/0000927016-02-004735-index.html,https://www.sec.gov/Archives/edgar/data/1002638/000119312503055392/0001193125-03-055392-index.html,https://www.sec.gov/Archives/edgar/data/1002638/000119312504155701/0001193125-04-155701-index.html,- -,https://www.sec.gov/Archives/edgar/data/1002638/000119312506189351/d10k.htm,https://www.sec.gov/Archives/edgar/data/1002638/000119312507200477/0001193125-07-200477-index.html,https://www.sec.gov/Archives/edgar/data/1002638/000119312508184257/0001193125-08-184257-index.html,https://www.sec.gov/Archives/edgar/data/1002638/000119312509179839/0001193125-09-179839-index.html,https://www.sec.gov/Archives/edgar/data/1002638/000119312510193608/0001193125-10-193608-index.html,https://www.sec.gov/Archives/edgar/data/1002638/000119312511222831/0001193125-11-222831-index.html,https://www.sec.gov/Archives/edgar/data/1002638/000100263812000011/0001002638-12-000011-index.html,https://www.sec.gov/Archives/edgar/data/1002638/000100263813000022/0001002638-13-000022-index.html,https://www.sec.gov/Archives/edgar/data/1002638/000100263814000038/0001002638-14-000038-index.html,https://www.sec.gov/Archives/edgar/data/1002638/000100263815000026/0001002638-15-000026-index.html,https://www.sec.gov/Archives/edgar/data/1002638/000100263816000080/0001002638-16-000080-index.html,https://www.sec.gov/Archives/edgar/data/1002638/000100263817000032/0001002638-17-000032-index.html,https://www.sec.gov/Archives/edgar/data/1002638/000100263818000022/0001002638-18-000022-index.html,https://www.sec.gov/Archives/edgar/data/1002638/000100263819000014/a10-kq4x19.htm,https://www.sec.gov/Archives/edgar/data/1002638/000100263820000026/0001002638-20-000026-index.htm,https://www.sec.gov/Archives/edgar/data/1002638/000100263821000029/0001002638-21-000029-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,-28200000,-23500000,20200000,25079000,10796000,16671000,27757000,23298000,20359000,4978000,21660000,53006000,56938000,87554000,123203000,125174000,148520000,218125000,234327000,284477000,1025659000,242224000,285501000,234225000,310672000
74,Depreciation and Amortization,- -,16400000,28000000,9900000,7942000,10638000,12093000,8245000,18409000,35449000,39202000,75443000,85511000,93004000,113837000,129130000,159485000,186851000,186177000,240147000,242368000,345715000,456929000,470928000,551598000,520605000
75,Deferred Income Tax,- -,- -,- -,-11700000,7400000,2146000,- -,- -,-2244000,-1168000,-4314000,-19097000,-24326000,-9914000,-24219000,-17779000,-78792000,-5796000,-31016000,-14578000,-54461000,-871195000,89736000,47425000,51388000,73039000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5032000,9765000,11308000,18097000,15575000,19906000,22047000,25978000,30507000,27594000,26770000,29532000,51969000
77,Change in Working Capital,- -,-3500000,- -,- -,- -,-1147000,105044000,-9457000,10282000,-78648000,55653000,-13953000,64437000,-16029000,570000,-16967000,212976000,-123553000,-33356000,319063000,526329000,-1124810000,456547000,213630000,-64445000,357990000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,43761000,24521000,200000,5319000,17965000,-17186000,43189000,8985000,-126784000,-22566000,75508000,84499000,60954000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,50000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,-1147000,103897000,94440000,104722000,26074000,81727000,67774000,132211000,116182000,116752000,99785000,312761000,189208000,155852000,474915000,1001244000,-123566000,332981000,546611000,482166000,840156000
82,Other Non-Cash Items,- -,- -,-12600000,-15600000,-14044000,-10671000,-105310000,13474000,-12226000,81272000,-34721000,46811000,-12652000,47139000,-7316000,-5674000,-170450000,96905000,57291000,-277975000,-498969000,1033377000,-563145000,-167976000,152238000,-438155000
83,Cash Provided by Operating Activities,- -,-15300000,-8100000,2800000,26377000,11762000,28498000,40019000,37519000,57264000,60798000,110864000,165976000,176170000,180191000,223221000,266490000,318502000,417127000,523031000,525722000,439253000,709885000,876278000,954536000,876120000
84,CAPEX,- -,-2600000,-17000000,-10500000,-7055000,-5781000,-2248000,-3615000,-6112000,-17909000,-19278000,-5260000,-6895000,-12150000,-19314000,-36662000,-26021000,-23299000,-42460000,-77046000,-70009000,-79592000,-105318000,-63837000,-72709000,-63675000
85,Acquisitions Net,- -,- -,- -,- -,-6611000,-15621000,- -,-17984000,-28903000,-59474000,-15208000,-391120000,-21522000,-139749000,-136032000,-251124000,-255518000,-347345000,-1108361000,-327792000,-293071000,-2114647000,-321089000,-383723000,-1382581000,-527000
86,Purchases of Investments,- -,-1400000,-2400000,-3500000,-1775000,-938000,-709000,- -,- -,- -,-20241000,-829000,- -,-8930000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,6300000,- -,3900000,50084000,- -,2702000,287000,- -,- -,- -,- -,- -,- -,45525000,518000,- -,- -,- -,17017000,11297000,9212000,- -,- -,- -,- -
88,Other Investing Activites,- -,-5900000,-500000,-400000,790000,- -,-212000,-2626000,15402000,- -,- -,-39061000,- -,- -,- -,- -,-193000,-3942000,-2739000,-10574000,-9393000,-5937000,-18034000,-16966000,-14127000,-4568000
89,Cash Used for Investing Activites,- -,-3600000,-19900000,-10500000,35433000,-22340000,-467000,-23938000,-19613000,-77383000,-54727000,-436270000,-28417000,-160829000,-109821000,-287268000,-281539000,-374394000,-1153368000,-398395000,-361176000,-2190964000,-444441000,-464526000,-1469417000,-68770000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3426000,-3485000,-3575000,-349187000,-30677000,-45911000,-530284000,-8000000,-57880000,-1149620000,-10000000,-1713631000,-610000000
91,Common Stock Issued,- -,500000,37300000,107800000,9157000,6022000,7517000,7007000,22990000,7172000,4569000,11734000,12272000,19593000,9971000,11512000,21270000,16347000,24808000,15240000,20097000,604223000,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-97226000,-21266000,-13800000,-17302000,- -,-63835000,- -,- -,- -,- -,-14000000,-12499000,-10888000,- -,-1275000,-10126000,-76136000,-8198000,- -,-26499000,-12424000,-183952000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-17703000,-74693000,-87629000,-99262000,-120581000,-145613000,-168859000,-188712000,-210662000
94,Other Financing Activites,- -,-1000000,-600000,-200000,-79000,-55000,-12000,243000,-1054000,-2257000,13633000,350605000,-62886000,8631000,119000,1859000,641389000,915000,785015000,783404000,593465000,491980000,1271560000,56984000,3183546000,80067000
95,Cash Used/Provided by Financing Activities,- -,-500000,36700000,107600000,-88148000,-15299000,-6295000,-10052000,21936000,-58920000,18202000,362339000,-50614000,24798000,-7395000,-2703000,302584000,-31118000,687944000,170605000,430164000,909544000,-23673000,-148374000,1268779000,-924547000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,-515000,633000,630000,591000,1950000,3183000,5692000,17992000,-19236000,-12602000,24698000,-11928000,-2292000,5742000,-23132000,-10952000,1767000,-2186000,-3826000,-178000,29734000
97,Net Change In Cash,- -,-500000,36700000,99900000,-26338000,-26392000,22369000,6659000,40433000,-77089000,27456000,42625000,104937000,20903000,50373000,-42052000,275607000,-89302000,-42555000,272109000,583758000,-840400000,239585000,259552000,753720000,-87463000
98,Cash at the End of Period,- -,- -,- -,140300000,113918000,87526000,109895000,116554000,156987000,79898000,107354000,149979000,254916000,275819000,326192000,284140000,559747000,470445000,427890000,699999000,1283757000,443357000,682942000,943543000,1697263000,1609800000
99,Cash at the Beginning of Period,- -,51100000,31800000,40400000,140256000,113918000,87526000,109895000,116554000,156987000,79898000,107354000,149979000,254916000,275819000,326192000,284140000,559747000,470445000,427890000,699999000,1283757000,443357000,683991000,943543000,1697263000
100,Free Cash Flow,- -,-17900000,-25100000,-7700000,19322000,5981000,26250000,36404000,31407000,39355000,41520000,105604000,159081000,164020000,160877000,186559000,240469000,295203000,374667000,445985000,455713000,359661000,604567000,812441000,881827000,812445000
101,SEC Link,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1002638/000092701602004735/0000927016-02-004735-index.html,https://www.sec.gov/Archives/edgar/data/1002638/000119312503055392/0001193125-03-055392-index.html,https://www.sec.gov/Archives/edgar/data/1002638/000119312504155701/0001193125-04-155701-index.html,- -,https://www.sec.gov/Archives/edgar/data/1002638/000119312506189351/d10k.htm,https://www.sec.gov/Archives/edgar/data/1002638/000119312507200477/0001193125-07-200477-index.html,https://www.sec.gov/Archives/edgar/data/1002638/000119312508184257/0001193125-08-184257-index.html,https://www.sec.gov/Archives/edgar/data/1002638/000119312509179839/0001193125-09-179839-index.html,https://www.sec.gov/Archives/edgar/data/1002638/000119312510193608/0001193125-10-193608-index.html,https://www.sec.gov/Archives/edgar/data/1002638/000119312511222831/0001193125-11-222831-index.html,https://www.sec.gov/Archives/edgar/data/1002638/000100263812000011/0001002638-12-000011-index.html,https://www.sec.gov/Archives/edgar/data/1002638/000100263813000022/0001002638-13-000022-index.html,https://www.sec.gov/Archives/edgar/data/1002638/000100263814000038/0001002638-14-000038-index.html,https://www.sec.gov/Archives/edgar/data/1002638/000100263815000026/0001002638-15-000026-index.html,https://www.sec.gov/Archives/edgar/data/1002638/000100263816000080/0001002638-16-000080-index.html,https://www.sec.gov/Archives/edgar/data/1002638/000100263817000032/0001002638-17-000032-index.html,https://www.sec.gov/Archives/edgar/data/1002638/000100263818000022/0001002638-18-000022-index.html,https://www.sec.gov/Archives/edgar/data/1002638/000100263819000014/a10-kq4x19.htm,https://www.sec.gov/Archives/edgar/data/1002638/000100263820000026/0001002638-20-000026-index.htm,https://www.sec.gov/Archives/edgar/data/1002638/000100263821000029/0001002638-21-000029-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,
