,https://roic.ai/company/SGEN,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
17,Operating Income,-9858559,-23599588,-25195688,-23263000,-37668000,-32071000,-40205000,-55645000,-91786000,-84857000,-68198000,-144392000,-57254000,-62861000,-77363000,-120950000,-142725000,-195801000,-259998000,-220545000,596852000,-682056000
18,Operating Income ratio,-99.9529,-86.0834,-14.9648,-4.5884,-5.6213,-3.2870,-4.0185,-2.4819,-2.6049,-1.6330,-0.6346,-1.5235,-0.2716,-0.2335,-0.2698,-0.3591,-0.3413,-0.4060,-0.3971,-0.2406,0.2743,-0.4332
19,Total Other Income Expenses (Gains),2020186,2906623,2035150,1177000,2229000,2638000,4190000,6713000,6285000,3174000,1933000,-7638000,3472000,341000,1222000,464000,2614000,36914000,13652000,61895000,18849000,6351000
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-53782000,-62520000,-76141000,-120486000,-140111000,-158887000,-246346000,-158650000,615701000,-675705000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-0.2551,-0.2322,-0.2655,-0.3577,-0.3351,-0.3295,-0.3763,-0.1731,0.2830,-0.4292
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-33357000,-23653000,- -,2031000,-1234000
23,Net Income,-7838373,-20692965,-23160538,-22086000,-35439000,-29433000,-36015000,-48932000,-85501000,-81683000,-66265000,-152030000,-53782000,-62520000,-76141000,-120486000,-140111000,-125530000,-222693000,-158650000,613670000,-674471000
24,Net Income ratio,-79.4709,-75.4810,-13.7560,-4.3562,-5.2886,-3.0166,-3.5997,-2.1825,-2.4265,-1.5719,-0.6166,-1.6041,-0.2551,-0.2322,-0.2655,-0.3577,-0.3351,-0.2603,-0.3401,-0.1731,0.2821,-0.4284
25,EPS,-2.54,-0.86,-0.77,-0.73,-1.80,-0.70,-0.74,-0.80,-1.09,-0.90,-0.66,-1.34,-0.46,-0.51,-0.62,-0.93,-1.00,-0.88,-1.41,-0.96,3.51,-3.70
26,EPS Diluted,-2.54,-0.86,-0.77,-0.73,-1.80,-0.70,-0.74,-0.80,-1.09,-0.90,-0.66,-1.34,-0.46,-0.51,-0.62,-0.93,-1.00,-0.88,-1.41,-0.96,3.37,-3.70
27,Weighted Average Shares Outstanding,3289731,23965275,30138023,30722000,39985000,42238000,48659000,61293000,78724000,90988000,101055000,113098000,117851000,121575000,123408000,129184000,140746000,143174000,157655000,165498000,174834000,182303000
28,Weighted Average Shares Outstanding Diluted,3289731,23965275,30138023,30722000,39985000,42238000,48659000,61293000,78724000,90988000,101055000,113098000,117851000,121575000,123408000,129184000,140746000,143174000,157655000,165498000,182287000,182303000
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1060736/000091205702012548/a2074703z10-k405.htm,https://www.sec.gov/Archives/edgar/data/1060736/000103221003000471/0001032210-03-000471-index.html,https://www.sec.gov/Archives/edgar/data/1060736/000119312504042552/0001193125-04-042552-index.html,https://www.sec.gov/Archives/edgar/data/1060736/000119312505051054/0001193125-05-051054-index.html,https://www.sec.gov/Archives/edgar/data/1060736/000119312506048545/d10k.htm,https://www.sec.gov/Archives/edgar/data/1060736/000119312507050988/d10k.htm,https://www.sec.gov/Archives/edgar/data/1060736/000119312508051949/d10k.htm,https://www.sec.gov/Archives/edgar/data/1060736/000119312509053947/0001193125-09-053947-index.html,https://www.sec.gov/Archives/edgar/data/1060736/000119312510055489/0001193125-10-055489-index.html,https://www.sec.gov/Archives/edgar/data/1060736/000119312511050126/d10k.htm,https://www.sec.gov/Archives/edgar/data/1060736/000119312512088821/0001193125-12-088821-index.html,https://www.sec.gov/Archives/edgar/data/1060736/000119312513080019/0001193125-13-080019-index.html,https://www.sec.gov/Archives/edgar/data/1060736/000119312514077371/d626905d10k.htm,https://www.sec.gov/Archives/edgar/data/1060736/000119312515069861/d823767d10k.htm,https://www.sec.gov/Archives/edgar/data/1060736/000119312516470022/0001193125-16-470022-index.html,https://www.sec.gov/Archives/edgar/data/1060736/000119312517050543/0001193125-17-050543-index.html,https://www.sec.gov/Archives/edgar/data/1060736/000119312518046213/0001193125-18-046213-index.html,https://www.sec.gov/Archives/edgar/data/1060736/000106073619000010/0001060736-19-000010-index.html,https://www.sec.gov/Archives/edgar/data/1060736/000106073620000006/0001060736-20-000006-index.html,https://www.sec.gov/Archives/edgar/data/1060736/000106073621000012/0001060736-21-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1060736/000106073622000016/0001060736-22-000016-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,8293504,9180916,9625000,9645000,11156000,9137000,59644000,30800000,18486000,21127000,87634000,54663000,64116000,56927000,102255000,108673000,160945000,78186000,274562000,558424000,424834000
32,Short-Term Investments,- -,33624723,17198934,31205000,27492000,31315000,73450000,51717000,64379000,242319000,260682000,243062000,309595000,310151000,256486000,547396000,480313000,252226000,332486000,536493000,2000996000,1735202000
33,Cash and Short-Term Investments,- -,41918227,26379850,40830000,37137000,42471000,82587000,111361000,95179000,260805000,281809000,330696000,364258000,374267000,313413000,649651000,588986000,413171000,410672000,811055000,2559420000,2160036000
34,Net Receivables,- -,806556,743339,1496000,2295000,1361000,1437000,6746000,10074000,81472000,20061000,55596000,34336000,30099000,39248000,52930000,61928000,84774000,146281000,236001000,324988000,389256000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9469000,37747000,27073000,43451000,56963000,68124000,59978000,53239000,85932000,116136000,- -
36,Other Current Assets,- -,477782,320443,345000,476000,314000,1405000,1244000,5463000,6302000,2246000,3820000,4519000,5817000,11874000,11515000,15610000,19138000,43403000,43653000,61840000,319902000
37,Total Current Assets,- -,43202565,27443632,42671000,39908000,44146000,85429000,119351000,110716000,348579000,304116000,399581000,440860000,437256000,407986000,771059000,734648000,577061000,653595000,1176641000,3062384000,2869194000
38,PP&E,- -,6350450,6236270,5500000,9463000,8532000,7794000,10294000,10996000,12325000,12311000,19652000,24752000,40787000,46129000,49598000,62870000,103756000,103820000,220721000,258180000,267962000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,274671000,274671000,274671000,274671000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3849000,3078000,2307000,1535000,764000,300040000,300000000,283680000,260593000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3849000,3078000,2307000,1535000,764000,574711000,574671000,558351000,535264000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,65529000,26925000,13031000,- -,- -,- -,- -,63060000,29988000,- -,49194000,221219000,100830000,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,13475228,18855786,33828000,69738000,37341000,4472000,18885000,476000,504000,478000,5983000,5810000,2006000,1772000,9071000,9355000,196368000,122009000,12614000,21161000,47184000
45,Total Non-Current Assets,- -,19825678,25092056,39328000,79201000,45873000,12266000,29179000,77001000,39754000,25820000,25635000,30562000,46642000,50979000,124036000,103748000,300888000,849734000,1029225000,938522000,850410000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,63028243,52535688,81999000,119109000,90019000,97695000,148530000,187717000,388333000,329936000,425216000,471422000,483898000,458965000,895095000,838396000,877949000,1503329000,2205866000,4000906000,3719604000
48,Accounts Payable,- -,895536,2190732,1726000,4815000,5045000,5389000,2678000,- -,2886000,- -,15650000,12864000,13407000,17245000,20786000,29005000,29357000,44179000,52292000,78067000,114824000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12749000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,141667,1301316,2106000,4860000,6053000,3160000,18873000,24341000,85002000,29038000,38092000,44447000,39850000,48212000,46235000,27847000,34457000,33600000,- -,- -,- -
52,Other Current Liabilities,- -,1012181,- -,- -,- -,- -,- -,7797000,15879000,16610000,25783000,37398000,43266000,45941000,60436000,67245000,91664000,103315000,147293000,207065000,297322000,454030000
53,Total Current Liabilities,- -,2049384,3492048,3832000,9675000,11098000,8549000,29348000,40220000,104498000,54821000,91140000,100577000,99198000,125893000,134266000,148516000,167129000,225072000,259357000,388138000,568854000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,61884000,113330000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,66958000,77635000,110630000,110013000,138767000,149191000,117648000,71249000,53006000,30618000,- -,70222000,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,307746,2342185,3289000,5601000,3463000,912000,65196000,1521000,- -,2967000,5214000,5930000,5324000,4590000,3669000,2787000,2633000,4314000,- -,62784000,-596573000
58,Total Non-Current Liabilities,- -,307746,2342185,3289000,5601000,3463000,912000,65196000,68479000,77635000,113597000,115227000,144697000,154515000,122238000,74918000,55793000,33251000,4314000,70222000,124668000,-483243000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,77052000,74633000,- -
61,Total Liabilities,- -,2357130,5834233,7121000,15276000,14561000,9461000,94544000,108699000,182133000,168418000,206367000,245274000,253713000,248131000,209184000,204309000,200380000,229386000,329579000,512806000,85611000
62,Preferred Stock,- -,- -,- -,2000,2000,2000,2000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,29323,30693,32000,42000,42000,51000,68000,80000,101000,102000,116000,120000,123000,124000,140000,142000,144000,160000,172000,181000,183000
64,Retained Earnings,- -,-33455496,-56616034,-78702000,-114141000,-143574000,-179589000,-228521000,-314022000,-395705000,-461970000,-614000000,-667782000,-730302000,-806443000,-926929000,-1067040000,-1192570000,-1324588000,-1483238000,-869568000,-1544039000
65,Other Comprehensive Income/Loss,- -,-896647,-2123954,-3446000,-5027000,-7064000,-9374000,-11804000,-1000000,-1000000,-1000000,-24824000,-29864000,-36365000,-46165000,-1000000,-73576000,64000000,-121184000,-144365000,565000,1179000
66,Other Total Stockholders Equity,- -,94993933,105410750,156992000,222957000,226052000,277144000,294243000,393960000,602804000,624386000,857557000,923674000,996729000,1063318000,1613700000,1774561000,1805995000,2719555000,3503718000,4356922000,4607816000
67,Total Stockholders Equity,- -,60671113,46701455,74878000,103833000,75458000,88234000,53986000,79018000,206200000,161518000,218849000,226148000,230185000,210834000,685911000,634087000,677569000,1273943000,1876287000,3488100000,3065139000
68,Total Liabilities And Stockholders Equity,- -,63028243,52535688,81999000,119109000,90019000,97695000,148530000,187717000,388333000,329936000,425216000,471422000,483898000,458965000,895095000,838396000,877949000,1503329000,2205866000,4000906000,3150750000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,568854000
70,Total Liabilities & Equity,- -,63028243,52535688,81999000,119109000,90019000,97695000,148530000,187717000,388333000,329936000,425216000,471422000,483898000,458965000,895095000,838396000,877949000,1503329000,2205866000,4000906000,3719604000
71,SEC Link,undefined,https://www.sec.gov/Archives/edgar/data/1060736/000091205702012548/a2074703z10-k405.htm,https://www.sec.gov/Archives/edgar/data/1060736/000103221003000471/0001032210-03-000471-index.html,https://www.sec.gov/Archives/edgar/data/1060736/000119312504042552/0001193125-04-042552-index.html,https://www.sec.gov/Archives/edgar/data/1060736/000119312505051054/0001193125-05-051054-index.html,https://www.sec.gov/Archives/edgar/data/1060736/000119312506048545/d10k.htm,https://www.sec.gov/Archives/edgar/data/1060736/000119312507050988/d10k.htm,https://www.sec.gov/Archives/edgar/data/1060736/000119312508051949/d10k.htm,https://www.sec.gov/Archives/edgar/data/1060736/000119312509053947/0001193125-09-053947-index.html,https://www.sec.gov/Archives/edgar/data/1060736/000119312510055489/0001193125-10-055489-index.html,https://www.sec.gov/Archives/edgar/data/1060736/000119312511050126/d10k.htm,https://www.sec.gov/Archives/edgar/data/1060736/000119312512088821/0001193125-12-088821-index.html,https://www.sec.gov/Archives/edgar/data/1060736/000119312513080019/0001193125-13-080019-index.html,https://www.sec.gov/Archives/edgar/data/1060736/000119312514077371/d626905d10k.htm,https://www.sec.gov/Archives/edgar/data/1060736/000119312515069861/d823767d10k.htm,https://www.sec.gov/Archives/edgar/data/1060736/000119312516470022/0001193125-16-470022-index.html,https://www.sec.gov/Archives/edgar/data/1060736/000119312517050543/0001193125-17-050543-index.html,https://www.sec.gov/Archives/edgar/data/1060736/000119312518046213/0001193125-18-046213-index.html,https://www.sec.gov/Archives/edgar/data/1060736/000106073619000010/0001060736-19-000010-index.html,https://www.sec.gov/Archives/edgar/data/1060736/000106073620000006/0001060736-20-000006-index.html,https://www.sec.gov/Archives/edgar/data/1060736/000106073621000012/0001060736-21-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1060736/000106073622000016/0001060736-22-000016-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-7838373,-20692965,-23160538,-22086000,-35439000,-29433000,-36015000,-48932000,-85501000,-81683000,-66265000,-152030000,-53782000,-62520000,-76141000,-120486000,-140111000,-125530000,-222693000,-158650000,613670000,-674471000
74,Depreciation and Amortization,3274774,6350125,1917327,2304000,4060000,3568000,2367000,2548000,3415000,6882000,3562000,4170000,6159000,8615000,12490000,14505000,18034000,24269000,26032000,33514000,63384000,65941000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-33357000,-23653000,- -,-2053000,548000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,10412000,11849000,14330000,19984000,25340000,31406000,40619000,41836000,52471000,63802000,78861000,127349000,147233000,173117000
77,Change in Working Capital,85652,41153181,-17201597,14887416,-8606000,2815000,43832000,13123000,-19507000,173585000,5214000,59146000,31842000,-2225000,-55965000,354700000,-50661000,-176200000,18591000,488761000,1756962000,-373906000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,-2198000,-71936000,60843000,-35676000,21512000,3935000,-9740000,-13682000,-8998000,-22846000,-45233000,-89720000,-88727000,-64268000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-9469000,-28278000,10674000,-16378000,-13512000,-11161000,8146000,6739000,-32693000,-30204000,-84527000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,41153181,23951584,38839000,30233000,33048000,76880000,90003000,70496000,244081000,249295000,308441000,340283000,338058000,282093000,636793000,586132000,409932000,428523000,917284000,2674246000,2300340000
82,Other Non-Cash Items,6747,-40894142,24304323,-12828416,16706000,-2422000,-45365000,73091000,28551000,-172416000,49993000,-55301000,1922000,23614000,18998000,-423758000,23296000,128116000,-80674000,-654711000,-1722628000,309764000
83,Cash Provided by Operating Activities,-4471200,-14083801,-14140485,-17723000,-23279000,-25472000,-35181000,39830000,-62630000,-61783000,6834000,-124031000,11481000,-1110000,-59999000,-133203000,-96971000,-118900000,-203536000,-163737000,856568000,-499007000
84,CAPEX,-728597,-5504764,-1704570,-589000,-5723000,-1402000,-1680000,-4283000,-4884000,-4589000,-3548000,-11252000,-10485000,-22154000,-17176000,-13392000,-27835000,-70379000,-21219000,-70753000,-82409000,-52330000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-42000000,-598000000,- -,- -,- -
86,Purchases of Investments,-30108959,-57119248,-22335255,-66497000,-125817000,-38025000,-118171000,-185917000,-154337000,-396840000,-453599000,-479389000,-505066000,-483182000,-451274000,-759663000,-603772000,-513016000,-512334000,-992976000,-2483336000,-3424286000
87,Sales/Maturities of Investments,5088414,35128737,32419713,36250000,91210000,65258000,109090000,194273000,91393000,254011000,445577000,498959000,435975000,480700000,505072000,397205000,699800000,713256000,539074000,786000000,1146733000,- -
88,Other Investing Activites,- -,75000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5764000,-600000,- -,- -,- -,- -,42000000,-151000,- -,- -,3765500000
89,Cash Used for Investing Activites,-25749142,-27420275,8379888,-30836000,-40330000,25831000,-10761000,4073000,-67828000,-147418000,-11570000,2554000,-80176000,-24636000,36622000,-375850000,68193000,129861000,-592630000,-277729000,-1419012000,288884000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,3063039,47041743,6648009,48732000,63629000,1152000,43923000,6604000,97628000,192141000,- -,168053000,- -,- -,- -,526618000,- -,- -,658242000,548691000,749850000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-586279,136851,- -,271000,- -,- -,- -,- -,3986000,4746000,7377000,19931000,35724000,35199000,16188000,27763000,35196000,41311000,55165000,89151000,96258000,77779000
95,Cash Used/Provided by Financing Activities,2476760,47178594,6648009,49003000,63629000,1152000,43923000,6604000,101614000,196887000,7377000,187984000,35724000,35199000,16188000,554381000,35196000,41311000,713407000,637842000,846108000,77779000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,198000,-1246000
97,Net Change In Cash,-27743582,5674518,887412,444000,20000,1511000,-2019000,50507000,-28844000,-12314000,2641000,66507000,-32971000,9453000,-7189000,45328000,6418000,52272000,-82759000,196376000,283862000,-133590000
98,Cash at the End of Period,2618986,8293504,9180916,9625000,9645000,11156000,9137000,59644000,30800000,18486000,21127000,87634000,54663000,64116000,56927000,102255000,108673000,160945000,78186000,274562000,558424000,424834000
99,Cash at the Beginning of Period,30362568,2618986,8293504,9181000,9625000,9645000,11156000,9137000,59644000,30800000,18486000,21127000,87634000,54663000,64116000,56927000,102255000,108673000,160945000,78186000,274562000,558424000
100,Free Cash Flow,-5199797,-19588565,-15845055,-18312000,-29002000,-26874000,-36861000,35547000,-67514000,-66372000,3286000,-135283000,996000,-23264000,-77175000,-146595000,-124806000,-189279000,-224755000,-234490000,774159000,-551337000
101,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1060736/000091205702012548/a2074703z10-k405.htm,https://www.sec.gov/Archives/edgar/data/1060736/000103221003000471/0001032210-03-000471-index.html,https://www.sec.gov/Archives/edgar/data/1060736/000119312504042552/0001193125-04-042552-index.html,https://www.sec.gov/Archives/edgar/data/1060736/000119312505051054/0001193125-05-051054-index.html,https://www.sec.gov/Archives/edgar/data/1060736/000119312506048545/d10k.htm,https://www.sec.gov/Archives/edgar/data/1060736/000119312507050988/d10k.htm,https://www.sec.gov/Archives/edgar/data/1060736/000119312508051949/d10k.htm,https://www.sec.gov/Archives/edgar/data/1060736/000119312509053947/0001193125-09-053947-index.html,https://www.sec.gov/Archives/edgar/data/1060736/000119312510055489/0001193125-10-055489-index.html,https://www.sec.gov/Archives/edgar/data/1060736/000119312511050126/d10k.htm,https://www.sec.gov/Archives/edgar/data/1060736/000119312512088821/0001193125-12-088821-index.html,https://www.sec.gov/Archives/edgar/data/1060736/000119312513080019/0001193125-13-080019-index.html,https://www.sec.gov/Archives/edgar/data/1060736/000119312514077371/d626905d10k.htm,https://www.sec.gov/Archives/edgar/data/1060736/000119312515069861/d823767d10k.htm,https://www.sec.gov/Archives/edgar/data/1060736/000119312516470022/0001193125-16-470022-index.html,https://www.sec.gov/Archives/edgar/data/1060736/000119312517050543/0001193125-17-050543-index.html,https://www.sec.gov/Archives/edgar/data/1060736/000119312518046213/0001193125-18-046213-index.html,https://www.sec.gov/Archives/edgar/data/1060736/000106073619000010/0001060736-19-000010-index.html,https://www.sec.gov/Archives/edgar/data/1060736/000106073620000006/0001060736-20-000006-index.html,https://www.sec.gov/Archives/edgar/data/1060736/000106073621000012/0001060736-21-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1060736/000106073622000016/0001060736-22-000016-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,
