,https://roic.ai/company/ED,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,51000000,-126000000,50000000,-99000000,-29000000,44000000,96000000,-69000000,-6000000,-140000000,23000000,-543000000,-411000000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,17300000,43300000,-26500000,31800000,14800000,56600000,-19980000,-20086000,25248000,-87000000,-24000000,-100000000,-41000000,45000000,-111000000,161000000,7000000,-8000000,26000000,-33000000,-10000000,22000000,13000000,5000000,-20000000,6000000,-4000000,-82000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-18000000,-22000000,-195000000,111000000,-118000000,-9000000,-79000000,29000000,95000000,-46000000,10000000,170000000,44000000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,-46200000,-72800000,-19700000,-63000000,-47900000,-386700000,-321192000,-780470000,-599903000,-319000000,-509000000,-170000000,20000000,-1290000000,114000000,291000000,1141000000,651000000,-494000000,-839000000,73000000,-884000000,-437000000,-1365000000,-2343000000,-2015000000,-2053000000,47000000
82,Other Non-Cash Items,- -,- -,- -,- -,- -,- -,- -,- -,- -,57800000,54400000,-176900000,43600000,534600000,788200000,120489000,1107785000,365077000,81097000,611000000,-186000000,89000000,1601000000,-2441000000,183000000,-971000000,1190000000,1064000000,771000000,-762000000,1258000000,-232000000,944000000,445000000,-529000000,-870000000,-169000000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,- -,- -,- -,- -,- -,1249900000,1276500000,1107300000,1238500000,1365800000,1205400000,960161000,1349971000,1505321000,1319000000,1320000000,793000000,1354000000,1555000000,629000000,2466000000,2381000000,3137000000,2599000000,2552000000,2831000000,3277000000,3459000000,3367000000,2695000000,3134000000,2198000000,2733000000
84,CAPEX,- -,- -,- -,- -,- -,- -,- -,- -,- -,-757500000,-692800000,-675200000,-654200000,-618800000,-678200000,-958927000,-1103823000,-1216097000,-1397000000,-1397000000,-1636000000,-1853000000,-1934000000,-2326000000,-2193000000,-2029000000,-1967000000,-2069000000,-2538000000,-2419000000,-3054000000,-3680000000,-3443000000,-3497000000,-3486000000,-3909000000,-3953000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-509100000,-98090000,- -,- -,- -,- -,- -,39000000,- -,-32000000,- -,-12000000,- -,-337000000,-175000000,-175000000,-299000000,-1478000000,-90000000,-1755000000,-215000000,-27000000,153000000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-20000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,-53700000,-28200000,-66800000,-31600000,-26000000,1002700000,-118603000,379396000,-412016000,-130000000,-143000000,359000000,-104000000,-152000000,1287000000,-167000000,-134000000,-167000000,-117000000,54000000,-165000000,-304000000,182000000,-170000000,-219000000,-81000000,-288000000,-3637000000
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,-811200000,-721000000,-742000000,-685800000,-644800000,-184600000,-1175620000,-724427000,-1628113000,-1527000000,-1540000000,-1277000000,-1918000000,-2086000000,-1071000000,-2360000000,-2175000000,-2150000000,-2523000000,-2659000000,-2759000000,-3657000000,-4976000000,-3703000000,-5471000000,-3782000000,-4224000000,-3484000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-662000000,-1011000000,-4000000,-305000000,-709000000,-1131000000,-500000000,-1210000000,-911000000,-1938000000,-1195000000,-518000000,-1960000000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,14700000,- -,- -,- -,- -,- -,- -,- -,25098000,431000000,578000000,78000000,510000000,685000000,51000000,257000000,439000000,118000000,- -,- -,- -,- -,702000000,343000000,705000000,825000000,640000000,775000000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-317000000,- -,-888900000,-1117400000,-68531000,- -,-37050000,- -,- -,- -,- -,- -,- -,- -,- -,-87000000,-239000000,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,-505100000,-514800000,-511500000,-512100000,-493200000,-477100000,-462503000,-480555000,-443624000,-455000000,-490000000,-518000000,-533000000,-582000000,-618000000,-612000000,-640000000,-704000000,-712000000,-721000000,-739000000,-733000000,-763000000,-803000000,-842000000,-924000000,-975000000,-1030000000
94,Other Financing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,260300000,56400000,227700000,35900000,580000000,956400000,356271000,101362000,351472000,167000000,109000000,979000000,600000000,544000000,873000000,1097000000,1084000000,- -,926000000,1817000000,1823000000,1862000000,2616000000,1728000000,5013000000,2153000000,3098000000,2676000000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,- -,- -,- -,- -,-230100000,-458400000,-600800000,-476200000,-802100000,-638100000,-174763000,-379193000,-104104000,143000000,197000000,539000000,577000000,647000000,306000000,80000000,-128000000,-677000000,-330000000,387000000,-47000000,629000000,1345000000,357000000,2938000000,859000000,2245000000,461000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,208400000,97100000,-235400000,76600000,-81200000,382800000,-390222000,246351000,-226896000,-65000000,-23000000,55000000,13000000,116000000,-136000000,186000000,78000000,310000000,-254000000,280000000,25000000,249000000,-172000000,21000000,162000000,211000000,219000000,-290000000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,245200000,342300000,106900000,183500000,102300000,485100000,94828000,341179000,132437000,67000000,26000000,81000000,94000000,210000000,74000000,260000000,338000000,648000000,394000000,674000000,699000000,948000000,772000000,797000000,1006000000,1217000000,1436000000,1146000000
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,36800000,245200000,342300000,106900000,183500000,102300000,485050000,94828000,359333000,132000000,49000000,26000000,81000000,94000000,210000000,74000000,260000000,338000000,648000000,394000000,674000000,699000000,944000000,776000000,844000000,1006000000,1217000000,1436000000
100,Free Cash Flow,- -,- -,- -,- -,- -,- -,- -,- -,- -,492400000,583700000,432100000,584300000,747000000,527200000,1234000,246148000,289224000,-78000000,-77000000,-843000000,-499000000,-379000000,-1697000000,273000000,352000000,1170000000,530000000,14000000,412000000,223000000,-221000000,-76000000,-802000000,-352000000,-1711000000,-1220000000
101,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1047862/000104786201000008/0001047862-01-000008-index.html,https://www.sec.gov/Archives/edgar/data/1047862/000091205702011931/0000912057-02-011931-index.html,https://www.sec.gov/Archives/edgar/data/1047862/000104746903007134/0001047469-03-007134-index.html,https://www.sec.gov/Archives/edgar/data/1047862/000104746904005477/0001047469-04-005477-index.html,https://www.sec.gov/Archives/edgar/data/1047862/000119312505037439/0001193125-05-037439-index.html,https://www.sec.gov/Archives/edgar/data/1047862/000119312506036760/d10k.htm,https://www.sec.gov/Archives/edgar/data/1047862/000119312507036143/d10k.htm,https://www.sec.gov/Archives/edgar/data/1047862/000119312508036146/d10k.htm,https://www.sec.gov/Archives/edgar/data/1047862/000119312509034924/0001193125-09-034924-index.html,https://www.sec.gov/Archives/edgar/data/1047862/000119312510036116/0001193125-10-036116-index.html,https://www.sec.gov/Archives/edgar/data/1047862/000119312511042145/d10k.htm,https://www.sec.gov/Archives/edgar/data/1047862/000119312512069828/0001193125-12-069828-index.html,https://www.sec.gov/Archives/edgar/data/1047862/000119312513069310/0001193125-13-069310-index.html,https://www.sec.gov/Archives/edgar/data/1047862/000119312514061037/d629773d10k.htm,https://www.sec.gov/Archives/edgar/data/1047862/000119312515054350/d821872d10k.htm,https://www.sec.gov/Archives/edgar/data/1047862/000104786216000225/0001047862-16-000225-index.html,https://www.sec.gov/Archives/edgar/data/1047862/000104786217000029/0001047862-17-000029-index.html,https://www.sec.gov/Archives/edgar/data/1047862/000104786218000037/0001047862-18-000037-index.html,https://www.sec.gov/Archives/edgar/data/1047862/000104786219000035/0001047862-19-000035-index.html,https://www.sec.gov/Archives/edgar/data/1047862/000104786220000041/0001047862-20-000041-index.html,https://www.sec.gov/Archives/edgar/data/1047862/000104786221000049/0001047862-21-000049-index.htm,https://www.sec.gov/Archives/edgar/data/1047862/000104786222000039/0001047862-22-000039-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
