,https://roic.ai/company/EHC,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
22,Income Tax expense (Gain),- -,500000,2400000,3200000,4400000,7200000,11500000,15300000,4100000,33835000,48091000,140238000,206153000,143347000,66929000,181808000,139467000,-55208000,-42419000,11914000,39792000,41100000,-322400000,-70100000,-3200000,-736600000,37100000,108600000,12700000,110700000,141900000,163900000,160600000,118900000,115900000,103800000,139600000
23,Net Income,-1500000,500000,3800000,5700000,8100000,12900000,22400000,29700000,6700000,53225000,78949000,220818000,330608000,46558000,76517000,278465000,202387000,-270094000,-434557000,-174470000,-445994000,-625000000,653400000,252400000,94800000,899000000,208700000,185000000,323600000,222000000,183100000,247600000,256300000,292300000,358700000,284200000,412200000
24,Net Income ratio,-0.3333,0.0269,0.0844,0.0760,0.0709,0.0715,0.0993,0.0730,0.0139,0.0472,0.0507,0.0906,0.1096,0.0116,0.0188,0.0664,0.0462,-0.0627,-0.1098,-0.0465,-0.1390,-0.2083,0.3728,0.1370,0.0496,0.4497,0.1030,0.0867,0.1440,0.0935,0.0588,0.0679,0.0654,0.0683,0.0779,0.0612,0.0805
25,EPS,-0.05,0.02,0.13,0.20,0.28,0.45,0.79,1.04,0.24,1.75,2.10,3.40,4.75,0.55,0.95,3.60,2.60,-3.41,-5.50,-2.20,-5.60,-8.14,7.97,2.73,0.77,8.33,1.96,1.69,2.58,2.46,2.02,2.77,2.73,2.98,3.65,2.87,4.15
26,EPS Diluted,-0.05,0.02,0.13,0.20,0.28,0.45,0.79,1.04,0.24,1.74,2.05,3.30,4.55,0.55,0.90,3.55,2.55,-3.41,-5.50,-2.20,-5.60,-8.14,7.10,2.62,0.77,7.16,1.96,1.69,2.58,2.29,1.91,2.59,2.69,2.93,3.61,2.85,4.11
27,Weighted Average Shares Outstanding,28452309,28452309,28452309,28452309,28452309,28452309,28452309,28452309,28452309,30350400,37698400,65258000,69374400,84292400,81639000,77133200,77943400,78973400,79226400,79284600,79312600,79500000,78700000,83000000,88800000,92800000,93300000,94600000,88100000,86800000,89400000,89100000,93700000,97900000,98000000,98600000,99000000
28,Weighted Average Shares Outstanding Diluted,28452309,28452309,28452309,28452309,28452309,28452309,28452309,28452309,28452309,30633094,37698400,66914545,73109200,86455000,82914000,78203200,79845400,80066800,81166200,79525000,79604200,90300000,92000000,96400000,103300000,108800000,109200000,108100000,102100000,100700000,101000000,99500000,99300000,99800000,99400000,99800000,100200000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/785161/000100515096000062/0001005150-96-000062-index.html,https://www.sec.gov/Archives/edgar/data/785161/000100515097000195/0001005150-97-000195-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/785161/000100515001000286/0001005150-01-000286-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/785161/000119312505235488/d10k.htm,https://www.sec.gov/Archives/edgar/data/785161/000119312506065473/d10k.htm,https://www.sec.gov/Archives/edgar/data/785161/000116923207001180/form_10k-2006.htm,https://www.sec.gov/Archives/edgar/data/785161/000137886208000014/form_10k-2007.htm,https://www.sec.gov/Archives/edgar/data/785161/000144264309000012/0001442643-09-000012-index.html,https://www.sec.gov/Archives/edgar/data/785161/000078516110000011/0000785161-10-000011-index.html,- -,https://www.sec.gov/Archives/edgar/data/785161/000078516112000009/0000785161-12-000009-index.html,https://www.sec.gov/Archives/edgar/data/785161/000078516113000012/0000785161-13-000012-index.html,https://www.sec.gov/Archives/edgar/data/785161/000078516114000013/hls10k123113.htm,https://www.sec.gov/Archives/edgar/data/785161/000078516115000020/hls10k123114.htm,https://www.sec.gov/Archives/edgar/data/785161/000078516116000117/0000785161-16-000117-index.html,https://www.sec.gov/Archives/edgar/data/785161/000078516117000009/0000785161-17-000009-index.html,https://www.sec.gov/Archives/edgar/data/785161/000078516118000012/0000785161-18-000012-index.html,https://www.sec.gov/Archives/edgar/data/785161/000078516119000011/0000785161-19-000011-index.html,https://www.sec.gov/Archives/edgar/data/785161/000078516120000011/0000785161-20-000011-index.html,https://www.sec.gov/Archives/edgar/data/785161/000078516121000006/0000785161-21-000006-index.htm,https://www.sec.gov/Archives/edgar/data/785161/000078516122000008/0000785161-22-000008-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,1500000,8800000,24100000,17700000,28600000,62100000,82900000,70800000,53500000,65949000,104896000,148028000,148073000,138827000,129400000,180317000,276583000,90700000,472781000,453769000,175497000,40600000,19800000,32200000,80900000,48400000,30100000,132800000,64500000,66700000,61600000,40500000,54400000,69200000,94800000,224000000,54800000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,16628000,4077000,3760000,4326000,3686000,3482000,90000,1873000,- -,- -,- -,23839000,37500000,28900000,20300000,2700000,18200000,15000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,1500000,8800000,24100000,17700000,28600000,62100000,82900000,70800000,53500000,82577000,108973000,151788000,152399000,142513000,132882000,180407000,278456000,90700000,472781000,453769000,199336000,78100000,48700000,52500000,83600000,66600000,45100000,132800000,64500000,66700000,61600000,40500000,54400000,69200000,94800000,224000000,54800000
34,Net Receivables,2500000,8600000,16900000,28300000,47800000,49000000,61400000,94400000,143800000,222720000,336818000,510567000,745994000,956733000,937967000,946965000,1019704000,- -,496708000,452332000,405173000,597400000,450200000,418700000,219700000,224900000,222800000,249300000,261800000,323200000,410500000,443800000,472100000,467700000,506100000,572800000,680300000
35,Inventory,400000,1300000,- -,- -,- -,- -,- -,10800000,20800000,22262000,33504000,47107000,64029000,77840000,85551000,92943000,112354000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,100000,400000,3100000,6400000,10400000,16700000,41100000,36500000,43600000,68401000,84145000,138049000,120776000,169899000,114496000,210803000,325941000,706900000,307305000,306051000,269746000,204800000,138500000,211500000,122700000,114700000,123100000,254700000,254100000,296700000,126600000,170200000,175700000,125200000,154900000,151800000,186300000
37,Total Current Assets,4500000,19100000,44100000,52400000,86800000,127800000,185400000,212500000,261700000,395960000,563440000,847511000,1083198000,1346985000,1270896000,1431118000,1736455000,797600000,1276794000,1212152000,874255000,880300000,637400000,682700000,426000000,406200000,391000000,636800000,580400000,686600000,598700000,654500000,702200000,662100000,755800000,948600000,921400000
38,PP&E,6500000,20500000,37800000,56900000,94100000,126700000,220600000,335100000,708200000,789538000,1100212000,1390873000,1850765000,2288262000,2502967000,2871763000,2774736000,- -,1466753000,1405017000,1206506000,1096000000,744400000,674300000,664800000,685400000,664400000,748000000,910500000,1019700000,1310100000,1391800000,1517100000,1634800000,2235800000,2452300000,2843600000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,902995000,911086000,911403000,896900000,406100000,414700000,416400000,431300000,421700000,437300000,456900000,1084000000,1890100000,1927200000,1972600000,2100800000,2305200000,2318700000,2427900000
40,Intangible Assets,2100000,11500000,16900000,23200000,29600000,36800000,44600000,82000000,175400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,82028000,64723000,54247000,54100000,26100000,42800000,37400000,48800000,57700000,73200000,88200000,306100000,419400000,411300000,403100000,443400000,476300000,431300000,417500000
41,Intangible Assets,2100000,11500000,16900000,23200000,29600000,36800000,44600000,82000000,175400000,324904000,734515000,1049658000,2243372000,2959910000,2828507000,2846661000,2725103000,- -,985023000,975809000,965650000,951000000,432200000,457500000,453800000,480100000,479400000,510500000,545100000,1390100000,2309500000,2338500000,2375700000,2544200000,2781500000,2750000000,2845400000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,49553000,41045000,46000000,38000000,43000000,37000000,29300000,30700000,29000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,47550000,- -,- -,- -,27216000,- -,- -,- -,- -,- -,10000000,679300000,608100000,393100000,354300000,129400000,190800000,75800000,63600000,42900000,2900000,- -,- -
44,Other Non-Current Assets,600000,800000,900000,1300000,8600000,9900000,21000000,12200000,22800000,41932000,61962000,83910000,223718000,177851000,182414000,230898000,342943000,3735400000,390919000,448970000,499802000,394300000,193600000,146700000,97600000,90400000,99300000,135400000,144100000,183000000,197000000,221300000,235100000,291000000,304700000,295000000,254500000
45,Total Non-Current Assets,9200000,32800000,55600000,81400000,132300000,173400000,286200000,429300000,906400000,1156374000,1896689000,2524441000,4317855000,5426023000,5561438000,5949322000,5842782000,3735400000,2919464000,2870841000,2717958000,2479300000,1413200000,1315500000,1255500000,1965900000,1880200000,1787000000,1954000000,2722200000,4007400000,4027400000,4191500000,4512900000,5324900000,5497300000,5943500000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,13700000,51900000,99700000,133800000,219100000,301200000,471600000,641800000,1168100000,1552334000,2460129000,3371952000,5401053000,6773008000,6832334000,7380440000,7579237000,4533000000,4196258000,4082993000,3592213000,3359600000,2050600000,1998200000,1681500000,2372100000,2271200000,2423800000,2534400000,3408800000,4606100000,4681900000,4893700000,5175000000,6080700000,6445900000,6864900000
48,Accounts Payable,- -,- -,- -,- -,13300000,15800000,18400000,20000000,41200000,83180000,90427000,110265000,124058000,76099000,76549000,78762000,37085000,- -,122084000,148730000,266443000,105100000,49100000,45700000,50200000,48900000,45400000,45300000,61900000,53400000,61600000,68300000,78400000,90000000,94600000,115000000,137600000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,27913000,35409000,46489000,49994000,37818000,43225000,21912000,- -,426506000,303781000,34298000,37000000,68300000,24800000,21500000,14500000,18900000,13600000,12300000,20800000,36800000,37100000,32300000,35800000,79700000,83100000,81200000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,1900000,8800000,10700000,13800000,1600000,1400000,1500000,22400000,48900000,94099000,117626000,157862000,345900000,274965000,303818000,260927000,299999000,1290500000,562568000,746286000,809083000,1119500000,853100000,675700000,319500000,295900000,248900000,242000000,237400000,290100000,328000000,370200000,406800000,546700000,546700000,519200000,530000000
53,Total Current Liabilities,1900000,8800000,10700000,13800000,14900000,17200000,19900000,42400000,90100000,177279000,235966000,303536000,516447000,401058000,418185000,382914000,358996000,1290500000,1111158000,1198797000,1109824000,1261600000,970500000,746200000,391200000,359300000,313200000,300900000,311600000,364300000,426400000,475600000,517500000,672500000,721000000,717300000,748800000
54,Long-Term Debt,4400000,15400000,34400000,57400000,132700000,149800000,164300000,299500000,779700000,930061000,1253374000,1450620000,1555335000,2780932000,3076830000,3168604000,3005035000,- -,3126958000,3229173000,3369745000,3365300000,1974400000,1789600000,1641000000,1496800000,1235800000,1239900000,1505200000,2110800000,3134700000,2979300000,2545400000,2478600000,3023300000,3460200000,3457000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,7526000,1525000,255000,- -,- -,- -,- -,- -,- -,1285000,2273000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,12100000,5100000,7882000,15436000,28797000,76613000,28856000,- -,160365000,259535000,- -,- -,28752000,47471000,80000000,29800000,29700000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,51800000,86700000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,5655000,5375000,3558000,1538000,11940000,4573000,4126000,4206000,3771300000,694319000,489434000,332152000,566200000,533200000,519900000,546900000,518200000,520600000,136700000,155700000,221000000,265700000,298300000,406200000,466900000,643300000,246600000,173200000
58,Total Non-Current Liabilities,4400000,15400000,34400000,57400000,132700000,149800000,164300000,311600000,784800000,951124000,1275710000,1483230000,1633486000,2821728000,3081403000,3333095000,3268776000,3771300000,3822562000,3749632000,3749368000,4011500000,2537400000,2339200000,2187900000,2015000000,1756400000,1376600000,1660900000,2331800000,3400400000,3277600000,2951600000,2945500000,3666600000,3758600000,3716900000
59,Other Liabilities,18400000,33700000,72100000,120100000,269300000,304800000,336800000,623300000,784800000,- -,- -,- -,- -,- -,- -,- -,- -,7546300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,284200000,254400000,251500000
61,Total Liabilities,15900000,27100000,48400000,76500000,151500000,172200000,192400000,354100000,874900000,1128403000,1511676000,1786766000,2149933000,3222786000,3499588000,3716009000,3627772000,5065500000,4933720000,4948429000,4859192000,5273100000,3507900000,3085400000,2579100000,2374300000,2069600000,1677500000,1972500000,2696100000,3826800000,3753200000,3469100000,3618000000,4387600000,4475900000,4465700000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,387400000,342200000,93200000,93200000,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,342000,974000,3190000,3952000,4232000,4240000,4260000,4304000,- -,4390000,4394000,4405000,900000,900000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1100000,1100000,1100000,1100000,1100000,1100000,- -
64,Retained Earnings,-2400000,-1500000,2800000,8300000,16000000,27300000,48800000,68400000,70600000,137027000,208653000,536423000,853641000,878228000,948385000,1224950000,1430846000,- -,-3468363000,-3642833000,-4088827000,-4713800000,-4064600000,-3812200000,-3717400000,-2818400000,-2609700000,-2424700000,-2101100000,-1879100000,-1696000000,-1448400000,-1191000000,-885200000,-526500000,-242300000,- -
65,Other Comprehensive Income/Loss,-300000,-1700000,-1400000,-4900000,-4900000,-4900000,-22500000,-37700000,-55000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-943000,308000,-1172000,1500000,-800000,-3200000,- -,500000,-200000,1400000,-100000,-500000,-1200000,-1200000,-1300000,- -,-1211800000,- -,- -
66,Other Total Stockholders Equity,500000,28000000,49900000,53900000,56500000,106600000,252900000,257000000,277600000,286562000,738826000,1045573000,2393527000,2667762000,2380121000,2435221000,2516315000,- -,2501079000,2528711000,2544873000,2526800000,2510000000,2645000000,2742400000,- -,2338500000,2713900000,2444800000,2351800000,2307500000,2184400000,2372900000,2160800000,3089400000,1829200000,- -
67,Total Stockholders Equity,-2200000,24800000,51300000,57300000,67600000,129000000,279200000,287700000,293200000,423931000,948453000,1585186000,3251120000,3550222000,3332746000,3664431000,3951465000,-528800000,-963837000,-1109420000,-1540721000,-2184600000,-1554500000,-1169400000,-974000000,-85200000,117000000,633800000,437800000,566400000,611400000,735900000,1181700000,1276700000,1352200000,1588000000,1911300000
68,Total Liabilities And Stockholders Equity,13700000,51900000,99700000,133800000,219100000,301200000,471600000,641800000,1168100000,1552334000,2460129000,3371952000,5401053000,6773008000,6832334000,7380440000,7579237000,4536700000,3969883000,3839009000,3318471000,3088500000,1953400000,1916000000,1605100000,2289100000,2186600000,2311300000,2410300000,3262500000,4438200000,4489100000,4650800000,4894700000,5739800000,6063900000,6377000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3700000,226375000,243984000,273742000,271100000,97200000,82200000,76400000,83000000,84600000,112500000,124100000,146300000,167900000,192800000,242900000,280300000,340900000,382000000,487900000
70,Total Liabilities & Equity,13700000,51900000,99700000,133800000,219100000,301200000,471600000,641800000,1168100000,1552334000,2460129000,3371952000,5401053000,6773008000,6832334000,7380440000,7579237000,4533000000,4196258000,4082993000,3592213000,3359600000,2050600000,1998200000,1681500000,2372100000,2271200000,2423800000,2534400000,3408800000,4606100000,4681900000,4893700000,5175000000,6080700000,6445900000,6864900000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/785161/000100515096000062/0001005150-96-000062-index.html,https://www.sec.gov/Archives/edgar/data/785161/000100515097000195/0001005150-97-000195-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/785161/000100515001000286/0001005150-01-000286-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/785161/000119312505235488/d10k.htm,https://www.sec.gov/Archives/edgar/data/785161/000119312506065473/d10k.htm,https://www.sec.gov/Archives/edgar/data/785161/000116923207001180/form_10k-2006.htm,https://www.sec.gov/Archives/edgar/data/785161/000137886208000014/form_10k-2007.htm,https://www.sec.gov/Archives/edgar/data/785161/000144264309000012/0001442643-09-000012-index.html,https://www.sec.gov/Archives/edgar/data/785161/000078516110000011/0000785161-10-000011-index.html,- -,https://www.sec.gov/Archives/edgar/data/785161/000078516112000009/0000785161-12-000009-index.html,https://www.sec.gov/Archives/edgar/data/785161/000078516113000012/0000785161-13-000012-index.html,https://www.sec.gov/Archives/edgar/data/785161/000078516114000013/hls10k123113.htm,https://www.sec.gov/Archives/edgar/data/785161/000078516115000020/hls10k123114.htm,https://www.sec.gov/Archives/edgar/data/785161/000078516116000117/0000785161-16-000117-index.html,https://www.sec.gov/Archives/edgar/data/785161/000078516117000009/0000785161-17-000009-index.html,https://www.sec.gov/Archives/edgar/data/785161/000078516118000012/0000785161-18-000012-index.html,https://www.sec.gov/Archives/edgar/data/785161/000078516119000011/0000785161-19-000011-index.html,https://www.sec.gov/Archives/edgar/data/785161/000078516120000011/0000785161-20-000011-index.html,https://www.sec.gov/Archives/edgar/data/785161/000078516121000006/0000785161-21-000006-index.htm,https://www.sec.gov/Archives/edgar/data/785161/000078516122000008/0000785161-22-000008-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,8100000,12900000,22400000,29700000,6700000,53225000,78949000,220818000,330608000,46558000,76517000,278465000,202387000,-270094000,-434557000,-174470000,-445994000,-625000000,653400000,252400000,94800000,899000000,208700000,185000000,323600000,222000000,183100000,247600000,256300000,292300000,358700000,284200000,412200000
74,Depreciation and Amortization,- -,- -,- -,- -,-7100000,-11100000,-14700000,-25500000,-36500000,75588000,121195000,188966000,250010000,344591000,374248000,360847000,375270000,205700000,200195000,199490000,208133000,166500000,85300000,97000000,70900000,76400000,78800000,82500000,94700000,107700000,139700000,172600000,183800000,199700000,218700000,243000000,256600000
75,Deferred Income Tax,- -,- -,- -,- -,600000,1800000,3200000,4700000,-6600000,-1199000,938000,13525000,12520000,-43410000,-5850000,96448000,192226000,- -,-25556000,-5339000,17497000,33200000,8000000,3700000,4100000,-738500000,36500000,102700000,6400000,97400000,127100000,132900000,75600000,-9100000,40000000,52400000,27800000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13400000,16400000,20300000,24100000,24800000,23900000,26200000,27400000,47700000,85900000,114400000,29500000,32800000
77,Change in Working Capital,- -,- -,- -,- -,-12700000,38700000,54900000,4600000,1500000,47081000,108793000,216501000,22776000,379176000,-93216000,195493000,329255000,-1870359000,658536000,-152281000,-248924000,-145731000,48200000,269600000,98300000,12100000,30900000,258100000,-67100000,53500000,-150000000,6600000,5800000,-195100000,45200000,196500000,-118000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,-31000000,-19500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-17800000,-23700000,-37100000,-51300000,-55100000,-91600000,-134100000,-127500000,-83900000,7000000,-22900000,-38100000,-64300000
