,https://roic.ai/company/VIVO,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,700000,5900000,4900000,3600000,4200000,2700000,1600000,1800000,9500000,8800000,8900000,5600000,10500000,19400000,6200000,4766000,4673000,3060000,2683000,1983000,33085000,36348000,49400000,49297000,54030000,37879000,23626000,31593000,44282000,43047000,49973000,47226000,57072000,59763000,62397000,53514000,49771000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1000000,13000,4000,- -,- -,- -,- -,4000000,- -,- -,7285000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,700000,5900000,4900000,3600000,4200000,2700000,1600000,1800000,9500000,8800000,8900000,5600000,10500000,19400000,7200000,4779000,4677000,3060000,2683000,1983000,33085000,40348000,49400000,49297000,61315000,37879000,23626000,31593000,44282000,43047000,49973000,47226000,57072000,59763000,62397000,53514000,49771000
34,Net Receivables,700000,800000,800000,900000,900000,1300000,1600000,2500000,3500000,5200000,6500000,9200000,10600000,9700000,12900000,13889000,12526000,12616000,14894000,17857000,17366000,19645000,22651000,25098000,26981000,22064000,24844000,24183000,26183000,23232000,26254000,27102000,29106000,32336000,35608000,38512000,53568000
35,Inventory,200000,400000,400000,600000,900000,1500000,1800000,2300000,2700000,3000000,3000000,4300000,4700000,5600000,10400000,15808000,12139000,12735000,14066000,14107000,16785000,17680000,18171000,19945000,23284000,27965000,32689000,31682000,34835000,35495000,35817000,45057000,41493000,41993000,39617000,61264000,76842000
36,Other Current Assets,100000,200000,100000,100000,100000,200000,300000,500000,400000,400000,700000,14700000,12000000,5100000,1500000,5690000,3160000,1964000,1518000,2164000,2924000,3496000,3523000,5118000,5567000,6112000,9195000,9132000,8788000,10974000,10809000,7406000,6204000,4961000,7139000,8900000,12626000
37,Total Current Assets,1700000,7300000,6200000,5200000,6100000,5700000,5300000,7100000,16100000,17400000,19100000,33800000,37800000,39800000,32000000,40166000,32502000,30375000,33161000,36111000,70160000,81169000,93745000,99458000,117147000,94020000,90354000,96590000,114088000,112748000,122853000,126791000,133875000,139053000,144761000,162190000,192807000
38,PP&E,800000,1700000,2500000,2900000,2600000,2400000,2900000,4600000,4200000,5400000,7100000,8400000,8400000,8800000,14200000,17887000,16726000,18005000,17550000,17342000,17460000,17807000,18311000,19675000,20474000,22717000,26539000,26155000,26091000,27610000,27492000,30450000,30510000,29995000,30567000,37456000,49000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4542000,- -,- -,- -,9864000,9964000,9861000,9866000,23482000,23124000,23146000,23115000,23193000,22349000,61982000,54926000,54637000,89241000,114186000,114668000
40,Intangible Assets,- -,- -,400000,300000,600000,2500000,2500000,2400000,5300000,8800000,7900000,12100000,8900000,7700000,24400000,24414000,15762000,11415000,15198000,14698000,22028000,10816000,9457000,8786000,7317000,13327000,10947000,10264000,8057000,7813000,5931000,29855000,26704000,23113000,60243000,83197000,84151000
41,Intangible Assets,- -,- -,400000,300000,600000,2500000,2500000,2400000,5300000,8800000,7900000,12100000,8900000,7700000,24400000,24414000,15762000,15957000,15198000,14698000,22028000,20680000,19421000,18647000,17183000,36809000,34071000,33410000,31172000,31006000,28280000,91837000,81630000,77750000,149484000,197383000,198819000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,823000,1483000,1523000,- -,158000,130000,156000,7647000,8731000
44,Other Non-Current Assets,600000,- -,100000,600000,100000,- -,300000,- -,600000,700000,500000,2200000,2400000,2800000,1800000,2302000,992000,758000,511000,1171000,921000,1299000,1221000,8651000,193000,1239000,4529000,5226000,4574000,4082000,3134000,2745000,3604000,4449000,510000,585000,365000
45,Total Non-Current Assets,1400000,1700000,3000000,3800000,3300000,4900000,5700000,7000000,10100000,14900000,15500000,22700000,19700000,19300000,40400000,44603000,33480000,34720000,33259000,33211000,40409000,39786000,38953000,46973000,38850000,60765000,65139000,64791000,62660000,64181000,60429000,125032000,115902000,112324000,180717000,243071000,256915000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,3100000,9000000,9200000,9000000,9400000,10600000,11000000,14100000,26200000,32300000,34600000,56500000,57500000,59100000,72400000,84769000,65982000,65095000,66420000,69322000,110569000,120955000,132698000,146431000,155997000,154785000,155493000,161381000,176748000,176929000,183282000,251823000,249777000,251377000,325478000,405261000,449722000
48,Accounts Payable,- -,- -,- -,- -,- -,300000,300000,300000,800000,1800000,700000,1000000,800000,1000000,3500000,3251000,2370000,1914000,2271000,2631000,2949000,3671000,4704000,4777000,6901000,4466000,5548000,5794000,5592000,4966000,6646000,7627000,7719000,6260000,7238000,11969000,11701000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,400000,400000,200000,200000,5200000,7930000,8017000,3888000,1342000,696000,556000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3750000,4500000,5250000,- -,1789000,1990000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,710000,809000,789000,1594000,979000,859000,886000,1482000,1248000,335000,1980000,3524000,3848000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,600000,638000
52,Other Current Liabilities,1000000,1000000,900000,600000,700000,900000,1000000,1600000,1500000,2600000,2200000,2700000,3300000,2700000,4800000,6122000,5981000,9447000,11717000,13323000,16286000,16946000,12363000,11284000,9851000,9681000,9716000,12668000,16111000,8769000,8605000,11194000,10668000,12663000,13676000,38166000,32828000
53,Total Current Liabilities,1000000,1000000,900000,600000,700000,1200000,1300000,1900000,2300000,4400000,3300000,4100000,4300000,3900000,13500000,17303000,16368000,15249000,15330000,16650000,19791000,20617000,17067000,16061000,16752000,14147000,15264000,18462000,21703000,13735000,15251000,22571000,22887000,24173000,20914000,52524000,47157000
54,Long-Term Debt,- -,300000,300000,200000,100000,100000,100000,1400000,12300000,14700000,12400000,22800000,20600000,20600000,21400000,27105000,20000000,20000000,21505000,16000000,2684000,1803000,- -,- -,- -,- -,- -,- -,- -,- -,- -,54610000,50147000,44930000,75824000,68824000,63932000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10524000,5176000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,100000,100000,100000,100000,- -,- -,- -,- -,- -,3600000,3750000,2321000,1839000,2101000,2647000,4326000,3758000,2683000,1881000,1340000,3277000,1705000,171000,- -,- -,- -,2753000,4455000,3769000,2522000,3804000,1055000
57,Other Non-Current Liabilities,500000,400000,200000,200000,300000,200000,- -,- -,-100000,- -,- -,- -,- -,-100000,- -,- -,4349000,3626000,- -,1093000,- -,- -,- -,- -,- -,- -,- -,- -,- -,2165000,2158000,5417000,2703000,3087000,35251000,21956000,4100000
58,Total Non-Current Liabilities,500000,700000,500000,400000,400000,400000,200000,1500000,12300000,14700000,12400000,22800000,20600000,20500000,25000000,30855000,26670000,25465000,23606000,19740000,7010000,5561000,2683000,1881000,1340000,3277000,1705000,171000,- -,2165000,2158000,62780000,57305000,51786000,113597000,105108000,74263000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1093000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6467000,5922000
61,Total Liabilities,1500000,1700000,1400000,1000000,1100000,1600000,1500000,3400000,14600000,19100000,15700000,26900000,24900000,24400000,38500000,48158000,43038000,40714000,38936000,36390000,26801000,26178000,19750000,17942000,18092000,17424000,16969000,18633000,21703000,15900000,17409000,85351000,80192000,75959000,134511000,157632000,121420000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2400000,2530000,2535000,2535000,2535000,2535000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
64,Retained Earnings,1600000,2900000,3400000,3600000,3900000,4600000,5000000,2300000,1500000,1400000,3700000,6800000,10100000,11900000,11400000,14889000,892000,1901000,3930000,7322000,12687000,19917000,30375000,39016000,45515000,42177000,38065000,40210000,46888000,48869000,51052000,49632000,46923000,49602000,63108000,109294000,180701000
65,Other Comprehensive Income/Loss,-300000,-500000,-800000,-1200000,-1600000,-2000000,-2400000,-3000000,-3500000,-4200000,-4800000,-5200000,-6400000,-7300000,-10000000,-11150000,-12530000,-14744000,-590000,-294000,-455000,-90000,364000,366000,722000,655000,449000,95000,745000,309000,-2330000,-5516000,-2946000,-3377000,-4975000,-1860000,198000
66,Other Total Stockholders Equity,300000,4900000,5200000,5600000,6000000,6400000,6900000,11400000,13600000,16000000,20000000,28000000,28900000,30100000,30100000,30342000,32047000,34689000,21609000,23369000,91310000,97489000,107968000,117516000,91390000,94184000,134432000,139607000,107157000,155713000,116821000,122840000,125662000,128816000,132859000,140335000,- -
67,Total Stockholders Equity,1600000,7300000,7800000,8000000,8300000,9000000,9500000,10700000,11600000,13200000,18900000,29600000,32600000,34700000,33900000,36611000,22944000,24381000,27484000,32932000,83768000,94777000,112948000,128489000,137905000,137361000,138524000,142748000,155045000,161029000,165873000,166472000,169585000,175418000,190967000,247629000,328302000
68,Total Liabilities And Stockholders Equity,3100000,9000000,9200000,9000000,9400000,10600000,11000000,14100000,26200000,32300000,34600000,56500000,57500000,59100000,72400000,84769000,65982000,65095000,66420000,69322000,110569000,120955000,132698000,146431000,155997000,154785000,155493000,161381000,176748000,176929000,183282000,251823000,249777000,251377000,325478000,405261000,449722000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,3100000,9000000,9200000,9000000,9400000,10600000,11000000,14100000,26200000,32300000,34600000,56500000,57500000,59100000,72400000,84769000,65982000,65095000,66420000,69322000,110569000,120955000,132698000,146431000,155997000,154785000,155493000,161381000,176748000,176929000,183282000,251823000,249777000,251377000,325478000,405261000,449722000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/794172/000095015295003045/0000950152-95-003045-index.html,https://www.sec.gov/Archives/edgar/data/794172/000095015296006903/0000950152-96-006903-index.html,https://www.sec.gov/Archives/edgar/data/794172/000095015297008853/0000950152-97-008853-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/794172/000095015200008668/0000950152-00-008668-index.html,https://www.sec.gov/Archives/edgar/data/794172/000095010901505814/0000950109-01-505814-index.html,- -,https://www.sec.gov/Archives/edgar/data/794172/000095015203010438/0000950152-03-010438-index.htm,https://www.sec.gov/Archives/edgar/data/794172/000095015204008932/0000950152-04-008932-index.htm,https://www.sec.gov/Archives/edgar/data/794172/000095015205009857/0000950152-05-009857-index.htm,https://www.sec.gov/Archives/edgar/data/794172/000095015206009718/0000950152-06-009718-index.htm,https://www.sec.gov/Archives/edgar/data/794172/000095015207009366/0000950152-07-009366-index.htm,https://www.sec.gov/Archives/edgar/data/794172/000095015208009754/0000950152-08-009754-index.htm,https://www.sec.gov/Archives/edgar/data/794172/000095012309066890/0000950123-09-066890-index.htm,https://www.sec.gov/Archives/edgar/data/794172/000095012310109251/0000950123-10-109251-index.htm,https://www.sec.gov/Archives/edgar/data/794172/000095012311100817/0000950123-11-100817-index.htm,https://www.sec.gov/Archives/edgar/data/794172/000119312512485192/0001193125-12-485192-index.htm,https://www.sec.gov/Archives/edgar/data/794172/000119312513457721/0001193125-13-457721-index.htm,https://www.sec.gov/Archives/edgar/data/794172/000119312514428676/0001193125-14-428676-index.htm,https://www.sec.gov/Archives/edgar/data/794172/000119312515390041/0001193125-15-390041-index.htm,https://www.sec.gov/Archives/edgar/data/794172/000119312516779250/0001193125-16-779250-index.htm,https://www.sec.gov/Archives/edgar/data/794172/000119312517354808/0001193125-17-354808-index.htm,https://www.sec.gov/Archives/edgar/data/794172/000119312518337257/0001193125-18-337257-index.htm,https://www.sec.gov/Archives/edgar/data/794172/000119312519300565/0001193125-19-300565-index.htm,https://www.sec.gov/Archives/edgar/data/794172/000119312520300813/0001193125-20-300813-index.htm,https://www.sec.gov/Archives/edgar/data/794172/000119312521337663/0001193125-21-337663-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,- -,600000,1000000,1700000,1900000,2400000,3500000,5300000,6000000,5000000,2400000,7111000,-10275000,5031000,7018000,9185000,12565000,18325000,26721000,30202000,32759000,26647000,26831000,33371000,38032000,34743000,35540000,32229000,21557000,23849000,24382000,46186000,71407000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,700000,400000,600000,1100000,1700000,2000000,2200000,3000000,2900000,5700000,4811000,4746000,3719000,3780000,4077000,4252000,5289000,4399000,4469000,4360000,4685000,5701000,6597000,5623000,5562000,5218000,6627000,8118000,7924000,9964000,13567000,15286000
75,Deferred Income Tax,- -,- -,- -,- -,- -,-100000,- -,- -,- -,-300000,-100000,-100000,-500000,-100000,-1000000,-42000,-4394000,200000,1044000,506000,-279000,42000,800000,976000,-500000,12000,-1218000,-1448000,-1823000,-140000,-122000,-233000,1474000,-300000,-817000,760000,-3835000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1092000,1866000,2504000,1987000,2502000,3557000,3324000,2911000,3381000,3402000,3251000,3802000,4156000
77,Change in Working Capital,- -,- -,- -,- -,- -,-400000,-500000,1200000,8600000,-800000,2800000,13900000,3800000,2400000,-17400000,4363000,-6729000,-1008000,2705000,1630000,30908000,10183000,16126000,6719000,16998000,-20522000,-4783000,3038000,14257000,6628000,8589000,-3382000,6768000,3892000,8967000,-14181000,-18260000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5353000,- -,- -,- -,- -,- -,- -,- -,- -,-4447000,-2314000,-971000,-12766000
