,https://roic.ai/company/UNF,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/717954/000095013594000674/0000950135-94-000674-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/717954/000095013598006066/0000950135-98-006066-index.html,https://www.sec.gov/Archives/edgar/data/717954/000095013599005419/0000950135-99-005419-index.html,- -,https://www.sec.gov/Archives/edgar/data/717954/000095013501503670/0000950135-01-503670-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/717954/000128408404000113/form10-k_2004.htm,https://www.sec.gov/Archives/edgar/data/717954/000095013505006394/form_10k-2005.htm,https://www.sec.gov/Archives/edgar/data/717954/000128408406000136/form10-k_082606.htm,- -,https://www.sec.gov/Archives/edgar/data/717954/000128408408000043/0001284084-08-000043-index.html,https://www.sec.gov/Archives/edgar/data/717954/000128408409000056/0001284084-09-000056-index.html,https://www.sec.gov/Archives/edgar/data/717954/000128408410000049/0001284084-10-000049-index.html,https://www.sec.gov/Archives/edgar/data/717954/000128408411000040/0001284084-11-000040-index.html,https://www.sec.gov/Archives/edgar/data/717954/000128408412000040/0001284084-12-000040-index.html,https://www.sec.gov/Archives/edgar/data/717954/000143774913013615/0001437749-13-013615-index.html,https://www.sec.gov/Archives/edgar/data/717954/000143774914019037/0001437749-14-019037-index.html,https://www.sec.gov/Archives/edgar/data/717954/000143774915019003/0001437749-15-019003-index.html,https://www.sec.gov/Archives/edgar/data/717954/000143774916040348/0001437749-16-040348-index.html,https://www.sec.gov/Archives/edgar/data/717954/000162828017010136/0001628280-17-010136-index.html,https://www.sec.gov/Archives/edgar/data/717954/000128408418000061/0001284084-18-000061-index.html,https://www.sec.gov/Archives/edgar/data/717954/000156459019038460/0001564590-19-038460-index.html,https://www.sec.gov/Archives/edgar/data/717954/000156459020048412/0001564590-20-048412-index.htm,https://www.sec.gov/Archives/edgar/data/717954/000156459021052248/0001564590-21-052248-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,4400000,25200000,3100000,4200000,7600000,4900000,6800000,3300000,3700000,4100000,5900000,3400000,4100000,5300000,2900000,7100000,5700000,4333000,6100000,4400000,4700000,8300000,12698000,25700000,60200000,121300000,48800000,120100000,197479000,191800000,276553000,363795000,349752000,270512000,385341000,474838000,512868000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,474838000,- -
33,Cash and Short-Term Investments,4400000,25200000,3100000,4200000,7600000,4900000,6800000,3300000,3700000,4100000,5900000,3400000,4100000,5300000,2900000,7100000,5700000,4333000,6100000,4400000,4700000,8300000,12698000,25700000,60200000,121300000,48800000,120100000,197479000,191800000,276553000,363795000,349752000,270512000,385341000,949676000,512868000
34,Net Receivables,10000000,10200000,15900000,18600000,19500000,20200000,19900000,22400000,24800000,30000000,33400000,36600000,39400000,42100000,51800000,54000000,55400000,54587000,57900000,69500000,78500000,86500000,91906000,102800000,97800000,105200000,128400000,135300000,142217000,152500000,151851000,156578000,187174000,200797000,203457000,- -,208331000
35,Inventory,16400000,14200000,25500000,29000000,8800000,10300000,13500000,12400000,11500000,15400000,16500000,17100000,19500000,24200000,27200000,27600000,22300000,24807000,25400000,32600000,31000000,36500000,44282000,46200000,43600000,47600000,76500000,75400000,206981000,78900000,80449000,78887000,79068000,90176000,285234000,106269000,325122000
36,Other Current Assets,200000,200000,500000,200000,18600000,23200000,24700000,23900000,26700000,30800000,32800000,38100000,40100000,43200000,55800000,59600000,57000000,56362000,66400000,65200000,80300000,97600000,101335000,109400000,100800000,103900000,141500000,156900000,14697000,166100000,152970000,178354000,198232000,223315000,39759000,-86611000,57471000
37,Total Current Assets,31000000,49800000,45000000,52000000,54500000,58600000,64900000,62000000,66700000,80300000,88600000,95200000,103100000,114800000,137700000,148300000,140400000,140089000,155800000,171700000,194500000,228900000,250221000,284100000,302400000,378000000,395200000,487700000,561374000,589300000,661823000,777614000,814226000,784800000,913791000,969334000,1103792000
38,PP&E,36700000,40900000,86100000,87400000,89400000,102600000,113500000,120700000,125800000,138000000,148100000,160100000,188300000,211000000,242200000,262300000,265700000,268996000,274600000,288800000,305000000,318900000,334067000,368600000,382800000,381200000,395100000,412200000,457686000,486300000,513853000,539818000,525115000,559576000,574509000,582470000,659834000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14300000,- -,21400000,24200000,50200000,56000000,54600000,- -,62600000,180700000,187800000,211500000,224366000,258800000,261200000,271900000,288200000,288100000,302363000,303600000,313133000,320641000,376110000,397422000,401178000,424844000,429538000
40,Intangible Assets,- -,- -,- -,- -,27500000,- -,- -,- -,- -,- -,19800000,- -,24800000,24100000,30100000,28100000,26100000,84694000,20500000,57900000,56500000,64000000,62064000,67500000,60100000,59000000,60900000,50500000,49344000,41500000,40049000,38664000,71744000,70904000,72720000,28590000,84638000
41,Intangible Assets,- -,- -,- -,- -,27500000,- -,- -,- -,- -,- -,34100000,- -,46200000,48300000,80300000,84100000,80700000,84694000,83100000,238600000,244300000,275500000,286430000,326300000,321300000,330900000,349100000,338600000,351707000,345100000,353182000,359305000,447854000,468326000,473898000,453434000,514176000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,13700000,14600000,- -,17100000,18300000,20700000,22000000,23600000,- -,24900000,42000000,42400000,40000000,- -,42700000,52100000,42800000,50900000,54500000,- -,48300000,52352000,79670000,81352000,74070000,448000,522000,580000
44,Other Non-Current Assets,6000000,6400000,35200000,31600000,1000000,28200000,26000000,29400000,26600000,18200000,-12700000,47100000,-15100000,-16300000,-15300000,-16500000,-18600000,1056000,-23800000,-38700000,-37900000,-33600000,3746000,-40000000,-49800000,-40600000,-48800000,-52500000,2658000,-44800000,-47973000,-54400000,-49419000,-43386000,84674000,193267000,102683000
45,Total Non-Current Assets,42700000,47300000,121300000,119000000,117900000,130800000,139500000,150100000,152400000,169900000,184100000,207200000,236500000,261300000,327900000,351900000,351400000,354746000,358800000,530700000,553800000,600800000,624243000,697600000,706400000,714300000,746300000,752800000,812051000,834900000,871414000,924393000,1004902000,1058586000,1133529000,1229693000,1277273000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,73700000,97100000,166300000,171000000,172400000,189400000,204400000,212100000,219100000,250200000,272700000,302400000,339600000,376100000,465600000,500200000,491800000,494835000,514600000,702400000,748300000,829700000,874464000,981700000,1008800000,1092300000,1141500000,1240500000,1373425000,1424200000,1533237000,1702007000,1819128000,1843386000,2047320000,2199027000,2381065000
48,Accounts Payable,- -,- -,- -,- -,8200000,10300000,10300000,8900000,10600000,12200000,13000000,11700000,13100000,14100000,17700000,19700000,19300000,17012000,30700000,33800000,36700000,43000000,45297000,54800000,41200000,45900000,56100000,52300000,54221000,59200000,50826000,50884000,64691000,73500000,77918000,64035000,81356000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3900000,- -,- -,- -,- -,- -,2601000,2597000,986000,1084000,613000,539000,4222000,6447000,81160000,20133000,4530000,111253000,7704000,1385000,- -,- -,- -,- -,12569000,12993000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2437000,- -,- -,8180000,- -,- -,- -,- -,921000,736000,205000,527000,743000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,42043000,42439000,10046000,- -,15431000,24901000,14252000,11358000,12785000,- -,13342000,204000,10418000,394000,425000,- -,522000,- -
52,Other Current Liabilities,16600000,18000000,31600000,29200000,22500000,23300000,28900000,31700000,36900000,40100000,44100000,41000000,52400000,51400000,58600000,62500000,70200000,54788000,53603000,36971000,37677000,73541000,86283000,76447000,81552000,60688000,65209000,75885000,93415000,110754000,131696000,91333000,112763000,124536000,111926000,132970000,160321000
53,Total Current Liabilities,16600000,18000000,31600000,29200000,30700000,33600000,39200000,40600000,47500000,52300000,57100000,56600000,65500000,65500000,76300000,82200000,89500000,74401000,86900000,113800000,117900000,127200000,132119000,150900000,154100000,202000000,152800000,145500000,258889000,191000000,184111000,152635000,177848000,198461000,189844000,210096000,254670000
54,Long-Term Debt,7100000,21000000,68400000,45600000,53000000,52300000,48200000,41400000,26200000,34700000,32400000,38300000,39800000,46000000,111200000,124700000,93100000,83690000,67300000,177900000,175600000,209900000,205510000,231300000,175600000,100300000,100200000,100200000,155000,200000,- -,- -,- -,- -,- -,29261000,30181000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,3700000,4500000,5600000,7000000,8500000,9800000,11000000,12800000,12700000,- -,- -,16400000,- -,- -,- -,- -,- -,27004000,- -,- -,- -,- -,39508000,- -,- -,- -,- -,- -,55946000,1403000,1475000,97000,- -,- -,99172000,- -,89177000
57,Other Non-Current Liabilities,- -,- -,- -,20100000,- -,- -,100000,- -,- -,13700000,14600000,- -,17100000,18300000,20700000,22100000,23700000,- -,25000000,42000000,42500000,40100000,- -,42700000,52100000,81900000,90600000,97900000,45037000,97097000,105443000,184494000,188088000,179958000,117074000,- -,134085000
58,Total Non-Current Liabilities,10800000,25500000,74000000,72700000,61500000,62100000,59300000,54200000,38900000,48400000,47000000,54700000,56900000,64300000,131900000,146800000,116800000,110694000,92300000,219900000,218100000,250000000,245018000,274000000,227700000,182200000,190800000,198100000,101138000,98700000,106918000,184591000,188088000,179958000,216246000,29261000,253443000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,277063000,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,41830000,43174000
61,Total Liabilities,27400000,43500000,105600000,101900000,92200000,95700000,98500000,94800000,86400000,100700000,104100000,111300000,122400000,129800000,208200000,229000000,206300000,185095000,179200000,333700000,336000000,377200000,377137000,424900000,381800000,384200000,343600000,343600000,360027000,289700000,291029000,337226000,365936000,378419000,406090000,457898000,508113000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,2100000,2100000,- -,2100000,2100000,2100000,2100000,2100000,2076000,2100000,1900000,1900000,1900000,1929000,1900000,1900000,2000000,2000000,2000000,2000000,2000000,2010000,2027000,2027000,1914000,1897000,1525000,1888000
64,Retained Earnings,38900000,46200000,53000000,60700000,71300000,84300000,96300000,108000000,123800000,140900000,159700000,182400000,208900000,240000000,261500000,278700000,299300000,323595000,348000000,354200000,394900000,431500000,473934000,532200000,605300000,678900000,752500000,844700000,958508000,1075600000,1197000000,1319142000,1386438000,1405239000,1588075000,1684565000,1806643000
65,Other Comprehensive Income/Loss,-22200000,-26000000,-32200000,-40900000,-48300000,-56400000,-66200000,-70500000,-75600000,-1000000,-400000,-113200000,-1800000,-5400000,-3800000,-4000000,-7000000,-229621000,-1429000,-506000,2046000,4642000,5132000,4434000,-300000,1863000,9837000,7271000,1445000,-2533000,-24413000,-28949000,-21518000,-25159000,-33688000,-31970000,-24836000
66,Other Total Stockholders Equity,29600000,33400000,39900000,49300000,57200000,65800000,75800000,79800000,84500000,7500000,7200000,121900000,8000000,9700000,- -,- -,- -,213690000,-13291000,12155000,13496000,14503000,- -,18236000,20135000,25287000,33605000,42954000,51445000,59392000,67611000,72561000,86245000,82973000,84946000,87009000,89257000
67,Total Stockholders Equity,46300000,53600000,60700000,69100000,80200000,93700000,105900000,117300000,132700000,149500000,168600000,191100000,217200000,246400000,257400000,271200000,285500000,309740000,335380000,367749000,412342000,452545000,497327000,556770000,627035000,708050000,797942000,896925000,1013398000,1134459000,1242208000,1364781000,1453192000,1464967000,1641230000,1741129000,1872952000
68,Total Liabilities And Stockholders Equity,73700000,97100000,166300000,171000000,172400000,189400000,204400000,212100000,219100000,250200000,272700000,302400000,339600000,376200000,465600000,500200000,491800000,494835000,514580000,701449000,748342000,829745000,874464000,981670000,1008835000,1092250000,1141542000,1240525000,1373425000,1424159000,1533237000,1702007000,1819128000,1843386000,2047320000,2199027000,2381065000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-100000,- -,- -,- -,- -,20000,951000,-42000,-45000,- -,30000,-35000,50000,-42000,-25000,- -,41000,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,73700000,97100000,166300000,171000000,172400000,189400000,204400000,212100000,219100000,250200000,272700000,302400000,339600000,376100000,465600000,500200000,491800000,494835000,514600000,702400000,748300000,829700000,874464000,981700000,1008800000,1092300000,1141500000,1240500000,1373425000,1424200000,1533237000,1702007000,1819128000,1843386000,2047320000,2199027000,2381065000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/717954/000095013594000674/0000950135-94-000674-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/717954/000095013598006066/0000950135-98-006066-index.html,https://www.sec.gov/Archives/edgar/data/717954/000095013599005419/0000950135-99-005419-index.html,- -,https://www.sec.gov/Archives/edgar/data/717954/000095013501503670/0000950135-01-503670-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/717954/000128408404000113/form10-k_2004.htm,https://www.sec.gov/Archives/edgar/data/717954/000095013505006394/form_10k-2005.htm,https://www.sec.gov/Archives/edgar/data/717954/000128408406000136/form10-k_082606.htm,- -,https://www.sec.gov/Archives/edgar/data/717954/000128408408000043/0001284084-08-000043-index.html,https://www.sec.gov/Archives/edgar/data/717954/000128408409000056/0001284084-09-000056-index.html,https://www.sec.gov/Archives/edgar/data/717954/000128408410000049/0001284084-10-000049-index.html,https://www.sec.gov/Archives/edgar/data/717954/000128408411000040/0001284084-11-000040-index.html,https://www.sec.gov/Archives/edgar/data/717954/000128408412000040/0001284084-12-000040-index.html,https://www.sec.gov/Archives/edgar/data/717954/000143774913013615/0001437749-13-013615-index.html,https://www.sec.gov/Archives/edgar/data/717954/000143774914019037/0001437749-14-019037-index.html,https://www.sec.gov/Archives/edgar/data/717954/000143774915019003/0001437749-15-019003-index.html,https://www.sec.gov/Archives/edgar/data/717954/000143774916040348/0001437749-16-040348-index.html,https://www.sec.gov/Archives/edgar/data/717954/000162828017010136/0001628280-17-010136-index.html,https://www.sec.gov/Archives/edgar/data/717954/000128408418000061/0001284084-18-000061-index.html,https://www.sec.gov/Archives/edgar/data/717954/000156459019038460/0001564590-19-038460-index.html,https://www.sec.gov/Archives/edgar/data/717954/000156459020048412/0001564590-20-048412-index.htm,https://www.sec.gov/Archives/edgar/data/717954/000156459021052248/0001564590-21-052248-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,11600000,14300000,13200000,12900000,17700000,18900000,20600000,24700000,28700000,33200000,24100000,19900000,23200000,26859000,27000000,33600000,43300000,39200000,45195000,61000000,75900000,76400000,76500000,95000000,116685000,119900000,124299000,125026000,70196000,163895000,179134000,135770000,151111000
74,Depreciation and Amortization,- -,- -,- -,- -,12300000,12400000,14200000,12600000,16500000,17900000,19200000,20800000,23400000,26700000,31700000,34710000,37568000,38031000,39659000,46941000,44622000,46004000,49674000,53784000,57789000,61477000,64733000,66439000,69607000,71752000,77113000,81612000,88879000,96662000,103333000,104697000,105955000
75,Deferred Income Tax,- -,- -,- -,- -,1600000,1300000,1200000,1600000,- -,1000000,900000,1800000,- -,1300000,2300000,1352000,- -,-7963000,- -,- -,- -,- -,- -,1206000,1328000,705000,13318000,-330000,20666000,8439000,-3473000,9899000,955000,-7861000,8896000,-12152000,300000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1025000,3662000,6732000,6714000,6315000,5601000,5366000,5628000,12462000,4638000,5761000,5999000,7011000
77,Change in Working Capital,- -,- -,- -,- -,2000000,1200000,700000,-4300000,-2200000,8800000,3500000,7100000,-1000000,11700000,12100000,4700000,-15200000,14788000,3212000,-11000000,18700000,25100000,-10592000,15100000,15100000,27700000,66400000,99800000,-39715000,95815000,79412000,147267000,11399000,-50039000,137608000,35291000,-54046000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,500000,-1500000,-3200000,1100000,700000,-3900000,-900000,-400000,-2500000,-4700000,3700000,491000,5161000,-2394000,-548000,3518000,1583000,-5448000,-7813000,-1816000,2452000,-4331000,-28413000,590000,1146000,-4450000,-2236000,1467000,1865000,-11051000,-10736000,-5066000,-37213000
