,https://roic.ai/company/PAG,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
21,Income Before Tax Ratio,-0.0070,0.0106,-0.0075,0.0075,0.0120,0.0124,0.0128,0.0142,0.0165,0.0185,0.0189,0.0178,0.0152,-0.0431,0.0136,0.0159,0.0215,0.0220,0.0255,0.0269,0.0255,0.0253,0.0256,0.0265,0.0255,0.0346,0.0629
22,Income Tax expense (Gain),-2100000,6300000,-5500000,11600000,21414000,26558000,35075000,42617000,57456000,67880000,69760000,67845000,67310000,-100020000,45386000,57912000,71933000,94330000,124300000,153200000,158000000,160700000,-64800000,134300000,156700000,162700000,416300000
23,Net Income,-3500000,2500000,-10100000,-700000,27488000,30031000,44745000,62241000,82929000,111687000,118973000,124701000,127739000,-411901000,76461000,108281000,176881000,185540000,244200000,286700000,326100000,342900000,613300000,471000000,435800000,543600000,1187800000
24,Net Income ratio,-0.0043,0.0019,-0.0048,-0.0002,0.0068,0.0061,0.0072,0.0084,0.0096,0.0113,0.0117,0.0111,0.0099,-0.0354,0.0080,0.0101,0.0153,0.0141,0.0166,0.0167,0.0169,0.0170,0.0287,0.0207,0.0188,0.0266,0.0465
25,EPS,-0.18,0.12,-0.28,-0.02,0.57,0.63,0.79,0.75,1.01,1.24,1.28,1.34,1.36,-4.42,0.83,1.18,1.94,2.05,2.70,3.17,3.63,3.99,7.14,5.53,5.28,6.74,14.89
26,EPS Diluted,-0.18,0.12,-0.28,-0.02,0.52,0.51,0.66,0.75,1.00,1.23,1.26,1.32,1.35,-4.42,0.83,1.18,1.94,2.05,2.70,3.17,3.63,3.99,7.14,5.53,5.28,6.74,14.89
27,Weighted Average Shares Outstanding,18918919,21702000,36454000,40754000,43900000,40414000,46294000,74490000,81652000,89920000,92832000,93393000,94104000,93210000,91653000,92091000,91274000,90342000,90330621,90354839,89800000,86000000,85900000,85200000,82500000,80600000,79746106
28,Weighted Average Shares Outstanding Diluted,20895522,34366197,37214000,41864000,53052000,58830000,68392000,82322000,82868000,91226000,93932000,94178000,94558000,93210000,91653000,92091000,91274000,90342000,90330621,90354839,89800000,86000000,85900000,85200000,82500000,80600000,79746106
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1019849/000095013697000272/0000950136-97-000272-index.html,- -,https://www.sec.gov/Archives/edgar/data/1019849/000095013699000433/0000950136-99-000433-index.html,https://www.sec.gov/Archives/edgar/data/1019849/000095012400001702/0000950124-00-001702-index.html,https://www.sec.gov/Archives/edgar/data/1019849/000095012401001784/0000950124-01-001784-index.html,- -,https://www.sec.gov/Archives/edgar/data/1019849/000095012403001005/0000950124-03-001005-index.htm,https://www.sec.gov/Archives/edgar/data/1019849/000095012404000939/0000950124-04-000939-index.htm,https://www.sec.gov/Archives/edgar/data/1019849/000095013705003007/0000950137-05-003007-index.htm,https://www.sec.gov/Archives/edgar/data/1019849/000095012406001258/0000950124-06-001258-index.htm,https://www.sec.gov/Archives/edgar/data/1019849/000095013707003039/0000950137-07-003039-index.htm,https://www.sec.gov/Archives/edgar/data/1019849/000095013708002702/0000950137-08-002702-index.htm,https://www.sec.gov/Archives/edgar/data/1019849/000136231009003530/0001362310-09-003530-index.htm,https://www.sec.gov/Archives/edgar/data/1019849/000095012310016429/0000950123-10-016429-index.htm,https://www.sec.gov/Archives/edgar/data/1019849/000095012311018964/0000950123-11-018964-index.htm,https://www.sec.gov/Archives/edgar/data/1019849/000119312512078466/0001193125-12-078466-index.htm,https://www.sec.gov/Archives/edgar/data/1019849/000110465913016197/0001104659-13-016197-index.htm,https://www.sec.gov/Archives/edgar/data/1019849/000104746914001666/0001047469-14-001666-index.htm,https://www.sec.gov/Archives/edgar/data/1019849/000104746915001311/0001047469-15-001311-index.htm,https://www.sec.gov/Archives/edgar/data/1019849/000155837016003547/0001558370-16-003547-index.htm,https://www.sec.gov/Archives/edgar/data/1019849/000155837017001005/0001558370-17-001005-index.htm,https://www.sec.gov/Archives/edgar/data/1019849/000155837018000944/0001558370-18-000944-index.htm,https://www.sec.gov/Archives/edgar/data/1019849/000155837019000917/0001558370-19-000917-index.htm,https://www.sec.gov/Archives/edgar/data/1019849/000155837020001163/0001558370-20-001163-index.htm,https://www.sec.gov/Archives/edgar/data/1019849/000155837021001299/0001558370-21-001299-index.htm,https://www.sec.gov/Archives/edgar/data/1019849/000101984922000013/0001019849-22-000013-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,69600000,96000000,38500000,19847000,7413000,5416000,8069000,13845000,11061000,9424000,13147000,10895000,20109000,13769000,16621000,29116000,43753000,49800000,36300000,62400000,24000000,45700000,39400000,28100000,49500000,100700000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,69600000,96000000,38500000,19847000,7413000,5416000,8069000,13845000,11061000,9424000,13147000,10895000,20109000,13769000,16621000,29116000,43753000,49800000,36300000,62400000,24000000,45700000,39400000,28100000,49500000,100700000
34,Net Receivables,- -,52000000,92600000,125500000,140473000,190792000,258266000,319625000,347802000,382098000,412861000,469516000,449278000,294567000,322598000,397255000,444673000,552868000,606200000,701400000,782300000,879000000,954900000,929100000,960300000,806900000,734000000
35,Inventory,- -,168900000,324300000,410300000,508289000,737942000,641400000,973185000,1183868000,1326553000,1224443000,1519506000,1688286000,1593267000,1306532000,1524226000,1605280000,1991167000,2538300000,2819200000,3463500000,3408200000,3944100000,4040100000,4260700000,3425600000,3129000000
36,Other Current Assets,- -,11800000,20400000,16400000,10723000,15469000,16434000,27869000,43150000,44424000,232917000,284520000,153150000,98567000,100565000,70341000,113531000,185295000,152300000,310800000,99900000,110300000,81800000,86600000,85000000,126800000,111700000
37,Total Current Assets,- -,302300000,533300000,590700000,679332000,951616000,921516000,1328748000,1588665000,1764136000,1879645000,2286689000,2301609000,2006510000,1743464000,2008443000,2192600000,2773083000,3346600000,3867700000,4408100000,4421500000,5026500000,5095200000,5334100000,4408800000,4075400000
38,PP&E,- -,22300000,37600000,51500000,68232000,107085000,185452000,313496000,371326000,414718000,424429000,582646000,618491000,662493000,726835000,739847000,858975000,1023781000,1241000000,1328800000,1520100000,1806500000,2108600000,2250000000,4726900000,4820900000,4893600000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1244171000,1424853000,777811000,810323000,814915000,906592000,974720000,1148700000,1266300000,1322800000,1291300000,1660500000,1752000000,1911000000,1928400000,2124100000
40,Intangible Assets,- -,177200000,326800000,482000000,494957000,664510000,784149000,981328000,1087052000,1247210000,1012182000,246596000,238706000,- -,201756000,203401000,231994000,283292000,300300000,386200000,408000000,420100000,474000000,486200000,552200000,563400000,641500000
41,Intangible Assets,- -,177200000,326800000,482000000,494957000,664510000,784149000,981328000,1087052000,1247210000,1012182000,1490767000,1663559000,777811000,1012079000,1018316000,1138586000,1258012000,1449000000,1652500000,1730800000,1711400000,2134500000,2238200000,2463200000,2491800000,2765600000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,295473000,288406000,298640000,303160000,346900000,352800000,336400000,893400000,1256600000,1305200000,1399000000,1500300000,1688100000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,21200000,78000000,60000000,36816000,39484000,55459000,66742000,90138000,106737000,277917000,109700000,84894000,516347000,18156000,14820000,13498000,20954000,32000000,26400000,27300000,28300000,14400000,15900000,19500000,25400000,41900000
45,Total Non-Current Assets,- -,220700000,442400000,593500000,600005000,811079000,1025060000,1361566000,1548516000,1768665000,1714528000,2183113000,2366944000,1956651000,2052543000,2061389000,2309699000,2605907000,3068900000,3360500000,3614600000,4439600000,5514100000,5809300000,8608600000,8838400000,9389200000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,523000000,975700000,1184200000,1279337000,1762695000,1946576000,2690314000,3137181000,3532801000,3594173000,4469802000,4668553000,3963161000,3796007000,4069832000,4502299000,5378990000,6415500000,7228200000,8022700000,8861100000,10540600000,10904500000,13942700000,13247200000,13464600000
48,Accounts Payable,- -,23900000,34400000,38400000,47113000,55344000,76550000,131303000,164259000,221206000,211943000,300804000,268214000,178811000,190325000,261986000,223313000,263349000,374700000,417600000,493800000,497400000,641600000,598200000,638800000,675400000,767100000
49,Short-Term Debt,- -,177300000,344600000,422000000,488849000,731143000,624216000,922882000,1147050000,1278023000,1180755000,1185696000,1567419000,1491535000,1208684000,1489308000,1705699000,736114000,953200000,957100000,1161600000,1281600000,1491400000,1520600000,1697300000,1451300000,2636700000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,23000000,52200000,45100000,46328000,72075000,85512000,145290000,185995000,192479000,272052000,266457000,260406000,209766000,230808000,207498000,220660000,1694093000,2003900000,2255600000,2631500000,2450600000,2867400000,2929500000,3114900000,2548200000,870800000
53,Total Current Liabilities,- -,224200000,431200000,505500000,582290000,858562000,786278000,1199475000,1497304000,1691708000,1664750000,1752957000,2096039000,1880112000,1629817000,1958792000,2149672000,2693556000,3331800000,3630300000,4286900000,4229600000,5000400000,5048300000,5451000000,4674900000,4274600000
54,Long-Term Debt,- -,11100000,238600000,288300000,218535000,377721000,551840000,651256000,643343000,574970000,576690000,1168666000,830106000,1087932000,933966000,769285000,846777000,918024000,1033200000,1316000000,1255100000,1828800000,2090400000,2124700000,4558200000,3952400000,3765600000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,4900000,4700000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,157500000,178406000,217902000,287818000,361400000,409900000,433400000,592700000,481500000,577800000,677900000,873100000,1060400000
57,Other Non-Current Liabilities,- -,1300000,600000,48700000,47647000,64742000,92775000,135141000,168122000,191088000,207001000,252526000,320949000,211391000,128685000,117496000,147535000,163271000,167000000,190800000,212400000,430500000,540300000,519000000,444000000,420700000,269000000
58,Total Non-Current Liabilities,- -,17300000,243900000,337000000,266182000,442463000,644615000,786397000,811465000,766058000,783691000,1421192000,1151055000,1299323000,1220151000,1065187000,1212214000,1369113000,1561600000,1916700000,1900900000,2852000000,3112200000,3221500000,5680100000,5246200000,5095000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2301200000,2350300000,2373600000
61,Total Liabilities,- -,241500000,675100000,842500000,848472000,1301025000,1430893000,1985872000,2308769000,2457766000,2448441000,3174149000,3247094000,3179435000,2849968000,3023979000,3361886000,4062669000,4893400000,5547000000,6187800000,7081600000,8112600000,8269800000,11131100000,9921100000,9369600000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,2000,2000,2000,4000,4000,5000,5000,5000,9000,9000,9000,9000,9000,9000,- -,- -,- -,- -,- -,- -,- -,- -,- -
64,Retained Earnings,- -,-3000000,-9800000,-10900000,16545000,41502000,78750000,133794000,212605000,305881000,404010000,492704000,587566000,141763000,196205000,304486000,459375000,611026000,799200000,1015400000,1256700000,1504500000,2009400000,2365800000,2675800000,3151300000,4196600000
65,Other Comprehensive Income/Loss,- -,-3600000,-6400000,-14400000,-16242000,-24147000,-35075000,6035000,33699000,52876000,21830000,79379000,99988000,-45990000,9049000,-1673000,-25734000,-6833000,11600000,-53300000,-122500000,-250700000,-146500000,-234500000,-202800000,-160600000,-168800000
66,Other Total Stockholders Equity,- -,288100000,316800000,367000000,430560000,444313000,472006000,564609000,582104000,716273000,719887000,723565000,733896000,687944000,737198000,738728000,702335000,700013000,- -,- -,- -,- -,- -,- -,- -,- -,- -
67,Total Stockholders Equity,- -,281500000,300600000,341700000,430865000,461670000,515683000,704442000,828412000,1075035000,1145732000,1295653000,1421459000,783726000,942461000,1041550000,1135985000,1304215000,1504400000,1652800000,1790200000,1750900000,2395200000,2609100000,2793400000,3302500000,4070000000
68,Total Liabilities And Stockholders Equity,- -,523000000,975700000,1184200000,1279337000,1762695000,1946576000,2690314000,3137181000,3532801000,3594173000,4469802000,4668553000,3963161000,3792429000,4065529000,4497871000,5366884000,6397800000,7199800000,7978000000,8832500000,10507800000,10878900000,13924500000,13223600000,13439600000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3578000,4303000,4428000,12106000,17700000,28400000,44700000,28600000,32800000,25600000,18200000,23600000,25000000
70,Total Liabilities & Equity,- -,523000000,975700000,1184200000,1279337000,1762695000,1946576000,2690314000,3137181000,3532801000,3594173000,4469802000,4668553000,3963161000,3796007000,4069832000,4502299000,5378990000,6415500000,7228200000,8022700000,8861100000,10540600000,10904500000,13942700000,13247200000,13464600000
71,SEC Link,undefined,https://www.sec.gov/Archives/edgar/data/1019849/000095013697000272/0000950136-97-000272-index.html,- -,https://www.sec.gov/Archives/edgar/data/1019849/000095013699000433/0000950136-99-000433-index.html,https://www.sec.gov/Archives/edgar/data/1019849/000095012400001702/0000950124-00-001702-index.html,https://www.sec.gov/Archives/edgar/data/1019849/000095012401001784/0000950124-01-001784-index.html,- -,https://www.sec.gov/Archives/edgar/data/1019849/000095012403001005/0000950124-03-001005-index.htm,https://www.sec.gov/Archives/edgar/data/1019849/000095012404000939/0000950124-04-000939-index.htm,https://www.sec.gov/Archives/edgar/data/1019849/000095013705003007/0000950137-05-003007-index.htm,https://www.sec.gov/Archives/edgar/data/1019849/000095012406001258/0000950124-06-001258-index.htm,https://www.sec.gov/Archives/edgar/data/1019849/000095013707003039/0000950137-07-003039-index.htm,https://www.sec.gov/Archives/edgar/data/1019849/000095013708002702/0000950137-08-002702-index.htm,https://www.sec.gov/Archives/edgar/data/1019849/000136231009003530/0001362310-09-003530-index.htm,https://www.sec.gov/Archives/edgar/data/1019849/000095012310016429/0000950123-10-016429-index.htm,https://www.sec.gov/Archives/edgar/data/1019849/000095012311018964/0000950123-11-018964-index.htm,https://www.sec.gov/Archives/edgar/data/1019849/000119312512078466/0001193125-12-078466-index.htm,https://www.sec.gov/Archives/edgar/data/1019849/000110465913016197/0001104659-13-016197-index.htm,https://www.sec.gov/Archives/edgar/data/1019849/000104746914001666/0001047469-14-001666-index.htm,https://www.sec.gov/Archives/edgar/data/1019849/000104746915001311/0001047469-15-001311-index.htm,https://www.sec.gov/Archives/edgar/data/1019849/000155837016003547/0001558370-16-003547-index.htm,https://www.sec.gov/Archives/edgar/data/1019849/000155837017001005/0001558370-17-001005-index.htm,https://www.sec.gov/Archives/edgar/data/1019849/000155837018000944/0001558370-18-000944-index.htm,https://www.sec.gov/Archives/edgar/data/1019849/000155837019000917/0001558370-19-000917-index.htm,https://www.sec.gov/Archives/edgar/data/1019849/000155837020001163/0001558370-20-001163-index.htm,https://www.sec.gov/Archives/edgar/data/1019849/000155837021001299/0001558370-21-001299-index.htm,https://www.sec.gov/Archives/edgar/data/1019849/000101984922000013/0001019849-22-000013-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-3500000,2500000,-10100000,-700000,27488000,30031000,44745000,62241000,82929000,111687000,118973000,124701000,127739000,-411901000,76461000,108281000,176881000,185540000,244200000,286700000,326100000,342900000,613300000,471000000,435800000,543600000,1187800000
74,Depreciation and Amortization,2800000,7800000,9700000,16500000,19131000,24174000,33625000,22304000,33078000,44974000,42599000,44863000,50957000,53822000,54234000,48884000,48903000,53995000,61700000,70000000,78000000,89700000,95100000,103700000,109600000,115500000,121500000
75,Deferred Income Tax,-2400000,2400000,-9200000,8600000,10007000,10897000,12546000,12878000,26614000,27368000,17381000,29947000,29744000,-101033000,45699000,27568000,47187000,83838000,77600000,50500000,44600000,162200000,-108700000,105900000,92000000,194300000,184800000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,-12600000,78100000,24000000,-16900000,11842000,-3988000,42184000,-5965000,-37912000,-18933000,142467000,318837000,-328162000,-79172000,-12751000,-63996000,-6723000,36599000,-64727000,222600000,-116200000,70700000,-165800000,20800000,-163800000,-149200000,800000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-27101000,-70967000,-62604000,-91644000,-38700000,-37900000,-23500000,-92500000,-73100000,30400000,-30900000,152700000,75600000
79,Inventory,-16300000,-10500000,-39300000,39600000,-73687000,-67942000,158164000,-186756000,-212880000,-94513000,23296000,-209418000,-140613000,144385000,297803000,-188180000,-100749000,-326235000,-396300000,-115500000,-428400000,130400000,-419900000,-12600000,-117800000,805400000,402600000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13808000,79300000,14600000,66000000,-17800000,272000000,-17100000,71400000,125000000,139000000
81,Other Working Capital,- -,78100000,102100000,85200000,97042000,93054000,135238000,129273000,91361000,72428000,214895000,533732000,205570000,126398000,113647000,49651000,42928000,79527000,14800000,237400000,121200000,191900000,26100000,46900000,-116900000,-266100000,12200000
82,Other Non-Cash Items,8300000,-72600000,-16000000,36200000,-18060000,-9278000,-60661000,21799000,98177000,26673000,-128508000,-460498000,440384000,941116000,134205000,69922000,-202773000,-36572000,1327000,-263200000,53500000,-298400000,189600000,-86700000,45000000,497600000,-201600000
83,Cash Provided by Operating Activities,-7400000,18200000,-1600000,43700000,50408000,51836000,72439000,113257000,202886000,191769000,192912000,57850000,320662000,402832000,297848000,190659000,63475000,323400000,320100000,366600000,386000000,367100000,623500000,614700000,518600000,1201800000,1293300000
84,CAPEX,-1700000,-105300000,-151800000,-150200000,-22161000,-37384000,-83394000,-185712000,-199766000,-232205000,-218285000,-225058000,-194954000,-210974000,-90315000,-80865000,-133115000,-161286000,-169900000,-174800000,-199500000,-203100000,-247000000,-305600000,-245300000,-185900000,-248900000
85,Acquisitions Net,- -,- -,- -,- -,-28251000,-197148000,-138389000,-197343000,-113356000,-168184000,-126879000,-369055000,-180721000,-366089000,- -,-25147000,-232106000,-250170000,-338100000,-355000000,-156900000,-140800000,-449700000,-309100000,-326900000,- -,-431800000
86,Purchases of Investments,-800000,-15500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-498500000,-239100000,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,13566000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-23300000,10100000,- -,- -,- -,- -,- -,85500000,133373000,149076000,118470000,159419000,217280000,100210000,10921000,23285000,93808000,42957000,-50500000,-2800000,134300000,7400000,9500000,89500000,39500000,49400000,57600000
89,Cash Used for Investing Activites,-25800000,-110700000,-151800000,-150200000,-50412000,-234532000,-221783000,-297555000,-179749000,-237747000,-226694000,-434694000,-158395000,-476853000,-79394000,-82727000,-271413000,-368499000,-558500000,-532600000,-222100000,-835000000,-926300000,-525200000,-532700000,-136500000,-623100000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-622814000,-819006000,-599283000,-1313742000,-1120100000,-1372600000,-1482500000,-1396500000,-2108000000,-1784000000,-1793000000,-3028400000,-2464000000
91,Common Stock Issued,25200000,195800000,4800000,2000000,76679000,16852000,18822000,135295000,9907000,125433000,3478000,18069000,2614000,825000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,-1200000,-8800000,- -,-992000,-26176000,-5790000,-16000000,- -,- -,- -,-18955000,- -,-53661000,- -,-751000,-44263000,-9829000,-15800000,-15500000,-48900000,-173600000,-18500000,-68900000,-169200000,-29400000,-280600000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,-4118000,-18411000,-20844000,-25215000,-28447000,-33902000,- -,- -,-21992000,-41505000,-56000000,-70500000,-84800000,-95100000,-108400000,-121200000,-130800000,-68100000,-142500000
94,Other Financing Activites,12400000,-37800000,185400000,48600000,-94374000,179586000,134315000,70120000,-25722000,-74297000,37025000,407135000,-138686000,166070000,401021000,714447000,882904000,1426727000,1436600000,1611900000,1479800000,2103800000,2557300000,1879800000,2095600000,2072000000,2271600000
95,Cash Used/Provided by Financing Activities,37600000,156800000,181400000,50600000,-18687000,170262000,147347000,189415000,-19933000,32725000,19659000,381034000,-164519000,79332000,-221793000,-105310000,217366000,61651000,244700000,153300000,-136400000,438600000,322400000,-94300000,2600000,-1053900000,-615500000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1300000,-1400000,-9100000,2100000,-1500000,200000,10000000,-3500000
97,Net Change In Cash,37600000,156800000,181400000,50600000,-18691000,-12434000,-1997000,5117000,3204000,-13253000,-14123000,4190000,-2252000,5311000,-3339000,2622000,9428000,16552000,6300000,-14000000,26100000,-38400000,21700000,-6300000,-11300000,21400000,51200000
