,https://roic.ai/company/SMSI,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
36,Other Current Assets,100000,300000,1300000,900000,900000,200000,294000,265000,263000,204000,203000,556000,398000,1661000,2724000,4202000,3732000,1146000,992000,1023000,765000,692000,713000,576000,795000,802000,1189000,1988000
37,Total Current Assets,2700000,23100000,22900000,20800000,19200000,12900000,11560000,6510000,4568000,4689000,10943000,29087000,103769000,104540000,58860000,75596000,109336000,64245000,43003000,24293000,22829000,21786000,7917000,7926000,20084000,39964000,39290000,28656000
38,PP&E,600000,600000,500000,400000,400000,500000,737000,482000,220000,70000,113000,241000,417000,1079000,4289000,8193000,11623000,15482000,11211000,7023000,4273000,2492000,1811000,1229000,865000,8573000,7955000,8408000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15266000,32505000,83483000,94320000,94231000,- -,- -,- -,- -,- -,3686000,3685000,3685000,7797000,12266000,35041000
40,Intangible Assets,- -,- -,700000,300000,600000,2300000,2928000,2223000,1939000,1755000,1713000,13381000,3788000,17946000,27603000,27662000,19459000,- -,- -,- -,- -,- -,745000,487000,238000,4535000,12698000,42631000
41,Intangible Assets,- -,- -,700000,300000,600000,2300000,2928000,2223000,1939000,1755000,1713000,13381000,19054000,50451000,111086000,121982000,113690000,- -,- -,- -,- -,- -,4431000,4172000,3923000,12332000,24964000,77672000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7786000,6351000,2760000,- -,- -,- -,- -,- -,74000,- -,- -,404000,191000,94000,- -,- -
44,Other Non-Current Assets,-100000,- -,- -,300000,600000,200000,89000,42000,39000,73000,59000,7000,- -,- -,- -,163000,243000,214000,181000,222000,214000,195000,149000,146000,140000,234000,694000,620000
45,Total Non-Current Assets,500000,600000,1200000,1000000,1600000,3000000,3754000,2747000,2198000,1898000,1885000,13629000,27257000,57881000,118135000,130338000,125556000,15696000,11392000,7245000,4561000,2687000,6391000,5951000,5119000,21233000,33613000,86700000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,3200000,23700000,24100000,21800000,20800000,15900000,15314000,9257000,6766000,6587000,12828000,42716000,131026000,162421000,176995000,205934000,234892000,79941000,54395000,31538000,27390000,24473000,14308000,13877000,25203000,61197000,72903000,115356000
48,Accounts Payable,300000,900000,900000,900000,1400000,700000,1590000,1160000,445000,538000,939000,2383000,2941000,3401000,3492000,4215000,4592000,3181000,1978000,1632000,1521000,1708000,1907000,1333000,1160000,2050000,2282000,3301000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1000000,- -,- -,1433000,1400000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,584000,923000,1317000,1667000,703000,1436000,464000,1498000,440000,98000,73000,28000,98000,1572000,176000
52,Other Current Liabilities,300000,2500000,1200000,600000,1200000,1400000,1297000,1795000,709000,459000,790000,1376000,2028000,3922000,6710000,11359000,8444000,7641000,4829000,7734000,5826000,5064000,3503000,2410000,2195000,3572000,3083000,4491000
53,Total Current Liabilities,600000,3400000,2100000,1500000,2600000,2100000,2887000,2955000,1154000,997000,1729000,3759000,4969000,7907000,11125000,16891000,14703000,11525000,8243000,9830000,8845000,7212000,5508000,4816000,3383000,5720000,8370000,9368000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1934000,2758000,- -,- -,- -,4467000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,197000,- -,- -,3000,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,994000,1727000,10000,91000,154000,- -,- -,181000,- -,- -,- -,59000,117000
57,Other Non-Current Liabilities,- -,100000,- -,100000,- -,- -,- -,- -,- -,- -,- -,- -,7786000,6351000,466000,70000,- -,3546000,3399000,3380000,3643000,3235000,4181000,1736000,1257000,6793000,5758000,844000
58,Total Non-Current Liabilities,- -,100000,200000,100000,- -,- -,- -,- -,- -,- -,- -,- -,7786000,6351000,466000,1064000,1924000,3556000,3490000,3537000,3643000,3235000,6296000,4494000,1257000,6793000,5817000,5428000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6995000,6238000,5867000
61,Total Liabilities,600000,3500000,2300000,1600000,2600000,2100000,2887000,2955000,1154000,997000,1729000,3759000,4969000,7907000,11591000,17955000,16627000,15081000,11733000,13367000,12488000,10447000,11804000,9310000,4640000,12513000,14187000,14796000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,16000,16000,16000,17000,18000,22000,28000,30000,31000,33000,35000,36000,36000,37000,45000,46000,12000,14000,28000,38000,41000,54000
64,Retained Earnings,2600000,2100000,600000,-1000000,-3000000,-9200000,-12378000,-18503000,-19191000,-20114000,-16669000,-11945000,-2989000,172000,-560000,4192000,16538000,-143068000,-168539000,-196485000,-208284000,-210887000,-225397000,-232933000,-236091000,-225395000,-221230000,-252273000
65,Other Comprehensive Income/Loss,-300000,-400000,-900000,-800000,-1100000,-2000000,-2265000,-2493000,-1108000,-1098000,-1054000,-1099000,-1285000,-1641000,-2743000,-3176000,-6037000,-8790000,-169000000,-196000000,-18253000,-211000000,-226000000,-233000000,-20096000,-11289000,- -,- -
66,Other Total Stockholders Equity,300000,18500000,22100000,22000000,22300000,25000000,27054000,27282000,25895000,26785000,28804000,51979000,130303000,155953000,168676000,186930000,207729000,216682000,380165000,410619000,241394000,435867000,453889000,470486000,276722000,285330000,279905000,- -
67,Total Stockholders Equity,2600000,20200000,21800000,20200000,18200000,13800000,12427000,6302000,5612000,5590000,11099000,38957000,126057000,154514000,165404000,187979000,218265000,64860000,42662000,18171000,14902000,14026000,2504000,4567000,20563000,48684000,58716000,100560000
68,Total Liabilities And Stockholders Equity,3200000,23700000,24100000,21800000,20800000,15900000,15314000,9257000,6766000,6587000,12828000,42716000,131026000,162421000,176995000,205934000,234892000,79941000,54395000,31538000,27390000,24473000,14308000,13877000,25203000,61197000,72903000,115356000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,3200000,23700000,24100000,21800000,20800000,15900000,15314000,9257000,6766000,6587000,12828000,42716000,131026000,162421000,176995000,205934000,234892000,79941000,54395000,31538000,27390000,24473000,14308000,13877000,25203000,61197000,72903000,115356000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/948708/000089256903000796/0000892569-03-000796-index.htm,https://www.sec.gov/Archives/edgar/data/948708/000093639204000277/0000936392-04-000277-index.htm,https://www.sec.gov/Archives/edgar/data/948708/000095013705003972/0000950137-05-003972-index.htm,https://www.sec.gov/Archives/edgar/data/948708/000095013706004034/0000950137-06-004034-index.htm,https://www.sec.gov/Archives/edgar/data/948708/000095013707004908/0000950137-07-004908-index.htm,https://www.sec.gov/Archives/edgar/data/948708/000089256908000334/0000892569-08-000334-index.htm,https://www.sec.gov/Archives/edgar/data/948708/000095013409004947/0000950134-09-004947-index.htm,https://www.sec.gov/Archives/edgar/data/948708/000095012310019966/0000950123-10-019966-index.htm,https://www.sec.gov/Archives/edgar/data/948708/000095012311018452/0000950123-11-018452-index.htm,https://www.sec.gov/Archives/edgar/data/948708/000119312512081316/0001193125-12-081316-index.htm,https://www.sec.gov/Archives/edgar/data/948708/000119312513067128/0001193125-13-067128-index.htm,https://www.sec.gov/Archives/edgar/data/948708/000119312514088577/0001193125-14-088577-index.htm,https://www.sec.gov/Archives/edgar/data/948708/000119312515069548/0001193125-15-069548-index.htm,https://www.sec.gov/Archives/edgar/data/948708/000119312516498016/0001193125-16-498016-index.htm,https://www.sec.gov/Archives/edgar/data/948708/000156459017004015/0001564590-17-004015-index.htm,https://www.sec.gov/Archives/edgar/data/948708/000156459018007263/0001564590-18-007263-index.htm,https://www.sec.gov/Archives/edgar/data/948708/000156459019009576/0001564590-19-009576-index.htm,https://www.sec.gov/Archives/edgar/data/948708/000156459020010806/0001564590-20-010806-index.htm,https://www.sec.gov/Archives/edgar/data/948708/000156459021011475/0001564590-21-011475-index.htm,https://www.sec.gov/Archives/edgar/data/948708/000156459022009851/0001564590-22-009851-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,1700000,5500000,-1500000,-1600000,-2000000,-6100000,-3155000,-6125000,-688000,-923000,3445000,4724000,8956000,3161000,-732000,4752000,12346000,-159606000,-25463000,-27953000,-11799000,-2602000,-14512000,-6661000,-2740000,10722000,4165000,-31043000
74,Depreciation and Amortization,100000,200000,500000,700000,700000,900000,1112000,1255000,605000,410000,146000,901000,2098000,3198000,8446000,10540000,11778000,10177000,4430000,4006000,2931000,1904000,1381000,922000,779000,1341000,3582000,9338000
75,Deferred Income Tax,- -,- -,-600000,100000,-200000,800000,- -,- -,- -,- -,- -,- -,-8376000,5313000,2000000,- -,-1543000,- -,- -,- -,-2000,- -,-137000,-585000,213000,97000,153000,58000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8724000,9496000,- -,3949000,3533000,3652000,2158000,1528000,1171000,935000,1494000,3064000,4848000
77,Change in Working Capital,-1000000,17600000,1100000,-1500000,-2700000,-5800000,-2127000,-5118000,-141000,278000,5522000,16114000,73472000,-2167000,-48898000,10970000,35928000,-41913000,-17960000,-20297000,-479000,590000,-12165000,701000,13591000,17543000,-3324000,-10035000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5998000,-6516000,20043000,-1473000,660000,-1000000,40000,3368000,-365000,-1903000,-3811000,-1269000,7938000
79,Inventory,-100000,-200000,-100000,- -,-100000,200000,164000,43000,250000,23000,-25000,-246000,-327000,-734000,473000,-372000,-167000,-97000,60000,-67000,-54000,10000,16000,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1925000,- -
81,Other Working Capital,2100000,19700000,20800000,19300000,16600000,10800000,8673000,3555000,3414000,3692000,9214000,25328000,98800000,96633000,47735000,58705000,94633000,52720000,34760000,14463000,13984000,14574000,2409000,3110000,16701000,34244000,30920000,-1396000
82,Other Non-Cash Items,1300000,-18800000,200000,2400000,3300000,7000000,1662000,7137000,650000,-532000,-6095000,-19275000,-61400000,8751000,55633000,-16509000,-43261000,177795000,22239000,24137000,-1152000,-2105000,12402000,-2967000,-15652000,-21209000,284000,13918000
83,Cash Provided by Operating Activities,2100000,4500000,-300000,100000,-900000,-3200000,-2508000,-2851000,426000,-767000,3018000,2464000,14750000,18256000,16449000,18477000,24744000,-13547000,-12805000,-16574000,-6849000,-55000,-11503000,-7419000,-2874000,9988000,7924000,-12916000
84,CAPEX,-300000,-400000,-300000,-200000,-200000,-1400000,-583000,-101000,-23000,-39000,-102000,-142000,-362000,-2224000,-4038000,-4809000,-6312000,-13431000,-322000,-829000,-216000,-124000,-500000,-77000,-173000,-1659000,-1323000,-830000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-11000000,-2000000,-34000000,-64000000,-7000000,-1000000,- -,- -,- -,- -,- -,-2000000,- -,- -,-4000000,-13500000,-56865000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-22580000,-8706000,-23418000,- -,- -,- -,- -,-1199000,- -,- -,- -,- -,-225000,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25196000,10257000,198000,- -,4079000,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,-2200000,- -,-600000,- -,-167000,- -,- -,- -,- -,104000,-224000,29000,385000,-4696000,-5844000,2741000,-322000,-829000,-216000,-124000,-985000,-77000,-173000,-1263000,-956000,-638000
89,Cash Used for Investing Activites,-300000,-400000,-2500000,-200000,-800000,-1400000,-750000,-101000,-23000,-39000,-102000,-11038000,-2586000,-36195000,-90233000,-20402000,-30262000,2741000,24874000,9428000,-18000,-1323000,1094000,-77000,-173000,-5263000,-14681000,-57503000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4200000,- -,-173000,- -
91,Common Stock Issued,- -,18100000,200000,- -,- -,600000,732000,- -,3000,914000,1996000,21155000,59185000,9149000,129000,- -,- -,- -,- -,36000,5242000,- -,- -,2056000,17600000,- -,4196000,59711000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,-5000,-13000,- -,- -,- -,- -,- -,- -,- -,- -,-753000,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,-1700000,-3800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-404000,-119000,- -,- -
94,Other Financing Activites,- -,- -,-2000000,- -,- -,-100000,- -,- -,- -,- -,- -,- -,- -,3775000,72000,2536000,8797000,425000,82000,- -,27000,32000,3819000,5416000,5000,11503000,220000,1032000
95,Cash Used/Provided by Financing Activities,-1700000,14300000,-1800000,- -,- -,500000,732000,- -,-2000,901000,1996000,21155000,59185000,12924000,201000,2536000,8797000,425000,-671000,36000,5269000,32000,3819000,7472000,13001000,11384000,4243000,60743000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,- -,-4000000,-2526000,-2952000,401000,95000,4912000,12581000,71349000,-5015000,-73583000,611000,3279000,-10381000,11398000,-7110000,-1598000,-1346000,-6590000,-24000,9954000,16109000,-2514000,-9676000
98,Cash at the End of Period,- -,- -,- -,- -,- -,8700000,6178000,3226000,3627000,3722000,8634000,21215000,92564000,87549000,13966000,14577000,17856000,7475000,18873000,11763000,10165000,8819000,2229000,2205000,12159000,28268000,25754000,16078000
99,Cash at the Beginning of Period,600000,600000,19000000,14500000,14400000,12700000,8704000,6178000,3226000,3627000,3722000,8634000,21215000,92564000,87549000,13966000,14577000,17856000,7475000,18873000,11763000,10165000,8819000,2229000,2205000,12159000,28268000,25754000
100,Free Cash Flow,1800000,4100000,-600000,-100000,-1100000,-4600000,-3091000,-2952000,403000,-806000,2916000,2322000,14388000,16032000,12411000,13668000,18432000,-26978000,-13127000,-17403000,-7065000,-179000,-12003000,-7496000,-3047000,8329000,6601000,-13746000
