,https://roic.ai/company/SALM,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1050606/000109581100000826/0001095811-00-000826-index.html,https://www.sec.gov/Archives/edgar/data/1050606/000091205701506203/0000912057-01-506203-index.html,https://www.sec.gov/Archives/edgar/data/1050606/000105060602000002/0001050606-02-000002-index.htm,https://www.sec.gov/Archives/edgar/data/1050606/000105060603000014/0001050606-03-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1050606/000105060604000028/0001050606-04-000028-index.htm,https://www.sec.gov/Archives/edgar/data/1050606/000105060605000021/0001050606-05-000021-index.htm,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1050606/000105060609000015/0001050606-09-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1050606/000105060610000014/0001050606-10-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1050606/000105060611000009/0001050606-11-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1050606/000119312512107113/0001193125-12-107113-index.htm,https://www.sec.gov/Archives/edgar/data/1050606/000119312513087605/0001193125-13-087605-index.htm,https://www.sec.gov/Archives/edgar/data/1050606/000119312514080651/0001193125-14-080651-index.htm,https://www.sec.gov/Archives/edgar/data/1050606/000114420415015976/0001144204-15-015976-index.htm,https://www.sec.gov/Archives/edgar/data/1050606/000114420416087583/0001144204-16-087583-index.htm,https://www.sec.gov/Archives/edgar/data/1050606/000114420417014049/0001144204-17-014049-index.htm,https://www.sec.gov/Archives/edgar/data/1050606/000114420418015007/0001144204-18-015007-index.htm,https://www.sec.gov/Archives/edgar/data/1050606/000119312519072280/0001193125-19-072280-index.htm,https://www.sec.gov/Archives/edgar/data/1050606/000119312520071771/0001193125-20-071771-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1050606/000119312522066029/0001193125-22-066029-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,1900000,34124000,3928000,23921000,26325000,5620000,10994000,3979000,710000,447000,1892000,8945000,828000,67000,380000,65000,33000,98000,130000,3000,117000,6000,6325000,1785000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,1900000,34124000,3928000,23921000,26325000,5620000,10994000,3979000,710000,447000,1892000,8945000,828000,67000,380000,65000,33000,98000,130000,3000,117000,6000,6325000,1785000
34,Net Receivables,14400000,18126000,26359000,28979000,32686000,34663000,31164000,32532000,32535000,30665000,28834000,27571000,29986000,31889000,33483000,38347000,38327000,38010000,38011000,35663000,36339000,34925000,28783000,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,572000,893000,670000,730000,677000,717000,495000,- -
36,Other Current Assets,3100000,3265000,4258000,3115000,111812000,6501000,6766000,9289000,7350000,16787000,8414000,7977000,9394000,10010000,11497000,12633000,15433000,17798000,16698000,10324000,6504000,6075000,10193000,39729000
37,Total Current Assets,19400000,55515000,34545000,56015000,170823000,46784000,48924000,45800000,40595000,47899000,39140000,44493000,40208000,41966000,45360000,51045000,54365000,56799000,55509000,46720000,43637000,41723000,45796000,41514000
38,PP&E,40700000,50665000,69004000,93087000,99194000,97393000,102987000,117873000,128713000,131087000,133706000,121174000,115867000,111222000,99467000,98928000,99227000,105483000,102790000,99480000,96508000,142403000,127477000,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,20606000,18636000,18230000,17642000,18361000,20092000,22383000,22374000,24684000,24563000,25613000,26424000,26789000,23998000,23757000,- -
40,Intangible Assets,141800000,150520000,358482000,344059000,380508000,397131000,420466000,468516000,487804000,473520000,398135000,380159000,385851000,379850000,384346000,391497000,398954000,405345000,403257000,394331000,387857000,345218000,323790000,- -
41,Intangible Assets,141800000,150520000,358482000,344059000,380508000,397131000,420466000,468516000,508410000,492156000,416365000,397801000,404212000,399942000,406729000,413871000,423638000,429908000,428870000,420755000,414646000,369216000,347547000,346438000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1070000,- -,- -,68883000,- -
44,Other Non-Current Assets,5900000,7664000,8637000,14093000,21684000,18703000,13407000,13741000,8546000,8656000,18507000,15577000,14199000,8180000,7671000,11269000,5929000,5185000,3099000,4794000,4237000,5088000,-65132000,128160000
45,Total Non-Current Assets,188400000,208849000,436123000,451239000,501386000,513227000,536860000,600130000,645669000,631899000,568578000,534552000,534278000,519344000,513867000,524068000,528794000,540576000,534759000,526099000,515391000,516707000,478775000,474598000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,990710000
47,Total Assets,207800000,264364000,470668000,507254000,672209000,560011000,585784000,645930000,686264000,679798000,607718000,579045000,574486000,561310000,559227000,575113000,583159000,597375000,590268000,572819000,559028000,558430000,524571000,516112000
48,Accounts Payable,1700000,2600000,4786000,828000,1107000,535000,581000,448000,3421000,1325000,919000,1758000,961000,4565000,4440000,3960000,2964000,5177000,4968000,1584000,2187000,3468000,2006000,- -
49,Short-Term Debt,- -,3248000,93000,665000,100029000,15000,1145000,811000,2048000,6667000,3766000,78000,111000,9124000,20108000,3121000,1898000,5662000,590000,9109000,19718000,12426000,5000000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,563000,- -
51,Deferred Revenue,- -,- -,- -,- -,1317000,1163000,1402000,1903000,4050000,4205000,5672000,6005000,6513000,7521000,7396000,9721000,13205000,13128000,9491000,10499000,11537000,9603000,11799000,- -
52,Other Current Liabilities,6100000,7667000,9714000,19111000,18925000,17242000,16917000,17496000,17776000,14093000,12540000,12532000,15224000,15305000,16580000,14980000,21683000,19687000,24091000,20957000,19436000,27637000,32055000,- -
53,Total Current Liabilities,7800000,13515000,14593000,20604000,121378000,18955000,20045000,20658000,27295000,26290000,22897000,20373000,22809000,36515000,48524000,31782000,39750000,43654000,39140000,42149000,52878000,53134000,50860000,- -
54,Long-Term Debt,178600000,100087000,286050000,311621000,350908000,330046000,277292000,326685000,358978000,347617000,321609000,313969000,304416000,265679000,248872000,287672000,275607000,271454000,261084000,249579000,234135000,216468000,213764000,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7728000,7898000,7962000,8140000,9965000,10576000,13930000,5252000,6101000,1379000,5700000,5733000,- -
56,Deferred Tax Liabilities,11600000,7232000,15279000,15914000,26447000,28999000,32715000,40810000,53935000,61381000,43106000,38973000,42296000,48077000,47593000,43457000,49109000,57082000,60769000,34151000,35272000,38778000,68883000,- -
57,Other Non-Current Liabilities,700000,691000,1798000,1745000,1548000,10189000,8095000,8659000,8340000,11332000,16990000,803000,663000,29000,29000,452000,4123000,1434000,10177000,9558000,13495000,54687000,50052000,- -
58,Total Non-Current Liabilities,190900000,108010000,303127000,329280000,378903000,369234000,318102000,376154000,421253000,420330000,381705000,361473000,355273000,321747000,304634000,341546000,339415000,343900000,337282000,299389000,284281000,315633000,338432000,- -
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,337901000
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,62728000,56870000,- -
61,Total Liabilities,198700000,121525000,317720000,349884000,500281000,388189000,338147000,396812000,448548000,446620000,404602000,381846000,378082000,358262000,353158000,373328000,379165000,387554000,376422000,341538000,337159000,368767000,389292000,337901000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,200000,235000,235000,235000,235000,236000,260000,260000,260000,260000,260000,260000,265000,266000,269000,274000,277000,279000,282000,283000,283000,283000,283000,- -
64,Retained Earnings,3300000,-4776000,5333000,9720000,23725000,23048000,30381000,43043000,47433000,43538000,10452000,2106000,-802000,4816000,5832000,-2062000,-2770000,1768000,3963000,20370000,10372000,-23294000,-78023000,- -
65,Other Comprehensive Income/Loss,-25500000,-31943000,-36661000,-43135000,-52494000,-62505000,-59226000,318000,775000,-1492000,-2000000,-107141000,-117212000,-125708000,-135823000,-145215000,-155495000,-162382000,-156024000,-164720000,-170842000,-173122000,- -,- -
66,Other Total Stockholders Equity,31100000,179323000,184041000,190550000,200462000,211043000,276222000,- -,- -,- -,194404000,301974000,314153000,323674000,335791000,348788000,361982000,370156000,365625000,375348000,382056000,385796000,213019000,- -
67,Total Stockholders Equity,9100000,142839000,152948000,157370000,171928000,171822000,247637000,249118000,237716000,233178000,203116000,197199000,196404000,203048000,206069000,201785000,203994000,209821000,213846000,231281000,221869000,189663000,135279000,178211000
68,Total Liabilities And Stockholders Equity,207800000,264364000,470668000,507254000,672209000,560011000,585784000,645930000,686264000,679798000,607718000,579045000,574486000,561310000,559227000,575113000,583159000,597375000,590268000,572819000,559028000,558430000,524571000,516112000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,207800000,264364000,470668000,507254000,672209000,560011000,585784000,645930000,686264000,679798000,607718000,579045000,574486000,561310000,559227000,575113000,583159000,597375000,590268000,572819000,559028000,558430000,524571000,516112000
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1050606/000109581100000826/0001095811-00-000826-index.html,https://www.sec.gov/Archives/edgar/data/1050606/000091205701506203/0000912057-01-506203-index.html,https://www.sec.gov/Archives/edgar/data/1050606/000105060602000002/0001050606-02-000002-index.htm,https://www.sec.gov/Archives/edgar/data/1050606/000105060603000014/0001050606-03-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1050606/000105060604000028/0001050606-04-000028-index.htm,https://www.sec.gov/Archives/edgar/data/1050606/000105060605000021/0001050606-05-000021-index.htm,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1050606/000105060609000015/0001050606-09-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1050606/000105060610000014/0001050606-10-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1050606/000105060611000009/0001050606-11-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1050606/000119312512107113/0001193125-12-107113-index.htm,https://www.sec.gov/Archives/edgar/data/1050606/000119312513087605/0001193125-13-087605-index.htm,https://www.sec.gov/Archives/edgar/data/1050606/000119312514080651/0001193125-14-080651-index.htm,https://www.sec.gov/Archives/edgar/data/1050606/000114420415015976/0001144204-15-015976-index.htm,https://www.sec.gov/Archives/edgar/data/1050606/000114420416087583/0001144204-16-087583-index.htm,https://www.sec.gov/Archives/edgar/data/1050606/000114420417014049/0001144204-17-014049-index.htm,https://www.sec.gov/Archives/edgar/data/1050606/000114420418015007/0001144204-18-015007-index.htm,https://www.sec.gov/Archives/edgar/data/1050606/000119312519072280/0001193125-19-072280-index.htm,https://www.sec.gov/Archives/edgar/data/1050606/000119312520071771/0001193125-20-071771-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1050606/000119312522066029/0001193125-22-066029-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-1600000,-8045000,10109000,4388000,14005000,-677000,7515000,12662000,18999000,8175000,-33086000,-8346000,1932000,5618000,4428000,-2736000,5475000,11150000,8873000,24644000,-3192000,-27839000,-54062000,- -
74,Depreciation and Amortization,14600000,18763000,26511000,32366000,13055000,13905000,13919000,14018000,16387000,16345000,28202000,15120000,14654000,14971000,14647000,15262000,18825000,17741000,17276000,16962000,18226000,15934000,14058000,- -
75,Deferred Income Tax,-700000,-4106000,5790000,1354000,-2123000,80000,3787000,8024000,12414000,6351000,-18145000,-3161000,2387000,5404000,-101000,-4764000,4375000,6313000,4089000,-20932000,2191000,3506000,30105000,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,588000,1437000,950000,1368000,1849000,1576000,771000,582000,1721000,543000,1460000,345000,- -
77,Change in Working Capital,-1000000,30400000,-22048000,15459000,14034000,-21616000,1050000,-3737000,-11842000,8309000,-5366000,7877000,-6721000,-11948000,-8615000,22427000,-4648000,-1470000,3224000,-11798000,-13812000,-2170000,6347000,- -
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3618000,-4620000,-633000,-2556000,-3049000,4756000,1958000,4236000,144000,-2814000,-595000,1516000,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-307000,223000,-60000,53000,-440000,222000,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3291000,-4733000,4041000,-3090000,-819000,-3041000,1031000,-2009000,3841000,- -
81,Other Working Capital,11600000,42000000,19952000,35411000,49445000,27829000,28879000,25142000,13300000,21609000,16243000,24120000,17399000,5451000,-3164000,19263000,14615000,13145000,16369000,4571000,-9241000,-11411000,-5064000,- -
82,Other Non-Cash Items,-300000,-28808000,-9650000,-41934000,-32157000,32342000,13035000,7991000,-2548000,-7214000,63527000,27307000,8932000,16085000,19121000,-3340000,16322000,1625000,4822000,16733000,19005000,26119000,26058000,- -
83,Cash Provided by Operating Activities,11000000,8204000,10712000,11633000,6814000,24034000,39306000,38958000,33410000,31966000,35132000,39385000,22621000,31080000,30848000,28698000,41925000,36130000,38866000,27330000,22961000,17010000,22851000,- -
84,CAPEX,-41000000,-33028000,-249657000,-149987000,-15320000,-8978000,-17869000,-29255000,-41351000,-15896000,-21493000,-3731000,-7831000,-10673000,-11879000,-16139000,-16269000,-24278000,-11792000,-10866000,-15878000,-7820000,-4767000,-10914000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,-52579000,-11246000,-987000,-4000000,3000000,-5000000,-6000000,-8000000,-2000000,-7000000,-4000000,-7000000,-2000000,-4000000,-1000000,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,9200000,-2131000,29809000,139917000,-11698000,-20710000,-26490000,-1680000,19691000,5507000,4960000,-5851000,-9588000,4650000,-7736000,-10237000,-8539000,-12772000,-6735000,-6060000,-190000,11968000,-2944000,- -
89,Cash Used for Investing Activites,-31800000,-35159000,-219848000,-10070000,-27018000,-29688000,-44359000,-83514000,-32906000,-11376000,-20533000,-2851000,-14588000,-4501000,-19066000,-17737000,-21734000,-29183000,-15493000,-10342000,-10724000,10933000,-2944000,- -
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-326634000,-64405000,-147516000,-189714000,-380230000,-71458000,-60810000,-57845000,-347520000,-158820000,-135858000,-50782000,- -
91,Common Stock Issued,- -,140095000,- -,35000,553000,403000,2272000,33000,95000,30000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,-11539000,-20679000,-1788000,-1396000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,-14609000,-10010000,- -,- -,-4840000,- -,-3412000,-5158000,-6183000,-6612000,-6678000,-6790000,-6806000,-5827000,-667000,- -
94,Other Financing Activites,21000000,-80933000,178940000,18395000,22055000,-15454000,8155000,49047000,31420000,-9085000,-23608000,297153000,53095000,119432000,181657000,374112000,57418000,60540000,41182000,337195000,153503000,113631000,37861000,- -
95,Cash Used/Provided by Financing Activities,21000000,59162000,178940000,18430000,22608000,-15051000,10427000,37541000,-3773000,-20853000,-25004000,-29481000,-16150000,-28084000,-11469000,-11276000,-20223000,-6882000,-23341000,-17115000,-12123000,-28054000,-13588000,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,300000,32207000,-30196000,19993000,2404000,-20705000,5374000,-7015000,-3269000,-263000,1445000,7053000,-8117000,-761000,313000,-315000,-32000,65000,32000,-127000,114000,-111000,6319000,- -
98,Cash at the End of Period,1900000,34124000,3928000,23921000,26325000,5620000,10994000,3979000,710000,447000,1892000,8945000,828000,67000,380000,65000,33000,98000,130000,3000,117000,6000,6325000,1785000
99,Cash at the Beginning of Period,1600000,1917000,34124000,3928000,23921000,26325000,5620000,10994000,3979000,710000,447000,1892000,8945000,828000,67000,380000,65000,33000,98000,130000,3000,117000,6000,- -
100,Free Cash Flow,-30000000,-24824000,-238945000,-138354000,-8506000,15056000,21437000,9703000,-7941000,16070000,13639000,35654000,14790000,20407000,18969000,12559000,25656000,11852000,27074000,16464000,7083000,9190000,18084000,- -
101,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1050606/000109581100000826/0001095811-00-000826-index.html,https://www.sec.gov/Archives/edgar/data/1050606/000091205701506203/0000912057-01-506203-index.html,https://www.sec.gov/Archives/edgar/data/1050606/000105060602000002/0001050606-02-000002-index.htm,https://www.sec.gov/Archives/edgar/data/1050606/000105060603000014/0001050606-03-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1050606/000105060604000028/0001050606-04-000028-index.htm,https://www.sec.gov/Archives/edgar/data/1050606/000105060605000021/0001050606-05-000021-index.htm,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1050606/000105060609000015/0001050606-09-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1050606/000105060610000014/0001050606-10-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1050606/000105060611000009/0001050606-11-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1050606/000119312512107113/0001193125-12-107113-index.htm,https://www.sec.gov/Archives/edgar/data/1050606/000119312513087605/0001193125-13-087605-index.htm,https://www.sec.gov/Archives/edgar/data/1050606/000119312514080651/0001193125-14-080651-index.htm,https://www.sec.gov/Archives/edgar/data/1050606/000114420415015976/0001144204-15-015976-index.htm,https://www.sec.gov/Archives/edgar/data/1050606/000114420416087583/0001144204-16-087583-index.htm,https://www.sec.gov/Archives/edgar/data/1050606/000114420417014049/0001144204-17-014049-index.htm,https://www.sec.gov/Archives/edgar/data/1050606/000114420418015007/0001144204-18-015007-index.htm,https://www.sec.gov/Archives/edgar/data/1050606/000119312519072280/0001193125-19-072280-index.htm,https://www.sec.gov/Archives/edgar/data/1050606/000119312520071771/0001193125-20-071771-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1050606/000119312522066029/0001193125-22-066029-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,
