,https://roic.ai/company/AAN,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
68,Total Liabilities And Stockholders Equity,- -,158600000,198103000,239382000,272174000,318408000,380379000,397196000,483648000,555292000,700288000,858515000,979606000,1113176000,1233270000,1321456000,1502072000,1735149000,1812929000,1827176000,2456844000,2658875000,2615736000,2692264000,1632812000,1940331000,1353457000,1441265000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,158600000,198103000,239382000,272174000,318408000,380379000,397196000,483648000,555292000,700288000,858515000,979606000,1113176000,1233270000,1321456000,1502072000,1735149000,1812929000,1827176000,2456844000,2658875000,2615736000,2692264000,1632812000,1940331000,1353457000,1441265000
71,SEC Link,undefined,https://www.sec.gov/Archives/edgar/data/706688/000093176396000118/0000931763-96-000118-index.html,https://www.sec.gov/Archives/edgar/data/706688/000095010997002675/0000950109-97-002675-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/706688/000095014401004438/0000950144-01-004438-index.html,https://www.sec.gov/Archives/edgar/data/706688/000095014402003290/0000950144-02-003290-index.html,- -,https://www.sec.gov/Archives/edgar/data/706688/000104746904007891/a2130820z10-k.htm,https://www.sec.gov/Archives/edgar/data/706688/000110465905009960/a05-2712_110k.htm,https://www.sec.gov/Archives/edgar/data/706688/000095014406002291/g00200e10vk.htm,https://www.sec.gov/Archives/edgar/data/706688/000095014407001717/0000950144-07-001717-index.html,https://www.sec.gov/Archives/edgar/data/706688/000095014408001538/g11960e10vk.htm,https://www.sec.gov/Archives/edgar/data/706688/000136231009002984/0001362310-09-002984-index.html,https://www.sec.gov/Archives/edgar/data/706688/000095012310018116/0000950123-10-018116-index.html,https://www.sec.gov/Archives/edgar/data/706688/000095012311018548/c11796e10vk.htm,https://www.sec.gov/Archives/edgar/data/706688/000119312512088733/0001193125-12-088733-index.html,https://www.sec.gov/Archives/edgar/data/706688/000119312513071592/0001193125-13-071592-index.html,https://www.sec.gov/Archives/edgar/data/706688/000070668814000015/a10k4q2013.htm,https://www.sec.gov/Archives/edgar/data/706688/000070668815000089/a10k4q2014.htm,https://www.sec.gov/Archives/edgar/data/706688/000070668816000237/0000706688-16-000237-index.html,https://www.sec.gov/Archives/edgar/data/706688/000070668817000030/0000706688-17-000030-index.html,https://www.sec.gov/Archives/edgar/data/706688/000070668818000032/0000706688-18-000032-index.html,https://www.sec.gov/Archives/edgar/data/706688/000070668819000026/0000706688-19-000026-index.html,https://www.sec.gov/Archives/edgar/data/706688/000070668820000012/0000706688-20-000012-index.html,https://www.sec.gov/Archives/edgar/data/1821393/000182139321000009/0001821393-21-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1821393/000182139322000014/0001821393-22-000014-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,15393000,18396000,21484000,25602000,27261000,12336000,27440000,36426000,52616000,57993000,78635000,80275000,90189000,112601000,118376000,113767000,173043000,120666000,78233000,135709000,139283000,142918000,50653000,28099000,-265912000,109934000
74,Depreciation and Amortization,- -,45800000,70693000,77487000,98090000,112746000,133109000,153548000,179040000,215397000,277187000,333131000,395581000,444874000,471393000,519371000,549532000,603564000,661433000,685105000,1018234000,1292847000,1386673000,551548000,573969000,601964000,571260000,593842000
75,Deferred Income Tax,- -,-300000,-899000,3805000,1124000,6599000,6576000,1168000,29554000,3496000,39919000,-20261000,18490000,-11394000,66345000,15032000,63843000,59449000,-23241000,-36763000,-7157000,38970000,-35162000,-51475000,10042000,18226000,-119193000,28725000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3696000,4759000,8385000,6454000,2342000,10863000,14163000,21470000,15057000,15517000,13486000,24442000,13148000
77,Change in Working Capital,- -,-500000,-69093000,61012000,2041000,1328000,4851000,230053000,61133000,9907000,80471000,41401000,36931000,7599000,-65468000,126162000,-1712000,103814000,398109000,-63427000,124501000,202526000,-108703000,23130000,-546860000,21982000,-127051000,-797958000
78,Accounts Receivable,- -,300000,-2339000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6582000,-3567000,-43211000,-18528000,-30419000,-110269000,-173159000,-149826000,-31222000,-26733000,-39881000,-27914000,-23679000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-634170000,-594062000,-695904000,-538399000,-1008788000,-1264822000,-1181600000,-495265000,-538148000,-498014000,203761000,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4635000,16893000,-12788000,25458000,-51643000,- -,- -,- -,- -,- -
81,Other Working Capital,- -,-11100000,-80193000,-19181000,-17140000,-15812000,-10961000,219092000,280225000,290132000,370603000,412004000,448935000,456534000,391066000,517228000,515516000,619330000,1017439000,954012000,1078513000,1281039000,1172336000,1195466000,648606000,670588000,543537000,-109150000
82,Other Non-Cash Items,- -,10100000,73431000,-55405000,-2111000,-5982000,-5632000,-207747000,-75498000,-198177000,-415455000,-418751000,-454676000,-412189000,-486720000,-583445000,-685537000,-581784000,-1156044000,-399486000,-1273636000,-1517454000,-938117000,-571008000,83215000,-497780000,272223000,188349000
83,Cash Provided by Operating Activities,- -,55100000,89525000,105295000,120628000,140293000,166165000,189358000,221669000,67049000,34738000,-6487000,74961000,109165000,75739000,193417000,49261000,307195000,59754000,308437000,-48962000,166761000,465444000,110170000,186536000,185977000,355769000,136040000
84,CAPEX,- -,-78400000,-154557000,-160427000,-196705000,-239963000,-303341000,-272697000,-394302000,-37898000,-37723000,-61449000,-95482000,-141518000,-74924000,-83140000,-87636000,-78211000,-65073000,-58145000,-47565000,-60557000,-57453000,-48333000,-67099000,-79932000,-69037000,-92704000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-144417000,-188959000,-11472000,-14434000,-9963000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6436000,- -,- -,- -,- -,- -,- -,-100513000,-91000000,-74845000,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7592000,6993000,- -,- -,- -,- -,- -,- -,102118000,47930000,89993000,- -,- -,2658000,3066000,1212000,- -,1974000
88,Other Investing Activites,- -,32300000,-3891000,-21665000,-1841000,-11393000,-6947000,-5520000,3690000,-44347000,-38497000,-46725000,- -,- -,- -,- -,- -,1063000,- -,- -,- -,3511000,-8158000,12687000,6989000,14005000,8430000,15318000
89,Cash Used for Investing Activites,- -,-46100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-177405000,-246003000,-76187000,-75041000,-85375000
90,Debt Repayment,- -,- -,-67434000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-117156000,-15683000,-17151000,-28519000,-4954000,-441603000,-330747000,-208607000,-103129000,-97583000,-68531000,-347960000,-740000
91,Common Stock Issued,- -,- -,4502000,400000,41498000,1850000,1926000,1183000,35424000,1789000,1701000,2199000,88747000,2930000,6476000,8172000,1087000,6117000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,-3000000,-2889000,-8918000,-10560000,-12673000,-4625000,- -,-1667000,- -,- -,- -,- -,-13401000,-7529000,- -,-28046000,-127193000,-34131000,-125000000,- -,- -,-34525000,- -,- -,- -,- -,-103098000
93,Dividends Paid,- -,-400000,-765000,-761000,-801000,-816000,-792000,-797000,-798000,-924000,-2042000,-2641000,-2909000,-3249000,-3430000,-4649000,-2929000,-4073000,-5843000,-3875000,-7823000,-6822000,-7420000,- -,- -,- -,- -,-9971000
94,Other Financing Activites,- -,-5700000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3855000,789000,1767000,3909000,321000,1264000,5967000,1381000,-2974000,-77000,-797000,-79064000,135452000,-4612000,94549000,9858000
95,Cash Used/Provided by Financing Activities,- -,-9100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-182193000,37869000,-73143000,-253411000,-103951000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,75000,-156000,120000,33000,-5000
97,Net Change In Cash,- -,- -,-14000,12000,-1000,4000,-4000,-2000,3000,-1000,1178000,1108000,1834000,-3558000,2586000,102309000,-37663000,104235000,-46723000,101557000,-227542000,11393000,293619000,-249353000,-21754000,36767000,27350000,-53291000
98,Cash at the End of Period,- -,100000,84000,96000,95000,99000,95000,93000,96000,95000,5865000,6973000,8807000,5249000,7376000,109685000,72022000,176257000,129534000,231091000,3549000,14942000,308561000,33760000,12006000,48773000,76123000,22832000
99,Cash at the Beginning of Period,- -,100000,98000,84000,96000,95000,99000,95000,93000,96000,4687000,5865000,6973000,8807000,4790000,7376000,109685000,72022000,176257000,129534000,231091000,3549000,14942000,283113000,33760000,12006000,48773000,76123000
100,Free Cash Flow,- -,-23300000,-65032000,-55132000,-76077000,-99670000,-137176000,-83339000,-172633000,29151000,-2985000,-67936000,-20521000,-32353000,815000,110277000,-38375000,228984000,-5319000,250292000,-96527000,106204000,407991000,61837000,119437000,106045000,286732000,43336000
