,https://roic.ai/company/HAYN,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
11,COGS and Expenses,187487000,205140000,211599000,213954000,193433000,213570000,226705000,203902000,172192000,226996000,324253000,368528000,451309000,538067000,455477000,366010000,493590000,502667000,450790000,450361000,440141000,402161000,411747000,438544000,472499000,379918000,344804000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,138000,209000,248000,188000,114000,139000,94000,108000,186000,82000,86000,44000,16000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,647000,150000,156000,87000,72000,68000,412000,555000,865000,918000,986000,1332000,1186000
14,Depreciation and Amortization,8188000,7751000,8621000,9276000,6391000,5012000,6230000,6076000,6624000,8400000,8026000,8890000,8647000,10053000,11443000,11875000,12089000,12943000,14160000,16277000,19508000,21036000,22097000,23154000,19126000,19650000,19567000
15,EBITDA,2730000,655000,12326000,13599000,636000,-1325000,7124000,7675000,-7100000,175488000,1781000,66743000,113235000,107967000,-49000000,27617000,61643000,90025000,46230000,21465000,67096000,25342000,5745000,20018000,33482000,13484000,10970000
16,EBITDA ratio,0.0135,0.0029,0.0523,0.0551,0.0030,-0.0058,0.0283,0.0340,-0.0399,0.7516,0.0055,0.1536,0.2023,0.1695,-0.1117,0.0724,0.1135,0.1553,0.0958,0.0471,0.1376,0.0624,0.0145,0.0460,0.0683,0.0354,0.0325
17,Operating Income,14446000,21262000,24161000,32990000,15553000,15958000,25009000,22040000,5937000,2042000,108000,65877000,108527000,98939000,-60581000,15533000,49306000,76894000,31956000,5049000,47494000,4198000,-16538000,-3218000,17716000,612000,-7143000
18,Operating Income ratio,0.0715,0.0939,0.1025,0.1336,0.0744,0.0695,0.0994,0.0975,0.0333,0.0087,0.0003,0.1516,0.1939,0.1553,-0.1381,0.0407,0.0908,0.1327,0.0662,0.0111,0.0974,0.0103,-0.0418,-0.0074,0.0361,0.0016,-0.0212
19,Total Other Income Expenses (Gains),-19904000,-21102000,-20456000,-28217000,-21308000,-22935000,-24115000,-20441000,-19661000,-4456000,-6353000,-8024000,-3939000,-1025000,-509000,59000,92000,101000,42000,71000,-318000,-447000,-679000,-836000,-4346000,-8110000,-2640000
20,Income Before Tax,-5458000,160000,3705000,4773000,-5755000,-6977000,894000,1599000,-13724000,- -,-6245000,57853000,104588000,97914000,-61090000,15592000,49398000,76995000,31998000,5120000,47176000,3751000,-17217000,-4054000,13370000,-7498000,-9783000
21,Income Before Tax Ratio,-0.0270,0.0007,0.0157,0.0193,-0.0275,-0.0304,0.0036,0.0071,-0.0770,- -,-0.0192,0.1332,0.1868,0.1537,-0.1393,0.0409,0.0910,0.1329,0.0663,0.0112,0.0967,0.0092,-0.0436,-0.0093,0.0273,-0.0197,-0.0290
22,Income Tax expense (Gain),1313000,1940000,-32610000,2317000,-6319000,-2168000,613000,677000,49281000,- -,-2111000,22313000,38468000,35136000,-8768000,6717000,18270000,26813000,10421000,1369000,16690000,-1269000,-7027000,17697000,3625000,-1020000,-1100000
23,Net Income,-6771000,-9036000,36315000,2006000,564000,-4169000,281000,922000,-63005000,167088000,-4134000,35540000,66120000,62778000,-52322000,8875000,31128000,50182000,21577000,3751000,30486000,5020000,-10190000,-21751000,9745000,-6478000,-8683000
24,Net Income ratio,-0.0335,-0.0399,0.1540,0.0081,0.0027,-0.0182,0.0011,0.0041,-0.3537,0.7156,-0.0127,0.0818,0.1181,0.0986,-0.1193,0.0233,0.0573,0.0866,0.0447,0.0082,0.0625,0.0124,-0.0258,-0.0500,0.0199,-0.0170,-0.0257
25,EPS,-0.68,-0.90,3.63,0.20,0.06,-0.42,0.03,0.09,-6.30,-0.36,-0.41,3.55,6.07,5.27,-4.36,0.74,2.55,4.09,1.75,0.30,2.45,0.40,-0.83,-1.75,0.78,-0.53,-0.71
26,EPS Diluted,-0.68,-0.90,3.49,0.19,0.05,-0.42,0.03,0.09,-6.30,-0.36,-0.41,3.46,5.89,5.22,-4.36,0.73,2.54,4.07,1.74,0.30,2.45,0.40,-0.83,-1.75,0.78,-0.53,-0.71
27,Weighted Average Shares Outstanding,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10896067,11903289,12004498,12049779,12067555,12147179,12223838,12291881,12331805,12361483,12397000,12420000,12445000,12471000,12500000
28,Weighted Average Shares Outstanding Diluted,10398994,10398994,10398994,10398994,10398994,10398994,10398994,10398994,10398994,10000000,10000000,10270642,11230101,12026440,12004498,12159529,12149866,12216031,12265630,12321700,12344209,12366197,12397000,12420000,12481000,12471000,12500000
29,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/858655/000092794600000168/0000927946-00-000168-index.html,https://www.sec.gov/Archives/edgar/data/858655/000092794601500118/0000927946-01-500118-index.html,- -,https://www.sec.gov/Archives/edgar/data/858655/000092794603000270/haynes10k.htm,- -,https://www.sec.gov/Archives/edgar/data/858655/000110465905061789/a05-21904_110k.htm,https://www.sec.gov/Archives/edgar/data/858655/000110465906080268/a06-24923_110k.htm,https://www.sec.gov/Archives/edgar/data/858655/000104746907009971/0001047469-07-009971-index.html,https://www.sec.gov/Archives/edgar/data/858655/000104746908012524/0001047469-08-012524-index.html,https://www.sec.gov/Archives/edgar/data/858655/000104746909010379/0001047469-09-010379-index.html,https://www.sec.gov/Archives/edgar/data/858655/000104746910009902/0001047469-10-009902-index.html,https://www.sec.gov/Archives/edgar/data/858655/000104746911009659/0001047469-11-009659-index.html,https://www.sec.gov/Archives/edgar/data/858655/000104746912010621/0001047469-12-010621-index.html,https://www.sec.gov/Archives/edgar/data/858655/000104746913010743/0001047469-13-010743-index.html,https://www.sec.gov/Archives/edgar/data/858655/000104746914009433/0001047469-14-009433-index.html,https://www.sec.gov/Archives/edgar/data/858655/000155837015002721/0001558370-15-002721-index.html,https://www.sec.gov/Archives/edgar/data/858655/000155837016010155/0001558370-16-010155-index.html,https://www.sec.gov/Archives/edgar/data/858655/000155837017008990/0001558370-17-008990-index.html,https://www.sec.gov/Archives/edgar/data/858655/000155837018009382/0001558370-18-009382-index.html,https://www.sec.gov/Archives/edgar/data/858655/000155837019011048/0001558370-19-011048-index.html,https://www.sec.gov/Archives/edgar/data/858655/000155837020013989/0001558370-20-013989-index.htm,https://www.sec.gov/Archives/edgar/data/858655/000155837021016206/0001558370-21-016206-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,5035000,4688000,3281000,3720000,3576000,1285000,171000,5199000,4791000,2500000,2886000,6180000,5717000,7058000,105095000,63968000,60062000,46740000,68326000,45871000,49045000,59297000,46328000,9802000,31038000,47238000,47726000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,5035000,4688000,3281000,3720000,3576000,1285000,171000,5199000,4791000,2500000,2886000,6180000,5717000,7058000,105095000,63968000,60062000,46740000,68326000,45871000,49045000,59297000,46328000,9802000,31038000,47238000,47726000
34,Net Receivables,38089000,39624000,38500000,45974000,40241000,143438000,47978000,35345000,35267000,- -,58730000,77962000,108174000,99295000,71821000,63549000,90253000,104784000,86995000,75674000,79292000,62150000,61602000,80677000,78736000,54888000,59256000
35,Inventory,60234000,74755000,94081000,81861000,91012000,- -,98150000,90268000,99634000,- -,147860000,179712000,286302000,304915000,182771000,231783000,250051000,263236000,232157000,254027000,247836000,236558000,244457000,273045000,258802000,246124000,248495000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,1049000,480000,563000,186900000,7408000,10871000,12368000,12082000,9790000,12330000,11069000,11465000,8426000,9261000,9269000,8255000,2781000,2825000,3297000,3285000,6129000
37,Total Current Assets,103358000,119067000,135862000,131555000,134829000,144723000,147348000,131292000,140255000,189400000,216884000,274725000,412561000,423350000,369477000,371630000,411435000,426225000,395904000,384833000,385442000,366260000,355168000,366349000,371873000,351535000,361606000
38,PP&E,36863000,31157000,32551000,29627000,32572000,42299000,41557000,42721000,40229000,80035000,85125000,88921000,97860000,107302000,105820000,107043000,110678000,124652000,152764000,174083000,185351000,199182000,192556000,179400000,169966000,159819000,147248000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,43055000,42265000,41252000,43737000,- -,- -,- -,- -,- -,- -,4789000,4789000,4789000,4789000,4789000,4789000,4789000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11386000,9422000,8526000,7907000,7230000,- -,6440000,- -,5601000,5185000,6774000,6562000,6066000,5539000,5284000,5056000,5586000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,54441000,51687000,49778000,51644000,7230000,6671000,6440000,6017000,5601000,5185000,11563000,11351000,10855000,10328000,10073000,9845000,10375000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,37057000,36549000,44137000,44424000,42994000,46398000,- -,- -,27665000,27368000,22738000,32310000,58843000,62446000,65113000,68255000,41301000,44639000,53958000,71010000,58133000,25454000,34132000,30551000,16397000
44,Other Non-Current Assets,11095000,11265000,10849000,9532000,9699000,11919000,10546000,14191000,13456000,91323000,3007000,3159000,4032000,2961000,2780000,3753000,2903000,1777000,2282000,2031000,1877000,1798000,5107000,7163000,7756000,8974000,10829000
45,Total Non-Current Assets,47958000,42422000,80457000,75708000,86408000,98642000,95097000,103310000,53685000,171358000,170238000,171135000,174408000,194217000,174673000,179913000,185134000,200701000,201948000,225938000,252749000,283341000,266651000,222345000,221927000,209189000,184849000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,151316000,161489000,216319000,207263000,221237000,243365000,242445000,234602000,193940000,360758000,387122000,445860000,586969000,617567000,544150000,551543000,596569000,626926000,597852000,610771000,638191000,649601000,621819000,588694000,593800000,560724000,546455000
48,Accounts Payable,21785000,23615000,23372000,19092000,27703000,31408000,26900000,- -,- -,- -,31673000,33528000,48254000,41939000,29249000,34284000,49086000,37471000,27600000,41957000,29386000,29925000,32802000,37140000,34497000,17555000,47680000
49,Short-Term Debt,- -,- -,- -,- -,44259000,66281000,63513000,47569000,198752000,- -,105969000,116946000,35659000,13327000,110000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,228000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3177000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2500000,2500000,- -,2500000,6166000,4368000,3594000,2500000,2500000,7488000,2500000,2500000,2500000,2500000,2500000
52,Other Current Liabilities,18957000,38145000,55427000,45489000,6245000,5805000,8800000,24998000,27579000,127600000,19748000,22387000,26836000,35227000,33027000,34647000,37422000,34354000,17500000,17785000,21541000,17975000,19398000,22558000,23083000,18160000,23805000
53,Total Current Liabilities,40742000,61760000,78799000,64581000,78207000,103494000,99213000,72567000,226331000,127600000,157390000,172861000,113249000,92993000,62386000,71431000,92674000,76193000,48694000,62242000,53427000,55388000,54700000,62198000,60080000,38215000,74213000
54,Long-Term Debt,140000000,137350000,137566000,139549000,139620000,143157000,142749000,142116000,2255000,- -,414000,3097000,3074000,1582000,1482000,- -,1348000,- -,- -,- -,- -,- -,- -,- -,- -,- -,664000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,40329000,37829000,35329000,32829000,30329000,27829000,25329000,22829000,20329000,17829000,15329000,12829000,10329000
56,Deferred Tax Liabilities,326000,485000,- -,- -,- -,- -,- -,- -,1020000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1578000,1741000,1919000,2016000,2131000,3459000
57,Other Non-Current Liabilities,92157000,92235000,94389000,94071000,93462000,94881000,97809000,117317000,123367000,117600000,117449000,118354000,154269000,143449000,161154000,176434000,194365000,216806000,163026000,173970000,217446000,258507000,211277000,173528000,220100000,206048000,114469000
58,Total Non-Current Liabilities,232483000,230070000,231955000,233620000,233082000,238038000,240558000,259433000,126642000,117600000,117863000,121451000,157343000,145031000,202965000,214263000,231042000,249635000,193355000,201799000,242775000,282914000,233347000,193276000,237445000,221008000,128921000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,767000,745000,468000,383000,926000,147000,170000,1914000,892000
61,Total Liabilities,273225000,291830000,310754000,298201000,311289000,341532000,339771000,332000000,352973000,245182000,275253000,294312000,270592000,238024000,265351000,285694000,323716000,325828000,242049000,264041000,296202000,338302000,288047000,255474000,297525000,259223000,203134000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,49070000,49087000,51175000,51275000,51306000,51346000,51381000,- -,10000,10000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,13000,13000,13000,13000,13000
64,Retained Earnings,-172285000,-181321000,-145006000,-143000000,-142436000,-146605000,-146324000,-145402000,-208407000,- -,-7780000,27760000,93880000,155831000,103509000,102677000,124047000,163426000,174154000,166999000,186533000,180565000,159366000,126588000,125296000,120943000,101015000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1000000,1000000,4000000,-2000000,-52000000,-66000000,-83000000,-99000000,-57000000,-62000000,-88000000,-115000000,-73000000,-43000000,-81000000,-75000000,-12341000
66,Other Total Stockholders Equity,50376000,50980000,1501000,2975000,1209000,- -,- -,- -,-2007000,115576000,120639000,122778000,218485000,225700000,227278000,229160000,231794000,236660000,238637000,241719000,243444000,245722000,247393000,249619000,251966000,255545000,254634000
67,Total Stockholders Equity,-121909000,-130341000,-94435000,-90938000,-90052000,-98167000,-97326000,-97398000,-159033000,115576000,111869000,151548000,316377000,379543000,278799000,265849000,272853000,301098000,355803000,346730000,341989000,311299000,333772000,333220000,296275000,301501000,343321000
68,Total Liabilities And Stockholders Equity,151316000,161489000,216319000,207263000,221237000,243365000,242445000,234602000,193940000,360758000,387122000,445860000,586969000,617567000,544150000,551543000,596569000,626926000,597852000,610771000,638191000,649601000,621819000,588694000,593800000,560724000,546455000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,151316000,161489000,216319000,207263000,221237000,243365000,242445000,234602000,193940000,360758000,387122000,445860000,586969000,617567000,544150000,551543000,596569000,626926000,597852000,610771000,638191000,649601000,621819000,588694000,593800000,560724000,546455000
71,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/858655/000092794600000168/0000927946-00-000168-index.html,https://www.sec.gov/Archives/edgar/data/858655/000092794601500118/0000927946-01-500118-index.html,- -,https://www.sec.gov/Archives/edgar/data/858655/000092794603000270/haynes10k.htm,- -,https://www.sec.gov/Archives/edgar/data/858655/000110465905061789/a05-21904_110k.htm,https://www.sec.gov/Archives/edgar/data/858655/000110465906080268/a06-24923_110k.htm,https://www.sec.gov/Archives/edgar/data/858655/000104746907009971/0001047469-07-009971-index.html,https://www.sec.gov/Archives/edgar/data/858655/000104746908012524/0001047469-08-012524-index.html,https://www.sec.gov/Archives/edgar/data/858655/000104746909010379/0001047469-09-010379-index.html,https://www.sec.gov/Archives/edgar/data/858655/000104746910009902/0001047469-10-009902-index.html,https://www.sec.gov/Archives/edgar/data/858655/000104746911009659/0001047469-11-009659-index.html,https://www.sec.gov/Archives/edgar/data/858655/000104746912010621/0001047469-12-010621-index.html,https://www.sec.gov/Archives/edgar/data/858655/000104746913010743/0001047469-13-010743-index.html,https://www.sec.gov/Archives/edgar/data/858655/000104746914009433/0001047469-14-009433-index.html,https://www.sec.gov/Archives/edgar/data/858655/000155837015002721/0001558370-15-002721-index.html,https://www.sec.gov/Archives/edgar/data/858655/000155837016010155/0001558370-16-010155-index.html,https://www.sec.gov/Archives/edgar/data/858655/000155837017008990/0001558370-17-008990-index.html,https://www.sec.gov/Archives/edgar/data/858655/000155837018009382/0001558370-18-009382-index.html,https://www.sec.gov/Archives/edgar/data/858655/000155837019011048/0001558370-19-011048-index.html,https://www.sec.gov/Archives/edgar/data/858655/000155837020013989/0001558370-20-013989-index.htm,https://www.sec.gov/Archives/edgar/data/858655/000155837021016206/0001558370-21-016206-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-6771000,-9036000,36315000,2006000,564000,-4169000,281000,922000,-63005000,167088000,-4134000,35540000,66120000,62778000,-52322000,8875000,31128000,50182000,21577000,3751000,30486000,5020000,-10190000,-21751000,9745000,-6478000,-8683000
74,Depreciation and Amortization,8188000,7751000,8621000,9276000,6391000,5012000,6230000,6076000,6624000,8400000,8026000,8890000,8647000,10053000,11443000,11875000,12089000,12943000,14160000,16277000,19508000,21036000,22097000,23154000,19126000,19650000,19567000
75,Deferred Income Tax,2000,213000,-35718000,19000,-7217000,-1390000,117000,177000,47852000,-3200000,-5655000,-2644000,3928000,-7511000,3887000,2661000,8878000,5658000,6171000,-1954000,2810000,1428000,-10072000,23115000,1872000,-1219000,-2436000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1309000,1537000,1752000,2079000,1254000,1769000,2184000,1980000,2109000,2320000,2575000,3318000,4474000
77,Change in Working Capital,-7512000,-5309000,-244000,9911000,-10352000,-15393000,6906000,10590000,-144801000,147876000,-2306000,42370000,197448000,31045000,-23266000,-6892000,18562000,31271000,-2822000,-24619000,9424000,-21143000,-10404000,3683000,7642000,1527000,4561000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,-19100000,- -,- -,- -,- -,50901000,-15786000,-24806000,-12700000,18630000,9893000,-5011000,10965000,755000,-12590000,-5002000,26713000,-6159000
79,Inventory,-6480000,-15132000,-20527000,12856000,-9676000,-7299000,-744000,8359000,-8130000,-45000000,-14244000,-30122000,-103100000,-21569000,120980000,-49483000,-17859000,-12326000,31507000,-22275000,4073000,6611000,-6982000,-29905000,11702000,15283000,-777000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-21196000,- -
81,Other Working Capital,62616000,57307000,57063000,66974000,56622000,41229000,48135000,58725000,-86076000,61800000,59494000,101864000,299312000,330357000,307091000,300199000,318761000,350032000,347210000,322591000,332015000,310872000,300468000,304151000,311793000,313320000,-17446000
82,Other Non-Cash Items,3210000,1038000,-15570000,-6628000,10105000,3478000,-7101000,8531000,145380000,-344064000,-713000,-83888000,-271567000,-55082000,178931000,-37075000,-52805000,-81352000,33064000,31722000,-16017000,45666000,19587000,-44258000,2087000,19399000,5782000
83,Cash Provided by Operating Activities,-2883000,-5343000,-6596000,14584000,-509000,-12462000,6433000,26296000,-7950000,-23900000,-4782000,268000,4576000,41283000,119982000,-19019000,19604000,20781000,73404000,26946000,48395000,53987000,13127000,-13737000,43047000,36197000,23265000
84,CAPEX,-1934000,-2092000,-8863000,-5919000,-8102000,-9087000,-4181000,-6032000,-3638000,-5400000,-9029000,-10668000,-16226000,-18685000,-9303000,-12340000,-14445000,-25937000,-41550000,-39694000,-18546000,-31633000,-15006000,-11085000,-10041000,-9374000,-5949000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-8300000,- -,- -,-3000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,39000,67000,33000,169000,151000,399000,- -,367000,712000,2300000,2663000,110000,110000,110000,110000,110000,110000,- -,- -,- -,-14600000,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,-1895000,-2025000,-8830000,-5750000,-7951000,-8688000,-4181000,-5665000,-2926000,-3100000,-14666000,-10558000,-16116000,-21575000,-9193000,-12230000,-14335000,-25937000,-41550000,-39694000,-33146000,-31633000,-15006000,-11085000,-10041000,-9374000,-5949000
90,Debt Repayment,- -,-145408000,-676000,-10392000,-208000,- -,-3441000,-15900000,-741000,- -,- -,- -,- -,- -,-11812000,- -,- -,- -,-100000,- -,-173000,-91000,-166000,-4200000,-16600000,-30000000,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1009000,81230000,2480000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-505000,-335000,-251000,-289000,-266000,-223000,-370000,-198000,-4986000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-9707000,-9758000,-10803000,-10849000,-10906000,-10952000,-10988000,-11009000,-11013000,-11011000,-11058000,-11175000
94,Other Financing Activites,3912000,152524000,14861000,1830000,8778000,19412000,31000,40000,10847000,24500000,19925000,12368000,-70537000,-20685000,-866000,-159000,457000,2659000,1092000,1677000,-55000,-134000,- -,3942000,16665000,30125000,-1282000
95,Cash Used/Provided by Financing Activities,3912000,7116000,14185000,-8562000,8570000,19412000,-3410000,-15860000,10106000,24500000,19925000,13377000,10693000,-18205000,-12678000,-9866000,-9301000,-8144000,-10362000,-9564000,-11431000,-11502000,-11441000,-11494000,-11316000,-11131000,-17443000
96,Effect of Forex Changes on Cash,211000,-95000,-166000,167000,-254000,-553000,44000,257000,362000,200000,-68000,209000,382000,-162000,-74000,-12000,126000,-22000,94000,-143000,-644000,-600000,351000,-210000,-454000,508000,615000
97,Net Change In Cash,-655000,-347000,-1407000,439000,-144000,-2291000,-1114000,5028000,-408000,-2300000,409000,3296000,-465000,1341000,98037000,-41127000,-3906000,-13322000,21586000,-22455000,3174000,10252000,-12969000,-36526000,21236000,16200000,488000
98,Cash at the End of Period,5035000,4688000,3281000,3720000,3576000,1285000,171000,5199000,4791000,2500000,2886000,6182000,5717000,7058000,105095000,63968000,60062000,46740000,68326000,45871000,49045000,59297000,46328000,9802000,31038000,47238000,47726000
99,Cash at the Beginning of Period,5690000,5035000,4688000,3281000,3720000,3576000,1285000,171000,5199000,4800000,2477000,2886000,6182000,5717000,7058000,105095000,63968000,60062000,46740000,68326000,45871000,49045000,59297000,46328000,9802000,31038000,47238000
100,Free Cash Flow,-4817000,-7435000,-15459000,8665000,-8611000,-21549000,2252000,20264000,-11588000,-29300000,-13811000,-10400000,-11650000,22598000,110679000,-31359000,5159000,-5156000,31854000,-12748000,29849000,22354000,-1879000,-24822000,33006000,26823000,17316000
