,https://roic.ai/company/SNPS,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
15,EBITDA,7000000,9200000,16300000,28600000,37200000,63200000,54600000,143800000,191700000,303400000,209708000,148695000,-172840000,403099000,284366000,167268000,158209000,271166000,316099000,334523000,299859000,347663000,359966000,464766000,466863000,496245000,540351000,579843000,588357000,758841000,854185000,1013712000
16,EBITDA ratio,0.3167,0.2272,0.2587,0.2648,0.1898,0.2380,0.1545,0.2881,0.2670,0.3764,0.2676,0.2186,-0.1907,0.3425,0.2604,0.1686,0.1444,0.2236,0.2364,0.2460,0.2172,0.2264,0.2050,0.2369,0.2269,0.2213,0.2231,0.2128,0.1885,0.2258,0.2318,0.2411
17,Operating Income,5100000,5100000,10500000,20000000,30600000,52000000,68600000,108500000,177100000,235600000,106885000,-251000,-80317000,194905000,89316000,-52984000,29432000,118044000,219112000,208251000,184110000,212843000,190024000,246493000,248717000,266466000,317395000,347563000,360225000,520231000,620141000,734790000
18,Operating Income ratio,0.2308,0.1259,0.1667,0.1852,0.1561,0.1959,0.1941,0.2174,0.2467,0.2923,0.1364,-0.0004,-0.0886,0.1656,0.0818,-0.0534,0.0269,0.0974,0.1639,0.1531,0.1333,0.1386,0.1082,0.1256,0.1209,0.1188,0.1310,0.1276,0.1154,0.1548,0.1683,0.1748
19,Total Other Income Expenses (Gains),300000,400000,600000,900000,-5500000,-4300000,-32700000,4900000,-58000000,15800000,39053000,83784000,-208623000,24084000,2276000,45195000,14287000,47755000,-156000,24819000,14548000,6270000,11111000,29173000,23425000,15144000,12153000,35535000,3318000,25275000,18018000,70724000
20,Income Before Tax,5400000,5500000,11100000,20900000,25100000,47700000,35900000,113400000,119100000,251400000,145938000,83533000,-288940000,218989000,91592000,-7789000,43719000,165799000,218956000,233070000,198658000,219113000,201135000,275666000,272142000,281610000,329548000,383098000,363543000,545506000,638159000,805514000
21,Income Before Tax Ratio,0.2443,0.1358,0.1762,0.1935,0.1281,0.1797,0.1016,0.2272,0.1659,0.3119,0.1862,0.1228,-0.3187,0.1861,0.0839,-0.0079,0.0399,0.1367,0.1638,0.1714,0.1439,0.1427,0.1145,0.1405,0.1323,0.1256,0.1360,0.1406,0.1165,0.1623,0.1732,0.1916
22,Income Tax expense (Gain),1800000,2000000,4000000,7700000,9300000,17400000,12200000,41000000,55800000,90000000,48160000,26731000,-88947000,69265000,17255000,7689000,18977000,35308000,28978000,65389000,-38405000,-2251000,18733000,27866000,13018000,55676000,62722000,246535000,-68975000,13139000,-25288000,49155000
23,Net Income,4000000,3500000,7100000,13200000,15800000,30300000,23700000,72400000,91700000,161400000,97778000,56802000,-199993000,149724000,74337000,-15478000,24742000,130491000,189978000,167681000,237063000,221364000,182402000,247800000,259124000,225934000,266826000,136563000,432518000,532367000,664347000,757516000
24,Net Income ratio,0.1810,0.0864,0.1127,0.1222,0.0806,0.1141,0.0670,0.1451,0.1277,0.2002,0.1248,0.0835,-0.2206,0.1272,0.0681,-0.0156,0.0226,0.1076,0.1421,0.1233,0.1717,0.1442,0.1039,0.1263,0.1259,0.1008,0.1101,0.0501,0.1386,0.1584,0.1803,0.1802
25,EPS,0.09,0.07,0.12,0.21,0.15,0.32,0.28,0.67,0.70,1.15,0.71,0.47,-1.50,0.99,0.48,-0.11,0.17,0.91,1.33,1.17,1.60,1.51,1.24,1.62,1.67,1.46,1.76,0.91,2.90,3.55,4.40,4.96
26,EPS Diluted,0.09,0.07,0.12,0.21,0.12,0.29,0.28,0.67,0.67,1.10,0.69,0.44,-1.50,0.95,0.46,-0.11,0.17,0.87,1.29,1.15,1.56,1.47,1.21,1.58,1.64,1.43,1.73,0.88,2.82,3.45,4.27,4.81
27,Weighted Average Shares Outstanding,44444444,50000000,59166667,62857143,74166667,94687500,83106000,108078000,131002000,140236000,137020000,121202000,133616000,151251000,154439000,144970000,142830000,143953000,143258000,143752000,148013000,146573000,146887000,153319000,155054000,154957000,152017000,150457000,149036000,149872000,151135000,152698000
28,Weighted Average Shares Outstanding Diluted,44444444,50000000,59166667,62857143,74166667,94687500,83333333,116941176,136854000,146844000,141996000,129318000,133616000,158326000,159991000,144970000,144728000,149716000,147672000,145857000,151911000,150367000,150280000,156601000,157710000,158065000,154721000,154874000,153393000,154190000,155706000,157340000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/883241/000104746905000652/a2149671z10-k.htm,https://www.sec.gov/Archives/edgar/data/883241/000110465906001880/a06-1373_210k.htm,https://www.sec.gov/Archives/edgar/data/883241/000110465907001964/a07-1403_110k.htm,https://www.sec.gov/Archives/edgar/data/883241/000104746907010271/0001047469-07-010271-index.html,https://www.sec.gov/Archives/edgar/data/883241/000104746908013321/0001047469-08-013321-index.html,https://www.sec.gov/Archives/edgar/data/883241/000119312509255277/0001193125-09-255277-index.html,https://www.sec.gov/Archives/edgar/data/883241/000119312510282648/0001193125-10-282648-index.html,https://www.sec.gov/Archives/edgar/data/883241/000119312511343034/0001193125-11-343034-index.html,https://www.sec.gov/Archives/edgar/data/883241/000119312512510596/0001193125-12-510596-index.html,https://www.sec.gov/Archives/edgar/data/883241/000119312513479653/0001193125-13-479653-index.html,https://www.sec.gov/Archives/edgar/data/883241/000088324114000008/0000883241-14-000008-index.html,https://www.sec.gov/Archives/edgar/data/883241/000088324115000014/0000883241-15-000014-index.html,https://www.sec.gov/Archives/edgar/data/883241/000088324116000027/0000883241-16-000027-index.html,https://www.sec.gov/Archives/edgar/data/883241/000088324117000014/0000883241-17-000014-index.html,https://www.sec.gov/Archives/edgar/data/883241/000088324118000012/0000883241-18-000012-index.html,https://www.sec.gov/Archives/edgar/data/883241/000088324119000019/0000883241-19-000019-index.html,https://www.sec.gov/Archives/edgar/data/883241/000088324120000015/0000883241-20-000015-index.htm,https://www.sec.gov/Archives/edgar/data/883241/000088324121000022/0000883241-21-000022-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,33900000,78300000,159700000,- -,153120000,271696000,312580000,524308000,346709000,404436000,330759000,579327000,577632000,701613000,775407000,855077000,700382000,1022441000,985762000,836188000,976620000,1048356000,723115000,728597000,1235653000,1432840000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,282519000,204740000,102153000,174049000,232320000,182070000,241963000,405126000,373669000,466713000,163154000,148997000,- -,- -,- -,128747000,140695000,- -,- -,- -,- -,147949000
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,33900000,78300000,159700000,- -,435639000,476436000,414733000,698357000,579029000,586506000,572722000,984453000,951301000,1168326000,938561000,1004074000,700382000,1022441000,985762000,964935000,1117315000,1048356000,723115000,728597000,1235653000,1580789000
34,Net Receivables,- -,- -,- -,- -,- -,- -,61100000,87900000,126300000,- -,146449000,146294000,207206000,273122000,178841000,148548000,165122000,166425000,197224000,178201000,199527000,228669000,309935000,274303000,353223000,432426000,494964000,499401000,630742000,578750000,813064000,600912000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,122407000,141518000,192333000,229023000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,222600000,319900000,482600000,- -,102433000,168652000,307376000,267727000,155163000,212425000,156646000,176661000,173765000,117273000,109667000,105312000,130339000,151233000,165750000,166440000,104659000,134836000,67533000,290052000,308167000,397617000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,317600000,486100000,768600000,- -,684521000,791382000,929315000,1239206000,913033000,947479000,894490000,1327539000,1322290000,1463800000,1247755000,1338055000,1140656000,1447977000,1504735000,1563801000,1716938000,1682593000,1543797000,1738917000,2549217000,2808341000
38,PP&E,- -,- -,- -,- -,- -,- -,51500000,76700000,99900000,- -,157243000,192304000,185040000,184313000,178155000,170195000,140660000,131866000,145087000,146910000,148580000,159517000,191243000,197600000,249098000,263077000,257035000,266014000,309310000,429532000,949636000,965649000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,735643000,767087000,899640000,932691000,1265843000,1289286000,1976987000,1975971000,2255708000,2471241000,2518245000,2706974000,3143249000,3171179000,3365114000,3575785000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,51776000,35077000,789888000,836315000,791775000,871498000,106144000,78792000,114760000,96810000,249656000,196031000,466322000,335425000,365030000,363659000,266661000,253843000,360404000,279374000,254322000,279132000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,51776000,35077000,789888000,836315000,791775000,871498000,841787000,845879000,1014400000,1029501000,1515499000,1485317000,2443309000,2311396000,2620738000,2834900000,2784906000,2960817000,3503653000,3450553000,3619436000,3854917000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,35085000,- -,- -,82384000,206254000,216642000,177386000,205396000,268759000,281056000,239412000,243066000,208156000,178915000,281926000,243989000,404166000,390129000,497546000,612655000
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,39900000,66900000,78100000,- -,157453000,110144000,39386000,47519000,209224000,69920000,74631000,95411000,83315000,93247000,105948000,103389000,133036000,158896000,192772000,205046000,199560000,243001000,385048000,396029000,414227000,510698000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,91400000,143600000,178000000,- -,366472000,337525000,1049399000,1068147000,1179154000,1193997000,1263332000,1289798000,1420188000,1475054000,2038786000,2029279000,3007000000,2910958000,3270764000,3481938000,3523427000,3713821000,4602177000,4666243000,5480845000,5943919000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,409000000,629700000,946600000,- -,1050993000,1128907000,1978714000,2307353000,2092187000,2141476000,2157822000,2617337000,2742478000,2938854000,3286541000,3367334000,4147656000,4358935000,4775499000,5045739000,5240365000,5396414000,6145974000,6405160000,8030062000,8752260000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,11500000,16200000,14900000,- -,139290000,134966000,246789000,204226000,184146000,231359000,234149000,11611000,23168000,10136000,16331000,6956000,29855000,8575000,28152000,9919000,13745000,19954000,85046000,19815000,30003000,27413000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,11600000,8900000,7600000,- -,6416000,535000,1423000,- -,- -,- -,- -,- -,- -,- -,- -,- -,30000000,30000000,30000000,205000000,205000000,9924000,343769000,17614000,27084000,154670000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,46443000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,379759000,359245000,398878000,368913000,415689000,445598000,577295000,604718000,553990000,600569000,703555000,834864000,827554000,928242000,968246000,1085802000,1064528000,1152862000,1212476000,1388263000,1517623000
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,137200000,180600000,245700000,- -,206958000,110867000,169912000,201855000,188096000,169632000,191349000,442170000,281097000,250467000,304868000,298299000,357920000,356790000,400365000,395188000,410399000,519703000,520738000,502548000,694572000,713778000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,160300000,205700000,268200000,- -,352664000,626127000,777369000,804959000,741155000,816680000,871096000,1031076000,908983000,814593000,921768000,1008810000,1252639000,1222919000,1386759000,1578353000,1714946000,1614109000,2102415000,1752453000,2139922000,2413484000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,16000000,9000000,13100000,- -,564000,73000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,105000000,75000000,45000000,- -,- -,134063000,125535000,120093000,100823000,512097000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,34739000,34103000,56208000,67184000,54736000,77646000,93613000,79856000,83252000,116859000,90102000,104850000,136303000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,152745000,- -,- -,- -,52645000,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,3200000,4900000,- -,14936000,17051000,87864000,68984000,85983000,105860000,123559000,149868000,152379000,245356000,230488000,201016000,126217000,218003000,209924000,239784000,250417000,285266000,316150000,353636000,772100000,391433000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,16000000,12200000,18000000,- -,15500000,17124000,87864000,68984000,85983000,105860000,123559000,149868000,305124000,280095000,264591000,257224000,351046000,347739000,332570000,333397000,330273000,502581000,558544000,563831000,977773000,1039833000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,535584000,566681000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,176300000,217900000,286200000,- -,368164000,643251000,865233000,873943000,827138000,922540000,994655000,1180944000,1214107000,1094688000,1186359000,1266034000,1603685000,1570658000,1719329000,1911750000,2045219000,2116690000,2660959000,2316284000,3117695000,3453317000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,629000,595000,735000,1560000,1474000,1459000,1406000,1464000,1418000,1469000,1485000,1433000,1509000,1542000,1560000,1552000,1515000,1505000,1493000,1503000,1528000,1531000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,72300000,131400000,243000000,- -,405419000,436662000,198863000,251979000,202146000,171108000,170743000,263977000,434057000,574980000,770674000,957517000,1098694000,1324854000,1551592000,1725727000,1947585000,2143873000,2543688000,3164144000,3795397000,4549713000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,-41000000,-44300000,-73400000,- -,-175697000,-210140000,-247016000,-291442000,-322788000,-16000000,-12000000,4000000,-35000000,-4000000,-16000000,-21000000,-15000000,-29000000,-62000000,-105000000,-105000000,-66000000,-113000000,-92000000,-54000000,-49604000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,201400000,324700000,490800000,- -,452478000,258539000,1160899000,1471313000,1384217000,1062369000,1003018000,1166952000,1127896000,1271717000,1344023000,1163350000,1416483000,1490881000,1565018000,1511710000,1351046000,1196242000,1046971000,1009366000,1164479000,793497000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,232700000,411800000,660400000,- -,682829000,485656000,1113481000,1433410000,1265049000,1218936000,1163167000,1436393000,1528371000,1844166000,2100182000,2101300000,2501686000,2788277000,3056170000,3133989000,3195146000,3275620000,3479152000,4083013000,4907404000,5295137000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,409000000,629700000,946600000,- -,1050993000,1128907000,1978714000,2307353000,2092187000,2141476000,2157822000,2617337000,2742478000,2938854000,3286541000,3367334000,4105371000,4358935000,4775499000,5045739000,5240365000,5392310000,6140111000,6399297000,8025099000,8748454000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,42285000,- -,- -,- -,- -,4104000,5863000,5863000,4963000,3806000
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,409000000,629700000,946600000,- -,1050993000,1128907000,1978714000,2307353000,2092187000,2141476000,2157822000,2617337000,2742478000,2938854000,3286541000,3367334000,4147656000,4358935000,4775499000,5045739000,5240365000,5396414000,6145974000,6405160000,8030062000,8752260000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/883241/000104746905000652/a2149671z10-k.htm,https://www.sec.gov/Archives/edgar/data/883241/000110465906001880/a06-1373_210k.htm,https://www.sec.gov/Archives/edgar/data/883241/000110465907001964/a07-1403_110k.htm,https://www.sec.gov/Archives/edgar/data/883241/000104746907010271/0001047469-07-010271-index.html,https://www.sec.gov/Archives/edgar/data/883241/000104746908013321/0001047469-08-013321-index.html,https://www.sec.gov/Archives/edgar/data/883241/000119312509255277/0001193125-09-255277-index.html,https://www.sec.gov/Archives/edgar/data/883241/000119312510282648/0001193125-10-282648-index.html,https://www.sec.gov/Archives/edgar/data/883241/000119312511343034/0001193125-11-343034-index.html,https://www.sec.gov/Archives/edgar/data/883241/000119312512510596/0001193125-12-510596-index.html,https://www.sec.gov/Archives/edgar/data/883241/000119312513479653/0001193125-13-479653-index.html,https://www.sec.gov/Archives/edgar/data/883241/000088324114000008/0000883241-14-000008-index.html,https://www.sec.gov/Archives/edgar/data/883241/000088324115000014/0000883241-15-000014-index.html,https://www.sec.gov/Archives/edgar/data/883241/000088324116000027/0000883241-16-000027-index.html,https://www.sec.gov/Archives/edgar/data/883241/000088324117000014/0000883241-17-000014-index.html,https://www.sec.gov/Archives/edgar/data/883241/000088324118000012/0000883241-18-000012-index.html,https://www.sec.gov/Archives/edgar/data/883241/000088324119000019/0000883241-19-000019-index.html,https://www.sec.gov/Archives/edgar/data/883241/000088324120000015/0000883241-20-000015-index.htm,https://www.sec.gov/Archives/edgar/data/883241/000088324121000022/0000883241-21-000022-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,4000000,3500000,7100000,13200000,15800000,30300000,23700000,72400000,91700000,161400000,97778000,56802000,-199993000,149724000,74337000,-15478000,24742000,130491000,189978000,167681000,237063000,221364000,182402000,247800000,259124000,225934000,266826000,136563000,432518000,532367000,664347000,757516000
74,Depreciation and Amortization,1200000,3700000,5200000,7700000,12100000,15500000,18700000,30400000,44200000,52000000,63770000,65162000,116100000,184110000,192774000,175057000,114490000,105367000,97143000,101453000,101201000,128550000,156840000,187404000,192826000,211821000,207032000,189442000,209207000,201676000,209986000,203676000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,-11900000,-20800000,-6600000,-5100000,-37685000,-58831000,-128167000,-30503000,-50855000,-14647000,-25180000,-972000,-12249000,25942000,38356000,22278000,12850000,-676000,-17100000,36883000,-14037000,123052000,-210310000,-82620000,-111526000,-128583000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,56934000,59988000,56414000,71414000,67511000,79440000,86400000,97583000,108294000,140032000,155001000,248584000,345272000
77,Change in Working Capital,200000,- -,- -,- -,- -,- -,157300000,- -,123100000,220000000,-168543000,-166602000,-13309000,282301000,-262369000,-41079000,-107405000,273069000,116844000,235900000,-323220000,3258000,-441228000,337041000,-107082000,-132528000,16544000,66492000,-627102000,545082000,422831000,130181000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,22830000,-16202000,-18974000,-53395000,37590000,-65018000,-56533000,-43269000,2296000,-95785000,-8575000,-236806000,201706000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-66509000,-19243000,-55024000,-48046000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10566000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,157300000,157300000,280400000,500400000,331857000,165255000,151946000,434247000,171878000,130799000,23394000,296463000,413307000,649207000,325987000,329245000,-111983000,225058000,117976000,-14552000,1992000,68484000,-558618000,-13536000,409295000,189180000
82,Other Non-Cash Items,600000,-1800000,4900000,26200000,27300000,30900000,-99500000,27600000,-108300000,-205000000,195795000,399295000,44320000,-194098000,310150000,165337000,199243000,-74477000,-60628000,-348751000,227648000,8452000,503790000,-342375000,143745000,66650000,12687000,10722000,479887000,-550993000,-442909000,184560000
83,Cash Provided by Operating Activities,6000000,5400000,17200000,47100000,55200000,76700000,88300000,109600000,144100000,223300000,151115000,295826000,-181049000,391534000,264037000,269190000,205890000,433478000,331088000,239159000,341036000,440316000,486068000,496705000,550953000,495160000,586635000,634565000,424232000,800513000,991313000,1492622000
84,CAPEX,-1100000,-3200000,-4200000,-9600000,-13000000,-20900000,-39300000,-54500000,-88400000,-112300000,-68500000,-82490000,-48755000,-50148000,-45005000,-43563000,-51407000,-47289000,-41743000,-42051000,-42075000,-60230000,-57493000,-69068000,-106913000,-90647000,-71040000,-73554000,-101926000,-202388000,-158762000,-95740000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-14474000,- -,168311000,- -,-60138000,-174498000,-41142000,-57473000,-184650000,-53358000,-500829000,-41015000,-970089000,- -,-394623000,-340153000,-60056000,-259202000,-652643000,-36605000,-201045000,-296017000
86,Purchases of Investments,-2000000,-4700000,-21200000,-24700000,- -,-29500000,-101400000,-55500000,-127800000,-27600000,-2679135000,-1939860000,-774574000,-326599000,-1056863000,-372984000,-366926000,-451720000,-572672000,-387202000,-243515000,-127385000,-18179000,- -,- -,-238902000,-169714000,-155098000,-3561000,-3245000,-2762000,-169323000
87,Sales/Maturities of Investments,- -,2000000,- -,- -,300000,- -,- -,- -,- -,- -,2806949000,2081366000,932331000,288779000,992712000,422523000,305698000,284615000,597979000,290709000,547686000,139811000,166638000,989000,7774000,109173000,158135000,296472000,12943000,6361000,2151000,12850000
88,Other Investing Activites,-100000,- -,-2900000,-700000,-7000000,-7200000,-12400000,10200000,62900000,43000000,2697000,2809000,-1592000,-170360000,-2739000,-2953000,- -,26298000,- -,-2852000,-2852000,-2885000,-3302000,-1609000,-7126000,-2782000,-4131000,-1126000,-1288000,-4259000,-4045000,-2776000
89,Cash Used for Investing Activites,-3200000,-5900000,-28300000,-35000000,-19700000,-57600000,-153100000,-99800000,-153300000,-96900000,47537000,61825000,275721000,-258328000,-172033000,-171475000,-153777000,-245569000,-201086000,-191902000,-238733000,-88819000,-879123000,-66079000,-497250000,-559629000,-142675000,-189282000,-743525000,-235877000,-360418000,-549030000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3745000,-3692000,-4628000,-142408000,-34625000,-230968000,-330425000,-185000000,-380625000,-295313000,-524063000,-288879000,-28061000
