,https://roic.ai/company/SPG,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,-372000,49000,418000,-378000,-81000,-388000,-393000,-117000,-489000,326000,867009000,530373000,571324000,267945000,481594000,447707000,300988000,239786000,592802000,710843000,798015000,1267429000,- -,1088652000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,7973000000,8769000000,8729000000,8841000000,9546000000,10266000000,14586000000,14106000000,15394000000,17219000000,18909541000,19160675000,18045084000,19409954000,23594601000,24036238000,20744796000,21863302000,22616241000,24364839000,23277614000,24036354000,- -,26916605000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,67255000,584064000,580262000,506931000
61,Total Liabilities,- -,- -,- -,- -,- -,9867791000,9155988000,10533608000,9628915000,10412992000,11228824000,16049369000,15958178000,16909517000,19003160000,20556489000,20765304000,19223677000,20672637000,25693517000,26501942000,23580825000,25434304000,26143666000,28018874000,26889267000,28320380000,31128608000,29924394000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,814254000,367483000,1062687000,1080022000,884620000,746608000,425545000,45704000,45375000,45047000,44719000,44390000,44062000,43733000,43405000,43077000,42748000,42420000,42091000,41763000
63,Common Stock,- -,- -,- -,- -,- -,17000,18000,18000,18000,19000,21000,23000,23000,23000,23000,24000,29000,30000,30000,31000,31000,31000,31000,32000,32000,32000,32000,1109227000,34000
64,Retained Earnings,- -,- -,- -,- -,- -,-372313000,-551251000,-715288000,-927654000,-961338000,-1097317000,-1335436000,-1551179000,-1740897000,-2055447000,-2444257000,-2955671000,-3114571000,-3251740000,-3083190000,-3218686000,-4208183000,-4266930000,-4459387000,-4782173000,-4893069000,-5379952000,- -,-5823708000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,-722371000,-1098881000,-1480719000,-1877175000,-2222242000,-2556578000,-3162523000,10000000,19000000,18000000,-165000000,-3000000,7000000,-94000000,-91000000,-76000000,-61000000,-253000000,-114000000,-110000000,-126000000,-119000000,-188675000,-185186000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,4503876000,4109019000,4536959000,5048411000,4964115000,5507748000,6699811000,4768430000,4816896000,4854199000,5223871000,7371075000,7892946000,7950329000,9040043000,9099671000,9318267000,8947630000,8840398000,8535232000,8272970000,7982898000,2076829000,9328549000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,3409209000,2458905000,2340970000,2243600000,2594808000,2221357000,3264562000,4307296000,3979642000,3563383000,3040183000,4458137000,4830780000,4649666000,5910603000,5849406000,5093177000,4471464000,4310448000,3686168000,3296681000,2526398000,3039472000,3361452000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,13277000000,11614893000,12874578000,11872515000,13007800000,13450181000,19313931000,20265474000,20889159000,22566543000,23596672000,25223441000,24054457000,25322303000,31604120000,32351348000,28674002000,29905768000,30454114000,31705042000,30185948000,30846778000,34168080000,33285846000
69,Minority Interest,- -,- -,- -,- -,- -,- -,2608350000,1063367000,1938439000,1896702000,2234540000,2756088000,865565000,1195296000,1039119000,- -,724825000,802972000,894622000,982486000,973226000,858328000,744905000,649464000,552596000,500275000,384852000,-30607808000,491533000
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,13277000000,14223243000,13937945000,13810954000,14904502000,15684721000,22070019000,21131039000,22084455000,23605662000,23596672000,25948266000,24857429000,26216925000,32586606000,33324574000,29532330000,30650673000,31103578000,32257638000,30686223000,31231630000,3560272000,33777379000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1063761/000104746903008017/0001047469-03-008017-index.html,https://www.sec.gov/Archives/edgar/data/1063761/000104746904008046/0001047469-04-008046-index.html,https://www.sec.gov/Archives/edgar/data/1063761/000104746905006797/0001047469-05-006797-index.html,https://www.sec.gov/Archives/edgar/data/1063761/000110465906017606/0001104659-06-017606-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1063761/000104746908001745/0001047469-08-001745-index.htm,https://www.sec.gov/Archives/edgar/data/1063761/000104746909001894/0001047469-09-001894-index.htm,https://www.sec.gov/Archives/edgar/data/1063761/000104746910001324/0001047469-10-001324-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1063761/000104746912001667/0001047469-12-001667-index.html,https://www.sec.gov/Archives/edgar/data/1063761/000104746913001862/0001047469-13-001862-index.html,https://www.sec.gov/Archives/edgar/data/1063761/000104746914001416/0001047469-14-001416-index.htm,https://www.sec.gov/Archives/edgar/data/1063761/000104746915001339/0001047469-15-001339-index.htm,https://www.sec.gov/Archives/edgar/data/1063761/000104746916010465/0001047469-16-010465-index.htm,https://www.sec.gov/Archives/edgar/data/1063761/000155837017000934/0001558370-17-000934-index.htm,https://www.sec.gov/Archives/edgar/data/1063761/000155837018000981/0001558370-18-000981-index.htm,https://www.sec.gov/Archives/edgar/data/1063761/000155837019000875/0001558370-19-000875-index.htm,https://www.sec.gov/Archives/edgar/data/1063761/000155837020001135/0001558370-20-001135-index.htm,https://www.sec.gov/Archives/edgar/data/1063761/000155837021001700/0001558370-21-001700-index.htm,https://www.sec.gov/Archives/edgar/data/1063761/000155837022001845/0001558370-22-001845-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,33100000,45100000,137200000,131200000,203200000,167253000,204385000,223336000,199149000,422588000,368715000,342993000,475749000,563840000,491239000,463636000,309407000,617038000,1024799000,1434496000,1319641000,1408588000,1827720000,1838896000,1947962000,2440058000,2101584000,1112564000,2249631000
74,Depreciation and Amortization,2100000,83200000,101300000,143600000,208500000,278812000,394004000,430472000,464892000,491306000,518560000,611090000,806638000,812718000,875284000,956827000,1009490000,1016027000,1112438000,1301304000,1332950000,1285784000,1239214000,1327946000,1357351000,1349776000,1394172000,1354991000,1325895000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,-7400000,- -,- -,- -,196223000,- -,83293000,-88369000,510374000,247396000,-3028917000,-761000000,123000000,7000000,-112000000,2885152000,3325666000,-3342957000,628837000,-607218000,263013000,-1600726000,-588454000,8397000,1006426000,-972176000,-472880000,-51532305000,65947012000
78,Accounts Receivable,-22700000,-2700000,-8800000,-19200000,-82500000,-20700000,-60100000,-3151000,-37564000,-1541000,7881000,-84178000,-1294000,-136369000,-123769000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,19000000,-12200000,2100000,-13800000,36400000,76900000,48400000,25552000,110886000,-2683000,-24930000,90241000,-91329000,69214000,113753000,39873000,3789000,- -,-58959000,- -,- -,- -,- -,- -,- -,- -,- -,- -,203968000
81,Other Working Capital,- -,- -,- -,- -,196223000,196223000,279516000,191147000,701521000,948917000,-2080000000,-2841000000,-2718000000,-2711000000,-2823000000,62152000,3387818000,44861000,673698000,66480000,329493000,-1271233000,-1859687000,-1851290000,-844864000,-1817040000,-2289920000,-53822225000,12124787000
82,Other Non-Cash Items,-20800000,26900000,-44200000,-38300000,-237023000,83350000,-54626000,136077000,-370602000,-278300000,3093609000,889775000,-232526000,-110191000,201222000,-2699382000,-2924043000,3465102000,-760187000,384490000,-214608000,1636774000,546205000,197455000,-717951000,933138000,784955000,51391448000,-65885136000
83,Cash Provided by Operating Activities,7000000,155200000,194300000,236500000,370900000,529415000,627056000,701516000,803813000,882990000,951967000,1082858000,1172861000,1273367000,1455745000,1606233000,1720520000,1755210000,2005887000,2513072000,2700996000,2730420000,3024685000,3372694000,3593788000,3750796000,3807831000,2326698000,3637402000
84,CAPEX,- -,- -,-98200000,-195800000,-1285600000,-2638008000,-1348261000,-829115000,-565387000,-213990000,-353903000,-549304000,-726386000,-767710000,-1017472000,-874286000,-376275000,-256312000,-445495000,-802427000,-841209000,-796736000,-1020924000,-798465000,-732100000,-781909000,-876011000,-484119000,-527935000
85,Acquisitions Net,- -,- -,- -,- -,- -,-1747167000,-117358000,360766000,124665000,-684273000,-812362000,-2305360000,- -,- -,-263098000,171708000,94346000,-949261000,-727715000,-3937048000,-1009690000,-325285000,-1740809000,-812136000,-421661000,-114457000,-76589000,-3798062000,338121000
86,Purchases of Investments,- -,- -,- -,- -,- -,-55523000,-83125000,-161580000,-147933000,-90113000,-81480000,-84876000,-76710000,-157309000,-687327000,-353594000,-252984000,-672615000,-62822000,-184804000,-44117000,-391188000,-59523000,-38809000,-25000000,-21563000,-374231000,-32955000,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,600000,63209000,- -,49998000,- -,- -,- -,- -,- -,- -,- -,35300000,82816000,375674000,241990000,415848000,47495000,- -,504012000,42600000,56268000,25000000,- -,30000000,- -
88,Other Investing Activites,-229400000,-266800000,-124500000,-3900000,41200000,1925749000,431307000,84608000,26678000,202646000,486082000,193843000,750662000,323168000,-69024000,-874286000,-343169000,-493000,-445495000,125333000,58224000,-180793000,-166400000,-160681000,-371074000,-125486000,-625887000,-177381000,-890885000
89,Cash Used for Investing Activites,-229400000,-266800000,-222700000,-199700000,-1243800000,-2102032000,-612876000,-75941000,-279432000,-785730000,-761663000,-2745697000,-52434000,-601851000,-2036921000,-1020872000,-418991000,-1246695000,-994042000,-3580671000,-948088000,-897266000,-1462720000,-969026000,-761467000,-236506000,-1076707000,-3978398000,-552764000
90,Debt Repayment,-588900000,-283300000,-531600000,-1267900000,-2030800000,-1867913000,-1593889000,-1426131000,-2347065000,-2103586000,-1926974000,-3221906000,-4197795000,-4442332000,-4177763000,-3692136000,-2678639000,-6227814000,-1398697000,-4560562000,-2446191000,-5323186000,-9112020000,-14650168000,-10456671000,-9118685000,-12427699000,-12955275000,-10076809000
91,Common Stock Issued,- -,106800000,242400000,201700000,344400000,92600000,2100000,- -,8003000,341445000,193679000,103306000,11321000,217237000,156710000,11106000,1642228000,4166000,5313000,1213840000,99000,277000,- -,- -,- -,- -,- -,1556148000,-328000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,-50828000,- -,- -,-93954000,-162987000,-206316000,-803266000,-684929000,-17854000,-87689000,-10994000,- -,-248000000,- -,-14435000,-509277000,-259894000,-410119000,-438854000,-369902000,-169549000,- -
93,Dividends Paid,- -,-120700000,-177700000,-262500000,-227900000,-409348000,-515819000,-501902000,-563679000,-595874000,-655061000,-724478000,-194697000,-204652000,-216403000,-1075895000,-216756000,-919443000,-1032659000,-1485240000,-1690553000,-1877158000,-2196041000,-2355885000,-2571776000,-2821642000,-2949401000,-1664193000,-2351764000
94,Other Financing Activites,882500000,403300000,452800000,1293600000,2832600000,3776774000,2121865000,1418765000,2415009000,2398124000,2430500000,5653365000,3284024000,5153809000,5076183000,4460980000,3223501000,3484570000,1416130000,6533429000,2916082000,4276767000,10344225000,14721204000,11528495000,7896917000,13170916000,15226809000,8866586000
95,Cash Used/Provided by Financing Activities,293600000,106100000,-14100000,-35100000,918300000,1592113000,14257000,-560096000,-487732000,40109000,-51810000,1647300000,-1303463000,-79204000,153798000,-313799000,1882645000,-3669515000,-1009913000,1453467000,-1220563000,-2937735000,-1473113000,-2544743000,-1910071000,-4482264000,-2576086000,1993940000,-3562315000
