,https://roic.ai/company/KFRC,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,279000,250000,236000,10288000,9250000,5947000,3939000,2861000,2596000,6700000,1870000,22806000,1239000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,1700000,2200000,3300000,14900000,49200000,31900000,39918000,21326000,19540000,20523000,30624000,40181000,47854000,65930000,55443000,50969000,58896000,56850000,76221000,70528000,72320000,64233000,63032000,62128000,67458000,59012000,82469000,72685000
53,Total Current Liabilities,3300000,2900000,5000000,18300000,69400000,64400000,65465000,42531000,36666000,36861000,89163000,63020000,86029000,85566000,85444000,79213000,100323000,83164000,98874000,89973000,94183000,87746000,83353000,83719000,90358000,84964000,108166000,160431000
54,Long-Term Debt,- -,500000,- -,1300000,2500000,- -,45000000,28185000,22000000,22000000,1727000,38167000,78519000,53000000,40316000,4784000,2103000,51135000,22144000,64006000,93895000,83823000,115531000,119120000,73159000,65000000,114692000,100000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,100000,- -,- -,- -,- -,- -,- -,- -,1004000,6624000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,1300000,700000,1300000,3800000,6800000,13600000,12516000,13247000,7923000,10051000,11536000,12857000,15141000,18478000,19212000,29103000,34801000,42258000,34285000,36556000,36456000,40626000,44801000,47188000,48060000,63898000,76256000,54564000
58,Total Non-Current Liabilities,1300000,1200000,1300000,5100000,9400000,13600000,57516000,41432000,29923000,32051000,13263000,51024000,94664000,78102000,59528000,33887000,36904000,93393000,56429000,100562000,130351000,124449000,160332000,166308000,121219000,128898000,190948000,154564000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20312000,20212000,6338000
61,Total Liabilities,4600000,4100000,6300000,23400000,78800000,78000000,122981000,83963000,66589000,68912000,102426000,114044000,180693000,163668000,144972000,113100000,137227000,176557000,155303000,190535000,224534000,212195000,243685000,250027000,211577000,213862000,299114000,314995000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,500000,470000,483000,485000,489000,559000,579000,604000,609000,619000,633000,665000,686000,685000,695000,700000,705000,713000,715000,719000,722000,726000,730000
64,Retained Earnings,1600000,4600000,10600000,22100000,70200000,46600000,46363000,34275000,-12756000,-7638000,17373000,39694000,72213000,112580000,28472000,41345000,61979000,89135000,40203000,47612000,125378000,155096000,174967000,195143000,237308000,350545000,388645000,442596000
65,Other Comprehensive Income/Loss,- -,-1600000,-2800000,-5200000,-13900000,-21700000,-23594000,-25398000,-1199000,-1014000,-2722000,-1094000,-111377000,-13449000,389000,-1213000,-1480000,-4050000,-2713000,317000,-371000,318000,184000,100000,1296000,-1526000,-4423000,621000
66,Other Total Stockholders Equity,800000,13900000,63500000,156800000,198700000,192800000,131798000,129449000,99058000,99568000,155559000,171523000,300485000,212728000,176363000,185960000,192653000,147344000,131671000,108609000,13681000,-16492000,-54128000,-61681000,-70992000,-182478000,-205013000,- -
67,Total Stockholders Equity,2400000,16900000,71300000,173700000,255000000,218200000,155037000,138809000,85588000,91405000,170769000,210702000,261925000,312468000,205843000,226725000,253817000,233115000,169846000,157233000,139388000,139627000,121736000,134277000,168331000,167263000,179935000,188406000
68,Total Liabilities And Stockholders Equity,7000000,21000000,77600000,197100000,333800000,296200000,278018000,222772000,152177000,160317000,273195000,324746000,442618000,476136000,350815000,339825000,391044000,409672000,325149000,347768000,363922000,351822000,365421000,384304000,379908000,381125000,479049000,503401000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,7000000,21000000,77600000,197100000,333800000,296200000,278018000,222772000,152177000,160317000,273195000,324746000,442618000,476136000,350815000,339825000,391044000,409672000,325149000,347768000,363922000,351822000,365421000,384304000,379908000,381125000,479049000,503401000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/930420/000095014403004032/0000950144-03-004032-index.htm,https://www.sec.gov/Archives/edgar/data/930420/000119312504039295/0001193125-04-039295-index.htm,https://www.sec.gov/Archives/edgar/data/930420/000119312505052881/0001193125-05-052881-index.htm,https://www.sec.gov/Archives/edgar/data/930420/000119312506045134/0001193125-06-045134-index.htm,https://www.sec.gov/Archives/edgar/data/930420/000119312507048523/0001193125-07-048523-index.htm,https://www.sec.gov/Archives/edgar/data/930420/000119312508040102/0001193125-08-040102-index.htm,https://www.sec.gov/Archives/edgar/data/930420/000119312509050968/0001193125-09-050968-index.htm,https://www.sec.gov/Archives/edgar/data/930420/000119312510048938/0001193125-10-048938-index.htm,https://www.sec.gov/Archives/edgar/data/930420/000119312511056299/0001193125-11-056299-index.htm,https://www.sec.gov/Archives/edgar/data/930420/000119312512104162/0001193125-12-104162-index.htm,https://www.sec.gov/Archives/edgar/data/930420/000119312513071575/0001193125-13-071575-index.htm,https://www.sec.gov/Archives/edgar/data/930420/000119312514073422/0001193125-14-073422-index.htm,https://www.sec.gov/Archives/edgar/data/930420/000093042015000028/0000930420-15-000028-index.htm,https://www.sec.gov/Archives/edgar/data/930420/000093042016000355/0000930420-16-000355-index.htm,https://www.sec.gov/Archives/edgar/data/930420/000093042017000053/0000930420-17-000053-index.htm,https://www.sec.gov/Archives/edgar/data/930420/000093042018000047/0000930420-18-000047-index.htm,https://www.sec.gov/Archives/edgar/data/930420/000093042019000034/0000930420-19-000034-index.htm,https://www.sec.gov/Archives/edgar/data/930420/000093042020000033/0000930420-20-000033-index.htm,https://www.sec.gov/Archives/edgar/data/930420/000093042021000051/0000930420-21-000051-index.htm,https://www.sec.gov/Archives/edgar/data/930420/000093042022000027/0000930420-22-000027-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-600000,3000000,6000000,11500000,15400000,-23500000,-380000,-12088000,-47031000,5272000,25199000,22321000,32519000,40367000,-84108000,12873000,20634000,27156000,-13703000,10787000,90915000,42824000,32773000,33285000,57980000,130862000,56039000,75177000
74,Depreciation and Amortization,200000,500000,1800000,3200000,9500000,14500000,18440000,17325000,9887000,4371000,6468000,10078000,13579000,15128000,13824000,11673000,12611000,12694000,10862000,9846000,10058000,9849000,8796000,8508000,8265000,6481000,5255000,4500000
75,Deferred Income Tax,-300000,-100000,- -,-200000,-2700000,300000,-865000,488000,363000,- -,-12789000,14945000,18603000,6176000,-16389000,1281000,4871000,1869000,-17136000,1166000,491000,2380000,2007000,12243000,989000,-49000,-2298000,2425000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6371000,6036000,11976000,25740000,2570000,3028000,5819000,6705000,7600000,8797000,9912000,11595000,13999000
77,Change in Working Capital,400000,11900000,40300000,43300000,37800000,-49000000,-15415000,-27802000,-10957000,10057000,-17353000,67709000,-28114000,30923000,-35046000,-2378000,6954000,38197000,-30390000,40228000,17313000,-3438000,13364000,21574000,-3622000,2167000,70455000,-19046000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9453000,-22366000,-25332000,4298000,-28071000,-40339000,4223000,-8403000,-20535000,-10851000,-5360000,-12863000,-36960000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2758000,5688000,-4576000,10913000,-12471000,5653000,1788000,-1920000,-1537000,3932000,- -,- -,- -
81,Other Working Capital,2000000,13900000,54200000,97500000,135300000,86300000,70885000,43083000,32126000,42183000,24830000,92539000,64425000,95348000,60302000,57924000,64878000,103075000,72685000,112913000,130226000,126788000,140152000,161726000,158104000,160271000,230726000,211680000
82,Other Non-Cash Items,300000,-17000000,-47500000,-53300000,-49100000,31000000,26531000,62976000,62582000,-6719000,4855000,-65905000,15361000,-43824000,211047000,12876000,-22516000,-60652000,80605000,-64132000,-147387000,12746000,-24198000,-53871000,15314000,-82756000,-31887000,-4157000
83,Cash Provided by Operating Activities,- -,-1700000,600000,4500000,10900000,-26700000,28311000,40899000,14844000,12981000,6380000,49148000,51948000,48770000,89328000,42696000,28590000,31240000,55978000,465000,-25582000,70180000,39447000,29339000,87723000,66617000,109159000,72898000
84,CAPEX,-100000,-1300000,-3800000,-3200000,-35400000,-22800000,-6408000,-6372000,-596000,-1255000,-3646000,-5304000,-6433000,-11417000,-8505000,-3847000,-37747000,-6495000,-5846000,-8145000,-6011000,-8328000,-12420000,-5846000,-5170000,-10359000,-6475000,-6441000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,-1221000,-3524000,- -,- -,-28012000,-2903000,-136732000,339000,-26368000,-109000,- -,- -,55446000,- -,115276000,- -,- -,- -,- -,-9000000,-4000000,- -
86,Purchases of Investments,- -,-7700000,- -,- -,-10000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3345000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,7000000,800000,- -,12000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,100000,-11600000,-51900000,-3400000,-200000,-3213000,54000,666000,208000,42000,977000,-977000,-3310000,-4569000,-2585000,-35768000,-10090000,-3041000,-8547000,-4741000,-8364000,-12420000,-4846000,-4170000,112185000,-2927000,8301000
89,Cash Used for Investing Activites,-100000,-8900000,-8400000,-54300000,-48800000,-11000000,-10842000,-9842000,70000,-1047000,-31616000,-7230000,-144142000,-14388000,-39442000,-6039000,-35768000,-10090000,52405000,-8547000,110535000,-8364000,-12420000,-4846000,-4170000,103185000,-6927000,8301000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-321556000,-442417000,-449767000,-270499000,-550081000,-653701000,-617529000,-906008000,-1033617000,-495123000,-86900000,- -,- -
91,Common Stock Issued,- -,11400000,47700000,89300000,6300000,1800000,2513000,206000,262000,874000,4515000,2140000,10418000,4118000,2017000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-15100000,-68458000,-14585000,-7235000,-146000,-4310000,-5912000,-5373000,- -,-37932000,-2368000,-3581000,-59643000,-44375000,-29810000,-101771000,-38471000,-46013000,-14622000,-22187000,-124453000,-35613000,-66210000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-35196000,-3297000,-12776000,-12545000,-12447000,-12144000,-14871000,-16608000,-16787000,-20120000
94,Other Financing Activites,-400000,-900000,-1000000,-1000000,-1400000,-9700000,42519000,-18332000,-7143000,- -,11679000,-1405000,51634000,-39006000,-14394000,289419000,451419000,488144000,242129000,590764000,683658000,606988000,937426000,1034787000,448361000,77878000,33823000,-1366000
95,Cash Used/Provided by Financing Activities,-400000,10500000,46700000,88300000,4900000,-23000000,-23426000,-32711000,-14116000,728000,11884000,-5177000,56679000,-34888000,-50309000,-34505000,5421000,-21266000,-107941000,7576000,-84590000,-61557000,-27042000,-25596000,-83820000,-150083000,-18577000,-87696000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,100000,-200000,-97000,44000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-400000,10500000,46700000,88300000,4900000,-60900000,-6054000,-1610000,798000,12662000,-13352000,36741000,-35515000,-506000,-423000,2152000,-1757000,-116000,442000,-506000,363000,259000,-15000,-1103000,-267000,19719000,83655000,-6497000
98,Cash at the End of Period,- -,- -,- -,- -,- -,7900000,1865000,255000,1053000,13715000,363000,37104000,1589000,1083000,660000,2812000,1055000,939000,1381000,875000,1238000,1497000,1482000,379000,112000,19831000,103486000,96989000
99,Cash at the Beginning of Period,1200000,700000,600000,39600000,101700000,68800000,7919000,1865000,255000,1053000,13715000,363000,37104000,1589000,1083000,660000,2812000,1055000,939000,1381000,875000,1238000,1497000,1482000,379000,112000,19831000,103486000
100,Free Cash Flow,-100000,-3000000,-3200000,1300000,-24500000,-49500000,21903000,34527000,14248000,11726000,2734000,43844000,45515000,37353000,80823000,38849000,-9157000,24745000,50132000,-7680000,-31593000,61852000,27027000,23493000,82553000,56258000,102684000,66457000
